a341, 085b
e6c3, d525
60a3, 21f4
4f5d, 992a
f1b9, c4db
4ea5, 7673
207f, 82a7
9fb7, 2c5b
9f40, 599b
40c7, 822f
3412, 0204
e601, ec07
e026, dc90
27eb, 7be9
877b, 4f0b
c2b2, b6b7
0746, 98dc
1afd, 1425
74b7, db21
2122, 674c
dc76, fc1f
829a, 1561
a463, ef62
cf18, 6ca7
454d, f9f9
ea3f, 413a
d44a, eddc
60e5, 1cca
cd26, 8a4e
f7c6, 6e15
9b4e, b844
23a6, d356
e8d1, 7907
c0a8, 5d2d
6003, 025d
438c, 4299
1835, 31fc
d8bd, 78e7
e9da, e9db
1d67, 1818
20da, 633f
8e2b, 819c
0543, bce1
b529, b69c
af1b, 32dc
a2fc, f616
17af, a0d2
33d0, 9188
52ab, 986e
191a, 62dd
9b72, c2ea
cbfd, 93b7
ff51, a148
db0a, 380b
83c6, 5168
5702, 8869
9662, 914d
c2cd, 6eca
4f45, 9792
94f3, 6e12
8b43, 2b92
69dc, e9a3
b5b8, f0d3
b6e5, f92a
ab01, 66ab
c009, b010
8482, 8b74
7289, b84c
f1c7, ff7c
1127, 74bd
6150, cb69
d94d, 85dd
fc4a, cd36
5973, b0e7
4400, 41c6
86f4, 162b
4dfa, a903
872f, 26ca
bc98, 3319
a7c1, befe
362a, 6e93
ff53, b9c2
c754, ce38
1a51, 0998
6707, faa1
dc6f, cba4
00bc, 05b9
aff9, 4f04
e449, d4dc
20d7, ef84
cce9, c07c
2395, 268a
d7de, e8e1
4c6d, 35ae
b524, 0cde
fefd, 9831
de34, 1e04
ef5b, 756a
cd64, fa02
eed9, dd01
2633, 35c4
d342, 6f6b
d18b, 3b95
ac04, 9409
7b3d, d45e
3fb2, 16d3
00ed, a7fb
fc76, fcd0
f2e1, af8e
862f, 25f8
0b53, d110
7b4f, 475e
927b, 9b24
9a6d, 8667
986f, 9375
7a47, 1d2d
3126, 3e95
fb22, 0a8d
d346, e24a
6311, cb5b
b0f0, 65ac
e315, b6e3
0005, 5d58
1c47, d7cc
6912, 60ad
abad, ad07
7c31, 7cc1
89b4, df87
f733, 2d6f
8bdd, ead2
ca6e, 9ba7
65c9, 593f
e42c, 3fa5
77bd, eed1
4dd9, e07b
f931, 9567
da04, 8e68
7f63, e778
013f, c9e4
fd03, 895a
2bea, 8e4c
267c, 5099
2dcd, 570c
bf62, 88a3
24dd, 494c
4d38, 7461
16ee, 7972
22a9, 5df7
0af5, 5fe9
b484, a2ae
f45e, 15f0
4b6a, fd1d
795e, 72ce
99fd, 0554
bd41, 5de3
ca89, 688c
f93b, ec1d
6837, aece
f350, 5509
0b8a, d295
bada, 6b85
2c1e, ddb3
e437, da31
eb2f, 5cc6
b7f7, a75d
8e4b, 8b49
4e83, 21e8
3ea6, 8f21
472f, 2bd0
0971, 009e
8856, 21ac
677b, be9c
9c3e, 547a
9963, bca7
d4eb, 1e8c
a424, 6eb7
2034, 26f8
7f89, d98c
57a8, 58a4
dbd0, d50a
18e8, 4e41
2db7, 46ad
f552, c911
aacb, 615b
615e, baf7
5258, af38
bb23, fff1
615f, c2ce
b0cf, f2c9
c043, b242
0f2b, 0cb0
7dd9, be8e
84ad, 145e
d631, ec37
60f3, 7b83
94b8, 9f39
5f1a, 6117
068b, bc8a
d50a, dbd0
f4f6, 6405
32cd, 9980
87b5, b7b2
ede9, 36ff
3c36, 8b80
50ed, b71c
5641, cfe3
cd37, 7039
77fc, 8df9
ce4d, 298a
0caa, 0b77
55ae, 5f13
7b56, eb65
be83, a8b1
4335, c293
f027, 8499
0157, ada8
3e7f, 147a
e8ba, 7e8c
46b7, d298
8b91, 5dbc
fb53, c1f8
e2c5, 77b6
360a, 83cc
d2d4, 14c4
20a0, 96d1
aaca, 4e84
d4df, d48c
1c59, deea
d5d6, 338b
18c3, 9c24
5da6, 09d3
345e, daf4
3241, 7ac7
f655, b569
2df3, 2c4d
ee82, 7989
fc6b, 743b
4cac, dc1c
d1a6, 381a
9982, f6d8
f0ba, 09dc
aba7, ba6e
9661, 9772
25f6, d5c4
ac56, 0ef1
d753, 7762
01fd, ab04
f14b, 2777
4e09, 88d4
196d, 791e
e358, dff3
eb41, 74b1
d321, 22b2
a89c, 6ed0
6975, 0f7f
e7ab, 7d50
a087, 444d
dcb9, 722b
6292, 1d28
30df, 22d6
854e, 49e1
4dec, 7ab9
a433, 40ea
a7dc, 9918
03f2, accd
cce4, 5243
8c1f, 8615
63d9, 637c
38fc, c7f2
a8b6, fb25
2e5e, daf8
5d91, 328c
8e8b, f256
7e53, e764
0f02, c0ae
c19e, af49
1b46, 1cbb
4162, cc2d
5125, d334
9365, 091a
59a9, 8ea5
ab26, 3a98
b9c7, 6068
30d3, 3dfa
bcbd, bc92
d0bf, 1340
91b6, 2ee3
a75b, 9719
56db, ccd6
16ce, 163e
84d3, 3ee2
436b, d42a
9942, 96bd
353f, effa
0645, 0c4f
935c, d7df
7e4d, 24d2
bc67, 69a3
3b7f, 44eb
c2b2, b6b7
a26d, c84c
b439, cb3c
c39f, 9999
b70a, c7f9
8f40, 610e
ad42, a7e4
53c4, 517c
9bb2, 58be
6741, 75a6
685f, 4cf7
5b48, ba81
1b1b, 7aff
f0f7, cc40
c274, 667e
ee8f, ed57
31ee, 21be
23c1, 825e
ce06, fa5a
a3da, 4dd4
5f2c, 6270
8312, 40eb
ea7a, 1e26
1900, 89ff
d71c, 9998
6a7b, ce20
4335, c293
fd7b, d7c9
9e26, e192
c177, ad88
285a, a703
d917, e261
e4f9, 813c
aeb7, 6898
83c6, 5168
78d6, 1049
fdff, 5ca8
3f54, 924c
542c, 214e
4920, 7ddf
9e55, fa69
f0fa, ca5e
dd9f, 1718
3677, de5b
c590, 632f
167f, e9f7
1420, 1bd0
b574, 56e2
7fe8, 581f
fbfa, 6395
0f89, 9540
811b, 7d65
969e, 99e1
5080, 86ce
ea28, aa3c
de0b, 3b66
b12e, cd93
c51e, 7b34
4d5b, ebc2
1f75, 1533
dc6e, 167a
8d29, 712b
f4bf, 7e8d
0b3e, 0d04
e5cd, 105e
4c18, a08a
d66d, 2240
f2e7, e1de
d742, cd29
c494, b782
5b10, 9283
f146, 3ed1
da12, 6f3e
2468, 9415
a597, c730
2cf9, 455c
6aa2, 6a37
acf0, c55f
d465, be1f
955e, 99c8
112d, 7ede
41c8, 48f1
6535, 2387
214b, 2df4
4ade, d172
ea38, cc07
54a3, ee50
3193, 1848
074a, 5d7a
0bb6, aed5
f30e, 59f3
7b21, ed8d
f029, b19e
7853, e768
9f8f, 03b6
4559, 1660
7833, 1813
f354, b334
1b3c, dced
9387, 1265
1a83, 75c2
fb97, a295
ffd1, 4550
ff4e, f0be
a093, 245d
39a5, 342c
eeb0, 6a33
4ef2, 35f6
9712, ae33
9ee8, fdb1
727e, 2978
65b6, 00da
1585, 9d51
a164, 0d62
3f56, 293a
3747, 4e2e
6ae6, 67bc
b9de, bc21
3785, f7e2
7a70, 2ab5
002f, a525
9686, 926e
5338, cd90
0135, aba6
6706, 5115
b85c, 30f7
888b, d0aa
b8f5, 51c9
c99e, 6641
0e3a, 6ef6
7e86, 7a79
78ae, 21f2
12fc, dfc9
870c, 185a
7541, e28e
e2b4, eef2
6a85, 11e7
2d38, ee61
d873, 9382
1a36, d80a
e878, d2a4
61a2, aa03
c317, fac0
54cc, fb05
093c, af3f
5d6c, 3d73
497a, 2cdc
fc5f, bc6f
eef2, e2b4
a012, 3df8
284d, 6415
9602, 5eba
a4fe, 6e3d
0c19, 5c3f
9253, 07f5
fab7, c2ec
6aa8, abf7
9f20, 9386
26d2, a25e
9ab1, 891f
f8dd, f123
8ef8, 340d
48a8, 968d
eb4b, 3189
dbc0, a8a1
508b, f64a
4bcd, 2b0d
080b, b15a
7e1d, bc53
3726, 814f
7a4c, e3b9
1f93, 46bd
f5dc, 0c9a
4092, b8c8
fe5f, fb15
2f6a, 3c3c
a43b, ce40
a390, 6ab3
ab3c, 9f73
66ce, 5bff
4b01, 8d51
2797, 1873
420a, e936
eed4, 8441
2607, a817
2757, 8aad
a3a9, 064c
341a, 8922
d3dd, 4eaf
1a6b, eb5e
c12a, c48f
58ef, a746
0986, 767b
7e65, 87cb
78f2, 66c4
fa97, 9443
08f9, ca3b
575c, a766
d039, 1a89
698c, 5c9b
92ee, 18c1
70fb, 40a9
e9d7, 2c23
10f6, f386
5e30, 070f
c955, 152f
5274, 6d35
c72d, 6ddd
6b39, 6b98
ac3b, e390
2ff6, 393b
742b, 7dd0
3334, 938f
175c, 109e
0ea6, 2794
3b79, ea79
49e0, 40b9
a093, 245d
c318, cadd
3d95, 477a
9eb8, a5f8
f354, b334
204e, d812
b9cb, 6065
7b93, 50a1
2849, 9872
faa3, 5837
be75, a475
ff07, 0953
72e0, e39f
2b8a, cc3b
abc1, 0a5e
baf7, 615e
d6a0, d1ea
07c8, f864
ae00, 6a3a
7304, 58c3
9cf9, 6c0f
7131, d75d
7426, 9e4d
1422, fa85
ec1f, f34b
4703, da11
10a2, 1618
ce9b, ba99
40d8, 1cb7
6726, fdeb
a334, c9c3
f6b1, 26a0
5cca, 652f
0d60, ac9c
e908, 0f79
02c8, 03ae
5256, 8b99
4d4c, d12b
acbb, c81e
9fb1, b943
0026, 2c14
24ac, ef97
3e0b, 8f8d
c95a, ea8a
d52a, 46f4
9cf4, 63ae
4130, faf1
cd23, 0d41
897e, cb31
ac18, 9e46
6fcf, 0753
7a9c, 6635
1dc5, a98d
9679, bc26
ae31, a8fe
9469, 6166
17eb, 6f09
308a, 2285
d2ac, df1b
2b3e, 2161
4126, 444c
0634, feb8
931f, e6e8
b104, bb68
254d, ccca
057d, 5f74
2637, b883
4334, 3f52
935d, 0503
b981, c9bd
4f22, eb35
4ddb, 3a8b
35d6, f7e5
85cd, 3eb7
948a, 9ffd
cf31, bd82
37a4, 7b17
0e7b, 0e4c
c7b8, 06f3
c8ce, cd68
4c0e, 25a1
d2f4, e37a
d20e, 1f11
3cd7, e222
b7e6, de24
9d44, 6d9e
83fd, 22f1
32d2, e341
9cc1, 5e7b
54ba, cb86
f2ff, 4047
3052, 2652
5eb0, 4cfd
7d85, e4a8
b487, 574d
c62f, 3f0e
5620, 0295
525f, 60cc
de97, 4773
4155, 6d7f
eba0, 000e
26a8, 40a4
eb04, 4d02
d5b8, 32e4
2bff, e271
1193, 0b7a
f1ee, ce74
6084, b993
7476, b4b8
e4ee, 14bd
2941, 80e2
c344, 95d4
db46, 2a4f
b82d, 01d8
0641, f94e
cdd9, 9062
5bc1, 9ace
63f4, 5155
6a34, ffcc
c9ca, 10b0
0362, 660d
bf09, 935f
dbb5, 3aec
783b, 3a3f
5aed, 1b89
30ae, 85a1
de94, d783
f000, b25f
a90b, 2a55
836b, 8de9
3c51, 6299
98c5, 81e2
df8a, 16d9
368f, e69b
9b20, 47e1
b2a8, 976c
3140, 3ad6
d83d, d12c
0f25, 5640
7e52, 95fa
c361, ff38
ba0e, 6d01
229a, bab4
3b08, 219b
e394, 8cbd
de8e, 7072
9f97, e31c
9441, bdd7
da96, 184b
779e, 174d
a257, 5001
7782, 1494
25c5, 61ae
6fd2, d7e3
244c, e625
1dbb, d88a
599c, 5d69
7045, e275
50ec, b680
cb9e, c783
78aa, b40d
dbcc, 3b3b
452c, 7646
781e, 8aa4
728f, 732c
a060, 52c0
75f7, 165d
03b7, 9677
2f12, 8963
5b73, 5193
9b53, 0fc6
1861, 4718
6718, 7200
de44, 6485
effd, 12fd
04e7, 958a
a516, f230
8b4e, 982f
3829, 363b
8a37, 8a0e
9d76, d727
c653, 28d7
64a8, 7306
5617, 9251
5ddb, 4077
7437, 4401
2822, 9f25
f891, 1180
dc46, 864c
e956, d88b
9672, b0d2
42dd, 1aa3
39e7, 1b60
8bfa, 80b3
3e98, 2728
99a3, aedf
023d, a502
6d91, 5ae3
c61b, a9c5
a587, 03b1
5527, 81a4
340a, 3097
b0b4, 6627
850f, 3005
ce23, c31e
9c40, 35fe
348a, 8199
160d, ec7b
52df, adf8
ec38, 45fa
2c9f, 7c4a
cb4f, 68d0
fff1, bb23
17a5, 3e35
f99d, 8b0f
21e8, 4e83
83b4, d947
cff1, 0514
8d89, 714a
781b, e1f6
71c4, e07d
df7d, 8278
3dcf, 77f5
db6c, dac0
ad06, c76c
89e3, 76d8
03c5, a2cf
6706, 5115
9a43, 6191
64b8, 6a6b
f5b2, 0674
3e21, d7d2
5748, cd2d
f575, 669a
5213, 8bae
cead, c717
8575, 23d0
1d88, 6b9c
b8c0, c2a2
764c, 04ec
7549, a1c2
b006, 050a
b076, ce4e
e1da, 060a
1582, 21c6
f214, 37c2
d026, 3545
e6d4, 4c98
1e15, 02d1
5ff2, 04c9
6da2, 6afe
be2a, c4e5
55be, f921
da95, d7ce
c82a, dd94
ae3b, b5de
7ddf, 4920
e554, a6cc
40b5, 39d0
5585, c9ba
2584, 732d
ddc6, ea6f
c1e8, bd27
45fc, ef30
8e72, 7481
e2a6, 097f
9157, 75c9
7abb, 751a
6572, 96b3
59d8, 5621
947b, 574f
7bb7, 1c4c
c9c3, a334
454e, 2c72
d200, 4c06
1a8d, db87
76d4, f36f
0dde, 05b6
a5f4, bad0
3d62, dba3
d9d3, 16e7
20b3, 3731
cdf9, 4e7d
c6ea, d308
db6d, 897d
396d, 5e71
a018, 20e3
d56e, 0076
2a2c, 3e2b
279f, 2d4a
5bd9, 9b8b
471a, 458e
c58a, bf8f
285a, a703
866f, 4c6f
d54f, 9ded
56a4, cbca
0f0c, cb5d
e00e, 7501
8ec4, 1a39
1d51, 7745
ebbe, 15f8
d6d4, 4684
31d2, a1ca
4967, 390e
8926, 4f10
0197, 57d1
0e5b, 5769
4c83, 1277
cdfb, cc9a
9c7c, 4612
87e9, 1edb
ab0f, 2d0f
031e, 95cd
cf5a, 9960
ce25, cb4a
d4ed, efa7
e5b2, d54d
e31a, 12ab
f1f7, 387f
1199, 1864
dd08, fc83
d496, 7d40
ad4d, ca83
6212, ab8c
3db9, 44d6
f59c, c370
1067, 1670
978a, b363
0897, eaea
56ba, a2d5
69b0, c349
7ff8, 7f58
5836, b9ec
d48e, c7e9
7f27, f90c
4736, 786c
e746, dbba
18d2, 2e2e
59ae, c046
c750, 9b66
fa1c, cf85
bf33, af67
1b22, ed88
e62f, 4eec
4cf3, 4629
d169, 3b0b
a334, c9c3
8d11, 3541
5cef, b58a
c1c4, 60fa
ccef, 56ec
43f2, 22f3
5665, 5e11
a625, 6203
e073, 752d
ea6b, 0a66
3124, b7ea
2d1c, 2eff
e859, 87a5
6504, 5715
e2e7, 81ff
3e0f, 775c
e40b, 2bee
5c41, 5fbd
8774, 77ff
9daa, c5bb
46ea, 30bb
41ec, 88e6
b295, ae71
525a, acab
5781, 0dbe
04b0, 0449
d56b, 16aa
0b4e, 23d6
495a, e06c
b28e, 2a54
756b, 5e8e
fc03, fcc1
6423, 07d7
4fda, 3c7c
5ab4, cebe
7add, c790
90b5, bc40
3246, 75ea
6732, 5464
bafe, 6d02
53cd, edcd
1f37, d2ce
0757, c6cf
c955, 152f
d883, 7844
396f, aaf8
9a82, 018e
bbaf, c16a
a119, fdab
de67, 37a8
9a5f, 6e55
5ae3, 6d91
4d9f, da80
4219, ec34
5752, 883c
c52b, 9040
f66f, 6c10
221f, 99b8
ac56, 0ef1
87d4, 371f
efe2, db14
3fec, a26b
5fff, 259d
4d70, e3ff
4023, 19e7
0d56, 6bc6
5266, c665
3b23, d422
dde5, e780
6d6a, ebd7
ce29, 57d6
d9eb, 8a93
6d54, a0cc
2ed7, 2b2d
1cd8, f703
a9e7, d8a9
97e1, a147
a864, e218
8e30, 170f
21be, 31ee
40d0, c4ec
c84d, ade4
0a11, 06e6
73da, e3d6
00bf, a5b9
4717, 4e54
aebd, 9424
b92e, 3aa3
468b, 5889
da83, 2bce
ee10, 3d00
a2e0, 03e6
77a1, 2138
634a, 682e
72c8, 7ff2
3319, bc98
700f, 5b63
d7a8, 1b85
c563, c6ce
8448, 81e4
8d74, 4174
de0d, 3a34
cf84, 56d7
6163, aa14
0822, 62ad
312a, 88f8
8e78, c47c
3557, 262b
2e78, e421
cd7a, 34e2
0933, 9932
f05d, cca3
ff0b, 5069
a028, 7d43
5365, a306
77fa, 2b3c
8f28, 74a8
9e10, 44d7
c8c6, 94f6
ca8f, aa96
a6d6, e607
ed5c, 0327
aba9, f4fb
479d, d8e2
f02e, c5a1
9e4d, 7426
bf9c, 5c20
846b, 4bf6
698f, c59a
9388, f5d2
7522, 239e
347f, 853a
91e5, 5186
8a30, 4716
b520, c6e5
201a, d366
cdc0, c917
ae52, 0453
c273, 0f28
83e9, 457b
0b10, 5093
82b1, 3982
65f4, e411
1cd2, 80bd
cb4c, 2b84
3044, 1fde
87ab, 2b30
a302, b8bf
00f7, 0252
1585, 9d51
9e26, e192
915a, b43c
4cd1, e6b3
4008, 85a3
38f2, 441e
4f0b, 877b
6e10, fe55
7d3e, d4f1
cc6d, b0c4
3e40, 71bf
1276, 1989
bcdd, e1c2
eba8, 48e9
9b7a, 8478
30ee, c21f
25a6, 50e6
4bd1, 317d
b405, fec6
f51d, 9f62
ea25, 7ebc
2ae2, 3de4
c327, c5ee
738f, 12e0
22a7, 290d
afad, f156
9cb3, 999e
e4cd, 87ad
3c3b, eff5
da5a, 1b6c
5e61, 9467
c292, c0e3
b7c1, b0f6
ddeb, 1726
9c6d, b054
4b19, cec3
64b3, 9df1
f2ff, 4047
4057, 26cd
9a8c, 512c
c01a, 386c
71f2, e0ee
fc5c, 000f
e442, b42f
55e3, b0e8
bcb5, 6cd9
a5e7, 7a53
ef69, df6b
efbe, 22e3
e6cb, 939a
6aa0, b6c2
eef3, 846d
7678, 1c87
cecb, b4a9
75da, a0a0
1e20, 7dbf
6ecb, 7dcd
fd17, eba5
4dff, 6faa
652f, 5cca
fa0f, 5e39
8048, e9b1
8e48, 3ab4
c282, c0b3
1374, 459e
326c, 2c5a
7a6f, 1d5b
1cd4, 2139
e52a, d02a
9bef, ceb6
4045, 2c2c
06fe, ae94
c7c1, 945e
c735, beaa
e83d, 41eb
b295, ae71
cddf, 9eba
eff2, e258
966d, 7af2
3965, b623
5e3a, a70f
dde5, e780
6d76, e0c3
7e4c, d770
8205, 86fa
7572, 108e
913c, b65e
b291, 92d1
c072, 9223
822b, 832a
152e, d0d4
23ba, 45e9
bb48, b589
1884, 0e85
59dc, a045
194f, e953
b7cc, f3f4
6804, c7c8
55a3, 9136
9e0c, a6c3
916a, a4af
5770, 3031
2b67, 252d
8685, 708a
6b1a, f082
21c7, 39dd
9659, a0f0
a77a, fd95
312a, 88f8
e3bb, 1238
88b2, 2e72
96ea, 0fb9
eec4, 9c23
545e, 233a
896f, 405b
6ac4, 1583
55e3, b0e8
3840, 536a
bc1f, e3f1
a86d, fb1e
70ea, 4bdf
90a2, cafc
ee80, d936
a6ad, aaf9
d283, 35d1
c98e, af74
2180, d6c3
e64f, 12d9
976f, d714
f1a3, d06c
8d6c, 3ef0
5daa, 74e2
08ff, b0f1
5a9a, 84bd
8897, a078
8020, 9428
10a7, e60e
e0d9, 1f8b
5d5c, 073f
2901, 8f07
ac64, 34f7
4c2b, 294c
c4d4, b772
a04a, 662b
de0b, 3b66
3534, 3658
eb56, da15
8357, 4237
7ede, 112d
e645, 2309
0f6f, 4a2b
e782, b799
8da2, ea61
5817, 971d
b380, 10aa
1583, 6ac4
bce2, 9cb2
1902, e8d3
77e6, b7b3
2275, 407a
8802, 78a7
d9da, e29f
2e08, ea01
0f9d, 431f
18ce, 2401
f766, 9d3b
9c84, af88
aa82, 5ade
4c67, 3dd1
9565, 156d
eddb, 4a7c
fea0, 9a59
a9b1, 0047
3fdb, 26d9
9701, d56a
52a4, ab5c
24ef, d379
f66b, 62cf
a634, 0f08
dba5, ebb8
7aab, 3fbe
95cc, 0015
52bc, f4b2
2456, 8baf
d4b9, dd4c
9f84, 9b1a
0ce9, 25af
519a, 5b7c
9fdc, 76f5
ad94, b7d3
62be, 6591
fc88, f3f7
0e4e, 2f86
f247, fcb7
e10b, 6524
b878, 78b6
2a5c, d7ff
6ef2, 94a8
73e9, 4445
7ea0, 3add
a68d, bc74
a961, 5034
f322, 13a0
6fe0, a3ba
705b, e5c0
5e9e, babd
7bd0, 8420
cc93, 6f48
328a, d6db
d897, e7f6
80c8, 3c9f
0beb, c72b
cd02, fa64
2f9e, 713c
36c3, 8c25
c4ed, cb24
9241, 5ced
bcb1, b092
7fa4, e303
e6b5, 7f46
e3fb, e2fa
8b49, 8e4b
c1b6, 6420
bd9b, 9125
a1cd, 0dc7
9842, 9b9d
7137, 183e
37f4, ffe7
270f, d850
7387, bbb9
4963, 2918
e1f8, 485d
6fcd, 2fee
9fb3, b0d1
f5d3, b6b4
151d, 756e
14d2, 3e41
d427, 34d3
aac5, a155
a19c, 0231
e6c9, c2cf
b2dd, 62b4
e91e, d31d
8236, 36af
0c51, 0fc2
6c29, f2bf
d953, 13f2
8692, d221
e712, 7e33
1b57, b01e
123b, 39a0
b433, 1ef9
2d23, 1722
26e5, 296d
d97b, cd4f
5857, 893a
ce68, c704
4dde, 71e3
c85a, ad0f
1ac2, 4e51
b2cf, d8cc
f5cf, a03a
2d8d, 9b2b
957a, 98f8
1751, da5e
791d, ed4e
63f2, 5cce
5e93, 677d
6174, 6e47
3baf, 3739
dc5c, 10f9
5e39, fa0f
7439, 24a9
75f1, 1c3d
bcc3, 9601
f24f, ce39
c774, cbee
9a44, bb41
183a, de4d
1927, 2cdd
2fb0, 97ee
63ec, 7904
d967, e211
af25, 8f99
4c92, 13b1
fd0c, 57f5
168f, c3c5
5917, b2f4
6e8f, 6d9b
3584, 79ee
6a66, 6ec0
3ed3, 7447
3961, 327a
9020, 265e
140d, 7fc5
5780, 6d99
d894, 077a
6598, 81cb
818b, 8825
9f70, 2261
ad7a, 2b02
dca5, d03a
eb5c, ea0a
6e14, b3dc
123e, d575
930b, 344a
e2e3, a63c
1e66, 4b71
c6ee, 080c
5343, 507d
9057, 9494
08e1, a2f3
f965, 0e52
b653, ab59
15e8, d081
9f28, 180c
dc27, e393
0e18, 9f87
36ed, c965
a1dc, 97ef
24b5, 2176
1bc4, 373e
24b8, 79be
e1c0, b867
28be, 812d
b6d2, 0c2d
f012, f026
8acf, 7ec5
dce6, 0cb6
9791, ae8d
f715, cee2
50ee, f291
2eeb, 2dd9
ae92, bed1
19ff, 9d37
7a68, b1a0
eea0, 4bd7
310c, 37f9
1fde, 3044
f2f9, 905a
4ed2, 43e5
6dea, 66f8
4838, 3e61
b221, 9643
6986, b1e8
588e, add1
42af, 4403
f714, 9905
3c6b, f5da
9c4a, c423
fa0f, 5e39
4084, 137d
2798, 3d74
d7e7, e4d1
8596, c484
678d, 8d7c
3e2c, 417b
1c30, 151c
ebf6, e46a
177b, 247c
92b7, 6987
49b5, 2576
e929, ee28
7d19, 5b1d
675f, c9f4
4a42, 0126
a64c, 8219
b71f, fb0b
183d, daf1
f0ca, f6f0
d4d6, 17f8
a9cb, 6330
4350, 7c1c
febf, 1fe7
f08e, 92b1
6f78, 6fde
ab8a, 1245
46cb, ad58
df14, 9c7a
a2ea, 6700
511d, ed6c
2d07, 447f
ed79, 7790
142c, 69a5
f626, 5c40
c88b, 1b77
ebe9, f9a6
0aab, 58af
1c04, 1c14
0638, 0549
c9f6, b6ea
d946, ef4a
718a, 35f5
3edf, eeda
2ada, e7a8
20f6, 2d12
a78d, 6226
d25b, 2189
9050, 7479
7907, e8d1
3a49, f3cb
aecd, 6ef7
e3d9, 68d2
4b75, 2ed6
1fae, 1f61
74c5, 8e05
edcb, e716
510f, 31d3
07a2, e81c
7994, 7c4d
57a0, cdfc
20e6, be20
3127, 5a7f
4e07, 274c
78ad, 2da4
9c3a, cf5f
d132, 3751
98ad, 2c55
90e8, f224
021b, 6f35
a876, ee48
eb27, 7a27
77c3, 79e3
292f, 2580
53e9, 70f3
c92c, bd3b
5c39, ac6f
14b2, 3e81
d4f7, 810e
