3311, 1ddd
d771, ce5b
c565, 240a
f6c4, c8e8
4891, 285b
4619, 2939
2201, d1be
c7af, ef74
b8db, 0ff9
20fa, 8a07
fdd9, a2a9
9259, 2027
4e10, 0d1f
3475, 4591
0792, a026
e1b1, 48b1
7126, 5e87
541d, e3e8
ba73, 109a
50d0, 68cc
73e3, b132
c680, d210
79cf, 0089
a7d8, da83
c900, b9a5
6616, 708b
7582, e111
7d19, 1a09
7aeb, 8803
e594, 196c
9ba5, 359e
e8b0, 71ba
98f2, fe5e
be3c, 2518
3bbb, 47a2
e82d, 7728
b128, 5cfa
e87f, 207b
dcff, ecab
f18a, b1dc
6638, 8dce
c69e, 8f0a
8b33, 57e0
11bc, b784
33cb, 594c
6a88, 3e5e
e4d6, a94e
7488, 5b76
e045, 4177
70dd, 4072
91e8, 482b
d62a, 5005
204e, de38
4769, 98a4
5d50, 3131
90a3, 9602
e565, 2fc9
2374, 9d85
5861, 8e84
fe59, 1d9c
b2de, 18bb
104e, 8fc6
d89c, 61b2
da2f, f311
646f, a27b
5a44, 6f8f
2833, 5e42
4aac, e736
f192, fbb7
f035, 0ff5
e13a, 0e1d
3599, c3f0
ecf2, c615
ee3c, ba46
4904, 40c4
4ded, 8318
d9ac, 937d
37a4, 942f
71e7, 7a1b
6a81, 8d70
bf69, 7d77
63d1, 5582
17f8, 88ad
3b30, a2dd
95c3, 06f8
a12d, d316
3d48, bfa2
c20b, 399b
5540, f568
3a1b, 9024
ccd0, 9cd1
160d, 8620
d0a7, ff0a
fd65, 58fb
116d, 053c
6e51, 0401
5a61, 2b7d
bc4f, c84e
afde, 3894
657a, 05a2
4561, 0e3a
177b, bc38
ba03, 40f4
a74d, bfbc
4d02, 9dbb
2baa, 23e3
122c, 65f0
31f9, 7251
501a, 6f3a
ada8, 12ad
0c78, 1899
bd65, 7a35
96e2, f5b2
a06a, 459a
e591, e95d
3d01, c5de
9c46, 76f4
761b, 53ab
e79c, 9967
c2dc, 92b4
8790, d4e9
53cf, fc6c
9804, 129d
49f4, 9e51
775d, e8e6
7c1e, 2cf7
2c7b, b46f
b76e, 6c7d
3692, c3a1
72f9, d8c2
cd1e, 0e96
32a0, f97f
51b1, c823
6f0e, 4814
ee26, 7b7a
9443, f525
19cd, 1cf7
72e1, f91c
de62, 87cf
68fc, f3fd
686a, 85d2
e48a, aa17
16ac, 7770
ba9d, ee34
1d14, f053
504b, f357
f965, b0ca
e626, ad4b
f3d0, fa97
a220, be1c
a9a6, a3f6
0d47, 0e97
a634, fd2d
f9a4, 3b0e
4e7a, 88b0
e241, 66f0
a350, fdf2
6ef0, e510
187a, e751
82c1, 3ad3
c77d, 3238
5898, 3740
1a5c, 2871
97c8, d207
d8e2, 115b
58fa, 2426
e2ec, c2a6
3344, 4ab4
bf91, 2776
263d, 8b73
30f6, 2502
a34e, 7a50
1c40, 9b85
56c9, e96f
d515, 5f75
b081, 5f93
faf4, 75a3
9263, 21e3
c9ce, 31a4
44f3, 40c0
bbba, 3294
cba4, e6f0
e161, a7c3
a14d, 48df
70b6, f35c
3fe2, 4576
521b, ee15
eee5, 5233
d3d5, b92f
ccfe, c499
8472, 8028
aed9, 92fb
0f24, 64fc
24c5, 44f9
c355, 42ae
f182, ba92
9d14, 6dab
197b, 3b55
bc9a, c6d6
af61, 2fa5
4da6, 1242
2d6e, 7e9f
39d6, f84b
388a, 57c4
e969, 1a75
5760, 0d0a
dc7f, 1cb2
b7fb, 460b
5035, 4c66
86b4, ae9c
bf01, 6fde
7149, d72a
cd8e, 3ec2
8218, c1f2
2d59, 8e72
8707, ffc6
ff52, cefa
f2ab, 4041
1284, 8a30
646a, 08c5
9092, 8571
8ef5, 27c7
df1f, a5bd
ee66, 7c5e
a155, f22f
9f46, 9601
961d, 0123
3f13, 6e5e
7f1a, 1005
0ffe, 630e
ab70, d07f
3baf, c5e2
3113, 03a1
95fb, 3c79
a1d6, 46bd
4f0f, 8a4f
488e, 8dd3
51be, 0bf0
ac69, 1b60
69cf, a1ad
a9a3, 9ce9
7e17, ce6f
3cf8, 8bc9
2536, 5710
ceea, 5966
0525, 527a
7338, 2014
71be, 3ee1
4d87, bebc
d194, b41c
3d0c, 4b1c
cf90, ff45
8c8b, c821
9c4c, fa2d
960f, c757
7c10, 5f96
4a47, 5825
2289, 8c2e
71e7, 7a1b
4dbc, 8000
03a8, 5ba6
4ce4, d9d7
8ef7, f042
f88b, 8ca4
5428, 2adf
df90, 3c9c
e1b8, 4c34
f356, 6fa5
2450, 4de8
399e, e2be
573a, ab94
0383, 4797
6aac, 91f9
8fa4, 0ac7
5388, 4547
fb97, 7c8f
8dc2, 15fa
b910, 7fce
9553, 2630
eb48, 10b9
4397, 3127
77d1, 0b0f
f1e4, 1e2b
d2ad, 42d6
61a1, 3de4
db14, b5a2
1e55, d354
9dac, bb4a
b58b, 092b
263f, a97d
6756, 5ca8
cd58, d503
3066, c4af
9c62, 8a13
1983, aba2
eeb9, c48d
7836, 38af
2b73, 388d
3f10, 2030
8a5d, 3b37
d966, 733a
ac29, cff2
61b1, 0537
725f, f2b6
d46c, 2de2
b88b, 5263
063e, aefb
e426, ba07
8c8c, 87e8
bd07, afaa
e03c, 6214
9f89, 972d
2ef2, 549d
6eff, b5b3
6cb2, 0161
3437, db3e
2dcd, 6263
9c66, 107f
ffde, 580a
42a2, 903f
c0e9, 2a7c
7591, 5c5f
dcd5, 566a
6bcd, 58fe
2ea7, 2701
b75a, 46c5
4e15, 796d
f1f0, 3d32
5b11, d9a4
add7, bd7f
1198, 9032
7104, 88e4
8dc6, 4798
6386, 8f65
fb7d, 3eb6
6981, 7d12
88ea, cbb3
2bb0, b69e
a7a2, 27cb
3d7a, 034b
34bb, 0b82
c39a, fdb2
57d9, a4b0
ec16, 0aae
9161, 76a8
9166, 44c9
f4c9, f1c0
5889, 9a31
f158, fbb6
9663, c44e
8ed8, b74d
a8cf, dffb
6b0e, 10f2
601a, 3c33
dd8b, 31ef
658c, 895a
cb11, 7062
9b3c, baab
4344, f5ac
2549, 2fe9
7394, c5fc
745d, 815b
2446, a872
f7bd, c246
2587, 65a2
3e20, de04
a184, 9e71
8560, fcb1
a5d4, 3535
3c0c, a6e8
aec8, e739
1780, 05a0
22af, ab53
d348, 73ed
a2af, 1669
f216, 098a
76e7, 1b35
e295, ad23
15e3, 9763
870d, 0007
8841, d5e7
8097, bee5
c52f, bf7b
fca1, 84d9
cb68, 81fe
6021, 041c
fc7a, 08a6
1f60, c8e1
6369, f4f1
1536, 331f
18a0, 1273
0311, f772
9fd3, cd6e
a7b4, 9b74
9bcf, 5cb0
4851, 9995
d79d, fd0d
e2b5, 481a
c2ea, 0577
00f5, c9d1
bec8, fd33
ad06, 4193
5df8, 365f
1462, afa2
febb, 4f91
eb26, 6f96
0682, b548
6075, a64f
c157, 1eac
6b6a, e7e0
7f19, 493a
6415, 4796
6bc0, 32ad
f28d, 7b1e
71d6, b511
d202, 529c
f8cb, ecea
38f0, a559
d0f2, 4e42
0fc7, ac9a
460b, b7fb
fe1c, 04a5
a55a, 1f57
86e1, 6f39
5e59, b76c
b1f7, 851e
e833, 02ba
11ea, 17d6
f911, c428
e0c2, 270b
f5e6, 06b3
6da9, 2f55
eaf3, 41ac
c838, 8822
fa15, ad9f
c129, ccbf
a5ee, 6ca1
f5bc, 0038
b700, 46aa
b4df, a612
3102, 10ab
896c, 23a6
cecb, 1305
205f, a31c
492f, 3f80
c3da, 5542
49df, bff0
e257, e2f8
56f5, 3584
da87, 8759
c193, b89e
f93a, 560a
f16b, 0c57
4b27, a42f
4263, 6cca
181c, 47a0
20c2, 8d72
8c86, 9f60
6101, 944a
ab97, 098c
1adc, a334
5006, 8a6b
be5c, f47d
8d84, aacf
0c19, 4d83
d325, 06f6
4d66, 3598
8b2c, a246
8835, d8f2
bd33, 9ab1
4f8a, 97fd
e1e4, df6e
c20a, 6987
9b28, 2ab0
67d6, 0870
4c40, 42e6
6159, 871a
7f2d, bbb5
cadd, 2803
c2bf, 5bdc
faa8, 9a3e
8423, 893d
48bc, 821f
bb17, 22cd
4d51, 0775
5624, c520
9050, cfde
14d4, 3fc8
08ea, dfda
3d10, e0b9
bcda, fd41
1e6e, 4bc2
4d2a, 72b2
a432, 4d42
0629, 9cc1
86be, 42e2
a9c4, c60d
8854, cbd2
027a, 9fb5
c0fb, 93cd
9214, 008f
59d2, cf23
1070, 4938
1678, b33f
401e, 7681
13ad, 2c52
9a68, 308d
6c93, 9e9e
ae6e, 0616
1d5c, 05bd
a605, 601f
38ea, ff2d
9b2c, f80c
7b17, 97db
8480, 5893
0f19, 677f
5e60, e8a1
0f66, ec2b
1e7c, 94bd
12da, 12ce
c8e2, f7c7
d20c, cb1c
54e2, abd6
8c3a, 3cac
f644, 5819
93b1, 0d06
47f6, 316a
6ddb, 2fba
d650, 130a
ff99, b8cf
1977, be53
f969, 4103
7e9d, 8d91
8aab, 1012
9b4f, 3551
b90f, 1d2a
dc3e, 3067
7f7e, a49b
492a, 86bc
f8d3, 60c1
dc66, 682e
641c, fd9d
0815, 7b48
4c9a, 8b91
e5ed, 874e
07b5, 9603
bfad, 96b0
a2f2, 4bb6
af37, b907
3d4f, 846d
b136, 9d59
6def, 7cd4
e693, 1b43
2b71, c5f9
29b9, 8fb2
76a3, c486
bf93, bc94
5236, 7fb9
3bc6, e4a1
48bf, ab2e
bb51, 20ad
afbd, 3e24
820b, c801
870e, 3b49
3e69, 8bf8
383a, d833
7c9e, 39d5
98f5, dfba
15a8, 19c4
b105, b52a
98e9, b3a4
9966, d686
7566, 7470
3a32, facc
82c5, bcd5
d862, 582e
c1ed, ed02
218a, 59ad
30be, 43e5
22d3, d92d
bfb0, b9b7
06d9, fba3
1c30, 03e3
ca6c, 65ec
88cc, c7ce
e01b, 105c
a2c1, 6631
1d63, e48b
03b3, 0611
be65, f792
0165, eb4c
1459, 28b2
01c3, 1265
776d, 1720
76bb, 3323
99f3, f2db
add3, 2b7a
dc6c, c71c
2f58, 859d
33d6, c69a
8871, f5d0
1610, 6cf3
08b3, ee2c
b453, bae5
e2ca, cb93
e945, 1396
62a8, fcd5
2df4, b52d
bd8e, 9844
3e66, 0555
233a, 2725
3aec, 2ef4
94db, d191
8468, 3bb6
aaf0, fba0
699c, af31
4f7b, d68c
8107, 595d
1cf2, d3b8
3fa5, 6932
f770, f870
0957, 9230
d39e, 5a8c
66ab, 2c80
c469, 6fb1
5216, 8509
2a91, ab32
0f6d, a3c3
3a88, ae5b
5671, 63b7
6de5, 9a9c
6244, 7df7
8eb1, 9523
9eb8, c2e2
b8f2, 9448
0229, 53a8
25f4, 04f8
9b38, e71c
11be, f47a
2ede, 5d15
347c, 3964
270c, 45f2
6af6, a67c
32b1, f916
100a, 6278
c901, 1334
847a, 25a0
e88b, da49
273b, 5e05
362e, 338a
bebd, d752
6a27, aadd
c0b0, 4f5f
9f1e, 4e2b
d530, ee01
47fc, 45a3
b067, 0c31
bdd2, f1d1
8866, 875b
9eef, f29b
30dc, 1c54
4ada, 91c3
dd13, f658
430b, c9be
3168, 9751
17a5, 92f9
87da, e8f7
f0fc, e35a
7f7b, 620c
f22f, a155
35f7, 16ff
c987, 02c7
5c7a, afc2
3904, 4331
18d2, 2513
cef9, ef7b
4b02, 6bab
1685, 4276
8012, 8d1f
96a5, efdc
dbc8, 1b53
6d4d, e849
39b2, 91cd
50fb, 19b2
758b, 6f60
6b09, 081a
c6b1, c9e4
b7d2, fa05
52f3, b212
7f14, 994f
c341, b2bc
118f, 1e20
d273, 1b61
0107, a335
36b5, f9c5
6859, b827
7e3c, d844
ac5d, 9a90
f92c, d495
56cd, 1120
bebe, ae41
e477, 8d44
682e, dc66
5323, 72c0
d7f2, 083a
3d4e, 756d
696c, df74
1d04, 69db
b538, 5631
2883, 3ae7
062b, 303e
dc42, f694
1003, eb27
e848, 1e7d
23fa, c299
db16, 16c2
1d36, c01b
c549, a1a9
856b, b064
00c5, 2fa0
01f2, c669
c1bc, bbda
85c6, 30f9
37c4, b9a8
a37d, d804
38e0, 2b40
8199, 7c75
3c0c, a6e8
9bda, b936
ce8c, 111a
a6df, 6231
7407, 77c0
48d1, 4b73
cd9b, 07ef
7f60, 6706
e906, 83c5
6ffc, 1b1f
28a8, 1210
3ed8, 1f1d
6211, 98b4
ffd0, 0a6b
ecfd, 8c01
879f, 317c
c310, 01ba
f32a, bbca
96b7, 83dd
6d17, 9f50
e803, 6bd7
6979, c05e
4ca4, 6475
d3b5, b167
1a8b, f741
74e5, 35b0
d15c, 319e
3ea2, 6062
2562, 72a8
0135, 0644
afbf, c15a
bb34, ac17
1784, d7c5
21ef, cfe1
ddd2, f60b
f51b, 98ae
210f, 8837
a7cf, a2f3
90d4, e4c8
0927, c380
b6a1, 4fd0
d1e8, da27
ecbc, d810
399a, b31f
d16e, 9d42
9c36, d32f
bd32, 382d
09a0, 0505
4056, 94f0
ca59, 173e
75a5, 3af4
dbba, 62f1
8743, 1e19
071b, 06e5
d45a, ea0b
eb05, 1afa
0a4d, 8dbc
58e7, 974d
affb, f90f
638b, 68c9
890d, 98db
136d, 8653
4a4c, 6c07
5585, 02eb
9e4d, 3a63
06a9, 9f6f
c1a7, 7b56
02c4, 3965
67d6, 0870
392a, 308a
f875, 19be
1f6c, 539d
09a9, 2852
6fa9, 4a41
cfb2, f0ac
37cf, e8d2
6dc3, 47dd
2d7c, 6c17
58c2, 8b39
38db, 5cff
20d0, 838b
5fd4, 557a
9be3, f149
5b36, b070
0251, 1a13
65b4, 4812
fc3f, 83e8
85b7, 49ec
bcae, 37a1
41c3, 3bce
6a39, 9c48
8980, 89c8
fb6b, 57a5
c8bf, 67d0
477c, c0a7
09e6, 82ca
0cd8, b651
6ea3, 6b01
3746, 4185
0f46, a3e7
9688, 670c
2ab4, 242e
f60f, 67ec
4336, e00b
7c33, 5a4a
d41c, 2e65
863e, 22f7
56f0, c00f
a8fb, ba47
b159, 4f59
5f2a, 8cc1
3468, 34a3
b1b4, 6f52
e531, 8c6d
3cd7, 4991
e76f, 1ed0
d30b, 1166
185e, b002
e18c, 5a48
2aaa, 718e
554f, 6fb6
ddd3, 4d48
64d2, 2be9
30b1, b0a5
1b9e, e586
84dc, b9fd
046a, a81c
ee31, d77a
8c8c, 87e8
210f, 8837
cd1d, dc5e
a699, 92da
a694, ac42
66fa, b733
85ab, ca6b
58e3, e38b
ebdd, a5f9
a0d1, d969
d15b, dbb2
85d4, 8cd9
a983, 24fa
6aca, 08a9
2e06, ec52
55bb, 0c9b
edd1, 373b
dd87, a86e
9552, ecaf
a3de, 2c7e
c009, fb46
5b89, 8192
793e, 5000
66ff, e370
5a25, 770a
98c5, 941b
02f1, 0c26
8d73, 58f4
098c, ab97
f3d5, 974b
6476, b2f7
8d77, 7301
e2b9, 9bd9
4739, 3ba5
5e30, fbaf
d21e, 2203
7fb7, 82b3
95fb, 3c79
6d58, e57b
c80c, af70
f49e, bee4
a843, 90c4
c228, 2619
6a4d, f9a3
5016, 530b
d90b, 9f4b
b972, 9c74
b4cf, bd0f
27f3, 156b
5088, 8a0f
eca2, 3595
d2e5, ec22
f964, 5f64
2959, 51ac
eb6d, a740
98ca, 668e
adbc, 47f2
db8b, 1e89
649b, d99c
2605, 8ffc
62af, fbdf
d2f5, 9f67
209e, efe8
b292, eec8
cb25, d697
11c1, ed1e
b084, d0a0
8939, 11ba
9b86, 157b
d491, a731
b91e, c78f
ef31, 7e1a
e755, ad79
2480, fb36
f837, c4c2
783e, e14b
6230, 5c06
1155, 142f
d4dc, 5013
5172, 6423
d9fd, 5bae
2070, 906e
90a4, c880
16bb, 207f
2910, 4565
1bf2, 55c1
1050, 9345
08a2, 4a55
a370, 4d01
3557, 4ee9
20f9, 5eb2
8b51, bde3
147e, f1c8
1cfc, 28f3
9d74, f492
c4e2, 1fb6
655a, 782e
4f3c, 6a05
96fe, d227
a4ee, aa43
1a3f, e27c
0bd0, 2620
e5e0, 5153
502f, 5a1f
0a5d, 4c15
27a1, d475
557d, d0c0
c79c, 5257
72fd, 775c
0f52, 347f
9fff, f206
75c4, 6e92
50f7, e401
8791, 3be8
496b, 6fbf
b3f1, 7a63
ef52, 4564
86a0, bb9d
132d, b867
5fdf, 7509
a280, 1867
f2d6, 8f9c
d147, 5134
44d1, 3c4c
422a, 2e3f
2189, 9ed1
9cd5, ace0
ecb7, d0e0
7049, e544
e797, 6e4a
5625, 5110
8ffa, f887
519c, a0f3
95a8, 77bc
9bcb, b2bf
8abe, c066
9376, ac8f
02a5, 37ea
d77c, d7a2
0dbb, 6cc9
27c8, 8233
ca23, c134
3db5, 51de
945c, 47f7
99f9, 4290
c7fb, 32cf
821f, 48bc
e1c2, eec1
e69c, 60d0
4db7, d75a
dd49, b95d
353d, 7d71
0a0c, b1c0
cb95, 6880
a7a1, ab14
0990, b823
3e2e, 2442
3f69, ada9
3d77, aeb9
f027, fc81
c356, 768c
56b3, c742
8db1, bbfe
7d78, b1a8
3e46, e3a6
857c, ecf4
5cf8, 2c71
2faf, acb1
4e19, 4143
6c18, a41f
5379, 65d8
b698, e60a
e766, 0e70
389b, 53f3
573e, 54e6
a294, 79ab
c376, c1c8
3721, eb1f
09ab, 2524
b921, 9895
f998, 9c91
d83b, 7ce4
96ff, 1e16
afba, 0827
6bbc, bd9b
8b90, a633
4a46, 50b3
05ce, 83ac
47c0, fe4a
a8ef, 2c8a
79f7, 3e6c
bc53, d86d
5fd9, fc30
75f0, 3512
2738, 61fc
7eb3, cda5
7568, a77c
c48c, 39f3
2bf4, e2b4
065d, fe96
1ec9, 175f
e54b, 065b
97d2, d92f
570b, dab7
f5d4, 6161
2170, 07b3
71b2, b2fa
ca32, ee83
24ba, 251b
2090, 29d9
51c0, b1ff
318c, 6c02
cb3c, 96eb
2452, 4899
af78, 92ed
f30c, a2f6
613b, f883
d86f, 74b4
59e1, 2a5a
b442, 6346
e06f, f0ea
0ca7, 0be2
d856, 85e1
d0f0, 6fe2
6088, b02c
c387, c75b
f93f, 00ab
02f1, 0c26
e7d7, 0ea7
d38e, 1174
66c3, 2861
7ba3, 95cb
1115, 77f6
2603, d512
7cc2, 672b
bda6, 8a72
244b, 8bcb
1dbf, b3dd
ef4d, 62b1
8bbd, 7cf7
d609, bdc2
d56d, cd5d
a1da, c5f1
0595, 391a
7a0c, cc6a
c873, 7236
7559, 7b37
0c31, b067
1278, 49ce
51ee, 9410
f9a5, c401
4421, c731
e97d, 06fb
a053, b307
d812, 92e8
0df5, ac1e
b221, ec0c
8679, 5f3c
4c6f, fa0f
8ac7, 8d7b
8b42, 39c2
2364, 7a9e
76cb, bcb2
4c96, a006
96dd, 152d
4f3c, 6a05
b85d, 44e8
f59c, 0f83
5d74, a63d
0e77, 64ec
32cc, 8ca9
5431, d903
06d0, 0527
2563, 7765
3a7a, 363d
14f6, 0a51
ffa4, 3a46
f87c, 93b8
4f6d, 5afe
b5a2, db14
3afe, 0d9e
63ad, f302
9f56, f7cd
0d55, fb4b
5590, b246
5105, 5c49
e29d, 3a71
b6a2, f822
7a12, 3776
01f8, e2d3
2a1b, 1e1b
1693, 8d65
e766, 0e70
d024, 8a0d
5ad2, 928b
d281, d5d9
7d0b, 2fe7
ab8a, a800
13ce, 1970
4016, 1bc8
811c, db8d
5320, ce3f
2f78, 090e
6ff3, b204
0447, 4aeb
f4dc, c107
5e2b, 57c2
f5c2, 6002
bb44, 3a58
e7c7, 4b51
c69f, 9b87
aa8f, ee56
ef76, 4689
b55d, 5b6a
77f3, bd4d
3897, e1fa
eacd, 005d
450d, 6a18
588b, d9b9
6326, 8ae0
8fd7, fbbc
e283, d342
acdd, b7b2
8ec1, cea9
ccf6, 239a
e639, bcd0
aea7, a236
b1ce, c07f
cc4d, 9c23
8095, e925
136d, 8653
9ad5, 4921
4ef1, 8ba1
0d4d, f963
1539, a0ea
a402, 1b16
fe74, 1a67
ba51, 3030
3c2e, 5ed0
debf, d708
9130, aca7
d13f, 1d84
b3ef, 27d0
bcbf, 6bf0
6f00, 06cb
db82, 3aca
c21f, 9b9f
1e58, b77d
b630, 7225
756b, d093
860c, 1479
a396, 752f
33d7, 8cd3
01e9, 41f5
d87b, 8fdc
fbfb, 6710
a4bf, e7f9
c1a3, f868
109a, ba73
4b06, c055
3a3b, eaee
c6b2, 8235
643b, 8d17
fb69, 6c2c
c84b, 4ed7
1a2b, 31dc
3476, 8db0
309a, 10b1
e026, d835
65b6, f626
270c, 45f2
3ac2, 007e
8a5e, 2be6
cdc8, e7ea
7e6f, 2290
6859, b827
2121, 142e
9d3e, c470
e39b, 734c
cf60, 828c
270a, 57f7
2205, ea46
38e6, 4359
5262, 1d31
b7e3, dac7
6166, 1fc9
ec48, 8b2e
23e9, 911d
0299, b32d
ac36, 6a46
5718, 89b8
7347, ef7a
b7a2, 385a
07b2, a278
d504, b045
af5d, dd64
ce9e, f33b
110a, 905c
cdd2, b4d8
e589, 51ec
03b2, 0942
19ae, 16bc
62c9, 535b
5da3, a764
dbdf, d260
bf79, e67c
5b8d, 8a31
e54b, 065b
97e4, 618d
1837, 320f
1d67, dd5f
fc4a, 527d
0c15, 735e
5281, 31de
26f6, e3f9
1929, e928
315e, 3b86
f791, fa43
3553, 16e9
f3c3, b038
8872, 6a8b
af18, aa86
b484, ee0e
5cf8, 2c71
3c05, d906
8db1, bbfe
5dec, abf2
6d18, d60f
f98a, 13ab
f133, a4c8
0fc3, ddec
5fba, c647
de09, 84cf
1bec, 4927
2d22, 33ec
8d46, b127
d164, b203
fe16, d5cf
301c, 235c
f1fa, 919d
42b9, 4629
d15a, 63cb
b355, a157
5f3b, a7d5
1a77, 1849
b317, c088
a1aa, 9be8
f3f3, 698d
e986, aa2a
4dc0, c0d7
69b3, 9810
1e5d, bca8
23c2, fbd8
d699, 09f9
16d0, 340b
e658, 2fae
1389, 82ea
231d, da79
4357, 56ad
653d, a9f1
c3d0, 7d9d
3986, 96a1
812f, d931
b31d, ec65
b660, b701
c004, 4e85
9037, cee1
ddb1, c612
8c17, 9df8
26b1, db19
7efd, 7cd7
b6bd, 9387
56d6, eb2b
f91a, 0b72
4b7f, a7d4
545a, 547a
6056, d3c7
a476, 2381
f4f3, 7dd5
41a9, 95af
02d1, 2f8f
b81d, aba8
1d1c, 8122
ce28, 344b
7b43, d1f5
2321, 21ce
22db, 7c48
d7f5, e4cf
b54d, 5f46
fa34, 1775
e19c, 5cd2
19d7, 2968
0d3b, 1cc3
8020, f025
5cf3, 623e
7c29, f7eb
01a9, b2f8
9227, 2726
d689, 9776
4854, d465
7da1, 7c84
985b, 345c
b0e3, 76f5
d277, 246c
b2e4, 3ae2
258d, dcb7
276d, 5da0
f45a, fb19
dea1, 1729
cef0, 9f8d
9dbc, c8ef
a0a0, b65c
650c, 9c49
00a5, 2b66
7e76, 0501
4cff, a2c7
197d, 4bc5
a0b9, f0dc
9b89, 7ce2
018d, 0a50
7603, 4069
b034, 387b
c4cb, 51af
8bf8, 3e69
e1d9, 5277
410a, 40a1
d9dc, 5842
096a, df20
e2f2, 4af5
ca16, 8456
f021, 5f5a
a404, 33cd
3d0d, 76b1
8171, 926f
96f6, 825e
fd39, ff8c
fd8a, 8311
6f7d, eebf
5ca2, 5184
02e7, 8066
9fde, ffb0
149d, 1f07
85b4, a59d
d525, c4df
17ec, a4a9
cd4f, 2043
9659, 6e80
a554, 2371
6a1f, 335a
8da4, 1b67
be60, 09d1
43cf, 1a5f
a0b7, eed5
4d70, 5680
e910, 9f7d
865a, 826b
152b, df48
5de4, 8057
09a3, 429b
647d, 4e4c
8ffe, 8793
6fd9, f604
3300, 1e04
a497, 68d1
c9ff, 6a71
fc40, cf96
439f, d583
2e35, 171e
38c9, 47b9
edf1, 7e2b
ea20, d859
8484, 40fe
f725, b311
f134, 1d8d
aedf, fbe5
0ed3, 7df8
681a, efc0
4c05, b4c6
04ad, 17d7
c800, 74dd
6d04, b59a
a6bc, c83d
2653, b42d
91b5, ba40
06e9, 1f66
1cd4, 31ca
f157, f489
3f54, 2f5c
bb19, 90dc
6064, f333
5c90, a211
3176, 5b93
d90b, 9f4b
febc, 08db
17d1, 82ef
e653, e4d2
9d36, 9434
3569, c504
e211, eef0
1496, b8dd
de0c, a111
b1fe, 78a6
8037, 8b09
3e63, aab8
a1f4, 7c30
f53f, 19a5
1a70, 2890
47e0, 857d
d69f, 4ab8
7ed1, 708e
2043, cd4f
7f3b, a0e9
6a62, 325e
5e58, 36a4
a5a9, 7389
cb34, 758a
1f19, a2b2
568d, e05a
