8cf3, 77db
f51c, fec3
3089, 4c5b
e9b7, 5815
a354, a1a5
1c0e, a222
1839, e601
f7ed, c3fc
8172, 4391
aaa8, a1c1
0a18, a40e
d39d, 8ae2
70f8, c401
e5e5, d8c5
e6f3, 0542
368d, 2146
08bb, 8f03
bbdf, aed6
39c1, 750a
f4c7, 9f05
db72, 2b66
876d, c88e
6e01, 8002
0216, 71d0
2eb3, c0a4
9d19, 7b21
7f3b, 6ed2
360b, f437
6501, e991
05ec, a371
7ff8, 198d
14b2, c0c4
e6b9, e1fa
4479, 3d26
3cbe, 09c7
b141, 81e0
cb94, 8cab
d19f, 1c47
0a18, a40e
391b, 2ec2
9764, a2c5
96b5, 6dc5
e64e, 6e49
c446, 2efb
175d, a2ea
21ce, 8b5e
91f5, 9b9b
ae62, 9442
ae97, 49aa
aca0, f25c
d9a8, 56b1
1297, c74a
86ac, 801c
b0a4, b6a2
6504, e114
4d74, 2d72
a8bc, c425
3bb3, 2823
d46f, bcdc
da15, efeb
bda5, 0a97
aa3f, 6819
ecaa, 0aaa
9d8d, 535f
2b3e, 198f
95bc, 22bd
0739, 03f2
a4b3, 6e85
2829, 083d
5eab, fb29
300f, c1f1
14ba, 17b6
2f3c, af72
7cb0, 62e1
50a9, 7d82
9f8b, d1c3
0649, d1f3
9568, cb2c
247c, 5385
5f72, 639b
0e24, 7e53
5585, f337
5ba1, 53a6
3b64, 98ff
9edc, cb5b
fda5, d88d
3ae4, 332e
f941, c5eb
9da2, fda4
2036, f9eb
6548, 0561
ae84, 91c5
4bf6, 61e3
2759, 78e2
3a5a, cf29
0f4c, c510
0ed3, 5b4b
c15b, facc
74c6, 9880
48ff, 8a95
3989, 9b17
c688, 828c
7849, dbdb
be4d, 2d51
2b44, 914c
6569, 8475
b88e, 1df0
7e78, 78e3
012e, f95c
011d, 5dfe
06a9, a07c
dbe1, cdb0
b495, d2e5
6e2e, f81c
dc5f, 2149
e204, 771e
4217, dd02
aeca, b20d
4f39, cfd0
3b5f, ca97
d652, 27d1
3be2, fce1
eb48, 288d
f584, c91f
8a90, efd2
7f2a, 46ac
a872, bba7
f406, 29e4
10af, d7b0
0a79, e496
0d8c, aa2c
7945, 2a93
4354, 2ae8
1b56, 4c58
38e8, 91ba
9708, 8437
6047, fa43
410a, 6e72
9509, e97f
89d8, 4f4c
0a16, cc77
0141, 5e04
f306, 4900
6233, 11ce
e822, f4e9
71c9, 52f7
5496, 7ea8
e039, 82b6
fcf6, fac8
7ee3, c44f
7d34, a08e
5b85, 738f
1383, 12ba
514e, dd5d
2cb0, 3ba7
b7c3, 7f53
a431, 72b5
2c8b, 58da
4693, ad61
0c06, 00a6
0600, 9ead
2336, 2af9
9713, 3080
49ef, def2
23e2, 26db
d29f, b6ed
8f9f, 990c
3735, e6e0
5a59, 376c
4367, 6621
3dee, 00c2
c460, 8e4e
f78f, f489
128d, 354b
c517, 6201
3ce3, 989f
e33d, 7f84
3ecb, e90e
ae42, 005e
1358, 3d70
b568, b0f2
a239, 26b7
1066, 7dfd
5435, 11d3
939b, c671
93dd, b633
15cf, 7479
2411, 1ffa
fc75, bec3
5951, 0ba6
4061, a8d0
eb5d, 6299
2112, 657b
97ac, 7bd3
16d5, d084
7256, be62
fced, e058
aa56, d303
f785, 86b3
fe7d, 65ed
1d13, c7a2
7b27, 9c03
02f6, 92c7
15d6, d171
9238, ec9d
8a42, 6e14
d745, 656c
5579, 58c0
1a7a, f566
4b70, 7da5
e041, 9d3a
3605, d96b
fb06, 6cba
71c9, 52f7
5ef4, 4293
0af9, 0268
750c, 3977
d264, ec71
9e08, 4c60
e6ee, 4a74
4f0c, ac19
0e08, 0863
6349, 71a5
b7c1, fe68
10ba, d40d
8f35, 31ae
8bce, 3515
ea5e, e3c0
2cb8, 2c03
4b36, e5a3
c1ef, 872d
647b, 780b
537c, 52d6
69cf, 4c15
1aec, 347a
5075, 23d7
0165, e257
0c50, 1351
f524, 889b
08d3, 8e64
d4f3, b3ff
4457, 6bbd
837c, 7080
b353, 5e1f
b65b, d776
0d75, 8529
9c65, 86fc
afee, f74d
4044, 22bb
fe56, 3c58
6533, 390a
07af, fa84
21cf, bce5
8646, 54a3
8855, cdf7
96e0, 1ac4
5a7e, 1164
4f91, 1f7b
cf29, 3a5a
cbee, 1c09
d97f, 6556
3372, 40ba
df97, 22a8
9c86, 2754
7d19, ccf2
93c0, 942a
de75, 8757
7913, be66
d98f, 2984
2cf0, 6442
5215, 5f69
9bd1, 944f
b595, 04cc
5bb3, 7e1d
0ea4, dd2a
7aff, e491
6121, d856
4220, 84a6
9a72, c82b
51c1, 3ed0
bc07, 7403
70fa, adf7
2b01, 5379
533d, 6e4f
0c52, 9c6d
ea73, f435
70cf, 8ff4
7abc, 55e2
f967, 40ed
6328, a74d
030e, a7f3
77c1, 658f
19e8, c467
cf9f, 3aaa
0ce7, f5d6
3f6c, ec6f
ac3a, 27d9
d899, f59d
0953, caec
a1f8, 404c
0c60, f66b
e5f1, ce2b
b3d0, 7d5c
4b8a, 006f
ff17, c810
0475, 50e4
002f, 2154
ebcf, 97b1
6d4d, 9719
fd8e, f68e
54ff, 11dd
edc7, b133
7dc4, bc02
dcb1, a94a
f902, 4bd1
2c53, 7087
81d8, b110
a208, 8b79
574e, c737
f8ad, af8a
53d5, ff6e
99af, 148f
bdcf, c74b
ab8d, 99b4
8ca1, f767
a0e9, 2615
50b6, da47
6e42, 27ce
8155, 101f
d223, e966
45a0, 9db3
9f57, 987e
88e6, 9d7a
d348, 233c
f29b, f572
e352, 4215
f05d, f156
e90f, 3b7f
6d57, 30c5
41e8, 3a27
622c, e764
d178, 1877
7e6f, 0109
b992, a6e6
31a5, 5fc8
b3f5, e66a
5586, 472c
9fe8, 5780
5a49, 9d01
e8ea, 1814
5d82, 9924
84ff, 928b
18b0, 1259
14ee, 8601
ef95, e856
89a5, 8bba
e4f1, 024d
a3cd, d3f7
c31a, c4b8
7b78, 6c22
a055, f965
8207, 57bc
9167, c701
5df5, cda5
a2e2, 01a9
f647, e0db
843f, ae79
68af, 9d38
9ba8, 43c1
1ef2, ea90
9e70, 4ef1
0cf1, bb0c
3886, 35c9
9eb5, eb93
615c, 332a
9285, ea13
1469, d36e
8666, 800a
5eab, fb29
d743, 612b
982d, 8da7
2397, a492
2494, 9fc1
93b4, 3902
e55c, 4401
a271, 397b
19e9, e480
d03c, 0eb7
67a3, 604b
2477, 2f97
b796, cad6
cdd2, 96c6
80bb, cb9f
b943, 0b47
f71a, 7d67
f92e, f349
05b6, 17a3
6ad0, c755
033d, a73c
ce7f, 2bd8
050a, 6670
63a5, 439e
88a4, 6798
d2f9, 3bbc
9499, 6ef6
c6b2, 42f2
8278, 906c
f19d, cb4d
af92, 8cfc
907e, 7491
a820, a4f1
fd3a, b2fe
bfd6, 3166
c31c, 7b8e
1e1e, fe27
7c72, 7ec0
1764, 568a
ddbe, 2eed
7cc0, 1f44
9cf1, c608
d62f, 732d
85fe, 3edc
3bb1, 0da6
8b66, 6c25
f551, 0acf
994b, e41a
b69e, 4632
de47, ba2a
87ce, fd21
52f5, 77a5
0888, 0c44
4f60, 3273
8f9c, db6d
1b15, 5caa
37fd, 902a
5fa4, eede
6617, cc5e
2c2d, 82bf
de73, 984e
5e9f, 791e
c38d, 9cef
8d2a, dc5c
b0e5, ca14
3c07, 470c
8062, 7f23
de17, 027f
3eec, 9c52
1069, b960
f924, 85a8
9e01, 6bc7
92c3, cfd9
72c1, 140f
6722, 839e
0f50, 91f2
f16b, 0a39
ec6d, 19d2
20d6, 7e88
8b9f, b593
e9ae, 065f
53ca, 1654
ce9b, 9cc7
490a, b6f3
be59, e47b
ad54, a63d
179d, 1448
78cc, 2ce5
bcc6, 085e
253b, 1ae0
4f08, 108d
c0fc, f0ff
180c, 323e
db85, 1cc5
ab67, 93c5
3792, 7de4
d613, 4c19
6a6f, 0991
4f6c, f7c1
c12a, 53fd
b8df, 4043
c480, 494a
cb34, 8f93
b0b3, 1690
0968, 3c62
96c4, 56c3
054f, 5373
c7f8, a764
4522, 1c18
82b8, 25e6
9b15, c85b
9b8b, 9186
8210, 4e32
c1f8, 90cb
2afc, 6e39
8259, 0703
0515, 8d20
bed5, 2e6b
e6d3, f58b
85de, 02f7
5d96, 1268
c363, f913
803e, 948f
5e2d, 3c55
55e2, 7abc
1e35, 052f
bd56, 69c4
bfb9, 9961
b5a9, f969
0bad, a81e
5f7f, e7c3
135f, 95ec
9475, 1d3e
73ce, caa6
ffb4, e789
be5c, 5314
aabe, 2a79
a74f, c92c
b98b, aa02
0d48, f5ee
498a, 3d7e
f864, 0c59
25e8, 68cf
497c, 8b94
62f2, 005d
5254, 9c90
a384, 0bb7
b124, 4065
7f14, dea2
1e23, f195
9770, 2051
3e9d, f12a
e4d0, a33a
c3a0, eb2b
4dbd, dad8
d53e, de5b
234e, 0cb6
090b, 447b
06e8, cc38
1906, 120a
a7ff, c053
b142, 14ca
99ac, 6a47
0f98, bb3d
c32c, c1a5
32fc, 736c
e157, 99b8
dc6d, 7fb8
1984, 1252
043e, c4c6
ed8e, 6fc8
8fc6, df6c
f3e1, 614d
4475, cde2
eaf4, d172
eaf0, 63f2
d950, bc12
68aa, 772e
147e, 6865
bb57, f342
a3d4, ceca
ac08, 52c2
50f0, 7590
3960, 6d71
7152, 7c58
3a80, 3bd9
fa20, 0d2f
01a1, f167
c758, 1480
d902, 8bab
0244, db28
1d89, 554a
e3e7, e376
70df, 1328
1b38, 0a71
f055, bfa3
e751, 00e9
21a3, f09b
99b0, ebcd
61fc, 6218
f8f8, 5360
64ca, efc7
e4af, 6a86
77cf, d646
53e0, 2811
f041, bdd2
006a, 4b9c
d8d2, ded4
330d, 0224
094d, ce9a
d67b, fda3
cd6b, 2a54
540a, 74a4
8d3e, 2afe
388d, 8148
60c9, 6cb7
8c8a, a90c
8dd4, 23f2
8f41, 262a
2211, 688a
9de5, 7b14
837a, a02f
d92f, c5e3
a551, c478
52e4, 023d
aa4d, 115b
1312, aa64
0b69, f11f
b4b1, 0c24
633f, 304c
e3d2, 106d
fb1c, 0790
46c3, 6dbf
8310, f009
efa5, e269
1017, f81d
034e, 3545
2fad, df8e
329c, 8da1
f278, 0396
21b9, 0dc5
318a, 1768
61cb, a4a6
e3f0, e49f
4ede, 59e4
6610, 88ca
b8ef, 982b
a237, d818
eca4, d56f
add3, ab2f
b97a, 8ecd
3a17, ca8f
46d3, c96c
50f5, 2669
a639, ea66
66bf, fbf8
e728, 94c3
f00c, 6209
380f, 203c
75cf, b621
ffbd, ea2f
fa77, d6f6
8412, ab75
08b9, 8094
f5b0, 0d97
d822, b4ba
e878, 9b08
49dc, 1782
efde, d3be
2546, 00cc
7202, e16e
363f, c7c4
c142, a318
b851, 0c30
f789, 40e6
5acf, 3887
5909, 626c
2171, fa44
4701, 6eb3
3066, c728
1450, 22f4
9d69, 6c5d
f2c9, 3f0b
5355, e86c
b260, 5065
b4f9, 5032
bb7c, 9c29
d196, c35b
8ee0, 28da
c258, cc18
35e7, f139
b850, 55c4
6171, 1c6a
4fa9, 2f38
8584, a475
b51e, 4448
7a7d, 9e4f
9436, bfe8
bda4, 107c
d3f0, c738
c6f3, fdff
0ede, c8f9
784b, 9f79
2a97, ddee
4b15, f75e
79d6, 3885
e4f5, efd7
aeff, 0856
f42c, 273f
6e44, 61fb
efe0, e113
c166, a710
a292, 123e
ef3b, f13e
d2fe, d393
f99f, 9ce8
5ee8, 5cb9
887d, 5bec
bac1, f48d
a450, 46ec
75e3, 0828
437e, 1de9
7470, 06cf
8627, 1c9f
7a00, 4526
73fa, e44c
a896, 3a4d
d369, a33b
1826, 5a5e
f493, 0584
5101, 6a57
9fb5, 107d
c750, e1c9
c4e5, 38d2
1641, d6cd
fa8a, fd80
8563, 6480
c06b, e385
2537, e3ac
2a8b, c3db
f510, ce88
fab9, 6ebc
3263, d1d5
b721, 693a
962e, add1
63f9, e515
5dd9, 46c7
5931, 97e5
180c, 323e
ab5c, 1b8d
0702, 620c
e7a0, e41b
f4ac, 7a56
ea14, e1a2
1d77, 85f4
3836, 99ea
8424, 3173
108b, 4805
bce5, 21cf
4139, 901b
1877, d178
9293, 9928
eda0, fd9d
0cbf, 3981
5b3b, e3dc
7c37, d8a9
e9e1, cdb8
79ed, 5bba
6717, 1def
a1be, 8288
0753, 8659
c3f6, a2a5
30f1, ee8c
4aef, d6ad
3146, d86d
34de, b00d
e372, 7908
d470, a484
b09f, e3de
773c, 722b
ee48, 37d4
53b2, a21b
fd1b, e5d5
3dc4, e14c
4494, bec0
729c, e03c
61f7, 6676
1e9a, f4c4
7763, a436
461f, 4019
e7cb, 2f7b
d56d, d5e6
ae4f, b063
4b24, 88ee
ed26, de62
079a, 76b5
ac01, a00d
d010, b91a
d08a, 735f
dde6, 7cea
5ae8, 9c5b
6531, 271f
6113, a23c
6a7d, 8c24
6eb3, 4701
aa3b, 27bd
f67d, 8212
c208, b586
7536, fda6
18e5, 4d33
ccbf, b2b2
54eb, 20c1
9801, 906f
3bdd, 3dde
6655, f701
59b2, 4302
f850, fe5b
a82f, aaac
1fd7, 0f86
0bb5, a7d0
152a, e6b7
8662, ffc9
19dc, 8187
24e8, b343
0f47, 33f8
29ff, cac8
7981, 2340
7636, c0cc
057d, 254b
0927, e108
f0f9, c0f5
2a25, 5cc6
0d13, 346b
4348, e58c
0fd8, e21b
dfe7, b2ad
6cc5, bb58
40b2, 4f07
dbab, 72ea
3751, a38b
480d, 4219
4103, 9ad8
6b40, 4d10
56aa, e78b
1f83, 2576
215b, 1ca8
f4e2, d8a1
0d45, 141e
05ab, 9ff9
8714, 3ab4
012b, b4ea
6b92, d3ca
ac88, 2152
8e87, 8e98
17ed, 50d6
085c, 19ec
37b8, c779
72cc, 0410
e024, 99b6
aab6, b1cc
b0a6, b101
0b35, abdb
6198, 1b6b
f61b, f010
966b, 9da7
38f6, e5af
dff3, db0e
394d, b446
3c6f, 56b7
6f5b, e9f7
5edc, 27e3
ea66, a639
5315, a24f
1276, 694e
8c67, b587
96c2, 5dc5
69d7, 5ce6
dffa, 3f0c
fc9b, f498
e23e, c1ea
4654, 2a55
1177, 9fe3
27d4, cd5a
33ac, 8952
f7f2, d61c
25cb, beb0
4e6d, faab
3a7e, 6830
0443, 6cbd
6d0f, e52a
7555, ea4f
8a5e, 76e9
d409, 3c04
8835, 3e55
0240, c41f
768b, 91ad
0f65, b305
be96, 0304
fff0, 745a
8f18, 40be
cfa3, 5f1a
d061, 146e
6b97, b09e
ac82, 7c85
c27f, 1a7f
6f25, 3ac3
5ff7, 7b34
2d26, 4c9c
0d84, 5d56
a05c, 996a
2389, a99d
8828, 8c78
cc5d, f115
73ee, d68b
3f3b, 4caf
3664, 31c6
cc17, 0177
d62b, 2672
03f3, 779d
ec9e, fd9e
3a96, 4e9a
1fb2, e6f2
aec5, 71d3
923a, 1099
8d99, d8e3
18eb, 1fc6
e148, 4c62
a454, 47f8
2f78, 54e2
07b7, 77d5
66ca, 8f10
f313, c43f
4fff, b35a
c1a0, 027d
83f8, 8ae3
cabc, acbe
4333, 412b
a691, 91d8
8ace, a25f
0b1f, f5ae
7e96, c9be
9b67, a442
b8f4, b153
36da, 747d
4f9e, f486
3bb7, 5993
ac67, ab60
f031, ce46
4a97, cdb9
30b2, fe99
29b9, 1a55
80f3, 6091
21f5, 0794
85aa, 35a6
d67c, 25a9
4b85, 24b8
2192, f9fe
7a16, 76ed
ad62, 1af6
1693, 52dc
f437, 360b
65df, b508
8105, 9e31
fdd9, 4ed1
75de, c553
b1f5, ddf7
6f79, 9ad2
df4f, 1e63
80f3, 6091
2b5e, 9a6b
f761, 3d66
fb77, 2a67
8161, 3037
f677, fcba
c85e, 4615
5108, 934a
b2f5, 92f3
b087, deee
d748, 1e27
1185, d987
66a0, f404
559b, 05cc
c1bb, 33ea
de68, 2edb
28d7, ceab
5aa6, b739
4d96, 94fd
6a5f, b517
e7bc, 08a7
6f6c, 0168
9513, 9086
5674, 0652
d16f, b4e3
3a7f, 4f51
29ee, 5483
230b, 1b8c
45f4, 1bd7
8160, 463d
2139, 206e
5138, 02c0
d741, c607
2175, 4d51
5775, 6298
014d, bf87
4bc1, c920
d073, 0985
b34e, 907c
15b0, 921a
3ae9, 0b01
2df9, f877
b0b1, 4cf4
9c02, d6f5
cb43, 933f
f7a9, f3a8
5567, ed23
3023, 40c2
c19c, b898
feba, 8b73
c357, cdc0
8982, f705
2b78, 7f81
e5c9, ea85
af36, 5522
7099, 26dc
d694, b240
51da, 48be
48f7, a0ce
d26b, 6831
ce53, 294f
bafc, 3fe7
2828, 9e8a
a5cc, 8640
72b4, 3631
f17f, 52ce
2eed, ddbe
13ea, ea1e
1c35, 9a67
ca2b, e454
e723, 04bf
cf0d, b70b
e888, 7284
62e2, f663
8750, 843b
7301, ea9e
4487, 4781
1267, c35c
77b0, ddd5
cbfe, be57
67d3, b3a7
714a, e319
67fa, a51f
6e50, de13
1bb2, 17e7
5da6, 5353
d781, be26
f51d, 1d30
4a9c, aef8
1c0e, a222
857f, 8e5b
cd6a, cb66
7bdc, 351b
ab08, 1203
bcda, b1bc
f7ca, 6378
31bf, b6c9
9f93, 60ef
155a, 5704
c5a2, bb6a
a76c, a709
fd53, d9bc
4eda, 47d0
647d, 0624
333e, 5c83
bfc9, b259
32b2, d58a
15d6, d171
4ef9, 5059
05dc, 64af
531e, f90e
db75, 471a
4097, dcc0
5d18, 231a
4526, 7a00
5826, 1123
f802, 5a47
4928, 2af0
0998, 9ed3
b672, e076
4ade, 966e
fd8f, fa8c
a6e7, c211
ae0d, ae6e
52f7, 71c9
166c, acea
55a7, af90
594e, bfef
3e69, a556
fa5c, 6651
c2cd, 570b
418b, 5ae3
eb05, 6f2f
ba1c, 5c03
a729, a826
b5e9, de19
d4ab, 3c36
76e2, ca4c
6b73, 1abf
3282, ae48
a6a2, 9675
9a89, e9d3
106e, ba05
1f44, 7cc0
a203, a264
1a9b, ccc6
ce05, 5223
ccce, 8e4f
f462, bf6b
e8fb, ba26
d58b, 6ddf
c3ca, 92b5
2719, a482
91bb, 9441
b58b, f730
e0a9, 1263
19e2, 5979
1571, a6fc
cbd0, 35d2
efed, aacd
ff02, 898a
466c, ec38
204c, d8b5
9d92, 48aa
7e6d, 419e
6273, ac36
f2ea, e7fe
bf36, b5ca
a571, bdaf
776c, 0ba9
95d5, fcb3
5ff6, 3f7c
5f60, 18cf
ef3d, 1f22
7268, 2a66
2460, 202f
198d, 7ff8
7a43, 2242
b981, f88e
2f65, f606
913b, bdd5
004e, 64e7
7f67, d6d2
dc1d, 2a5d
16dc, 01d0
9a58, 9659
727d, 5dd6
97e0, fe9c
3feb, 4d04
48d4, 06fa
02d4, a54c
e202, 8730
fb9e, 1b67
f782, 9b01
c931, cbbb
ebe0, b7c2
5d04, 869e
d9f9, 150c
0ef1, f915
a3b1, 05e5
f25b, 96c0
e850, 2cc4
e15c, 2f85
6db1, c112
65c7, ce3a
e190, d7e6
3dba, 765d
c9cc, 8586
e7ea, cf6b
bdca, 07bf
7232, 7b99
b5de, b6a4
67b8, e812
5033, a94c
c67e, 1085
b267, 3051
2593, fa8b
2dfa, 571d
aeea, 066d
3887, 5acf
6cdf, 8e0c
96cb, 7190
9f53, b38c
9895, 683a
23b3, 708b
63ff, 6a9e
5bd3, 1ff9
cd10, 9b00
bbb8, 2bfa
ffa8, bb97
c869, c218
d9f6, 1169
d7e9, d4ef
be87, 415b
1090, 1dd4
3299, 3083
baef, 39ca
9e30, 9e5b
dde2, 917b
c787, ab5f
376d, a92b
65a9, c969
50e1, 39f8
67fd, a433
423f, a0f5
5645, 03ab
8e4e, c460
6534, 0aa6
9597, d61e
3926, 748a
dda2, bb74
f04e, 82bc
707b, b50f
c535, 0b03
44ae, 6e93
fe40, a221
87fc, 07a5
24a0, 4fc8
21ba, 4de6
c77e, 3fc5
f911, 99cd
7b0c, dcbf
afa0, d82b
c2c5, 2f8c
9343, 8428
d641, 07e7
8ada, 456b
ef7d, e2cd
3086, 6f6e
dd4d, 5938
57cb, 540b
0862, be02
1e5d, e3f7
145e, cc2a
49a6, ddbf
e615, 3af4
8212, f67d
324e, 666d
bb9c, 58e9
fa3c, f634
bdf5, 5902
050c, da0f
3a1c, 5783
a711, 5e0d
94ea, 75bd
e2e2, 2727
95fb, e978
6b70, 26ed
4afa, d680
62a0, 3c46
3456, 0c16
68ba, 0dd6
fcd0, 8ff6
81ec, 8f98
afd9, b9b2
7a32, 8fe5
2a34, 5fe3
25ae, 9f8d
aa8f, b7ab
c92b, 8a5c
87ec, 0fda
4921, a685
2ef3, 3689
c079, 62b5
2308, 1b5f
1ac7, d6d6
da3c, 7fe5
a4d0, 36d8
f930, fffc
ea8b, a7cd
26ff, 7140
26f0, 7bbf
45c1, 16e4
e631, 17bb
0b8f, e481
4441, e116
88d6, 1e6a
32b1, 9c16
2fdd, 6c88
ec97, c88d
c832, a4e0
539f, 3f55
2e54, 0f40
47bc, 2232
5fae, 98aa
9467, 1d94
6f9b, 6491
825e, 325d
3813, 1959
90b5, 03e5
7359, 1ae5
60c3, c3ea
6869, 0709
e6e8, b5f1
d92f, c5e3
188b, ab7d
2be5, 388b
62c8, be1f
c382, 5f42
1096, 486a
02cf, 005b
53a4, a156
d623, 9b5e
9ed5, cfa7
13e9, 00aa
9338, 9b5b
b1fe, b7a1
aabb, 98f5
3bd2, b2a7
aa06, 0195
ba5d, 639a
c5ed, 7d8b
ecef, 4cd7
3ede, e7bd
4177, 2ae7
21c2, 1565
237d, bbd7
5b5b, f06d
e76f, b423
5ae9, 8f2d
9ba5, 473d
affd, 39b8
e338, a48f
b13d, 65a0
a8b2, d78a
d1d5, 3263
199c, d34c
61fa, 2750
f757, d3e5
5c7e, 22f5
3ced, d3b9
85d8, 2fc6
fb72, 1627
6412, 240a
86f1, b3ac
dd23, 966c
7e92, e72e
4029, 3bcc
6318, 6177
3877, 2bbd
8c54, c9b4
f948, 5a13
f393, c685
af0b, c681
c9bb, df4d
57ce, 448c
5411, abd7
b2e6, dd13
4a0a, fcbf
f237, 5cad
79dd, 0bdd
85a8, f924
97ee, d9dd
5fab, 9fa6
c4e6, 1108
7069, 22f9
6fff, a51b
d1f9, 10c8
a5e1, 7d1d
01a7, 601e
0114, 1241
da9b, 12c9
c121, 3118
0228, 7e4c
dac0, e911
38e9, df5c
7414, 69c7
ebe5, e955
850a, 6aa2
91b8, 9cb3
2073, 75ae
2b2b, f21b
424f, 89b3
338e, 7fa7
86a5, 36ac
8e19, c184
c1f6, 591e
a764, c7f8
a538, e982
7f1b, 7bd9
57b3, 06ca
f396, 78f5
9c33, 9b3f
b94c, 3d05
dd90, 30fc
392b, 28ab
eb54, bde2
69ee, 9c36
d0f3, 963e
ee12, ac4a
fac5, a911
2d6e, 9fe9
1b5f, 2308
0882, e2b4
208b, 2b5b
c294, c320
cefe, 348c
27e9, 6335
e139, 93bb
f3c2, 33d1
bbfb, bdf0
1e31, 9dec
81b9, 5875
c6fc, fdf4
4ca2, 0bac
fd74, 9672
bbe2, 65a2
11bf, 1ab9
c28e, 8f79
6771, 36b4
9240, 0277
4d19, 7031
bd74, 9e90
d148, 05e6
be4e, 4ac2
fad9, bd82
3c34, c7a3
2895, 71d5
8efa, ecb6
fd02, 8d95
3d3e, 08df
1331, 78fc
13fc, 8069
26e3, 6230
60aa, 3165
ff35, 3d31
1e5e, 74dc
327b, e753
977d, 4bfd
cb28, 3da5
fb97, d1a5
0384, a04c
dc91, eca3
2533, 2042
45da, de5f
