e945, 211f
052b, 6679
3616, 0ebb
c21b, 380a
4027, fd96
7fae, 1460
123c, 6985
3e7f, be24
a0db, 70dc
7e25, 7283
98f6, 9780
fc83, 913c
0ebd, bd14
267f, f6a9
6246, 453f
2c38, fa38
7543, 864d
a58a, 5345
891e, 011e
0b88, 3a0d
2461, 7b59
94ec, 7227
50d2, 5e3a
ba3d, dc5e
c196, 3cdc
b64c, 363b
fa3f, de69
3f76, 292c
0cb4, dec6
10ab, 1ed3
d41b, f5d4
3a69, c53a
0f15, 5f39
1fba, a783
eb7b, bbd1
4413, ea87
402c, 9c2f
f2b7, 6452
18f8, a3f8
f496, e844
4294, e455
016e, 6c24
cf03, 3dc4
088f, 5acb
cee0, fbf9
80df, 332b
6426, 0835
e4c8, 52a8
d65b, bbbc
ec9c, 5fbf
f9f7, 5120
6b45, f769
db7f, 0ba4
6a4c, cb80
2081, 9021
a0b1, 7ab0
dc84, 39b6
866a, 7865
e5ca, 6fea
4c41, f06c
51c8, 880b
12a1, 1e66
7555, 064c
0806, 819d
7884, a929
43ba, 43b1
9fda, ffb7
c0c8, 3b2c
6c1f, 782b
9c68, 70ca
fa76, 0848
83ce, 6cb0
f359, 4f4f
d7a1, 0191
5904, e754
a3b2, 9544
68d8, e7d5
0836, 92fd
10a7, 06e5
e8cf, 555f
3b0a, 3b7e
a5cd, 6602
610a, 7dd8
618a, 9a69
df80, 1acd
1d5f, 767e
1004, 7cfd
2f7c, d164
da30, b235
f203, 6e90
ed20, 2f0a
ac1c, 70df
bacc, f2b1
a83c, 5234
604f, f8e2
6f0e, 4d0e
69d1, cce1
6d98, dd99
9037, 0e10
0658, 8d5e
6581, 0f08
30d4, 339d
e40a, f4e3
5b0e, 2c0e
659b, fcc3
4d3e, c26a
54bb, 85c1
ed06, bca0
56e2, 7fe4
84c6, e114
0d7a, 6d0b
fc08, 41bc
db6e, 3f81
f4a6, 55c2
89ee, 01e0
d4bb, 07be
7916, 6976
76d4, 6387
8d27, 42c3
7efc, 1e23
83f2, 5b7f
423d, 8bd3
7902, b4a4
888b, 948d
8d76, 9d7d
d18a, 1179
6d9f, c120
e411, a877
c272, baa7
da50, c971
d930, bdc8
fe1a, cb95
7e96, 819c
747d, b835
077c, be0c
4cfd, ca9e
098d, f3dc
fc10, 19e0
6bae, cea7
e335, dc62
b749, d338
f194, 18c5
925c, e5c7
d723, 1365
fcf5, 3d55
c07f, b374
8eaf, 80c4
a385, 5eac
2c4f, 9fbb
b616, 3fe6
f8a9, a249
4a3a, daf9
aa3b, 7c30
2a99, f192
1433, 6958
08c4, 8584
262e, c58d
1dac, c00e
caac, 5330
a88e, ee49
70d0, c986
9ec3, 43f3
82c0, cf5b
40e4, 9b7f
82eb, 92e0
a232, 9845
b61a, d13f
4c9f, 6f28
565d, ce4f
e1e8, c065
f6f0, 2090
64e9, d2d2
6154, 4c51
d366, ec05
2766, 9853
e96b, b9bb
9609, 8fa0
e88b, 7a18
901d, bb14
b3ea, 301a
21bf, eee2
e2fe, 0dd7
5c8c, 9eee
a0b3, 00e7
6a0c, e04b
a4c4, 2093
00b6, cfb1
2bca, 89be
3069, dd5a
3eeb, 5e7d
36a1, b8a1
e3d0, 06a9
7d44, 283d
6d13, f500
a1e8, 7190
22e6, 4f32
3976, c585
8c75, c0b5
1beb, d1dc
73f3, 6ec3
032e, 7a6d
a193, df62
fb84, 7d36
8d33, a851
58a8, 85be
aa1a, 0ae6
70f0, 66c0
82a9, 92df
38d1, c08f
3b5f, 3f66
3da7, bfa7
ed69, e6a3
632a, 8ffe
16d6, 97eb
ea2a, 68e7
b06f, d0ec
4483, 2755
8170, 9b77
db70, bba8
a2fa, 5539
6a01, fa2e
8bef, 7e13
a22c, df45
2011, a874
797a, 62a6
02d0, 8823
9d6d, 856d
4aeb, 64ed
ebcc, 1cf9
bb57, eb1d
695c, 735f
9261, 87b7
49d9, d228
7b69, 1ae8
163e, 89d6
b878, b1e7
c03a, d049
64c9, f6f5
af9a, e6e0
f227, 02bf
88cf, 78ac
7bcc, aca6
e682, ca6f
37df, f7e4
c2a7, ba80
ce2d, 5bd4
f7b8, 3eb5
4f39, 24e6
b011, 6063
c06f, c3fb
e3fc, c54c
8be9, 7767
597e, 1016
676a, b21c
2622, 4e6a
9d0b, d505
2085, d28b
e11a, 0703
2d80, 2c9e
d0a8, bb7e
bc72, 8297
01f8, 12a5
3e9c, 4f7b
8365, faae
545c, 59e6
4bfb, f916
a950, 7dd9
b3c0, 33c0
ee27, 0237
d55f, 09f8
725f, 2406
b1c8, 10c2
777a, 6471
060b, e92e
0afc, a622
0f6f, efec
98de, b1de
9e84, ae24
4b21, b8a0
c6d5, 66a4
cfbd, 8ccc
a6e4, 275e
dcee, db62
ff51, a1bd
e25d, 01e1
dd48, be6f
faa0, 8ed8
8553, d455
047d, 89f3
ecff, 2c36
9a53, 2642
34aa, 3a58
33bc, 997c
278c, 731a
8dfd, 22e1
345b, 63d2
d9c7, 6757
7b96, 4072
ae4b, 9e3b
1d6b, 1d63
eadc, 7d4b
c90e, be25
76ee, ecb8
415d, 8bcb
d787, 0564
7847, a23d
e21f, c298
99cc, cfa6
a037, 1d37
17a2, ea3c
bc09, 1c79
eb6c, 0665
85bb, 960b
d96b, fce4
af2e, 2aee
df01, 7482
224d, 9327
7313, 8ef6
f7d5, 61e9
9224, c163
dd2b, 44bb
3d21, c52b
817d, bebc
c1ed, bfd5
9193, 7db2
87b4, 5154
4ffd, 2017
20e3, 432c
3687, f137
86cd, 5545
c9e2, 52e5
ea70, 6aad
069b, 2e67
dc7e, 0d01
8e1b, c0a5
0cdd, ecd3
5783, 374c
bc08, d1be
5224, c4c9
ba84, 3a86
77c0, 1331
b3a0, dfeb
0091, b817
8dc1, f966
b9f5, 4137
8d8d, be4f
084f, 4491
4473, 3a5f
ba6f, 048a
6b66, e49b
32f0, 883b
4b30, d339
04a4, 9454
8453, c258
6ae2, 79f1
642c, 4273
1a22, e95d
50cb, 4550
3d6e, 9ded
f44e, 0c78
f6d6, 6970
818d, 2eeb
39aa, c2e6
c777, 34e6
9ce5, 29f0
3ac5, 3910
8314, fea3
ba81, dabf
8642, 76a6
68c4, 9a9a
4236, d270
1588, e699
8694, 9fd2
6686, 4533
33d9, b339
d6ba, cf0a
568f, bef0
e7e4, 7abf
636b, cc6b
eb01, 5301
9486, a16f
7864, 24f3
0cf6, b776
e0a8, 1c0e
a32e, 7297
9e10, 015b
dee3, a13c
ebe2, b6a2
3df8, 28d6
017f, 8c17
b06f, d0ec
c403, 23e2
6128, 1af4
107e, e750
e311, a0a3
9f45, 4e74
1f51, 4193
ea4c, 3d37
0282, 9275
3d58, 1190
8fd6, fc75
7a23, c4e5
fb22, 38a0
d56e, 9791
c37f, d3cf
e6a8, 0e90
f0f0, 9a8b
2026, f882
6e5c, 430d
06b1, d170
f1ed, 8fbc
e4b3, 7936
934f, 5200
0365, e9ac
3e1a, db48
e134, 6660
214b, 320d
337e, 8b9c
b34d, 083e
6893, 1e25
407e, 907e
ca38, 21f6
755b, 6580
9c3d, ca5d
39b0, 83f3
03f4, f3a3
58af, a9c6
9fbd, a853
b189, 2ddd
a176, 70c3
e5c8, 5ace
2ab2, c83c
9417, bef3
cd3c, 6520
9e9b, d1e4
093b, 893b
1db0, 6457
6f25, 4c94
ef09, 5f89
6278, e1f5
aab7, 24ba
e1a4, bfe9
cf3c, 72b7
d8d8, b913
8f25, 5ffc
7744, 3774
f377, 86ac
4d1a, 72b3
d618, bd62
94b5, 084c
c793, 3f38
b1c8, 10c2
8474, a451
89a0, 60e1
bbef, 0b1f
8ca2, caa4
06c0, f861
0858, 8f08
c78f, d9b4
33d8, b551
6f51, 8653
afad, 18ae
00d8, 0680
6300, cc00
a7ba, 3e22
84c3, 4959
6de5, adac
0063, 6a03
bbc4, 30c1
98d1, c6f8
b9eb, c848
7727, 63ce
a8ba, 7fd1
128e, 6069
deca, 2a10
9fbe, 0d59
cf40, 1da4
8f90, a897
efe3, 8f44
648f, 3040
2ea9, 82d7
c3b2, 1b00
d82a, 0c0f
5378, 9088
9bcd, c96d
286c, 61c8
e328, b82c
388b, e5a5
48cd, a2b8
3675, 56ac
9e95, 3c1f
a600, f92c
8894, 9952
077b, 7207
80e4, a31c
9878, 0894
1b9a, fd14
d15c, c95b
a5ab, 76b6
8755, 2f39
13d4, 1bf4
8342, 9d5e
9d55, 5fb2
8692, ee58
4d46, fcc7
afd4, 9293
232a, f980
6236, 454f
a7ec, 38d2
ad94, ea9c
77d1, dca4
844d, 6ca7
213c, 4183
cd05, cf8e
2c46, dc2f
4b27, 4df6
47c7, ea6b
9c50, 2922
53a3, 502a
cdb8, 3880
c099, 6428
5232, 918a
97f2, 42f2
402a, f6f6
9139, e90f
df40, a930
3449, 14e9
9049, 9644
617c, 1c2d
2a13, 4210
3aa6, 96aa
b28b, a08f
972f, 4994
3680, b01a
c4fc, fc62
62d8, 4b11
5ce6, acd4
aafa, 7eb7
1c7b, 42ed
ce4b, 298d
b77f, 32c7
2375, 33d3
ada0, 680f
d127, 1816
74e0, 2dda
dae7, 94c6
0fde, 95de
00da, 5fb7
ac66, 7d5c
86f9, 742c
436d, 5ee1
3d32, 24eb
a446, ead7
fec6, fe97
6713, 2350
ee78, b077
b608, dd5e
c1d1, 2176
108d, 608c
0628, 7aaa
e481, bff7
23df, f6da
244a, 5497
50b3, 5e5b
ff50, 148a
226f, 52ef
4a41, 3332
7511, d8d9
de2b, d6ed
5226, ecef
0cc4, 707b
9cc3, 77cd
5a1d, 2cb7
4ef6, 311c
7e3b, 8963
dfc7, 0781
4504, f451
b2d4, 7688
5989, 9e19
aa5d, 155e
2208, ef33
fb92, 30e5
0c09, 7c79
0fd9, 341f
6cb3, 11d5
f4fa, b23e
f8a2, 7237
c89d, bbab
aabe, ab06
637a, 3722
4610, b697
bf1b, d370
183b, 483d
0664, aa1b
295b, c34b
a2d7, 63a9
9c81, 5ea1
a275, 22c5
c6cd, 8bce
a08b, 90bd
4a7d, da56
10e2, 599b
8c7a, 9c0a
3987, 88e3
f57f, 1ff9
cbf1, 39d1
f4ab, 508f
7272, ad52
a566, e5e6
4f05, fd55
75d5, a5dc
c83d, b5ac
7cb1, 3457
2a13, 4210
257d, 5f19
026f, 72ef
c6e6, e3bd
7387, a24e
ea4a, 7ae9
b372, 69b5
edad, 8801
4f0d, 8c90
a005, ecb5
c3d3, 9375
195f, f9bf
36a5, 4b22
a1e8, 7190
5d9a, aeb0
494a, fc69
6396, 092e
f25c, 2985
4396, c9fb
3c22, cbf0
74d5, 8845
cf6e, ac6e
4f7e, ec8d
5d98, 48aa
ab53, c3a1
94be, c62c
981d, 2fae
db42, 4a34
55c2, f4a6
f898, fb1c
7a35, 881a
c60e, 8bde
aa9c, 528e
9dca, 9691
81cb, 30fa
4d6c, 3641
ac7f, b766
9bfa, 2e84
4a36, ce32
b82c, e328
a443, 7485
1e1a, 78e7
8cce, 6cf2
b7fd, e387
f913, 88b3
43b3, 408c
e842, d74e
f1af, 57d0
18f0, a574
068a, 711e
cc15, 31ac
6b09, a846
2945, 932f
17be, ad90
d703, a363
e2c3, 5d81
5bf2, ca0a
7530, 713d
a8c8, 7ff3
0473, 8c1d
67d6, 5176
3136, cf1a
9f9d, e1a2
4da8, 8119
d584, 6584
4382, f84f
d31e, e460
359e, 9b5e
d100, d108
8a55, 45e4
8ec2, 8f3c
7260, 69d0
3721, cc76
0960, d2d0
49b8, d388
787b, 687e
ed75, 6a10
de60, 3bde
2f89, 9f3f
8922, 98f4
8b65, c60c
edc0, 4fd1
5a4c, fb8a
5516, 885c
ae0e, d4f5
0f64, e8a8
eed3, c1eb
5d77, ee6e
237c, 6fce
0205, 7fdc
1f0f, a628
cd91, dd9f
151b, 5f5a
40c0, f69b
cb8e, 6a43
93b2, 5c82
a178, ef40
c787, 4496
5bf1, abf3
9d39, 4034
e7e3, 55ad
4209, fa59
1405, 25d6
328a, 7986
78ec, b9ed
bae1, f7b7
fb0d, 130d
1c75, a29b
e24f, 9ed9
6684, 7dae
ee79, ae78
991a, 8c65
93bb, a083
b8a3, eac9
c64f, b381
a70a, 5ff4
09f7, cc46
10ea, 6fc7
a995, e25a
e581, 0fcf
569e, 37a7
5686, e99c
cafe, 9b08
e306, 66bc
799e, 2525
e642, 0d95
446a, fe33
0fe3, 5f44
07d6, f176
15d7, 6b33
9d44, 2b32
74df, dfd8
eee5, e561
1a24, b62c
4ba8, f233
688b, dbe7
31cc, d72d
0d19, 0def
39f3, 5e43
b25c, e985
10a7, 06e5
c96a, dcda
9454, 04a4
2170, 9bb7
cb81, 464c
58e2, 20b1
bafb, dcac
0628, 7aaa
644c, 1988
32f3, f749
9408, 8f63
ad33, dfd2
8807, 0bd7
062c, 23ef
e130, 4971
3a0d, 0b88
ef7a, b30d
4c41, f06c
094c, 87dd
9c34, 28bd
53a4, 8b2f
86f6, 76fc
73db, 3cbb
7c5e, 115d
aafe, 6c9d
5988, cf2c
2b37, 03ee
26d6, 951b
2329, ffcf
b7ec, 0e6c
0419, c17a
d63d, 0b30
3091, cc6f
e79d, 1ec6
4036, 8c55
6a1b, 588a
df70, fd27
abef, bca5
e6b1, 0d7b
bb77, 1deb
34f9, cc1f
a0bb, e0ea
da9e, 4940
9df5, 7788
2030, 876a
fb23, 2cc4
9330, dc06
e224, 8476
b7c9, cef8
65b4, 88c7
0433, dfee
8224, c429
5d67, afd8
8c31, 1171
0a30, b3ee
c654, e00b
4c1d, 53dc
1a28, 57e5
1b95, 7024
5e5e, 3f4e
b456, b896
9cf4, 1299
91ad, 330c
1819, 7403
3ee0, fbf2
2886, 2a7c
93f5, c11f
f389, 4f3f
bcee, d347
900e, 00c2
9257, 3821
24f8, 7862
2869, 8df4
9e53, 276a
3710, 35c5
4fcb, 532a
1bd5, 6b4e
1fc8, 41f4
d962, 44c5
44b9, f552
7114, 14fa
cb51, 463c
0943, 576d
8acb, 7239
2b81, 90f7
92db, fb6f
f661, 69ae
a7e9, c449
3d75, 5d73
13da, af6a
eb0d, bd81
fa0c, a6c7
6f3b, d38f
7f1f, 9244
113f, 606b
3752, 0df3
aeae, 1fad
6fc0, 2ea3
a793, 121e
60c5, c0ca
0d08, dbd5
82ac, 029a
0340, 8035
7363, b703
1469, f936
8401, b1f4
e240, af30
d031, 1add
e7c7, 27c7
2cda, 3da9
8e68, 44a5
fc71, 5166
c310, 40f9
5c12, 2b73
1b7b, 1b43
3ed7, c689
67b0, 7d9e
238a, ab77
fca4, 87de
580d, 81c5
9959, 09a9
d74f, 47ef
f579, 8917
ee5f, c137
2a38, fc3c
9068, 0132
8977, 2a3e
087a, 5600
d135, 3315
6dcd, 70ce
92a6, e724
1069, 7b0f
26d2, 202f
4acf, 4df3
0640, e64b
9d13, f93c
6c55, c050
4efd, b5e2
f889, ae2f
447c, 6423
3141, 01e7
f793, b793
8e33, 1e75
e8f7, 83b8
8509, 528a
d609, bb3a
022c, 8686
285f, 49f2
92db, fb6f
854a, 1c99
7aa7, 88a8
4aef, f172
091d, 8423
eb93, 501d
dad6, f12d
b15b, c7bb
9df4, dbfb
ba9b, bcac
f770, ed41
672e, 7513
e668, 0dd3
72bb, 10ce
d9f0, b06a
99f4, 47c4
f882, 2026
c15e, 8393
f706, ff85
682a, 6be7
3102, edfc
048b, 0aa6
b618, dd62
5d95, 4faa
2ce0, f97c
293a, 53c6
e99b, 63c6
2451, 796f
62f5, a2f6
c2a2, d57a
d317, cb17
b644, 6d4b
5414, a434
5394, fa62
02f6, 953f
52d7, a642
fa99, a9f9
5b58, 173b
af43, 8f1c
1657, 9543
6b47, 458c
0913, 8a7d
e5ad, defe
d4f7, 6ce1
c71e, c528
a634, a6d3
6e46, 199d
0305, 79b5
7c9d, 70d4
d593, ca9b
7871, 349f
77b8, ee05
47b1, 4f58
713b, a530
84ec, 98e4
f34c, 575b
e969, 5949
893f, 791f
a686, f155
bfd9, 1595
f5ae, 5ebc
f192, 2a99
8264, 2e69
d2a8, c17d
0660, aabb
77be, 140b
b387, 039b
eac6, c724
4892, f325
f8a9, a249
f9b3, 4c1a
3a4a, c5d2
a340, 5747
5a52, 19cc
8d23, 5fe0
5e76, 9181
5133, d783
99ec, 45e0
49d5, f1ea
fe44, 9e7e
9a4a, af6e
8d65, 6619
b1b7, 1b8f
cfee, 9861
ec23, 14a8
c051, 1f4c
1ef9, 8a92
3019, c39a
341f, 0fd9
c1a1, c921
04b2, 8489
0d5d, aa03
74b4, d4a9
37d0, 54de
7f20, 869f
2358, 615c
98e7, 9d2f
3930, 10cf
3b48, 508c
762f, 5d7d
f163, 2c03
39eb, f337
6d63, 163d
7bf2, ec52
d7fa, 84e8
c4f4, afa1
6e2d, f4a9
3116, 1766
63d6, 15c6
8722, 2f9f
9914, ba62
4ed5, 6e48
50e8, cd15
b7f3, 5817
0d04, 5f47
c881, d6bb
4c84, 6685
6464, b2ae
681f, c9f7
2fc6, 85ac
082a, b73a
3c5c, cc0c
cb88, 2cc8
8234, 72a2
2d36, 25e4
eb5c, eb54
0e33, 0a37
fd0e, 1d8e
42e0, 58c0
eb49, a718
6b29, dc28
4aa3, 8ebb
a1b7, 7b2f
d738, 31fa
3dfe, 5a8e
dfcb, be36
662f, 1d23
0ec6, b48a
ebab, a6aa
5c51, e154
13ad, 1bfd
3aa3, 833e
b8b3, 388c
ee73, 69e9
67f2, 6238
b091, 901b
3505, c1c4
332c, b32c
2a69, 3928
e4f7, 824e
f0fd, f1e4
31ea, 9ad7
1289, f207
0eb9, df73
0a6b, 9496
564a, c4ef
e3a3, f99a
a44c, 7288
3bd7, 1b30
45ad, d406
91d1, d1a4
4a54, c2a3
fd3d, 3384
9a81, bab5
cd61, df61
f666, 4c70
8aab, b772
b6a7, 9e8b
e114, 84c6
3f06, 0b06
55f9, 2d26
f085, c37c
0b74, d0a4
61a9, a496
b709, ad4c
fbde, 1ed0
fa0f, efb8
381a, c734
2bcd, b14d
3b89, eefd
6aeb, edb2
3e3b, 474d
af45, c8a5
e1d6, acf4
a84b, 3787
3f1d, bd9d
78a9, 3221
cd38, 643e
dad5, 151a
67fb, 1f56
163a, a04a
68c6, cc9c
6de8, 76a3
473e, 32fe
cd89, df87
ca7c, 8c18
c119, ba96
341b, cd02
4d8f, f138
e7b0, b4bd
c4ae, 33d7
cc88, b8fc
f7ca, 0adb
1841, a34a
0c85, b044
ee56, 3fdb
2a77, 6728
0072, f1b0
8808, 0f58
ca22, 35b5
6477, 7476
789d, aa19
63b4, 764c
02f4, 4656
8988, 90ca
4ad3, 6d26
9163, 7df6
0bad, 7677
7181, 79da
f11e, 08c9
3888, 950a
ae8d, 0076
3daa, d877
d7c4, 09f4
2f7b, 462e
e83c, 246c
9448, 4745
7ca9, 191b
ef6d, 2d7e
e1e6, 045d
87cb, 8173
7a52, da5f
0d2b, d62e
87c8, 7ea2
ec1b, a0e6
9df3, 26c8
7ae1, 523d
a19e, 71e5
c584, f4ac
6fc0, 2ea3
8e43, b7eb
4768, 1112
11bb, 0bdd
8a1f, f988
85df, 222a
ec5a, a4ad
2c46, dc2f
9cab, 38b5
4679, 96af
8b71, eea6
44ed, 61ad
aec7, a66a
7229, 1f42
2a5f, 54a4
5b7b, 327f
7764, 2256
336b, 27ae
4bed, 3b16
0444, 9362
1ea8, e7a9
9c47, a139
b9e2, 18ef
033e, 8b38
fe50, 6e80
601c, 701c
6041, ad37
a16b, 00dd
4247, eeef
1b52, 3707
e564, aaa2
c938, b799
dd7e, 16e6
8cd3, 513d
a5de, e07e
16ee, bcdd
a4fe, 699d
ce21, 2951
53fa, 2956
13fd, a421
a3eb, a6cd
f82f, 2322
4521, c521
ccb8, 3bce
ac7d, 5a28
aa21, afc3
0279, 77d8
3785, c443
08d8, 17d5
74cd, af51
d603, bdd3
6237, b166
34ec, b493
14fe, 69c0
65bd, 73c6
ac51, e319
82ac, 029a
c580, 8c94
89d8, 0168
05b8, a5f3
e2bd, b4b0
ee67, 0589
1168, 1c0c
46b4, 48a1
61f5, c9d7
d280, 9a56
e115, 30d5
50d4, 539d
717b, 977d
d9f0, b06a
d27a, 02a6
7133, dbfc
d224, 4992
05d0, 591c
f7de, 367c
330c, 91ad
14d7, 4f20
3712, 54e8
3cd3, ccf6
514c, b95c
1f61, 6e07
bcff, 8a04
f810, f99f
c200, 35c9
2682, 6641
b1ff, 1c66
a4bf, d272
22fc, 7f6f
4937, f162
a708, 5e58
920e, cdcc
02d7, a7ae
6e3c, 098b
d8e4, fab6
4225, 6256
295c, 7eea
4471, 52a7
af44, 41c9
b01f, 9b1b
c4ed, c80a
9512, 4621
1f36, 7e3a
8e2c, 9c5b
9a5b, 40f0
790e, 640d
c447, 6f40
1ffd, 30c2
b51e, 7b17
3f0a, 341d
215a, 8630
e077, e1c8
261e, 5d17
985c, d9c1
5d2e, 8a3d
4e36, 821b
2426, bc16
bfdc, cf94
9117, 3567
bec6, e1b4
35d8, ca3e
9ed2, 5a44
c5cd, c876
b5a4, 583c
8d73, 43a7
4782, a267
5216, 827a
43e8, 44bc
9d7e, f1bb
156d, db41
3d39, 0636
171c, 7305
6ab5, 0d8b
e759, 9e02
370c, dc0b
bd53, f65d
e09b, b0cb
05be, 0d3f
28de, fc52
7fe1, e1ca
a623, 8fa6
b4a7, e2a1
1879, 32f6
b534, 78b8
b21e, ce3c
082c, 3cfa
a201, c5a7
3aff, ccd8
6137, 1c62
2b11, 78af
f372, b928
6856, fc9c
2cd3, a6f6
8bac, f9b0
a57d, 0b07
413e, 9f1e
eb65, e65e
13b6, a349
637f, d514
3dcc, 42dd
be88, f4d3
d9af, 34c7
fc89, b296
4459, 14b2
4f76, fbd2
36ac, 940e
ec8e, 7322
627c, a282
a291, 1c72
9255, 57c9
fac6, 02c2
ac57, 5d1f
ffc1, 3668
a5a5, 12fb
ef15, 1759
2a1c, f210
91d8, a027
2dd7, 0f91
c7bb, b15b
cf9c, 33c5
1b66, 84eb
aca1, a02c
02df, 72a9
02d4, 7a9c
9297, ea16
7768, 8a7a
