2a5d, 5955
7c8b, 6c3e
0b57, 0ba8
0086, 022e
a74d, 1331
3694, 8dc2
3c28, 37ae
cca9, 35ef
6e6c, dd92
6107, 8606
ea5a, b541
bafd, 3aa8
bd13, 3ffb
bedf, 04d2
32f0, 93c7
df9d, 33cb
e0db, 049b
52aa, 491a
a0b6, f9eb
86c2, 91ad
92f7, ed38
67c5, f86f
673e, ef3e
6b3f, 6c93
9a90, 9b85
b672, 5ba1
9b25, af67
be9c, 9d86
4e99, 6811
4180, f1fa
5d3e, 7592
8e29, b2ee
e5c4, aa54
3b03, c340
6463, 08e9
b2b0, 3cc1
d854, 6456
94ff, 046b
50d4, c059
cd86, ce1a
88de, 16ba
0b5e, e630
28d0, 04c3
786c, b9b2
e41b, 2d16
6ec0, 24d3
15a6, 0cba
93c6, f24d
aa43, 5375
f981, f10f
3cad, 6c3a
b3df, e5aa
b9e0, 4a61
ebf9, a3b3
49cf, 8165
eb01, 65ab
d42c, f60d
a45e, 123b
8ab1, 4aaa
2793, 159f
e791, 9d0d
2976, 5c5d
dbad, 0061
fcca, 4e84
d531, a798
351a, 1eec
6b71, de9e
b7f8, fed5
1ec0, 92d3
e8bf, 5606
6c04, 120a
53c2, 077e
b37a, f6eb
beaa, fd1b
d1eb, 53ce
8337, 617d
2247, 7a62
9dbf, f960
9977, f4a6
82ea, c91a
5590, 6099
f242, 3796
2fce, 8614
376e, d398
4770, 3d69
ca07, d207
f3b9, 49a5
25f0, 1bc8
49d0, 26b4
6c4e, a15d
35ef, cca9
e96c, 596c
e7ec, aee4
43bc, 63bc
e940, 4645
e289, 2110
82a9, cb66
349c, b4e3
2c64, 39c1
cb3d, 6133
a9ad, 6470
7d6d, 741c
1e9f, 2179
dd3a, f9a0
73bf, 0e73
2cb0, 961e
08b7, 9fb8
fba1, 379a
7977, 7417
a621, 6d91
7bf9, 6c83
45d3, 2503
ccee, 473a
602c, 5a0f
0e99, 0751
dc1f, 1467
e409, ef09
4084, 9b4f
d651, bd04
a050, 565b
b69d, 5b93
d221, a78a
fe6e, 106e
3e35, c896
0df1, fc6b
3838, 1468
92a0, 7570
2342, 8485
645b, 1f8a
ffa6, 237a
c328, 3c88
1cdd, 33dd
5be0, 6ebf
726c, 8f3c
d5c8, cace
37ef, 17ef
0484, d3f4
a023, bbff
131a, 37f9
01d6, 67a4
3030, bc32
24df, ce1c
b2c3, 1d03
2a6c, 2ab8
55eb, 0eb8
1e10, 120b
7167, 908b
e47a, 4fcc
0e89, 8d4e
79fd, 6e51
2d1c, 2d78
b9a8, 1814
dfae, c1c2
201f, f07f
ef50, a1cb
8b82, d82d
5147, e149
1702, b9a2
6dc4, ecc8
e108, e7c8
20d6, aae4
bf90, f847
a0bc, a942
dfff, 77ab
5494, 9324
b346, bdde
5737, a3d8
93ca, 245d
4cb9, 3296
77c8, a32e
6c21, a717
20d4, 4f61
54c9, 2e29
9bc1, 40f1
99d9, 0b1a
afb7, 1af6
bcd9, dc3a
9c0f, 3d79
60ca, 9674
6b98, 92c3
6449, 8a81
19be, 64db
bf95, 9ae4
79e0, 677d
3e00, 8afc
0349, 5ab2
aeb7, 18c3
74a9, 02b8
46a9, 60c6
749a, aece
996e, 5bcc
923d, 883d
016f, 3567
b091, edc6
9f19, e8e5
cc63, f1ef
ca0f, c281
501d, 4305
d566, 9f50
f321, 57fb
1d6c, b84f
01e0, 6aa0
dcc1, e271
6e92, 3395
749c, 95e1
1378, 5838
f978, fe09
ddef, bd91
4086, f1a2
f8cf, 4d73
a45c, 6288
a035, 2040
41d6, ba19
57d0, 32de
3ef6, f941
1517, ba67
a554, dac2
bbfc, 7a4f
1fc5, af2c
bc8c, 904b
9391, 5ce3
1a87, fa09
5216, 2656
9c08, a0c7
3e4e, c00c
2144, 350e
88a7, 2a52
43a9, d1c9
e4db, 0ef5
157d, ebb6
7695, 8cb0
2a66, 8ae1
7cc0, 8b3c
9801, f4db
a4a7, 63b1
12d6, 3aa0
c23c, d23c
583d, 223d
abeb, 0a54
c152, 67c7
bf1e, ff32
d037, c7ab
ca88, 0224
794f, 9961
30c4, 5099
3074, a701
0e7f, a769
f9e0, 57e0
c43e, a9e4
82e5, 08d2
15e4, 7aa2
70ce, a960
2e3f, d810
70d6, d618
033e, df4b
0e46, 5e36
bd09, d17d
5b37, e032
3273, b42c
a91f, d5d8
04f5, 5d4a
54cb, 01ec
c683, f5c5
37c6, 2741
ac81, 5074
d228, 4e45
7511, 0a61
98ce, 8ff1
8ccb, c206
1ed8, 4e35
9dc6, f627
cab8, b4b0
7ea4, 79b3
c572, b4a7
49e8, cfb3
18bf, 34a4
82b3, eabb
4b1b, 76ac
9b68, 3c0f
cecf, 382a
780d, e426
8b9a, 9083
c059, 50d4
1acf, e182
a000, e65c
3637, e0f8
37b9, f772
c639, bff0
8fbc, f205
86a7, cbe7
a004, 5b88
4b17, 6109
d1ea, aad7
c2fc, d2ec
1640, 574f
e92a, a95a
2788, 5514
60ce, 1dfd
028f, f279
9e9a, cae5
5687, 9f5e
9182, 51b2
dee5, 39e2
84c5, e478
c7cb, cc73
3e7c, c43d
5f5d, 8920
c9d9, d939
779f, 6724
e4b4, 44d2
9cf2, 121a
f039, 2b54
0fd8, f3ce
1d77, 847d
528f, 4537
28fb, 8d1f
b5a9, 342a
3ccf, 040b
655e, 714e
b467, 1297
0fd3, a46c
1638, 0138
20e2, fde9
3112, 13e7
e2dd, 4922
7749, ae5b
5529, 9c40
55d8, c165
abed, 0584
8b7f, 7186
ca93, 32eb
c8d0, ce66
2495, 7df8
6706, 1ab9
5ba1, b672
f0f4, dd2b
559b, 8d91
60cd, 7bfd
ea84, f4d9
7cf2, 3537
39c1, 2c64
b33a, 3a28
13d2, 0dea
c80d, d60d
77f8, b461
63bb, 1e5d
f466, 4a44
70b8, 8247
9e4d, 9bdb
97b8, 26da
805d, 0b53
6ade, b39b
c855, 8723
1e2a, 5684
c130, 554e
2b9e, 575c
8c10, 6a81
c7a8, 8ade
8f26, 1eac
5ed0, cfb6
fc14, bc3d
f4b9, 6f08
6f0f, dac4
7107, 7978
5758, 3253
5394, 282b
a24a, 76d0
09a0, 3ec9
9d74, 1b27
4218, a5a9
67a6, a799
6c92, a6c9
aab1, da7a
1d96, adc6
3cd4, 4b63
45c6, 9c2a
40af, 90ef
131e, a87e
c799, 6ee7
dc1f, 1467
67a8, 6129
3dea, 6b1c
3966, 1c16
674d, 76bf
86fc, 4d62
a697, 2d19
8ce0, 0910
c43a, f6d0
082d, 0de0
42ec, 62fc
7222, 7f61
ba6f, 2a7e
bd17, 156a
1f72, 4da7
6bfa, 7b96
4812, 7355
30be, f1b0
37b6, 2e35
07e7, 932c
6a58, b25b
12d3, 8897
72fa, 8539
e038, a5ba
9fb8, 08b7
0831, effd
27e6, 3435
f77f, 074f
7e9c, 41ff
2b74, fc03
33c4, 3f27
4412, 2116
27f4, f976
1c0e, 24cb
3710, d1ee
95a3, 80b9
603b, 550f
978a, 0f68
d83c, b581
e16e, a712
6556, ce53
2ad5, 90a9
29a5, 9f13
f093, a2cf
3b2b, 5b9d
04a0, 1a04
ec0a, ac7a
3c17, 07eb
ca27, 8a26
0b56, e2c0
34c7, d572
8819, 28e8
ea23, 1dc9
168b, 3680
e019, 03a1
4f31, e6a8
8dcd, ef23
b08d, bb0c
f822, dc9a
c574, 9ff4
39c9, c29f
4890, 3de9
03a6, ebe2
99bd, f76b
41ae, e436
f407, 1507
8bf1, 75a6
ab57, 9c43
d2f9, 015b
b8ee, f842
18d4, c7ba
16d2, 1bb9
275c, 32cf
022e, 0086
60f9, e595
8c87, 2b5e
c285, 825c
2ed4, 271c
89e4, e1e6
4309, 19c5
bc3b, 95af
5c23, b881
be50, df3e
2f9a, a6a4
0ace, e5a8
fbdc, 5484
c8d7, 4518
96fd, 02f4
8630, 7af2
7644, 259d
e616, 3066
109e, 140d
f79a, babc
96b1, a27d
5e8f, f2c8
cd2a, c25a
742f, 4bfc
8c0d, 136d
edf5, 8d3a
1ab5, 7a05
a017, 53ba
e46f, afd3
bf51, 8ccc
e229, 4cf7
91b7, b363
d320, eb6f
932d, 0c74
2302, f7b8
6cbd, 9290
43cf, 939f
dadc, 53df
963c, 023b
78fe, 8df2
6026, 4679
a548, e028
1969, f566
3390, bbe8
a741, c2b8
8b0f, 8e81
386b, 8ac5
ef05, 5f85
2c0c, 7b9a
128d, 1db9
2e94, 4ecf
9b14, 40a4
6e87, 1720
38c9, 3326
4554, 6451
413e, 3f23
9acb, 6d93
eef8, 02db
217a, 26b1
210e, 76e8
d82f, 9cad
6b8d, 40bc
a200, 1960
758a, a509
c00e, 4a6d
8510, cca7
5431, dd49
b495, 302a
e633, 03b9
c050, 7af9
0bde, 0386
0e0a, 5d3b
0bfc, 0044
6a9c, 8db7
b146, 237c
9c4b, 46f7
8394, 98cd
621d, 8a82
d61d, 3307
6fa0, 7310
5426, 5a71
386f, d864
94b4, 7fbc
eba1, 53a1
3e4e, c00c
be50, df3e
80e8, f3b1
aa99, 0d38
9d47, f09e
630b, 1e8d
1631, ab3a
0664, e3f0
4e91, 993d
1c8f, ffb5
2f46, cffe
eb96, 7bec
0990, 0d00
49f0, ce0b
caf9, f810
6d31, a047
ecc6, b217
40a3, 2f23
7fb0, 412d
4b34, f58c
91a2, 45a4
4b50, d155
f6a1, aa36
03f5, df95
c375, d375
fa51, 1554
8d1d, 24f1
09f0, 6aae
62d8, cf48
7ece, 77ae
2d6e, 7fd8
98cd, 8394
faf6, 4e89
fb3a, 9d2a
b8c1, d74a
57ae, aba7
fa55, 9583
a606, e32e
15d7, eb11
2405, e1b2
afe6, d4a1
fa42, 570c
17a6, 77f2
178c, 96c5
a5f8, abb0
7908, a8e4
5199, 402b
222d, 75d0
b562, 2919
5f72, 627b
8a5b, 3a8e
01bf, 03cf
a6c6, 1d91
b33f, 95cb
3441, 459d
4876, c013
2bc4, 2b04
7878, 8894
ed22, 0525
2a27, 2af6
cccc, de47
6f3b, 4f3b
5288, 5d9d
27a0, 7b0a
2e63, 0cdc
6a26, 7988
24fa, 3b50
a62c, dc4c
d5ba, 3dca
77e4, d568
aa66, bf73
2747, 2169
87ab, e17d
3298, 1fe2
9a76, f313
b6a4, 0fbe
fc25, 6f46
49ac, 692c
9cc7, 0958
d4f7, 133c
7f60, 93e4
5ba8, 36a3
7249, 9848
a353, 7956
ea96, a376
af0d, 26bc
50c2, f601
7b7e, ebaa
f5e7, a114
11c2, 49c5
ba47, 9719
5256, 606c
e332, 5e62
c4af, 6d84
7f0e, f12b
9058, f8af
6765, c0a2
aa11, 5461
a903, 90a1
767e, eaa7
5f6a, 8d49
1283, 1e67
a77f, 0171
740f, 71df
9281, 7a0f
38e9, 67f6
8376, 00a6
c1dd, f9f1
ad48, 2262
7012, d5fe
c36b, 6c6b
f96e, 2dbf
3f80, ba7c
75e2, 2b07
87b4, c3a4
d9d5, ffa2
69c5, f309
464b, 663c
324c, b24c
0332, 5289
0f6b, 2ba0
d652, cd57
4d4e, e148
9806, 44db
843c, f922
25be, eb72
5481, 1dc8
8e44, 63b0
be83, e345
19bc, d5a4
691c, dedf
94f3, 2d3d
685a, 9acc
6cea, 5b4d
efc7, c3bc
bf4e, a0b9
79d2, 9749
6ecd, 73f0
f27c, 3fdc
afb8, 5d87
0027, edfa
09c7, 8b07
09a8, 5e2a
791c, b862
e96d, 3c83
a849, 9bc5
4e12, a668
cdb9, c198
f93a, 156f
49f4, 97c4
bede, e877
63ba, a49f
b3f9, 33e9
58a8, 8f64
73c3, 6422
145c, 1e32
329c, b21c
4e36, 411c
f41e, 6d67
0402, 7d85
29f7, 5940
9c20, 668f
605b, 4bbc
0ee5, 6304
87f2, 2ecc
d7a7, 98f2
3838, 1468
e457, a4a0
eff5, b2f4
f8e8, ae9b
dfa9, 2756
50e5, 2db2
3351, be81
cd63, ec2d
a0b4, 0f4b
1987, 1107
fe7c, a926
b6b5, e0d5
0806, c2ef
4304, 79f3
5f86, 3fc0
a3dd, e74b
1402, 4106
aabd, 339b
9243, 9455
61cc, 344f
1ca4, ace9
7771, 6ecc
6b6a, 70ea
25bd, 2b70
6f82, a85f
832a, 9246
9e7b, 43ed
722c, 5182
225d, 7b72
385b, 89cb
ef13, 6b82
8bb2, 382d
e819, 210a
2d9d, 5af6
2c72, 8108
3d00, 36a6
9217, 57b0
db87, d32b
f634, 4b52
7b54, 8ea3
e880, 91cc
5a77, b71b
48ff, 4e22
c826, b2a3
df00, 0e0d
ade4, bce3
947a, 22e1
b019, e6a9
ef8a, 5659
b540, f5e9
835a, dd60
1b88, da3c
1064, a94b
0c9a, d711
ed0f, 13c7
f8e2, 7350
7837, 6336
398d, d103
df59, f266
c2d4, b43f
402f, ff11
bbd6, 0d0b
72f7, 0437
14b9, f101
d6c6, 5bde
1ee2, b514
24d3, 6ec0
659e, 7846
b67a, 3a57
0683, a055
9c36, 9683
28b4, 24ac
1626, fab5
a18f, 2c81
0533, ef6f
86b7, 1afc
fc80, f992
f6af, 4a08
c098, 9b94
f5cc, 4195
07c6, a124
f40e, 50cc
a324, 0788
ff7f, a358
2a63, 9508
736d, 9b6c
d1d7, 364d
96dc, 42f8
86ac, c675
870b, 37dd
7839, 1e42
d62b, fdb9
e8ed, f77a
62fd, 4af3
ab9c, d29a
6f44, 6e59
8ae9, ae11
cd5b, b683
09e7, 2ec3
9789, 5848
ff33, 68db
50d3, 2440
682e, 5d24
4496, ac9c
3aa2, b2aa
837d, f2be
f219, 2c16
d74a, b8c1
f05d, 1b53
cfa3, 9159
620d, 6b90
191f, 393f
40f0, c55b
44a0, d6db
9ead, 431d
52ef, 6a35
e028, a548
e59a, 6ea1
be01, 335f
967f, 6b2a
b908, 3070
3a1c, 349d
63f2, ce95
3ce0, 6962
b62e, 4ea6
cd59, d49b
4221, 345d
a05b, c509
eca0, 1ced
90df, 4861
2e77, 48a6
a849, 9bc5
ac6a, dbc4
d8b6, f204
9f3b, 7cfc
2d96, ca5b
c783, d953
73f5, 4bcc
b850, c688
f920, 1b01
d1a0, b92e
1e9d, c96f
0177, 292a
0abd, 54bc
ffeb, 20f7
c5b0, 913f
2afd, 7d34
f013, bcf1
3dc2, bfc7
dd6a, ddee
6dd9, 6bb2
a626, 1df1
65d7, dd1a
a31b, 137b
c384, de06
83c4, 9c62
14c6, 4463
35a1, 67bc
6fa7, d9aa
9008, 66c4
d6c6, 5bde
9e63, 01dc
e0cf, 5026
c406, b5b1
2ce3, 6b07
0415, c170
877d, e1ab
6188, 0a9f
f111, 231c
e9f4, da50
d0d1, e660
9ea8, 24e9
5cfd, 1989
0ae1, 1545
61ea, b48b
663d, fddc
0b5f, 2a8a
4f6a, 93da
7672, 0aec
2df7, f0f7
a1f8, 2cfe
e4b2, 0fb9
ca5a, db76
5aff, 981b
19c1, 8c34
89d4, 97ef
4a51, f2cc
a754, 2904
ce33, 39fc
63c6, e847
5f46, eb1e
dca1, b926
615f, 4dbe
bbdc, 0dd8
cc1a, 81ed
72e5, 9bb0
16c3, 80c7
27c6, 3741
e100, 2e00
7257, 3937
cb10, f159
9699, 587b
4a86, 0304
e3fe, 3632
c8db, 5a25
6e89, 1f44
4d9c, fac4
11f7, 1fb1
e46b, 47c9
11f2, d583
e6f7, 0d91
ffc9, d19a
32e2, 7acf
d28b, 1558
da1b, d9cb
26cc, f625
83d9, 0339
40be, 1e08
5df4, fb61
2ec7, 3515
bd03, 0b40
a9b3, 9071
b8c2, 3fa2
a2c2, 7f66
9c6c, 41d8
ea77, 6d1b
362e, d745
3e07, dbae
e640, b03d
1cf1, aefc
0e67, f7c3
3962, b732
b150, 31b8
17eb, a2ab
5087, ea11
be70, 3a3c
cb5c, 15cd
c6cd, f476
278b, a672
0f6f, bc82
ee4b, 77c0
f57b, 3f63
99ee, a110
c6ab, 1098
37e5, b369
07bb, fd20
76af, 28fa
0495, 5f32
2566, f011
4f1c, 2b06
4a5a, 1a82
c2c1, f82b
f410, ab6a
1f9c, 622f
b945, 3596
d106, 398f
32d3, df1c
fe0c, 6ebc
dbb4, cf46
0367, 99f8
6f7e, 73ee
405c, 4383
6d4e, 5765
1213, 2dbe
5564, 0f61
046d, 2041
02b7, d466
b343, 0239
d3c9, 171b
e69c, 063f
466c, b35f
839d, 039d
6461, ca70
ac56, c6a9
50ad, a304
dba3, b38a
3e63, 556a
f017, 615a
d41c, 3493
00ff, 7a71
07c3, 89a3
8b1d, 1355
08ea, 0ebe
336e, 5b8f
b90b, 3103
ece0, 6570
840b, 34be
df57, b17d
4d09, 2bf9
e46f, afd3
8374, 3a07
1c1c, a43b
26ad, fdee
bcca, 1fa7
89ce, 585b
d9d1, 63fb
b2d7, 149a
2619, adf7
9b0b, 0bf9
fc52, ce15
9ecf, 849f
83b2, ed1a
a7d0, aeae
1838, d565
ce1e, 8f1e
e3a4, a7d2
5ec2, 34f8
c720, 4f91
47c7, fc2e
c41e, 95e8
faf3, 12fd
59da, ec6a
3bfb, 8b2d
0844, 929c
58ae, 8f1d
096a, e747
8d4e, 0e89
c1ef, 96a3
2083, 32b7
6f6d, f84c
4b0e, 13b8
cebc, 5872
021a, 1e71
90e1, 74da
617f, ac12
5f04, 3919
6c3e, 7c8b
73e7, 68ea
afc1, 582b
9c94, f1cf
5273, a635
1b93, dbff
df0f, 0d58
a769, 0e7f
9f57, 06a8
909b, f572
aa51, 250f
eb8f, f2b6
a3e2, 6fac
a17f, 65a2
4204, 6454
91c7, 45c1
c46c, dfec
beff, 048f
779d, 1e56
fccf, 2c9f
4edb, c966
880b, a66a
2630, e535
b50f, 4a70
ea2b, 6072
7f29, 4037
85cc, e8fe
7c0c, 0663
ba1e, 929e
90de, 893a
52fa, dca9
ef92, 2fe8
05dd, 8834
3c16, f39d
5e31, de57
17e9, 0653
7e01, ae28
8102, 7b5e
8d35, 7430
f1de, 2d7e
bcac, 32c0
c0d6, e2ca
b714, 7eec
3a97, 957f
b87b, f140
adfd, 79bb
d880, cd88
f8d5, 89d8
5595, bfce
3dd7, d902
58aa, 9a59
60f9, e595
7e7d, 6620
c514, 31a2
9046, 85dc
4678, 23f3
6db1, b82d
b643, 7a0a
bde0, d6d7
8cbf, 9bb3
555a, e589
a9a7, a4ea
f6d9, 56f3
9142, 5ee7
7530, a15e
da90, a072
e03e, d6b3
9a1e, 2667
127c, ba23
348a, c6c7
b851, 3654
8545, 68c2
4bf3, a2a6
733f, 638f
4cf6, 9c26
c405, 9144
4f14, 78de
0f8b, 1250
169e, 7fab
af13, e814
ffc7, 1614
f5b2, 1a5a
8d2d, 3dc0
cec9, 67d8
1da2, bc75
58c1, 6164
f7af, 073f
d802, f060
1d62, 6009
6b4b, 828f
eab7, 840a
f126, e7de
d248, 0745
7011, 067c
9dc5, a3b7
e444, 26ba
1659, 05aa
7417, 7977
14d3, 5de9
fe22, 489f
caec, 329d
d5e3, d5ce
785a, 1bbf
a284, e48b
9a7e, cad6
eb7f, 0e1a
fbd9, 920b
85f7, c1f7
eac3, a6c4
6d0b, 8ace
cdf2, 80ff
07e9, f449
4d95, 90fc
8e24, 91d2
694e, 0830
7f11, a8a7
85c3, 58b1
65c9, ed71
3c3b, 5917
1422, 74cf
5515, ea90
ed94, 059c
25dc, 9505
874c, 813c
1074, e518
df22, c879
9540, 41f7
eaef, 23c0
2238, 4f93
ceba, bdeb
a949, a0b3
af41, 1a90
3ea2, 8fe4
3555, 09f4
0187, 727b
3213, 6a3f
db3c, 1143
4e84, fcca
8dd1, 6125
3a5f, d833
0041, de20
e346, 5346
8171, 432b
4dd4, 9366
2c91, 4ca4
eb88, 1a5c
4184, f706
0517, 7a67
473c, f394
5d57, e652
f321, 57fb
3ad7, 0cdf
25b5, 956c
930a, 8e70
63c5, 6344
4b9a, 9d97
cd8e, 46bc
6675, 70a3
8729, 9ef9
5b56, 862a
c6ff, 79cc
08cc, 3c2a
d36e, 0fa7
38c8, b960
2924, 81c1
f667, 826f
333b, ea13
9aa6, 55b1
ab69, 9a93
652f, 5c8a
1b2d, 7bfb
0a8c, 54af
35ab, bf74
e717, 9323
788a, 1b0f
bc4a, dc69
8738, 9c19
4e88, b3ba
ea21, 5aaf
4f04, 089f
6b51, 2b49
ce2e, 0bec
6e42, 1253
96a1, 4c0a
f632, 765a
1eb2, ead3
5c04, a05d
4bc1, b2ff
aea9, 2e2e
326d, c70e
69d6, cb1f
b116, 1b4c
f4e0, abda
6b7b, 079a
aff1, d336
7384, 73c8
f88a, 8fd0
07eb, 3c17
98b4, 792a
3cb9, dfda
73c8, 7384
d212, 6462
2f9d, 86e4
91f0, ac98
6b4c, 0dcf
b264, 45fb
b90c, b98d
13e7, 3112
2b31, 5433
0306, f2c5
b2fa, 7093
cc66, 6e9b
12f3, f413
c048, be30
71aa, 870a
f62c, 4c99
87de, 3460
c23b, 33ac
d120, 8aac
e427, 1ded
0341, bb78
dac1, a816
6370, 1f1b
8cb2, 2b08
7189, b313
8e60, 360f
bfa5, 3d70
df85, cf05
77c4, f5c9
b716, e19a
ace9, 1ca4
1b17, 051e
0950, ad1e
aed4, dc0a
991c, 23df
2e80, 6b94
bec7, 4c1b
1bf3, 3bf1
3af4, 08f5
5a4d, 5398
043a, 6997
bbd8, 0bbc
8fa8, ef34
cba5, db2e
96cf, bb90
a991, 5c44
8c1d, bc19
0734, 9714
f7ac, 6923
d15f, 20de
caa6, 68ac
d7c7, 0f42
ae2e, 75e9
6de9, d5e8
bde7, f262
7702, e372
6c6b, c36b
e5d1, aae6
6a6e, 33fb
5517, 3ca0
d892, 509f
371b, 1b16
58a0, 3de5
3fca, c3c4
4b17, 6109
8f2f, 6146
9e9b, 08a4
0f27, 64ab
b384, ff3c
222a, 0095
0718, 89f8
5ab4, 66c8
e01a, 99d2
13c0, a1a2
4102, 37c7
dad9, 0c6f
7e36, 21fc
ce24, cf27
ce66, c8d0
173c, 7499
c8ec, 1b8e
5239, 7583
57de, c248
53ae, 9eba
0c9d, 7de9
52e2, e849
e875, ad3c
37e0, b1ee
4460, 80a5
5512, 0a9a
b070, d00a
64b0, 687d
a657, 4639
6769, 3c1e
96c4, db90
9f9e, 3e58
2196, f1af
1d96, adc6
8a3a, 02fc
84a9, 1dfc
b89e, ff4a
d308, 8c70
40af, 90ef
3fc5, 5f2c
90e5, 4615
a298, 9fd2
9712, bad9
ff7d, 9ea0
17ee, 4110
5252, af0e
ae4c, 9e3c
3843, 3397
823d, 6177
ec6a, 59da
1281, fa8f
1ce4, b3ff
d93c, 5cf2
5cb8, 2a3b
e372, 7702
24f9, a8f4
6158, 841f
c0ac, 30cc
4831, 8f2e
20e8, fde5
1716, 20f8
643c, 18b1
b9a8, 1814
4f99, 93f9
c1fc, f91d
1b43, e15c
4840, c23a
0e80, a00f
5941, 4830
eab8, 4491
bdab, 7cd0
5078, f46e
daf8, d648
4e28, 737a
f226, 5cb9
63a2, d7a8
339c, 9884
2337, 06ae
2ae5, 5009
08bf, 9dde
46b0, ff5e
52c3, 72da
be7e, b243
dcd9, b821
8639, 89ed
b08e, 6cb8
a3a7, 0527
a5ba, e038
3b0b, debd
db08, 6c08
2c41, 265c
cd12, f8fe
c57e, 64d1
8fbc, f205
d4ea, 01c6
81ef, c174
ed24, fedc
48c5, 01c1
218b, f14d
ee96, bffa
f6c9, 3d75
12b2, fcb1
873b, 8c6b
9efe, 3ff7
83fc, 0e1d
ebee, 38d7
778c, a127
ce0f, 18db
4860, da60
1f19, 21b9
d3b8, 289e
dba1, c58a
3d71, 0f00
298c, ca74
3d85, b88e
b1f6, fb1c
e9a3, c39a
eab7, 840a
0403, 9853
4214, d952
2131, 9d53
1f08, f858
15f9, 353a
91c4, 6895
70c2, 01c8
050a, 82ba
a9c9, 7783
7f2d, 8624
8894, 7878
d013, bb64
48b0, f655
12a1, 6f9c
00e6, 6272
7cc8, 6d54
59be, 254d
cf8c, a207
3625, c31e
b49c, 1e30
f7cc, 8e42
d029, c4e5
4ad1, b910
a4bf, 9166
69a9, 36ee
3529, e2bd
7113, a4fd
0b4f, d023
f621, 4681
f909, 8873
94db, 9f11
7b2c, bb94
6930, ef40
24d2, c315
865c, 725b
dff6, ba04
f359, 4a91
6f15, cff9
5f30, 0ca5
8485, 2342
1723, 47ac
8910, c856
4a69, 34fa
2cb7, efe2
4e52, f416
711c, 749b
e5a4, 2cd1
