19e6, 131d
c0e8, 02d8
1350, 91f1
70db, 8e0f
ccff, 35ee
ef77, df24
3e57, 8243
61d3, cd2d
2009, 05d1
14ca, 192c
32c6, 348b
773d, 1433
27f3, 504d
d617, eb35
b53d, caff
898f, 83c4
f4ed, f9e0
2ae9, 2615
3195, da9b
24f0, b988
3d28, 88e8
b5e7, 20fa
03ee, d49a
58b1, 5a73
5d35, bb50
9205, 8045
595c, 57c4
9203, fd28
b6d1, 7d43
3956, db76
057b, 599b
839a, e076
35ed, 533d
2860, 43be
f86c, fb60
c29e, bced
2d29, e6c0
19cb, a59c
f1a6, 8d2a
bd88, a146
6f44, 66d7
baa4, b50c
7515, 19c0
ce33, f9fc
ecca, e180
48ca, b8b6
912e, 642e
23cc, 272f
bbb8, dda1
4766, 9626
65c9, fb48
dab6, bee4
cfa9, c0a6
20ef, 021b
e3be, 7928
b98a, 05d9
788d, c802
38fd, 66e1
8c56, 814a
d0f9, 0e1f
1bb1, bf44
1a3b, 7bc5
aa48, 67b8
4de9, 4ee6
8c88, ec27
bba9, 08fa
317d, 7c31
166c, e964
d5c5, 11d1
958c, 8050
f0ee, f5a3
fae7, ffe5
be34, bf39
72f4, 6f48
fdc2, 7535
0df3, 33ab
c768, c26c
a01a, 5efe
964c, a080
42ec, 4918
68ea, fc3f
60ba, 9f4a
7016, 8e9b
5537, be4a
f494, f69b
5b67, 644a
bdf3, e051
a6a5, 6fcb
dc74, cd8e
51c0, 54fc
ca2d, 5428
b203, 3d04
7656, 203f
8d33, a59d
d8ec, 891e
1cc1, 18d2
0fe6, 0329
2737, 7101
29c8, 29cd
aea8, a9a9
288f, 225c
657a, 41cd
f13d, f438
a430, fdcb
6009, 2572
6bbf, 2228
2756, 238d
2374, 20e7
fa77, d14a
96fb, 94f4
5d8f, b368
76b3, 7a0f
9290, b5d1
7d53, 7404
22eb, d747
f07a, 9fe9
7957, 7564
d980, f121
9478, f27c
c46c, 4115
caf8, b63a
9bec, 987b
ca90, 3842
d889, 6a7a
d6a4, 69d6
fe5d, 6c06
50b3, 21a3
35d1, 381f
453e, 381a
8658, 7520
7795, a7c6
05e6, 5c9a
63ea, 2f86
2d16, 2ea9
0786, 0b7f
5358, 9cce
89d6, c304
02f3, 0866
7926, e7ad
2732, 2151
d3da, d91e
c0f0, f3f9
5188, 17d6
d2e0, d99c
4ae7, f8e5
ac43, 7e64
20cd, 10a8
2f35, 4050
7e41, 7db4
0162, 03fa
43a4, 307b
6447, 50d7
cd03, f5ac
3a30, 1055
d7d6, a020
9807, fd04
6a51, 8cbb
373b, 5bfe
4f0b, 0c8c
73fb, 6983
32de, eb4f
b168, b43d
94b1, b5c8
6da0, b4c8
3284, 38cf
8e65, dff7
b3ef, d019
cba1, c8a2
1f41, 1e3a
234f, 8e16
604f, fcc4
05bc, 094b
9d0b, 4060
7f87, 1856
4ab5, 5f15
d1f7, 7de9
7096, 3e85
8a84, 497c
1918, 15f3
b389, 42ce
871d, f0c7
1b0b, 4850
a501, da25
39b9, 8262
db82, e8d2
b18c, 6853
572f, ec85
b436, 92eb
5648, b08e
977a, 95f5
b79d, bae8
aa5f, a402
d437, b941
bcd3, e3f5
a188, a4d3
9547, 2de4
9ad7, 98d8
3539, cdf0
0eee, a399
d3f0, fb35
6ea1, e11f
0767, 03f9
3d75, e8e5
ff16, cd13
5081, 0cbb
4574, 935a
9dc8, f818
d7b6, d3cf
80d4, 7894
304f, dc9b
ff29, c828
d4fe, b6d2
8abc, e804
5a08, b5f9
d4c9, d7a6
786c, 7544
c37b, c675
549d, d8c1
6488, 67bd
5012, 53a1
b633, eb41
1c86, 4589
4cd1, 43d3
9f4a, 60ba
2161, 2404
4d28, 1c33
bc61, 4475
11e8, 8a41
e181, 8142
d03c, f6e8
88df, 8309
6d98, 62e9
b9c9, b70e
14d4, 1142
1146, b3f3
5832, 86a3
8dd5, 9217
1e14, dbf3
f508, a632
4fda, 69c5
6ee2, 3a75
9c69, 9906
2b41, 5a04
b400, 55d0
da70, 0a98
4fe4, 3d1b
e244, 5bc5
b1e6, c49a
55d8, c9be
49bf, 400d
7253, ebf6
5f91, 2535
c6c9, b0c6
a4fe, 69c0
950b, 9f0f
c19e, c493
b1e5, a4da
2c5d, 2938
83d1, ee28
bf1f, 0d2f
35da, 725a
57bd, fc6d
1c58, 13b9
8bda, 643a
8b7c, ee75
8ccb, aecb
4627, 05a6
01ac, 0004
b8fe, bb13
430a, 1e50
056b, 010e
10c8, b90d
da12, a960
b196, c14c
488b, 6ed3
83b0, bd76
afe0, c394
6963, fa22
1930, 5da9
6a3b, f135
f17d, c562
4454, 4d5d
1c03, 125e
5446, ede1
c16f, ac95
1386, 1f57
bae7, c240
45af, 291f
27e9, 98be
5c01, 5ba6
2228, 6bbf
85ba, 6f6e
dcf7, dc40
3ea4, ccb1
24e1, f1c8
1fd4, 1a3c
b8aa, b207
d630, 303c
bcfd, cf04
2a18, 56d8
005c, bbe6
9660, e2bd
c6c2, b0c1
3a7a, 6147
3039, 3d4f
72bc, c558
6782, 63b0
77d1, 4561
24d8, 118d
e59e, 8642
8ad0, 851a
876c, 49f9
f099, 4e2e
18ec, 1b95
2c69, 2906
4963, 51cf
d1d9, 5ab1
7514, 09d0
bcb1, c287
765a, 2a85
e16d, 5bcd
fb80, d881
376e, 00a0
af90, 902b
ee60, 7018
e818, afe2
5c2f, 47d3
5b5a, 5631
6584, a2b2
1fb9, 1208
d408, fe48
8dc7, 5282
2053, 2045
cb92, 4875
4524, ee20
bf37, 2278
58ad, 531b
3be4, 4570
9bb8, 9cb9
1ca1, b384
6c6b, f230
d85c, aec6
f664, f46b
5e59, 5d36
63ec, 67e4
da3a, 6892
2737, 7101
60e9, 3cd2
c707, 5a62
2cc8, d481
ac2c, 5c34
f16a, f06e
11f6, f11d
082c, 84b6
7140, 27b5
ad5f, 3c8c
0ac6, 055d
8dd4, 54eb
c665, c36b
baf5, bf62
70c7, e020
f69c, 6a91
7014, 1f11
832b, 23c1
6885, 64ba
c507, cdaa
ee8d, ebd8
976e, aa33
2b98, 4268
99a1, 98b4
e9dc, ecf4
0ba8, 8a55
aa0a, 52eb
464c, 112f
eb0a, 315e
7684, 72b3
56df, 0fc7
18bc, 6363
2271, 88bf
f333, 68b3
272f, 23cc
50ce, 41f3
ae84, a7bd
d790, daec
0f8d, 00d3
30df, 3c13
5a83, 0a21
a271, 856a
4bab, d3f2
eb63, e85d
91ac, 9710
6742, 34a2
d98d, f520
fdae, 36a4
4e43, 7658
2866, 2b09
e9d8, f843
c3dd, a435
bdfa, 53bc
e02d, 7bc6
c440, dae7
1539, 18d5
c6e1, c3e2
7a00, 2f87
025e, b45b
7957, 7564
6e7e, 38f2
da34, bc42
1b83, 18b8
d02e, 4bc9
461e, 4313
cb5f, bd5a
d26a, 55dc
40d4, 7978
b885, 93f0
227e, f4ef
34a3, bdd5
89d2, 870f
abe8, 87f8
cfb4, 6490
458e, e1ef
f466, 1616
c9c3, 59fa
1d35, 1e6c
d54e, 036f
0cae, 52fd
7f5a, 9800
95fd, 91c0
4b9c, 3d6e
c651, 7e51
9431, 85c6
0b92, 09d9
b21b, b9f5
a439, 384d
f601, fa0b
fd8d, 27a4
0c44, 02b4
bd32, 316c
f001, f70c
2993, 8b3b
dfc3, df90
0652, f5f8
68e0, 6e9c
5635, 6b20
ebbf, 800e
6957, 6b05
1648, 1b3c
8dad, 9671
be2a, d1b2
6654, 6203
ad28, a279
b86f, 3dd2
d46e, 5566
fd38, 8b9d
f66b, 0964
2f0e, 0703
5604, b362
8400, 5ece
3ed4, c8d9
ef25, e0eb
eb51, 0c2d
8c0c, 8960
cc79, 293f
de78, eb9e
51bb, 6401
ab4f, 42a7
459f, 4cf2
3c4b, 399f
cba8, 7241
ad7f, 082b
1793, 6495
b9ee, 448e
cd2b, f82f
1309, bbcd
ca95, 8db7
012f, 9259
5936, 0b11
1d31, 7414
9547, 2de4
a661, fac6
11e5, d065
a7ca, 587e
1b32, 1768
79d8, 7c83
58f2, 5239
95e4, 281d
0c21, e15d
3073, 4ea6
5905, 5caa
ad75, 682b
43bb, 4f0e
62f8, 67fc
d2ad, dfb6
4e2a, 3271
9306, 9f69
8e43, 8d8d
cb9d, 3134
030a, 10f1
e7b9, af7d
164d, f841
e199, 94b7
07f3, 0366
a257, 75fd
3d56, b0ad
2452, 4a51
9ecf, 53c3
9be7, 9e74
83b7, 8c78
a68e, a827
04bd, 0276
d88f, d47b
cd1d, cebd
7666, f594
d9ce, 1436
2804, 2a0d
8e72, 0578
8ad1, e4ce
b609, 86da
dbf0, 8a60
66c3, 8d08
0f6a, e62b
056b, 010e
1fb1, 10d4
94ad, 991b
a1c9, a5f4
3aea, a6c0
6551, 6f56
f9c3, 10ab
3ab2, 37b1
5375, 58e3
232d, 838c
252c, e68b
e437, 2eba
1d45, 103c
3f1a, ff32
7e53, 7701
0227, ea08
9a7c, ded8
8b84, 5b49
bbf1, b31d
73fd, 7cef
60c7, 3322
f13a, f43f
97b6, 91d9
e57e, 6e05
2a9f, 2cc9
061b, 346d
f29c, cd4d
aaa1, 4081
4934, f94a
5570, c27c
8e39, ecea
e8a9, ddcf
b5ac, bf56
bdd7, b0d6
c7ff, c933
70c6, 8b70
c679, cab2
4861, a592
1135, 146c
7baf, 3798
c7b5, 84d8
19c0, 7515
f89d, 6bee
ddee, 3e9d
f14b, c316
faa9, a04f
c72b, ba70
d7f9, d416
e778, 0eb9
729c, 0386
62ea, 6898
ea48, b185
af90, 902b
3b07, 20d4
11ce, c088
0c83, f68b
7ed5, 7c39
fd53, dc8c
a854, a33f
df9d, def0
1481, e5fd
a196, 2b93
a293, a97e
df38, 12e0
de5c, 299a
6455, 670b
95a2, 98a0
a966, 98ee
cd44, c049
a5ca, 3ad0
2982, 5e70
452c, d68b
34c5, eca4
d0db, 3f40
9472, f27f
5ed0, 21e8
83ba, 606e
73c3, 05ef
6c52, da1d
b141, 5b0b
172e, 7ae8
e2fc, bd9e
a581, 2f8f
b494, b2db
2ff3, 38f9
a3b5, a64c
b2bd, 0288
2bd0, 2969
a0e7, 5ac0
b656, bacd
2dc8, 8ffb
33fd, c69b
8fad, 5d37
520e, c40b
0aa0, 9a36
d559, d18f
cecd, 60a6
a832, a9fb
40da, bd5e
8087, 8928
4b9a, 489f
ea9b, ad9b
d773, 2c64
be76, b829
ff33, fa36
e535, d185
ca07, c704
5e60, 9c18
406d, a85e
7d65, 0dfe
035f, 017f
5ac1, aa64
07d0, d9b5
6fea, 3bff
618a, 9a49
e9aa, e7b0
2b97, 5e95
bb00, f9ce
7f81, 4681
94b3, f6c8
11cc, 8251
880f, 5a53
c5f2, ba30
be43, b8de
8fd8, 45d8
06a1, debc
212b, 93cd
c0dc, f1e3
5657, 7e37
7f92, 1377
e996, ec63
8186, 8e2f
6acf, 24ae
d57e, 392d
f1e3, c0dc
f761, 9dc6
b7e8, bb42
9a40, e1fd
1cf2, 159f
851c, 5a1f
64e0, d848
0e52, 3695
5de1, 5e72
71b3, d801
3c3d, 3540
d73a, 75eb
7f29, d618
7065, 774a
d2f4, d2db
96f3, 866f
88fd, a6e1
a86c, e85e
785c, e238
2d6f, 22dd
8304, 9edb
6432, e54b
a75e, 0527
801a, 83af
7783, 77de
0550, c412
d0f1, 5001
a65c, a20f
96c0, 1698
c7fd, 53c5
1a00, b7f5
c75b, 5cf0
fb54, 9d67
e124, 4c3a
5613, e461
6bd6, f74b
5cea, 455f
50bb, bc31
cd51, 565a
f09a, 4ff7
d0f7, f5aa
2c97, 21c6
ae3b, 64a8
08f2, bea7
73f0, a91e
fa4c, 1d41
1891, bdec
f5f3, 7ac2
a0c4, a312
b9a2, 05f2
e7e9, cd24
5ef5, 90f7
7a6e, 475e
4db6, 008b
3798, 7baf
832c, 23c4
a9a1, 9070
8ae4, 8210
5085, 6a06
2bc4, 7bf7
6ada, 0e62
78b5, c567
40dc, e773
5f2b, c395
c90b, c40e
f93f, 89b0
5ac3, 01fd
7631, 254c
6926, 9923
b508, d8ba
8f82, 7be7
6217, 68f5
07ec, 0a2c
83d6, 8f01
0b2a, 5189
eab5, e2ca
47ce, f02e
be3c, b860
f517, f815
c59e, 3832
9d99, 7242
61f5, 5b4f
dd2e, 8dee
a79f, 7424
e12f, f4b1
f4ed, f9e0
06a5, fddc
2e1c, 6216
bb82, 0b01
42e5, 4913
c0a5, 7436
6d8a, 2ade
3dd7, c4e5
0e9c, 87d6
5f8e, 5819
403e, da55
46a9, aea2
f3e8, 5d05
4a0f, 3f2b
4c94, 31eb
fc7e, f6d2
bb73, 6326
9fd9, feb2
15b9, 1f80
1357, 7662
81a8, 8e07
7803, a2b4
4a85, 24d5
8e9f, dc2a
c5fa, 983d
f5c2, 67d3
d04f, d9ec
b6db, f49d
0a0a, 9c75
5623, 5fd2
850b, dc30
ec76, 8998
8482, 5d2a
e2ad, efb6
9b4e, 908b
c1ce, 2311
a328, 0c7e
0bf6, c0bb
0a5e, c219
a403, af0f
5350, aca0
fc82, 1b5e
d1af, d9ad
97af, e489
c0ab, fea4
a48b, a1dc
b74c, b7e6
0a4e, 78bb
e71b, e4cc
ba97, c194
a924, 77f2
d3e9, af53
e836, e700
629d, 0a3f
f436, cc75
b6c0, 5610
d0db, 3f40
848e, 0a7a
9c65, fc00
9737, a101
1039, f77d
254f, 763d
b9b2, dbc2
4e78, f17a
32c2, ecb5
2ea6, 2b19
5577, cacc
5191, 594c
90f3, a1f6
b90d, 10c8
b96c, caa4
4f96, 4584
2e3f, 2c4d
8d0e, b33d
2c22, 702e
de33, d86e
6b2a, 3ec2
8966, ee93
3601, 8f02
d491, badc
a437, 26cb
3177, 84e2
cb51, e74e
f190, 428e
5bc1, 5ef2
de4c, d8d0
0c2d, eb51
8db6, ea5d
be5b, 6ca3
dc03, 3b5d
2061, fb2c
4e85, 4c5a
8266, 8c09
59c1, 872c
9d19, 2759
7de0, 4e20
cd01, 5802
3440, a948
a65c, a20f
f2db, f9c7
02ba, 2e18
2e65, 2b0b
cb6d, bc91
7197, f8e2
530c, be96
10fc, 40f5
98a2, e04a
c93a, 95b6
fe5b, 6c01
ac7f, a998
1ec3, 6971
f835, 5872
77ee, ec65
9778, ebb6
0d53, 2b1c
5c8b, 0cb0
effb, 2ac9
2111, 26c0
96c5, ff15
385f, bbab
f747, 9484
7564, 7957
acc1, fcdb
fd7e, db9a
2606, 236f
d841, c15a
c40b, 520e
58f3, 8336
c040, cf4c
3704, c2b2
b62d, 241f
4679, 3f70
37a7, ccb8
3a15, 2b27
db81, c12c
6e8d, 6f80
cdc4, 597f
bce6, c29a
c77c, 2c4f
b903, 9a57
fc56, fe53
0972, 1d51
d123, 2961
31ad, 8396
2c04, 20bc
19b7, 926e
094c, 02bb
1330, 9fbc
2c65, 2265
8837, 8438
8c05, 826b
b771, 76e0
0224, bea2
623e, 6d69
30be, 2583
b762, 9e6c
38db, 451c
cc11, c963
49c9, 4b20
33cc, 3430
a528, f7fb
1b7d, f9cc
0383, a0e5
0de4, 0e27
47cd, b0bd
230d, 23d0
9e01, ab52
2b49, 2309
a62c, a3ec
c00f, 8670
fa0a, f60e
0129, 04ef
dfdf, d5f3
e89c, 62f0
53ab, a3a9
11c3, 05b6
6105, 681b
fd9a, 206c
fbb5, 47b7
2513, b896
1548, 1869
4fc0, d47e
29d7, 2b65
8a35, 3c88
85cb, 89fc
0487, b94f
3b99, f878
f7e7, fbe8
2b2c, 7b90
21fe, ac76
07f1, 1ecf
ba4a, 59e5
2a51, 5a97
ac5f, a969
c35d, b60e
f0c8, 3b85
6d8a, 2ade
006e, 97f0
cf30, 6900
f1b4, f4b7
00dd, 27fd
72ee, e860
774c, 7366
beda, d678
ef0d, 727b
6328, b38e
cf83, 9351
a412, 61c2
22ae, 45a3
3619, f13b
2820, 1d7b
fe04, fd07
0bd9, e79e
5e30, 0b0b
d4b4, ea82
3401, f48d
3f5a, 0fd9
fd8b, f48f
311e, 05a3
68e3, 6b98
4f7c, 2670
f429, 7f18
3ff8, 42d7
a46a, f790
ed2e, 9d29
3c42, 1cd5
5b1e, 9319
0b7b, 3b37
d5e4, d997
8df1, 9d6f
39a6, 31bc
6bec, 6796
d298, d86a
b6e7, 3437
2aa1, 17ea
c428, 34c7
5648, b08e
5b5f, 5032
39aa, 31b5
601c, 79bd
92b5, 7190
9ffc, 90c0
b144, d74a
0641, 8af3
7907, 73b0
cfb2, af8b
837e, 2072
ecac, 5bb7
8111, f0f0
a0b3, a34e
293c, 255b
77f3, a223
b485, a8e8
82a0, 8db9
0d8c, 0edc
174a, 94b4
6a69, 89ac
7d38, 7462
e2a9, d5cf
8112, 87a1
5dd3, b614
788d, c802
5e01, bd93
c633, 4813
3131, a492
947b, c362
ee09, 53ed
9d72, a3ce
68fb, 6514
96d9, f3ba
707f, e32b
bc3a, 73a3
26dc, 2261
f63d, fb30
d9be, b0be
ecb4, ebaf
f488, fd87
b6f7, 07e8
e545, 078c
c048, 6dcc
2911, 25a4
a21b, f699
92db, 9dd4
3d6c, c719
6895, 14e7
1439, e2db
5ee6, 19a3
3806, b533
8179, 87b0
e503, e93d
8d76, 84bf
3d66, 97fb
0030, 9d77
0ac3, 31ff
84fc, 81c0
e4cb, e11c
8c90, c98d
edf0, 3bc5
6287, 6cb4
9935, 70e3
64b0, 6889
97b9, e578
4fa6, 26a9
46b6, accb
647e, 1aa2
0b7d, 9e21
a7ac, 5c4f
3558, 8873
98a2, e04a
fba3, f8ae
6976, aded
c595, bd47
d586, 9ca6
a61c, a3c0
6dbf, 1ab3
a727, ae7d
d24f, 44a9
57e6, 81d3
011e, beb2
45b8, 4fb7
5827, cb91
fc5a, fe58
bf9e, 7859
bfb3, f9fd
d0df, dc13
3fae, 337b
ba16, c23d
2662, 4307
795d, 7c68
a74d, 6443
38aa, 3baf
5e73, 9b71
cb25, 3157
b9b2, dbc2
0b3e, 250e
afb8, 7a52
7630, 4055
fe88, fc8a
7f47, 75d8
044c, e788
101f, dbec
ba37, 6ff2
68c2, a67d
5b5c, 0b30
56f7, cf3d
8c10, de91
d088, 009d
4c4c, 0355
426a, fdfa
85c1, 89f4
a0b9, af46
aa59, af08
6f68, 8fa9
9bb7, 9cb0
5c32, 515f
44bd, 2ab8
f21c, f718
a9ce, 0008
491c, 346e
13c6, db7c
f11e, f413
d130, 0d18
26fe, 8eff
bdfd, f6ff
0d1d, c2dd
7709, 73b8
f29a, 6dee
0222, e40e
8594, ea3b
6067, f93e
70bb, 2986
ed92, b99e
fbce, f9c9
bf30, a23c
df0d, 127b
23e5, 56c9
cf50, 58d2
f004, cb70
90c7, 371d
c1d6, c506
ba20, cd89
4cda, a4b6
b0ac, 6ec1
6183, 63bf
8c1f, 09e3
aeeb, a82c
8eb5, 8ddb
cdd5, ced5
443d, 116e
cc2c, 4f1f
fd35, 2918
6428, 71a1
c5ef, c9ea
f475, e626
9569, 9f60
9dee, 6fae
6104, 6457
51d6, 0209
6e69, 6d3f
65cf, 6fac
c097, cf94
9b0d, 9e68
8eaf, 8b1a
7303, 7038
a320, a3e0
9833, 9536
0de5, b7d0
efca, 68d8
ee7b, 1b1c
0f40, 5f27
b27c, b8b4
748b, 71dc
6cd9, 8fc4
77d9, 718f
36b0, c7d6
cadd, c2ef
dba2, 2adc
6d2b, fa2f
af82, 60d4
85ca, b592
c532, 0b42
e63e, 3821
e182, 1aab
3081, e940
c8b9, 54b1
26b0, 1442
1fd4, 1a3c
56af, 9d86
e403, 3745
5776, 1fe9
f90c, fb01
6e67, 6834
328e, 3f89
1ca0, 22f0
53ee, 5073
3565, 3868
ff57, c348
c1f8, bafd
6688, 1b53
2238, 2f49
99ad, 5003
cefe, 4bd8
9dd8, 95d9
a79b, 7528
9630, 9239
d075, 13c7
df7c, 51a3
c5fe, c839
26d4, 246b
e58d, 5606
3c85, 8146
7890, 1b75
d3f4, a5b9
01e5, 072b
869e, 2f92
f227, fc2b
0dad, 001b
64f2, 7005
e76f, e094
97fb, 3d66
4f96, 4584
c6e2, fc4b
de51, bf87
523c, 5af1
9cce, 5358
1723, 6aa2
f62c, a620
21a5, 241b
e92e, 3922
fc9e, be2b
1621, e548
88e8, 3d28
4660, 44d9
1162, 0ae8
88ab, ed39
b71a, 984a
ecc8, d5a0
2852, 65de
9fb2, f6b1
d7c9, d7c0
ffe5, fae7
42c6, 75aa
5d6c, 5e00
56f2, b0c7
adf5, 6ea5
a449, b790
2d20, 9ce1
0c86, 5c49
2acc, 6e89
da76, 842a
1de3, 1e9e
9ac0, 9381
12f8, 191d
2cdd, 22b3
bbeb, fe96
5782, 5329
ce5c, b4c7
9efc, 9dcb
e339, 010c
9412, f9a9
7227, 14c6
1d05, 1e5b
da7f, d48b
922c, 9c9b
cc05, c7a7
1eb5, 3248
7f41, 7e5a
a3b6, a349
4a9d, 485a
ab15, e35c
1429, 1870
4d92, bd90
1108, 743e
ace0, 9925
4c5b, ecd3
e65f, 52bd
c71d, ca18
10ce, cbf1
a906, a35c
fbed, f7e4
d63e, 3033
b44d, b940
6a0b, 9450
60b1, d844
a857, 6d5b
b9b7, 926d
13bf, 1c53
9f2b, 9421
c63f, cb32
3817, ff49
7b62, 5f52
7a16, 27ca
b04f, bd42
29cf, 2cfa
1b6f, 1806
ec6f, ee96
4817, eaf3
2040, 205d
2ce2, 2e10
c71f, ca1a
aa73, 06bc
36f3, 94fa
5cc7, 52f4
18d5, 1539
fb50, 3881
f833, 81de
8bd5, 6a83
6069, db97
e39f, d564
d8e0, 1ff9
6419, 66f8
9854, 9b31
06db, 8457
9b54, 9e02
8217, 6734
c660, daf7
b298, d867
0fc4, cee2
e684, cc3c
9058, ac57
f3eb, f6e5
94bb, 91dc
fd48, 97e5
2459, 4a56
a254, f7d2
890c, 9d88
ad91, 9b22
eef3, 0f23
96ef, 937a
ba21, ca83
65d5, f626
8a92, 8f60
ef19, 24c4
1fe7, 1394
6b27, 9d92
63f9, 6f16
0f90, be2e
38d6, 336a
d09e, 85de
9ddb, 3f41
a608, 559c
960c, 582c
6fda, 3df2
9f1b, 9a14
b8d3, bb48
2171, b401
