3339, c971
1ab9, 7aec
1ca0, ae5c
63d6, 1c4b
982b, d923
70f9, ad07
fdad, 5daa
a3d8, 9d65
22d9, 1741
c047, 6bcd
030c, 67ee
f6cf, 05b0
d30e, 4c11
f817, f818
a360, 13e8
e97c, 0782
93fa, 7e3b
7411, 25d2
ae9e, 561b
f0a9, 5baf
8d08, be99
f199, 1440
c4e7, aabb
9ba9, b756
1254, 8f81
103a, e222
b59a, 25c4
f6cb, 3666
4b53, 78b3
c798, 9005
f9f7, f286
cc9c, d40b
14f6, 2519
cac7, c6ba
0042, ba22
03b1, 002d
6144, 2c28
86d8, 8bd5
4d3e, 64a5
d7b2, 3be5
c5d1, cff1
2291, fd08
cf9a, e89c
0068, 1e31
f812, c842
043e, 39ee
8c96, 0c54
9fe0, ff0b
6b78, 08a0
d23b, 9262
23a2, 6958
4487, bae3
4157, 4c8c
1f6d, 8a95
fc85, a3dd
8164, 69fb
e54a, 05d8
0548, 6918
eada, a586
80a9, 301f
d8de, 9e52
2c5c, 2a51
1e6e, 519e
f34f, 9bd6
b0b9, 8a02
5f14, a1be
1550, 1c23
6d66, 6e36
3521, 31da
72c5, a473
3c2b, 4d74
6481, 0c40
4977, 4bb2
abe6, c7d1
09ed, 3042
2fc4, e69d
ab7f, 1c6f
92c2, 94be
28aa, c5a3
e697, 5f98
9490, a585
6c70, 6286
ef84, 468b
fe16, a0a0
b6ab, b397
5fa2, 223d
cca3, cb24
c89b, e6b3
91e3, 4388
9133, 41f4
4f96, 39d5
7447, eb1d
35bb, 5090
3a96, d4a5
5cac, 3e15
92bf, 6db1
3a09, 2868
5555, cd24
1805, 5297
a814, de96
a9cc, 3d30
b7b1, 0304
c97c, cc0e
1e4e, 2342
057e, ccba
ca48, c71b
00f9, 4d51
e41a, bcfc
848e, 8983
a394, 4ed8
113e, a7ac
ef11, 757a
9dd2, e644
2eb9, 5de2
478d, 4949
6314, 817e
eac8, 9866
6661, a939
194a, 1cb7
5fee, 0ced
55e3, 797b
0091, 246a
276b, de6f
0160, 04d3
3ac3, f038
6541, f1fd
c2f2, fab7
4385, bed5
7527, 19e7
d196, dac5
8584, 4156
5b64, 24fb
1edb, da96
b57b, b98b
52d2, b202
599c, 52c2
f1a7, f51b
b246, 7394
5b36, 5835
921c, 95de
2ff7, e9ea
e1af, 08d7
1a6d, 20e5
8735, 8cfa
7781, 724f
83be, a6a9
c14f, 0da3
005e, 013d
418c, 4749
4750, 5b51
bea2, 4bf5
43ed, 7707
f6ad, 3d1c
64d0, bd3d
e663, 7f9b
af22, f83f
9c22, 8d2a
d58d, d911
2955, 5e5a
9c75, 9216
5853, 5b50
e10a, 0e05
5b97, 555b
eb09, bed2
bbf5, d176
f828, fb27
795f, 75bf
676e, 4ff4
64dc, 2d07
74d9, 4102
ac8e, 82a4
78b4, 8e5d
e3b9, e02c
4d5b, 29d3
cb13, 2048
8214, 1e45
92bf, 6db1
d538, dfd1
868f, 8a51
33c6, 0c3b
1d4d, 5f9d
7b64, 7b3a
aa7d, 97cc
4f2e, 2030
b339, 3423
5444, f2c8
60ce, 6c4c
43e1, c002
c930, 95d3
e824, e223
2b10, e3ea
42ce, 7a7d
ab7a, c88a
7a7c, e81f
48f5, e6fa
8887, 08ed
4ae2, 464d
0b52, 6725
de04, 370b
294b, 27c4
93f8, 97b6
b80f, 13f9
20b6, 8226
2d4c, 2b79
b0ed, 968c
3c4f, c2bc
da8f, d112
624d, ebf6
cec9, b091
026f, 2baf
c4a6, c195
d83d, 68bc
d17f, 3b75
4413, 6abd
41e3, fb8b
9574, 9911
7024, 7c8b
17f2, 8937
d3ab, dc89
778f, e162
0e12, 43a5
707f, 1494
66c9, 1ae5
ef96, b3f3
a7ad, 608b
8090, 3b4c
b591, f7aa
aa75, 66e8
dcaa, b54e
1216, 1398
5ae6, 717d
45c8, 49ab
c264, 9649
8df4, fa39
aa36, f322
3785, 8030
9f5c, c2fe
f24a, 6a06
3528, 31de
e486, b745
abc4, 30ee
0f7b, 0ac4
ce9d, b291
8bee, 782e
ee70, ec7d
0975, 0516
f499, fc10
dd8f, e73b
c142, 8ef4
4ea9, 5fdb
e90f, b932
bcec, ba51
1e17, a0e4
addf, 4e17
67df, 6a09
94d7, f16e
841d, 8111
43f3, dc44
e5a4, e9ca
d5d9, 7d2f
30c4, 8d34
37d3, 8951
a0d0, d787
db90, 2a56
f4e6, 1299
70d5, af1a
bcc7, b2fb
139a, 78fc
d6dd, 30c3
9d22, 78c3
b485, 5740
e083, e184
376b, 33b1
132e, 36cb
d839, 2438
1164, 176a
b251, 1f54
f281, 7a9f
6334, df39
fc68, f267
8f6d, 8061
1721, 1a5d
7604, 1e3e
81dd, feac
9dc7, ca56
0e38, 0d0b
6de0, 9dd1
a62f, 4ae7
3c10, d1fc
e22d, 827b
8335, 8636
cfcb, f30c
c415, f3eb
9b8d, ce74
8b8f, 8954
337a, a511
e944, eb46
4253, 989e
a287, a7fb
9cff, 915b
4a4b, 4fe9
892b, 852e
480c, 1809
298c, 2b17
702e, 9154
dc79, 2fdb
6152, 6e20
99d0, f6f7
c34d, b49f
12af, 1cf2
dc7f, d0cb
6248, 098b
6a2a, 6f30
90f8, 9a13
5955, 5458
33b4, 3768
33a6, 3114
e905, e536
a26b, c73a
00b6, 0964
71a1, c1d6
97ce, f4e4
c14d, 8e84
743b, 4f54
4281, 7258
0c41, 098d
213d, da39
551e, 591b
5d26, 5e25
4387, 7348
0a3b, 0651
1ded, 1270
87a1, f1d3
94ec, fa2c
963a, c1b0
b795, e4f6
65bc, 0f7c
1bc1, 58ab
233d, 2f3b
f137, 5e0c
981b, 0faf
6a6c, d40f
a482, 1235
e33c, b309
43da, 47a0
b281, bc7a
c531, b3ba
ffd5, 341e
2180, 102e
184a, 584b
0536, 0d51
05b7, b6f6
2ebd, ed5d
1b10, f7ee
d25b, 0885
38a0, 3ba3
3200, 37eb
f450, a753
df86, 1823
a183, 15f5
1779, 0f99
8827, 8b28
7c1c, 0ae2
6e7f, 7093
f14b, d924
fec3, 5ec4
a081, a61d
1213, 2e09
be17, 932e
4881, 434c
98f4, 66f4
19b7, 1c4d
c139, c46f
4ea7, 7d6a
1374, 8ce4
c331, e3b6
3dd1, 6a12
ebf8, 01f9
be00, bc6a
e616, fe0e
b697, 2d96
7948, 9be5
cb14, dec0
279b, 2ac7
9f99, 6df3
9711, 9a74
1ad7, 14fa
6d02, 2773
c2a5, 91c8
3479, 0a7c
7ebc, 7d59
b7b4, 304f
610d, 4e82
1bd1, df0e
f01c, 2ff4
a55f, 7fda
eee2, ece7
8cd4, d126
16bc, 13ef
ae9f, 3da3
03ff, ffa3
c1c9, 710b
b139, bed6
a89b, 97e5
e7e4, 3102
f724, 94ea
3ed9, 4129
afa6, e381
427b, 4db9
3b02, 510e
43fe, de63
2fa5, de13
2ce6, 176f
2e56, 2c21
1e1f, fde7
cdf0, bdad
040d, 0d07
fd44, b791
715f, 7ab9
679e, 04fb
ecb7, ea26
f455, f156
7921, dcc3
bcb6, bee1
a29d, f2e0
77e3, aba3
6a25, b63c
859c, e28c
0e12, 43a5
ea5f, 0689
d217, a8d7
a4c9, 9a92
c935, a6ae
7feb, 7e56
6df5, b50f
855b, 30cd
76ed, 9567
1dcb, a009
a302, 60f4
711d, 7141
44ee, af5f
553d, 29d4
7a16, 0aea
66bf, 94b1
afd0, d417
4fe0, e1f3
38d0, e314
7d59, 7ebc
7714, 7279
3197, 2340
fb0d, a7ce
9846, 372e
7744, 49e6
c012, c04f
0fb4, eb28
eb3e, 90f7
c4c8, c918
a21b, 3010
f466, 6b66
9179, 0389
0e76, d0a4
3231, d23a
0bb1, 0963
3e70, e9a2
85f0, 89f3
393e, 3253
7a21, 4d00
db4a, 66fc
b088, b911
23f7, a6e8
9bcb, 0374
01f4, 6ea8
1599, 72cc
36e6, 90e2
c0f6, 4ce8
9573, 9916
cbbd, aea6
2b73, 2d40
6758, 3428
bae2, 25e4
6b41, 6b1d
8ac2, 8cc4
6375, 0683
ea32, bfde
1fb3, 0391
fbf3, 9bea
1060, 8665
1442, 3bff
2d37, c533
9a25, a4e0
dc95, 594b
90bb, 287e
446a, 4dcd
c675, 66cd
8da2, 36ac
dfd5, 435d
b7d3, 3770
efb6, 0bd1
6d69, 2442
3ae9, 1aca
5b3f, 0112
45d3, a7eb
8c67, 42de
25f5, 29a6
38cb, aca4
13a0, 938b
8e4b, 8e2d
eb67, a601
724d, a5ad
3f9d, d769
3475, 2199
3308, 3607
9bbf, 7103
cbcd, bfdd
6bf4, 13e2
890e, 4537
8277, c82d
e887, 20c3
767a, 7abc
cd2d, cbf3
7e6b, 6193
1072, 11bd
100c, 6b39
58c9, a4e1
69a3, 0593
876b, 81c4
bb67, a0dd
f3ef, afe2
5482, 5a49
7699, f24e
7845, bf4d
5bf4, c5a5
5963, 5560
a84f, b207
c6ea, a6b4
8090, 3b4c
50b8, 5fb7
2ccc, 8b00
6d2d, dbea
fc3b, 195e
9535, ee38
abe6, c7d1
19fa, af2b
8c29, dc2b
dea5, 3df3
2176, 67ac
d962, 3005
e837, 6432
62cc, 6695
d922, 4994
1bcf, 1c61
3a5b, 07d6
dce5, 1b4c
d19c, a68b
d534, 99fd
bab9, b6eb
ddbf, a3f3
05dd, a7f1
6718, 0a48
7ca7, 799b
694f, 60cb
e6f3, d13f
65ce, 4da1
2671, ca57
48bd, e7d7
74f3, 7f34
636f, 6032
288f, 92f2
7ee6, 0bf5
a368, 3c98
f0ee, cf2e
b3e3, d2f7
8fc8, 5f63
7215, 177e
4af1, e64a
60b2, 665f
3f2f, 92b2
a32f, a809
5060, efd5
661d, cdf7
b858, b259
2447, 16b0
0994, 2261
3e92, e8fd
70ab, 7939
77e4, 59a8
d918, fb38
8cbe, 4227
a199, 8577
749a, 7a67
f3f4, ff82
acfc, aa81
1c2b, 6f3e
0268, 64e9
dd3f, dbd2
2dd4, 2a3b
803d, 1fd4
61da, 4a92
19ce, 5234
9b9d, bcb4
c38c, c391
2e07, 8d0f
e15c, ea59
3e1f, d0ac
0470, 9db5
12ad, 17a9
607f, c39b
038c, ca95
0147, d8d2
c9e6, ccc1
56b6, 54b4
f687, f1e8
48bb, e573
cc53, c2b6
b6e7, 26b8
aa39, a7dc
fe15, 6f09
d081, 6e78
b8f1, 7dab
0b96, e794
93d6, 071b
f898, 49e5
e107, 0e02
41eb, 475e
e6d2, 0420
bd04, 65f0
ddc2, d60e
59b6, e47e
9894, 9384
7e06, 7337
22ff, 2cac
44da, 816d
5c49, ae0b
e541, 2271
9262, d23b
5287, 2988
1c44, 3ff2
5a3c, 5637
5c45, 13b5
50aa, fb1a
c3a2, 9c32
1f43, 4f40
7fca, b0ae
27af, 2af2
0e2d, 09d5
7c94, cb27
3582, 36fe
6405, 3406
d88f, 6e59
f062, 9698
3aff, 0275
f40f, 1894
b8bd, 7b52
e4ae, 51c7
9f25, 05a7
aafb, add4
b9b4, b722
87f4, f4f2
982d, fee1
2977, 10ee
f363, d3cb
f1c3, 8ace
6225, 7b4c
e8b1, b60c
5f21, 5528
3559, f242
070c, 6439
d6f6, d5a9
aed1, ad3d
2272, a6b7
3e86, 5ff0
85fb, 21ba
82ea, 1842
4ce9, c0c8
59aa, 55a4
712d, 8042
dd39, afba
7320, b717
f3de, 1157
0ab4, 23f1
db30, 21dd
10e9, 1fbc
0281, 694d
4551, 62d8
576a, 3e60
d7fd, 4a06
2fc0, 0641
1714, 8a8d
ea5b, e7ee
6923, fbbe
0a22, 5c62
6ca1, 89ba
04b6, 233c
e9c1, ecad
6ccc, 02f8
b854, b253
cc64, cc3a
d236, df32
d5cd, 2ed0
d56d, d6e0
0ccf, 6e4e
153f, 021e
60d0, 693c
6e02, 083f
c46b, c138
596f, 5562
6301, 6cb6
cc0e, c97c
29d1, 2b33
99db, 9ca4
5c78, d9c5
9d52, 379b
7965, 5e58
af7a, aa0d
d2e4, 380b
c426, 2625
fb2c, 89a5
79c7, f64f
35cb, ddc3
2501, 9653
cafd, ac4d
56cf, 3427
ab42, a7bc
7268, 4a99
5e20, 5d23
b582, e50f
b490, 554f
ae94, a9e4
425d, 6fdd
8ed7, dc83
ec2e, e32a
8c75, 6ed1
51db, 888c
d753, d120
7535, 7dc4
2000, b6d5
a088, 4eea
a11e, a03c
2905, e230
e3f8, 389b
93f3, 9108
fc46, f245
8aae, 88da
5ff9, eb14
1aa2, c49d
185c, 1b2f
1746, 7979
ef01, 3e1c
cea0, beaa
a097, c6ae
1ef9, bf0f
8b68, 57cb
c294, 92e6
6f26, 62d1
4a69, b566
efd9, 0423
f986, a285
afcc, aaed
3206, 0568
5e83, ed45
3d8f, e31f
a96f, a099
20b4, 2ceb
9561, f93a
4ad8, 9935
2d80, 231e
a4fc, 17f1
0c4b, dd5e
d55e, 485b
b082, 7310
b2d9, 67b2
a3a8, 9062
9f83, 9040
84cb, c6e9
d451, 289f
55cf, 3873
0602, 552e
4f3b, 4e00
639b, 6380
0c8b, 9b3b
2adb, f003
68ff, be9a
f85e, f333
45e8, 7928
ea11, 394e
4e7f, 4cb4
2e05, 91a1
824c, 8741
c5eb, 2317
ad8a, bb9e
5c0d, b2dd
ed9e, 0a92
e7dc, 1510
7c5f, 641c
0574, 08cb
45ef, 677c
4abb, 4279
264c, 2c04
cb99, 32e5
a464, f644
b892, e462
091f, 03ab
fc07, f99d
fa16, f829
10d9, 163c
f396, af95
eb4b, e949
d70b, db61
0b05, 0b06
f51e, f1a8
870c, 04c4
0a52, bfd5
27da, db35
ffae, df35
e23b, 6647
54af, 5da3
a04b, a67e
1bff, 16fa
6d49, 1147
57f6, 1338
ee45, ed86
ed8a, 4f85
6056, 66b3
242f, 2152
bc71, b98a
fbdf, 03e6
b1f9, b4cf
ed03, bed3
7aad, 1b80
28d3, 8703
5b68, c661
c2e7, 4810
0864, 495f
9f36, 69d8
5000, 31ec
4c24, be31
ac5b, a5e8
15dc, 68ee
2b8f, b3c3
7a74, 75e6
5ddc, f45c
6494, 07f1
6293, 09f6
7b2b, 4391
5da6, a4a8
9de5, e595
0b01, 0e3d
e4d6, 7ab5
2eb6, 29b1
46d7, 836e
829c, 65e6
9a13, 90f8
4f8b, 45b7
e7ef, b752
d16a, f4ab
98dc, 7e13
90a6, 33db
6a5c, 2c0c
4414, c518
1c73, 1bb4
01f4, 6ea8
1760, 1192
649a, 0e6a
461e, a571
25bb, c172
8879, 85b1
0f54, 00ea
8b02, 5d36
49e4, 69ba
6a46, 7663
abc2, cdfc
a396, a6c0
bfae, 509e
3cf2, d2a9
f359, fcfb
2d75, 254a
293f, 3421
3dab, 3bcd
5d19, 501d
edd0, e2dd
8827, 8b28
37ea, 023c
f919, 937a
6f4c, 64ea
0238, 0631
55a0, 59a3
1d50, 105b
0938, 03f0
15ca, 1400
67d7, 632a
ea49, b719
5219, 5616
1318, 4b6d
755e, 741c
82a7, 8ca8
4033, 7f63
b2e5, b8ed
73c4, 6b9f
b0c9, cb46
4755, 41e6
09ec, d617
4e54, 4de1
0297, d298
58fb, 5cbf
ec74, 3136
d903, dee4
2a86, 2115
d34d, 5b10
aa4e, 38a9
c7cc, 80ff
586c, 2213
0f5d, 0a37
3815, 52a2
d0bd, d16e
fb4f, 8c0f
f34c, eb16
c226, c2a1
fccd, f967
64c5, 43f7
5543, c398
920a, f9d4
4516, 4f29
912a, 97b4
dcb3, aecf
2624, 21cd
a2f2, a45e
f43a, 562c
7447, eb1d
6c8a, 6c74
1df6, 1ba5
7760, 7a33
392b, d8b9
1377, 0234
6374, 008d
c5fc, 5d1f
1f6d, 8a95
5003, 31e9
ceb4, a896
b7d7, 6edc
5c8f, 5282
db7f, 10c6
8fac, 293b
4690, eea1
13b9, 86e2
2eff, 0569
3d38, d4d4
1f8d, 38d2
4d91, 614d
f0ff, 797c
285b, 2b27
3785, 8030
19d8, 81f9
62c2, 3599
ca15, b46b
c6ba, cac7
2184, 2316
7390, 6b7c
ca7e, aa4b
9df1, e634
be3b, bd6b
ace3, ce5a
42f9, 6f4a
2d15, 2e15
aa14, a18a
739f, 70ac
6e38, e01f
720a, 9f40
bc4d, be70
1ad1, 18f1
feff, b4e6
3c78, e5f5
15b3, d5cb
6332, 0930
35f7, ff3e
8f6e, 5ac0
4117, 4c76
1104, d001
4168, 97cf
45d1, 496d
ba48, 8c80
e83a, 6435
957c, 7a45
9cc1, 9c1c
7771, b94b
69ff, 65cf
91d8, 946b
b783, 7358
481c, 3ca1
56cb, f658
f227, f4aa
8644, 14b9
8e2f, 8d22
ceab, 8e07
676f, ee09
66f1, c6a8
ee5a, 248b
d381, 0a69
bf41, 01d9
cd9e, a8cb
c492, 07d2
21c0, 1e00
a94c, c2fa
6aef, bdfe
4553, 3d50
d436, aeb8
8f7c, 8ed3
b736, 972f
d964, e382
21ce, 63df
15aa, 0221
c6e4, c4cb
048d, 2e5c
3963, 3eb4
31bf, 3eb3
e112, 1d87
5152, 232e
9361, 90dd
b524, 6fa1
c498, 9fe1
a0e8, 2312
76e2, 4ef0
c36f, 26bf
0517, ab12
0b8a, 0e44
91b8, f383
49a0, 75a6
c548, c91b
92c2, 94be
7d88, 7e77
10d9, 163c
e2be, 6a14
7ea8, 9bec
c3ee, 0797
cf57, 169f
ddaa, 522c
1cac, a750
a729, 90eb
f5e5, aee1
9cbd, 2ba6
8a28, 81b1
ba16, b665
793a, 7c61
e194, 9e64
cd73, a108
2aeb, babe
14bd, 5a00
7643, cd2e
381c, 6d7c
2a14, 88d3
5c82, 2219
e288, b1ca
83d4, bee8
03e2, 0c07
8a64, f8cf
9a15, bc38
b362, 01e5
4656, 5632
fdd8, a16a
f6dc, f3d9
71a6, 59bf
0d0d, 646e
eb71, ee1d
901c, 90c1
78e7, ecb3
5a41, 96bc
c3b2, 3fe3
5bf9, 92a0
da7d, 64f2
6669, a467
0532, 682e
b9cb, bcfe
5e62, 5160
fbfb, f505
3703, a379
5630, 819d
3304, 1764
f52b, 5eec
36c5, d550
a77b, d89f
2231, 56a4
54ca, 51c4
91ef, 9752
0f4d, 4484
cc05, 2b3b
1271, 3984
d8fc, 5a22
8a64, f8cf
a60e, a0e3
f6eb, 3498
602d, 61de
0135, 6763
e4b4, e6b6
57b3, 5ab0
dcb0, 6250
367c, 3379
4a6a, 8464
76cb, ef66
c358, 9feb
0c4a, 0284
98ca, 92ba
4f92, 4c77
5625, a8f7
487d, 8d71
d257, 5731
31cd, 04aa
95a4, 92db
9a68, 9271
bfea, 0c9c
e8ab, 7cd5
98c3, 5d25
54e7, 8828
178f, 025c
0d77, 36c6
ce2a, bdba
7be3, 6460
d920, d03d
5291, 2893
dd8d, caf6
8cf4, 17d3
1b7d, 7d8a
ad51, ab2d
9f95, 8dae
801f, 8d1a
f287, f7fb
41e4, e33d
c75b, cabb
7288, 7859
965e, 64ae
e536, e905
9ea0, f8d9
14ed, ecab
9291, 998f
9f46, 3fcf
aeb9, 1f86
e3b0, e623
5db8, 52bf
9146, e5e4
1084, ff05
2ad7, df5e
61ce, 294c
1442, 3bff
2262, 5c09
0bc3, 0ea0
84db, b95c
13f4, 68ef
a36e, c69a
0741, dcd8
e5e2, edee
bf6d, 5604
c695, 8f87
e325, 72e5
5371, 8e76
28db, 2a34
39ab, 35ae
2615, 2a1d
08e0, 3d20
0edb, 7016
0774, 0481
20d5, 5170
a866, 32b0
c8df, 74ab
df98, 324f
77dd, 0001
51bb, 55b0
c9ff, ccd6
2d03, 7106
eace, 3cf8
0921, bb11
3403, 0a00
d4d7, 7f53
2c57, 114a
fc71, faca
f6e3, d2c8
5876, 1ca4
408f, 5c92
3635, 405a
cd4f, 7212
46b2, 18d2
e3b6, c331
bf68, ea09
9331, cf04
4baa, 5da8
5cd0, e6c9
74c1, ca03
f847, df92
8b66, 57c3
63c1, c043
990a, 5e13
e98d, ec41
2631, 20dd
a049, d106
9b41, 9909
d895, 549a
d5df, 76c7
2db3, bde0
9988, 9498
ec62, e2df
5ab1, e4bd
dc35, 0381
6af8, 67c7
4594, 7463
6f92, dffd
be33, 0b1f
becd, 68a9
e2cb, eca8
7498, 980f
d04f, b764
5df3, acb1
0575, 3276
73cd, 46f4
77df, 7bf9
d43b, 6d86
4f07, 8806
7ca5, d22a
f08a, f73d
9067, 9626
1f74, 7872
129c, 2395
546b, 3d69
4972, 40e7
6a5b, 6c00
0830, b43d
6599, 687b
fb7b, f87e
cfea, a6b1
1684, 1221
2dc8, 3576
be55, b95d
b5b9, 6fa0
7f76, abec
219f, 5b35
295b, fda2
5c6b, 5a60
b1ff, f7d7
76e6, 7b5b
58e3, 55e1
2ea8, d8a5
9456, 9120
93ad, 9922
6748, d747
8876, 4d75
fd30, fe33
6684, b531
33cd, f375
99bb, 8b8b
b7e0, ba26
95ff, b67a
719f, afc4
046d, 0fbe
749a, 7a67
70d4, 71a3
c890, a8ba
fca4, f512
ac4e, cafe
5a8f, 6238
db48, b156
f76a, bef6
2017, eeec
9951, 7e8b
9502, 4c1c
b75a, 4a7d
3c57, bb7e
582f, 522b
b599, 6876
6ff6, 05fb
0188, 9033
a2fd, a255
9d99, 7464
014a, 9677
33b4, 3768
02f1, 699d
6ce1, 7e72
ed94, 985d
e56f, fe8a
8eca, f76c
7984, 7753
431e, e01a
ccc9, e17d
24c3, 8608
4bb3, 9d58
e26f, ed6f
0e21, 08bd
3f8f, d201
e03b, e13f
d611, 8c9c
b543, 8187
c097, 6072
c620, 62f7
0261, db1f
cdfb, cbce
cbe5, f0b8
89c3, d645
9656, 6e47
f909, f50c
0086, 5816
6e96, 2509
90e1, 5033
562b, 532e
22c3, fde3
d93f, 3451
b7ed, e3e0
6cdf, 382b
caf5, a7c0
59c9, 8960
8fcb, 266b
3712, 3a1f
9aa4, 94db
9169, a0db
17dd, fbf2
b31e, dd8c
08e8, 4afd
cf33, df2c
552b, a1b5
a3d6, d188
b3f6, 6846
aa84, acf2
a3a5, e87f
61ec, b53f
41cc, 45a1
3d03, 6865
ca39, c169
af9d, 4db1
a4ad, fa3e
b167, 6e0c
afea, 14be
bcf6, b5c3
cf48, dd54
db96, 2d97
2aa5, 1d30
df24, 305d
2fff, e0a9
cea7, 6bfd
ba36, bdd9
e01b, 570c
e05c, 6c3d
a6e5, a3b6
411e, 4c73
5d58, 5559
c134, da75
8725, 8e40
8261, 123a
1e2a, 839b
0872, d882
b763, b9de
b1ec, e538
81cd, fc06
8689, 8a54
a4ff, 17fa
0995, 3133
8cdc, 2bac
d5ab, 5af1
ee06, 802f
d015, dcfa
1b20, 2987
1b43, 1870
e4e3, 6b48
d3a1, 9eb0
3c9a, 339e
94ec, fa2c
6283, cf38
c94d, 9707
e089, f140
eed1, 363f
b5fc, dbaa
6912, 40dc
9e60, d311
0319, 3124
f0bb, 1272
2fe9, efec
6b05, 6b06
2251, 262b
17a1, a133
aec2, fe99
39bb, 35be
ed3e, 5e08
7633, 9357
e237, d618
6dd2, db0c
6074, cb9b
6cc9, e4aa
ba25, b65a
b77c, ba89
241e, 5a4b
3d5e, 1c78
c553, c9b0
55e1, 58e3
0e73, e5a2
2860, 2d6d
9bce, a40b
4c9c, 2b1c
85a1, a1fe
c1ec, 70c2
966e, 02c7
c92c, 3b0f
a59c, 41cd
945d, 96fc
5b79, 567d
c350, c30b
5c37, 5e32
fbc1, 24af
5c70, e215
7674, 7aef
dc60, dbba
368e, d318
4c32, 9b82
f3c2, f7bd
8216, 41f3
8c6c, 42d2
bfa7, baf2
3d5c, 7c8d
270c, 2b60
4848, f5be
ed63, c846
f3a8, f72f
9320, 90b3
d88c, 0cd4
f255, 8456
0e8a, 039f
1494, 707f
09ec, d617
c63f, 1dfe
ab7f, 1c6f
698e, 5c95
c256, ccb0
6610, 62fa
1d3f, ef25
50df, 8931
fdff, fef2
5085, 271d
b128, f57d
2e25, 5c5d
6021, 431f
2e31, d954
9a5d, a7bd
838c, 8881
4f7b, afa3
9442, 9ae0
3e98, 3191
0158, fb00
3b8e, d9a2
438a, 795d
2b69, 29b9
19c0, f247
1612, 6816
9b93, cea5
8a5f, 8681
54e7, 8828
d99e, f307
3773, 17c9
8112, 89f4
ac51, aba4
93f1, 9e13
82ab, 8cae
8af0, 863a
8494, fca7
71dc, 7efc
3726, 2f0f
03ab, 091f
6857, 65dc
2cf6, ab23
6f39, 0236
aeb5, 9e37
b6e8, aa7e
a13f, 63c0
ab2d, ad51
f29c, 33f4
2831, d9c3
c817, ab4e
b5d5, 6d5c
779a, 7587
0aaf, b175
5fa2, 223d
e55a, eb92
c2c2, 9505
b761, e304
5493, 7b7a
c010, 60aa
c28e, 983a
9e20, 9824
0c37, be27
156f, 9670
3710, 3a13
e1af, 08d7
4a05, 6bd7
a380, dcdc
