4dd9, 12a2
e5b5, fc26
7164, 8707
e820, d2ec
f906, a33d
6c67, 7016
6943, 05bf
e365, a958
9ed4, 3e9a
4a96, d7b9
a128, d7bb
8814, 517a
30d3, ac37
871f, 61ba
8a34, 683c
1636, 6e56
4c95, f557
44a1, f4d2
421d, 2715
8167, 8381
df1c, 5e8a
e45d, af51
f8bf, d731
1d43, 115c
5a96, 545e
6f5d, 6e78
caa9, b2fb
7f0f, fd31
858f, e2de
0844, 70d6
ea9a, 861d
eacf, 12d1
f26d, b8da
0467, 5c3b
ad00, 6550
30ff, 7c77
bcdf, 2ca5
fb90, 1329
fcfa, 4bf0
92be, c02d
a9cf, 24b6
e9f5, b6c0
bb3e, 281e
7b52, d085
4c31, 5553
bb1d, b698
3b40, 8a42
ffc5, 80ba
d82b, 77f8
b9bd, 5014
c1fe, e43f
e403, 86d8
4a2a, 3e9b
6cc6, 4434
d772, 1a67
3dce, 1e4a
10fc, 59a2
8157, 5f97
a5c7, 03d6
08af, f3b6
b1c2, 886f
7b2e, b5d8
c8f8, 90a2
fdfa, e96b
db10, 8ce8
cd9a, 01d7
8d64, 9237
885e, aabf
a639, 06d8
95d5, 26df
7a1e, db55
6d84, 9cd7
4f09, 490b
2fb2, e6f5
2cc3, 9a2c
b93d, 0556
4e96, 0045
0e75, bec6
7b03, bb95
a34d, 2c98
a8f2, 002c
61d4, 5c38
81c4, 86c8
3d5b, a930
a7e6, 9932
c528, ff2d
bf84, d628
9c12, 0454
8ffa, af5b
0417, a97c
9398, 9212
2239, b396
d89e, 2c72
f3e5, 258d
81e4, 5105
687d, 545f
f890, 6569
7bc7, 96a2
d13a, b156
6b4e, d7f3
78df, 5dae
2f10, 9b6d
4037, e6d4
bbda, 6ff6
180d, cbfc
70bd, bb91
5e78, 9bc2
0f71, c2b7
1c27, 3aa8
d313, 7a7d
7d52, b9ee
ee63, 7370
2c36, 90b7
96d7, d500
2d2b, b6aa
d136, da74
b419, c3b1
50bf, d0df
fd85, c5cf
b8d2, 8d4d
3e29, 4103
c9ad, c2ff
bfc6, 3b9d
12a1, b3dd
ab4f, 46c3
94fa, 8ee6
72bf, 50cd
1dd1, 513d
488a, ba1e
7f10, dc91
9664, 2bb6
0f7d, 6244
535b, 5ec2
fa8e, fa8a
8cb4, ae4a
a83d, 7405
5026, 9e46
87f1, 1f48
20b0, bad5
ab65, 5969
e808, fb93
5125, 01a9
6614, 16c0
5299, 7f8f
a9d1, 88fe
289f, c1b0
cde8, 6d4b
7389, 526e
2949, 2337
3dfe, c00a
3f3c, f0af
05f7, a3fc
a554, cc11
51a2, 0740
17a8, 9999
db94, de67
d159, 0e9a
806a, 6d69
d701, e4dc
f8d4, c934
fa87, 064c
721a, 7eb9
b098, e0c0
7e02, dbd7
0abc, 543c
8434, 0013
280f, 4a51
7ef4, 34d4
e427, 81df
a6e6, dbd9
ba20, 01f6
0425, fbe9
09c6, 62c2
0c6f, 286a
0a08, af75
e291, fdfb
44cc, 3e38
36d4, ee9b
adb1, 0e60
e59f, e9c5
48ea, 1537
6c86, 8a2f
ea0e, f55c
cb62, 26a0
2cc9, efef
1132, 29cb
8251, 20e4
f17a, a59d
ade2, bab4
1e75, d07f
199c, 64c1
2cdf, 8fa0
1571, 4c4b
814c, 9f14
8306, 94b9
7f1d, 5277
39e9, 950b
613a, 6d42
4be8, 701c
c6ed, 5857
39b1, b6d0
e9c6, 13ff
8567, cede
299f, 52c0
ccd2, de5a
d01e, 4ed3
90a8, 8c1d
4fde, 8c4c
f4ef, e530
95a3, 99fd
7d99, e626
d70c, 8087
e29f, db67
c73d, 0472
30bf, 517c
c5b2, d39d
5200, 211e
6b6b, 4c75
1a20, 9d95
0250, d5ef
97ef, dd04
3f38, 3eda
deb3, 8cce
19aa, cd98
d705, c985
bde4, 807f
8d7c, cd95
bbe2, 88fa
6812, 1a60
e585, 2afc
e4fe, 3fa5
9d7d, d206
8466, 3734
a157, 44c8
0e78, 63f9
0fdd, acf6
f045, 8d33
3670, cded
2be3, c1b7
b784, 780f
885c, 6685
50af, 12cd
50e3, 2cfa
f5cc, f74b
f72d, cc58
e345, 0e52
80e3, 514d
214d, f827
d82c, ae4f
cb60, 49e0
dc8a, d10b
f1c5, a567
23bc, 03e7
84ea, 343b
22ea, 0338
c84b, f99e
9a6e, d9b2
fb38, 9a34
61f8, ad9a
f542, ad1f
6219, 7398
87e2, d38f
43db, 1475
a331, c512
e8d1, b805
8470, 1c71
307e, 7633
8a3c, 3138
f60f, f503
d60b, b92f
d15e, 1d4c
f118, 67ff
593d, e39a
8f04, 99db
23b6, f797
8b87, 5a54
ab42, 50dc
063e, 56ad
b91b, 294d
d3ce, a6ca
ff39, bf9c
71b3, 68f9
5943, e58c
04dd, 00bd
e68f, 40b9
1110, ca1f
5fdd, 0cea
ad3f, c435
3e6b, 1930
65be, 40f4
d976, c8a6
cd7a, 2c94
da9a, b334
6a82, 5824
3c80, 6523
be6c, 79bf
578a, 8626
5ad1, b358
8e63, e268
3433, 14d4
44fb, e9b4
7dbc, da60
86fe, b477
dd93, 61d9
0477, 0ea1
3789, 32d3
0274, 4857
86ca, c25d
b1e7, 8841
9968, 6092
0280, 5db6
4bec, a2e5
0ad2, 9d3c
2250, b630
abf3, e385
dc71, a3a5
e29b, 0bab
92a5, 9457
b59d, d65d
2f03, 0854
e5bf, 0736
cb14, 2d14
1bf5, 0f74
41dd, 8e30
6bbb, fedf
130d, bdc0
efb0, e177
7d82, e4e6
0ce2, ee7f
7c45, c191
41ec, 6980
f63f, 2336
4c66, 3448
c90d, 4b1c
104c, 4201
246f, 2eaf
3592, 802e
3a42, 5b72
8688, 0a0b
e1b7, e6d3
a3b1, b1d9
12f0, 98f8
7195, 974f
f6ed, 1879
83bf, 488e
bb81, 11f0
78d4, 495e
c3b6, 7f84
48a7, 82fd
e270, 2a62
6b11, f3e2
7144, af24
e289, 8803
c8bb, 6d78
9870, 6f25
2b23, c242
32db, 6e93
dfdf, d838
4ce4, 9a26
d11e, d71a
f047, 75c6
74ad, 0113
6764, 5279
b472, e776
cefc, f0d3
6f32, 42b4
37dd, edbf
6c00, 3cc3
a852, 7c25
2e80, 8a73
10d1, 9ac9
8734, 0103
2d95, c20c
4975, 5529
5cb4, 4905
e0af, 5bac
fad8, 109d
5c6c, 6d4f
1f80, 54cc
75da, b999
cde4, c2f2
efaa, 5ebb
fe7d, be83
3a03, 2981
a339, 7191
ee9d, 5a64
35dc, d3f9
ee8c, 6638
e5d9, e62f
ab2b, 2fe1
1ed8, 0d7e
d939, 0f9a
ff83, eb8a
6910, a504
a831, 4788
2071, 8710
cc30, e458
8834, fca2
7af1, 7944
b70e, 0cf1
b25f, 3d91
ee53, 3559
7f47, 5880
92c6, 2b6b
d4e1, d979
0a5f, 4163
fd76, 9909
3a48, b30e
ef5d, a0cc
fccf, a309
0df5, 9d51
5a6a, 6bf9
ac0a, c40a
9c2e, b7ea
2b17, 4a69
75dc, e339
e32d, 70b8
b187, b631
326d, 985a
fec0, 8733
270d, c4ba
4b6b, b58b
f376, df07
7f07, bc76
1df4, 5167
2011, a5c1
c663, dcde
1f1a, 9e7d
b4a5, 5fc0
c0b2, 368e
ffa4, bda6
4553, b520
110f, e406
e6de, a4d1
bc1e, 437d
bff6, 87df
aecc, bd8a
7d93, 29da
cad3, a573
7a94, 0672
fca7, 0baf
fcaa, eb1f
84fd, 41ae
9abb, d49c
195b, a717
8533, b0d5
efbc, eee0
ce3b, daa1
ac2d, 8c99
4d2b, ef90
6fd5, 9e1b
981a, cda6
606d, ae9c
1c1c, c7a4
47b4, bd2a
f56d, f9ce
c17d, 4829
0ea0, 6524
f76f, 0220
4fa6, d217
54aa, bd65
326a, e8e4
e61b, 2440
dce8, 5c81
0332, e273
deb6, ac6d
b814, aa3a
1016, 776f
58e6, 492e
9075, 93cd
e449, 9f00
ae60, 2b73
f013, 7e67
6863, 9a07
8394, ea63
cf7b, 1538
b17d, 79d4
e421, 70c0
3b10, 31c7
35c6, 8b07
d9b5, 746b
29c4, b5ac
e2e3, 8884
3e29, 4103
e942, 091a
f99e, c84b
3621, 16a9
fdea, 2e8c
52c3, 77ed
651d, 79ac
1911, ba31
899c, 9a10
8f1a, ca6c
7a22, 14ee
ff22, 1a79
873a, bd3a
8b50, 611b
298f, a065
e248, 5ecb
1103, b625
fb78, f141
9d5f, fef5
5a07, af3b
7ae3, d272
3535, 61ac
2886, 9936
d0b1, 1957
c707, bbac
a1fe, 7cfb
e992, a8ad
aab5, 7229
22e4, 4c1a
15ec, 07a0
ba37, 8efa
9631, 23bb
f08b, 3abd
ba6d, f93b
7caf, 48b1
b9b1, 7d68
f2ef, e957
4e17, 4c90
4637, d440
4cea, 033d
fa83, 14f5
4d30, 2290
f262, b498
d134, c14c
64ac, 1d8b
5e26, a015
a57f, 2b1f
f5bd, c9b8
d6c2, 99ef
7d9a, 2def
153a, b595
f748, 1017
28ee, ff8b
e2b0, d608
0081, a551
3195, 4e10
bacc, 58c2
a5c6, 28a8
7db9, ff86
a14f, 732f
25ab, bc26
13e6, 3197
4273, 1c30
999b, c2da
c95b, 4a1e
623f, 851d
19b7, 4d9e
0a26, b645
d289, b783
eb60, cb9b
eee2, f108
a097, 00de
5ccd, 29ab
2bd9, 1a69
370f, 538a
dc80, 8a32
e121, da5b
9e3c, 6b9c
139e, 4860
373a, e756
d590, 661d
d6c8, 3001
655f, c722
8574, a9a8
cd8e, ded2
6f61, a9da
23a1, 2261
a7f4, 07b2
59e2, 9a94
0f74, 1bf5
75fb, 7e12
ec24, b48a
2868, 7e97
67e6, fdab
2628, 9c35
85ea, 231e
6d42, 613a
de80, c314
e928, 3f28
9a78, dd60
ffcf, 2cf2
034e, 1853
6150, 4dd6
490c, 2de1
3033, 4377
6c59, e842
8cc7, 5e46
2d15, 6a88
fe70, 9cbb
dd24, a76c
0d5e, 0d74
db29, 07ce
85d5, a98b
b0b5, 6e6b
449c, f4f7
3d4c, 5e92
2cfa, 50e3
4926, f01e
4ea4, d903
656c, 7e7f
8ede, b8a7
9d10, 5aca
c34e, 912d
cd76, 44f5
05cf, 2d0d
a586, d69c
0372, 0865
4600, f878
b624, b480
2b08, 7f5d
0b65, a4ea
af4a, f645
b041, cc6e
003d, 2f87
6508, a0fd
ddfa, 0ad1
80d6, fc14
7da5, e1ab
f28b, aa42
7245, 0fab
a707, 49f8
f412, 8589
229f, 9e55
de63, 3f1f
0e6d, e3b9
7c23, 2aa8
7e1a, 20c7
efba, af37
fdde, 0f57
7a05, 1633
381c, 3aea
2a78, ea41
2acc, d8a9
5f5d, 3ba7
d55e, aead
f03a, 0ef9
4dc6, 59dd
c628, 95e3
ef12, 74db
be8b, 4db7
9437, 65f5
ee93, b7a5
969e, f535
1281, 0fe4
534f, dee5
f07a, 386d
b69d, 15f2
8500, 8ebe
175f, 592b
b005, 4203
2139, aa4f
0c82, 66a6
1433, d995
b34f, 34c8
ff33, 96f2
b5b2, b863
5409, 57a3
e6b2, 65e2
46dc, a71c
7314, 06f0
be35, 0631
bca1, 46b4
0aa4, ca88
c448, 5d67
6650, d26b
fabd, 20b1
e5b3, 8d14
49f4, bf52
bd0c, da80
5651, 398f
7a7d, d313
3c42, f6e5
6e04, 40e2
e5fd, 247b
ce41, 2fac
4092, 6ab0
9312, 351c
e4d6, e3c6
f5b2, 92e6
1394, 07e8
45de, 5b06
9282, 80fb
c95b, 4a1e
2ae2, ca11
5b68, 501d
b100, 70e6
03a2, 1344
ac77, 662d
824a, 316c
4beb, 1aa3
abce, 7921
9a7d, c4f6
4650, 19d2
f90f, 2654
7c46, bb9c
e97b, db04
eee4, 7800
0590, 9725
7a11, fcb3
fa65, 3820
1fa3, ac81
28a8, a5c6
6635, 6844
9b24, aaa6
7279, 1d6c
5044, 397b
26ad, c34c
4a44, 1061
451e, 9129
a4f0, 66fa
42c9, d595
e33b, 53d5
1ea3, 5c9d
dd4c, 15fb
e9da, e3ab
59f5, eccf
751d, 4ee9
769f, 08c0
7ab4, 2aee
5ca8, d8f7
7670, c887
19ad, c318
44c6, a7cd
dd66, fc53
f544, 0057
3f6e, f30c
b87b, 5b9f
79bd, e1e3
4314, d905
b053, 65ec
081f, a8d7
64eb, 3945
c6ba, 818b
9c43, 9c42
23dc, be46
2062, 3b25
7cec, c104
967b, 87a2
4cc9, 1f3a
a48e, c163
7726, a066
737f, b760
49ff, 8b7c
6825, 3b4c
3ee7, fed2
0e98, 0db2
5527, 0940
b91a, f9a2
061c, 6d6f
8968, 2fb9
8448, 4a28
85e3, 3719
d14a, 7159
7239, bdbd
c2b7, 0f71
2e5f, d6cb
ba13, bb01
97f3, d0d0
831f, 61a7
0176, 6527
09e7, 10f9
b70a, 4c74
71da, f6d5
77b1, b5aa
2d80, 79ba
e6d5, 71eb
d72b, 78f4
79d4, b17d
c868, df18
9bfc, 01b8
0157, 4dbb
fd9d, eccc
dc6e, 1b68
81af, 1543
407e, d4ed
ecb0, 1649
e997, dfeb
bcd2, 85f9
e28a, b548
3beb, 9bb9
e8d6, c81e
2272, 4fd7
a11d, 3f07
f617, 4567
84e3, 9cbc
5977, a7d3
2231, bc89
83d2, ca69
0bf8, 41f2
4f09, 490b
d0a2, 6d35
6198, 068e
a289, 941b
d3bd, 266a
4af2, 17c3
429f, 7e45
0148, f432
587a, 2bbb
ddfc, b1c0
48c2, acca
1fe4, dc39
020f, 3f8f
9760, fb6c
4006, 6d70
512b, 866b
175a, b5b6
4e49, e155
1532, 0f51
00ec, b308
7437, a62f
3752, 0d08
0277, d7fb
f089, 7ce0
3899, 01bd
94c4, 169e
455a, ffcb
0822, 19c3
9c4b, 662b
1c59, 3801
2800, 5f1f
c21e, 5063
c1b2, 17a9
1eae, 2cc1
e07b, 7554
3c52, 33c1
33b3, a995
814d, 0e93
fe00, d554
4fad, 84a5
64b4, 4d46
56c6, f52e
5fdb, efc1
f453, 1997
f07d, 1865
dbdb, 91cd
4fef, 29dc
4deb, 2e3c
cca4, a839
e060, f95b
b856, 8885
e232, 8c68
035c, 1d12
196f, c8ae
cba0, 7d16
2170, 0d87
0928, 2144
0126, 511a
ac9b, 1528
8e81, a6e8
30e2, 66b0
a8a4, d8da
6606, a4c0
4c62, 1982
78a9, ac56
a9c3, 9d69
ceb8, 271a
8637, 6987
ad88, 2db5
8309, d38a
8e51, e066
3c95, e74c
1d31, 8891
cd2b, d878
37d2, efeb
3aaa, 3185
1d4b, e300
1baa, d907
19e3, 1cbd
a407, 34d1
8733, fec0
f92e, 9021
def9, c12e
bc0f, 19a2
9118, 88c7
32ec, a1c2
0189, e4c2
771e, 4955
51c0, fc74
16ee, 9ffa
30a5, baa7
86b0, d197
3229, 4ee0
1d46, baa6
0fec, 1d25
5bd0, c578
8f69, beee
2b4a, ab9f
c722, 655f
3a75, 26c0
fbca, 66e1
3adc, 579b
f5f0, 069a
ade8, 5d82
4cf1, 1c0d
07c6, 0aa9
71f5, 7af9
4b05, f387
debd, df40
402a, 6e97
a5bf, 5485
67f5, 6c9f
d490, 3631
ec5e, 415c
2094, 9ac1
36a2, d23c
d2ca, 02a2
ed3f, 47e6
0823, a43e
68e8, a659
7909, dfb1
7932, 6fba
7e92, ce6b
5b46, 9552
772d, e267
7116, 4e83
f2d7, ed07
ead3, e998
3dd3, 8d5b
a8e1, 5af4
d726, e373
bafd, 2b1d
4e6e, 57ca
7a44, c370
6c90, 67a0
2de6, 8f2d
b86f, 69ae
e821, ac3b
5327, f28d
c4ee, 6bc2
9e5e, 22eb
2c39, 034a
9e40, 3bdb
ac7d, ce11
c06b, 47e2
268b, 90db
1ed2, 4c89
acb1, afce
107b, 8547
bce6, cb07
cf08, a2c6
131b, 090a
2b29, ab84
df58, b958
2342, 749e
8b5b, ba60
f819, 7f94
ccb7, b0aa
a006, 552b
3082, 5043
a327, 6cd7
283e, 694a
c7b5, ad21
f4c0, 36ff
02ac, d0d6
3a98, 8e0c
0f4e, e196
40ca, 6ceb
1605, 745d
058e, 0354
4115, 428a
bb2f, 3d95
d3c6, 079d
cf28, 3b31
29e5, f1de
51ed, 3ef3
7599, 1826
5ab6, 6178
6ca5, 52b8
92de, 93fe
4012, 5334
83d1, 05ed
f99a, f63d
ee40, 5470
39bd, d2b8
ea4c, 1e60
2fbe, e465
0966, 9709
9f55, a451
e634, 14a6
a907, 4a6c
7876, a553
3058, 5b4c
b27d, da0e
5ad6, e5ac
56f8, a373
8b11, e906
d8f1, 315c
9b26, 302a
1407, 5be4
0043, 699c
c4b0, cdb2
82c5, b650
0951, 5c2c
a430, ced2
68b8, 2341
e923, 9c52
ed40, 8337
6533, 14ec
3a47, b1e0
2e00, 9897
c889, b5b5
cd90, da09
4be0, ee04
177f, 0a2a
a5b4, 03b4
96cf, 0206
e44b, abe3
022f, a41b
807e, cada
2689, 97d8
c694, d0f0
5e04, d50b
1251, 96d4
1d68, b4f4
1436, b281
965c, 9493
f05a, 7ca6
8f03, ae88
10fc, 59a2
1262, 7a60
09bd, d014
33e2, 34ee
1906, 53ff
64d6, 9a95
4c44, 350f
5b83, 3db6
5023, 1c7a
1074, 1395
5bf0, 73ce
c3f1, 5317
24a7, d563
acb9, c7c0
8c97, 391e
e831, 5d13
7d73, 5bb0
a317, a0e1
7422, b284
b4d4, 0f92
9370, 6b33
e005, e6ff
fe24, bd19
19b2, 3b5c
d13e, 69a2
e42c, fc91
e3f0, 139a
5930, b5c4
05c0, 9ef9
5660, 6af0
fa6a, 190d
0c6e, 9355
6fa8, 7ef5
a2c1, 268d
da7b, 2b28
83c1, 53f5
32b2, 9f3c
6f3e, 10e4
ee0e, b3b8
1adc, 38cb
de04, 48c9
193c, a9c4
39fd, 405b
27e8, 2c90
4a28, 8448
18cb, bfb1
a7cc, f1a0
c144, 48ec
4622, a8a1
b123, 0284
61bb, b947
0274, 4857
c33d, c552
1b37, e8f7
1870, 2be6
7ced, 2410
71de, fe51
a035, c691
6727, 94ea
ce9d, 28a2
7860, 7aaf
fa6e, 8e65
94de, 76ed
14ab, 2485
860a, 4711
8e0f, 7a63
f805, fc19
c501, dcf5
8170, 36cc
041c, 6713
cde1, 11ad
26b6, be9c
3a6d, a120
40f0, e09a
8739, 365d
0ec1, 4aa9
45f9, ae47
0414, 5ac1
23ae, 8de2
838d, 26ba
83aa, ed69
9634, 47f1
b300, 9dfb
1763, 221d
0292, 21ab
7bbe, 1fcf
0414, 5ac1
eb0c, 0adf
1605, 745d
c9e9, d13c
3168, 84df
3eec, cd59
0fb0, 96e3
3bd8, 2160
a165, 11c8
1196, aad8
97aa, 9ffe
f5ce, 8ad9
2641, 1ba8
35d1, 93a8
f3b3, 3375
a71b, 6b2e
d421, caf0
05e9, 4f19
dcfd, cd85
6359, c802
cc46, c556
8c0c, e6b8
09e3, 4826
c2ef, e43b
1bd4, e07a
91d5, 4d29
f5c5, d365
6f45, 442c
0c17, 7531
f851, 8156
a16a, d70b
c230, 0326
c1a7, 7a1c
9fbd, 2d7a
ad5a, 0520
a170, 6d5c
6f97, 262a
792c, 21cc
8bec, 889e
f0cf, 4e3b
44d1, c3d5
a31e, d6eb
c9c4, c99c
73d7, ed84
7d0c, 70f4
2d6e, 4efb
7847, 23a9
ed41, 8631
39a5, 1a94
fc6a, 20e1
d59b, 6a7d
a8b2, 5362
bad1, a31f
89d1, 284b
f3c3, d53f
e44d, 7b27
bee0, b14c
f730, a0a9
42b4, 6f32
7d57, 22c0
d286, 3405
89c2, 159d
f7bc, 5cb3
d0f5, a030
2174, 8675
e375, 3add
1b24, ffb4
1b8c, 2d49
3f5c, c012
98f0, 31a5
81fc, 1796
c490, 91af
ff56, 0ef6
0234, 7987
0648, fabf
13ef, 5ff4
cb9a, b106
bb7c, 6bcf
5e09, 9a3a
0f8c, cfe5
4efe, d9a1
874b, 428c
678d, 3cab
e68a, 9b5c
63dd, 2c11
17d7, 1b0a
3cb9, 8c5c
9ad3, 9802
c5f3, 1c14
8ad6, 7d69
944c, 4516
1555, fc7e
188e, bb2e
e64f, 38f4
fdef, 6e79
b88d, 9561
a6f4, 6c38
bd38, 75b3
538c, 0016
f1e7, cf0f
a757, f993
c27b, a13e
2f53, e38f
2e11, e7b4
7983, 2fd6
89a0, acbb
9808, 1ff1
4947, b4c1
7f7c, 151c
df9f, 3569
68b5, 6a7f
00b3, c680
9af8, 0bb3
7e7c, 735e
2091, 6a3a
b50a, 3da5
c264, ea0a
d9e6, 69a9
e8e2, d1a6
4918, 1e45
58b0, 667a
7ddb, 5fe5
ee5c, cf42
c739, 2416
5863, 4df5
a21f, 6052
7fa4, 42e7
bd0f, d514
fe3e, 2530
4ab1, 7c06
08bd, f20f
e202, 5fb7
f758, ae24
128a, b8cd
dce0, ab06
2ee4, 0446
bc16, 3438
170d, 32a3
9d42, bb28
8273, 797c
4789, e65e
5dd7, 32ff
cb77, fa03
25c7, 236d
fe91, 4235
d731, f8bf
addb, 7763
bcaa, ec75
9b18, 9188
528a, 2f2e
f03a, 0ef9
6fd0, 0cac
afd6, c0a4
b957, 7521
d949, ad2d
af4a, f645
b239, bd7d
0b57, 3a84
977f, 14f0
bb5c, bd75
f7c7, 7ac2
8681, b24b
ce3a, 728a
5a67, e527
28e3, 1410
61b1, f7a6
6457, de69
ec3f, 0bf0
b6f3, ae50
d373, 8621
99b9, 09e6
cb0e, 3e86
33e1, 1ff4
fa0e, cbb9
72a5, 33e8
1cef, 32cf
bf31, cac2
30b7, c678
2b94, bbd8
ddbf, 46c2
09e6, 99b9
e8dd, 090c
aeb8, 0362
af1d, da7f
c7ba, 375b
a2b6, 0688
c681, 5b78
d81c, c12a
5264, 53a4
70b6, bac0
c71e, 95cf
4663, 0deb
fe59, e4d3
33de, 6634
ae0a, dce7
5268, 59d3
c2b1, 50a0
841d, 7717
d7d4, 91e0
960d, 8a3e
65bb, 2ed2
d7ff, 8db1
7ab0, 4b5c
55bf, 11f9
28e8, 7b7e
c803, f87d
2ce6, 753c
09a7, 3ffe
d253, b397
a3d2, b8c0
5488, e41a
5b88, 60ad
13e8, efdf
522e, 6ec6
744e, 0f16
ca96, 6310
b736, 5af3
ad71, 57f8
0ce8, a4a1
c37d, 3c81
fd51, fb13
4fdd, 2442
6fb1, 20fe
8345, 8178
8a7b, 714d
d429, 5f79
fe51, 71de
20af, 76c7
6bba, 47b8
932c, 9226
7fad, 8034
23b6, f797
b36a, 5174
05ec, c7f9
5888, 9dc4
be50, 9dd9
ad23, ae80
98e0, 0ba7
83d5, 0b89
8d09, 4c79
e77f, 9402
b8e1, 1bd0
24b5, fa78
0c14, 1569
08df, 41f3
4ead, ce66
d587, b59a
ed4c, 692f
6a42, 6a40
ed42, 072a
18f3, 075f
d56f, d3c8
6def, bdbc
b7b0, 09de
1d74, 23f8
bd21, 840b
56fc, f67d
6aae, 21eb
e3c5, b3cb
3c88, 3388
2862, 667b
c2ac, da99
68d1, ae79
1e12, 0c13
be1d, c886
4c45, 6708
128e, 2438
00a6, 2108
9a08, e252
3dc3, 1392
caa8, ba99
98c6, f44d
9e3c, 6b9c
07ed, 6919
c21b, fc4a
db65, a9c1
d22a, 6388
895d, 2cbb
2f72, cd10
cf7d, 0f3b
090d, 794b
4c5e, 1624
aeae, a482
0d5e, 0d74
175a, b5b6
00d9, c09f
e41e, 56ff
fbb2, ed6d
5378, 9390
e194, a658
b48c, 0cfb
40b2, 5554
e07c, 25e9
bab8, 1619
884c, 0b71
8a39, 9bd8
ac6c, 8ab2
0ab3, 13c2
4552, 3bb9
a48b, 4f59
79a8, 9c0d
d844, 3f25
fbae, ec59
3be2, b4cc
cef9, 3224
700d, 5eab
b35c, 9873
5f59, aa5c
e46c, 4dae
84ec, 9b7b
9037, 7fd7
de16, 2466
a448, 4725
151c, 7f7c
ac88, e6a2
6ccc, be3a
6780, b803
6d04, 22a1
6248, d386
9bfc, 01b8
4c4b, 1571
c8b7, 94a6
4f1e, c33c
deb0, 0e8f
6421, adb4
8392, 52e5
04ce, 2515
8d73, c25c
320a, a19c
07ea, dd90
254d, ab3a
de3e, e351
4241, 04ed
1788, e969
9e36, fb71
41ab, a5d3
d9fd, b248
47cb, 7ef1
74d2, 38ef
dded, a5d5
f472, 8f0c
bd06, a277
f64c, 397c
11cb, f1fc
bd00, 5aad
629a, 3cfb
26cd, 983a
8315, 7fc2
7afc, 9026
0837, 12c7
f71a, 8afb
e6d6, f257
8597, 472b
21dd, c93d
9d9b, 643a
4c9a, 403a
d9e5, 739a
4544, ca26
bc00, 7265
18f0, f9fd
a947, f701
a3c2, 0530
efbf, 8529
d569, e67a
c290, ead4
ea59, de4d
62d4, e01d
9658, 098e
7d6a, 47d8
1f6c, bb5b
ea3b, bc22
1e24, 47f4
0056, a9de
c2c6, fab7
0b2b, c848
6579, 1bed
c9be, 71d0
6811, d023
a51e, 75d7
15eb, 8682
9462, bc47
162d, 9706
cfee, 4482
489f, fa2f
904f, 3669
