7bd5, 7e3b
89e8, 87e8
df64, 557b
8cb8, ddb2
7f77, abab
40d5, eb82
ed08, 0f7a
bd4e, 57cd
30bb, ac4e
8743, f4ed
5d01, f54b
0480, 5b96
d885, caec
e120, 8a54
c7f9, 4108
010d, 5106
37d3, 68cf
34b0, c4a5
96f1, cdd5
f1a4, 0dd7
9660, 3d9b
7916, 8944
4260, 4fe7
c781, 89cc
fb5a, 72fe
f850, eb72
ce7c, a18a
14ab, b9e0
401e, 51ce
bbc4, 2680
fee9, 1ee6
c733, b8a2
92af, a770
ebac, 78c9
3d4f, 6d70
7bfd, 4c0b
8bb9, ab98
5f16, bd8e
bfe4, 305d
4244, 512f
bea2, 6f4b
85ef, 472b
5f67, 6606
68bb, ec25
03f4, 88bf
1d09, b6df
7a93, 31ca
aa81, 1c96
a8e3, 6afb
0d90, 8d75
8ed7, e0b2
7d2a, 3518
6980, d1a9
1a40, 5fa5
ca02, 8679
1ad5, d605
23ac, 0e2e
8ced, 1c0d
5bc3, ef1b
29d9, 5715
2df5, f5c9
4a2d, c462
1f0d, 1cb7
8fa1, 9ac2
7de6, 3d7d
258a, 97ae
d6f7, fe60
3c4e, 982a
899c, 0ce3
246f, 0de9
53b6, e86b
76ad, 3394
c8de, f400
a3fe, 3c25
ada4, 7433
49a0, fdca
9e12, 1b49
ba76, 0b0f
61a2, b746
2de1, ee73
e47a, d0c8
1487, b90f
62a0, c6cd
af24, cfc4
a383, c961
a68f, b1b3
5d6c, 8299
3977, b5e8
1004, 26e4
f392, 1c6b
8419, 5e6d
bef1, 3b3c
21cf, 5fda
1b91, 850b
2d26, 3429
75d9, bbb8
9756, 7d5e
6e55, 48db
5c81, 7a61
c0d2, 9f50
310a, f7fb
5e58, 45ac
b4b9, 5927
d2b1, 0b16
31b7, 1e69
02c3, 2f98
e269, b594
c7ed, 1b8f
452e, 3b5a
f948, bb2c
2968, 0e4a
14c3, 4ac9
67f0, 7d58
e35a, f48e
d85b, e080
e2fd, c6e6
8f20, 5133
933f, dd54
c99e, 7266
ea59, 5c76
899c, 0ce3
35cc, ad9d
1122, 6951
1638, e8bb
b154, fc9a
f963, 14af
2f34, 0fa8
053b, 563e
87f1, a1e2
5e58, 45ac
c9ab, 72a1
8146, bebe
887f, 07d0
75f4, 84fe
5362, 604c
597c, 496e
248a, 548a
1b4d, 3650
6b38, 726f
5fba, 01d9
d248, a7b7
9728, 93b0
3fc7, 4228
8fa9, 9276
de36, b382
7cb0, b852
1997, a70e
6076, 6079
383a, b1aa
3242, 4ee1
88de, f28e
3a22, 02d6
d6f8, 2703
7487, a4ec
548e, a211
fc98, b320
fcc9, 12b3
5d40, 185c
b7de, e955
aa04, 7a0d
3f5d, 422e
03cb, 03cc
5302, 3ccb
565d, 46f0
7290, 3629
ebb7, bf6f
6fd0, fec8
6de1, 8e1e
e813, 05dd
3246, a8de
83f9, eeee
42ef, 4bb6
f054, b785
e4f8, 89a9
8fcb, a4af
2917, 8511
044e, 06c7
7a29, 89e1
42a6, 5611
d887, 4089
3856, a2f3
4e5e, a65d
2a4e, 7559
faa5, 592d
3bc5, 7893
59cd, eb68
a584, 4594
16b4, 2180
d932, 4e7a
0b31, a1f7
938b, c5a4
d33f, 2150
fb6a, 6189
78a7, 46cd
3e16, 8e79
31f4, e1e2
697e, 67d6
96aa, 38bb
22bc, e1fd
e960, 026b
d5fd, ff0d
25e2, 9694
01a6, 5f2e
d6b3, cd69
5a91, ff46
727e, 9a29
2f2e, fc1c
f357, 41aa
c391, f559
1b83, aebe
2975, b977
ac09, 1169
f0d0, c783
d6de, 402f
46a1, ddca
7742, 4295
8da5, 314e
0070, 6e9c
b9f1, 9ac0
2773, f372
4f21, 6a7d
e64a, 7b0e
f9e3, 21af
ad92, f78a
33bb, 7338
cd69, d6b3
4747, 9cd9
8fc8, 0b94
3496, a0f1
b6fd, 08cc
3f6f, 888f
5c24, 1418
fd86, e4b0
024e, 7b2c
0a1a, 8779
3d3a, 159d
ab65, 0a0f
9a2e, 3d85
d8bf, 02e8
c8a9, 786d
d1e8, 18bb
1874, 6596
2ff1, 0c42
2900, ecda
6279, 3f70
13b0, e544
d09f, 6f22
6d95, 7947
6b27, 033e
3635, 24ce
879a, 0776
4fa9, 1caa
2c56, 445f
bffa, bff4
a0a6, 4135
8749, d12a
9b5f, c34d
6bbf, e239
84cf, 6ec6
c527, 2915
f8b2, fbb9
ee02, 306b
0e64, 3a27
0755, 7a50
a6a6, 9dda
4586, 6590
64c3, ee6f
aaf0, 6b94
fe63, c6f6
76db, ef8e
37af, e863
d871, c7a1
9ce5, b3c7
191a, 4077
57bb, eae8
c0a3, 1002
7e15, 334d
4bf9, 3d28
8a79, 0746
11a2, 7e74
db1d, 8216
9d8d, 4385
28c8, 8410
df29, c3fb
22b7, 6b7d
8925, 1db8
d4ec, e47c
879d, 7684
2c06, 97b5
d963, e128
c178, 3481
477b, e60a
0166, bd65
9c5b, b984
97d6, afa3
8b8d, a837
c1fe, 8221
b511, 3521
30a3, 78b0
0697, a50c
9244, a268
5c3c, ee1c
e2f4, cd70
4acd, 6cb7
938f, c3b7
96b1, 842a
5b4d, aed5
9f1a, 97b2
c2fb, f508
e29a, 0ecd
67ee, c2a3
2b90, 26e2
eac8, 8604
375a, 56dc
bd6f, 6560
5209, 6d61
a282, 74b7
b416, fc87
17cd, 6e20
679c, eba1
e051, 3ba2
f4d8, 1718
906f, c444
bbc9, c2c7
8f90, 6463
c46e, e190
7019, 5698
48ef, e85b
7c9c, 079d
077f, d765
9ff2, 6226
603c, 6c3c
5d76, 8113
96d9, c932
82f2, c464
b61d, fae0
4651, 61f5
60fa, 43a7
62f4, d728
21a4, 11f8
b92d, e68c
fab2, 67c5
a7f7, 056f
932c, f1b2
ef31, 88fe
ac84, 1b97
5d55, d2da
c0a8, a043
d9e2, b38f
dc1e, 4526
ccf8, 478a
4b09, 5c3b
990c, 75f1
fcf9, 15ec
3a1f, 9765
fbc1, 883a
fdb2, baa7
c173, b3ea
343a, d480
8a48, 7af4
331b, f500
2fc0, 1dd7
a1e5, 66e9
955b, 1621
6011, 0395
4806, f063
d03d, 9b6e
0e98, 7698
c93f, 7f46
59f5, d30c
d761, 284e
25bb, 0d5c
6bd3, 849b
6ad9, 1da7
49b8, acdc
f628, 5eba
bcac, 61ab
8568, 26ff
b942, 35d6
8199, 0713
0216, 9462
cc33, 59c9
d6c4, 0323
d863, 1658
02ab, 0811
3837, faee
b388, 356f
ca3e, ddbb
ff25, 3f88
494b, 6ac0
fdbc, a8ed
f8ef, dce7
d0b8, 134f
063c, 537b
9203, 5317
af3b, ebe8
a879, 9ace
c749, 9716
a376, 9e4a
f072, c9af
cda8, c8bd
3445, 72a6
b21a, 1f92
a339, 5e15
cd89, 616a
26c8, 75cd
56d9, 834c
0da6, c65f
246d, 1391
ccda, c074
fb6c, 5a17
1f6a, fca9
9836, d1d1
f89a, d6bd
8bb2, 96ec
b758, 5883
6048, bb43
59f3, e7ea
aebd, 982d
7c96, 2ff9
ff50, 6215
e9a1, 6823
14b8, 7e4f
67b2, 2cd6
733e, 27d5
b0d8, 5a6a
35b1, 57c5
4a9c, c2a6
bdb1, 6bf3
2876, dda6
81ab, 31dc
408a, 983d
1715, 8efe
c774, ebf3
25b2, c566
9aa9, b9f9
a75e, 9ad5
06b6, b598
aa5b, b4b8
93cc, 43c9
145d, 544a
6fd9, eb94
f892, 9b59
bc11, b3d9
b2fb, d0d4
ba31, 208a
81e6, f985
cdf4, 82df
5dbc, 2627
84f9, a794
089f, 789f
a185, 9b9f
009d, 2532
f0c7, 8064
516d, bd87
f963, 14af
6677, 4bcb
8f47, 3688
d6f4, 0519
67ce, 7038
874f, 0a34
a152, cfe8
eca2, 34a2
fa31, db82
99ab, d635
210b, 76c3
aed7, c34f
18cb, 2966
2ad8, 1985
ff15, 6f5a
5206, 6f9b
0130, ca1f
acae, 7b19
9ee3, 3ba9
529f, 1a59
fd69, 5957
4309, a4a6
d44d, 5029
1c11, 1922
0441, 4eca
1105, 546e
6cf9, af19
ffd6, 825a
4ce1, 2012
a2ad, a331
726a, 308d
fe25, 1a68
8232, a731
9cd4, 1145
8758, 935f
d4e3, 15a9
3f77, 8d07
b08b, 9dc3
ad66, 9848
ec21, f977
29fd, f9dd
066c, e8b0
a448, e6b9
21ca, 9bc7
991b, daf0
b820, 0a14
f347, 14e5
936f, ca8d
8d4c, f85b
2e64, 2e6d
8cc4, 0fb8
21b9, d69e
32a8, b232
10a8, f5ff
1bc9, 1618
13e7, ffcf
f0f0, a022
516c, 4c6c
335c, 01fa
e865, 7fee
9e1b, aff5
6c3a, e5b5
2ed4, 1a13
104b, 4e95
c5a8, 0f0a
3602, 36f2
5595, 71c7
bd5b, 2837
2341, 48a9
acc6, 5ace
6a4b, 83d0
d8d3, 5de9
48cc, 4064
76e0, 572b
ce69, 0ce6
51c5, 2d77
224a, a23f
79d5, ef18
71b8, c8b3
460c, aed8
bc8d, 55db
897a, 40b7
41a9, 91d6
480f, 1f12
e195, ae83
0103, 4c55
0552, 1fb6
9982, c6ab
6465, 2f17
75f7, 48f9
2c84, 2e82
907f, a82a
9938, 7875
ce51, 2260
2bcd, f3b3
2dd8, 43ae
4e1b, 9e59
0750, edcc
b72e, d183
38d7, 0da0
ad80, fb9d
7dc6, 7f47
5723, 4333
1f8c, dc17
6527, 41ea
dc2d, fef8
0e5a, 1b59
1850, 03eb
5851, ac2c
6206, f8f5
d96e, 33e8
cfa7, 2886
995b, ff0c
70d7, 83bf
e130, e9dd
6dd2, bcb7
0c48, 3770
f574, 8c54
e5e7, cdb7
6cf5, fe6f
610a, db63
9236, 57d4
4040, fe38
2813, 527f
7a09, 1999
c474, 8121
8ba3, 8c4f
cefa, c62c
9d16, 1551
9178, dd94
b612, b61f
1f55, c7bf
76f0, 753d
d877, 2c5a
37ae, 89a5
e06f, 72b3
5ca0, 226c
376e, cfee
13b4, 799a
2498, 080f
d003, abc6
21c1, 5274
8248, 26f3
f25f, 4288
514d, 7cfb
8761, 984f
d114, 3476
d3bc, 3388
2fbe, 6d8c
9df0, 7a58
f2f9, 6839
5d87, 5478
d3df, 5e10
e06d, e37d
7260, 046d
a402, eaa2
128c, 7edc
f6e2, 5241
38e5, 2b55
2c7a, 7a24
f1a0, d601
1b15, be8e
b902, cd36
9dea, 8c6a
44f5, a14b
f63b, 5c3a
c06d, c047
018f, ca76
41cc, 3f65
6d36, 2f7d
afb4, aa8b
8b2a, d87a
8b01, 8007
6665, 7847
26c9, fc1a
0465, 95cf
6d81, f501
b932, 0469
57ad, cba8
1b61, 845a
41b3, cc0c
3158, 87ab
38ef, eb59
89e9, 36e3
5460, 0dff
4cf4, ad55
8a38, 2823
6a8c, 660c
abba, da98
684b, 9063
7049, 7391
495b, 7e25
b017, 6e76
0ffa, 561a
ac30, 7718
0f39, f4a5
ac61, 7f0b
2de9, 07d9
cb2f, 20b4
edf2, 9d06
ac28, 7a2b
a021, 12b9
260b, b65f
4701, 43fc
8d10, 0d59
f493, 9a30
3c5e, 75d8
3320, 18a1
8491, 53e2
5cdd, 3494
bf7a, 681a
0f35, 527b
ad8a, 7802
3891, baf0
b563, ab10
e837, 0d8f
52aa, 0f03
92d0, 35ea
18db, 41ba
27e5, b37e
791c, 8689
da8f, ff28
0e7e, 8390
def8, 23e0
17f2, 7269
0a17, 985d
83b8, b1d9
16d0, 4bed
33ba, 845f
8b9f, b65b
d90c, cdda
6b0c, 6363
05c5, 4ae1
1184, a91d
45d7, fb75
7441, 47b2
1c08, 297a
6f82, b4cf
648e, 7aad
77c8, deaa
4127, 25d9
2b46, 9db9
84dd, 32b1
222f, 8ac4
1a22, 8926
3455, 048c
d2f0, 71d9
d750, f81c
571c, bbd4
229a, 1b2b
afd2, 8507
7af6, e787
0623, ea6e
672e, fd58
1494, 1ae8
41f6, 5f44
5d0e, b9c6
c68b, f935
1364, 3623
8056, 2702
8420, 8956
0974, 60a0
98da, 8465
1e1c, b4f1
a42b, ae40
b6f8, 7ffc
f6d6, 0bdd
a1a9, 43e6
f5e0, d062
7e30, b5d9
90e7, e0e5
3a68, 8f6a
86ce, d71b
b0ae, 8a70
e7bf, fdeb
0195, 1701
3a92, 340b
bbc7, 5db4
c2e6, 816a
9fbe, 8b25
b3cc, 5d98
33db, c10f
6670, ecef
c598, fbc6
0d46, e8a5
2ec2, cec7
5aed, eaed
5212, 74f8
2cbf, 22de
6d72, 6513
f890, df7a
558e, 5f77
8236, aaa9
7213, 5e1d
258d, ae52
0df5, 0f7e
b131, 82a4
9ea2, 496c
7301, 5fb5
8a95, e36b
fb16, 7dfb
aa7d, 83a7
54e5, ad5b
f72f, d129
c005, e475
2825, 4b8b
8cea, a8a1
313e, 8e77
6e19, 5396
7b9f, e160
dd9d, f51c
5b04, b1df
d9c9, 8416
6b79, 83db
ed2e, 4d36
7610, 834d
d86a, 6420
1e0b, cd1c
ebb4, 894c
ad83, dae2
f82c, 1dc4
62ff, 8587
0a8e, 1d92
30bc, 6dbd
368a, b537
9e36, 8acf
cc4c, 819e
561f, 841c
2d15, bf1e
0a96, d12c
c89e, f4ec
c0d9, d23e
7d38, dda4
2df7, 5707
6ecf, becf
f74b, 490d
efd0, f158
4afe, 552b
30dc, 3aaa
8d2c, 6219
3c27, bed2
893f, 24d6
7d08, 3b1c
4b5b, b398
d160, 7ce3
0f02, e233
9d17, 7abb
d96e, 33e8
141f, fc42
2c02, 1cb8
c405, 68fa
7ff2, 8dd5
8fd5, 273a
95ee, b0d0
9abe, 78ee
0173, f2c5
66d6, 6208
b5bd, 2d41
e794, 8f4f
e1ec, 5ceb
024d, 4d25
e02e, ef43
d7eb, 3912
8652, 4986
288a, 28fa
42f4, 16d1
1646, 5171
8dec, 9eee
c98e, 0ef6
7ee6, 36d9
d3e3, 1793
8085, a175
7d7c, 3b13
f61b, eecd
c2c8, b994
ffed, ad2f
1a54, b21c
fda8, 1464
b868, ce30
5f05, 45ab
e358, 03f3
1167, c3fa
7b88, b141
0cca, 6c79
883c, a527
a730, 0b66
f623, 1929
6056, 87c4
8500, 6dc7
9571, 332e
7501, b61c
4e71, d6cc
78e9, a3bc
3e75, 7e75
e621, 2a6c
2567, 56e3
bd47, cd47
67fc, 12c0
054e, 46e8
ce88, 09c3
2811, 20c2
c28a, c32c
fb7c, 131e
9960, d18c
8799, 9561
669a, e5d0
c2a8, e568
8f06, d440
f8e0, 7519
c7d3, 9c52
de57, 3cbe
d5f8, 888d
b02c, 8e3a
0eee, e3f6
7c4a, 5f30
bb46, 0421
7e48, 27ca
446c, 2130
6d77, 1dfe
8a06, 5131
836d, cf86
d0d2, e2bb
2fce, 51fb
0f61, 6526
b299, aa95
8e41, 3e47
e88a, ad4d
fe94, 1e94
6ea2, 84ff
a971, bb73
cc53, 0147
51d0, 5da9
8d99, 6290
a310, 3a70
a991, fff2
da62, 453d
d057, 96dd
b27c, 05a2
f82d, 7989
7827, 0995
2525, 1c3d
c085, 9e01
779f, d60d
89e0, 89de
17fb, 1284
341f, 8187
eeff, 12ea
4446, c224
c4e5, 9f33
c13b, feab
060e, 0815
cdda, d90c
db56, e18b
262d, 8f4d
842c, 35aa
bf5a, ca68
ecce, e706
729b, 9d82
1247, f53e
b929, bc72
212b, ac7d
6215, ff50
06ec, 5d8d
a7ad, 6900
9d8a, 83f0
8788, 6ebd
27a7, 60d4
a5db, 64e3
d8d5, 0184
baae, d090
cdd9, 8e14
3b7e, 9743
882e, 8aa8
78fc, 0837
5914, f17d
f00a, a8a9
2883, 1b3b
d860, 8498
0782, 48d3
b4bf, 2f4c
c900, 2adb
a257, d1d9
be4f, cc0b
6b87, ef8f
5a5d, f50e
d6b2, 7967
c939, 2926
9e0b, 26bc
b43d, 2888
ae60, 695d
f965, f534
02ec, fbbc
875f, 4d4b
e4ef, 2ce0
4f1b, c4aa
ce20, 00a2
471f, 6629
ad79, 96ef
bb89, afcf
e21f, 240a
4ed3, c3f4
1c7b, 9b8b
bf83, 4878
73a5, 533b
7c0e, d87f
ac0c, 2e39
a4c4, ccdc
92fb, db1b
1f00, bddd
1734, f09c
6c9e, ab0d
f50d, 7f96
9765, 3a1f
99a8, 0f6b
bca1, 67bf
6537, e134
d31d, 1aaf
3399, dec9
10bd, a50e
5267, ebcc
8561, 5b6b
1132, a969
2ba0, dc5c
34d4, bc81
8127, 0b3b
be78, 23d7
7a7f, 5161
9068, 7664
139b, ae09
b0ec, 42a7
8a19, a1c2
0579, cc60
d788, 0deb
14be, c7eb
9708, 1872
12f1, e50f
e077, d1db
9e9b, 03b6
b3f2, 07e0
583f, 777e
fe77, 302b
4ed8, 2d40
fcfc, a418
b0a7, 5069
8422, 03e8
664f, 1840
0cd9, 9a86
0815, 060e
f12e, 1f62
acb6, a0f2
f44b, 566f
f51d, e04f
cd8e, 2779
abe4, 91d8
0d60, 7ac1
5803, 7eae
47e7, 5b02
cc8c, 67cb
d528, a36b
66e6, 01c1
d411, 1926
5be4, 93a5
c496, 274e
e488, 3350
b096, 80d4
5c61, df6f
4585, 2b20
43b9, aec3
ef49, 71f0
81a8, f1a5
2019, d4b3
1786, 5cd0
6f45, af74
499c, 6a0e
4752, f6c3
529f, 1a59
f691, b8d3
4c5e, 8b49
0ebb, 648a
cf9b, eeac
9cac, 5a50
bbae, 9ba7
f907, f733
7125, 1c79
952b, 14bf
1317, 13f7
714a, b07f
24b3, 9b9d
4ed6, b150
0be5, b103
358b, 881c
b105, ef85
5954, 94ef
4130, 6e70
93c5, 08b2
b6d8, e4d9
1118, 969c
0de7, c8b6
2b9b, 00bc
f4cc, 998f
2dbc, e910
a769, 4ebe
150a, b5dc
de9d, bf4e
95af, 1a6c
8f90, 6463
c948, 23b4
2924, 0693
7343, af76
921b, 8a0a
0474, b671
1f99, 2f24
0223, 68c7
2c51, cd9c
fb89, 643a
ecb0, dcb0
0da9, 7e40
1b21, c2e8
fa12, 6161
787c, eff5
c982, 54e1
b2c0, 36b3
2bdb, 409b
783c, b278
0c58, 595d
c19c, 690c
7cd9, 756c
5243, e498
0dfb, 73ba
d064, 2ea5
b689, 314f
fe2f, 13cf
9859, ebec
c108, d951
9c48, a71c
8461, 5a1c
da72, 0232
6cce, a913
5b50, d08e
4a62, 8ff2
4c05, 5009
6dd5, 445e
ecca, 7eb8
c959, c7a4
ceeb, cccc
3e79, 77d7
8f85, abae
8b0d, e4f4
da61, 7f3d
e3be, 3451
0ceb, 398c
42a7, b0ec
ebd5, d373
8aed, 46a4
a87e, e018
cc97, cc91
bb5a, 717b
ebbe, 4d3b
629b, 7247
b0ef, 1f47
e9cb, 7d50
92fa, f5c8
2b6f, 9f73
b321, 2517
214f, cc55
c223, 3477
5681, edfb
8f68, 4b27
b688, 47f2
d13f, 863b
fcda, 9cd8
b266, c15b
10c2, 9d9c
7976, 11e4
9dc8, 9851
97f4, 23ab
296b, 953c
f452, 0e9f
7fa8, 87b4
ee53, ea70
1e1c, b4f1
703b, 549c
f43b, a3c0
63b5, b091
3f0a, ad7f
a5cf, 6432
bed8, 0adb
e117, 3aa7
5501, 3831
bb74, 9b4f
f993, 6ee7
7fa8, 87b4
e8c0, c098
7f24, 301b
456a, fb59
5d5f, 8131
ff2c, 4532
edce, 74ed
3ce5, 3a8b
fcea, ca5e
3db5, 8d0a
2333, dd53
a24a, b133
5d6e, 1c65
6d01, f435
be0d, 5d9e
3678, 0be0
860a, 3dfa
1a3f, 1307
f68e, 7ea3
ab20, 73e8
1a8c, 32e7
490f, 47ed
19ef, 20e0
6173, e3c1
a436, 2e06
7cbb, 162c
77c0, 9418
a333, 34df
78fc, 0837
9ffd, 3c43
401b, 10df
39ab, 93a1
6b25, 0baf
4df2, 7a46
3f03, c2e0
c5b9, 4a51
3bcd, 7005
65ea, d4a9
6ea9, 53e6
0390, 0ee9
18fd, 746f
c96c, b0f5
6836, 1c41
6dee, 18d5
0e1c, 1a0d
9ddc, 3d69
3f20, 875a
7973, 614e
0ad2, 56ef
db4d, 482a
f96e, 0cc6
9353, 8e52
373c, 8e76
e978, 3721
2d28, 335a
2133, e0ff
8ceb, c533
0891, aa65
6e9f, 0fe3
96c8, 487b
0567, a293
7c43, 4cff
6876, af05
664c, 2d84
f741, 9efd
c835, db76
376b, fc2e
b926, ed86
8a16, f6e6
263f, 2af3
a317, 3514
b1eb, 272f
3d94, e4e4
5392, 5058
eaa5, 1faf
3080, ab4f
1559, 0686
1cb7, 1f0d
25f1, ea8b
effe, c677
8d90, 3d95
d386, 19f2
787f, e430
c67a, 5e5f
38d7, 0da0
9718, a7b8
0321, eb47
da88, c4c0
6b6e, f6b8
c063, 65fb
5581, 8c23
65a1, 8bdd
a250, 9d72
0720, 04d0
8851, 5529
6884, 71d2
2b0c, a3f2
c398, 686f
0937, 42cc
fcc2, cbed
d916, 5ea6
f007, e1ae
9ce6, 0a32
9acf, 1b5a
1bd6, 906a
ef22, 2d25
4b67, a89c
b1ab, 52e3
c410, 410e
be7e, 6e15
79b8, 8553
d1d8, fafd
ef3b, 8b35
1b43, 2d12
db78, eea3
142e, c341
20fa, ce55
f3df, d2ae
d529, f3e6
435b, 3951
68f6, f235
5112, 4f3d
c316, c7d7
9a61, d783
0cb3, 4acb
b5da, 81e4
6a69, a44f
405c, 91d1
efa9, 1f9a
71f6, 3bde
ed3a, 2415
3879, 0b2b
6950, 4cf5
14db, 29bc
0a77, d619
a8aa, 030c
64b7, 525f
6d09, e0aa
372d, 9813
002f, 1854
ab90, cc7c
7409, 444a
0da2, 2922
56c2, 766d
cb4f, 257b
7d10, 331e
5a59, 2a9e
3a54, f959
5069, b0a7
6531, 80bf
f4a1, a58b
cfef, 6753
ee15, e281
9330, a900
e7ee, b9a5
0bd7, 637a
c83f, a2e6
2bdd, aa19
5380, 688b
f146, 5e84
5e9a, 5be1
027b, e00c
de89, fb7e
7199, 563f
21d3, 94b9
bcc7, f952
9ab5, fab7
a7c3, 628d
1214, 8488
5771, 0e33
82c3, 157b
a80e, 86c0
d49e, 3b43
ad05, 64e1
b5c2, 9e9c
997a, 521f
5928, 493f
fca5, c23d
9548, f781
1931, 35fe
f8c6, 126c
3e9f, c396
0b11, cef9
e7ac, 9038
301c, a23d
c355, 3cf0
8e2c, f3e7
7ad0, e2a3
e2a6, 9ee6
51a9, 7bdf
6641, 73ab
a2e3, 4cbe
b136, 3f18
2984, abee
f3a9, 6ed5
5a25, 6129
61a8, dfc3
d126, 2c29
2861, 85f6
4eee, 2043
185f, 100a
dc97, b0db
ffc1, 14b7
79a0, 7c30
05a3, c76c
58f2, e83d
a79a, bdd5
aff7, 80a2
39b3, f53b
adb3, f415
7435, 28d6
8675, 0e9e
37ec, 3b37
54f1, 709b
06d2, 27c2
bc11, b3d9
ace1, c636
88f9, fc76
6a4b, 83d0
fca1, 3e36
5681, edfb
36f3, 78b7
9819, 769a
4b45, 2e29
c34d, 9b5f
5e53, dfd6
5c7c, 289f
aca2, 34a6
2c48, 9288
3ae4, f8c4
dd8d, c6cb
ea69, e7a3
a084, 047a
4dd1, a64e
23a7, 8baa
fd32, a3e5
486d, 3aa4
e341, 120f
273a, 8fd5
b6a7, 1d23
5610, 7f04
bd9b, 70f5
3ced, 9006
7d19, 1ba2
028f, 1aa8
3780, d3ac
c476, 7863
6d68, 70c8
1953, 21d5
ede5, 5729
78e7, 91d4
5674, 8a35
4f4e, 158a
9aaa, bfb4
20b8, 4edc
a7f8, 24c1
c873, e212
4df8, 8de5
7c11, 8922
20a5, 6d2e
c213, 672d
8884, fe8a
e6f8, 30bd
e1b2, 381f
2851, bc06
e6fa, 24dd
c51b, bf10
a0ec, 2cf0
1ee3, 0e34
ee8b, 99f5
b645, 5fd4
e048, 3f3d
f6a4, a58c
4b4f, f155
ce51, 2260
58ff, 060d
aecb, 001c
bb3b, 6001
b30e, bbdc
186d, c8e3
4f1d, 4db2
6e8d, 8746
6afb, a8e3
2a61, b4c1
e67d, e674
8b1c, b327
b2d9, 0a19
231b, 80b1
b33b, ba03
80d9, 8bd9
0cda, 6957
7198, b956
423b, 3f01
3f5f, 5059
f71f, db8c
05f7, bd6a
673e, f05a
fee8, 0f9c
3d47, 1632
4df6, c06a
1be8, 1319
f09b, b7ce
5743, aa3d
d3a4, 20ca
215a, d4d5
5d67, 5a6b
3d2e, a8e9
4562, 4d96
76a4, 8ea4
9a21, 2c44
380f, 8445
046a, 594f
0af3, d970
b38f, d9e2
f0a7, f3b2
9b34, 8274
5ad5, 2637
59ba, e175
9abb, e44a
97e4, 0716
0d53, 782a
8f00, 064e
