e3b6, 7511
d573, 8168
e720, 9925
e6e1, cdc1
f098, 56e8
2c3f, ad63
8c66, a106
0a18, 6c02
19b2, 2bc0
eb95, c73b
7c8b, 7c50
2b60, 2d6c
9e78, c4b4
291c, 6849
36a8, 3e42
ebd0, 8db0
f8fd, 18a5
1147, 3c5c
2165, 915d
84d9, b774
8844, 7245
f816, 5d99
5732, 44a1
25cc, 2c1d
81bd, e796
f4ae, c7a7
a134, 3a0c
5320, 92c8
6bda, 7be9
c172, 01e9
304e, 5834
272d, f8c9
32f1, 35c9
5692, 4ec8
2d6b, 1a95
2b2a, cc28
d49e, fb87
794a, b1a1
158f, c431
fe90, 5745
f398, 8322
5c8d, aeae
0a44, b811
c1e3, f062
8496, 6616
8737, b9a0
2a92, 7b67
1b3a, 0de7
4bdc, 7003
6c47, d7f7
0ff5, e3e3
8a72, d528
f99a, f5ae
a81e, 49e9
ed62, ea2f
19de, 3cc2
4c86, 6f53
ace4, 27d8
8a70, 751e
31d8, 3b8b
d257, 49d4
b5ca, e5c4
a723, d647
7d3e, 133a
69f2, b279
d40e, c68a
a128, 9aba
2bd2, df5e
2e25, fcf6
b390, f95d
dda9, c8f2
dacb, 16cf
b1b0, 30e8
6e9c, 2fce
2705, 5e98
9331, f21d
385c, cf1c
1659, 6c03
019d, c8e2
669e, 55aa
184c, ea2d
e9f9, 3800
15bb, ac4a
394e, 1106
3fa8, d153
466b, 40ad
820e, e702
eba8, 89b4
bc28, 5cfd
15f4, 5e73
7fab, aea2
3949, 76a4
b231, deda
8667, 446f
c65a, 371c
ec21, 96b8
ee7b, a5e0
6013, 34ea
e72a, c1cc
bdb9, acda
4379, 32a4
ff87, 5aab
d47c, aa2c
e6e5, 7bb0
9dcd, eab4
dcfe, 543b
c1b6, ff6a
fee8, 44e3
467f, 3b28
e946, 3cb0
4818, 10eb
a8f0, f48c
0fe0, 091a
7776, 7514
65ef, 0c8f
616d, 8053
89a6, 7aa5
29b9, ed1b
351a, 82fb
b584, 34eb
2ae8, 29bc
1f2e, 1318
1c02, 77af
f50b, 241a
34e7, 37d4
6f09, f00c
adbd, 597a
819a, c382
6f86, 6ec7
3405, a6cb
5ff6, 4a73
73b6, 8fdf
fdf2, 193a
aa03, f502
ecea, 7f6e
ef3c, 0760
8c12, bd1e
efba, 2091
f858, 8586
406b, fd98
da60, a2c6
5a72, 0258
4abf, e19c
6a75, 577d
6fb8, 726b
fcb5, 13f8
99b5, 648f
529f, 51c9
3881, 0af2
c24d, 6603
0701, 9bb5
87a1, 9178
ec50, 0fa8
ec2b, 84cb
beec, 682d
14f5, 3c89
773b, 4cec
50b4, 2d7a
22d4, a8ef
5fd5, d0e8
e377, b893
9706, 75dc
8c35, 6e16
c59a, cc91
9863, 1294
859c, b175
5807, 3b53
7f10, 0825
de4a, 5e60
6303, d0ae
67e1, 98c7
502b, 3b64
d0df, 18f8
39ae, 3c58
b881, ba09
f485, 4b15
2782, 95bf
1f09, 0236
e204, 6949
d401, b6d1
130d, b2b6
fc7c, c21b
7cee, 127f
ad35, 1d33
3261, 7a93
e66d, d00d
904d, 23e9
51b7, 1d23
4746, 44f6
6917, 005b
ed72, cf32
8077, efe2
5152, 1ccb
f67b, 3c11
880d, a8aa
5947, 67f7
6e06, 02ee
54b7, 63d3
35df, 4072
bdec, b920
ac36, b3a0
410a, 6e8b
07b6, c2ec
b1df, 1db9
b691, 4efe
2820, 1a81
3e1a, b1a7
c57b, da3c
4d55, 7962
58cb, ceb6
17db, c733
e102, e4e4
2b4a, e880
0441, c70c
5267, 53d5
111b, 57ba
03ef, 1d9a
5a98, c628
6ade, b24f
adbe, b2ea
75c2, 37fa
abba, db9f
2200, 5fbb
d016, 5dce
e954, 43d0
46ef, 1ada
533f, 3489
73b9, e831
e75e, 4739
fccf, 7f9a
f797, f39c
78e5, 9128
122f, a91f
0480, 08fa
9b91, e869
bfa1, 7157
2408, 270e
f83b, 9ca0
f153, 5fa2
461a, 0a15
8b20, 8049
e1e4, 18b2
9a1a, a68f
bf55, dcf1
42ff, 68c6
ac40, e8f9
df1c, afd9
5498, 2141
36fe, c779
a78f, 8ce1
7425, 4d5a
35ad, 9064
c3c9, 5b9d
39a3, 2fd0
608a, 450e
02dd, 707c
b1f0, 64a1
27f1, b340
feb9, 353a
f312, bf7d
b591, 222f
898a, fa22
95bb, 9060
6a98, 1de2
c259, 948b
fc81, 3933
5838, 5e3e
5b1f, d8f8
605b, e50a
56bd, 075d
e5a1, 6d33
8c4e, e78f
5861, d2fb
a6d0, b6df
083f, a5db
84b6, 865b
8e1a, 44a9
5cb0, 8951
9036, 59e5
59d7, cd54
0274, af9f
5a84, b4b3
d19f, d851
0700, 3a1d
9d1b, 83af
faed, 2210
e31e, 5512
62c6, d1e7
425d, a436
87e5, e48f
88a3, e227
5481, fa63
ec15, ef79
bf6e, 850d
8157, 6741
801a, 23b8
f593, cc03
847c, 178f
3a6c, afa5
6bec, 437c
2cd2, 76bf
7d4f, e149
edab, 66ee
6791, 2bd3
3aee, edb0
9767, a5cf
7e29, d256
518c, 63c2
bf20, dd74
b35e, 7a37
554d, 5aea
090e, e7de
1452, e9b1
1c29, 8c73
2044, 9301
152d, 4af4
f85d, 911d
a0c8, c161
3783, fcf1
f992, 7e76
276b, 8209
85cd, bab2
5c3b, 0e15
ba10, 4cf3
5053, c366
667e, 7ddf
5c35, 615c
618b, 2a15
1361, 56d4
3b98, b6fb
ad0e, f40c
648e, e8ad
4de0, b5f5
fbc2, dc88
a66c, bb73
2f40, 99f2
5fcf, 02aa
42e2, 37f4
d8e3, 932b
838b, 2c44
3775, d62c
8135, 03c2
b49c, 6af8
7e30, c053
a4ac, c51b
9c52, ae46
a178, ab1f
4eda, 0c2e
d88a, 1faa
1bd7, 2a86
22d4, a8ef
2e83, e0b1
b9b5, 2529
7178, fde2
a3be, edb7
697d, 40bd
72f0, 6267
b9d7, 6333
f492, b239
649b, c9f0
fbc9, ec3d
a946, f78b
f8de, 9d9b
a258, 905a
20ab, 9598
2a37, 2eb9
e4e7, 4860
8c83, dba7
5e5a, b219
2578, 339f
27ed, 0131
6d70, bb5a
d502, 5780
167e, 60a4
55da, 6032
0349, cd0d
10d2, a1bf
84b1, 0a93
0114, 8173
7a97, 7fe3
8add, 9957
43ed, 719f
9c35, 0e95
c3c2, d5eb
bef1, d5e3
f0e9, aa3e
b6f6, 0cc4
4be4, 825e
7b88, 3a67
0ffa, 4e95
c921, 5c6c
a09e, f426
1cd2, 0128
0b4d, afe9
a823, 8d81
91ef, dbb6
d8c1, d826
293f, d9b7
72b7, 5fec
2427, cb7a
4906, bcdb
8c6a, 4593
2868, 926c
e01e, 0f0e
3b82, cee7
d655, 27fb
0573, 61d3
3105, 4dc9
3334, 9127
17e8, f6f4
95f7, 35a6
7dc9, 1066
6dc2, 4ad1
d34e, 5011
dbc3, 12b8
61a8, 556a
1f50, cc43
4287, 9610
70b7, 7da1
f10f, 75d1
dcc7, e97f
12e4, 51b4
e681, fd7a
dd3e, fa1b
52a5, d87a
9d54, 406c
3544, a9a9
2772, 92d1
191a, c1fe
a017, 5657
9ee6, ce1c
59d9, ca55
b0cd, 2e85
1283, 6803
2455, 2753
5c71, 00ce
32dd, f0c4
ff7c, e741
7896, 72ee
f92e, ed99
21ab, 3155
21ba, ad76
649c, c0e3
7d55, 2bb0
40b6, 5409
dbf6, ac5b
c558, a179
d4ab, bfa5
0b10, 1724
fa05, 0a79
85ff, b6d0
db35, 1443
74a7, 9ee7
f051, 23ab
db38, 40bb
1c9f, 4636
c497, 1026
a73a, 04fb
ead2, bd97
5b4a, ced6
5c73, ece6
2669, 8ef9
d621, a5a6
f7e7, 1e0d
6991, 6e57
a565, cf84
880c, 0657
e4e2, bdea
47bc, 467e
7344, 097e
dc7c, ccb8
b1f9, 3726
a12d, dd35
e1a3, 2a88
1c93, 0ffb
b42d, 79a2
db23, e3e5
6095, 49c7
4eb3, e00a
831d, 4b77
7a64, 8d40
f50b, 241a
470c, 50e2
d68d, 4443
ea1b, 15e9
3441, c54f
d91f, 2e73
87d2, 95ef
27fa, 1cc9
52af, 5e1a
8c2f, 5ecf
dcc7, e97f
5f67, 970c
79c9, 9a26
b389, bd70
09a4, 817c
5527, 1c48
b28e, ed02
ebe7, 6675
e83b, d6e7
96f7, 2514
89ac, 37d5
57d7, 146e
cdf7, c2f5
d248, e886
5d97, d366
0e6b, 7921
d65a, 0089
f140, 3c63
9046, bb84
bfed, c95a
39b1, de78
6bdf, cad2
d02c, 40a3
de32, 8136
6f0c, 4b4e
075e, 6c5a
18e4, 4d6d
1d85, 6f9a
f646, 118f
d391, 4a83
1bb6, 5e14
920c, dd59
0cfb, a2a8
0b43, f0b2
c62f, 6424
74c7, 17c5
f17b, 5d85
43a0, dda0
77e0, f74c
506c, e188
b550, 3e89
a3b7, aa11
14e4, ac32
c219, 7a63
e9a3, 90fc
5ece, 3c5a
df49, ef99
3b4e, 3dfe
1d63, 1f3d
978a, 7ca8
026b, cfa2
7684, b5d0
56e2, e498
c83d, 6002
27aa, 712d
3a7a, 43e0
e35a, c165
5451, 6d6f
6dec, e089
b92c, 356f
86d5, 2296
331e, 8c50
b16c, 50b2
e936, 893b
ab2e, 984c
f659, 257c
c01e, a2c0
e264, b71f
8774, 2ebe
8f73, ec8c
a165, a3c3
f9eb, cc76
a984, b508
463b, 65ca
badc, c2aa
668f, 9751
61aa, 11f2
866e, c0e0
d711, 661b
35df, 4072
87bc, 0442
17ab, b806
191d, 5457
c061, dde1
738d, 7198
9fed, bbf2
5db9, 40d2
91df, a1c6
f4d7, 88e1
a992, 401f
eea9, 3327
85db, d291
1b22, 177a
ce09, c905
37df, e1dd
8bc2, 2208
ee73, a541
fe6f, 02c7
72cf, 7e87
2ed8, 465e
9d32, a4c8
9721, 9355
2bcb, 2dcd
ea3b, c0c7
bc97, c76b
4637, 88e9
93d6, 236d
b503, bf8d
a19a, e730
43c9, 07cd
f8be, db88
df2a, d87e
8dc3, 91e8
2425, 458d
5bbf, 15dc
c79f, 3465
b804, 0658
cae8, b856
70ee, 005f
99eb, 6777
6fe8, 2a0f
3b05, 5f1e
e035, e8fa
2513, 9da2
8475, c122
151a, 97c6
8c24, d663
5422, 0382
f610, a0ec
3a80, 70ac
f11c, 2a8c
b701, a956
1c6c, eb37
3945, 3492
e389, 380a
9e82, c286
e97b, 3263
8af1, 4407
496a, a498
8478, 8b33
e1d1, c183
145d, 1b5e
7c1f, 1fd8
8b1e, 063b
9fcb, 24d2
01e7, 6b34
828a, e0d4
d8f0, 555d
4311, 7aab
3292, 7369
1ca8, 6269
0fdf, 8206
ae68, 3d5c
4daa, 6578
7c47, 0efb
5f62, 1bfe
cf81, bc3f
d44f, d746
86cd, 9e80
920a, 9d31
5a46, a8af
6c48, 90f2
9e15, 8cb0
163f, a636
3857, 18db
23b1, db18
b316, 3e86
1b5c, 592f
ec88, bb3e
0820, 4707
0eb6, 0381
6c49, 8afc
d471, c876
c09d, 82de
1c30, 6c4a
1c43, 6f84
6407, 6c96
364c, 412c
bd82, 3431
9383, 9fe5
415c, b7e0
6a99, 1539
e94b, 2511
6d1d, c833
5690, 139e
77ee, 4bef
9505, 404e
bcba, aa96
e37b, 45b3
1fe7, 0a9e
4c8e, 22eb
fa6f, c487
5218, 0dc6
4339, 2e52
b793, 27b8
f12e, 4d48
32b9, 662f
ee1b, b0fd
5a7b, b6b5
be90, 5fd2
a782, a338
1220, e425
0b2e, 7cfa
58cf, 2a26
ba29, d984
a91e, 736a
2867, c66a
9749, b877
1dcb, 042d
21b8, d495
fee2, 9f3f
e93e, 5bb3
d7bc, 8579
10ce, 9840
74f3, 0458
d0d2, 2449
5d00, 295d
3538, 33ae
d1d5, 90b2
f8c9, 272d
1ebe, 4a4f
94ef, 6831
a5dc, a40f
6241, 1cd4
a67c, d5b0
f9f0, 01a2
615b, 0c31
ba8d, da75
35d2, 661c
181a, 4eb6
a1c9, abce
cdec, 73ce
78cc, f6d4
7f6f, 1c79
fbba, 73ca
bcd7, a5f9
bf38, 1882
671f, 7652
7a69, 1c18
196f, 75be
2150, c928
18e4, 4d6d
6159, 66c3
91b0, fcde
8494, 84d7
6bac, c217
eff4, a00c
1a8b, 9b94
7b56, 678f
50b9, 6ed9
04eb, 6969
4ff5, 7d18
e77d, afed
1ac7, 392c
9fb1, 64ce
73ba, a225
235a, 7fbb
3150, 70ca
8ac8, 821b
4a80, 93e7
d51d, e661
6c25, fc0f
be22, a630
2206, aa90
6837, 6506
b326, 212f
6f56, f1e7
50af, bc9b
d63a, f9a5
7b05, 0979
7f6d, 36bf
0c83, 34b6
713a, 8334
cad3, 0d13
944b, cebd
620c, 7b08
aec0, 76bb
65ac, 097c
e9b2, bd66
d427, 8863
d93d, 1833
de40, 419c
8b11, b321
3ccc, f1a8
5622, e709
800e, b644
8a0a, 583c
d8a6, 3a0a
4a6a, a487
fca1, 3692
1b12, 9bad
eb4f, 920b
aeed, 4ba0
d701, d40a
b963, b9ac
f6a3, fe3a
62fd, 0d55
815b, 8cc9
7094, 2896
f0e3, 6659
1ec5, a1ca
0422, 38ef
9b11, c9ed
4855, 38e4
93eb, eb2d
232e, ab1e
7c41, 78fd
26bc, 15bf
4e9b, 481c
c8da, 7813
9f65, 2bf2
e446, 4029
6cc7, 9b2d
d044, ee68
cd30, d7ed
67fe, 5933
234b, 6744
f2f2, ef2f
e555, 63ae
474a, 032b
f001, f70e
68c1, 8b6d
0a35, 3937
b9ef, f5d0
85f2, 1fd2
bd68, 1d62
ed0d, 8616
c0ff, bae6
2648, c157
aaba, 8d9b
a455, 7f4e
e3a9, e5cf
c709, 5568
1621, e637
d1d8, dc0b
6c57, e6da
58d3, 53cd
c163, 29d9
389c, ac44
2b33, df5b
058d, 0c8b
c939, 5efb
20b6, d4e6
a92f, 4476
90c3, b60c
6212, b43c
58e3, f72a
da9e, deb6
c8ac, a57b
465c, 7400
fe8c, f821
3ef9, a651
df02, 0d5b
87d9, c31d
a420, 786a
5c19, e9d5
6b16, 61d5
d7d8, c75f
8622, 4c3e
35e4, a6d8
02fc, b490
ce91, 0d39
3881, 0af2
8fa0, 03a5
5ec5, 0af1
c5ce, a6c6
0204, ffd7
f10d, 9eac
0cda, 4de8
1041, 2bc8
31aa, 77e4
b539, 0b32
b342, 5846
1ba8, 0b88
08fc, f0a9
29d8, e502
6a03, 0a05
82ed, a547
f15f, 9de0
a874, ed22
287b, 9475
8878, e08b
88ae, 2651
2313, 845f
4d99, b505
3cf0, 3718
b60f, 2077
7ead, c06e
bf5c, 1834
47cf, 4328
d645, 16da
244d, ae6d
d54a, 3055
3bd7, 042f
e78b, c786
e75c, 0299
73ae, 205d
7afa, 2568
316a, 27da
ce4f, 7f08
0f53, 3143
c2b5, 8c28
78dd, 84e8
d516, 71a0
4cd6, ee22
8bb6, 81c9
f42b, 18b5
0e96, 3ec4
108c, 7fce
4973, 5b42
c7ea, a831
32b0, f79b
8729, 3fe9
0ed5, 5d41
9ae6, a731
de23, d6e4
01e0, 5d7f
c309, aa3d
f604, f985
1c4e, a441
3ba8, 9b50
94e4, 859b
00fe, 06f8
8e7e, 9377
63be, 3d04
b0a6, 2099
885b, edeb
a2c4, 0250
f53c, 1e85
6add, 10ed
72c1, af12
7269, 3a5a
383b, 5f6c
933b, 8d70
c9d1, 3930
095d, 6b85
3f21, 6b5e
3186, d498
43a6, e535
f7d6, 7e9a
8ac6, 8b2b
839f, 8306
1b35, 455a
2888, eb1f
cff5, 189f
2197, 5494
7587, b4be
da2c, 9db1
1052, 4541
7caa, dcad
c505, 4c70
1538, 92d9
75f9, e213
2afb, ff6f
f7f1, b36c
e205, 0f2f
c806, ee48
d11c, 82b0
2ffd, 7583
058e, 40a1
5afc, 4e19
9aa6, d744
398a, 8c34
b153, f07b
fe9f, 35a3
5457, 191d
b2d0, 08d5
7aad, 563d
c0f0, 2540
d1e0, 9e41
3d96, bee0
6b64, e3c1
a778, bfad
5cf3, 09df
fa52, 6db8
99ce, 5090
5628, b74f
a4b5, 6eac
4d2c, dbbb
6ca6, 6008
fc04, 5941
c550, a181
4527, 8213
b709, 928e
f882, 6f83
cf7b, 10d7
13be, f6f3
1285, 8e7b
0540, 6859
73b5, 3d34
8bb4, 9f0b
9e6d, 06ca
59f6, 4253
5395, e739
3f15, 0afc
4cf1, 3fee
b9d6, b512
3a54, b281
c6df, 4d93
4e7d, b41e
8b51, a8c4
0a82, 6082
16a1, ed4c
982a, 1931
a06e, a704
71ba, 4b0f
1d43, b7e7
62d0, 9384
4dd1, 8d4e
1f4a, 5cc0
1de4, 1f38
7048, 04df
56ce, 73f9
c69b, 8f19
c954, 6830
e8a4, 495c
0f35, 3e8e
e014, e990
97e5, 220f
10e7, a14a
5a8e, 9f47
97ee, 4eba
b9d8, d519
5a47, 4fb9
39f6, 956e
27b7, bd64
a8bc, 44fb
8397, d5a6
5680, 4568
0083, f454
0bac, 204d
6220, d934
74b6, 4cf8
648a, ae5a
79ae, 5c1e
048f, 3316
3fa3, 2b5a
3869, 4c57
7261, ee8b
02f5, 7338
da7b, 7330
2b56, ad7b
4628, 1c5e
e3a0, f068
3612, eff8
30e5, b1f4
dbc9, d53f
374c, 66f3
4b81, 7097
15e9, ea1b
e789, 9255
ee89, 65ed
2e36, 6f0f
788f, 3b26
7962, 4d55
2ad6, 448b
b41d, bdbb
fa22, 898a
f0a0, 41fd
1161, caf9
f020, 0be1
a35a, 0058
953f, c0b1
5637, 1c1b
79fb, 4f6c
cb41, a971
95e5, db21
9153, 92d8
0ccc, 3370
744f, 7852
fbea, b13b
05d0, 390e
c415, b870
65dd, f760
0996, 0356
b54d, 23f0
fca1, 3692
e0be, 5d69
9768, 9720
457e, 2c6f
9dc0, d2b6
3b31, c9f8
f873, 8791
1bc1, dd0b
46cf, 7771
2c31, 6bcb
fb49, 0ed4
a6e4, 0859
bb70, a5f1
f6af, 665e
d141, a726
9af4, 98c6
62dc, 69bc
da59, 0bbb
d22f, d89c
45b7, 658f
52fe, fadb
4c4f, f59d
a951, 910d
3d38, 7868
7f7b, c312
3740, b430
feef, a785
02bd, a878
5faa, 94d5
be12, b5fd
252f, 3d0b
2b18, 68db
97f6, 77a5
02e5, 7855
28c7, 9275
52b8, 93c0
e8fe, 46df
4b8e, 846e
0d4a, e179
1b43, 05b8
2de2, f84e
0e9a, 0c1b
e559, 4f54
890a, 50b1
5cc1, 0b69
7855, 02e5
b303, 61f7
2502, 4676
1887, 4d4e
bb15, 876c
430c, dcdc
fca5, 7327
165d, a03d
3c49, 84f5
b719, 6687
6d4e, 238d
d39d, 4cb6
ccaf, abd2
703f, 7a82
5cda, 35ba
f11b, d63c
0edc, 7b7b
1557, 1782
49f7, 4944
5b46, bebf
aa5a, 5216
5ede, 263e
6970, 0751
10ca, 34d0
0975, 35eb
4c08, 9f5c
f658, ca1e
d123, ef38
d390, 8027
4cbc, c9c2
2884, 25e9
1a4c, 2d33
a6de, daa1
33c8, 581a
04c7, 13b9
7735, 25be
3a78, dee9
0162, fe0a
cded, 0e32
a9fd, 0152
8bbd, 8542
7e6e, a47b
673f, ae18
aebf, 08ac
134b, 5ca2
0a04, 7091
7804, 8cee
a4cc, a8c9
025f, cfcd
b955, 0107
9277, 95a6
2768, 132a
d3b4, ee5d
c899, a8f2
9271, 0b67
e23f, 0add
f2e3, 3edb
d30c, ca33
8688, 247e
8be5, a32b
a4fa, 6e4c
6d63, 0ace
8a10, fac5
8d2a, 056f
b82d, f807
e388, e742
9345, 360c
29ea, e910
baea, d6e8
5ca1, 0078
d371, d4d3
61d2, 6118
7336, c7a5
b0ea, 84a3
b24d, aae9
2059, 3c77
9ac3, 2a29
e74a, d64a
3063, 9b62
5ab5, 4cb8
df82, 3d78
8da0, a350
24c1, 7fbe
966b, c148
cb79, 3d9a
79a1, 4125
4538, 60dd
3d9c, 6e3b
3cbb, 699a
1f32, b888
dafd, 4258
7314, f79d
ffe3, fae4
0bef, acf5
2a10, cae5
9b85, bee5
3efc, 3b4f
cc43, 1f50
9767, a5cf
f87a, c4ce
707c, 02dd
16d6, 2dcb
06c7, ec8b
3d1e, ae77
b6e1, e0cb
8a7b, 173d
643c, df0c
7279, 81c5
9c63, 0d80
478c, 409f
2d99, 4837
6f21, 78e0
1b89, 9b00
3dbd, 1bd3
884f, f789
baa0, d613
21d9, d738
e760, 006d
2c82, b136
53c9, c87d
cae9, ab33
45e1, 52fc
8110, 7038
5178, e2b4
6029, cd78
3575, 2544
7743, 26bf
1aa3, 4363
394e, 1106
b520, 0b82
66a0, dd96
bc28, 5cfd
7c6a, 4cd0
e522, 6e4d
acdb, e906
1fd8, 7c1f
8449, 9d87
44bd, fe57
8730, 76e1
3e1f, d00b
a720, 1b21
914a, 9029
7a1a, 2558
b080, a4f9
fe8b, b33a
b4ee, 836d
3cd4, add9
c84f, 314f
41e8, b64c
dac3, c89e
16cc, c444
3f3c, 219d
72b2, c5f6
f7f8, 4232
c517, b34b
3b44, a130
f174, 77b7
5d87, 986f
877b, 44d5
59ee, 11f1
e8f2, c445
a78f, 8ce1
b190, 348d
5ca2, 134b
1a64, bf6d
9170, eaa7
8e12, 6403
6eae, 2609
76e2, 61f0
10ec, b8d2
f403, 9283
a48b, c3be
1cd6, 3a40
6291, b5a9
279e, 897c
7299, 4703
f76e, 77d1
6434, 16e6
09d2, 6efd
3447, 8248
a2f3, c45e
e09b, dc5b
fff6, 2f35
e8ac, 9f7f
1b14, 12a4
33cb, 280d
6e77, 7644
5cb0, 8951
172d, 7bf4
80be, ee52
d511, 5400
fd18, 43be
729d, 3ac7
b351, dd58
b1dc, 63ab
0e87, 33b9
2758, 0b3c
0101, 7323
4dfd, 1fbf
cdd7, d2d1
3780, e977
27bc, 335a
1224, 0f80
cbe5, eed0
2c89, 2e99
08fb, cc67
1842, 744e
044d, 1d9e
7ff6, 7285
197f, edb4
74cd, c947
2a63, 913b
1ca0, a274
0d8c, 3015
4730, efe9
d5bb, 9987
16dc, ce4d
8c3b, 4983
85b1, 799d
aa4d, ea69
40ee, 35c3
f445, 80ef
4aa5, 0f7a
e98a, 50da
89ce, 9693
7fec, b573
8528, b8b2
bce5, c229
99da, e90d
8245, 0c1a
d942, 6b7a
435b, 365f
398b, 69bd
da2c, 9db1
56ca, 2a44
70dd, 38d4
4154, 7d20
f284, 0e50
c9ba, 9f41
918c, 5f04
4e12, ddeb
4be2, b18d
aaea, ec96
e415, 4082
de8b, 9bf3
ae9e, a799
3db9, 03bc
4b45, 24c2
5cc1, 0b69
3ffa, a989
6b0b, f3f9
5c88, 11ba
25cf, 2dc8
07c6, d476
c6dd, e02a
08bf, b7f7
e58e, 2fa9
6aa7, 300f
ff2c, f2fc
34f2, f89f
792b, 8445
66b4, 5bb7
fab1, 6d28
e249, 6dc1
79b8, 89f6
4d87, d902
0ca5, 8ce5
beaf, b866
79ca, 8ea5
5d21, 4cc0
bb73, a66c
524d, 2cb0
6cf4, 94f7
6d06, d276
2007, 01ab
fc16, f726
a767, 66d9
b17e, 0183
44a1, 5732
186e, f22c
c365, 5c33
11b1, 146d
8f75, 97c4
e8e6, 8e55
de9b, 1ecb
12f6, 5d1d
c7e4, ba56
5411, 1ba1
9eff, 8c4a
0c0b, 99d5
d480, 2377
8cc4, 2f4d
a291, ab36
5ce4, 8ede
63e4, 19cc
cae5, 2a10
448a, 40f2
efec, 519a
0299, e75c
5a96, a8a6
dc2a, 1e63
89a6, 7aa5
e00d, ccc5
0593, 8d21
bd65, ddbc
37d8, 7289
1dc4, f8d4
57e6, bc2f
a386, 2a6e
3af1, ddb3
d54e, 2f51
0529, d61a
5866, e85a
5f3a, 3a8c
f148, 454f
ff83, ffe6
269a, 80e9
1d2e, 8225
30d8, f771
d2d2, 21ca
18c1, aad1
f50e, 7168
fc13, f653
7f3a, 127c
4d60, c88b
af8c, a281
651b, 3d14
938c, 8c0f
b09d, c8f6
fa09, f199
30ac, 8a53
7642, af75
fce7, da7a
bfb4, ccf5
8723, 3ae0
0d33, cc42
3243, 59f3
71d0, 99ba
cb8b, a180
eeae, c9cd
492c, d89b
2afa, fb41
e7ae, f3c4
1c1c, 3afa
dbdc, fc38
77d2, 9fb0
6751, d134
c33c, 0bf3
2312, e3cd
6e55, c501
bc8f, 0c23
254a, 1aae
aac0, d82c
1b48, d991
e492, e126
37bc, 2e7e
33f8, 29f6
ae93, b1a0
1187, 7bfa
e4ce, d3d4
7141, 7a4a
b445, b21c
aa3b, 1342
b883, de89
6569, adf9
a6e4, 0859
92ef, 298f
a88b, 1feb
602e, 8bd1
34c6, 8fb6
98f2, 2616
a07f, 9da4
3b46, e41f
35d0, 62d9
4dc3, 8677
63a3, 2be4
074c, 9867
1b56, f20a
cb61, 3a02
bd81, bbe1
2b47, 9ef8
2d9a, d479
5937, 7d05
f5fa, a0f4
dbff, 21b1
f6bc, 35ea
0049, 4111
0111, a583
d52b, 123a
b03f, 5ad4
2b56, ad7b
e5ba, 3a59
b8c1, 3b6d
613b, f0e4
8b5a, 0388
791f, 6aca
bc53, bc35
a5b9, ad65
26b2, 2504
c6b5, 138d
a2b4, 985e
34e8, a97b
c6a6, f0d2
95b7, 1d12
42cd, 9868
19d8, 7b5a
1d27, 34d4
b331, 2c9b
0564, 1ad8
36bb, 2d77
f36b, ffab
a138, 1757
9bd7, 2b00
29dd, 2fa3
00da, ec18
487e, e721
6ecd, ef43
2cdb, 25dd
9a3e, bd87
e3eb, 5631
a0e9, a4f1
3e93, 25ae
44ec, a4d4
f1a1, dd7c
33f0, 168d
3fc6, 3cef
5bdf, 44f7
3201, 8be1
0098, 109f
b0f4, e00e
