21a0, 3da1
5b8c, 0d2f
8078, 82ab
6dee, c7ed
b733, 68e2
82ed, 23f0
08cf, f77f
ef71, bdc3
5cda, 2020
786c, 45e0
cd0f, 00fe
0b5a, c13c
a199, db8c
c25a, 9c96
ed5b, e739
8d2d, 14d0
220a, e7d9
77a1, ed5c
49b6, d0ad
fba2, 5b04
ef97, 8f68
2893, fb3c
9a3d, 3ba9
a4f0, ede0
03cc, 3dce
05b8, 9b86
8e54, 1aa8
a360, 1695
7fe3, e985
2a63, 3baf
6e3b, 29cc
0f21, 22ff
b2b7, 7924
a0de, 56a4
ae5a, 72fd
2a8f, 242c
2993, 0b7d
e856, d1a5
ecbe, d019
ebad, d454
4af8, 1187
e704, 3f97
b2c6, c5e7
4649, ece8
8c28, 86d9
de77, aa9b
1dbb, d994
ad71, 27b3
1ec5, 5a1f
e095, 8596
b97f, 4f33
94c0, 458d
13c9, 1237
2cc3, 2d04
e5ed, 1ea1
8afa, 638a
1c9f, bcfe
24ff, 24cf
2cac, fef7
97b6, 5f52
6084, c5ed
975d, 47fb
c1f1, 6faa
be2c, 44e3
9a30, 986a
6f62, b0cc
8e3a, cc94
8c7f, f0ad
64ad, 41dd
8f31, 411a
4c52, d09b
84ab, ab26
11ea, 4e4c
f956, 1164
8514, 85b4
3e35, 0d90
9b6a, 0c8e
fe2c, 3d4a
cdf4, 2edb
c30e, e85a
c2a9, 966e
69dd, 9627
d058, 6ed4
7dd7, e718
ba0f, dcdc
41e5, bd40
8880, 4bd1
d959, 8658
82be, 97f4
89e2, 021c
4bdc, 4e4a
1258, 4c5e
15af, 1c75
d900, b55c
af3c, 29d4
2000, 65c5
185c, ab96
eacc, 4bca
75a1, 4663
f303, 6d41
f323, f9b6
b5b6, e0bc
34a0, 1fba
44dc, b898
a79b, 92c3
86b0, bff0
3373, c809
695a, 2c56
35f2, f10f
df16, 0d11
5565, 0f7a
cc39, 6638
994f, 5945
a34a, 0699
c42f, ff9c
79d0, 404c
dfce, 1f6e
fd6e, 303f
db6e, 4bfa
a0eb, 95e6
2d34, 5d6e
447c, d2dd
288d, 4707
c49b, 71d1
9bdb, a116
fd62, 9a5b
a95e, 80ae
41fd, e827
2320, 34b4
091e, 0ce7
8240, 43b6
c0c7, f1ec
5f55, 5630
155e, 53ca
decb, 7d94
f4eb, 08b2
f4a0, 6ea1
4ec3, 4e5c
1358, 7c97
960c, 3396
0803, 0496
348e, 9c41
20e3, ac87
473a, d4c3
3b16, d2e0
8a5c, aeca
3d3d, 6b78
e96a, e3ac
acec, 43f3
47ec, bbe0
64fb, 6ebe
5690, 9933
8e0f, 4daf
3aca, bfaa
2809, f7cd
3bc6, 9acf
6553, 98a4
65a6, cccc
9863, 76d7
ebb9, 4aeb
eef6, a41a
108e, bc9f
f9b2, 6587
87f6, 0fbf
3b96, feca
742a, ee45
0a0b, c772
4e62, 817b
ad3f, 72e7
a045, b2ec
328f, ef8e
6141, cc67
a9de, a3b9
0848, 5149
c146, 62eb
4a3a, 17c0
b214, b31b
56df, 5cb6
f129, 38f7
cb58, c7a4
fbdb, b111
2d03, 5a55
4206, f9b9
354f, 26e5
3b84, 2581
f58e, c91b
1713, 44e5
e03a, 6c32
8724, e1e7
ced4, 312e
faf5, 62ab
28f6, 96a3
83c6, 82c6
2d2d, e474
fe3a, 0490
9c64, 566b
5cf1, 5ce1
dce7, 547a
f8f5, 2003
b451, 7b55
2b51, 3a9c
0c7d, f369
87de, 1dd7
ac82, 15fe
743f, 7949
cbe3, ec3a
6f97, c2cb
7aee, 8bdd
b04a, 86d5
ec37, ef38
47c4, 3a17
5af5, c7fa
c7ca, 3a95
c904, c7ba
c643, 09b5
5379, 2297
7d70, 7c24
b4fd, 976f
519c, 408a
830e, 1637
0ea0, 5a35
5f62, 050d
3d88, 94bd
8adf, b862
d81d, 7238
e770, 8d3f
a7d5, 63b3
194a, 76f6
b11c, 4ad6
0029, 568d
4e02, da9d
987f, 5f1e
5367, 49a0
5ade, 30f1
5b8b, 28e9
3586, cc4c
a0ad, 1f2f
c210, 0f2a
48a5, 431e
6ac1, 0bcc
5b61, 9a6c
11a0, 9238
b9e5, 43f6
28de, df19
11ce, eb99
b406, b190
278b, 9819
fc11, f6dc
55e1, e43f
4daf, 8e0f
448a, baea
2696, 173d
ae10, c132
dda1, 76c5
1312, ffb5
2d97, b4e0
fa41, 084f
9d9d, 6178
d28b, 2340
cc7e, 2f64
5652, 926b
027e, 3569
6679, 9377
3afc, 6115
2b48, a706
7d38, ad67
db24, de8b
f604, a439
dc94, 2d73
bf45, 46df
dfb9, 595d
eb54, 9c79
4a0a, be71
9f73, 3480
a96e, 7f54
8f63, 1933
789c, bb33
439a, 1631
203c, 2f0f
8522, 8d75
db39, aa68
d8b3, abdf
24f0, d5c3
4844, 412b
ac74, bf2f
a8fb, 1c11
31ea, 0dbf
0a31, 6b50
1d78, cab9
e9da, 7211
82c8, e380
51c8, 2bbf
90bd, 02b4
88fa, 2f41
8496, daa6
061a, c4f4
067a, 83ae
1611, a9df
f862, 2b67
ee0b, 7179
0c56, 5864
a27f, c7a6
ceec, fdbf
bc1c, 374a
87db, b8f2
21de, 5db8
5155, 3b53
59ed, 289b
6623, 3926
d1e8, f22c
0816, f57a
4d94, 4759
c46a, f770
b77e, ea62
1a78, 8d58
dd29, dafd
ecb0, f49c
f045, 62d5
8072, 7fc4
8b77, c11e
4b71, e1c0
14bb, dbe2
99f9, f87d
b074, c235
9a8d, 3ee2
6bb2, 3a1b
496d, b60d
6931, 6bab
f9e5, c2f3
3b1c, f1c3
390b, baa2
8be1, 7159
366e, ffa2
0a78, 205c
d38e, c9ba
38e7, a89e
de25, b1a8
5cb9, 3a9b
59ec, 2620
bcd1, 74fb
dc10, 1430
62eb, c146
b39c, 1291
12f3, 1c80
303c, 3f33
9c08, df60
6a1f, 3b20
385e, 9804
e80c, 3fdf
54d0, 6d76
ebb1, d4e0
69ea, cc1c
24da, 0997
18f8, 8ab2
68f4, c1f8
8d88, b187
9d73, 31a5
c2ba, ed82
d20a, 49e4
11dd, 0e92
abee, db1b
2651, 5203
9dad, 6467
b879, 6506
96fb, 0c2e
7cbe, ef70
927a, a904
5230, ded9
d144, 87d4
1f30, cc1e
b54a, d755
eb56, 8f2b
344c, fef3
958b, f4fc
4f79, f1db
a55f, 3c49
6cb0, ceb9
9a9a, 3470
2fc5, 54ec
ecf7, e04d
9ab8, f7bb
d3e0, 2775
8013, 1292
5e2c, 3914
7855, 7130
a9f0, 1586
b030, bae1
4a32, f939
eb62, dc63
d28e, 3f8f
a3f7, b2fd
06cd, cdfa
306a, b99d
455b, d659
4b9c, 77a0
86a2, d285
76c0, 53d2
bb19, 1f37
a04c, 1fcd
25f9, 02dd
0d8c, 623f
1770, 58cc
2a93, 6760
df50, 160c
e262, 430b
2269, 629e
c80b, aad9
4df3, 1c01
271b, cb44
32de, 9022
3d8b, a9ab
521c, 322a
0958, 8f22
088c, 9d46
fe4b, 67be
190a, d551
3dd0, 01f5
b041, 8246
f1b6, 2110
f02b, f494
92d3, 0016
098c, 07b8
f94b, 681c
bca7, a57e
4cbe, 86b2
b9ff, e515
49d6, fe23
e38f, d5b6
2733, efee
5667, ba73
0f0b, cbcf
462e, e5d9
3a03, 9b36
d838, a7c9
3536, fe59
6a06, 0b03
9a44, 86d6
a8ad, d115
50f7, 9f1d
b641, 7f85
1cfa, e9ef
0b9a, aa47
e72f, 53c8
a995, 1256
56c0, 6265
0006, b0ae
504d, 73f4
d352, bc3d
0e5b, 53cc
4f2c, 72b1
5e28, 9f2f
ad4a, ee8c
bd6c, b4a3
28a9, 9d62
95b6, ce0f
4aea, 74fc
2d59, 0a0d
ad99, aaa4
82b0, e0e1
13bd, 7927
bba6, 7163
6e5e, 34a7
6b97, 9837
9c09, 82a0
1963, 7fa6
1f17, b91d
80b2, 168c
05a7, 8c73
0ebc, 3ae1
44c6, 0f59
6a3b, 9b9e
63f0, 052a
1a8c, 8be6
3f17, fdd6
5c89, 961b
0389, 505f
540d, 6157
5272, eac7
44c5, e465
d09e, 8f09
3ece, 78ea
a168, e707
4b20, 878c
265a, 3333
5c88, 96fe
90df, 5023
0d44, 3149
915c, 2a00
c560, 065f
e8f3, 1711
6e4c, 2037
d7f8, 52e5
a329, 5e0c
8807, ae39
6047, f544
e3ea, 5e75
6d0c, 010a
e7c4, fb18
a142, 9701
8a54, 8575
0fc8, 5e8a
1057, 7309
f419, 5f3f
bf10, e3d0
694e, f0db
e965, a306
ee4c, 4a11
0a9b, c0e4
6df5, cfa4
2415, f3f2
ab64, c200
0c0b, 59c9
067c, f73b
81c1, 1a63
ed8f, b18c
6a87, 6b87
6aa8, a052
7ea9, a45b
270b, 2aa4
5a35, 0ea0
0804, 0c60
de59, 1bba
243f, 4949
f284, f9fb
d7b2, 7da7
d27e, 24ae
c4b4, 1097
1891, ad53
6c9f, 7578
2088, 96f9
ef1a, 80e5
01d4, b863
4445, a816
1187, 4af8
ee45, 742a
74ac, 4c44
ddee, 6fb1
1d8c, dbff
aec5, 50a9
c4ea, fa45
3726, 9358
ec00, c3ed
80aa, d560
efe0, 761a
97db, fa8d
c838, 7bb1
b338, e0c2
2291, 15a4
d69d, 4058
ad39, d1f0
fd67, cac8
b2be, ef06
0854, 03c5
c8c3, 11f2
7218, 05e6
dc16, a3cd
df84, df8b
3991, 1a5e
f234, 2b83
49a7, 1094
4a94, 4675
5953, 513b
627b, 2034
9aaa, c5f9
b305, 8329
ba08, 810d
387b, c738
564f, 25f3
52d7, 33bd
ca68, 6dc7
1921, 85e5
5399, fccb
e6aa, d56c
3713, 9d23
854f, 832c
e0e4, dc8b
397c, 6050
0c2e, 96fb
7811, e4ff
5b93, 1f27
b648, bf7a
9700, 44e7
2bd2, 68db
de81, aa40
e842, a727
e58d, 9a0c
c053, b464
dfd5, 5219
a510, 716a
f182, ad60
3e38, c864
103c, 439c
9096, 1e07
b622, 1a76
1eb8, adf9
92ce, 4734
1a2f, d8dc
4a46, dbd0
6f05, 3477
fdf9, 67ed
0ef7, 1c9e
9608, 3377
9770, 3d0a
a467, 25a2
be3d, a7ad
37f7, 5b24
59a3, 9573
5f8b, f6e7
394a, 561c
d04e, 45e8
1e4b, 9777
b1cf, 8d70
3f61, 9caa
433d, 94c5
0b68, 9c00
10bc, 1552
76e0, e9f3
923d, e479
8343, b3e5
bbb8, 7dbb
5b57, 2a68
3e1e, ca12
13d4, 1fdb
4fc2, cadb
1b22, bddd
3d25, 2edf
4c12, d0b8
31cf, 6436
2a07, 9028
2589, f549
904d, 92dd
c32a, 62bc
5ad8, 26f0
b352, ac57
cf6b, ff9b
4098, 850b
91f1, 581c
0414, 5ae4
571c, 9121
46cd, 4926
4cc5, f3a9
3552, 4361
2160, 5ba1
861b, ec14
52f6, ab8d
b46a, 5d51
57a4, 6a81
47c1, 4e60
2362, bf53
3e80, 64e5
af0b, 1323
12f9, 19e2
6e6d, 2839
9b48, 94d7
ba13, d9a6
3a0b, 96a6
c39a, 7ead
dc1b, 8c60
0799, 2365
9a86, 2710
efa4, 2ce1
2eff, 956f
4ab6, 2e68
862c, 3dfa
168f, b940
25f5, 50ff
dab6, 111a
c39c, 9c5f
8da7, 87ba
d016, dfe5
505d, 097b
dca9, 8359
a6b9, 10b8
eab6, 6f6f
9dd6, 33de
7663, acaf
aad3, eec8
c3d3, 1f22
e863, 8451
e794, 34d2
6a9f, a2c1
4533, 85bd
3f27, ffe4
b6bb, 6cda
e1cf, 8173
a5b9, b0b8
4a06, 4b35
e71d, d724
5e8b, e872
6179, 3375
59ff, 5286
4919, 49b9
7b0a, 7e53
b500, e90a
782c, 60ff
6d98, 1416
1c33, 3517
bb95, 770a
9e12, 5e22
836c, 826a
7136, a545
cdb4, 6e19
eb3b, d859
16a0, 9338
b6c3, 8fa0
ff8e, 27a4
7c94, 9dbe
16c7, efc9
839b, bcc9
3188, 222c
25dd, 56b7
f676, a46d
1f86, 40d3
7bc3, 1176
b880, a1d1
53d8, 62e8
5b12, 67bb
2a90, 57aa
8b63, 843f
c85b, ff60
f8dd, 416f
c065, c061
667a, 4f72
fd65, a5f6
a4fe, 14ee
f2cf, 6432
44c7, aba8
ad9b, f53d
eb90, 808d
088a, c9ed
7035, 7c5f
88e7, 9730
c56c, a2ce
f87b, 5a64
63fb, cdaf
0c20, 006a
2e1a, 9be5
68c7, 2799
e871, 4b93
5c81, bfa7
facc, 13a8
20f8, 358e
9e16, 58e3
8254, 2eaf
7adf, d4ba
7869, 6a1d
327b, 5c7b
6ffc, ccd0
ee28, a1de
c914, 6f17
1c95, 155f
e15e, b4e5
f4e1, 21ff
ff22, 53f8
3f97, e704
ad8b, 484e
ef8e, 328f
024b, cf84
e300, 163a
f95e, 0034
6a8b, f1fb
fb5b, 1eb3
7547, 16ed
3e1e, ca12
7e7f, fd2d
0462, 6b38
0f70, 69ec
840c, 8e6f
e0a6, 7e64
5a16, 97e3
8eae, 81cd
5634, 553b
5e1f, 9d1f
77a4, 3cce
fc09, b9e4
aa6c, 08b9
da55, 8ea0
58ed, 012e
7ff0, f801
935f, 3c90
985c, 5401
624b, c3e7
1478, 4dc9
d1dc, ee40
8c89, 8688
49b4, d21b
36f7, 00be
3c31, 01c9
c220, da88
dd9a, d9dc
17f1, bb2a
d720, a786
f597, 0f92
9973, f738
d165, a0f1
16cb, b2b5
431e, 48a5
fbd9, 5fd5
6d5d, 9b59
5807, 316d
6faa, c1f1
88e6, 4933
b0e8, ac35
ce20, 518c
6079, ad7f
b7a9, 483e
746a, 4b90
feb1, 51f0
df73, a1c2
7dea, 87e1
e3fb, e3eb
8a4b, c45f
af2d, a9d7
5ffc, 55d0
da58, bdae
fa2a, 57b5
b21e, 0ea6
4624, 85dd
98ca, ed0c
0e9a, 10df
c3d7, 55bd
641c, 2b8a
e4cb, d174
f29c, 369f
0146, 3d2a
c7ea, 097d
e18a, 3239
e757, 1db6
d053, 46cc
381f, 4f8a
1a72, cdbe
5b4c, 3cf4
c459, bbda
2fde, 3cd2
c891, 79fb
015d, eef4
1741, b4ae
9327, 9fbd
477b, bd16
13db, 1f14
31ef, 38d0
0fa7, 0baf
b14e, 18d9
0c7f, 3ee1
2b72, 9a0b
3d89, 39ba
28ce, addb
89d0, 45f1
70ab, 7c39
4a5b, e852
d786, a823
707f, 75cf
d61d, 8cb7
d30e, e094
8535, d003
49ad, bfad
7bf2, 1419
a54f, bf41
270e, f4ae
35b8, 93d2
f159, 1411
83e1, 3cc2
1bcb, 7138
611c, caea
92fc, 9cb1
5009, bd76
7d01, f4f2
dfeb, 420a
44fd, 64a8
4beb, 90b6
6ed0, fa13
fc0a, 62ee
a8dc, 495f
ba34, e772
411a, 8f31
782a, 8783
d78e, 44fe
90af, 5b5b
aa7e, 47d6
7c1f, 802c
11c7, bd92
4464, da67
fac8, 4aec
f500, 93ca
1875, 5bd6
edd0, d8f1
0533, 0a6b
19e3, b68a
9bf7, 98f2
2e8e, 2d47
ab3d, 8478
4f7d, 8559
d391, 4f5c
2945, 99e3
70f1, d026
7d36, cba3
c27a, aa22
1bb2, adb7
13f9, a835
a949, a989
1fb8, 1329
f5a5, 1ec4
13ef, 75fc
0e24, dc0d
9fb3, d312
86c6, 411f
1383, 0406
4279, bd22
c3fb, 09ed
9599, cca2
2d52, 6b3d
b862, 8adf
8a0f, 84c0
0c1d, 5fb8
b646, 24dc
e6ce, 4f92
d9ff, 75e0
1485, 447e
1c56, 1593
65c1, 0551
52c6, 584c
7f36, 1953
c117, 0b42
fc86, d8f4
ee2a, 6b18
eff5, 16ea
de63, e9cf
0f9c, 027f
8acc, 71cf
e3c9, 609a
7b85, f47b
783f, 794e
829a, a65c
b42b, 5756
2472, e71e
f5d5, 3828
04f5, 984c
ea26, e0c3
75ce, 620a
d342, 2fe5
06ec, 65e0
8607, 8058
fc76, 74fd
0ab0, fbf1
1207, 9e7b
d202, 7c57
ad1b, 43a8
8652, 6e56
b71e, dd17
5755, 9895
3bf7, 38f2
192e, 12b2
8b97, e738
dd21, 4b8f
85f0, 13ba
1174, 66cd
e49c, 23c8
e7f6, 7e20
08c1, c47a
0932, 599d
4d96, d761
4880, ba40
b908, df9e
5630, 5f55
2676, 3fcf
d9d1, ea9a
d31d, d2bd
f962, 2561
6fd9, 1a4f
ab3a, 7896
828d, 2ffc
60f2, c542
cdb9, daab
77d6, 7be3
95c7, 06c2
1038, dcc4
7071, ca70
a6ed, a6fd
c325, 65e5
3a13, 3426
301a, ed45
671e, 11c4
d071, e653
1148, 5d74
981b, 91e2
864e, e0e8
acf8, 1589
9689, 5cf8
b869, 5ef0
fed2, 65d0
efd3, f7b3
7654, 1952
3ec5, 330e
740f, 5a49
8f8c, b020
6855, 0435
7bd0, fe97
a3e2, 73f2
1a48, 0646
3016, 2bb9
d438, 1e7b
cc6c, 059f
2ea1, ecef
a630, df90
b28d, 7387
c686, cfd3
b8db, de82
4dab, d42a
12cb, d562
d4af, 939d
a112, 42f1
eb01, 4041
ab7c, 13b5
fc3e, 6f34
1c27, 588f
23c3, 5841
f7c6, 1d48
d58d, e0eb
c761, 3d53
1e3d, 81fa
ce9f, 4cd8
beea, d6ad
17a9, dd68
bab8, 4e2e
2a19, 95bf
50f1, 4afb
675c, 154f
720b, b923
fd06, cb33
286d, 6c36
8ebb, 4d29
ab43, a976
b127, b84d
7a9b, 8772
fa59, c3be
12a2, a611
a0c0, c16a
bee8, 87d7
1e66, acdc
3f1f, ccd5
429e, 4059
70c2, 1699
1611, a9df
200d, 696b
7881, f28a
dcf1, e2ba
ef1c, 3b30
6eec, 018f
ecfd, 4687
094a, 7daa
bf11, 40f3
ebfd, 9c26
70e5, b2e1
e8b8, 71b9
b2eb, 03cd
6d8a, 8226
1b70, 9f08
ee68, 1e02
63f5, ff86
c8c8, 6138
65f0, a687
2194, 201e
4b22, 4b8b
947b, ce02
14f7, bb27
bac0, 7c2a
847d, 7172
213b, ed26
343d, e88b
5cc1, 03c6
bedb, ed48
b315, 9e66
27ae, 0da2
4754, ed6b
9d67, 68c4
bbc0, 4ff1
f84c, 9d83
6fe1, 7e66
c693, 00c1
15af, 1c75
9572, 7baa
0b36, bce9
def6, 782f
50f0, 3889
8146, bdfc
3600, 86c4
b5f3, b38c
ec7c, d55f
429f, 8396
06b8, 59bb
41de, b88e
b142, 8ad7
0933, 3f50
dcf2, d589
16f8, 16e8
9beb, fe1b
de08, f56a
2178, f27c
0f2b, b642
9709, 5d0e
54be, 942e
d6b0, 1626
b2d1, 2b3a
89c9, 81c2
1f04, 556c
5c69, a5aa
a191, a38e
1fec, a046
9faf, 20af
37a3, 6ff2
18f7, 15cd
5fe2, 6774
e070, e635
1a5b, d76b
9fa9, 93a8
f618, 075a
6595, 24ea
fa96, 0b96
da68, a4c8
0743, 2ef0
b705, 3af8
cfe9, 0c5a
45b1, affc
5188, 0de4
f996, 320c
f7c7, 3809
2a62, 910d
e878, 7a1f
d1b5, a1cb
4dc3, 8e96
d0bd, 40d7
1164, f956
ded7, 73cb
bd41, defa
b1f7, 8df8
b0c9, e93d
f3ff, 272b
0b00, ba44
cf41, c6d0
1506, 6648
ef6f, 8ba4
9f8d, 32e9
47b5, a4f3
93f0, 7de1
d2dd, 447c
deed, 2891
2374, 905e
79b3, aa27
0cf5, 0d32
5a68, c9c1
4e5b, b799
c9f1, 04d8
7268, af9d
c1e7, 3de8
cf1f, 6cf5
094c, cbb7
3452, 340d
6b40, 94ff
c08c, 65f1
dc92, e7d4
b415, fd92
6a8b, f1fb
0455, ac94
64b5, 3f51
6aa2, 3c3f
d1a4, 84c4
feee, f742
e060, 4ca1
78e6, b233
e6ed, 8c8b
2347, 6918
b458, 8811
25d1, e2fd
7d3d, e7a7
6e4c, 2037
2997, a335
8712, 8313
d0c6, 90a8
d803, 40b5
3ea9, 47b2
0268, 03a2
4ac1, 52c7
d20a, 49e4
39b8, afdf
e34b, 7001
999b, 3257
b2d4, b3db
3d1f, 920f
81a6, 8519
8eaa, d9bb
5c9b, 6c98
f06b, 239e
689f, 2d76
e17d, 48cd
b513, ca46
e77e, a452
76cb, cbd4
61ee, 2c3c
5a92, 0b9b
0353, 530a
b158, cef7
db4b, 43ab
1110, 6898
2383, 2ff5
4a40, 41b6
3b70, 6f14
10db, 5919
5105, 9a06
7052, 6ae2
2779, 5c60
d0c5, 4104
8af1, 8d7e
7685, b9ea
adea, d7fc
5370, 6501
d630, a991
4360, 250e
57ab, 3d78
827a, 837c
d433, dd6f
dbff, 1d8c
8482, 5835
e612, d1cf
5227, 5f1d
aa63, 5377
2545, c58a
158c, 738f
c9d4, f21b
ff89, 09f8
bb87, 4a88
22fc, 26da
2793, d4e9
a8ec, bc6a
35ba, 894b
a9d7, af2d
5e6a, 27ac
d473, e4a6
0db7, 6718
c934, f2c7
c5c9, 5674
afd7, a9dd
0423, 6900
c999, 42a6
30f0, d827
f056, 00a0
609b, 5f68
678e, 931c
5cea, 8de4
f404, f716
a6ec, a3f6
5f64, 6c69
42e5, a00d
391c, fe89
b750, 179c
5da4, fcef
06a4, bc1b
e694, 4c98
41de, b88e
5239, 15c1
3a5e, cb9b
e902, ee0f
20f2, 968e
4213, 6ad0
6306, b677
c910, 0f11
1587, 3cf3
