25dc, 1347
3ad7, 9b4e
1209, a625
6334, 4d04
e442, 4680
30fd, bcd9
cf11, b3fb
5e59, 26d1
3a7f, fc88
9651, 31e0
e81b, 6529
6866, 56fb
85b0, 5e8c
0fa9, 2abc
34b9, 04e8
b562, 348d
7074, 011c
4aea, da80
2809, 0524
98c5, 09fb
19b2, c819
2031, ec34
37f5, bf08
61a7, f70a
3aed, 1b56
464c, 75cd
8de2, 28f9
88c4, 6d88
1e85, 8661
17a2, 2d98
d05f, 2972
ecc4, 4e84
0ec2, 621e
b35e, 095f
a966, 576b
a696, 7912
2620, 8f30
5e43, f961
8505, a561
2cfc, 6182
c5c0, 6192
19e0, ddf7
0d9f, 6d38
5373, cc87
2f90, 9bf4
2bb4, 306b
61b3, 6fca
effe, 62b8
d968, a680
19b4, a6fa
3edd, 33ab
22e4, d4fb
fcc4, 7b5e
e633, e42f
1204, 4054
ac7b, 0e62
89c5, 1c71
db62, f9c9
71b9, 0216
2614, a2ed
4729, fb4f
f89d, edf4
9a24, dd92
ccbd, 17c7
e166, 8b8c
705d, bed4
19ca, e355
987c, 43e1
ae5b, b794
3ff1, 1233
d3da, 16ed
e074, 5a83
9a08, 913f
541e, 91d3
4a7c, 9fda
5e3e, e7f8
5bdb, 8a3e
55fe, 7ae4
ff25, e7ea
ba84, 4b1b
792a, fcee
ca7c, 6b52
a038, 12c7
a6c9, c5d8
3ae4, b60d
d151, 3d83
ac94, 91e9
bfcb, 4cfc
92d6, e4a1
f03c, 9a0a
2e5f, eee4
b9d7, 80d7
c14f, 62a6
6722, 8374
948f, 2ac3
73a3, f878
c188, b40e
6775, 3e02
8da1, af5f
db58, 39b0
ca82, 9258
3c13, 716b
1035, 36f2
129b, 8024
5d99, 5dff
bff6, 24c6
cf5c, 219e
6c2b, 0dc7
8656, 1c1e
b5d0, 8c54
3f20, de1e
cc53, f049
150b, 22aa
fa38, 1940
51c4, fbc9
33e6, a088
a78a, bd1a
3870, 3e8a
ec2e, b1ad
d7ec, 7f55
d2e5, 6826
3b12, 74c3
a895, 227b
2835, 19d5
39d5, 18be
2918, 069a
bb22, afb8
925d, 9ebb
ce13, 4043
8c00, ea3b
e082, 52fa
cc18, 2ef3
feee, 2c52
7210, 7f1f
a111, 0c08
4d1f, 1d44
40a1, 650c
013c, 3329
d61e, 2c9d
731e, a3db
5ea3, bf49
f3df, 5a17
f67a, 01c1
7399, 829b
f3e0, 7a77
a3ff, 55c5
7b57, f254
7c10, c163
4e31, 2c99
2b48, 9243
53ca, 59db
cf60, 38cf
ab8a, c5b3
7a7b, 8e92
d04d, 6397
ba17, 09a4
392c, 7ae1
ee54, 1bb5
5f16, b9fe
2ae8, 9225
c706, f842
b191, 8215
0d53, 04eb
c732, 37a3
82e4, e196
9297, eb36
1cca, 1ea2
f047, 5ed1
adcb, 06d0
d482, 73f7
fa93, 5a9f
1cbe, 8723
3455, 7ae2
ff00, 6ccb
02d8, 2648
49ba, ab3f
f630, d01f
9547, 3331
e33f, a54e
185e, ae16
9e42, ee1e
5a1b, 1a5d
1dda, 9909
a840, 2516
2c6f, 6e57
b65d, 3bc7
3af8, b92f
df21, 649f
a632, f2ca
6e7a, 6773
0fd7, ce21
a1eb, 8884
ea63, 1b05
b806, d229
3058, 3dee
121f, 1f8c
bfa2, 1d3a
9c83, a622
0b0e, c1a1
1833, 45ee
1f1d, 3de8
fbe9, d1e4
c869, f7c6
bd91, e380
c76e, 0fee
f41a, 525f
a946, 7bbe
1f4e, 1cb9
6ff4, 3687
737a, 6193
270e, ea25
8860, c698
f3b6, 95f1
f8fb, a8a2
aa76, 6789
71f9, 42e3
9551, f398
b38a, 43ce
a066, 68cb
0087, f498
cc03, f5a3
7d77, 3999
1df9, 8d28
79cd, 7602
24df, 1f9d
b809, 88df
a8c3, 71c8
8da4, f11e
5545, 9bf9
b741, d5be
4c1d, b92d
7629, d687
5118, 3dd3
911e, 70f0
400a, 9eea
a83b, 6063
8b25, c6bc
5f9f, 71da
623d, 036e
ed59, 5715
2705, 2130
af54, 4597
5dc4, 8182
d6fe, ab8c
baff, 25a0
2093, 5bab
e997, 6b85
de1b, 598d
cfd3, 1af1
6dfe, ab58
e7ac, d635
e03b, af9b
3ef8, 475f
c9bb, f43a
5c84, d997
f6f2, d62d
6e72, eaf9
64fc, 0d1a
d979, 46bd
3139, 6d5c
46da, 955b
46a2, 1c2a
25ab, a000
0d8f, 3399
e356, 8a1d
666f, 38f8
bba7, 912c
cbef, 122f
6291, 9b07
9c26, 1046
b94f, 56c0
75df, 3eb5
dc5e, dfb3
dcf7, efe3
75b9, 7bc2
b1a0, aa7d
13d9, bfc1
1de9, 0460
5a4d, 185f
c0ae, 443c
32ad, 6259
0599, dbce
cec8, 0a5d
493e, 0b59
9093, 6903
22fe, 0c96
1dd6, 5c20
00d0, 4ffe
21e1, 5f77
8e0e, 6429
de99, 0d0d
09ea, 7185
1d02, b072
0008, 8b5f
e27c, 0945
9acd, c472
2dbe, 0b1b
2c98, 194e
dbff, e05f
4413, 5ef4
4bd7, c64d
f16b, 1ebb
c592, eea0
2f5e, a770
8595, f060
83bb, e1d0
5783, 7c39
20b5, 38ad
a2d4, a2d8
0371, 0970
b9c6, 35ff
6426, c496
001e, d6c7
aaa5, da3a
3188, db61
928b, 29d7
14c7, c42e
63f7, 6e3d
6926, 4d1a
4394, 99af
5228, 61ae
9694, 5cc2
459e, 94da
1565, a531
dae1, a2e2
6623, 0d6e
b2df, 5def
6eee, 7752
8671, bab3
35c5, 30cf
377e, 1c1f
b07f, affe
e9c4, fd1c
8fb2, 8f6c
0e04, 77f9
68b0, 4226
138f, cbce
daed, 1e12
de4a, 7031
95c6, 1064
f103, dc89
081b, 8545
6efa, dd00
f106, cd3c
ac57, 6db6
4147, cbaa
3972, bb0c
19db, fcbe
b6ce, 2ad1
a03b, 8fba
f600, 41a2
4527, 87ea
dbc6, 7f5a
17dd, c89a
ec28, eb0a
432d, efcf
c263, 778e
fdf0, 0dd5
2769, 0dd6
c43b, c84a
9133, 2490
686a, a380
5788, 15cd
17f5, 26e3
89bc, dbe2
7351, 4306
f566, 30c0
bfd2, 4022
8376, 7cc5
33a6, cee1
2964, 2bf2
6dda, fd0f
03ac, df7b
a3c5, 69b0
c263, 778e
2770, df45
382e, bc9a
bffd, e3b5
7d64, 7fd7
effd, a0df
cbd0, 0f18
b27b, 5ee3
a7f0, 730c
33bb, 3709
9804, 9486
79e7, d019
53a9, 4d77
e63d, a39d
a342, 01b9
b565, 12f2
8d38, af08
2eb8, 8411
c089, 7188
078f, 0ec5
bbff, 1214
8fdb, 5559
0327, 7d8e
008f, a1f5
f46c, 46d3
b6c6, 319a
0947, 4cb3
68fb, 81f0
8e31, fd24
8016, b4a1
3eb9, 3c08
2955, 1b8e
1ab6, 18f0
0aa1, 3c8d
7593, b9a5
ee0a, be43
9624, 2018
912e, dd6e
b14b, d143
5a7f, d598
53aa, 6b5e
e8c5, 2a82
9852, 248a
3fb9, 4cf3
2fd4, 0471
5c73, 5076
a070, 579f
89a0, e2d9
66ed, 8eb3
93a2, e878
1e7d, ce22
800d, a543
ca4e, 7d54
d109, 841c
dc09, 3f22
3690, cd2f
d78a, 22f0
e0b2, 454e
8b03, 47af
53b2, 994b
28af, 324d
b0fe, 3d4b
0c8a, 56b3
d9b3, ecc8
29eb, 3d03
9188, dc2b
05c4, bb7d
1cb8, 05f0
7081, 3270
03d0, 3798
b761, 9be3
4745, e8e6
84a8, 5262
6cdf, 59bc
9938, f8a9
7bf6, aba4
9c6b, 9824
3893, 8057
2f05, 5355
83e8, 758e
7865, 0b7b
f60d, 9c59
1ab2, 7307
c3bb, e535
b8bb, 63bd
89af, 6f2b
f196, c3d9
a722, d882
831a, b19f
7db0, e78a
8146, 3290
d2d5, 4c52
2cc1, f856
4bd5, 2ce2
f58c, 5fe1
b99d, 3d26
c9fa, 7b3e
e87a, 4410
e8df, 9a5b
9827, d1a9
51ee, 31d4
5c25, 5537
6bd2, 41cd
f721, a3d6
13c5, dd69
f4c6, f682
94d1, 5b4a
0ac9, dd14
d353, 122d
e9e8, f772
8928, 3a97
bcfa, b613
0028, 285c
34ee, 1bc0
e899, 2178
622f, d8ef
9c0b, 3351
9616, d1bf
1466, 3e61
bf69, 8819
66f2, bc95
dead, 5b27
a498, 814f
b153, 002f
f8d5, 9f91
f615, aa97
5938, b2a2
91c9, 0451
e365, 1075
e6b4, 4975
cbc4, b09e
4b58, 0fff
e16c, dda7
236c, c28e
723f, 8d11
5f12, d6b1
030f, 6bd1
c40b, 2926
9de5, caa4
18fd, 18f2
dc74, 5675
6187, da71
0133, 02b9
8de0, 6ee0
dccc, d80d
7f87, 5946
29c3, 682e
9779, 27ad
903b, a080
c511, 562f
6660, 6d81
1c30, 17e1
b20a, a593
1ee6, 115d
454f, 109b
68a0, a0fe
dd8e, cc4f
3eed, cc3d
9e1b, 49f3
8ddf, d157
0101, cb08
3e6a, f527
0c27, 45a8
2359, 8530
88b9, 990c
76fe, 3d33
353f, d038
1777, 16aa
fc76, 33d8
ff5e, 1c50
7f7b, ee6c
c3a8, 9277
977f, 508d
2e64, 962d
bac7, 7bcb
0a2c, 9f24
c79b, 6d32
513c, 073d
02cb, 7f10
b519, c359
47cb, 0504
8877, e9d9
32be, ec59
aa74, 0c32
f9f7, 1f5a
c94a, 31a6
ff79, 0502
a452, da5b
cb3b, 9860
b07a, 91f7
79c6, 30fc
4136, 83fb
1a43, 7603
6673, 91da
9372, 71c4
af3d, 05c1
db1b, b64a
e07a, 9f9d
5f86, 3f47
5a05, 4744
481b, 7c80
b08c, 1c2f
35ed, 016a
fe88, 5efe
f468, 66d7
f76b, a2df
db5f, ee01
04a5, 11fb
5912, e2f9
be95, ea7a
f578, d93f
8ca6, b94e
74e3, 32df
32b5, 896f
9bf8, 9844
a7da, a7dc
5d8e, 11c5
9896, baf0
1e8f, f3b8
7036, 19c5
29ac, f892
410c, b057
db1d, ac5e
6987, 016c
9402, 2852
dc3e, a8ab
5cee, 9231
018c, 6f8e
1189, f5dd
01d0, dc07
3cd5, 05f1
8bfe, d03d
2b33, 221d
d3d2, c7de
aa02, 7b60
6df2, ea0c
6f44, 2bc3
5c01, c570
689a, 0c2d
ab2f, 5f7d
5ed0, 569e
d1d7, 6395
8576, c02a
f3fe, 2fa6
6359, 2d14
a26e, 8f86
7b56, fb41
d0b1, dde7
5db0, 1108
de66, d2d4
3ae9, aa9b
5381, dce2
b0e6, 2cc2
d062, a51a
7b01, 9577
ead0, dea2
87b7, 5270
0994, 1aa7
b831, c57d
33ac, 7540
7701, db76
eda9, da54
6adf, f00c
727e, 5396
7f6b, c1b7
430b, 4221
e7e9, 9cfe
64a5, 5548
b608, 61e4
9a8e, 4e65
1454, a43d
e9de, 7833
5219, 3180
b1f5, f226
615e, a427
3416, cc90
8d6e, c35e
4590, e06f
7a36, 7aba
95d6, dc5a
31af, 72bb
1525, acec
df17, 847f
4e9c, 715d
6504, 793f
6ea5, c32b
e2bb, 8173
223c, 6c03
d8cc, ba68
35c5, 30cf
4f3b, a340
952d, c5f2
6451, 103b
9304, e7e5
5f30, 2b0e
54ca, 0e90
9a7c, 4558
1ac8, 7ccf
9fd5, 821d
991f, c51b
5688, 0ac4
c5cf, b080
460d, 0f9a
45eb, 4948
a253, dc71
98a6, 3d9f
0b0a, e508
746a, 06c4
fc2a, 177a
60b8, 1af3
40ff, f743
202f, 7514
7afe, f13d
2b84, 6eca
449f, eb50
02e6, 5812
4efe, f0f8
ee5f, 6698
748b, 9b31
afec, a8d8
6cfd, cf1d
3084, 1eb8
5d4b, 639b
52e8, 615f
76ed, 80ea
1d1d, 8bb8
ec26, d20e
e59b, e916
534f, be41
374c, 5272
d9af, 20d4
2adf, 6e9b
7b54, d715
8e93, 7991
e444, 18ba
f84d, 74ad
3194, 2e99
c591, 1d1e
a452, da5b
d74f, 6819
59bf, 5f80
41af, 4500
e3d4, 9a2d
6668, b193
b4c5, b0b2
82ba, 542c
9838, d12e
a6f0, c0fa
abeb, 3527
7e77, dbdf
d472, 25cd
6830, 409c
0b2c, feb0
c2cb, de7c
bc5f, 7329
5a73, 7b24
fee7, 53ff
2ed0, 2c8e
54c2, 4a4d
a8eb, ff01
5c8a, 153d
b4ce, 1e0b
216c, 677e
9c09, c057
63f6, 4e13
0df0, b516
a5fd, ec17
b130, 51b7
389a, fbc4
160e, f8e6
c402, 9dc0
78e4, 8f2f
b50e, 1f8f
d790, 8eb1
b286, 27db
f383, dcc3
a8b9, 9949
fcf5, ed9d
246f, bef8
a9d2, bd73
a3ab, aadd
7b03, 39cb
21a3, beb7
93a0, 55a5
5c52, eb74
acfe, 7e10
709a, 7adf
25ba, b895
a5d9, 87c2
029e, be05
d96d, f67c
1efa, 2dba
b5b4, 79dd
8e08, 2cac
af30, b61b
bdb0, 7e07
21bd, d86c
2b9e, 983a
41bd, 7c92
814c, 0e73
dd21, e603
cd30, 9a18
d787, 0db6
631f, a1ef
c477, f86d
892d, f430
2906, d858
9539, c60b
b742, 0f44
7d98, 9c8c
d53b, dece
5f5a, d004
9781, 76c8
9582, 41f8
cf58, a826
bd79, c38f
6862, 203c
15a9, b640
1aca, 026b
a14f, 0d88
3162, 3a51
debe, 3a00
6a2b, c424
1104, 9e87
84ad, 2f64
ae68, 681e
966a, 90c7
d1e1, be64
a667, 9126
3f30, f3ae
1959, 565c
5c6e, b9fb
19ff, 0d76
0a91, 0b13
eb6a, 63e6
4c51, dca5
c4d2, 03c7
70c8, 10e6
04c5, 0314
45b8, f281
7a25, 4c76
3d21, da3c
051c, ab67
e770, 4479
427e, 8059
b935, e961
c8b2, e875
6b07, 3434
1ff2, 5c46
3819, d8b0
7a24, 0217
1c87, 9fbf
64b7, 7894
40eb, 85af
ba98, 6b0d
0c21, 2b83
0a16, 96c1
32e9, 62dd
01da, 04ec
3223, f142
82b8, 5c21
cb56, 0b42
16e2, 915f
63f8, fe9d
98db, a7ef
0173, 1147
b6e3, b28f
bfa2, 1d3a
6b6f, 704c
3982, 0058
9539, c60b
7221, 6fa6
7015, 2a56
44ce, 41b0
1bf8, 6b3e
9f70, 2f58
e0f2, 1d90
9490, 4442
00e0, 3221
9898, 375d
4afa, 1b39
738d, 9eac
8d1b, 4ace
7f95, ddad
b5e2, d0ae
3929, cb94
b883, 7248
668c, 1a16
97d4, 25a2
08a6, e5f3
8f81, 23cf
5bd5, 8c4c
59d7, 42e6
f7a3, f754
8fba, a03b
2ab1, 8eb9
ef38, a3c8
495c, 468e
9fdd, a05b
e7ac, d635
7639, 0bbe
724b, bf71
531b, 0422
78f8, 5e34
36a4, 8f71
3a75, 5b68
f134, 6b9d
f682, f4c6
1356, c398
341e, c827
5586, 6ea6
83e9, c913
4573, 1097
b4da, c2d0
9410, a041
85e6, 258c
3b45, acc8
e2aa, 1001
00bb, f3fb
254a, 67d2
9983, e0b9
8116, ff6b
a577, 40a9
ae97, ff80
dec2, 69e9
0249, 493f
12f7, e935
6fec, eceb
88df, b809
d25d, 68d3
284f, 4511
20a5, a924
bbdf, 4143
333f, ee6e
b5e3, 07bf
f9d3, 54c7
7ab7, 316e
6aae, bded
6d1b, ab6d
5100, 7af4
aed0, 7e1c
91df, 081c
bdcc, 9d3e
81f0, 68fb
4af3, d92b
38f6, f12f
4706, 74e0
7fc8, f33c
1b1e, b983
f0c9, 3260
4550, acb4
928c, ef3c
2965, b504
91c1, 2622
983d, f13b
2406, b860
88fd, f131
f980, f638
445b, 02e5
8b6c, 0fef
33e1, 8c03
9ad2, 5be7
9a9c, 1d00
930f, 6e7b
e168, 7032
7397, 020c
5ea7, d980
09c8, 686f
0735, 9823
118e, 4d12
59d6, 65c8
3d52, 04af
9ee8, 8f1c
6762, fa96
cb6b, 7ad5
300f, 10bf
4158, 1445
754e, 3c5b
18b4, cfd4
fcf7, d25f
0589, 840e
f53b, aba5
687e, 405b
0c79, 682c
04c0, 33e8
4b2b, 5570
83ee, 5c37
e2b5, 96dc
b7b0, 7af5
e1c6, 3625
2c2d, fa06
8af0, 92b1
4253, c58f
e54e, dbc0
e181, 2b2f
8475, d893
864e, 43d8
fccf, 3900
e867, 4d09
6c01, fdd3
8065, 6b56
80c0, c515
35b9, 358d
d85c, c072
be81, a1e6
5d75, 471f
549a, cfd8
b0d7, 482b
9dba, 2934
a840, 2516
50cb, d877
6af0, b92c
4595, a060
25b3, 60ef
c66c, 970b
103f, b3cf
d26f, 7441
64a1, 0587
a009, 6f7c
56b3, 0c8a
8bf3, 1e23
bc82, 2719
b3a0, 420f
3229, 9770
a1e5, 40a5
c92d, 0bda
7eec, 0487
866f, 45cc
9540, d500
f4b8, c2a2
af08, 8d38
ca1b, 116a
6a93, b1e4
4522, 13b9
57d5, 2b6a
56e1, be4c
a2af, f2b3
db81, 2c5a
45dd, a9d7
02f1, d664
6a55, 62d2
0203, 968d
2208, 18ac
c572, 9f5b
b519, c359
892f, b69b
663f, 190b
f095, ef46
e08e, 41aa
7136, 0bba
09d6, 459a
cdd2, 237e
0595, 8f97
ec63, fc46
0a7a, 8f0d
b6b0, 460b
5b63, a8fd
f6dd, d3f0
1504, 5fcf
6749, d0a4
dbd4, 7529
68bf, c821
3588, 52fb
275a, b99a
aa22, 2881
784f, f7a2
6499, 471e
002e, 44dd
0a7d, f890
09b1, c449
e041, b33d
8a3a, 0df9
6b9f, ce84
9715, f1a3
bd53, 9451
293d, b298
2e17, ee31
ef70, de1a
575a, 9eb6
30da, 413e
1bb9, bf92
537f, e2ad
97b4, 99d5
dfb7, dec3
c295, 3947
a32e, 18df
aa04, 5c08
3c6b, 822d
00ef, 2f86
8f25, 09cc
ee98, 9f3e
ae3f, f911
ad5d, 78cb
8d3f, 74f3
4533, 8866
f304, 8c20
713e, 9a68
e144, b96d
b638, 4e9e
a078, 739b
9666, 912f
c6a9, 477f
fd72, 6baf
8bee, 96c0
c4cf, f8a2
4795, 8ea1
3d0e, b834
e78b, e71b
507f, 92d9
789b, f99b
bf42, 31b7
2efa, 38fa
c480, dc0a
19f2, 10d2
0e78, 2cd9
3655, 3e11
1836, 033e
d2dd, d8a7
0d01, 6879
33b8, 12cc
0ddf, 974c
3a0b, 5022
ec50, a912
84f8, 7f29
3562, 593e
ed07, e70b
5501, 709e
3630, 312e
c9e2, c1d3
7dd3, 7a5b
b43a, 77ce
c9d5, 98be
c140, 42a7
69bb, ade9
810a, b34d
c166, 40d6
03ea, 25f0
f02f, 1180
7d50, 3b5a
eb64, e4b0
bf02, 7f8f
cbe3, c7dc
1dde, 0b00
9a70, 9984
3b0a, 6170
8a20, aee1
53cd, 1f06
2f30, 3a40
e6b7, 65f1
fd22, e10f
a55a, 7421
9ed2, a796
bb62, 4ff4
d58d, 14e0
f6c6, 4c20
32fb, 881c
e7b3, d1e5
5044, 3528
3cca, 9e1f
26c0, af0e
7564, 4541
c627, 0839
04ae, 09b9
ee54, 1bb5
1757, 1933
4125, edb6
949d, 7a09
a5b6, 92db
e22a, acf3
c04b, 4884
265a, 950a
ba60, 7139
4d48, 7ad8
4eee, 347a
35d5, 6ce6
75df, 3eb5
63ce, 7ea1
3b0e, c5e4
4947, 7bd5
e0d2, 72e4
50b1, 1e59
33e7, 7e48
85e0, b5ba
d760, 995b
2473, 0084
046a, 93e2
8b01, 3f10
65d1, 818d
1d5b, bdc1
dce1, 5fab
ba87, d1d0
d2a3, f5c8
8474, ccb5
6abb, 9239
b90b, 3b1f
6893, db8e
3a7f, fc88
f35a, 1297
a45b, d462
2ed1, c47b
e0ec, 07bd
1924, df0f
6894, 5d0a
776c, ffe1
5fc6, 509c
8e13, 3043
2095, 4fdf
121b, cdfd
5898, 1e8b
1c19, 1389
6d5d, 9aa8
5d3e, 2d5f
03a0, 7026
c340, 7f5d
9b39, 8a4e
8cef, e0d1
94e2, d802
42b3, 563f
6639, e803
6a8b, 0a4b
4cd6, 8308
3241, be98
b0c0, 1731
d2dd, d8a7
fabf, 5f3a
e65a, 0713
6ee2, a9d4
220d, e3a1
d7ef, 39e3
bbae, f3a0
4f37, 1964
36f7, 7eed
129f, d5ac
f8a5, 8a49
a1da, a1dc
50f3, d5dd
d68e, 1b66
d37f, c6d3
6c03, 223c
ace5, 087b
7d45, 1c95
67ec, e55b
9f5d, 76c5
d9d3, 5474
b647, 14b9
a798, 37d4
5d80, 865d
a502, d3ef
c378, 5d66
df87, 65ed
f54b, ab4e
1a3e, 0724
af9a, f5f3
4346, c720
7aad, 04b9
5a4a, bda3
7823, 4adf
70db, 4f93
e654, 980f
6da0, 2cd8
49dd, 4466
e9b1, 5329
09ae, 3522
2c7d, 29ae
6e21, c178
35b0, 59ab
20e5, c607
9c83, a622
d6fc, 3489
f4bc, 0572
1038, 6b19
7429, 6b00
a538, ae17
0b08, 9b91
0c91, b085
0bb6, ce96
6c19, 51b5
75ab, dfab
996d, 49aa
599f, f767
e33e, afce
2bf1, d19a
d9b3, ecc8
ff49, 3bc2
b785, b78f
5b18, 1b6c
a119, e27d
d0a4, 6749
4fcb, a863
eabd, 39fb
29d5, d447
3832, 21ce
2de7, 70f9
a0b8, 47b6
81cd, 952e
470b, 0129
00b0, c07b
52b7, 9f75
cb27, a8ee
ae85, dfb4
d551, 9c16
f95a, f1a0
9d1f, 0797
ecd1, 58a3
3475, 5b1b
5764, fe77
f136, c3f8
76b6, 2b06
609f, 397a
d920, 1a61
7bbe, a946
8368, f591
82cc, 6157
ae7c, 6d46
6f68, 0b9b
26cd, d0f5
2949, 943d
9dcb, 8389
5c04, d7b6
fd62, 29d6
d2f3, a9d0
bb63, 88c7
79b4, 194c
d6eb, 07b9
0f27, 9ce9
6623, 0d6e
4ea1, 0ade
614f, f1c0
8f43, 1c59
2bc1, de4e
dbba, 6646
4397, 7e82
48c3, a293
fdee, a974
2e9a, dab3
2103, 21cf
81cf, 244a
1818, 8ee8
bc57, a1a8
5b71, e058
9655, 3233
9cab, 251c
5c17, d915
08dd, a4b7
88a2, d84a
4981, 5fc0
088e, 4e75
efdd, 9af8
8ae4, 2d34
66bc, 5511
6dad, f464
186c, ddf1
22b1, b4f4
0c1e, e3c0
61a7, f70a
4166, ddc9
da51, 0117
8874, 256f
2ab8, ceeb
217d, 358b
31d0, 6456
022a, f7de
f43a, c9bb
44c0, af0f
8d39, 2fb5
b2a3, b411
0a1c, ff64
60cd, a5fe
2fa4, e854
b15c, 8fde
9a2e, 171c
1324, 45ba
9f0b, 50f6
e805, a37b
e10d, 9b23
59e3, ff7e
46e5, d1ed
2b5d, 78d0
47e2, 86e1
d22e, 4dab
4a28, 2282
e9c9, 7ead
9502, 7a54
2b3f, a982
c399, 3039
94c8, 5387
5cbe, bc56
fd4a, 0a32
f487, e80c
57bb, 61d2
77e6, d271
9114, 4ba7
b35a, 278a
187d, 5278
090f, 76bc
084b, d10c
5aee, adcd
7a33, e190
808c, 7f07
279a, e9d0
0b3e, 23a0
