a33e, 13e1
b44a, f849
b37e, 4cd3
ce8f, 008d
a679, f1df
cd49, cc32
1b7b, 5097
e7ad, ebff
7bd0, 7afe
2874, 2371
9309, 4905
e40c, e287
f0b0, c6b2
239b, a72b
f913, e50e
df5b, f6a5
ba0c, b587
2289, 95d2
73a1, dfa5
3468, 573d
1bba, 7255
db89, d8d4
5062, 5f59
6bbe, 8c1e
0e23, 009c
80a1, 6c04
0949, 044f
2a3e, c2e7
c210, c814
d037, 7edb
7ff7, b80a
9487, 9f8c
6fcb, 300d
edfe, d53e
3d5e, 9f61
a48d, 8c26
fe4b, fffc
3f74, 3368
da92, 4404
d494, dd5f
aa44, b3fb
6430, b6ff
11af, c72d
d6e9, afb2
c406, 39d7
d398, d742
9d8e, 929a
d610, 2a7a
4170, 1b7f
4680, f4aa
c8ce, fecb
1e17, 4b44
1633, edfc
b97c, af4e
64f4, 02f1
9c9f, 9971
778c, 7b09
b7e9, bc9b
3460, 573c
029b, 5d07
d818, d37e
c759, c25f
704c, a9e5
2083, 9fb0
baa7, b769
0eb2, 0124
ea3c, b4a0
0b9a, 0896
e322, e8c6
79e8, 75eb
ea68, 526e
6134, 6c00
2351, a475
0477, e88c
8cd6, fbe9
fab0, 420e
803b, 13a7
8aa0, 7aa5
ff62, 666d
1af4, a4f9
704c, a9e5
bfd0, 7fb3
d06f, 5985
1f04, f984
3cf2, c158
dd47, fa5f
8e4e, 8d1e
fa1e, 728f
8b10, 413f
7a3a, cbe9
ad50, ae55
14d7, 0174
7099, 71ee
8144, 7afc
894d, edb0
40de, c543
0223, 0ab4
a25a, ac56
868d, 76bd
26a0, 099f
528a, 36ab
fa68, 3a90
f902, 6e81
d2eb, e8c5
9df8, 921a
79b4, 77c0
73ae, abd7
e559, 4f62
d08b, 4451
08e9, 0541
e032, e3c8
f136, 8900
2f01, 09ca
6cb4, 6723
3f7c, 5e81
3cdf, 32e6
dfb5, 2451
43e4, 43d9
93ec, 9fd5
f1c5, ac37
98b3, d0dc
4a18, 4f02
a57b, 1278
31a7, ca07
5332, 0039
d936, c9dc
c43f, b88b
b27b, 329a
a64d, 302a
71d2, ec7d
e6c4, 7ab8
a346, f1d3
afbe, a0bd
6542, 09f4
09fa, db1f
efba, 04c6
180b, 1a09
e918, b91b
954c, f827
9183, 30f8
bcb9, 81cc
62ad, f362
e32b, e648
9e9a, 4923
b762, b1a7
31d7, 611e
d549, deba
d5b5, 2163
0eb8, c3bf
9d80, f2d4
9122, 9343
5191, df1e
3169, 3995
8ef6, 8b2f
fdc3, a013
d131, a1aa
f9ad, b370
c572, 9c72
da60, 7628
703a, 2c17
dd32, e8ad
31d7, 611e
14f2, 160d
6f5e, b333
067a, 02a3
7f79, f82d
cf48, c04b
342d, 3ae2
0d8b, c681
c307, e179
e493, e5b2
a526, ebf2
1ea6, bbac
db08, d71a
0ba8, 3d6d
4ab6, 478f
b641, 8394
6726, 414b
203a, 0ead
9cd3, 9abe
1eee, 1c57
4df4, f13f
4e60, aba0
131a, f770
12ac, 87f1
ef55, 51de
35b4, 2b24
b9f6, b081
cac5, f0b7
707e, 6191
d4fa, 3609
ae21, 7524
71e3, ffcd
398a, 37fd
bddd, 78de
3d2e, 92e5
1cb5, faa5
8a41, b71a
02cd, e55a
c460, e640
d644, 2e9b
131c, f771
7047, 7f42
9706, 43f5
88e3, c3f0
1707, 1192
e943, 575f
f94f, fb4d
cfcf, 4fd2
93dd, bb18
a43b, 63a4
2d52, 7fb2
7132, b454
7e4c, 7d43
c659, c354
2da4, 0504
7dd4, 7ed9
3317, 3e2a
fb04, ba42
9793, 9175
58f3, 2ad3
b4d7, f4c2
e737, e4a2
2e9f, de47
a80c, 3bf4
be65, 9d3a
c60b, a501
e7a1, ba61
3bca, ad4d
0f77, df3a
e04d, 7f2b
d5b6, 216f
577b, 5a08
a6d4, a3d9
8005, 9c3e
046a, 5151
2c4a, c221
b416, df24
dd23, de45
422a, dcff
d366, a6d9
4eaf, 4851
5b18, 2983
bbe5, bcba
6344, 60f9
4400, d7ce
06c5, 21fa
7370, 8690
0043, c1e8
1dbf, dbda
a3eb, a6e8
e943, 575f
5d4b, c2bc
8063, 8335
6e6a, 3b31
0635, cd39
294d, 2e4a
2fcf, 4f1f
e6c0, 70c5
af79, a41e
9141, f32b
277e, caec
38c5, 9396
e184, 797d
9a6f, 6741
33f1, 9733
cbaa, 73d3
f827, 954c
752b, 7928
e14d, d372
75bc, 08c6
fc02, f30d
c1f7, c4f2
8300, cb47
0021, 0d24
2931, 2eae
aec4, e689
4260, 29ad
9f42, 2012
77ee, 7aed
6a47, 60bf
ed1f, eb79
929d, 9fc2
1a13, 4d74
5be2, 5724
bb5f, be31
7ade, 8add
7f0e, 2050
9db3, b0e6
9b74, fdc9
f7a1, 89fd
b682, 30f0
9622, 2b1f
8137, b764
8692, e1ca
dc4c, 0f6f
0a69, 55cc
1961, 905b
2b98, de4a
d252, ddb8
3d9f, d28d
7ddb, b6ad
b2e1, 2de7
e322, e8c6
0979, 176b
5b17, d522
b8fa, 469c
fb6b, f966
f8da, 89e3
3c7e, 3bf7
d629, f021
c6b3, fa84
b3c2, 8f46
20df, ab08
a24a, e903
f1fc, fef6
5bd1, 68ef
bc7a, 65c7
5721, 5be6
de43, 610e
eca7, 75a2
0b68, 0665
72e4, 7a93
c223, d51e
11aa, 8c86
0750, 0a55
24e1, 2cf7
0967, 5c9b
c644, 9a6c
b5d9, 8cb7
658d, 111c
06f9, 80c6
df84, e830
b3b8, 1b6a
103d, 1932
15e8, af9f
c746, ca4a
6b42, d893
2fee, 20b8
8964, 8148
ecba, 7c23
db8f, 48ba
a858, aaea
4b96, 8797
e90e, b0e5
cb99, f16a
72c7, ede7
047d, 510b
4682, c1cc
5d71, 6d7f
3f3e, b5e8
b6bb, b3d8
7a9b, 2911
424f, 4623
966c, f0a3
5f4a, 54b8
8b4b, 196b
e4c0, e92b
8d71, 85db
e761, ea5f
9324, 90f9
7825, 7b20
0a19, 5dd7
7456, 754b
4e56, 6780
91ba, f0b8
6154, 80fb
ec69, e252
753e, 7f07
188e, 1beb
af8f, a081
bed4, a2ae
a08a, 1fef
959a, c97a
99eb, 3e25
52e6, 7ae2
415a, 1cd4
ee5f, 903e
796a, 09cd
b5e8, 3f3e
d5a1, 44d0
b000, fc3d
6987, 6ce2
6df4, 8a08
2ab8, 2cb5
c75f, a2e6
bfcd, e6d1
982e, e4cd
f3c7, 6729
8cf2, 8227
8c4c, 3a0c
d1bc, aab3
1777, 4b0b
16aa, 6fa8
426d, e0ba
f88a, 6688
0eca, 5d91
058d, 0dfa
213f, 0930
31ea, df4e
4842, 0704
dfd7, d3b9
2d5e, e4ee
982d, 57ed
ec43, 515f
0ac9, fa5d
2e48, 294f
d2b4, dce9
928f, c8ed
7fd0, c8aa
927b, 4279
23ed, c810
6b79, 60cf
a907, 7332
6505, d954
8f45, b07b
30a4, 6c72
9672, 9cd5
687d, 85aa
298f, 2bd8
7370, 8690
b558, 94ba
1e43, b063
9ffa, 9418
9b02, 98c7
72bf, 7cb1
e3fc, 85e0
3812, 982b
0d48, 0e4b
ee14, 2bc0
ad84, 763d
755c, 1ebf
7257, 2e04
623a, 6a08
94ff, 2a16
106b, 17b9
9746, 9a16
a58b, 1288
b852, 7b34
9092, 49c0
9a1c, d2a2
9ff6, 4930
ffb2, 68b3
43ad, 465e
d663, 2252
3745, 3cb9
a461, d6eb
ad8d, 4611
a0af, 50ad
70da, 077f
c19f, b4bd
15e2, 26f6
f1aa, 4cea
32ce, b1c3
95f1, f921
e637, bfa4
ec0e, e7d7
c163, a5b5
cf0a, 6b81
2105, 2470
a333, f1c6
91c1, a030
9a4a, 00c3
6d60, 70d0
d511, 6e1d
5217, 341a
fdb7, 54b7
d8e4, 42f8
ac12, db70
6a63, f0e7
f647, f445
b303, b69c
b3be, 468a
2a45, 7ff3
bd2c, 146e
d8c9, e4c7
ffd0, 48e7
8dda, eef3
0bc3, 5dcc
bc94, bee2
635e, b3f4
e4bf, e49d
26e1, 6451
33ee, 0b0f
aa1b, 1418
dc3d, 079a
2353, 8039
b4fe, b99e
a9a4, db8d
2c81, c2da
3102, 34c7
2af2, 7798
8e1b, f38e
8feb, 4866
f104, f000
a2b7, dd5c
1435, bd0c
e924, 5e6d
65d7, 69b9
0461, 515a
8109, 8b86
eb88, d3a4
3e92, 3c63
6110, b9fc
2034, 73a0
e1b3, e4e5
13b9, d0e4
fe76, fbca
685d, 0330
5b7f, 7b17
4810, 88d3
a930, 4029
6cfd, 7c49
f9a8, 705b
f983, f4ee
5e79, 5804
b6e0, fd5a
833f, 9b1c
2a7d, 28f3
0890, a5e3
c940, 1f50
16ae, a65b
b0a0, 666b
fe1f, f918
eb82, 74be
597a, 34c4
316d, 61ae
81c5, 851e
232d, 282c
1eef, bb5d
4c2d, 1c1e
d6f1, a925
494d, 491e
cfe8, caea
e889, e209
4c57, 3772
dc7f, c00e
f64c, 9020
251e, 8e48
f615, fb2e
1ec4, 4140
f0fb, 1e4a
e464, b667
b941, 95b2
6369, f72b
5674, e5a0
106f, 3b62
b8c3, ae99
4d77, e2f0
73a3, c0a4
72b6, 7cba
2c3d, 4550
3461, b84c
0cb3, 55bc
47c0, 4042
d03b, a7d7
e7e9, e99e
e2ad, 0181
4a51, 6b72
ea13, 3b01
ed0c, b870
3530, 7595
3e22, b896
834f, 68d0
d774, dbf3
30ba, 638f
79c8, 9dab
112b, df46
a45e, a7e3
52e3, 5cb5
26d6, 9f8f
faa4, c4a9
240d, 5e4f
37e0, 37d5
885c, 4fb9
9440, 982f
bcba, bbe5
edb9, e299
1f53, b6d9
c0a3, 21a4
3781, 3715
328c, 38f7
7203, 30f1
0e33, 6d50
6e8e, fb87
347f, 54ca
1eef, bb5d
81d0, 8c82
4ecd, 4e1c
f9f6, fc4a
9795, 6f4d
10b4, be63
1646, f49c
fef2, bd52
02ba, d7fa
e556, e96a
2876, f0c1
5888, 2f8f
7bf9, 9e95
cce1, c2ef
49fb, 4e01
7d64, dfba
62ca, 6864
d1ac, 6147
c3d7, 2684
f85c, 1f74
b774, beda
31b8, cf59
61e6, 6481
aca4, 1ab4
db55, d761
9a7d, ca7e
7176, 7512
6417, 6fd1
5df7, 04db
884c, 8e13
14ba, d18a
3946, ac8e
0205, 437b
a3cb, a727
2154, a48e
8f52, 80a7
c4ec, 95de
0445, 0948
ed5c, b6db
f7e9, f286
7768, 7bc4
411c, 5202
1cef, f6bb
9730, 9bc9
b1c4, dc5c
b368, 1bb4
7b97, c4d5
aed5, add0
b6cd, 7378
0ab4, 0223
eb97, f07b
78af, 7a7a
f53a, 8c92
54f2, 5f8f
ce6a, f8a6
a7a1, a7af
3329, 3ff7
679b, 7a2b
37f1, 687b
e7d1, e10e
e5d0, 1f0e
f6c5, bf5e
e093, d200
d9d0, 24a3
20e6, d991
cd43, 8245
5254, 5969
979c, 27c0
d63f, 5638
8a9b, 81f0
5c90, e0c2
2cbd, 3ff9
9bab, 0d37
6b48, a946
b8f2, 347d
8ab9, 829e
3574, b6af
605b, b2eb
1d41, 0e84
c7a6, f99c
3416, 450e
869b, 1a7f
af31, 163f
53c7, 4e7e
d227, ed5e
a30e, a8f8
d6e4, 4726
6d09, 6e97
4013, 49ff
9af1, f721
ccd2, 7be8
0230, 0c35
4cb2, c046
d1ba, aab6
47b4, 4189
aeb2, 7368
550f, 5d32
4bec, 3fb6
8b7d, 1860
c97a, 959a
b453, 61db
389d, 9250
f631, 8f2f
cb96, 41b2
9c50, 913b
2f6f, 1a70
34de, 37eb
a201, 150f
5908, c49a
a3db, 43d8
9690, f2ca
959d, c97d
5239, 557e
d13a, a73d
db0b, ddf0
dbb4, 3a20
fb4f, 174f
45e3, 7f1f
5e99, 73cf
4e40, e69f
1894, 1a98
f161, f4a6
dd0a, a470
1e5b, 98d8
e405, e289
12bc, 6bc0
e070, f836
30d6, 33ef
3b36, 8cf6
9a83, 9e4a
3d42, ad05
88a5, a8a1
4fc8, 3536
cc4c, f268
7d35, 4f31
449e, 1c72
e37a, 869f
f526, 9f96
8516, 7608
d3a6, 5699
e49e, 2cf1
6e6f, 6ba1
a81c, e8b5
1871, e797
e928, e4c5
2ed8, 298a
8c28, 0fe0
2b27, 108b
740b, 7a39
1947, 35b9
e643, e32c
9c08, 9374
b3cf, 6c6d
c4d7, 833d
1f3a, 6638
b8cb, 8b0d
e3ab, e8dd
0555, c71a
2399, b0f8
5f70, 5005
15d0, caac
9307, e605
e5da, 9f5d
61e2, 6787
8165, 8349
f9d9, fcb4
f8bc, 61d8
81a4, b178
7a0e, 7a86
af89, 23b6
4737, 4e8c
1a9c, 1703
ced2, e537
4210, fec6
0330, 685d
ed2d, 7b2e
7384, 710f
8ae5, 87d0
6135, d749
9cf0, f22c
96c8, f1f6
0341, 0844
bcbb, bec6
a967, 6ea2
cbee, 2ad9
a13f, c827
c665, 2a67
650f, 3dce
066f, 5ac4
f7dc, 631b
1203, 5015
6588, 85a5
42b5, cf9f
fe6f, fba1
46e7, b86c
a96a, d551
4eb9, 76ec
ea86, 058c
4b0c, 1771
9f09, 41a0
d720, e3b4
4cf3, 431a
3716, 296c
ddea, 4929
8ba8, fefd
95ca, fa4d
f3d2, 6ed3
7442, f163
bca3, a3e9
23b4, 013c
1772, 341b
38d2, 32fa
3734, 3900
5108, 59aa
7867, a4ce
ac23, fdd1
7a51, 775f
5c0a, 3a94
c277, 260b
e262, e44d
312d, 6cbf
b199, bee1
4cf6, 431c
0b9b, 5ffb
256a, 4234
43b4, 8b53
89a9, c598
39f2, 6944
06e5, 0934
241a, 2368
04e7, f661
d916, 2e0c
b0b7, dd92
f0ed, edfd
8c2c, 6166
2948, d238
c3b9, cd36
43ef, 40d6
2097, d997
9eec, 98d5
46f5, e79a
a492, ad40
7518, bc70
a21b, aec6
5ce6, 47fa
afb3, a0bc
f775, 1316
20bf, 2fe6
c2b3, 0d2d
a310, 210a
075f, 0a51
2d3d, ceab
703a, 2c17
84c8, 8454
06ca, 0bc7
711c, 7413
6f66, d05b
b9a5, 6379
1d28, 184f
21ee, 5045
22fa, 28fd
b4d4, f6ba
978b, b0fd
0abd, 0f2f
78c2, 7ab0
969e, 8d74
5b54, c4ce
94b0, 3d43
9fce, 4373
eb84, 8818
caac, 15d0
2ebb, 8857
6af7, 5aa0
a5fe, c3c9
acf2, 1244
0154, d608
89b9, 879c
9763, 946c
e225, 57c3
d495, f72e
aa6d, a1bc
87ff, 8a26
d036, dfaa
8734, 8778
6899, fd78
c47b, 7211
3eab, 3360
b61b, b32e
c7bf, 0fd4
e4d5, 8480
e93b, b893
ac62, 9290
3a89, 48c8
f871, 61c7
802a, a69d
4572, 48f8
ba6e, f461
fd45, f247
329c, 3469
434e, 078b
99c3, 5d25
3ecb, 57f1
aaca, 8be5
fbc1, 2d06
d261, dc5f
57f5, 7377
d8e7, deb2
d154, 21b8
c266, cd6b
cd0c, 19a1
2dc2, 83f4
f5cd, c978
9b10, 9c14
4906, 1b86
cd41, 7efe
e89c, eec3
4ab6, 478f
97a2, 9266
4af9, 460e
439f, 9cc8
4a08, e8a1
2fdb, 9688
dfe3, d0b5
9591, f8cb
b491, b9f4
790b, 74fd
5a74, 0179
226e, 175e
3f35, 42e0
37e1, 34d6
0069, 4d63
26c8, d0c5
b989, c0b6
44fe, 9780
4452, 48e3
a2e6, c75f
763f, 8f5f
1292, 0dd2
bb21, b816
aefa, 1d4f
296f, 2350
e0bd, 7365
010a, 738f
a4d6, 1ada
1bb7, c495
d392, d748
6c8e, 6bf6
2a12, 27f9
9ec8, 5f24
37d5, 37e0
34ca, e91a
0534, 67db
7aab, b4a8
18e1, bd5e
105d, d520
70f1, d2cc
43cb, 481b
5a05, 3470
201a, c118
13fd, 189c
55e4, 0420
22d9, 55f4
8c76, 6bae
fd43, f542
2d37, 2a01
97ed, e018
d39a, dfc6
3e97, 3965
dd0a, a470
5bf4, a34d
083f, 0b31
4fe2, 8853
e6ce, c467
2bc6, f4ec
e9fc, fb69
8a40, e10d
2579, 9202
70c4, 469d
a048, 50fa
c4e7, ab74
2eb3, 5b86
b398, 2a25
6fc4, b260
9998, 9c7e
958c, 91eb
5eaa, ecff
c547, c942
caf0, c8ff
7f12, e0f4
d971, b5aa
4102, 4e7d
3f0c, 92a5
03d3, 8534
0376, 01ab
f6bb, 1cef
aa35, 76fe
5a2c, e82c
a3fd, 1648
f1a5, 8a19
a4f3, a1fc
389a, 1df1
4f3c, 9237
0bdb, 06d0
eb49, e824
d94b, aeca
99ab, 300e
6a24, 4a37
e0bd, 7365
fb84, 603f
2b06, d91c
5522, 5949
72f1, 3188
1471, a216
c987, c582
42dc, 86f5
bed4, a2ae
19c8, 1c7b
1e12, 4a84
d969, d35b
bede, bbbd
3c6e, 7696
5ab7, 4862
d566, d95f
b6a7, 272c
5b53, 4ff7
ae28, ad2b
d1b4, 6868
a216, 1471
03ec, 72f8
0f46, 741c
8363, 8f7a
2aed, 2cec
59ff, 0cf6
1891, 13f4
c39f, cc90
bf2b, 3750
3184, 64b7
3018, 3f4e
6932, 73e1
c823, 7f6d
dcf7, ae7c
0612, 0b16
42ac, 2878
1561, 317c
a5f4, ad00
cc1a, 5a54
ab10, 621c
db21, 49b2
486e, 44e1
d51e, c223
a63e, 4e34
d5a5, 3eae
f72f, 0260
2b90, 2ec4
a873, a212
6711, 520b
75b7, 74c5
d65b, 42ce
2d4a, 2325
6a73, 5a7c
8e75, 8d95
043e, 6a3d
c7c7, c479
af9f, 15e8
5a71, 14bd
3105, 15b7
afb6, f366
6169, e29b
68c3, 9f06
9b9a, fe71
d575, 3343
7f5c, 7053
dc32, dedd
a5ef, c850
2873, d315
2285, 4a8a
8af2, 8fa4
af36, 6985
43d3, d680
741e, b74c
6f17, 5404
4972, a86d
fbea, fe86
48b8, de8d
a36e, ac67
7e0a, 86a5
15ff, b26b
1782, 1259
935f, 90a6
732f, 0763
5c62, 5259
046a, 5151
0ecc, a9bc
cabd, ccbc
2c50, cbe3
9ef9, 99f5
af20, 1f13
68ad, f870
a700, a0f2
6177, e3c1
80b7, 62e2
0b98, 642a
2357, a5f5
1dc9, 1b1f
f586, c581
b85c, b38d
188c, c0b0
693f, 6551
8016, 5d8c
e97a, aab5
3bef, 9880
6843, 0bf0
32e8, 384f
154c, 19f3
aa89, 8e80
1c9d, 190e
3cb8, 3e4f
a409, f053
d026, 3cad
dd80, aedc
6cb3, 5d6f
7522, 1c3a
b96f, bca1
a87a, a21d
5b33, d3da
8213, 5475
3bdd, 90da
d483, d1d5
069b, d70b
db55, d761
a9d5, 38cc
fa51, 5524
6bab, e0cf
ff90, 8668
9e43, 6053
4b60, 93a8
d7eb, d4b8
ce61, c7c9
ee93, d163
bc16, 80d1
0ca6, cd9b
a925, d6f1
a3ce, 1fa1
e902, 7e87
a247, 0e14
9d80, f2d4
ac8b, d696
38a4, cfc6
f577, d057
324c, 34b9
8cbc, b5d5
4e21, 8929
6637, 6209
f24d, ccf8
e961, e55f
cd77, 350a
6cd6, 3cba
06da, 03d6
212f, 2446
e10f, e3d4
08f0, 0bf5
bbb6, 81c7
1695, f297
41dc, 11b3
abd9, e0ab
88b9, f961
ae6a, a3b6
71f3, 7734
04a7, e48e
5d9c, a2bc
68a5, 2b9f
743d, 713e
e8b6, 9095
d5ca, 9ba3
cd8a, 0883
3c49, 3eb1
d355, 2959
a3fb, a6f8
aa36, a68e
f416, 4f77
9821, 9314
1295, f697
719f, 9188
8b7d, 1860
5ec4, ac6f
55d1, 4e8a
a2f7, 3c80
1ab9, 41d4
a769, aeb5
e0f1, 5c75
2521, cc2f
c862, afb9
80c5, b673
9f58, eb61
895f, 52d0
7e2b, a96b
0274, df3c
4f9a, d37f
c499, abd5
f517, 4d87
6544, 0c19
36dd, fddf
209a, 73ba
33e6, b01e
c105, c400
5bdc, 7e86
aaf7, a60b
7eb7, 79c7
add1, daf1
6b47, 69e5
996f, 97a9
165c, 70b9
a4f7, 1af2
9dd8, 7562
6c18, cff1
e2a4, ec39
820c, 89c5
e6b2, b1b8
9a7a, 6f2c
0f0b, 07e5
a89d, ae4c
0191, a78b
363a, 48a2
c463, 7620
200d, 0807
d964, 429d
0e03, 71db
9fe1, 18dd
c982, fd05
f3a1, 303c
6e9c, 1ce5
30d4, 311a
d431, df8b
225c, 58ce
54a8, 573b
649a, 79fa
ded1, eb3e
5536, 2ade
e1f5, e7a7
be47, bdf9
1191, 0ad8
f3ff, bac9
658d, 111c
902b, 798f
e06b, 4736
3c44, c2d9
7225, 0a61
8dfd, 12ad
d179, feea
3a69, 3295
c0de, 21d1
3cf3, 322c
5993, ed82
277d, 200f
6c63, 3bc4
24af, 683b
d353, 2952
c2a4, 7687
66cd, ca4d
3600, 65a2
fffd, c6fe
30d9, f198
e137, 771c
10fd, 1f4e
8df5, ef3a
6119, 38e2
91bc, 602e
d890, ed58
89d8, aee6
e4cd, 982e
9eb6, 5d6c
3071, 31ab
49e8, 98da
39b8, 3e4a
6901, 6036
