25d5, 04ee
9bec, 14e4
a982, 1849
d202, 9206
37ca, 3596
cbce, 1300
41cc, d74b
1a86, 6a0e
e14a, 26fd
53df, cfe5
85f0, ad48
75ba, 308d
2b45, 40f5
28c0, d64d
2e76, 4322
fabc, 1bcb
bd43, 0c33
ef06, 252f
5e48, e4ee
32ec, b9a8
f3ba, 7765
82c6, 98f4
8e90, e3fc
4c48, 5e4b
1672, 3497
2b96, f6f1
4c22, fb0c
60c4, 3e2f
7e94, e1bf
0943, 25d6
94ff, 8788
3252, c3df
0e06, d18b
1bfe, 901c
4e8c, 233c
7aae, cf75
1264, 8264
84fe, 90b5
b5ed, 58e2
0baf, 286c
dfcb, 7427
cb19, 9e9a
b17a, daa6
bfc7, 9d78
0138, bd98
9f7d, ff1d
dd70, 0887
60fd, bb57
f0fc, 4122
69a7, 1aff
5c53, 8558
799a, db3b
6f7a, 881a
d5c6, 3f4f
b38e, 3ba5
c379, c98c
7933, e746
08b5, 7f26
266f, 0e5c
86b0, 3de3
e3cf, a5ac
33f3, e8f5
dde2, ceb7
da44, 40f8
1ba0, 846f
741c, 3cfe
e8cd, 198e
1ad8, 923a
ea95, f025
cec7, 4be1
251e, eadf
b654, 005a
3750, b9b8
715e, 5a6d
ab91, a1ce
ee15, a7f5
9217, 3687
a92c, c145
6ff5, 7e4e
31b9, d1b9
4e17, ef23
e434, 1eb3
ac98, 0ea2
bc42, 1c5f
3467, bab9
49d0, bf89
9b20, 3143
3fdc, d029
0a49, a931
56ed, 78e3
aded, acfd
8b0f, 5609
de15, 065b
d484, 4218
7ba1, a39a
1540, 9440
34a2, 4412
27ee, 473e
b7d6, 395a
f8dc, ab88
1511, b476
483f, 168a
1ab0, f62d
ade5, 0c89
4364, 7568
3901, c4f5
6759, 87b9
04b7, 15f9
1490, 1fea
76c5, d2cc
7c65, 0e41
87a0, 8c80
5797, 4250
5050, 039a
965e, 9055
14d1, a38d
af71, 7500
1438, 0446
9c97, 3104
b4fe, 406e
7d61, 7b24
1de1, 933f
4486, 3fe8
c364, a976
f0e6, 9f39
a15b, 381c
372d, 8c9d
1849, a982
e1b5, 075e
a32b, 2b95
2e0a, c0f4
8975, 61ba
131d, 414a
8a3a, c34c
cea2, ff68
7335, eb77
1f9b, adc3
28f1, 83a9
c7be, 9ef9
1782, f5c5
37d2, bca4
89d6, 7d35
befd, 6844
78a0, 6adb
12e1, 6c45
af76, e4f0
fc48, c632
9386, 40ef
32f9, 5d9c
96ae, 9dea
9dd3, 6dda
bf9e, 02f9
465b, ff5c
0f0e, 0147
054e, cd95
a8f3, d5a5
e36a, 5411
7b68, a4fc
52fa, 3873
77ae, 63c3
2b0a, f7b6
9b76, e6d8
bee7, c76a
bbe6, ab53
e1ac, d88a
dba1, 848c
c5ad, 043d
a206, 5aae
31bf, b905
0f29, 5fee
e11a, 25b1
8883, 6f33
5a7e, 6230
2212, c7e0
0165, 7e91
5bea, 227a
54c2, d9a3
5256, a4cb
d547, 0471
6a64, 1db0
487e, 7bb1
6d7c, d604
be70, 0f7b
d04b, 2ecc
9c5a, 559b
814d, 3920
1765, 20f1
7764, f8ad
ab50, 885a
e248, 7243
4cc6, 7324
6920, 8210
7420, b49c
58c5, 222e
c212, 5282
1551, 9829
9990, 3b7c
d4e5, 56c6
aeee, 1248
44b1, 99b7
a3d4, 62a9
949d, 1a4d
8d88, 8d27
ccbb, b8f1
8cbe, a7bb
0ebe, a0b6
4d64, 0c8a
657c, 857e
3982, 1f69
5713, c1da
9163, 50f1
0383, 45b9
8654, 041a
bf6a, 0ed7
5ebd, 922f
bd5f, c10f
bcc7, e31f
0a1e, 1b78
374e, dab2
e4ad, 307e
344e, b8ec
13c5, 0a2a
7b40, 6640
223d, c604
d087, 6f16
da05, cb3c
96cd, 6334
b0f6, f0a1
d30f, f1b7
3bf7, 87db
e315, 2715
421f, 34df
743d, 5f38
867c, d51d
6452, 9a9d
678e, 8c8c
6317, bbf1
0589, 35a4
72a9, 96da
f2df, b426
5533, 853e
6b90, 5095
0c8a, 4d64
6085, 7560
ce00, 710f
3854, deed
07fd, b9cc
7a15, 623a
a667, 0ca0
6cce, c254
495a, 27d6
8ba4, 5ba4
3e09, 5a50
ec5f, ffad
13e0, 08ea
02e1, 1605
77f3, 5bdd
0787, c431
ab0c, 8c22
f3bb, 1658
d635, 2de5
3faa, e72a
8e9f, ed4a
3ed1, 8c02
d42b, 7b18
16be, d1e6
ec83, 7310
4712, 6980
70d4, 234f
8b61, 8667
0ec6, 4be4
cfd4, 0588
07e3, 56af
ecb2, 2da5
78fc, dec8
b135, 1ebf
aad6, c5d2
51a4, fd85
883c, c74b
2be7, a3e6
9ed9, 10a7
5241, d4e1
f3d0, 1b83
d949, 62ad
00cd, 01b0
0d15, 00c8
b289, 4cfd
941a, 4221
f6c0, 7ccd
0f19, ef01
0164, a740
6ef3, 6f98
3b7b, f140
3c8c, 6735
52bd, 3760
f581, a8e8
4e58, 7a8a
06bf, d589
527e, d875
364e, e003
81b3, 7327
0dd4, c3c2
4f85, 6151
decc, 937b
f093, 1673
8175, b98d
703a, 66e7
e6e2, 3b56
8c98, d6cd
b9bf, 6c88
f222, 076f
725d, 0026
deca, 1a63
e9d4, 19d4
6d6b, 8245
c3ec, 65d6
f944, dd1c
56fb, d57f
5387, 567b
9120, d70b
12cb, ffba
5111, 2186
ebd2, 8d42
6a88, 74d6
7142, c38b
09e6, ecce
8c9b, d13a
d4bf, 1d91
fac6, 34aa
4d51, 7ccc
4156, 9c67
9bc8, bf0f
7d1c, 23c8
7098, c86e
c99f, 5090
7787, f797
de54, 1413
45e1, 791d
6e0e, d9bc
53f0, 830d
d54f, a4ca
64ab, 74dd
8dd9, 21b3
a1d0, c01d
d8f1, 29e4
914e, d14e
9116, 52ab
8ba4, 5ba4
b651, 0084
be92, 3b4a
1680, ad5c
0d85, 1c11
a22d, 4d36
9efe, 1909
0698, 85ac
ff71, 9fa1
1490, 1fea
8063, bb92
2023, e13d
0175, c731
f9f3, f853
14d9, 2c18
09d6, 6268
9138, b882
2298, 4b59
e742, 5b0d
3e14, e877
c30d, 029a
76df, bba6
089f, e622
8e8e, 608c
0302, 956e
9d43, d043
625b, bc1b
09f0, 69cb
ba79, cad2
fee0, b3ea
6793, b8a0
aad2, fcd6
faef, 463b
d045, 9bf5
13e3, f1a3
43ad, 48ac
0957, 01b6
bf69, 0188
b17a, daa6
7707, c30c
cc10, 425f
51dd, 68b9
457a, fc06
e699, 500f
2592, c42a
fce0, 226d
c664, 0b6e
120c, 9d19
4a92, dcf9
8b37, 29c4
5f74, 800c
5e62, e8d6
647e, ac70
c9bd, 3b66
d2d6, 2923
99d6, 3fce
9b62, 60f9
5f93, 875e
6e26, 73d5
5bc3, 3576
e56a, 05e2
f180, b839
6ce9, 1055
7d13, 97d5
d08f, 43e5
2146, 4cf6
7425, 0847
ddcd, 312d
a087, 4948
9ffa, 32c9
c32c, db4e
2ee9, a65f
14ec, eb74
9e54, 105f
3edf, df07
9742, b580
f46b, 14dd
23ec, f59b
6186, 1af2
4006, cd04
7645, e5bc
bddb, f611
9c83, b88f
ee9a, 6bd7
87bf, 992f
a1e9, 65f5
18a8, dd67
36a9, a760
c02c, 3e7f
50ae, 7bf6
d8ed, f1f0
4f7b, 2f70
b7ef, 472f
59c9, 3fd9
2fa4, 417e
45ed, 3d9a
c208, 997c
7be3, c4a9
eb80, 9a69
642e, bdbe
acd6, 116f
0e77, be27
93dc, d8dd
6907, 9c37
86b9, 86af
bf58, 3f63
77d7, c3dc
0e7f, 5855
3232, 74d5
daa5, 9ca8
fb38, 1edd
b7e0, 8335
85aa, 0a86
cf82, 2a0d
a920, 0131
47ae, 0618
2add, dd74
a617, e3b8
a31f, 872e
c073, 0102
8728, b8a3
2e49, aec9
9d57, 8b83
1cea, fa65
65e9, 7967
3d6f, f49f
4aed, 5666
9b44, 708b
e912, 44be
efa9, 5eb2
0160, 702d
0eb4, a427
5a2b, 10c5
0dbd, ef68
bf0d, f200
e5ef, 64b7
a285, 0e59
274c, 412c
7aab, 520e
9106, 2c49
bfe8, 8769
0714, ec01
bc04, 382d
26e2, c367
d3ab, b069
2763, d2de
9267, 9961
6e25, aaf8
941a, 4221
fcaf, 2e6c
45db, 0dc3
fb05, 401b
9523, 3a6f
5f92, 58c4
de60, 4c39
4dd5, 96b2
a110, 42e2
e7bc, 5b26
c4a6, 7928
8999, 25be
f185, fe11
7266, 07b8
2fc7, f7ef
7bb0, c5d7
fa61, 7c1d
c87d, 79ca
3214, e711
3f13, d231
54b7, 161e
ab6e, f6a5
8cd8, 6733
2236, 0276
ad68, f5b2
89d2, 61aa
e3ed, af19
9b5e, 4655
d854, cf6f
8287, 2032
3441, 4812
754c, d3f0
b91e, b25c
ccb0, c66b
4c73, b486
beb6, 09d8
58f6, dcc9
a5aa, 03ed
a05f, a776
8b3d, 9ea4
e941, 88a6
2365, 10fa
9621, 1459
676e, b095
4bee, 46ee
16b4, f170
51d4, 8536
58a9, eebf
916e, 6e99
cdff, cddf
1928, d387
e552, b461
61f6, f7d1
bcae, be76
738f, 08e6
1a4d, 949d
9e93, 1e93
2c0b, 568d
bbab, b98b
125f, fe02
9c77, 3c39
e36a, 5411
0855, 2dc6
6515, c9e1
0b91, e349
3733, ca44
32bf, f0d0
4fa1, d125
3a3d, edf6
78ce, d353
ab12, 94e7
4c44, 1e10
34dd, 846b
19a3, 48fc
9911, 2a01
295d, c094
77d9, a7c3
cdfd, 3bd9
34a6, 1f4a
34ff, 8246
b550, e852
d55a, e710
6c91, 7c07
49af, 92b2
4812, 3441
227e, 37f7
5c8c, 17db
0b39, 2177
5df8, 8d0e
b2de, ced7
a723, cf66
9833, e2e9
d1cb, a54d
334e, 6ceb
73f0, 2aaf
2af2, dc0f
97f8, 1778
a152, 095a
0025, 3875
dbb2, d16f
1582, b596
951e, 1f07
15c6, b5d2
f056, 1275
fff1, 9cce
47d8, 8222
18a1, c4c0
13c4, a558
6a32, 8c6a
2aba, a1df
3599, 392a
bfbf, d44e
71dc, fc8e
552e, dd26
1bd9, bbac
fc6b, c0f6
0feb, aca1
9a07, 8d81
f9bf, 742f
4a32, 2467
9a9a, 3af7
7733, 5c26
e87d, 9c35
5bda, 80aa
9b40, 182b
c073, 0102
3715, 4315
70cb, b43c
7a61, ad17
1578, 3772
8cd1, 2121
602a, 8e22
dd45, 8a04
1a49, d524
1129, e7d7
dd58, 40dd
cf31, e4a9
ba2e, 7a93
2f2d, d690
6fc7, cf48
5753, 32e8
28eb, 4f3d
e213, 9815
9597, 90fc
e812, aadd
46a0, 2bab
51b8, e6d6
271b, 6b2e
d6b7, 15f8
26e9, 238e
69ff, b442
27b3, ce4f
b369, e980
b9d9, 655e
8ac6, ae03
5011, 53ae
d718, c708
b293, 2ed2
3269, b456
c190, 3890
6e86, 53cd
1af0, c6eb
86c0, dc2d
3e03, 5ffe
1af2, 6186
8b3f, 8bef
9912, b1d0
cb04, def4
1cd7, ad66
7192, 263d
1ee6, 86db
d3d0, cbd3
4db8, ff9a
bd86, ad55
e092, 369f
0f4d, f790
30ef, 3032
bceb, ef48
e446, 218d
f0b1, cb96
07a4, 186d
3db2, 45c2
3ea1, 397a
777e, f164
ee8f, 2702
071a, e1f7
83bd, 8358
b34c, 6d76
c750, 0bcf
1025, 7904
6768, 87e0
efec, 5efa
929f, d992
8f97, b63d
de2b, 204c
dd40, 28cd
dff2, 5833
91fa, 137b
1dcd, c3ea
92a6, 1239
b91c, 54d7
753c, bc8d
df42, afcf
9fdc, 9ea0
86c9, 9ff8
9cfe, 2c0e
6247, c008
bd04, 6d47
5816, 0885
cc18, 2770
4bc4, cb79
b1ea, 3936
9526, 8bf2
e288, b76b
30b4, e0a1
940c, f5fb
7984, b41c
7be5, d6b2
b9c0, 180d
3611, a9be
1e8a, 3118
eefe, 681c
ca0d, 580d
ac13, 2710
fd3d, 567c
f7e9, aae4
0729, 9789
aa8e, c521
e82e, 24ce
efa1, 58a4
adad, cbba
a34c, ea87
01f6, cdce
5b9f, 540f
9ae5, b996
6292, 779f
b072, efab
b7af, 48e7
b46c, 85e5
f9bd, c460
b7c7, 20fd
1bfb, 9c2f
f3f7, c337
dade, 5abe
4cd0, 1385
1c8b, e820
912f, 1305
6cd5, b011
7c75, 2d2b
407f, b4f5
3c96, ec09
71c3, 1a16
f87f, f2be
def5, 3ccf
cdf9, 1138
31d9, be7f
980d, 6a0d
d949, 62ad
ea7e, 748c
9ad2, 044e
6d35, fc2c
1386, 4ba6
812e, 97e9
53a5, cef1
f71c, 6bf5
1b68, 7519
6c03, ece1
5cb3, 5da6
eda1, 4bb0
b9bd, b1ed
7a9e, f434
a9b7, 3543
8036, 3de9
3926, e294
8840, 2940
67de, 3160
f75e, a4e3
e7f1, a181
3c74, 6dbf
e232, 1279
9485, 32ac
78d2, c425
802c, e02b
26aa, e5ad
8656, 3b89
2da5, ecb2
89db, 80f1
8ab1, 01e6
c287, 0257
e2e6, d855
bb89, fb3e
92d9, f5ce
b3ca, 3e2a
f39d, fb23
593b, 63c8
ad1e, 179a
1f95, 962e
c41b, 6bf8
3b33, e94e
e347, 7b49
6dbd, 856f
86b3, 6db0
0c71, 2f49
653a, 18a4
0f75, 2205
aea3, 79df
92ea, 4784
2556, 55c1
e5b4, 0a5f
b714, 4c47
927b, 2b46
45e5, b949
fb81, 378c
ba8d, 548e
f936, a883
403a, 71cc
32d3, 48df
1b91, 9397
1396, 28c4
cdf6, a585
6e4b, b8f7
8992, 529f
978d, 8fc8
16cc, 68d8
38b3, bfe3
147c, fe61
74df, f363
7ca6, 2020
3ac4, bdb6
dbc3, 8ab3
a0c2, f563
5dac, 768e
4938, 2235
56d0, 8965
83bb, 262f
f182, 17a4
8a8a, 5a0e
16a8, 0c29
fe2b, 3a91
da58, 19e8
1245, 2769
bc46, dae7
d550, bb97
8f5a, d3ed
6873, 72be
3379, 633e
0a7f, bc19
1993, 41dc
7c51, e9e7
c520, da23
8b5a, 5654
f9d8, 1815
91f3, 2850
26ae, ae52
f167, d3ff
9429, 6482
71b3, 7798
ccb9, 15a6
6ee4, 1e5d
a64b, 7e02
5903, 7978
b543, 6420
e248, 7243
eb3e, 4b4a
a1f4, ee82
7e1f, f56c
35c3, b5cd
8aa7, 1655
4b1d, f241
52e0, 0a53
d876, d8d8
8dcc, 108b
fb2e, e54e
0641, 9ad8
2db8, ad6d
7480, 56a8
1ed2, 34e6
d075, 958d
ac29, 17f4
1138, cdf9
9fa5, 9304
7b61, 480c
aaed, 476c
eae7, a7f4
19e1, bc25
1641, 2462
2d7e, 855b
338e, 675d
b89d, f5ca
0db8, 0863
99eb, 2e01
7b52, a3ac
4909, fc4a
b6a6, 6ba2
8da7, 2ddd
7bbe, ad6a
d519, 8b72
891c, a025
e7a2, 1efa
0328, 2901
090d, 692c
cad9, 7066
56e7, 2048
98b2, 659d
8da0, 36c7
558d, 253d
8a40, 2ce7
eb01, 4c68
f042, f153
bc57, 488e
a213, dbd7
9974, c3cc
f65b, 99f0
480e, e163
da13, c23d
9318, bb1a
82a5, 0dd8
28f5, 8ca8
920e, fc45
ed17, f51a
28ba, a6bf
a3c1, 4361
ee68, aa1c
6f40, 1a24
69ce, e08d
f576, 68ea
1f12, 1265
4982, 66e0
efa6, 53b2
8dae, 1f87
032e, f775
3882, 5aee
2590, a29d
b4ac, e785
c08b, f03b
59c3, d3c8
fbcc, b7c6
2664, ce69
ef80, 38f1
c125, a097
060a, b607
fec4, f158
69a9, 39e4
36ea, 5504
203e, 9633
aeab, 705f
fc1a, 5d8b
a4f1, 3c0b
050b, 2f0b
79ab, 0f10
059b, e826
dda5, 775f
1826, 9f46
1d05, 51e4
90a6, 6bf6
c7a3, dca9
91b9, e0d3
ef6e, c466
bff1, e680
5843, 395e
aba2, 6243
445d, 2e44
d698, 9093
c56d, bbc9
4a8d, 0827
91eb, d935
c2a9, 7476
76b0, e863
13c5, 0a2a
d05a, c67d
6bdb, fba6
2148, 3d2d
7449, 92d0
bc34, 393a
0d1c, 0c6d
fb5a, 43e2
8535, 018b
926e, 99ea
2f57, 22fa
b8a8, 38a8
8a3f, b7d7
033e, eb11
7b94, ed7e
8cc8, 68c6
0253, b958
1163, 4e4a
3cc6, 2455
8adb, dd82
fe55, 93be
cb67, deb6
f96c, 21a5
b28a, ce9b
7079, c7a5
f8f6, 4f16
c7cb, a14e
1891, 7ba3
237f, 4251
c136, 75ce
b300, 4276
5447, d457
d124, 5164
a93e, 4760
b4ea, 8a0c
5157, b9f0
be2c, e803
0f35, 5f76
b4f5, 407f
1f94, 9d68
91a1, d5d4
ee17, a9ab
8130, 89d0
9b18, 87dd
1df1, 2049
66a3, bd83
b604, 6691
8151, b440
eec0, b386
fbee, bc59
27bf, e92f
c004, de0a
1b28, f340
b084, 700d
c59a, 8933
7de7, 36f3
618b, 715b
6d47, bd04
63d9, 938e
4e56, 1d86
dff9, 70ed
7d32, c549
24a9, b678
4a63, 4a19
bd5a, 0054
6757, 81e7
74b1, f3bd
aee0, 0284
9173, 35d6
6cb9, 3761
ae09, 9e2a
0eac, 6b96
017e, c2e7
e5f7, d4c1
9f03, 8d47
9b63, 0d6a
abb7, 23b6
6a7d, b602
b14b, 379b
685a, 1a19
6141, 7cf1
671f, a2d6
6c55, bdf5
3edb, 0b29
e710, d55a
d918, a903
a644, adc2
b190, d890
8110, 02e4
748f, d575
98cc, c82d
2dcf, 30ec
27bb, b305
7bd0, e703
0676, 5fac
a666, dffd
6a32, 8c6a
9668, f822
5759, 7a54
83f0, 1bed
731c, 7c3b
69aa, 8ae6
0159, 3567
ad68, f5b2
3540, 2151
807f, 63f2
4d7a, 27a6
b177, 41a9
c9bb, 81b5
ec34, 093a
54b8, fee2
8162, 670e
3469, b4e9
aaa3, c672
b82d, 5f56
67db, 81e8
b3b9, 0133
9229, 34af
1f4b, ad28
4d03, 969e
807e, ea30
4f88, 75e7
e544, 432b
44fb, fa0b
d275, 3719
a6d9, c831
ddc3, bf7a
d549, 63ba
7457, c437
99c4, d4ca
c57d, ca88
7e28, c8b5
e4e1, 51bd
d59b, ba24
497e, 2418
1c5c, ac8b
b5de, 002c
23e2, 09b8
5fc8, f016
af2d, 4fcb
b547, a938
45a9, b489
604f, 606d
c5a7, 7a71
1aa1, 4590
9a9b, 144b
8196, 5c09
13ff, 2e6e
da7a, 668f
3896, c848
03fd, c4af
7484, cf80
8e67, 5ed7
57e5, eae3
2771, 9927
0053, 7092
1928, d387
af34, a87f
16a8, 0c29
302c, e0cb
2b1c, 51f5
f0ff, 59df
9bed, 08e4
5e7d, e82b
ef3f, 27f6
142a, a771
e17e, 9d1f
21d8, e296
9b26, 1b49
86b5, 04c8
a160, aa14
be23, e78c
8999, 25be
9b3e, 3dda
8b78, f69d
c439, 6673
891a, 3ea7
01fa, 7541
cae4, 17e9
37ff, e2f6
c62e, 0c06
de11, 909f
011f, 85c1
d975, e31e
79cd, 1698
41dd, 324a
583e, 750c
42df, d466
982a, 162f
01f2, aefd
aee9, d0e7
dee4, 345d
9ed5, ccc8
dd53, 4bd0
7c74, a827
d15c, 9c3b
61ff, a586
4421, 921a
d81d, 519a
9b99, 4b27
c6e9, a3a5
b017, 3e76
44f0, 2feb
455d, 5b62
fd02, 1a88
3cf8, 8551
a303, 85c6
f439, a858
e067, 9d33
da80, 5612
7374, 0fc1
8159, 85b4
e1da, 8a36
0f1f, 17de
2a4f, c2c4
ef15, eec3
5e00, 5fea
57a2, 7782
c05c, 1bec
f871, bd8b
63ba, d549
ac49, 64d4
0178, f1e6
bd78, a486
2589, da8f
4425, 1c84
98d5, 9074
7eb2, e56b
4e95, e691
f9e8, d558
955d, 9519
e155, 3c3e
c7bd, ec5d
b7c8, 37c8
f0a2, fe8a
3e0f, b0f4
0b51, 3df3
4336, b158
d5ae, 9ca3
55fb, 871c
4685, 9ddc
1b5f, 77b5
1a9d, 944d
d111, bbef
e8c5, 22ce
2b82, 98ee
acc2, 75ff
675d, 338e
8794, 1f0f
af14, 602c
5fad, 4c0c
4146, 78ba
f236, 42a9
5bc1, 72ed
f06f, bc68
6d89, afbb
d26d, fced
1d6d, 656a
3237, d082
0ea3, 5388
2b41, a341
1b78, 0a1e
5f7d, 9185
bb23, 1001
48ad, 2764
0299, f233
0ad2, fe8b
0c5b, b13c
14fc, 4d76
74d5, 3232
315d, 8bf6
aba1, 1ef7
a97e, d337
404a, 5385
dc2b, aa9d
eda8, 7230
c82a, a64f
234b, a5ca
58e4, e3f0
3507, 9a94
12fa, 670b
196c, 21de
e5ba, 7a5f
1c43, cfdf
0787, c431
1363, 5234
cf5b, 094d
3479, e862
e51f, c40f
6ce6, ade8
ef51, 3f84
6229, f4af
110d, c10d
8e3a, f5f0
a6c8, 189c
8bc9, 2563
11d2, 28b0
ff0f, c259
16c9, fa57
05f8, a1ef
c4a6, 7928
5e5e, c85a
0cd9, c176
f993, fcde
30dd, b033
06bc, c378
f724, 197a
83ef, d2f2
346f, fd60
d853, b587
3913, b11d
cf0a, cda2
08d4, 73aa
e2ff, a2ff
5a02, e506
0bbc, abb6
559d, 6545
e34e, 8305
7175, 175a
86ba, d0e3
66ef, ac02
9a2d, 4a98
c207, b77b
3717, 83aa
2fde, d2ae
6352, 02f2
22bd, 1c5d
b5ce, 7548
0961, 6a56
1562, 926a
1828, f5e3
80e6, ed5f
a261, 5a4c
14fb, 9d16
ea97, 2bfc
a1c9, f7fa
fe40, f0c8
ab7b, ef55
bb92, 8063
aebf, f273
adfd, ebd9
5f09, 2129
6fbb, 7520
87f7, 9218
a342, c806
8168, e047
e9eb, 1087
edb8, 0de3
1381, 03c6
a59d, 2c2b
be87, c2fa
0a20, 686c
1853, 1908
1cf3, f710
daf8, 8d1b
deba, ddd5
2664, ce69
81a8, d805
65fe, 1536
409c, 5544
29ef, e748
2aa6, ec28
790e, 2896
70a9, c0a5
3f0c, d20d
2eea, e9e0
7a26, 312a
7ef5, 6345
3830, 3f47
c845, 2565
4442, 2792
d88c, 3d1d
abed, 88e4
7a4f, fcef
bb57, 60fd
b113, 04ea
a7da, 5c00
c452, a30f
f4a3, ff12
9658, 4d60
31a3, b988
d921, d191
12b2, 64c3
29ba, 43b0
538b, 5e01
ff25, 3d8d
2752, 089b
1350, b3e4
0f50, 5853
5e5b, 7eb5
d304, c00a
fdd3, ac6f
21a5, f96c
a011, e3d5
04e9, 26f1
3977, 33da
45ba, 9aef
f615, e461
bb4c, 0d9d
f19b, d593
f609, 9a1e
a576, f30c
8c99, 5c06
6f6f, aa4e
5458, 7ae0
1853, 1908
d3a7, bc6e
27ad, ba97
4767, 94b1
d410, 9371
3316, bb17
6ad0, 4e15
cf69, c21f
1e90, 1023
1084, 433a
c3a6, cc0e
98d4, 6abe
0298, 5248
a47a, a71a
6be7, 6b00
8782, f656
deca, 1a63
2632, 19c0
1535, 6879
ab67, 2366
3e84, 95f3
8841, 3f80
f441, 1073
a234, 016f
b500, 4f00
5a81, 87a7
6e7a, 80f2
7f6d, 5fb0
726d, 398e
6c7a, a5a7
a9a3, c1d7
5153, 35e8
01ae, 2ea7
8365, a6ca
c1c9, 190a
d8c3, c8c3
8cd4, 8c3f
4999, 8f48
362c, ee84
7216, c4d6
b8c2, 6070
7956, 5125
638f, b8e2
b305, 27bb
4e60, d7b4
51dd, 68b9
fbb9, bf35
8218, 6a70
8327, 7b07
dc26, 0811
f827, 1d99
1f9f, c759
9a55, b796
33ca, be2a
1ab9, 2aef
d8c2, 93c6
9342, f9b8
8e2b, 5e7b
bc2d, 6699
d682, 37eb
2ba0, 2bbb
5acf, 7e7a
e54c, c9d1
0bbf, 8177
fc89, 7143
b860, 65a7
f2b8, abdb
8a3d, 5877
4346, fe97
9d9a, fbbc
9f7f, 2269
a9f5, 8325
c773, 2e3a
efb0, 7fbd
e9a6, 19a6
a49c, 0a70
a686, 89e4
4c45, dc4e
700a, eac2
b385, e326
eafd, 258a
d3d8, a333
9efc, 61fc
cda3, 10de
cf68, 466a
3d58, 210d
9ded, 8581
894b, 53ad
fdf1, 4ff1
cc6c, 1077
23ff, e0a8
8f40, ac40
3b57, 9648
2e09, c78c
6468, aeb2
a78e, 49bd
5f29, c5bb
b0f1, 0b41
249a, a7c6
3a0c, 95ea
e7ec, 9381
ea62, 079e
f2a9, 4a90
9ea7, 8b3b
ad3a, f920
55a8, 6817
5ee0, e34a
7e10, 5ee2
d5fc, db5a
d49e, 54e6
f8e3, 1708
b7d3, 325c
4f3e, b1e7
dffc, 54fc
96cf, f852
7aa9, 0505
a9c0, 03a9
7c7c, fff4
3fde, f617
2c99, 4106
3596, 37ca
08ea, 13e0
10cf, 2e79
e3f1, 5e8c
834a, 3ee0
d696, d56c
b46c, 85e5
0cea, f41d
406d, 2bdb
2574, bd8f
5c39, d12a
7065, c66a
aa7a, 0058
24e0, 1b22
b8b4, 0ed1
e2fd, 7ca3
9c3e, 5810
cc89, 7297
4183, 6f8f
c657, d4fa
fc12, f30d
7ffa, 0880
1fee, 4efa
d983, 1e4e
892b, e17d
15e7, 48c9
881f, f813
dd23, 880f
3ddb, ff39
f785, ee2b
8446, 32ff
14ae, a400
c21e, 0875
a30e, e7f9
a995, cb29
f03b, c08b
9cac, f7f5
e79d, 01b8
cf83, aff6
ef9c, 3ffd
6471, 9d05
b82f, 6912
941c, 2099
cc2c, 9fd6
8412, 5226
b3bb, d64a
22c7, e501
79b3, cebf
d87f, 92ae
1c2e, 49cc
63d2, c8a5
