20ab, 3c4b
4269, 3c97
0832, 2595
4527, ae4f
8b4f, 309f
6df2, abff
c1b4, 461a
a977, cda4
8c78, b86c
db84, 1d3c
6f16, 6dba
8e36, 8339
a2ab, 23a5
9da0, c6ff
4522, 1190
f8ad, 1410
e5e1, 007e
9ef2, ce21
c25b, 1fff
9712, fffb
a41b, dab7
f3ad, e31c
73a6, 3e54
0486, a483
10d0, 7219
9894, 9648
39db, 9bef
8217, 3105
e74b, 57ce
d913, c90f
1e47, 38fd
69bd, 9031
3069, df68
5dfd, 638b
4882, 308c
d78f, fa30
e6fc, f218
7556, 450b
d6dd, bd30
6399, 6bbb
9951, fb4c
b475, 5dd7
e2c7, 53a0
e471, dc68
04d8, 3f09
d869, 2178
3b4f, cfd4
9581, b1f5
0bb2, ba48
c387, d6f5
de46, 2026
bbac, bc98
134e, 4bc5
1257, a0bb
2f10, aa40
5c0f, 399c
5eb0, ce4f
8021, 5e04
5ecd, bd9e
fb08, 78dc
b790, 15f0
6d9a, 6e81
8d40, 3ea4
d658, a737
f4d2, aff1
8a6a, 5fcd
4ba5, b714
4448, 636b
e355, 0ad1
d215, d1c3
7293, 029c
d924, 5cb3
a223, 5e6f
5070, edfc
46b2, 42dd
4d09, cd67
0df8, 4cab
9e8f, 8f10
b726, c188
e1bc, 59c4
4914, 211b
5cd8, 1065
6fef, 4daa
dffb, d3b6
9b26, 1333
49b1, 9f55
7cae, 7b1e
4c63, 91b3
2a91, fb84
88b4, 43e3
2d1a, d043
9cf8, cc39
9f10, 7448
e9bc, 6cae
7972, 1506
30a6, 90ae
8373, e65c
ee61, ceca
34dd, 025f
6a36, e171
5616, 3cfd
5e7a, d9d0
5866, 8f8c
ffa1, a708
0639, 0f75
e10e, c378
43f2, 6771
fee4, 1310
4219, cefd
bc50, 6785
f46c, 146c
6397, 8d61
edcd, 5a41
0492, b78a
1fbe, cbc1
903b, 0342
d58e, d382
f884, 50f0
25fd, 471c
24ee, d64f
77d8, f5d5
8772, c183
7461, 9812
79f8, 5016
e587, c93b
1282, e38f
689e, c059
8900, 2b9e
0258, 94fb
17c6, e8d1
0a19, b2d9
3d8e, 0257
045a, 1b05
50b2, d70a
6637, 9206
6b97, 41b7
7433, ada4
ba08, 67a4
eda7, 0093
7bac, 8147
8942, 2452
153b, 2670
aa03, 675d
8623, 60a9
8670, 0f2e
44a5, ce73
18e1, 07b6
29f8, e044
5db9, 9332
da62, 453d
352c, e925
636a, c56d
dbef, b194
c864, 8bd3
50e9, d2d5
cc55, 214f
db30, b23a
ac11, e3d9
19cf, f7c2
676f, 0685
7e9d, 33e6
ec7b, df1f
da11, 6147
1973, d3fa
2d64, 8c70
b18c, f087
84d9, 5a2f
6e13, 222b
161a, a65b
0a8a, c630
ee50, 12f8
ab0d, 6c9e
692c, eada
b4ca, 16d3
2519, bec5
916d, 808c
2a38, 5874
6499, 1951
8616, b6fb
7c33, 4840
f1d4, cc8d
da43, 9dc2
2020, 64e4
3b2b, 5dc9
a28a, 5f97
43bf, 2b4e
8c47, 45f3
5efd, 043e
ab4c, 317d
9fd3, ac43
2866, 00d9
8d67, 7008
f858, 4aa3
b7b5, 1001
24c0, 5625
a057, 7fe9
ac3f, 1d03
805a, 7c46
7eed, 8bf2
7348, 5150
5344, 10e8
ee1c, 5c3c
91e8, 8d3c
0c6a, f2ef
2ddb, 74ec
e854, 001f
ce99, d5d8
95ae, c955
9177, 8399
5722, 40aa
aacc, 26b5
9548, f781
3c09, 0e00
db52, 7764
76e2, f730
d159, 9bb9
0032, d501
4e1d, 2cef
3a92, 340b
cd66, d35d
e5db, 7616
541f, 2f73
5516, ccfd
6620, a568
8059, 7c7e
d2b2, c84b
e9a1, 6823
d129, f72f
eb92, 773d
0ff1, f33a
ec70, 8a7a
53fc, 6f52
9f4f, 5a06
33a8, 0e1a
5b05, e18e
e053, bfcf
37b8, 38f6
1432, 82b8
5703, e1e6
21e8, 0273
3b58, e624
766f, 2d6e
a8e0, c725
4f5d, 36ce
e05f, 6b99
bc49, 1cd3
af10, 2394
2fb6, 793c
f00c, b10b
e9d9, cbe2
3573, bdc1
ae30, 5820
39c5, c8b8
b1ba, 54f2
c6a2, ea30
a365, 1a88
0060, dbe6
063e, cd86
c788, b888
87a9, 19f6
31e8, 10a6
cd37, dc35
37d9, dfa7
0e16, 3ede
7588, 8a85
a647, 0649
950c, d8f1
2fad, 769c
a9ea, 9b24
ae1d, b190
33b3, 3322
538a, 897c
c49c, 288b
d7e5, 5984
0099, b34b
1e87, b2fd
819d, 661c
a017, 1bde
a1e7, 092a
437c, 6d9f
d6f6, 80e7
ff85, 481d
5503, c530
204d, 6662
4913, 799c
6618, a52b
82ab, 8b4e
fc76, 88f9
ce38, a9f3
0a97, 9494
bcb4, a639
f884, 50f0
ebd0, 9add
5ec1, 0678
3ef5, 993e
7b43, 3a19
dbe0, 247b
2484, e208
e696, 0fc7
a1b6, 2610
f66f, a1b8
b491, 9b4a
9dc7, 0043
2764, bd22
027d, 562e
2b6f, 9f73
1c8f, 2973
e221, dc9c
c15d, b5ae
26b0, b8f6
91d5, 8305
0b32, 7af0
f727, eea5
a1d1, 64dd
1e65, a4f7
9948, 4743
3e1c, d1c8
54ba, 9032
0feb, c6c9
ba52, 882c
d44e, 9311
5462, 4421
e2a2, af38
3ebc, d9ab
0c1f, 9f70
8de5, 4df8
cbbc, eabb
727d, 9eb2
f6b9, 8734
62ea, 87c5
3e8a, 4bbf
30ea, 9d65
d8ae, 4ab2
0863, b170
105c, 3a9d
df96, fb1d
02b8, ab45
5f5b, 76fb
ca82, c727
d313, 3875
8922, 7c11
ef36, b226
8d5f, 3bdb
0bf4, 23ef
a7aa, d3c7
2b47, 12b1
cd16, ac93
911a, 7ab3
4a8a, 9479
af07, 176f
2659, 525e
f488, 218a
846e, 1529
7aa3, 353b
e2c3, fba2
2e8c, 52d2
db3c, d5f5
efb6, cac0
60f3, 0e69
f59e, b574
a1f1, 7432
55d3, 7288
45f4, 4db9
21c3, 0f97
bbf5, 0ecc
de23, 15fd
0fc7, e696
ff94, 9251
1daf, 038f
3eaf, 116c
3e11, 9089
1f5f, 64f2
0ef6, c98e
3ca5, 90a9
ea52, ec13
308d, 726a
21d0, 9fc3
f3a9, 6ed5
a42f, 2a39
650a, 6649
8741, d747
3f4d, 6429
bcb0, bcbd
fc75, a1f5
c7cd, bb81
e044, 29f8
ddda, 783d
1a07, 9209
8de9, 5a87
5306, 3139
2a0f, 5eb3
4878, bf83
8eaf, 5942
ce97, 2bc0
abca, 6dff
55d7, 854e
ac2f, fd79
72ae, fdf9
ab46, f6ee
949a, 5579
4e1c, 57b5
ae7c, 7b30
faa3, a45c
9d13, 1cbb
4fb5, 1475
3514, a317
a074, cc25
08a5, 7606
ccca, 5733
7c43, 4cff
0171, 87cf
bcca, 11b4
9016, 6707
7579, 6c8f
584a, abce
e253, 5458
856d, 9630
2c53, 0ca3
fe09, 62f1
a0b9, 476b
b015, 8dc8
9310, 5403
2f1f, 1339
b9f0, fa5b
74a2, d803
3a8a, 7450
b1ab, 52e3
e484, ad8d
e916, 2e75
d1a9, 6980
8270, 6a6d
dbcb, 99ca
f3bf, 52f7
161b, 2c1a
087e, 8046
4162, bd28
105c, 3a9d
d559, 4a42
e72d, cb3c
dd48, 3cd1
0e7a, d133
ce36, b54a
6f6e, c820
91c1, fa63
1c50, 2785
d3c3, 55f0
ff3b, 43a8
5e75, e9d5
f645, a02c
c06f, f436
f5bb, 460a
185a, 80b4
5727, 55da
19ec, 4ec4
8259, ba7d
2fad, 769c
d4dd, 3fdb
b72d, 1f73
a87d, 396e
be1a, 6108
da3e, 0300
8b44, 45fb
935d, c6dd
1d92, 0a8e
e841, 722b
c122, 6543
b49d, 4a5e
5a62, 4c32
7a2a, 9a34
4d1b, 6bda
fb37, 6306
c2ec, b85b
b184, 0cc0
3b9b, a5c3
aa6b, 42da
6093, 5b9c
5fd2, 2472
e964, 6fb1
73a9, 8d59
6cc0, ee36
06da, 7e7d
64df, e663
680f, 4fdb
7c6f, 4d55
3941, 59fe
7130, 026e
58db, ea21
48ce, f50a
169e, a411
0347, b85a
de40, 75f8
38a9, 9cb2
4fda, 8136
b10c, 12c4
7ff9, 6708
023f, 8116
e6af, 6bea
befb, 6b48
326d, 7160
bdf6, dc7a
d3ff, 819f
9a1e, 772c
4d62, eee0
9191, db9f
7a3f, 88df
7472, 252f
98a0, 7fae
c9a3, 9092
1b16, cd02
10b0, e7dd
6850, 40bb
e8d4, c79f
b3ef, 5956
8bf3, 3719
da0c, 07c1
e432, 0534
a7fc, fcc3
df86, 6d13
719e, 0d82
d398, cebf
f952, bcc7
339c, 024a
4e48, b8bc
6b0b, d353
32e6, 6ea0
8d5c, 62af
3472, a987
bd15, c3fd
07e9, 93aa
f81c, d750
f80d, 6c20
df26, a4e9
69e2, d42f
f562, 6055
da47, f3e5
03ff, 28e9
b94d, 6614
d805, 99c3
91cc, 8c0a
e24d, bc78
22ac, c929
6a75, 2170
71be, 3829
cb19, 4f2b
5508, 5d25
533f, 8800
ddc3, 2dc3
e841, 722b
997d, 7c36
fb58, 1f86
7122, c766
e502, 2200
1b21, c2e8
d23a, 051d
9fe3, 7a7b
a95b, f2b5
0305, f9a1
8b38, ec34
2855, 13f9
3e04, 8035
d317, 2829
81ef, 6584
e284, 031a
663e, 8ac0
38ff, 25fe
08e9, 2bdf
7a1d, 7ebd
f815, e8cb
619f, d01a
6000, 6f64
2841, 5f86
e2ce, 7034
749a, 6e00
37b3, fee2
fbff, d994
b8fb, 94be
a1f0, 3d3b
6761, c6fc
3115, 817e
5367, 7020
6f45, af74
ee9c, 70da
f9a9, fed5
9c3a, d25f
9638, 837c
3e7d, 8dea
6c0f, 71d8
e2ad, f0f9
1de6, 092e
69a6, 43f5
bf9b, 4d3d
aa43, fc82
48e9, 7924
3943, 6d02
66e4, e48d
e6b5, e4c9
101e, 6d53
d4c3, 1fb3
9b9a, df57
2998, 2af5
676c, c74a
bdd3, 1756
cd50, ff2a
f794, ae63
26de, 4b8c
ec48, 1175
25e5, 379e
61cb, b996
dd33, d6e1
341f, 8187
6cea, e27f
3820, caac
6170, afb2
9da5, 9f21
e758, 21bb
baa3, 6aa3
123d, cf68
36a6, 2f13
e009, 4046
eacf, 5acf
1f85, 0b68
3bb0, 04a0
17c5, ca71
23d7, be78
2806, 75df
e1cd, e18a
df9d, 289d
6794, 2e63
6433, 4d35
2712, 2669
764d, 8615
1f2a, 7762
2684, d410
1b56, de34
d3fc, 5701
c623, 9fce
8473, 3920
ac4e, 30bb
1dd1, a253
4dfb, cdd8
efe3, 514b
58a2, 2212
cf9a, cdc5
f7ac, 93ff
21a9, 1a2f
332d, 5f35
e60d, 7633
dc30, f0d4
a275, 5805
5ecd, bd9e
0e2c, 7ecb
b751, 4d6a
a645, 352b
2c92, 3c74
c635, fa81
9e8a, 8361
8d03, 066b
db52, 7764
4c9c, 7e6c
e62d, e9c0
fbe0, 9bc8
926e, 3226
bbee, 9822
2bf2, 8515
c83d, 4e56
ebf9, 2b41
fec6, 47af
be8e, 1b15
1333, 9b26
9369, cdf8
3eb8, 79a7
eba4, 2f23
9426, 948b
c98d, 8edf
61fd, 32af
831a, 8c88
29cb, 45fc
9e0a, ccb9
e519, 2157
ed84, 7f89
8c41, e91b
b144, ae1a
2af7, 97a9
f2e3, 7d8b
ce2d, cbab
4c70, 7429
f279, 71d3
1b62, fb62
1c89, c2de
b86a, 7a05
b2cd, 4d92
abd3, 91c9
7e0c, fe10
6171, b919
72b2, b7fd
19ad, 1b60
663d, 2d20
90a6, 81ae
135b, 6f59
a994, 4287
b18b, 33a5
2a24, cb10
c0cf, f910
2aa6, 4948
9388, f2a2
b75a, a6f1
f59d, 84a0
34dd, 025f
fe99, 2448
a2c8, ff6e
7c23, d077
d784, 00f4
86c2, 9086
e196, 2a9c
98d7, 7990
6ae1, d363
5b4b, 782d
36ae, 7c00
c2fd, ef9e
3d41, 9773
f346, 2dc5
fa5c, 1c06
91a2, 8cf7
9c9b, 8fda
8fa9, 9276
2745, 966e
8c75, ab2b
3df4, 4dd5
c1ad, 43ca
aacb, 2d54
2b4f, 3d13
360d, 36fd
5c7e, bdd7
1ef8, 54d9
2a61, b4c1
e750, 6694
06cb, 5489
5b71, 8ef3
610e, ce96
9afe, 513a
bfe8, b650
241c, 5ff9
35e0, a3d5
eba2, 1eaf
1b31, b28f
3d3d, b8ea
8f16, 570a
6fbc, ad99
b2b1, 620d
da4c, fc0f
4b05, d2c5
db87, 64ee
62b8, 4f9b
fa29, d941
1f2b, 0a36
a7e3, 8ef4
eaf8, a6dc
512b, 01da
503c, 1165
4a1a, 3aad
9a34, 7a2a
7d10, 331e
b4ee, 0d8b
7b74, a3fd
bc5f, 2ebc
8323, 701b
69ff, a06d
a488, a8b0
b31c, 6e1b
350b, e033
8694, ddd7
7b31, 8723
3071, eb96
9d03, 3d8c
0d55, 66ea
7bee, ccb0
ca87, ad61
8344, 834a
b789, 0f91
f2b5, a95b
69d3, c235
cf1f, 998b
7637, 78aa
3ffd, 7695
e298, 4e93
50df, 6ad4
f605, 9c06
5a6f, fed4
3c39, 0531
7cd4, de90
45b7, f9bb
701e, bb04
979c, 34c3
3e94, e50d
b9c6, 5d0e
9691, 3af4
1655, cb99
24f8, 1794
1482, bcef
64d2, 36bf
08c8, c6f4
9235, 57de
5e6f, a223
ccc2, dcee
6ec5, 8912
5bb3, 23c4
70ef, bd3e
1a15, 09fd
6ad4, 50df
21eb, 7e2b
2016, feb2
f1df, 1b99
4c3d, 543a
9674, c649
ef3e, 35b5
f0fa, 07ca
898b, 8316
722f, 5a99
bd43, ed07
186f, 5bf0
4adb, 2aae
19f1, b088
0d41, f3db
e689, f079
bc80, 58f1
a624, bfdf
f6fa, d604
1974, d43f
c9fb, 5e42
98c1, 96b3
ab26, 73ea
fef2, a8cc
3454, e447
50cf, 5cbc
3ee0, 8350
8ca7, 43b2
a149, 797f
8aff, 1ec5
f39b, c010
fffd, cc20
355b, 16b1
f94e, fdd0
1a89, 6564
c505, b5fc
71af, 3c5b
e7bb, 5ae8
a53f, 9710
a67a, 93f7
1b8a, 3f30
a2de, 6843
03ad, 4c6a
f5a7, 96c1
52ae, b983
260a, 9377
8f0e, 072f
7e63, 014d
d844, 4955
bba8, 5440
126d, 4e63
5ce1, 5d63
1df5, 895c
d549, 52e5
0c11, b46b
fe86, b73e
3f0e, 009c
568d, 9ac1
6ded, 6fab
709f, 42fd
df9a, 7d82
a277, 04db
6456, 69e3
23d0, d119
be3e, 6e85
e00b, ffa7
25ff, 4e94
b87b, 5b45
f0e2, 8c3b
fb27, 52ca
7ca1, 59a9
0490, 119f
313c, 3c8c
23f1, 1b87
912d, ecfa
7c57, 5fb1
e54f, afdd
47b2, 7441
9b24, a9ea
ccbc, 9137
7269, 17f2
34c4, bdb8
dc06, bf81
b827, b9d9
55dc, 524d
484e, a689
0e0e, 17a7
f93f, fec0
3ab4, b161
43ac, 2b68
a822, d253
a5f6, 20c1
04be, 60b5
2ef4, 88f4
3ce3, 3153
777f, 0687
1007, baaa
c663, 0af2
6adf, 8103
41f5, 7371
fc82, aa43
f632, cf87
70f3, 89ca
7c9e, c0ad
51d4, 7ee4
ef4b, 3fa7
3add, 5423
f73c, 3f7c
27ca, 7e48
9e75, 43fb
0b0f, ba76
2aa1, ccf5
115d, ea8f
f3dc, 171e
6770, cfba
afdb, f105
97cd, b39c
e0a3, 13bc
1063, f82a
2e6d, 2e64
0a70, 382d
a32a, efb4
5740, c388
d6d2, 7495
0fbf, 2ec4
a307, d0fd
8a59, 6a78
d4db, 4ad6
5dee, 938c
1374, 140d
dbaa, a3fb
0bed, 8f98
69f9, e20f
7e1a, 394c
5233, 0270
3fc4, 36c2
dfb2, a521
42a6, 5611
0b87, 39c3
808f, b03e
ed98, 7e01
a390, efdd
90e1, 8a5f
8118, 7aa7
3a4e, 8602
7db1, bc86
b536, a9a2
1cb1, f0d3
bb9c, 3aa5
5c0d, 0849
139d, cf62
90a6, 81ae
36be, d6e3
f6ff, dc38
439d, 9409
5031, 295b
a6a2, 6861
ba49, 71c1
b5a7, 48ae
4353, 9e58
a410, 6324
5eb2, 6fed
ee5f, 8039
49e4, b82d
307b, 0603
ba61, a3b6
2a35, 4f42
ae67, 9666
7d87, a9c3
6c96, 296e
7ccd, ddc1
e505, 07a8
f7cf, 1171
5213, 05f0
63df, 6318
0acc, 7116
873d, 55e7
29b0, 3a7e
0ab7, fd4d
dc6a, 53bc
5e61, b76a
4e52, 81d5
ec32, 2a62
886b, 4f7d
65b7, da4a
186b, 0162
e451, 2e89
1643, 0568
f4b2, fdb1
2d15, bf1e
d6a2, 2418
3b9b, a5c3
5b61, 900b
6413, d356
1dde, da68
4445, 2b97
bd34, 0c7a
0e88, f72c
b13d, 91ff
acf5, 4193
fb7b, 568c
625b, 2f05
487d, fbcc
bb7f, 2dc0
07f6, c3fe
62f8, 8815
9054, bd5f
8b46, b0ee
7fcb, 4e5d
ec5d, 07a9
ee49, 3e15
61b6, 2eaf
caeb, e3bc
3612, 9af3
9c5e, 33a3
b746, 61a2
329a, e839
62a8, 8cd8
9c4b, dc78
4d6b, ac08
49af, 6487
761b, 3f9e
c0e7, 320d
fbc5, 3c94
886d, 6c4a
f531, b50b
1944, 7c45
f656, 68f4
d310, dc7b
a853, c09f
75da, 92b0
ef51, c109
1b93, 0156
f7c3, fc86
121c, 02e5
eb53, 4c47
8903, 22d9
653a, 5629
8351, 6d92
fead, 1a32
0a15, 646a
a40c, 8112
9463, 0798
5c77, efd5
da36, ae31
5d32, 9bcb
2ae0, 1451
2c1f, a24c
8213, c1fb
cc2f, a038
f179, d276
62eb, 1772
fc28, ef09
bfb5, 20bb
e29a, 0ecd
3550, a719
d9f3, f59b
eb4f, 11d3
000f, 3279
e19b, 2985
a0f7, ec23
4d5c, c6be
7b84, cddb
8b16, f905
d4c1, 2c9e
1256, c8b5
bcc6, 56be
c124, b663
2337, a6aa
d49a, 2194
4371, dc14
b8d1, cadd
e311, 27da
f577, 08cb
8d4f, ba43
5d6c, 8299
c9de, 5dd8
716e, e656
51ad, 32f7
e78a, b653
0d27, c62f
9695, 44a9
685f, 4943
788c, 4034
4df0, 1599
4a47, 8705
7d6a, b032
287c, f3b7
0810, 239f
1e42, 42df
ea5d, afea
8980, 5566
f8e9, 8261
d725, 80c6
30e7, 9f54
fbe6, 6ac5
ca43, 1d55
c5a0, 99ae
4ed5, 3df8
0d41, f3db
5c2d, db47
7423, 0428
cd75, 6ca2
13fd, 308b
98d1, 901f
b118, e2e4
17ca, 981f
f909, fc44
786f, 3a04
177b, f71c
58c5, 8702
0f7b, c4dc
fa8d, 1321
da0a, c322
9439, 4ae4
c4f6, 43fd
6019, 0461
2f24, 1f99
8335, 0ec9
84ed, daae
00ba, b469
fa73, ceb8
e080, d85b
8e01, 898c
9bc7, 21ca
3676, f23e
0880, c7ca
a8a3, 1a18
e7f9, 4d46
d0dd, beff
8bb3, 33d2
f5e2, da20
9ba2, ed5d
9dec, 3d18
2081, 684e
c9d3, ac6e
8ade, cc06
6441, 6fa4
74b9, d024
e36d, 6a02
27d6, 591e
556b, e733
62da, 3175
da68, 1dde
98e1, 0ba0
563d, e8ad
e5bc, 0bc3
7ca6, 627b
83bf, 70d7
3f81, 9dcb
580c, bfa1
090d, dac1
c5bd, 7ee1
bc0b, 2ede
67f7, 9dab
2902, a1db
c3c8, 8b2e
c2c3, cde8
bc57, f05c
fac3, bc25
4e77, 2dfa
b1d0, 9324
e8c9, ea9c
e9c0, e62d
8ccc, f4c3
d22f, 9114
e7a1, ae6a
a0ab, 0afd
5198, 78bf
3a48, 840e
4291, 047d
4609, 0ab6
2f87, 758b
dc2e, dae4
501d, 989d
445d, 75b8
8f32, 2826
a215, 062e
2644, a034
b0ee, 8b46
5855, e441
b253, 8550
fc0a, 2c99
b0f0, 3111
6fa3, aeb1
f4ba, fbf4
16d4, f944
db20, aede
2e4a, a09d
dfd0, 9d05
df86, 6d13
adfc, 1563
6d9a, 6e81
9174, 2941
6e90, 3606
a6a2, 6861
b9ed, f2ab
b2be, d1bf
4f2f, 8446
d3e7, a020
d3d9, 0a82
4c30, fb7a
99ab, d635
aba0, d94c
f55b, f1e6
921b, 8a0a
aa9a, c796
9e34, d0b7
f638, 45e1
0d17, 47fd
d888, 552c
f19e, 4caa
646c, 8130
3b45, 19ed
28de, ccfa
473c, 7f13
6361, 3e4d
678d, ccc1
095a, 1531
5b9b, e09c
cada, 433c
50a4, 2d4c
f581, ae2d
5063, 2964
8b85, 6cee
b252, 2762
198d, 0d5f
6f45, af74
f196, 15b8
0f32, 29f9
abc9, c18f
c1ec, b1bd
a49c, bc04
e9cf, 3cef
f387, b96d
f1b3, da51
ca0a, f96f
f816, caf2
33db, c10f
3d8f, 175b
4c21, 8031
d85d, 00d3
f776, 1b7c
56e4, 15cc
5677, b130
924e, 5eca
7393, 203e
09e0, feb5
e933, ec33
87a4, 5a7b
72c7, 64fe
88b0, 2613
98fe, 2f0d
21a7, 8a89
6955, 106e
7f14, 66e0
b7e5, f8b3
fa60, df71
b102, 79c9
4888, c618
aaa2, a0e7
192e, 97af
02f3, 7e4a
cc43, 3bf4
11c7, 91dd
04ce, f6e0
c073, 4e2e
f5bf, 6766
981b, 90dc
84b4, 3c2f
eb68, 59cd
a3fa, a0be
d616, 5627
1775, 1eed
d676, ee84
be75, 19d5
6217, d33a
ca55, 4aa0
ef7b, adad
6979, e999
183f, 6ad3
9537, 9649
b818, 157e
928c, 82cf
4b9a, 64fa
3256, 4151
a506, 176c
6949, cb6b
ef29, 669b
c1be, a7d8
a035, 9b8a
3f34, 839e
faae, 272a
9a46, 0e01
61d1, b96f
81f1, 0351
cd62, 3ca4
c61d, c28f
046c, 764b
a03d, addc
2d55, 193c
b6ff, b6f2
d481, 6243
600e, 6005
9874, 77fa
bf24, 8f24
6dd8, 855e
8897, 3af3
9416, 687d
2b60, 810a
1344, faad
24dc, 73c0
af23, 7421
6ec0, 6320
202c, 4373
a28d, 91fa
e69f, 3acc
a43b, 0201
740c, b058
9067, a622
8884, fe8a
c40e, d050
8c7e, 3944
8cfa, ddd4
e4fb, 46d4
0163, e62c
27b7, 4346
dbe7, 854b
b46f, 4e66
4102, 3c33
694a, fc66
74d3, 658c
4e5d, 7fcb
a641, a21e
030e, 5cde
4d5a, c86e
e9f8, b7cb
6264, e6ce
da9f, 38a0
259c, 58b2
aeb4, 3940
391d, 8317
28b3, b48d
ce43, b3d2
6db5, 94f4
4042, 0549
63f4, 0a07
a111, 05b6
2899, 1890
bdd9, 4bc2
f793, 849f
9061, 0831
79b1, 56b6
ac7e, 4643
7f27, 9d2f
7347, 55fb
2127, cf5e
ebb3, 0b3f
4178, 2857
0e60, d32b
fcb7, 1113
d188, dbb4
2eb3, 668b
b7fa, 4279
752c, 31e2
421e, 7c10
6ad5, b615
9e7d, 60d3
3963, 72a4
8db6, cfed
0c18, fa7e
71c9, f7b5
de85, f0ed
0099, b34b
c51f, dd6d
9917, 8b61
1848, ac23
c0bf, 7c1b
7a47, 9072
8bad, b5a8
2bc5, d34e
d5c6, 8801
deaa, 77c8
313c, 3c8c
c380, e577
6145, 7104
8568, 26ff
600a, 7b75
79eb, 2557
128c, 7edc
1337, 3d56
545e, 01be
1e66, efd9
7c14, 6d8a
8480, 9514
bdef, 8b1d
b891, c791
8979, 3b32
0f7e, 0df5
d265, 61a6
4d61, c40a
e9ac, 9009
690f, 3507
9424, 0920
f775, 4f7b
521e, 155a
24fe, 4c9d
db47, 5c2d
d6c5, 875c
f31a, 2853
c94c, 16c7
1b8d, a4b6
dd7b, 63e6
9420, f0e8
8512, 1889
c2db, d53c
40f5, 22ce
5715, 29d9
d8c3, 1112
8852, 5be6
9580, 4ae7
314b, e1a7
5459, d035
9c9e, bf5e
fd51, e5f2
6c0e, 55e4
d05a, a35f
9bb9, d159
ea35, 758c
5d99, 3f87
10ec, 0665
75db, 325e
707e, 71de
1bc9, 1618
2cdb, da31
cf72, 97fc
6823, e9a1
17b0, f960
38e4, 3964
c52f, 92c9
6602, bfd3
ed65, 06c9
c7e3, cb5d
bf98, ed88
4e86, 8b79
c0bc, 29a0
b619, ec90
9710, a53f
8cdc, 5b46
58d1, 148c
21f4, 13e8
913e, da80
4bd6, 90d9
7d7d, 5346
5403, 9310
88bb, 79e9
9c60, ab06
1886, 3724
e213, d6c7
a68d, a37d
726d, 5cec
269e, 85c1
f59b, d9f3
e62a, 5624
81dc, eec1
b0c7, d7a7
7e47, 62b5
6a09, ef90
be63, b90b
8e20, 500c
2701, efdf
