bf5e, 7c96
8358, 5580
baef, d2f0
ada9, 5d08
e417, 6d64
dcf8, c1b6
1607, 370c
96e7, fcad
c2dc, b1d2
bf64, 6b98
33f5, 4c85
f084, 00ab
eb07, e1c6
7e0a, 07f9
b757, 9e67
918f, cd39
81a3, 58b2
e713, 2b36
257c, dc45
0409, fcab
9d37, b0b9
9e5e, 4d12
b95f, b356
375e, 5e31
bbb1, d94e
06bb, 0a61
0d21, e98f
16a8, 10ae
f5f3, 87e5
ad81, 7fca
cdcd, d86b
2157, 66d4
aa7a, 0598
9187, e221
6730, a3ed
617b, 616d
9e03, 685e
6891, 7f49
eaca, 803e
9b3d, 2281
2721, c126
f9cf, 2fd2
41b0, 6c09
9232, a800
7c21, 75b1
6548, 3dc7
0df0, 2576
1745, 5bc1
4ef7, 535d
61da, 99bd
46c6, de53
ce74, b61b
3023, d61c
5aa0, 1151
8dfc, a837
2632, a4e5
79d5, e084
fb5b, fd57
5880, b767
e463, f92f
a864, 75ca
841f, cee8
ed21, f28c
3c45, 5171
96a6, 8512
5431, 583b
4749, f632
0501, 8d20
853c, 7a7b
8eca, 3943
1a83, a5c1
40ec, 5031
a6a5, c2f3
ad6c, 46fc
d0d9, 62f3
4629, 1b13
2271, 4c1e
a2e4, c2ed
9294, c85a
4098, fbfe
f40b, 3996
c665, fcb5
1a44, f664
d509, 3c3a
e617, 6be8
bb7c, e98c
e4e1, e4b3
eb42, 6b93
f834, 3519
3ff1, 02b5
c0f4, 8212
969f, 37a3
fb75, 3b72
a9a7, f4a9
c11c, c323
1cde, 6577
5ec5, c92d
ac9a, 3a16
9e62, aad5
1816, 1fc7
67fb, 65b9
410c, 4c17
f843, 581a
9b8f, 4acb
c388, 13a0
ea3a, 9020
c0b9, e3b0
b793, 647c
c9b7, 096f
9940, 90cb
9543, a171
b0e0, 32ce
dc6e, 2a3b
9c0c, 6796
ec87, b702
0ffe, c66c
71f7, 37bc
2746, c529
48e7, e99c
c74d, 2985
6559, 6c69
4d6f, 2a3a
bcd4, 4473
f5a1, 86e4
9e41, b211
7006, f9ba
b682, 0574
ccb6, a3bd
f7c3, dbbe
4144, 5b42
9fbe, 95e0
357a, 1328
d506, e46b
4913, c0ff
96b8, 50cf
dfb9, d268
d09f, 7333
920c, ea62
c8b0, 6581
a519, 891e
ca5f, 43b3
a2a7, 97b8
8cc6, 761d
d78d, ce32
3079, 5d2f
32c4, 1f28
576b, f64b
3473, d075
4c52, 617c
8ce5, 566e
a50e, ed32
26b8, 1819
8781, 6881
8b37, f79c
4e05, 60c4
3fdd, 9679
076a, 8303
a772, 9ecf
d032, b753
1d96, 2691
bd37, 2ac0
088a, 9ff0
6b31, e48b
0fe5, d2df
4c76, ef35
c268, c279
aed9, 9935
647c, b793
6967, 697f
f23c, 6756
864e, 8048
b699, 3a72
0a30, 3100
7fea, b5cd
8a3f, de20
3bd1, 188d
5759, fd2c
cc94, b36d
9197, 57e8
deaf, d944
43ce, 82ca
ced5, 3b80
399b, d6f3
712c, 376d
517e, 9d9b
1ed9, 7cac
e806, 293b
acb9, ae7a
cbea, bd01
34c6, 03c0
3fee, d9bd
cd81, 4e68
8d8c, 9e24
0740, 25d5
517a, 1ecf
f8f3, e839
5769, 31bc
ee81, dcd5
3188, e04b
c7ee, 749e
1e59, 70a0
b0c5, b47e
3170, 58f5
20b4, 67f3
c87b, c7e3
122a, d3fb
8deb, 979c
c680, 0802
c066, 41ec
4623, d014
2d91, 3c07
4d62, 7272
43e2, 56fa
2071, f0d8
a0f6, 9eea
8a53, 0987
ecfa, 6aab
df43, 7db5
1d82, 9ca1
3623, f421
489f, 02b3
1385, 0f5d
258c, 43b5
f208, a24b
38ad, 2e58
bd0e, fbfc
61d1, 635b
696f, 5b70
94ba, 2234
d71a, d943
62bd, 2aef
e18a, eaa0
cc64, c422
d3c5, 540a
9f57, 53b9
0498, 1b3b
a2e2, 74d8
51d6, a389
5dd6, caba
e92a, 7c9d
5ef4, fbea
6626, e363
c163, 436e
9725, 12a7
c0e9, f474
bd24, bbbd
7ad8, 1516
e14e, bca9
f572, cff7
0777, cb18
19e9, 29cc
6216, 547d
ae04, 12bb
5b3d, 0528
685b, 6cda
e14b, c902
5245, e23c
5069, 37b6
04dc, 5597
b1aa, 0583
584e, 8b6c
b95e, dfc2
cd6e, 328f
70f1, 7b2f
b0ca, 49aa
ea74, 0d1c
713d, a99c
63c0, 9efc
2cf6, ab56
21a5, 5f46
7a56, c8b2
dc8a, 1f60
e833, cbda
742f, 87e9
eb08, d17c
4dfe, 3911
3627, 34dd
1c19, 462f
d1a4, 9d55
5e14, 8b19
ad5a, a5a5
159c, 67a6
6912, becc
2a91, a350
1530, 7bed
6481, c769
3e2d, f3fb
b4ee, b62d
79aa, 78a6
debc, 36a5
6b57, c53d
5973, 9392
910e, 6ee8
7703, 40c7
ffe7, d1fd
446a, 8461
807a, cbaa
84fa, 0fa9
0a24, ad00
153d, 1aaa
4306, 3317
6c4f, 7f57
ef07, a459
8270, 429c
85f3, 534e
ab90, 2bcd
f5a2, 46f5
77b6, 18a5
956a, d23f
6f83, c600
2635, 4719
0163, 1618
ccf6, c03f
a4e4, 056d
453e, 87bf
7c38, 77af
b6dd, da06
ef4d, 07d0
5bcd, db4a
be8f, 592f
cd84, 8e99
2fac, 9c63
40ed, ecc1
3402, e1ed
6635, 32e2
e44f, 64d0
4273, f939
2bc2, 268f
8125, 9306
3a88, 9284
e148, fa5b
a376, d228
d3c2, 9781
8610, d83e
de75, 5b68
bed6, daac
556e, fdab
c4db, 67e9
29e6, 83ea
2032, 040b
67fb, 65b9
c879, 1a20
4775, e994
dc24, cb2f
fec1, 75fd
ac9e, b7fa
5bc8, 21b0
1889, 1e82
3fce, c4ab
8454, 1a04
f9f5, 6ff8
0524, c11e
a863, 9a5b
be98, eeb2
a6ad, 724b
2495, d479
afb5, 12ff
a06b, e858
25bd, 21e2
95ab, 8c4f
b12e, cdd8
5e94, f3ee
7023, fe38
e063, 7c4d
0ad5, 300c
b164, 7814
6e29, 3741
291f, 858d
13ea, f994
df6e, 274a
2a76, 2df6
3342, 5bfa
d07c, 5fc7
769e, b8cc
1e43, deb9
f2ca, d34c
0fa6, 34f6
fc0a, 7780
e3b1, de7f
ef25, 1b71
d5c9, 186d
2dd7, 2bdb
15a7, 1c5f
a206, 1364
5a4e, a125
d57d, c8b6
3d7f, 58dc
ccbb, f65d
ec95, c574
5ab3, 1b98
a143, 3494
2adf, 38b8
1e21, f4e5
9dbd, 5377
d9f7, 3df6
fc89, f582
72b8, b714
062b, 4e12
bfd5, 5308
e59a, f62b
a77b, aa68
5ec3, c217
d24a, 0a98
1ef7, 0612
9352, 4add
fb22, 925b
41ad, bd1f
9723, 8a5d
d7d8, 3149
c439, 6c73
9130, 4fd8
91e1, 78ac
b6af, 87f1
6a6f, 61df
ef3a, 2b1a
bb62, b6b2
1460, dc0e
8d30, 52fe
65ac, 3a02
0e05, c35c
879c, 0295
de0b, 916a
f616, 35d8
f5de, e824
8dfc, a837
0e5b, 6936
a846, 00d4
01bf, 63e0
e72a, 6142
3bdf, 4674
87eb, 3ecd
7656, ee39
ed34, 541c
1e55, 22a1
feab, dfa9
73a6, a7e3
68df, 2789
dab7, 991b
2a75, 443f
e4ca, 81f0
fd0b, 5ac9
a094, b28f
3b8b, 1777
10f8, c108
a93e, 5a46
463c, 0809
46a1, 9e79
09ce, 5242
ad26, effe
e27b, 16c0
aa34, f08a
9291, 2bca
e368, 6d2b
c4d3, 9079
d348, dd32
79a8, 99a2
1554, adc4
958d, 6932
8f5a, 6e8c
0eca, 22b3
5909, a09d
1a6d, 23b0
b2ad, f46a
73f8, 5fa9
0ed7, 66fe
8b58, e0f0
4d9e, e81f
556b, dff4
a4f3, f99c
905b, e18b
e274, ce19
e2f7, 5a60
ab4c, 5c76
30ac, 5da2
7390, 8c19
1add, 95cb
3019, 33a2
61a6, fe89
7672, abf2
4cff, 1975
a9cb, f11a
bfee, 2fe8
41e5, e90f
d465, 0f4a
1ad3, dacb
3d8b, 1e68
7ee2, 9ea5
6053, 9a66
863b, a433
1335, e77c
f950, 1c87
4e42, 9110
5cdf, a95f
c5d7, 7ce4
4dd1, bbfb
e29c, 4910
9e0a, 3a60
14aa, a1f4
6903, 0757
d9c7, 5ec8
1fb8, d24f
e46b, d506
0406, 20a2
ac90, 0e39
60d2, 3a1e
5ff8, e475
5a68, bbec
a511, 5a45
2799, 6907
6a9f, e4ae
cd24, 5e34
f8c2, 8372
c1a3, 7578
1510, db28
c86d, 7a60
4ca5, 5f1b
3d27, ed66
0fee, aa04
8b89, 7acf
1f99, a204
fe20, 31cd
02ea, d404
8af8, f7ee
50b4, e099
5605, acb7
7e2c, 6897
7f53, d52e
0d8a, e831
210e, b388
bd2a, 5ba3
6b6b, 30b7
fc2f, d857
ba85, 3979
4e26, d84c
5a6f, 120f
7fd3, c1f1
4ff4, f1cb
a4a0, d59c
bfaa, 69ad
2edd, 9da8
0019, 0ab0
67ac, 7813
7221, 7cb4
3f90, ec33
ef58, 0715
025d, 3773
a86d, 427d
157f, c275
0e00, cc73
dcaa, b277
6107, 4f70
c5a2, b4ce
db70, 715d
6630, 01a0
bcc2, 1fb9
72d8, e357
8fbd, 6650
d3c9, 8078
000e, cb12
da7c, fc83
e866, 2e3f
fcca, 27bf
63e7, e12c
b2fe, 6cb6
2f7e, d059
a110, 7100
6701, c34a
c1c0, 0a9f
714b, 0eb7
04f4, a603
a20c, cf8c
dbf9, 3f77
9f89, f86e
fb2d, 451d
00a3, 5092
f8eb, e94a
f68c, 4c1b
7ca5, e628
14e0, c868
481a, fc46
003a, 7c97
a165, 8a1b
3e17, 9e6f
ed1b, eb35
b775, 60cb
e066, e96d
465c, d6dd
d21b, 59ad
5ee1, 2def
a694, 5932
87fa, 4607
9ccf, 7ed6
d941, 7fb4
a88c, 96c1
f670, cf3d
a288, 24cf
1769, b610
8431, 88f1
eee3, b429
fbd5, 62f9
641e, ee83
00a9, f6a3
c117, e65b
bb3a, 83ee
32fd, 982e
c56d, a72c
9f4e, b73e
294c, 7ecf
035d, 4bd4
1f4a, c16a
9cf6, 9e54
80f5, 0ea1
6af3, d181
b5dd, 4176
ff32, f2f5
3c7d, f0d2
b426, 3d95
7df0, 2012
76be, 52f1
3e39, c175
73a5, 0eaa
1995, e506
41f2, 409e
9b8e, 695e
ed91, 1000
501f, 8311
594e, 4bf7
056f, 21df
fe10, 3b29
80de, 2912
a61f, a5df
7ae3, ca99
2383, 31b7
6cbb, 7e33
e135, 646e
4a50, fd54
e1f6, ea96
b926, 534b
ce3c, f09c
3faa, 0dbc
b30d, b67c
7dbd, 08a6
9bb4, 84b6
4535, eb68
26b8, 1819
322d, 3924
2840, 1324
341d, a7df
243f, aab1
385b, f2ef
e8b2, 43f7
a7a4, 221c
6990, 7591
4509, 6c11
aaa2, 97c5
12a6, 7a12
815b, 4ebe
1357, 4a9c
8976, 4200
0b98, d31f
d32d, 2d92
89ba, 3993
1d46, 8675
3310, 8d56
fbf4, f919
b895, 6547
80b6, 9884
ddd5, 2aa0
8f2e, 823d
9659, 67fc
be31, 4921
97ac, bf81
59e1, 2192
4cae, fa49
e8d1, b530
de09, 5ae6
acf9, a158
eabc, 52b4
d3e9, 3ead
8263, af6e
5a8f, 22c0
5f30, 0e29
2de9, 2004
958d, 6932
a0f2, 8bfc
5086, 785b
e8e3, c8e6
ff60, e44c
7945, 5e59
277c, a909
6c59, b111
6bf7, afd2
f0d9, 43f5
4509, 6c11
bc3e, 2155
6e9e, 0440
f7c5, c1d3
8188, f44d
bd64, 4f35
8af9, 5987
5819, a343
3036, 48b4
d09f, 7333
ca1b, f537
188e, 08ed
5af1, d2fb
8098, 1648
1f27, e11c
9dca, 9a6a
995e, 9033
6e90, 90fd
cbb9, e45c
de5a, f316
e266, 04e7
14d7, 192b
a7e1, 2e00
ea79, bf12
1424, 42e2
6105, 038b
b21e, 3c7f
f409, 8d94
4e16, fb8e
1947, cc68
678b, 5358
4a5d, 712d
33a0, fb63
7410, b0a7
f543, 7a7a
dfa2, a205
6c4d, 0c69
45ec, 1421
0d02, b455
cd65, c4f2
befc, 4dd9
633a, 9367
fa21, 83ad
fc35, 099b
23a9, 0b73
6b81, 99c0
2a28, 653b
1a28, 83dd
13eb, cc6d
e8f9, 8f83
c435, 3af6
90f3, 97b6
c6e9, c757
71a2, 98d4
f396, 339f
0d1c, ea74
1639, 1c7d
4798, c889
18c2, 7c7c
350e, 5b52
b005, bc01
5583, 9530
b49b, d630
1332, 0211
d1a2, ffd8
1e6e, 0b8b
62ef, 0666
ccb4, c8a1
5562, ea82
2802, efbd
9fae, f2e0
e0dd, de3a
d255, d236
0a25, e6d2
fc8d, a3e8
a4d4, dc5a
5d44, 5e7c
54a0, b1b6
b0d9, d745
6a33, 0f4b
4147, 008f
fb77, 5aad
d1cf, 6970
8c8b, faf0
624a, 9b04
7afd, 2904
d5a6, 05fa
6a4e, d07e
af92, b58d
cd29, 4086
b297, ca65
62f6, 71ff
0abd, 5668
2691, 1d96
fe63, a1bd
0862, 9613
5fa5, 7461
464b, 483a
c8c2, 513a
d2e2, b4aa
1431, 18f1
83ab, af96
916c, eb27
a5ff, 9b35
5846, f063
088b, 8276
98a9, b73a
d569, 8694
6544, b184
98f9, 8364
6d25, 8dba
5ef4, fbea
b7b3, b3b4
7894, 0011
c66b, 8ef4
f346, 3dd1
daf5, 60a5
4a06, 7060
adf4, ac5a
5b5b, 9026
293d, 08e7
82b1, 42ba
c5cc, 7c98
d222, 541d
f57d, dedf
a97d, e3d0
5d8d, 5e46
1ba6, 62e9
b45b, d282
46d6, f5fa
1816, 1fc7
6c7a, 226c
628f, 77b9
38c1, 6bf2
50bb, 422d
12ed, bfab
23a8, 27a9
bdc4, 9d5b
deb1, 9ef7
66c0, 9008
2851, 039a
2f50, 225c
d4aa, ea94
3c8f, 9775
8597, ed2e
fc28, bb9d
c118, ca78
0ee3, 696d
a1bc, 5865
8d77, 40be
3a51, 5504
412b, 4bf9
0185, 7ab5
205c, e100
16d5, 10d3
4bd4, 035d
0ea2, 9217
2555, 857d
69ce, 4979
8023, 8845
83d6, d1b3
3c3a, d509
9adb, 67bf
8892, 3005
9cf4, c923
2a09, db57
65c2, 1dee
eda6, c13d
946c, f46f
f7eb, fd8e
351b, 2cfa
c7b0, 240d
6583, eeae
4e3a, 3ff6
82fa, 7070
1f34, 1226
02bc, 3db8
80ec, ebff
e308, 6962
3cb1, 6431
e0c9, 9b73
2523, e433
27a1, 01f4
80e4, 2c1a
4a39, aab2
e425, de93
90b5, 6cd7
158f, 8ddf
3ab4, d93d
ace5, f341
8723, 90f9
4797, 0b31
3099, 5f4a
e71d, e5fe
7b7e, 7d18
056f, 21df
f9cc, 8bde
8966, 6e2f
c1dc, 48ad
da5d, b981
6121, 65bf
3f58, 5de3
0198, 152b
108f, 16d7
7782, 67d3
14a8, 6b40
2ba1, e2e1
210a, f973
5d9e, 2b42
e605, 3f53
4c99, 6b34
1ee2, 2dba
95dc, ffcd
1126, 22dc
90ee, 6991
8b92, 8f92
6f40, 86e8
e9e1, b9ca
2fa8, 057e
5db1, e83f
92ca, 48e2
4bc3, 3fb4
ede4, 4941
adcc, 7a2a
6da4, 2f49
fa6a, e823
c713, fc41
137d, 7c5a
9746, a7fd
8ff9, 18cf
3feb, 3401
30b3, 3192
9243, 9f04
37ed, 1ac7
8b2f, dc29
ca9b, b546
d651, 3a65
303d, 3634
ba77, 4a8a
4bab, 552d
5c97, b03a
e1f0, 4421
9583, 770b
216e, db0c
7cff, 0af3
eb71, c834
223b, 36a4
971e, 083e
5305, 1c76
18b0, f7ad
f62a, 355c
d5d0, c209
5cb6, a3ee
8b02, 1c7f
34a3, e79d
47fe, b239
3a3a, 55a0
5ff3, 86e5
0f8b, 9a75
ccf8, f774
5ed4, 125d
66c2, aef3
1c05, 5761
6cfd, 0682
e0c4, d40b
7574, a002
b669, 02a0
43e6, 94b0
8aa2, ed11
1b54, c150
2c3e, 2b32
64ce, 95ca
854c, 1b6c
b72f, 9923
1113, 4359
a93a, 8269
191a, 43b1
fd84, 5234
bb04, 54e6
1127, 81f5
80f6, 9416
ec1b, 3934
1a31, 1d44
93a9, 5dd0
7023, fe38
f779, a3d8
7502, 2bd5
0165, 0eed
187f, 5f58
d6a4, a686
ce0d, 5e64
ad25, 25f0
2b95, ae94
af7b, 6379
a0a2, 29da
9c6d, a0b4
3aca, c6e8
5710, 950e
beb4, d38d
723f, d30b
da9a, 3183
109b, 11c5
3875, 73d4
8218, 51fc
5a3a, a510
f43e, 6416
df91, f0ae
4439, ce37
4f72, 4aba
d5d0, c209
62b6, a4ca
2f7e, d059
4967, 3a8b
ef7d, d304
8b48, c89e
f45f, 020a
7c2a, d70a
b8b1, 5f77
6de4, 329c
03bd, 97d0
482a, 8687
168f, 115d
54a0, b1b6
0dbe, af94
041e, 60a8
f963, c543
92d0, 549b
f552, 45b6
ca66, 8139
432a, 2214
6176, 9a31
078b, 9e43
5274, c7ae
0743, 834a
8906, de2f
bdee, f732
585f, 7315
89de, af21
1dc6, 58df
c6d0, dc19
bb00, ac7b
fcd8, 4ece
f407, 5c53
420b, 6ddf
4f44, 7ca6
55ff, 18ba
a7d4, 41af
01df, e464
507c, 51a9
409c, 7b27
4bd2, c472
de71, 2f4d
3c32, 3259
501d, 50e9
526d, e6d0
b333, fe13
ba65, b60a
854f, a9f7
3169, 95f2
c460, cf0d
910b, fd52
4f59, a013
c750, 62c8
e93a, b589
ef56, 9c9b
bce8, bbe9
83ae, 293e
3559, f849
5556, 66fa
78b7, dc9c
12c5, 1112
7b3d, 3b87
97fa, bde4
a223, feda
901e, c3c3
b4f7, 0893
44d0, a60f
34db, 2d4d
f2e9, fd44
0786, 37e3
f7db, 4683
1c68, fe6d
cd5f, 2b51
f756, 66f9
28b2, 22be
bbcb, 79c7
827f, f9fe
13d2, f79d
7b00, 5f0d
c7bb, a8ae
3f54, 9ea0
b098, c6fe
0076, e145
a113, 15f0
2161, 4bca
1d81, 5b3e
6f4f, 4a69
e41e, b114
9a2d, 3793
bf4b, f159
7dea, e28c
0e2f, 3d79
6d29, e072
48c1, 5a20
bddf, e7cf
b6d4, dbd2
c065, f8f5
ed53, 2db5
c926, c2b6
79d9, 321d
8109, 7ad7
7476, ee15
bc52, 6d1b
9859, 2d8a
366d, 1d76
ca00, b5c7
cda4, c787
1d12, a336
78e5, dfa8
d6db, ae8c
5386, e06c
cba0, 9f5b
2752, 2459
a78f, c46f
ab16, 0cd9
13fb, 8ffa
cb80, d783
c674, e5c6
2f23, e2e2
9021, 4739
b59b, 7d06
0153, e9fc
90d0, 7d19
f010, 338c
92fa, fd56
46c9, 5fd2
6a00, e90e
4572, 8e35
94e3, c195
dcde, d556
7f01, 2056
f5a5, 3dea
6c62, fb66
fc4d, f0c9
67ad, c313
3f44, ee01
3ace, a274
5757, b0ea
bd61, 8f8a
d623, b605
c6b2, 1253
2410, e779
b9e8, 6eb1
e35e, e658
cd9c, 3d33
8edf, 4e73
89db, 6bcc
6359, 50ac
d2e8, 6eac
5353, 59a8
069d, cf75
7720, 5d32
7cb8, afdc
b694, d4cd
8401, f89f
3223, b892
dbff, c000
51ca, a5e2
e319, 475f
0f1f, bdca
d99e, 93c8
3363, 0fde
1e9d, a66e
4c15, 9ab5
8043, ff1b
c2eb, 0b53
bed5, 7526
c4b7, 8cc8
f96c, f805
3ecb, bd44
a5d2, fbd6
2ebf, 28bc
a4f4, 830f
78bb, 20c3
b9ba, 938d
7270, 7c00
6181, 1e67
1e2c, c5b0
121f, 84f6
7540, 5e47
9aef, 8c16
0d40, 7325
b3c3, d138
589d, 3197
a51f, 8185
c903, 9d48
eaf5, 2c7f
4a57, add6
0c45, 716b
0f2a, b8ba
8dc1, fa6f
468a, 0778
7928, 77a4
c47b, 304b
c2cd, 2443
a80a, 5c0a
8239, 8df9
a421, 2a3f
e60d, 5604
38cc, b6ea
3e64, 7803
5e52, 8877
61d4, 9473
a7a7, 85a1
6c93, 5e85
4175, 7ba7
dacb, 1ad3
b8b5, 3057
9963, ba93
4d4a, 213d
8b0b, 090c
4d43, c149
da5d, b981
0022, e2be
e14d, e3d7
8f45, c0bd
cffc, a2ec
f11e, 452e
a324, c791
4014, 5dda
7627, 209b
a9d0, 57c6
11af, c8c4
9817, fe77
8a06, 2987
fd58, f9ee
ece8, b725
648b, 11a9
8dbd, f44f
902b, 02e9
8362, 11ff
c185, d01e
f05e, 26ab
2313, 6eab
37ec, 1c73
43bb, b27d
5882, 4f2f
73bc, 659f
e45d, 1b6f
2458, b1b5
9278, f6fa
7700, 85ed
d2ba, 89cd
69e9, b77d
2ae6, 5168
f611, fead
e16f, 6ee7
549d, e5ab
3a4d, b8b9
d9df, d7f1
6bf6, 47ce
e8b6, cba6
eb0b, 2e67
9362, ba9f
f1fc, a516
8f50, 6b3a
67f6, a0a9
3cae, 171d
3728, 40a9
4810, 4d4e
1c18, cb36
30c7, 1ce4
cba9, 88d5
f6d8, 1223
3ac4, 4063
fad9, 88a1
06c9, 6205
9f46, d841
3d23, 6f0e
6123, f175
023f, 71ae
0922, bc6c
d797, 5e93
7122, 77bc
3101, 065e
1ca0, 423e
f652, d840
822f, 892c
1e24, b0f0
308d, c043
c3d4, c78c
1a33, fed7
ef0a, a616
7ee1, 07e2
cde4, 11e6
c580, 03fd
255c, 4ed3
98ce, 8dc5
a4ba, 4772
3198, 15bb
fea1, 5ba1
15f3, 0df7
ddb4, d832
7b57, ce42
0541, 4c95
b86e, abfc
9bf9, a111
7ada, 1d7a
5045, 0c64
8c23, 0b7a
8d40, 9edf
8364, 98f9
3f89, 30fa
f7a1, 6df9
0b4c, e45b
f981, 68a9
d216, 45b0
1517, cc5f
bd8e, c93d
3d72, 86c5
038a, ce17
e397, ff09
7b9f, 0d53
e2f9, 18d4
b444, 0362
ef8e, 1f69
becb, b37d
c583, 711a
0eb0, 8748
17c3, fab6
ceb1, 9a9a
2117, 7525
789e, ba25
b46b, a9e8
ba0b, 948e
e2c0, 097a
e9e5, eeed
81d2, 3d28
95ed, ddd8
aebb, 6dce
e045, 4169
81c2, 85f6
f6f8, f0fe
251c, 853d
8492, 43be
dbb2, e457
0d9f, 76d2
83e3, 95d9
21e2, 25bd
f905, 76e5
d2d6, b8e9
0a78, 9e8e
db92, 5b13
becf, c8c7
459a, a57b
880e, 042f
e2e6, 203c
5212, 17df
e573, 32ee
5695, 68c4
47dd, 3b60
d610, 5d55
c4bd, d5d4
f371, 5c9d
