1057, 44fe
cd1c, 56a5
cac4, fdaa
353d, 5f17
c38b, 551d
d74e, 9ee9
86c4, d068
5719, d7a9
c344, cdb6
edd8, d081
bf3c, 868b
87b9, 3850
a4c0, c598
3f19, 6b2c
fb2e, 054f
66d4, 7abc
f422, b8b9
92f2, c507
f629, 1151
31d4, e5b4
c3e7, 2b51
6cd5, 1bd6
00ef, ca0f
38c4, ee24
29ac, 496b
c01c, 711c
12cd, ff63
9521, 358f
8946, e0ff
9cba, 85c1
e8ad, 5f72
8b0e, 7b9c
150f, b2aa
d16c, fbf7
9f2b, 9870
e82e, 579a
b8ad, 1878
e30e, 7a8d
0572, 0576
f445, 1f9f
1100, c100
2d69, 79cf
c8b6, a9c3
76ca, 584a
2702, 6260
d7ce, 46f6
f2b7, 674b
fcad, 8263
191f, 4247
b729, 2896
aa2e, d7e4
2826, 4f0a
960e, 2b48
9cd6, 0c21
0455, 2753
0afa, 8e70
0b3c, ae17
4894, 9f68
dfb4, 0e6e
635e, df9f
78f2, e07e
07eb, 9b87
0da5, 89bf
5774, e427
f459, a134
12a6, 4289
bb89, ac42
a55f, e110
7b1c, dc0c
817c, 750e
0c14, 2ef0
548b, 42f4
49d7, 70a2
8604, 3691
31ee, e13e
8158, 5ae8
edcb, da9e
eedd, 0ba8
cf3d, 0af3
233a, a034
40a5, b0a1
0a89, 8cd1
7578, a9ea
8765, acbb
d34a, 9787
50a9, eb00
ce72, 59fd
0ed0, d00a
fa8d, 6597
8028, 76f4
3ce8, 5a53
4961, 2aef
92c1, 232b
4cb2, 7524
e769, 07e9
06bc, 7b1a
064d, 5df8
bb6a, a28b
3e9f, be9f
ac24, c671
8bfb, 5b9b
7035, 0316
1ac6, 81fb
2cbf, 793d
2f62, cf5a
2dad, 4b6d
212a, 2177
4ac2, a2ab
86cb, 4508
69a0, 1104
fd07, a443
42a6, 1289
660a, 462e
9564, 1dae
0e15, 2d32
ff9c, b20d
3d1a, f3c8
78c0, 63cd
b4a9, f713
3c24, 9a32
fa44, e158
dd4d, 9608
4c75, 0f38
9bf6, 993c
d21c, 8401
ee82, 5c53
17dc, c9bc
1ed5, e45c
48de, f83e
2edd, ccb9
35d6, bad1
75ca, 1cb4
4373, fa21
4e93, 6fc7
bb72, 7ad7
ca82, 6592
0c8a, 9e88
b741, f095
a31f, 9956
627c, 4d3b
b16f, b234
412a, 2577
2bfe, 3c4a
6330, 8778
3a30, e6f9
5662, 4c30
7db6, e57a
4d1d, 1023
99a9, aaa5
0aa3, c6d2
3ba3, 1856
1709, c749
7770, b19e
ceaf, b2a9
32fb, 6a0c
75f1, 7e5f
692d, 39cd
e396, 87bd
b581, ccf8
cba5, f6d3
0100, dcdf
030e, f98e
5401, d425
cdbc, 5928
912d, edcd
f880, cff0
0052, c50f
7589, 81d7
9be8, 3d6a
586d, 7db8
3fd1, 84ca
f6de, f56f
e11a, 1cbf
dac6, 5a76
5da7, e6aa
fe01, c9eb
4294, 7ed2
cd3b, ad5b
a0f6, e33b
2b59, a86f
a191, 85ee
ca06, 9c11
9f8b, 2110
0331, 2dec
8dee, bacb
a4c4, 2a06
ebf3, 5645
e36a, 8fb4
90c9, 33ee
3484, 26d1
6681, 7b00
bb94, 3bc2
540e, b48f
f165, 2e71
662a, 50b3
f51a, 188a
88a3, 3940
3383, bed3
cff1, 1780
5cba, 108e
529b, 15aa
4ce5, 17ee
1e70, d09e
d884, ca03
cef6, 109a
b755, e7ab
85d2, 65bc
adb8, 9fbb
3075, e802
2f85, 20ef
cf57, cff7
3960, e029
f4bf, 4f92
ba8d, 6a5b
94b3, 8373
01cc, 5c2e
c074, 874e
a7fc, 701b
7304, e65b
69ec, d0d9
3cd3, ead5
5694, 8b9a
9a0f, 9549
2111, 21c4
149f, d43e
3afe, 2beb
3eab, 6b79
f0da, 4bdf
2b27, 4ff1
86ed, 454c
f1e6, a9a4
c591, 5e52
14ed, db44
a4bf, f6c7
b101, 9c38
a9fa, 258a
ac62, cda3
3053, b0ca
1bb4, 02ed
2549, 210f
d077, 2e76
b45b, 6ad4
edbd, efb3
f0d8, 9ea0
53e0, 884a
cc24, 00ca
a7f2, ebfd
ac0b, 2a03
ab8d, fb8d
d254, de0a
f64d, 0738
1d73, 6578
27a3, 445c
dcf3, 4cf8
54de, d8a9
57f8, 4ab9
9b14, 4254
4f10, 982c
c5f8, 7818
cee6, 535e
6e3a, 2d3c
36b9, e1d3
a80b, fb15
27d1, 4c5f
5486, b53a
3d39, 803f
9f68, 4894
243f, 6476
a9ed, 01d1
0be0, 2123
6fe7, 05f3
2376, 4e4a
c647, ff02
707b, c7fc
4e6b, 2767
11b7, 9169
b7c3, 86d0
3b99, 6e46
3564, ab5e
7553, 10e2
e6c3, 87bc
506e, c3e9
8cd0, b5ee
d034, 1aba
5844, 7d24
c36f, 7fb9
6bce, 43f7
05af, c53f
1f1f, 071e
1d7e, 7ee1
e2b7, 90e0
3984, 1edf
5937, d701
6a32, 1af2
d966, a9e9
c1f5, 70f5
843d, 1d34
7a82, a0e8
b46a, ba39
bdbe, 386b
c567, 022e
e337, 233c
b731, 9070
307e, 0604
58b7, 5927
4e88, 5782
b0bc, bbee
220f, e3f8
2068, 5743
dbb3, 5cc3
e61e, 7e9f
e9ee, b7dc
4ece, 571e
f8b5, f778
fd90, 7788
59f0, eb83
07d7, 6b3f
d0b9, 73e5
21a4, f1b6
6b47, 5009
4252, b252
1d07, c995
2c2d, 957d
c519, 52d7
93f0, 1a27
7031, b0e7
c03f, a3a4
b251, 0a62
9e28, 87c8
7fc2, 5f2f
d2f4, 76fe
c91b, 00fe
8a35, 5e4e
0899, 7ef2
3577, 0bb6
b27e, 16ba
a557, 9df2
039b, 170c
e3c3, e472
a395, 13fe
583a, e62c
a2aa, 5c87
f795, a047
3a7b, 0cd2
3f66, 842f
c8fb, 1015
9f50, 417d
4785, 7785
c196, daca
bc48, 1d45
c44f, 3314
07e6, e9b6
9d78, 1d0d
4685, d6e8
9d6d, 9bbc
9657, 33dd
e248, b655
bb10, c51c
36bd, 39b9
f18e, bb7c
4107, 9005
07e4, 1494
a5f7, 42ff
88a1, 3a42
6f38, 3f88
08ec, a696
22c9, a859
1800, 620d
f841, c2b2
b085, 3e8b
2348, e666
3d3c, 6f8b
e340, 3e87
fc78, 1581
8c30, 13f5
d8bb, 2a3f
938a, 8451
5a41, ecfa
3c24, 9a32
4aeb, 9a3d
352c, 7ac3
02e2, b088
17cd, bb98
69fe, 931e
8a74, 5111
5d08, 7d90
883c, 8d3e
3beb, be5b
05cf, 8121
6812, 4ff0
06f2, 0fdd
58f1, 1e7e
eced, d58c
27a8, d829
0ac7, 5655
9271, 9d43
8f9f, 8bb2
fad9, 1cdf
200a, a304
7387, a8ec
8a03, 3920
560d, 8d0c
e954, ac98
28bf, a854
157d, caa1
d793, 68d9
a08f, 64a6
de87, d6da
9be1, f611
980c, 0a00
d260, 49bd
182f, 9f4f
5e9d, 58e1
8484, d6a7
a8cb, 1ecc
1470, 438e
025e, d5a5
c16e, 1b19
d93d, 1282
5de3, 06b0
ae95, 89dd
f8b3, 4298
4516, 2a1f
5cc9, 8000
1f2b, dd48
1d73, 6578
e612, 8023
020c, 13fc
a6c7, cca0
5c6c, 13b2
08ae, 7819
368c, b88c
f702, 337a
9cc1, 6d39
fc7e, bb75
0580, 3e48
1625, 8210
8f93, 5f8f
e7ac, b75e
c009, c7de
1a84, 4abb
0e12, e495
5e41, 0c6b
53cd, 2a85
7172, cab9
ff46, 4826
b49e, 349e
b789, d729
1664, 966f
476c, 29ab
22cb, 2f17
2f42, 306e
3def, 3b59
90d1, 4e5a
3b70, eb70
f2d0, ae08
df98, bd91
dfb6, a0ab
a476, a8a9
ea92, 8a0f
f2ba, 1aef
ef3f, bf2d
15ac, 61bc
2d82, 4705
e0c4, d9c2
85a6, b5d7
69a0, 1104
a715, cfaf
3aa4, 4a14
7fa9, 01e8
bf9a, 684c
70c5, 1c1e
4ebf, 6eae
670e, 9e7e
f3fa, 4bfa
c8e4, dfbf
5e91, 75bd
598e, 5f08
0991, 14f1
7dbd, 5658
d755, 3df9
313f, 7a52
317b, b7ea
6983, 7485
7ad6, c516
4436, f692
6bd0, ecce
b890, b64f
462e, 660a
d9e2, 71dd
3556, 8567
efad, c83f
871d, 6178
6c22, da59
ea1e, 6abe
aec8, 7e6d
c121, bcd1
058e, 3989
bbf3, 54e7
a8e9, 0190
8cc1, 0a2f
da97, 4191
f48f, a551
b2f1, fa76
8fd8, 374d
2387, c413
f8b5, f778
87a9, 9719
1006, 1c8e
086c, d989
bedc, bbf6
78b3, 7fbd
e2ae, 2fa6
b0e0, 6ebd
5b5d, 0e94
74fb, fe0d
a2ab, 4ac2
5651, 80e1
aa96, 0559
529d, b665
3fca, f492
8fdb, b6a5
ac6a, 0ab1
7223, 8d6c
4b5b, 3a0b
cfe4, d8bf
3b4d, bf06
bfec, 7590
556e, 25de
679c, 7c08
a4f5, e815
269e, 9b4e
b730, 801a
9e53, 086f
4eea, f3a6
6334, a83c
c168, 2ec4
3357, de3c
b1a0, 83fa
ecf1, 2b05
790b, 0a95
ec09, 392a
6c77, 7f0c
bfe7, 55f3
048f, 241f
5c98, dd7d
a9cb, 1366
213f, aa62
a2b6, c9a3
ff0c, b881
4212, badd
750b, 08db
d87b, 2191
fc5b, 2553
b868, f7df
4135, a15b
fa32, ae0c
43d1, 7cb5
9285, 5c8b
9f83, c41b
bbfa, 06f1
03a6, 2335
854c, 644c
4bfd, 2d0b
8ec6, a2b8
7040, b6fd
69af, 13a4
d49d, 9a05
200d, dd9c
7736, 4a00
f511, 55df
712e, b5b6
5499, cf95
58a9, dec4
bdaf, 70a9
8102, 3af6
7485, 6983
6115, b931
085f, e31d
8781, b2d3
f74f, 80f4
f764, e10b
5fdf, d8d3
0a44, ac80
2ea9, c872
377d, b118
453d, 955c
8cd6, ac21
792e, e995
1f01, 46f7
9af5, 2240
90a4, 07b6
abc5, c791
05d9, ca76
3b0b, eb4b
8265, 6312
fd8b, 924b
fb70, 44c6
6169, c38d
fe00, 5a0c
cd10, 09ed
8496, 0bf4
cfbe, 57ea
8eac, f386
cd8d, a54b
797f, cb10
6dd7, 2dd8
3eea, fbe0
9b63, c871
45a1, abd3
ee98, 885f
e844, 0d24
7a91, 640f
bb4d, 0dfd
b0d0, 5cc5
b0e8, 8eed
179c, 1067
b6ef, afad
e01b, dc7c
f78a, ce5b
c5e6, 0105
b5c1, 230d
c640, b896
7576, d2a1
e0b6, 3bd6
a5f3, df34
60f7, 8c63
2eb5, a3e5
62c1, 5544
5c21, bbb9
dde0, 8af5
4610, 1b28
5560, 4064
5567, dac1
ce5d, 7ee4
1459, c134
ae3c, 7e34
9f47, aae4
1033, ad58
d71b, cd0a
40b3, 2d01
231b, 0711
83b3, 8bbd
22af, ef1e
ea28, 0acd
0f65, 7527
cad2, a5d6
70ca, 9063
1bda, 90df
c9f9, f460
2166, ccb7
b5ca, c11a
2cae, 53f9
9fe5, 6ae4
0fae, 28d6
6410, f093
1d1c, 0510
8265, 6312
801d, e010
c59b, c5fb
54dc, 0f77
8d77, e830
a2ba, 8c4b
020f, b3f8
c36e, 1595
8099, 6e96
ac8d, 7a44
2f9b, 7d5b
17c9, 07d9
7b90, 6d00
729d, 8595
7fb0, 0f63
f8e5, 125f
c4bc, 5f27
8eb5, a8ca
dba9, 9b79
4529, 8ad3
f03a, b2b9
2fff, 675c
cf7b, ce2b
85d3, 7ff9
285a, d067
26ca, 9397
d752, 5c6f
a07e, 2dcc
cb42, 79c8
c15c, ee1c
d4c9, d867
ad83, 0c36
53bf, c1b8
f6ba, 4dbf
c378, 6527
4325, 79f5
22c2, 083c
60d6, c1bf
6e59, f5ed
3ae8, 3e82
ed73, efff
734d, 0a10
cc51, 43fa
783f, 6f39
ad05, 407b
a20e, 8378
d7a1, 25e6
dc4f, 6e67
14ea, 95ea
9b6e, c170
571c, c9d7
9e90, b61f
331b, 5ecc
3542, 519f
f1cf, f2fa
3fe4, 3f57
a8be, 3560
cb8c, 5e81
c252, d46f
3809, 3ceb
c6d9, 0f3b
5857, 50c0
ec64, 51a1
28f2, 1a35
0391, b0dc
9c2f, 8565
4756, c002
6496, aa5b
32e4, f4c8
c13c, 1753
e7a9, e465
e7d9, 5e50
e1c5, 633d
132a, 4b22
4299, ea85
5f79, f07c
ac87, d8c1
40d9, 70c9
6d3d, f67d
acd0, 5e0a
57da, 1487
c3c1, 1da1
2827, c1d8
52c7, e77a
f282, c557
37d9, d7c9
7db0, e6e3
d026, 46d9
a3fb, f53f
6a38, f8a4
6011, fbbf
1d9f, 9239
650d, 3518
a7ce, 96a7
be99, 19bd
5cdd, 6d43
84aa, 391c
396e, ac6c
d7cf, a879
c392, c2fe
db97, 4fd9
3fce, 92b8
63fc, 17fc
5975, d37e
60f2, b565
74dd, 339e
1e48, c898
3626, 8d1f
88ce, 48a3
48be, 94cb
2af5, d595
3854, 8857
c23b, 2f78
0feb, c699
d8ea, 2067
8c22, e5cf
e4f4, 2434
a645, aefb
1625, 8210
8167, 13dd
c62d, 61c0
7ef8, 6a9a
8920, 8af8
02f4, 5261
8b1e, 5d12
0d97, ec1f
0726, ae5a
cf20, 1f70
aa8e, cd09
9dee, 4d6b
bb29, eedb
2cf3, d110
4190, 9016
49d9, e9c6
ba2f, ccbf
0d30, ded7
47f7, 8280
ea01, 4411
bdd5, 3fdc
0b41, 7ec7
afb7, 73b6
0ac9, 2467
528a, a21e
a06b, 2065
ecf4, e591
2479, 0676
ba7c, 13fa
bd89, 4cc7
9341, 2dca
9315, 8715
9040, 4098
71d4, c9f0
98a8, d7ea
7162, c122
df8d, dacc
a33a, 8cb9
db08, 02c4
d461, 717f
1f7d, c820
61a8, add9
c55c, b249
6cd7, f171
2d7c, 551b
9da4, 8add
20e8, 8b64
64ee, 13f8
9aca, a3ab
bb13, c515
f929, 07a6
3b93, 5648
583a, e62c
91eb, d13b
50c7, 10a7
ac4b, 1c4c
4446, e53e
55c0, 659e
7fa7, 19c1
435b, f05c
5586, 815f
0646, b412
a00c, e0f2
3fb6, 8444
99c3, d81f
b94b, f261
397a, 3277
0c9a, 7839
13d3, f8b2
51e9, 74b4
0b3f, c86c
20fb, 0977
f897, 4d47
9ae7, 1457
a6a6, 088c
5838, d115
c236, aee3
3578, 65fd
11e2, 754e
31c3, cdc0
092a, b42a
93d5, eeb6
8946, e0ff
a8d2, a5f8
2c98, 95f8
2760, 8870
bafe, 073a
2475, 8479
89c9, a939
8abf, 9caf
849a, 83df
de41, 97cc
c633, 51a7
f8cc, 2643
8b83, 30d0
a8d9, e287
e305, 5483
bd49, 84f8
24b9, 2621
4082, 1fb1
2617, a5c5
b33c, b3f7
2fbb, 8111
8d86, 3082
9d0a, 49ef
d91b, c6fa
b485, 413c
ac84, 12e6
2904, b3af
6947, 9b2c
ec94, 3af1
590c, ca6c
2626, ccd0
5ac8, 7a2d
1e84, 9b34
f661, 3269
912e, 8dde
fae2, b5f5
809b, b9e5
41c2, 8a65
7440, 8545
93e3, 0fbf
adfb, 951f
de59, cd54
8085, 1339
6c06, c098
9de1, 83a0
ced5, 73d6
3c77, da39
6088, 72e2
c065, 4a5f
c8c6, 67c9
9825, 1fc5
b3c7, 3bc6
443c, e325
8f7a, 681a
5060, 7064
09c8, cddc
8b4c, 3cbe
b802, 6849
7f48, 8e20
db12, cb74
a8b2, 2059
e9b6, 07e6
e837, da0e
3937, 6a33
3d43, 0057
61f7, fc3d
ad01, 5747
4d99, 94e7
7e0b, 01dc
558c, 8180
d8c5, 181f
2904, b3af
2a17, 4c24
39e1, b1e1
71f7, f25e
c620, 3c23
b68e, bfac
d420, d228
33df, 82c2
12e8, 6ee9
a13f, bc9e
3899, 169c
c3f3, 14ad
77ad, 04bb
c06b, db65
06d9, 2fdb
00a8, d2e2
b0f3, 7c88
ddc0, c890
