f813, 6eb8
e78e, 70fb
84be, 789e
53ee, ac6a
3678, 0be0
a4b7, 1736
b365, 7c09
0924, b8f1
f48f, a747
d4ed, d306
fae8, c5ca
f87d, b7c6
dc16, 1e5e
f944, 16d4
9ee8, e97e
2696, 690a
ecb3, 5f8b
4f0f, 82c2
08b4, 1954
01b7, 2769
adf3, 4f8d
56a9, 677f
eefc, 09de
9fc2, 2d43
e76b, 8cbd
7961, f1d6
45c0, 281e
7439, 5022
b12a, 71b2
24e1, f687
91a6, ffd0
a2df, 64bd
8727, f7e4
42ec, 5524
68ef, e2a8
6ec6, 84cf
472d, 94e8
2404, 524f
76e6, adc2
5abd, 5168
75f3, c1e4
77f2, fad4
a2e0, 4b94
1336, fe39
e427, b74e
e185, ea3d
5de8, 8910
5ce2, 56f8
36fa, 8a4b
61a9, b967
995c, 0b8c
6968, e258
bda9, 2d0d
492e, a323
3570, 818f
d442, f111
ea99, 1a42
2704, 95bd
df14, 0804
0f09, d636
6519, b0a4
b443, e022
d029, f33c
3349, 9341
4a21, 0e6d
4091, a86a
054d, 877d
f061, b7e7
4eee, 2043
72d9, 4e89
f5b4, 1819
62c5, 633d
101d, 0463
2147, b7fb
1768, e923
4c75, 917e
fbb7, 695e
59e6, 4759
f79f, 02ef
c34e, 5925
cd9c, 2c51
e3cd, 2e3b
85cf, a1b9
f469, 0fd6
172d, 2616
7f1f, e800
5c64, 413f
f0e7, f2e2
fd7b, bd42
6743, 2828
6eda, 8e08
c836, c6cc
f600, ce78
5932, e2c5
25c6, 8494
d1c9, f92f
c610, 0359
9618, 7463
77f9, e71d
64a4, 18da
474c, f0fd
f9a2, a3c9
03cd, 2a85
9bce, a1df
8f9f, 857c
060e, 0815
7d6c, fd8d
0c5a, 2d83
e9e5, ee96
a398, e21a
8ca6, 31a9
e4ba, b456
8bf6, 3e77
4085, da9c
ccf3, db25
d2db, 9622
257b, cb4f
a7d2, e59f
0d48, 9aa8
a885, 268d
480c, da41
aa4b, e8dd
d0cc, 0a0b
52f8, d44a
ce87, 5b3a
dba5, d63e
51d1, 99b7
f115, 5b28
076e, cc46
fb97, dbfe
ba13, 0aea
6df0, c3ab
e094, 5724
7773, d944
b8a8, 9e32
7436, fb00
536b, 2c85
2d93, d136
29af, 651a
f1ee, 3802
235e, 965c
b2ba, 992c
8771, ecc2
2920, 1d78
78a6, 8240
38e9, 15a4
dac5, 3faf
67ee, c2a3
8fb4, 9bb4
48e0, a82e
8f98, 0bed
4868, ab2d
ce7e, efab
1047, 81cd
cdf2, 8fb1
5e94, 1c48
5797, a7ba
4bc2, bdd9
3611, e168
380a, b690
5a4d, a781
82c9, 2c37
02ce, 1631
9295, 1d1a
ef42, ef4f
6a0f, a145
44dc, d6b4
ac55, 2809
f095, 92ae
fc26, d75b
50bf, 3ea1
b864, 3003
534f, 868e
da8f, ff28
79a8, a4e5
8497, f4e0
c23a, 4f89
d1d2, 491d
4d37, 44f0
0365, 014e
5488, 7a30
7808, 51bf
2cdf, 9770
6633, ca5a
310b, 0021
68eb, 26c3
9c2a, 927e
1c38, 00af
6c33, a5ca
2a18, 497e
8062, 4a9b
74f6, 666a
e9b3, 38d1
f7f4, 3d32
40d7, 5a36
1ef0, e369
02a3, 5f0d
8112, a40c
e0cd, 1b02
bf63, 869f
7c07, ec08
2337, a6aa
a657, 3013
3749, 7a85
1c63, ad27
f267, 9a05
2cf5, ebb8
f0de, 0264
9363, c81b
ff5b, 0d66
d391, fb5e
1e44, af8b
d239, a0d5
507c, d5e0
9fb3, 2fcd
8a19, a1c2
13ef, 7a31
1ce3, 3a3e
60fa, 43a7
7c58, 30a0
c5c7, afad
6987, c97d
9885, 486b
65a2, e05e
02fa, c065
865f, 0a33
7cff, b4b3
d2b6, 136d
7a4b, 5c17
7215, 4ebd
d985, cd44
e9cf, 3cef
aaee, d35c
8b49, 4c5e
4054, 2889
9181, daa9
110e, f006
6cf6, faa9
cd2c, 27d7
a5b8, 3c6b
b097, 0fd9
92fe, 9234
9467, b40d
dd15, fc7a
8bde, b071
2aa4, 2ce1
ded1, b95c
94c9, 3cad
5788, 53dc
d4af, 765e
3929, 6a68
9d82, 729b
ce31, 7b15
1673, abb4
c843, 5428
9231, f24c
140e, 6703
3c61, 7c79
6a97, a312
c92f, e0a0
d454, 3746
4b02, 31b9
cb96, 9f6f
2b4c, 4b78
1a74, d793
4d32, 2075
1f6a, fca9
3e12, ed24
272b, c9e4
d282, 4bfd
8209, ea77
4869, b5b9
4f69, 2bb7
c0f4, ad4b
c0c2, c0e2
7310, 831d
2508, cfaa
95ef, d8f8
1755, 3bc6
0e29, 5fc3
e867, 1a29
53af, 8ddf
87e7, 5c29
557a, b60b
7f36, b765
e72d, cb3c
654e, a5f9
da02, e1c7
acaf, f837
2dcf, 20ec
48cd, 8d94
4477, 998c
210a, b5df
ad79, 96ef
3be0, 189c
a1e1, 6489
c459, 03e7
faea, 52b9
eaf7, 2b32
5fab, 0885
7467, 5179
a524, cf7c
ef7e, ff2f
4e98, d883
8ed5, e5d3
8c84, eded
4d9a, 1557
f20b, bcf8
40b5, a8e1
6098, e04b
4efb, 9576
7974, 2685
5c88, 00fd
6bbe, f6ba
a204, 1ad6
7124, fc78
5e7e, 5466
293d, 071c
b06e, 4428
f6c2, 0973
be45, 378a
a598, ee28
5a15, 810b
31fc, ea7e
beec, b56f
8296, aae2
394b, 1538
896f, 37bf
6a36, e171
3a09, ffbe
fb37, 6306
e191, 5a3f
6625, e862
acdc, 49b8
2926, c939
0361, 3332
be0e, 2630
afcc, 8adc
5925, c34e
8353, 7822
8ae3, 3744
f573, 4436
aead, faa2
c3f8, a12c
cb97, f73f
07e8, cff4
8541, f148
be51, 8010
ddf8, fa5a
08f2, ed7f
c6b3, d4c8
6909, 5f82
62fc, 1f93
2fb2, e167
d371, 37a8
e43c, 3002
4e69, 93b6
1b41, 5e06
b725, 9c10
df5f, 3c18
0998, ea0d
8bd6, 4e58
e272, 3d98
530f, 90c7
25d3, 74ba
a54d, 14d7
74b6, 4540
13bb, d8fe
93ca, 075c
8703, 5355
6ec6, 84cf
013c, 7bfb
aa28, c7b8
b946, fe95
0fb0, 0589
38de, ea4f
6c41, 2a77
a6a4, 81fe
4ed0, 91b6
ec6f, e4da
980d, e0b3
e2c8, 88c7
cd69, d6b3
5e97, 750c
614d, 20b0
03dc, 0ee8
830b, 61fa
5c54, 49ac
5cc4, bf11
2df2, e1d8
d6ec, 8878
c3e5, d01e
d634, 65ec
7e7b, 3e7b
b710, caa9
d508, af59
af70, ba63
2264, 954d
3693, 959f
0706, dbbe
7d13, 028d
d89b, 7105
3fdd, 8fc6
be52, 7e6d
18d8, a6f9
740f, d678
ddc2, 8c94
9124, 58b3
cf0a, 411c
8280, 655b
109f, 5a33
716f, 86e9
4b11, c804
4bba, f0a6
0957, 10da
9809, 9a6f
e0aa, 6d09
2b59, 883d
9d98, a8b3
c173, b3ea
8734, f6b9
0e5d, 942d
bce6, 7c19
1275, 8124
c35f, 5c8e
847c, d2e5
a2cf, 6b02
6118, 5490
b5d8, b5d3
fa9f, e6ca
b9f9, 9aa9
2d50, 36df
853d, ea62
069c, bb29
85aa, 941b
a226, 4329
cd0c, fc4c
f01e, 02f5
9c8a, 6236
fa59, 1699
1fbf, f296
4f19, 07af
2058, 235f
d7f7, 92ca
3785, 3309
b224, 72fb
324e, 506e
095a, 1531
dd84, c849
6921, 4bdb
933d, 4141
23a7, 8baa
80b6, 7fe2
61fe, 68d7
30d8, e6f7
4242, 7b3c
1cdf, 3899
a70c, d6eb
6935, 1e39
55f8, bfc5
b2c8, 9f69
c412, 9f0e
3ffe, 0e19
515a, 6b2f
a8cd, 6425
4bcf, 2da5
63e0, 0431
5d55, d2da
69cc, 8eee
5c3b, 4b09
dcae, d464
e6b9, a448
04e4, 5563
e74e, 43fe
9715, a975
e42d, a3e9
48df, 5055
15ef, 4e04
dd53, 2333
9b72, a420
c007, 63c6
e74b, 57ce
0c46, 3f75
f9af, 6dd4
b7ef, fac9
b8a4, b447
697b, 68f3
3b2b, 5dc9
3a67, baf1
0a7f, fb0f
81ab, 31dc
c553, 6904
6b20, a634
a3f5, 2b6e
aa44, 9976
9a6a, f619
d2e2, ca0e
6614, b94d
773f, 9f06
672a, b0f8
2d22, dd2f
1e30, c74c
0ddd, 995d
d3df, 5e10
c9a9, 99e4
5af4, 72f6
71d8, 6c0f
f897, a06c
2403, ba91
846b, e262
9a49, 6793
18b1, 551f
a6d9, 8418
959d, 6ce2
8e4f, f10b
e96c, 576b
b5dd, 9258
eda4, c72f
6865, bfc1
e26a, 311c
7901, 987f
6e3b, bb85
e968, 4844
3db4, 1c21
0e8e, ae0b
f61a, f9ed
4f4e, 158a
fec9, 9f81
a97e, f14d
8e86, 9e3e
b0e7, 4516
ba41, 8863
5ae1, ecbc
130d, af28
6de2, efbf
a4a0, 135a
88a6, cecd
714e, 6c1d
8ca7, 43b2
e35e, 77cb
6cf7, e57f
f890, df7a
d806, dfb6
344e, 8080
892f, 7c17
97cd, b39c
38b0, 9ce9
0e98, 7698
d97b, a054
4bcf, 2da5
3920, 8473
0383, e0f7
6227, a642
fbb7, 695e
e8ac, 3193
0847, 3957
1deb, 1f24
35c9, a254
529f, 1a59
6f47, 111a
ef0d, 3506
063d, e802
68e6, 7c59
b3bb, 4033
e2eb, 6258
fcec, 22f7
83cd, ceb1
ff82, 36a7
2d92, 4dc2
0f23, 24a4
3e12, ed24
d552, 4d76
9d48, 55e1
e1fc, 83af
b979, 5999
39bf, 9922
cb86, ed56
96c6, d14c
c451, fc15
dc84, d72b
5a0a, e78f
6141, cc61
2033, 0ace
d4d4, 5872
737e, 6657
5d0b, 9741
e2a0, 2039
e3d6, 2776
90d2, 42d0
4c0d, a8f1
b065, eb1f
4f7e, 99e2
ffec, a5c9
7178, 136e
cf40, bece
2f9c, dcd1
b337, a0c1
08c0, 630c
1371, 573d
fe58, 1102
7157, 7e36
6a8b, e804
df25, 15b7
7e5c, 797a
bb2f, c83a
33d6, 8d9e
ecc1, 2752
6e0f, 53c8
e075, 6e43
67f1, 7a77
4de5, 95d9
f2a8, 7513
144a, 481a
3e37, 2f43
aac2, 9005
479d, 73a7
97e8, b243
729f, bad1
0ec7, 1c95
2674, e392
ffad, 29db
78be, e589
09e9, 84cb
2ed2, fd89
7b18, 3366
1ab6, 213d
f26d, b5d0
47d2, 8501
57e8, d19f
f1a5, 81a8
fc15, c451
164d, e16f
a27f, 9d1e
a844, d26e
c671, 9a0e
fc45, 4e12
39db, 9bef
7a8f, b0eb
e148, 3cfa
4d25, 024d
ba33, 043c
fb5b, 258c
19a0, f312
7014, 6be6
a0b4, 15a3
c943, e03b
1bc0, fbc0
0954, 3fdc
f386, 29ae
e5ca, f22f
72e2, 4032
496e, 597c
adbf, 31da
56b2, 9f3c
9ae3, b610
e108, ca59
5852, ef5f
b1d0, 9324
efe3, 514b
64b4, 3f10
1f5c, cc95
9c4f, fa0a
2d20, 663d
1717, ae16
9156, 9e38
9221, bcfc
3b40, 260f
70ae, 3a91
f8d5, 1a25
f98e, d233
6f96, bac5
ae48, ff42
a547, c911
db19, a5b1
f306, 2672
809a, c97b
71ac, e9de
6840, d446
4b7a, aa0f
6c7f, 8798
ce6a, decc
378e, 8985
f585, 5d79
a679, a7a6
e19a, a23e
76e1, 2331
6588, b2a3
332e, 9571
159b, 56ed
d736, 182b
2262, 769e
71a2, 12a9
c1c7, dca6
180b, 3397
1f4e, 10ea
7ec9, 602c
657c, c69d
5a49, 799e
f18c, 5f08
73df, a99f
2cce, c2d9
7d9e, 36d6
af43, af48
3979, 057a
f608, bfa8
041f, 9c26
ffb8, 6ebe
9799, b051
965a, 0945
3261, 0c57
71bc, f282
8cdb, 515e
a167, 2003
a72c, ff7f
ff82, 36a7
7cc9, 32f8
29a0, c0bc
5564, 29df
51d5, 7305
0dea, 1b2d
d32f, fa83
ceba, cc9d
e195, ae83
9458, 4061
6e57, 539b
570c, 126b
dd44, 408d
a689, 484e
7907, 229d
df30, 0a10
d22d, ebfb
ab61, c875
5f39, 4f40
fec0, f93f
f689, 852c
3bdb, 8d5f
bb7c, 6ec3
0ce7, 8a7d
1ea6, b7e4
29a2, 9326
8213, c1fb
809d, 9d86
9988, ac56
2a1e, 718d
ae7e, 5a2b
4e81, 613c
3ed3, 3c99
c27a, 20cc
9a04, aec5
8a3e, 62ab
3f54, fe52
b5e0, 2d10
76e7, a717
1ed6, 878e
3bab, bbd5
5f86, 2841
3979, 057a
0ea7, 65ab
150e, 942e
2c72, 163e
aa74, f4f9
3262, fdd7
fb0a, 7214
26b2, c66b
aef9, f728
e3e8, af80
52cc, befd
f68c, 3439
11f4, 32f0
2379, 00db
57be, 971f
789c, 6d73
63ea, f065
ae4c, 741a
28be, 4f98
4cca, 9404
e58f, d22c
02b9, c359
5109, 9a77
593f, b855
3f9f, daa0
5a33, 109f
0e5a, 1b59
9602, 66c4
b16e, c3cd
e499, 1825
3441, de09
4fe0, 43b6
fa9f, e6ca
6629, 471f
2cb1, de26
2377, a3f0
88bb, 79e9
637e, 6375
42f3, 1b53
3826, 38c6
f52a, 2181
64af, 7aff
4092, 3f43
574b, 3c70
653d, 9d8f
e4b1, 6fa6
b5dd, 9258
5719, 9596
af38, e2a2
7ad6, 37e6
06e3, b0ad
8e10, 3d54
b02c, 8e3a
0593, 006b
57bd, 4781
f3ed, f374
1198, f70b
a9ff, 46d8
c5f1, 0fbe
ff36, 4cd2
5b36, aa47
93dd, 8672
6c25, d49d
8ce3, f0d9
bb70, 3f22
6b54, 2fac
722a, a21b
d8b6, 8858
7aa5, 3aa0
c337, 918e
6e3c, db50
c52a, aac4
3bce, 3254
1c05, 6e7c
f466, abc1
6a04, b693
21f9, 4e2f
6d72, 6513
0e9f, f452
68bc, ac36
0332, 51b7
c9c9, 645b
798f, fe59
144a, 481a
b33f, 3d37
b94f, 5169
f596, 1abe
c74a, 676c
6d13, df86
3b4a, a77b
c323, ff44
caa5, ace8
627d, 6fc6
5210, 7d1a
4041, 9059
3c04, 9ca3
0fbf, 2ec4
7dee, 8699
a726, 6729
730f, ff8b
2280, f902
5797, a7ba
5cd1, 7fd8
e9d3, 242c
3b76, ca9d
0974, 60a0
c995, 8c18
6b82, 76ba
5b6b, 8561
d35d, cd66
625b, 2f05
6651, 78c5
27e6, 2060
2c4a, 59b0
7cf1, dc69
b2d5, eeaf
93a5, 5be4
2186, 5efa
ba74, c793
8aeb, 43b3
52f6, c761
8448, dcf8
1bd9, b518
6065, 640a
5f86, 2841
ed2c, ca99
c876, a535
ef02, 9e62
eb39, 6b21
26d0, 1e2b
0f94, 7f44
de59, 5b87
3945, 41f3
6b87, ef8f
62f1, fe09
aa2f, 57ec
2ebd, 4a49
a366, 1b48
8e98, 9993
2f96, 6679
97af, 192e
b310, 17a0
d5b5, 1459
9fd3, ac43
c7c8, 1d97
05d6, 0897
f99e, 34ef
a5bf, 124d
ff8c, edc2
83ce, 59a1
f016, 86ea
e5c4, f912
d507, 9737
db0c, 9d68
f023, 93c9
c13b, feab
2ca1, c2ba
e07c, 013e
c35b, 1c10
7d68, 7529
f651, d723
010f, 1dfa
5e5e, 1383
0db5, c629
6cd1, 6a72
16bd, df2f
ea84, 33cf
4daa, 6fef
5ceb, e1ec
1f4d, 7ee3
6b3a, d456
b477, 0818
af65, 2bb6
4c23, d835
5112, 4f3d
56a6, 1930
2a8a, a439
7f1b, c21e
32d6, 446b
d823, 6948
c267, 607a
089e, 8677
a4f6, 507d
4c8b, 2088
bc9c, 8a9d
ac51, 7740
2ee2, 2ed7
3ed5, 4331
efad, ad47
5a31, 92a3
ab8b, a48c
abb4, 1673
d324, 07a1
053d, 5f02
4e28, 9996
6f85, bd8c
c7b2, 97f2
fd90, a3e3
e197, 311f
96a7, 5b78
db1f, 9200
361e, 7e45
626e, acdd
8581, 1858
0d7d, 8375
9c35, 787d
e1ef, 5709
af58, e79e
9d8a, 83f0
edeb, 7c7b
f8d8, b8e2
54fc, b256
32b6, 0562
47c2, 4fa4
9b35, db9c
ab7f, 6431
7129, dc6f
5d81, a7ec
5cef, 8594
1fc9, 0f15
1af4, 4c42
6723, b9c3
6d42, bd69
21bf, 47a7
e73c, 75dd
8bbd, 4cf2
bceb, 8aa5
b3ba, 5fbe
6439, 8c2f
f13a, 2283
cf11, dfa8
2822, 3c91
55dc, 524d
c0d4, e370
e369, 1ef0
8685, 9df6
4625, d019
1fc7, d166
f57d, 704a
6f42, 44b2
100f, f86e
e889, 2f47
2a08, f9bd
5b4a, e093
33d6, 8d9e
a425, 2051
f51a, abad
253a, c239
1bf8, da07
055e, 85b8
7b92, 08e2
26d3, b804
c51d, 999d
e280, d280
b472, 1cef
6724, 42e6
7a53, cab3
9ae2, 74ef
d6c5, 875c
93ec, a395
1a70, 4518
9456, c26a
2caf, 87ca
87d6, 119a
23c5, da59
1539, 9934
62d3, 4978
bfdf, a624
b87f, 8f93
db09, 6b46
086f, 69fa
a77b, 3b4a
cead, a956
81b1, bfa5
d3ee, fd02
2ae3, bbad
0257, 3d8e
de71, 0301
87fa, 00f8
3c87, ead6
6018, 711a
40e8, 2b9a
1a03, 85c9
8f6d, 1ce1
a03a, 02f6
fbc3, ea6a
09eb, dbf1
fce2, 2bff
f05c, bc57
e9df, 42fc
ff63, 15c5
abb6, 652e
3bec, e4c1
e014, 180c
4a9b, 8062
8b88, 75e4
fe47, 4718
ccd9, 2b8f
5af6, be9b
bc93, 2aef
c566, 25b2
353b, 7aa3
94f6, bd37
9c54, b5c7
f1ce, 3aba
0e67, d78b
9c97, 1f68
1ad0, cdaf
b46a, 93b1
aec1, 992b
6dbf, bfaa
4a6f, 13cd
5930, c450
ab37, 7483
4907, c09c
328c, f76e
f620, e270
8b58, 68f1
ffdf, 9cdb
5666, 9cad
0f00, bf17
c9df, f5eb
2fec, 0b53
07f2, a6e6
787d, 9c35
e9fc, a0c2
6479, da86
520e, 6393
1d8b, 18c7
da23, 2a28
2e70, 1394
8d48, edbb
da53, dcca
cbc0, e3eb
15ce, eb34
6b3d, de2f
387f, 5783
874e, 03a0
460b, 81d7
05a5, 48fe
e28d, 7d7a
e093, 5b4a
bfa9, 5ca9
5403, 9310
6858, 919e
6ccc, 7e8d
ad9d, 35cc
672d, c213
2370, 17fd
29e8, 5534
2ca3, b2e4
736b, 2ddc
499b, 9351
f280, c07f
a472, 2204
1396, 04b6
1f0c, ff23
259d, 868a
3375, 5026
e844, 8143
961f, 7302
69b6, 3519
38c9, 8360
3658, 7931
8cbe, b755
0e10, 7627
78a4, ab9e
9cfc, 4672
1e59, 21f7
9507, c763
c00a, 2e54
0341, b4be
4f37, 5d23
ac60, 328f
9151, 1288
ff07, 0fca
72d6, 7e81
3084, 8b13
d365, ce04
3040, 2a90
89ce, 6746
5384, f7a7
467c, e353
a47d, 91f5
57eb, c90e
b5f6, 2502
eca9, 7dce
3db8, 8a0f
34cf, 375c
2c1c, 0193
b336, 5e86
566c, 245f
051e, 87aa
406c, 60f4
a9ea, 9b24
003e, 781d
107d, 9ce2
70c2, c3be
0357, b010
ddc5, 9d3b
f132, 17d0
ace7, a71d
0732, a9b1
7caf, 1d39
0103, 4c55
922c, 4f85
2d01, 13bd
ee9b, d0a6
be92, 2e86
eff8, 6e68
3b37, 37ec
4609, 0ab6
8542, 60d5
2e01, 4af9
6864, 7574
d65e, de1d
d1f0, 9bbe
7858, b34f
2e17, dbb2
399d, 394d
9d4d, 108b
4b5a, f4fa
da7f, 77d6
ef63, 0169
dd95, 5e88
3aa2, 6639
a7f0, 2eec
b017, 6e76
ba10, 21d2
413a, afc4
6065, 640a
6af5, 94e4
c1d0, e730
6b4f, 68d8
ba34, 5d26
a7de, 159a
23bf, c98b
2943, 155b
2d75, 2d58
e819, 9f4a
36a7, ff82
3114, 5d57
56dd, e67e
a0cf, 00e8
4e95, 104b
16f9, c357
1c7c, f723
ce2f, 8106
e800, 7f1f
f51b, aabf
73be, a511
2e7d, abbc
d767, 00f1
0cbc, d137
f78c, 173b
31c8, 184c
fa9e, a966
89b1, c382
5a4c, 0165
78f7, 0c67
070d, d7d0
9ade, 7d8f
4566, 5425
0422, 742f
1a1f, 87b2
06dd, df0a
d991, d76d
2829, d317
3ef2, 4dd2
a715, 5d84
fd8a, 028e
751c, 7109
6eb7, 1c62
acf4, d0b3
5e34, 3624
7f9a, 3da8
8ef7, 35a5
bcf5, 1888
5f79, 0d16
180b, 3397
35f3, b9f5
3136, 8471
46cf, 74f9
3223, 86cf
ff55, eb31
0899, e30d
5a30, 5f10
2491, 1ba0
783a, 9b7a
ffe4, d7df
7ef9, 40d8
a2df, 64bd
0c66, a1f9
15bf, a260
d170, ce0c
582a, 645a
a862, f021
8b97, f40c
7ccf, 5d30
86da, 1e97
614d, 20b0
2270, 9c8b
520b, cfe2
d496, cb77
4b83, c556
83bb, 5626
9b88, 55ec
fcb8, c6d1
792a, 9077
a6ab, 3c1f
aa60, 6baa
d77c, 093c
b6d8, e4d9
35b3, 9148
a221, cf84
3eb9, 51d6
d5c7, a1d2
7568, 378d
fce6, ca5d
5229, eede
7dca, f17a
c3cd, b16e
3961, 7fe6
1726, 1c31
3ad6, 8ada
1991, 74e6
9a7d, ecb6
7856, e159
84ff, 6ea2
7d17, f6f6
e4da, ec6f
1bf0, 6ce9
24fd, 9212
50e4, b15e
06b3, 76c7
6b2c, d1f1
74c8, ffcc
c4e2, 4821
cfc3, 3998
592b, 4656
b609, 7a3b
043a, 4813
6b0b, d353
0962, c097
