f519, 6854
0a7c, e21e
a94b, 38de
223b, 5faf
ccc6, f904
f9e3, 2558
43d0, 98db
cc1c, 0d33
5f5e, ab1c
8471, 5274
3043, 0b0c
d158, 9ae8
5dc8, 8b28
5b3e, 5b77
3191, 9ecc
c66b, ccb0
2607, c23b
dc75, aa83
7bdb, c011
cd4c, a0f0
67e5, 7985
e621, 5dbc
4ccd, 534b
f144, 47f9
94ec, 47b2
fac7, 7d8e
b23e, 867e
afb9, f473
a843, 3846
480a, d7d9
5c28, db2f
6f29, bccd
29d5, 47b8
4feb, 2e30
5f0b, 5e37
1ae4, 90ff
c1d6, 1aa2
def9, e3dc
5f4b, 8f00
f308, a805
33e1, e357
c4aa, 5a03
b2f3, 8a73
07c2, 2e9d
d384, 122e
9564, 4a5f
fa55, f87a
d88b, 2a2b
8917, 8867
dfc4, 1e96
1664, 146f
c570, a583
34dc, 9235
2472, c1b0
0d91, 00f4
ea23, 6fee
d2a0, 3e20
e0a1, 30b4
8541, f32c
efeb, f1b4
ec12, 2b73
92c6, 82a2
c414, a97a
66bf, bc72
635d, 3363
9dff, 3922
bb59, a0e8
45b3, 14f9
4cec, 273e
720b, c947
25b3, 6346
a0bd, 016a
1f79, 16d6
d2e8, 4953
11ec, cc8c
5103, 5c1d
ee66, b623
0162, c95a
dd60, 40bc
e815, c239
0cca, 0168
d7a8, 945b
1db8, a166
4fdb, 4edd
7637, 3d9e
c4b1, 522b
c649, 7c11
c78c, 2e09
d5e9, ec14
77b7, 6ae6
226b, 674f
c6b4, ebbc
042c, cd45
b121, 0014
3d34, 8de7
19d3, dff6
7d93, 85db
1f2e, 3dd8
a2d6, 671f
2bcb, 1003
b01a, 81d9
18f7, 9125
75c8, 044d
be52, 0402
9a49, c7c1
6d1d, 1a7d
03de, 0e76
4773, 4223
3f27, 8691
096b, 39e3
30e3, 562a
ee9f, 4a79
d760, 926d
a6b5, 0bdf
91a9, e1a9
aa9f, 02d1
39c2, 460f
2248, 1eb1
b907, f931
ca35, 7042
3871, 80ce
b3ba, c427
8be8, ed24
6531, 8237
ea0a, 8dea
9691, 7ed0
bb44, 0d94
55f1, 2427
068c, 3aaf
e3b6, bdc3
9066, 1067
6e93, 215e
2cc9, 7871
88b3, 773f
ea58, 59ee
98c5, 6621
e836, 3332
75dc, e4a5
b21f, f4df
c621, 0972
bef5, d76c
4832, 6a8a
e4cb, 9c54
12ac, 5015
b788, 4b73
e927, 3471
daf8, 8d1b
ba18, b193
d71a, d6f8
ae34, 3523
4949, 096d
90ce, 7f27
2510, 8d1c
1cf5, 0b45
4972, 678d
f770, fcf8
c108, 4f58
1a6b, eefa
6292, 779f
36e2, 5b5f
abef, f503
f0d1, 4ed9
4767, 94b1
f347, 4399
0633, 7602
03e4, 253a
ef7c, 7796
39db, 3007
f95f, cf99
c0b7, d366
5bda, 80aa
f64a, 144e
d9e6, c7b6
b702, 38cd
1801, 4a15
1b77, f1db
bd4f, 6772
7f12, f7a5
5ce3, 681d
e60b, 0e24
cbad, 3d6d
5ce6, e1b1
47ed, a1a5
ef16, 58d5
f4cd, 203f
77b8, ce62
b785, 3c8b
6235, 3675
c35f, 239f
fc96, 0032
9592, 2cf6
e931, 1503
f0ee, 3cb7
c2af, 52af
57d8, fcd0
10db, 7b63
202c, fb03
bea6, f3ae
ae18, e44e
6833, 86d8
3a44, e63a
5e63, cbca
7eef, 587b
57fd, ff41
2573, ca83
18e9, 9869
7563, 10b2
e034, 55f4
ffcd, 2af4
6a65, 98aa
f07b, d631
8077, 30ac
a68a, 828c
c7d2, 7e8d
4fa8, c02f
ca79, f30b
4aec, ab0d
92f1, 08b2
d40c, de8b
a8d8, 0e13
5907, cc37
0d82, ca96
17ec, 6027
9ec2, 4cb0
87e3, 776c
8763, 9362
fa80, 7442
97bf, c6c9
17f2, 9c1f
20e0, b401
18f5, 7455
59ad, ecc6
39de, bcac
4bea, 3b3e
0858, e650
8d11, a965
6ebd, 7624
86b9, 86af
9537, ffe0
0031, bb81
12f9, 53c4
a400, 14ae
5bb7, 4688
1f1f, f4b5
06f1, 8ad8
3e66, ce35
8ceb, e8ff
98ce, b841
880b, 24fd
62d3, 02a9
6983, 4013
5283, 696b
6f00, 9500
a303, 85c6
0b40, b640
471d, ffe3
44a7, fad9
fca3, bd23
5b78, 579f
75ba, 308d
631b, 0ecc
57af, 0982
3efb, 5b7c
785b, f5aa
e390, ac90
862a, e0e3
e7d1, d0c0
54d3, 0d10
6f36, fc3d
d528, a5c0
6329, 0ea5
6d5c, 3feb
888a, 5857
b744, c3fc
b73c, beae
36e7, 3d3a
cddf, cdff
2e8c, 433c
a914, a474
8ef8, 580e
3924, 8599
4ee9, 192b
23ae, eea6
6fd1, a91a
d8ff, 730c
a114, eab9
6f18, 7265
daf8, 8d1b
b7dc, 3c53
dcf6, 7f67
3b1f, a746
8d34, 3de7
4572, 3b04
325f, b262
2c1a, 76e2
1e2a, 11e3
354a, 5037
716e, 0096
22c0, 4811
f6c0, 7ccd
0c81, 8450
2e46, a326
6cb5, cce5
3712, 221c
0bbf, 8177
75d5, 743c
5422, d9d3
92fc, 1afc
0cff, a30d
8f5e, 6fe5
597f, 1a6e
6306, 7399
c143, 0ea6
bd37, 0d84
adae, cdd3
2c1b, 9c7b
b4b6, 3457
de5a, f3b3
1861, 7966
4e35, 7e66
44f5, 1195
fee5, 43b5
9d30, 6851
6d3c, 1817
493e, 2955
1e46, 2f24
6ee0, 8e68
3246, 84ff
1b8e, 0b59
a3d6, a775
5b64, 2b58
a638, 5a61
a98c, ce79
4828, 14ed
3d4e, 7d81
318d, d80e
3587, 4de0
04f7, a437
9d88, e0b7
d780, 2f41
eba5, 402f
9663, 1692
b0eb, bb6e
1409, 7b9a
4dbe, fd6b
b114, 6f4a
0fb1, c771
9f71, 1679
5b82, 5b56
0dd0, 761a
a84b, 7106
2fb3, 100a
72c1, 2d4c
aa97, 35e3
e03d, c31a
ddea, 5b5e
4c37, 7997
f26e, 187f
5bbf, 4258
b23c, 0bcb
d727, 2c41
8435, 782d
4a99, c927
2373, c930
4629, 6945
10ef, 076e
0b7e, 277b
7afc, 08ab
f6a5, ab6e
1130, bf39
285a, afb2
273e, 4cec
4771, d507
7cba, ab60
d740, 5340
66ac, 86ae
6bbb, a6c4
5198, 2d5b
426c, 29dd
66e9, f592
1294, 6a42
6c4b, 379c
6325, a470
57ec, 4381
a0c9, c94e
3419, c482
9e4a, 11b8
c3df, 3252
a2cf, 35bb
1f73, 3f7f
5429, 8272
749b, f7ea
2d29, 7912
ae09, 9e2a
6e9d, 919d
2df0, 46fc
5168, d168
1d22, 98be
75dd, 6b7c
2755, 8ff9
aea0, b967
58b9, d86e
47df, 9462
a31f, 872e
fad9, 44a7
65ff, 1a8f
bdc8, 9ca0
94e3, f206
93f9, 78d0
997a, c3cb
aaf4, fa07
a5cb, 6524
c0b1, deb9
0f93, 42ac
7bf3, c772
337a, ef77
fca2, 23bc
632b, ef08
78a5, 89a9
1e7b, 410a
6037, 0087
1198, ddda
1e8e, 49d3
9c3b, d15c
873b, 1b37
4c14, e589
ba43, 8ce7
3bd9, cdfd
e000, 9ffe
7f1f, 08d3
78ea, f3e0
a5d5, efd2
71ea, ea6b
6544, bc0a
747a, 8d54
7b4e, 171b
70c6, 04e0
b2f0, cd98
23dd, cba3
950f, a411
3b8b, 7cbb
370b, b1ba
f960, a26d
9354, f05f
13d4, 0262
f165, da60
bc84, 893a
a643, 8afd
fda2, bad8
48ed, fd5d
4fe4, c8b8
e881, 56cc
0ae7, 9888
f37d, 91f7
cec7, 4be1
bace, 0548
01d6, ac16
e052, 365f
4bfc, 4a91
af7f, 03fc
64aa, ac99
837b, 7803
53f6, 3097
c093, 09c0
a4a1, b10f
debc, 11af
47ce, f74e
c13f, 9c51
65f1, 6895
82e6, fea2
9eed, 8300
8729, 5444
bab0, 60d4
d028, e1a8
2084, ce3a
112d, 0dcd
97a5, d2d8
58c7, c26c
c9d9, 5715
b166, f98a
6584, 488f
8183, 5585
c8ac, 6b3f
77c3, a57b
7055, 26bf
bf77, 0f7a
d8bc, 7db6
cc5b, 3f7c
1f6e, 07d2
d568, 3b29
7b08, c97f
deea, 1478
9ba0, 2653
a676, 8e6f
57e9, 7ae4
df86, 6cea
5c10, 39cb
8572, 5d47
8bb4, 50d1
4a3c, ed13
af3a, f17b
edf2, ebfb
27e6, a9b6
d94d, 8f90
c4ca, d542
ce4c, 7487
effb, e337
82ce, 6a2b
26fd, e14a
87dc, 3001
3128, bf29
4392, a268
3e8a, 44fd
9ff1, de47
495e, 3ec1
763f, c596
8502, 5221
1b7f, 98a5
3243, ae8a
d635, 2de5
a881, 54a9
d408, 7005
bf73, e25c
782a, 8bcf
2f7b, 4e70
dac7, e53f
5360, 00cf
bf9a, 71a1
d073, 3529
9504, 2f1b
387d, d1e3
04ae, 348f
3844, 6b1d
3fc1, 4845
7789, 4729
554b, c267
a107, 3f08
1c3b, 5e2c
4a91, 4bfc
9d78, bfc7
0f80, 6c6b
b1ea, 3936
a5f8, bece
9bcd, 3198
c78f, 1899
3804, 6d3d
39b9, 6756
165f, c8b3
77ae, 63c3
978b, 7613
e8f5, 33f3
8b57, 964d
2318, c1ad
e7c9, 38a9
9218, 87f7
f287, 651e
6234, 051e
b1bb, dbd9
60cc, c80a
b5b1, 33d3
65e3, b69e
609a, 7694
367f, ff08
9479, 6571
2d6e, c158
810c, e4d7
3a8d, e817
700e, c218
62b8, ce6f
9d8b, f552
a205, 8779
7f9b, c164
2dac, 566a
e85c, fcba
979a, 7a35
5e96, 7047
f12c, 6dae
33d6, 2f79
fd5d, 48ed
e5bd, 7ce5
dbea, 2dae
d222, b9e2
756b, c661
9b8c, e154
5204, c534
92ac, d2ad
005f, c3db
b4ec, 3b74
df7c, 9afa
84b7, 6a69
a00e, 0c05
be99, da68
1263, c0dc
f010, 9d84
e60f, 4785
d405, be73
440b, fafb
af83, dd06
2056, d067
836b, 1e27
e081, 3a94
83ae, 53c6
b038, 3caf
963a, e8dc
7581, 49fa
198e, e8cd
1c25, 972c
ab2b, 8312
6bf5, f71c
5b58, 2a9b
6f73, a9cf
96f6, d42d
f79d, be4d
c304, 0e80
62e9, 3466
994d, 807b
4b84, 698f
b544, 610a
62bf, 159e
23ca, cc63
ccdb, 5319
96ad, 20ac
1c50, 24bd
4343, 1348
4aa6, 3aa6
10f7, cd0a
2947, 3731
8bae, b93c
b5a5, 7b2c
c6e7, 2e3e
6e9a, 6363
06bb, a1d1
5363, e3c2
7f3f, 67f6
49d1, 23b0
fc23, d95c
e535, 8c88
f042, f153
d609, 83a2
7fff, 68f6
6b1e, 9307
17a6, 09c9
6727, 2b00
5865, cdc1
29ca, 09ca
3651, 8634
aef9, f34f
26d4, 5aa0
0325, 99f5
de12, 4451
1a71, b3f0
7f54, 405d
1462, ff5a
a9cf, 6f73
1f43, ce43
e33b, 3391
6c09, f9a7
f6e6, 8732
9c41, 677a
e542, e974
377a, 336a
fc8d, 1550
1c00, 28ed
34f9, 50c8
7b43, d85e
68d7, c77a
403f, 40d4
170e, 9cab
43bb, 1065
24e8, 4758
cca6, f5a2
b7b1, ba5f
b0ce, d97b
2cf4, 2a91
2669, ad10
3684, 3d51
cee6, db57
ebe1, 4411
0de8, e663
7d4f, 06cf
4890, cee2
6302, 7806
6910, 5195
aef5, 45a3
781f, f7ae
8479, 24d2
3850, f8cf
5b7c, 3efb
cb69, 006b
b311, 87ac
6986, e6d5
860e, 5603
a41c, 7df5
1366, c228
d4b6, fd72
44fe, f145
e39f, 9c26
6ded, 9118
7967, 65e9
f53e, 648c
d99d, 3f90
71b5, 0391
1f84, 370c
9dd8, 6db7
2ffd, 0f4b
b680, 8f41
13ee, 4365
77c9, f7d9
98bb, 44b4
7cf0, 57f0
87ec, ddaa
3c8a, 5761
61da, 39a2
bb03, a47c
46bb, db5e
2ad5, 4cd3
2ce6, 1665
d0aa, 1595
fda8, d1ba
7e07, e335
c201, 671c
16f0, fd4c
1383, 930a
ca8b, 7398
db2f, 5c28
f467, 1ae9
65e1, 18b7
da1c, 25cc
09c3, a3c8
a17e, 0b1e
008a, bde7
b201, c8eb
c364, a976
4cfb, 0888
4c4b, 68ac
cc3c, 1c5b
2479, aa11
5175, a8c1
feea, b0a5
983b, 1d8b
b627, 3748
5284, 240a
4c65, 3029
814a, dfcc
e16e, 0955
9547, 1e1b
27c7, d141
c527, 55b9
78fe, 73e2
b087, 7081
a6bc, eeb8
9a0f, a471
8288, d799
67b0, b15d
c67a, 0800
fe45, c9dd
741d, c2da
59d1, a2d7
0eba, 2549
b35b, 1329
9c70, 1deb
4d9c, 1e20
15c9, 82a4
348f, 04ae
0a7d, abab
8959, 9f85
df90, 894d
c3f8, 5c12
6ef3, 6f98
91f4, f37b
fbe3, 7a59
8daa, 4bdc
6847, 4fce
f80d, 6720
0bf7, 83c1
3c2b, 3195
abee, ce6b
b7a3, 39ef
6a66, 32b7
98d5, 9074
7de2, acf2
a8bc, 09d7
39ad, 3180
3f4f, d5c6
a299, c90f
4dee, 40ee
e7c2, a752
f5c4, 0eb8
2d01, e0ed
01d1, ac11
b144, 07f9
edbc, 1804
0b63, ce9a
875d, 6963
4889, f8a9
66f6, c765
ac19, 05f6
9612, e115
8388, 7aba
2a1f, 5202
4f79, ff06
95e0, ed69
eceb, 8b79
134e, 5699
3a6d, dbb4
a588, a11c
3aa2, 0d09
7f34, a572
f3cd, 964c
f2ef, 4e14
fbfe, a516
1aad, df9c
cbea, 57e0
9ef8, 89ad
73e1, f444
e5c2, e3f2
9dee, 40e5
a4da, 7f51
a029, a498
e557, a904
d977, 99c1
4c0b, e833
f7b6, 2b0a
3402, 8449
b3bd, 0d24
16a3, 2cb4
77f3, 5bdd
6ca9, 0231
207a, d002
2f7e, 020e
3bcc, ebcc
9384, fb3a
8668, 6660
1c64, 7fbe
69e7, 3151
cebd, b0e9
f121, 7cd1
fc19, 1901
1199, 7ce2
7e63, 10ab
4770, 2957
ae24, 7bd4
bba1, ebca
69ee, 0735
30eb, f3c7
bd0f, 9ec3
2127, 3189
c96a, 596a
7f5f, d58e
dd0c, 2471
7ad1, 08f7
94b4, 1a62
9f3e, 39e9
ffa7, c22d
c86d, 79aa
a570, c48d
eca4, fd35
efc9, 04c6
7310, ec83
f155, b026
707b, 0d7f
8d06, 7438
b832, 99d0
ad6e, 0db9
9e7d, 2594
c4c1, 7e6a
b934, 072c
51dc, 0878
1a75, d397
3b6e, 4091
9438, 44ee
12ab, 5d13
76cf, 0d4f
c283, 97ac
738c, c316
e7e2, 1422
6fc9, 6c20
2bc7, c493
8967, 6c66
dac1, eada
f3d4, 72bf
7f5b, c2b6
2510, 8d1c
d92a, 792a
e2b9, cf16
5033, e0ad
3d78, 8d2e
debe, feff
d0f5, 9b45
72c0, 644b
3e48, e135
c3b7, 2652
f388, 4372
df03, c2db
2ee7, ab57
4d5b, f8eb
1dad, 6dd4
3415, b2f5
821e, 23a4
0074, 0915
8ac1, 017f
db8a, fe74
35a9, 91f0
1afc, 92fc
4842, 6a90
9bbe, 8a1e
0418, 656d
54ee, 8f8f
2740, e340
2521, 55a4
5bcd, 2198
3cc2, a00c
6f95, 0406
ae41, 9369
3c82, 31aa
7acb, 0646
e094, 369a
0813, 51ab
c0b3, 1cd6
7718, 5708
9e9d, 619d
2282, 50e8
2e5d, eee4
a0f4, d30a
af62, 28e4
4763, d9d5
933f, 1de1
4799, e9e8
645b, 8b1a
de14, 9d49
8bfb, 5df4
4ebe, fe5e
8c04, 5501
ecba, 9a2a
bb42, 6bb0
b059, ce60
7485, 5676
f478, ae62
cb55, c3bb
31ee, 7530
9946, 5958
259f, a4c4
573d, 6fc3
53c0, da3e
e6b4, 2d8e
0381, cb93
24a3, 49de
a8c5, 1add
ad4f, cf2a
3be8, 5d24
50a8, 6925
52eb, 0f2e
b4b7, e5e2
37ce, ce1f
92ae, d87f
86e5, 3dbc
e875, e323
883b, c99b
56a7, 4be3
737c, 573e
dab0, fc65
fc4b, da43
d6a1, e5db
3f5a, d35d
7eb5, 5e5b
2099, 941c
980a, 27d9
ffea, 8ac8
7e97, 016e
690a, a237
5161, 5ce9
b17b, 37a9
1348, 4343
9135, c580
9dc6, 3c25
8fcc, 65f7
15ec, 6946
f40e, d9cc
5ef3, 0180
1af5, 4795
f0ef, 096e
c3ea, 1dcd
0154, 2794
c3bb, cb55
ec25, 79e9
165b, 917d
dc06, 9a42
bf2d, 4946
ac5c, f58b
38de, a94b
e1e8, 3a58
6263, a362
c3ad, 6961
e4a8, bb7b
e6e9, e686
3e7a, 80f4
82f5, 6415
ac67, 2c66
dd22, 80eb
d6f2, 1748
b0e1, 80f8
2e32, 4498
c9c2, 6878
d2fe, b318
9da9, 450c
0427, dd4b
12c9, a8d7
a749, 8b7f
36ef, ebef
cf1a, b02b
301a, b4eb
e5a9, 0489
19ff, 417f
bc95, f251
4d1d, 3a7d
5e4a, 0be0
9ded, 8581
2108, 4108
56e2, 8056
df91, d2eb
723a, ce4d
d0ff, 2b1a
72d0, 64dc
3ecc, 531b
2e37, ccfe
ad9a, ad2f
a7eb, 67eb
a690, 104d
749e, ed21
1ec4, 1158
cfb6, f2c2
6a43, b220
a3ea, a790
afef, 28bf
6032, ad35
bb70, 9419
fdce, 1d9e
fe1f, 43ff
65ed, 0150
88a9, 5991
25ea, e91d
b487, ff8c
41b6, 50d8
e8be, a2b6
4aed, 5666
39c0, 350d
197a, f724
0439, dd81
2e3b, 4e3b
49c0, 26f2
c459, 481a
219e, 419e
bd4b, 0d81
642e, bdbe
045f, 52b2
57d3, dfb6
fa08, ab52
7ec4, 560c
63ab, 9ed1
f179, 17f1
607a, 87d3
8a2e, 6655
88ac, dc4b
8c98, d6cd
0875, c21e
93e3, ab5a
1c63, 1b94
f952, 2821
47ee, 8321
b709, 0832
68b8, 3562
77d6, f218
1801, 4a15
0ca8, e218
ff8d, 683a
7170, 15b1
c63f, 7538
f86a, f6e2
27c8, d879
3849, 4673
78f6, 35a3
d323, 5723
1984, 61b9
ff5a, 1462
3230, a276
25d8, 809b
a93b, c319
80be, bb5e
7746, b803
919d, 6e9d
7e06, 8b46
f4d6, 4540
6488, b45e
4499, f591
c45f, d314
3424, e7c4
d7a4, 9a59
d053, e06a
7142, c38b
84d2, 94c9
dc52, 85c4
fd04, a899
a978, 9fe8
a2c2, 845c
743a, 138c
28e2, a056
5163, 56df
ee0f, ea22
bb1b, 05d0
fd50, 9fed
a070, 08be
4564, 955f
a1ea, 2d09
c5b7, a26e
3910, 8557
f3e4, 80ac
6e62, 0968
f776, fd8f
0c38, 72d2
8e23, 25dd
5ada, d51a
83ba, 3774
0e00, 243f
1a47, 9246
49d0, bf89
1a33, f602
86dd, 86c1
4735, 295e
7ebd, 26b5
dbe9, 2b67
a40f, ed0c
c87c, 90f5
2bca, d617
7795, 59ce
56a7, 4be3
2ea6, 39be
af97, 0772
c4e5, b792
3cec, ef0f
2645, 3af4
fd47, aef2
dcf4, a810
2bc8, d1e0
9386, 40ef
ef0d, 2200
7bcd, 2952
628d, 430c
8491, ffff
dac0, a14c
ae45, 3ab5
3f17, 30c5
104e, 5a4b
09e0, 71cd
708c, 8341
182c, 4b90
266a, a366
dbec, 826a
333e, b73b
cd8f, 7583
e83b, 58f7
dcfb, f2d5
4195, 2195
f984, b757
efd3, 3816
6a5b, 9902
b212, 12af
224c, df8c
f20a, 3cfb
c356, 2057
12a5, c9fc
58a8, cff4
261e, 856e
a8bd, 79d4
8266, b2e9
4562, f49d
957d, 8387
f3f8, 4073
e496, d1d3
45da, 0ac2
8676, 2cbe
651f, 9c64
d22d, 9d06
86b9, 86af
c7bb, 17ab
81b5, c9bb
8f2b, 6a01
5ff0, d4f0
7332, 0f56
5730, beb9
b4b0, 2449
0bba, 272f
9939, 6979
86e8, 8966
6455, 6288
