0d83, 5a1c
327a, 1f9b
9ca2, f2a2
b280, 401a
0f1d, f155
9d37, 5ba8
2f35, 9518
92dd, 904d
86d2, 8e05
89d5, ac2a
e530, d69c
0cb5, 3f26
262d, 091b
13fa, a5ef
4e8c, dbba
532b, c622
4e8c, dbba
3612, 6402
ff84, 6186
db02, 7dae
ee1e, 63ea
a97f, bf76
37b9, 28fd
7180, 88e0
4d0f, 88ca
54cf, 9c19
f8d7, ebfb
abc9, 8b99
940c, 19b8
7710, ca59
6e5a, 0a65
1076, c6ae
a251, a200
811e, 7749
9b1c, 6ad3
30ca, 7f3d
7634, 2eee
e2ed, 43fd
b093, 10f9
1eff, eeb3
ba77, a138
4a50, b8a0
8a26, 9868
c439, c4f5
95da, 438b
686c, 5d05
ba0b, dea4
2bb7, 9fb6
436a, 5539
e963, efbe
8286, f79f
f157, 17bf
735f, 4912
05cb, c3a9
f4ac, c77c
2963, cd17
a0af, a663
a12e, 4829
3d38, 6137
3278, 9354
cae4, 5b88
4a57, 1d38
cc66, cfc0
4227, e155
412d, 6b09
ad94, d767
7032, bc21
4c1d, e627
19fb, 0618
b794, bec8
0bc1, 1c1a
c0e0, f64c
2de4, c4dd
d778, b45e
14c8, 174c
8594, 514d
9b72, 5e68
d365, 1395
d351, 829c
f724, 91e7
7fd7, 213f
826c, 95cd
193e, a694
0bd1, 0c9f
3793, 74d7
a1ae, e89b
57a4, 6a81
1e25, bae3
4358, 4604
68aa, f7ac
f3b7, 90b4
8963, d400
cbcf, 0f0b
7fd3, 75b1
2487, 4473
e2c1, 83ca
ded4, ddb8
b5c2, ea07
5cd4, 6914
3411, c957
62c4, 6257
f946, 0a84
85a1, 4095
c7c3, c2be
ce70, 5a36
6150, cd0c
d59b, d232
ba2f, e41c
89d4, e227
1763, e241
333a, 3aa2
3a3b, 5b72
eb96, 8a9f
9a8e, 6bf4
51dd, 44ad
11c7, bd92
5d44, c71b
82cf, 7205
ee08, 415b
5efe, 51f7
2f0f, 203c
912a, 6d1f
f4da, fd23
1989, 28db
ab26, 84ab
2cdf, 4528
cf6b, ff9b
2c0e, 2267
3b94, 5aae
54ee, 5bf7
35ba, 894b
55f3, 56ef
3563, 3d07
9e67, fc05
529b, 6298
a0db, cbe8
9983, 92f3
3d9b, 966a
578f, 3bb5
26c9, 66c7
d2d1, 404f
93fe, f474
92a2, 999d
fbac, 231e
3571, 33c5
2f1f, 8e16
dfdf, a6dc
36ef, 25e6
6954, 905b
f676, a46d
2a36, f4c1
e50e, b9ef
8569, 7507
1880, 1ead
b790, 0907
c471, 9a56
8ee4, 74b2
ae57, 1acd
4810, 7906
0a77, 0d1c
3246, abed
e344, d384
64ce, 6b34
58ee, 5d8d
3618, c499
feef, 0afc
bf1f, 8204
4d21, 8ae3
7255, 8450
7953, 8318
6550, 2ea2
4a0d, 4739
7afc, ee8a
5f17, b2e0
129d, 034a
9c6a, 6363
a000, 825a
2919, 13d5
9bdf, 3178
e299, 3a28
021b, 36b7
7f85, b641
4268, daae
7c77, 612b
3dbf, 95de
3eed, 21d7
4780, 8d11
6f57, 21ef
6302, 9fc2
f959, db38
e009, d097
4008, 82a4
5c15, 20ea
fcc8, 25a7
88c2, a809
6c0f, 98fc
8bdf, 4565
faa4, c51b
9794, 87fb
2b9e, 6159
a0f8, b58e
eaa2, ebe0
0a51, fd90
5629, f808
b7da, e293
cd3f, 5aa1
ee48, a7db
25d3, 50b5
d621, a5df
721c, 8fb1
c94b, f2e7
12f8, cd8b
5b6f, 21af
f062, 557b
bff1, 3e11
ce4e, 3d49
34b3, 03e8
8461, e19f
1b88, c46f
75c9, e381
16b7, 67d2
1fc0, c088
cd6d, cba2
4b13, 3ca8
4d20, eae6
e3d5, 6e23
2cea, 90f0
a6b6, ca85
4a92, 71df
e473, 3994
5398, edb6
1a9f, b9eb
aeb8, a3b2
57e8, 4298
d32a, dc86
69ce, b49d
65cf, 3741
d224, e31d
80b0, 6b16
cda8, daea
7bda, 6fc8
1f77, 38e8
e36f, d2b9
fd8c, 2ead
8949, 8989
d3a7, 705d
6dd8, edcb
8130, 8d31
20ba, 938c
60d7, 6404
a65a, bc00
5220, c3e6
23a6, 25c3
cad7, 5291
a053, a006
d133, dd93
f6e9, 9c88
718d, 44f8
0c8b, c765
1658, 78e7
6460, fecc
b8ca, 4191
a160, 0429
c845, b521
1cea, d025
46b9, e435
02a9, 9f58
ce8a, 3bff
3541, 268c
5451, 6fd2
b244, b80c
b706, 3af2
378a, 944f
abef, 7715
c643, 09b5
aaef, 3d39
b560, ab10
d5cd, b394
5500, 5335
3035, 695c
bc0d, 8fe3
33ff, 9f8f
3f1d, 9c44
59e1, 36bc
1418, 1bf9
c170, 1f68
4869, eb6b
5bdf, f4bf
22f2, c8cb
3817, 9b42
5fd3, 47d5
5ae9, 7705
ab7a, bd7a
271b, cb44
6724, 42a7
71d6, 4723
1f15, f74f
8d1a, 47f1
8815, 1e86
4a8e, 7bfd
e295, 0912
9f63, 9f22
2bb9, 3016
6b17, fd17
199f, da09
0eb1, 3ad1
dbca, 817c
61f5, 2d11
ae73, bd71
b1b1, c70d
0796, 8cd6
6a10, febf
e8f7, 48e7
0f30, 5653
62bf, 7429
1840, f577
e9ec, 94c6
cefb, 105e
9aa0, fb3f
75ad, 1c79
5118, ef59
c753, 4012
1751, 1e90
87dd, edeb
6165, 452a
95c7, 06c2
4991, 1c31
ba7e, ea92
f21c, 23ff
5e07, d884
4a2f, e07f
4d45, d1da
c253, 2290
3784, 4fb9
ac08, 0847
a75e, 88ae
1e9c, 51f1
3b1f, 9e1f
7f6f, c584
6947, 268d
0924, 7f7a
c529, a685
703d, 7392
15e5, 5e2a
b607, a339
7841, a74d
9fd0, 1b3c
f885, 1ca1
6df8, e337
8842, eb49
74cc, 854a
3c3e, 427a
4219, c013
7420, dee6
fdcf, 16d5
41e9, 63d1
b3ed, b93c
6c63, 5f01
1463, 0bd4
392a, 32d1
6d73, f79a
5a8c, 90fb
70db, 7cb4
c325, 65e5
42ea, 4925
6a06, 0b03
941b, fe82
5475, c02d
d8e8, 1e14
2025, 25df
cc19, 51b0
3b1b, f0b6
e0f5, e221
509f, 3906
d191, 8cfb
e82e, 6340
9790, 6319
b319, 7922
541b, 3424
c3be, fa59
5fbd, 39d4
7ee5, d81f
87b4, 1277
1e68, da62
abae, e19e
98ce, 0014
dcee, 4648
12ce, af94
2b0f, 7f1b
bfb8, 09df
fc5d, 0209
39ae, df12
98e6, 35c5
60b6, 4109
dc17, d6bd
ea5d, 8e02
30c2, bec5
36a4, 7ac5
1231, f29d
19a0, 2c1d
e935, f4a5
16f2, 502d
3ccf, 6f70
84e6, 8333
ec08, d3cd
7617, 1624
7962, 9472
99f6, 6f1a
8482, 5835
a02f, f538
3238, bdc1
7a00, 785f
ad98, 176e
9fad, 9009
1ab1, 2312
581a, a9ec
650e, fd4f
6e97, 6a6d
d6b3, a6f0
49a2, 4f41
6ae3, 9fd4
f043, f685
f47e, 975e
e51a, aa35
7c20, 73d5
bbbc, f757
30d0, 562c
c9b7, f22b
45da, b0e3
7bba, a56c
baa1, 0a7a
75bf, 401c
1ac5, d161
524f, a187
eff0, a52d
352c, 5521
3811, 3bbc
585b, 9899
704d, 0541
307e, 0eef
eb29, dc97
a490, 1135
f06f, 6fac
f1aa, 2ec3
9c72, e0c6
b12f, 05df
b05d, 897b
9714, b836
3580, f42d
32e8, 2e08
0e32, 1ea8
87b9, 4664
b493, 7406
5fd3, 47d5
907b, 65a8
8c5e, 8f9e
3df4, 9742
2d2d, e474
a8bb, b424
2e07, 2dad
1564, a31f
bb51, 9a49
0594, 327e
1bd5, 872c
da73, e029
008a, 05fc
c975, 90c6
66d3, 39d6
a67d, 7699
9b7b, 7189
6fb4, 7c03
1207, 9e7b
f955, adc4
8338, d099
79db, f7cc
095d, ce9a
f128, ed74
0a57, 00ed
6693, dde1
7a02, 67e4
74f9, 7ff5
4762, 4a7d
3ec4, 5dc9
2dd4, bb23
524d, 92f9
7eeb, 10a4
791d, 0e6a
a2f4, 7f47
e2aa, 10c5
d081, e2b0
6f83, 93d1
123b, a9a8
56c0, 6265
b260, c0f2
4751, 4e75
d881, da10
d584, d04b
5903, 5275
ba4e, 8a14
2fff, c3dc
4f1c, 4c81
4360, 250e
f550, 33cc
8343, b3e5
7982, a19a
1f1a, 8f2a
fc94, 487d
9620, 4947
8d39, be45
209a, 2936
0935, 76cd
8a30, 1e7c
6623, 3926
13b0, 46fa
5338, 8ac8
327b, 5c7b
bb4f, 74d5
9c6b, 2f74
a806, b89f
002e, 9087
3423, 311f
df98, 455e
c5e5, f08f
4dfa, 6dc8
5a6d, 08ad
b1ff, 18d0
8db3, cbc4
6c26, 4711
7716, 6923
4117, 74d8
e78e, ade4
a60c, a530
6cc7, 3952
3e2d, ca8b
0b9f, c106
721a, e64c
ce74, 983e
a08e, a042
0fa7, 0baf
49db, 8fdb
d83b, 778f
8910, af2c
08e5, 5780
259e, 66c9
64b1, fadf
ab21, f43e
c25d, 2e11
c0a1, 0503
755e, a07b
b688, 7093
4c76, bc27
2626, 25f0
6965, 25ca
adf2, 03b3
8259, 86b5
0d9b, 2a38
6cd7, c2e2
c350, 9a54
88d5, a7e5
7691, 42eb
ac8d, b68d
3ab3, 9dc8
43c7, 6e2d
438b, 95da
bcef, 4510
d78a, 11fa
ad96, a43a
08a6, 5430
946d, 6f36
bdca, 21b3
4936, 33e7
9ae7, e2c7
a24b, ad33
9b8c, 26f7
265c, 659f
2f67, 5508
edf4, ec68
25f8, 25e9
0450, 1cff
96c0, 5261
d787, d12d
6691, 53c1
2eb7, 6383
6f82, 838a
eaec, d402
2c56, 695a
2040, 4ae4
8ce1, bfb0
a854, 14ab
e4d2, 6ba7
d1b4, 19d9
1673, a0b8
94b9, 449c
ca55, 16e2
e39a, d441
571f, 3e4c
410b, faae
1bc8, 875d
e76a, 8914
d85a, d7a5
1f61, 79cc
a584, a544
ace2, acfe
b7d9, da1b
0f06, b6c4
c1f8, 68f4
0547, 06fd
1348, 1f8e
0a19, 879a
be9e, 4807
21ea, ce11
4b56, ee71
caec, 8402
53ce, 897f
c1cd, 4dbf
04b0, 9d4c
cd94, 970b
5c67, 1666
9267, 2598
2ee9, 58f8
e5a6, 16cc
e29a, 753a
072c, 9de1
e83d, 1e59
ed6b, 4754
af3e, 4b18
05ff, 0315
6082, c5e8
01fe, 0ddd
f45b, 0b67
6301, 6f7f
f1a8, 2631
f210, 9986
a1be, 8378
9713, f988
6816, c11a
4d45, d1da
7126, e4a4
bbae, 4b99
1ae1, 1c00
2ace, c270
9e61, e583
a398, 7641
e43a, 836f
7f92, e0ae
0333, 2f51
da53, db03
2e67, 685e
925e, 8172
f7b8, cb27
2dc7, 1710
bf2f, ac74
a157, 44cb
94d2, d497
be88, eb22
b877, f99c
8250, 765c
b266, e33f
aeaf, 011d
150a, b001
a3ab, 9b4b
a8a7, 81bf
7ce4, 708b
2812, 8e79
64ff, 162c
8b36, 8a36
6597, c95e
278a, cfc2
f388, 92d2
be04, a8c7
b907, 8ccb
2a03, 2a56
7dd7, e718
0067, 666f
73c7, 856e
1082, a5ee
a886, 8823
e5ca, 8070
1584, a0fd
4d83, d11a
09b7, 6fbb
1a64, 489e
5ded, 0e1b
b400, 0659
2adf, c261
1c0e, 01ae
5352, e075
4671, 8095
d2db, 8ea1
8422, 8f23
39d5, f023
07f4, 4d0d
b954, 3c71
1d3f, ab35
869c, 9a20
94e2, d173
9e9c, 4a24
20d9, 57ec
8f4e, ca9c
68a7, b145
4655, d096
6db7, 17a3
8e99, 4d0b
9d8a, 671c
a544, a584
4ab0, de4c
9609, 23ad
00c4, a02a
0b7c, a527
a34a, 0699
5be7, bf0e
7934, 1572
d2d3, a8cf
6dd6, 630d
97d7, fb44
9869, 6c30
ada3, 757f
3ae0, 60d8
1878, c1b4
209e, 326b
1beb, 4d42
47ff, a7df
ec1e, 3da6
b1c1, 0b82
253f, 7854
d3e5, c706
2268, c037
9e32, 086d
b4d6, fa98
fc99, 0bf3
07fa, 0267
0abc, 4fdf
ab82, b41e
14c9, 0378
746c, d0fa
6b5b, 2834
d71c, e16b
e029, da73
a7e7, accb
34ca, dd3c
5f7c, 9c76
62a9, 30b9
e0eb, d58d
2b8b, 28f2
ddc1, 81c0
706b, 49ae
acfb, ace4
6915, 172f
3ea6, 0ac0
e6d2, 5541
a91b, 72bd
0b85, 3a10
6075, be8b
7664, c906
9d75, b986
6ed9, 4f3b
dec1, 4a56
f0cc, 0c33
7899, 94be
c380, 18a5
e1bb, 0e77
ca17, 7bc0
8f41, 4378
fbb4, 7b7b
5c17, 1ce2
655a, c382
e004, 4632
9a76, 6793
1f09, 4c59
d7ef, 1426
3839, c7ad
ec8e, 868e
86b5, 8259
64c4, 33e9
51bb, 32b5
153b, 0727
19d0, e6ea
1e8a, d180
818c, f9ec
887d, 3d24
17e3, de1c
36b0, 3610
61e0, 2446
3ae4, 46d5
77f6, 3fd6
6965, 25ca
f8ea, 62fb
dbb7, 7bf9
1f8b, 19f7
3035, 695c
9c2f, 04db
6f4e, 603a
2cbd, 15f8
8e4c, 1bea
8086, 2860
d642, 4088
890c, 8ada
5e26, 5e85
5a23, 6261
fbac, 231e
14db, 3f4f
c652, 5694
ae32, ee5d
2f93, 300a
1fba, 34a0
5330, 6f9f
4cd0, 3a80
eabd, 8ef4
62ba, 9835
4c70, d56a
a8c1, 8b0a
5a68, c9c1
b790, 0907
0a90, 240f
8f40, 5f0e
8ad1, d74c
b7c6, 907e
6ce2, 068e
475c, 6309
2f82, 5f44
b782, dd2e
6c6a, 0635
a9d4, a217
6cfe, 2617
f2cd, 405c
2d36, 0e7a
1863, a476
d8de, fd7d
4589, e089
82e1, efb3
38ca, d5fc
f2aa, 91d6
20df, 414b
901c, 39e0
38df, d281
a075, 7c63
9a25, 28b6
9a27, d8c3
0a88, 174b
749e, c657
498f, b68c
e564, a30b
4c1c, 6185
753e, 1a2e
1289, 1706
ce39, 553f
0aba, 0141
fae7, 1e0f
b158, cef7
0bc0, 16b4
621b, c3d4
313d, 2dc8
cf71, 0ca3
1fad, 4cbf
ca19, e8af
0976, c950
41e5, bd40
7df5, dd27
a63a, d250
84bf, b446
8b0a, a8c1
4cb8, f405
ae02, d49b
b28e, 1342
d927, 8f27
0176, 128d
a341, 761f
e14a, 56a2
7715, abef
37ba, 2b2c
89d8, 7393
5112, 3482
cfda, 17bb
9625, dcd8
d80c, d430
7137, e86b
ca26, 5d1a
15fd, 7c8d
82f4, 83fb
126f, 7365
783d, f3c1
d64c, 79dc
2365, 0799
2b24, 37fb
0f6b, f4e0
2b85, 2821
d7f4, 389a
29f4, 9f88
8fc6, e71f
c823, f300
a890, f9c4
ae60, dcfb
b937, bbdb
86f3, 86ec
f40e, 111c
7670, 75c1
32a8, d4c5
728c, fe0c
6fcc, 00a3
d5a2, 8999
d119, 796d
68ea, 623b
5a8d, 4df7
5c02, 6c78
0af3, 5ddc
6362, d9d6
1331, 450c
1c51, 4de3
f00c, d2c2
789b, 7472
1c1c, caa1
dec9, da64
fe3a, 0490
5bda, f1b5
23dc, 2149
3668, cb2a
66a2, 9cab
3fe3, 1817
3014, f6fe
14f2, 8252
6ced, 6876
d443, 1e16
c1b8, 3dbb
ecf3, af2a
cb8c, 05c4
7b8d, 4488
c7bb, 155d
4ee9, b41b
a98c, be5c
4990, b63c
24d9, d89b
76a4, 1ad7
edc8, aec9
4e7e, 24d2
e4c6, 84c5
a9b5, 0785
e9de, 8fd2
7d3b, 4e64
54b7, 9d48
d496, eb76
f91f, e446
da91, 787a
ccc0, 9dc2
d1d8, d128
cb33, fd06
3e95, ef88
5648, 2027
3a78, 3ea2
c07f, b8cb
1864, 81b6
0cd8, 0fe4
acec, 43f3
76e6, 7135
9481, c0a3
a9f1, 704f
35f6, 0041
ccc1, 6073
fba4, 085d
68d4, 81cf
f13d, 5d98
c1b4, 1878
5217, 19fa
cb98, c919
67a6, baf8
3a1c, 9721
0a95, 2517
40ee, 4c42
4499, a1a4
2a39, f0ed
b242, 72fe
0f50, 5693
e976, 89d9
96c3, 5eff
da6c, 4bc0
5630, 5f55
c1dd, 8d72
1922, 12d9
61e1, f1ba
9b0d, f1a2
aa55, 740a
9b39, 6b99
970e, f764
a2ca, 7c95
2f2f, c0b5
50f2, 95f9
20dc, 4b1c
fc95, aea2
7151, 7389
011d, aeaf
e05c, f337
5c26, a482
7444, 2474
ccda, c511
057d, 97e6
15df, faff
320b, 41a4
0ed9, 6a88
9238, 11a0
f634, b408
d27c, 496a
eebc, 1e32
68bb, 97e9
48f4, 6872
388a, 97b3
9517, 5cfe
12a9, a90d
039f, 1cad
87f7, d8ed
612b, 7c77
5966, ce9e
7915, 799d
b726, bd43
efda, 2760
74df, c198
e4f1, 52e1
2397, 9f6e
88d5, a7e5
5a7f, e054
fb79, 2051
ed7d, e825
5a50, 3861
8238, 8094
9a78, f97c
5ecf, fb7a
c3c4, 625b
25ae, 42b3
cd7b, 0adc
aa5d, e7c7
18ad, 9c62
132b, b2bd
8a2f, 36c8
7280, a516
594f, 32e6
ecac, e6dd
3fae, c55d
9cc6, 526f
f14c, f0c4
a80f, aa51
e745, 18b1
edf6, 114a
ed67, 5979
cc16, 3323
5151, 3d5c
b5fc, 19a4
634d, 0d86
01b6, 232b
895b, 10ce
6adf, 6420
3b1e, 3cf1
03f7, c944
f5f3, 216d
6609, 6a4f
7506, 2d6c
adf0, 9941
5c2b, 2542
94b2, de0a
9e2a, 5d20
0343, c3ff
e4ca, 8d95
2c17, 5a70
5bac, fce8
54e7, 4400
91dc, 6ddf
1be7, 8e48
9a5c, 5b51
ee3b, b83e
6b17, fd17
dca3, 8dbf
8951, 7c91
4e32, 1dda
6944, 0ffb
5465, 4fea
fa0a, 6100
8b1f, 1ba4
5187, 5888
ef00, 83ed
36f5, 6c80
dfe7, 8f00
151a, b316
2045, 05e0
2771, ece3
aa79, 4375
ec70, 803f
54e1, 07f3
2ca3, c973
fd27, 6818
69b2, cce7
2b17, 388d
fdfb, 0789
d1bc, 884c
fe20, 9a83
75d2, b0a6
d83c, 4928
93a8, 9fa9
57a0, 5d5a
5225, 4f12
3663, 5fa5
ce58, cf49
10f6, ec20
8123, dd81
2b24, 37fb
4f78, 79a2
db43, 2c1a
5cc4, baaf
5678, eccf
2595, 145b
063a, 58cb
2f84, cfde
7527, b024
9f52, c723
dc47, d68d
396a, 603c
7b6a, b1ac
8a77, ee97
1c22, 762e
c592, 3c9d
66df, d919
477f, e329
8002, 4f0e
43b5, 4564
43f1, 7215
c770, 7324
2296, 5d26
6bf8, 06ba
6a85, c9f4
abbb, d412
12d3, df9b
12ad, 8f6d
5b6e, 9e79
b2ad, 4fc7
13ef, 75fc
037d, 6f5b
6acb, f0d4
d0ba, 6ffd
a641, a952
5c85, 004a
0287, 92b7
bf61, a96c
494f, a2ef
93e0, 2611
cf3c, 54df
c312, e30f
a507, 6433
fa57, fcfd
55a3, 9971
33bd, 52d7
b849, a889
8aee, 7ebd
4135, 88aa
1ab5, eeb6
de86, 6ece
29f5, 52e3
4d01, a7aa
836d, 1634
fa54, 18d3
8eec, aae0
8b03, dfb7
4d39, ae8f
297e, 005b
751a, b7c5
97ea, 6503
ea62, b77e
f418, 1aad
a0cb, 6906
2d0a, 86fc
9696, 0f3c
ef3e, 4054
b72e, 4e4d
6c4c, 6c4a
72b6, 43ea
a5e2, b089
f128, ed74
f5b7, 33be
90ac, 5a54
8f09, d09e
dd8e, f15a
8901, e987
7a90, 371d
e20b, 73b3
c9d9, 8236
d756, 4552
e65d, 8098
b0d7, 9766
9ba6, 3a73
93e7, 29ee
0053, 0ca1
4bc2, 78c8
ce92, 11d0
cba9, fa7d
c82b, dd73
2c44, fdc5
afd9, bf7f
b34e, 1249
3d70, 6b33
0ede, ac39
7a28, a4f4
93d2, 35b8
8b0f, d4ca
fab6, f421
bdaf, 8ac0
42a0, 83a1
144e, 760b
6fea, daf1
ce9e, 5966
00fe, cd0f
5d06, ceaa
2c72, cbd0
c96b, 3657
19ff, 0405
315e, 6d94
769c, 82eb
5a96, 5d03
8802, 6b14
344e, de0f
ba31, b3e2
13ba, 85f0
3c38, d2ca
a833, a34e
594b, 6a98
ca99, 8ad4
208b, c720
91b1, f699
85b0, f1c6
6300, 01c7
0e8c, 0ae6
7329, e305
8b9b, 4458
0a31, 6b50
18a5, c380
e625, 4f4f
a62a, 1fb5
07dd, 9b2e
4d9d, f25a
7274, 31e7
b6ae, e33d
efdf, 7122
dd8f, dab0
b490, bb55
ce62, 9ba7
8960, ef61
19d0, e6ea
2d43, 3e1a
fd52, 67ce
f4a4, 2b7d
8800, 2447
c9f9, 3d34
1d44, c321
c15b, 5d52
59c3, 9256
3312, 50b8
a0d4, 64b2
b997, b3ce
f861, 2a35
ac13, 45d1
b063, a566
e6d3, e245
6a2b, 1866
8212, e319
5ab0, 3eb0
7bba, a56c
5cc4, baaf
73f0, b5f6
d436, 41c3
b4e0, 2d97
bdf3, b716
8a13, bdba
1cbf, fe40
0bde, 8bcd
a056, 7fca
c45c, a3fb
8bb9, df38
611d, b865
b521, c845
2f7e, d76f
3e18, ccb5
6981, 77f1
a433, 7a91
568c, 31d9
a56a, c1a2
1627, f0d0
5522, 32d9
fa62, 98d5
6978, 95c9
232e, 5adf
8c41, e10c
9406, ae1d
9dcc, 516c
9c41, 348e
