9ba0, 70a7
3e2b, 5124
5bb5, 0532
0e1f, 4433
4920, b038
ac96, e088
455b, 9b01
53f3, 13be
423d, 7fdf
5892, 71a4
df40, a437
7255, 7a78
6d57, 41d7
12f6, b06e
635f, 918f
0a60, 2be5
98f8, 7bc7
5328, dbdb
a6fc, fdf5
b366, 5f45
c7ff, 631e
a3f2, bdd6
15ea, df35
e510, 33eb
eca1, e663
d2b8, 7c3a
857a, c5c8
c828, 4754
017d, 0b77
4a39, 0f9e
b373, 7854
c4a0, b391
53e2, c11c
289c, e0e3
6886, 6f96
74f2, ecf0
bd1b, b41c
daf9, 6468
5060, dc3f
7f57, d12b
78a2, f658
37a0, b944
1e86, 698f
6691, cba8
3f26, 89c3
5819, a3b5
b3a0, 420f
0481, acc7
2578, 40fb
69bc, 5cea
e847, 75f0
394d, 0a3b
4c54, 11db
1a0e, 7b52
9377, 4b33
8aa6, 8238
58f8, b862
083a, 987a
eb6d, b2cc
b164, 1b03
df1b, de25
597e, 1474
fe20, f7b1
2e42, 747f
3e3c, 35ee
c4fb, 3597
2f8d, 1a42
ce91, 8541
9b0f, fc4d
9f8a, a59a
d2d9, f5a8
8292, 11e9
9950, 68b5
1a1b, 5943
b442, 43c9
ecd4, d31d
7645, 4f1a
6c03, 223c
102a, 3c12
cc6e, ed36
9efd, 179e
7964, 7538
2904, bf8e
dbb0, d185
f773, fcfa
51df, 5aec
d720, eedd
1771, dc75
ab4e, f54b
2356, 2206
a5b3, ff61
da3c, 3d21
f606, c13e
7746, c934
26ee, 38a9
4d38, 7bce
5daa, 3136
a64b, 2609
61d8, 4f71
8bd7, a0ad
d766, 3a44
7c34, a459
8778, 8e79
3d37, a7b2
b389, b8ea
66c6, 28e8
fc7a, 8cae
72fe, 7619
b74a, a423
0c60, 6ad1
082c, faac
33f3, 6e4d
c922, f6e2
a004, 4d80
95df, 5f43
ac4b, 9c39
9e07, 6d34
ab4a, 3cf3
2c27, 1f27
5349, 30b4
4ae1, 2d9b
25d5, 2c05
eaf6, 7e83
c816, 1afc
ac50, dbdc
824e, eb9f
47f6, edbc
1bd1, ba40
d2e2, 9174
bc59, 1014
9d47, 229a
f634, 4f5e
dd5f, a202
f9ff, f170
1a9f, dd78
b94c, 8026
2371, 1842
ef9b, 2d8b
af8e, 834d
4f2b, 5223
76e7, e635
1426, 53e5
deec, 1716
a62f, f8e4
7fda, 834f
50e9, 04a6
d286, 6e70
95e2, 734b
52e6, 05d0
aa5b, 22a2
b6a2, 4009
4bbb, b8fe
046e, 69b9
033f, 6e6e
2065, 35a4
1fc7, b19d
df1a, e0ba
dfe0, 125e
f263, 6929
0db6, d787
376e, 9fc3
e6c6, 14de
dd79, ee1b
5d81, 7f62
cbf8, e18c
85e7, a8a7
5153, 8cc1
ce04, 0d7e
5380, 1131
8202, c392
b34b, a44c
8b95, cabe
813c, bda7
a8d8, afec
2740, 350c
69b9, 046e
c0bd, fa53
6898, 2e3c
660f, 3576
9d1d, cd47
b2d8, 691c
28fd, 16f8
fcf1, 4c7a
ce00, 0759
fe4b, 7dd0
0678, e769
231b, 0c8b
54c1, 4ee3
331a, 70be
8d18, c553
b521, f017
27ca, 3dc4
28fa, 385a
d258, 4eb9
50eb, 5d07
6052, d3b3
8f93, c683
dbe7, c221
09df, b1db
714e, fa00
2f8f, cdf8
77d1, b560
883e, a41a
2f6b, 9d42
5dc9, 34cb
6ffe, 2bac
9b73, 6e30
f3e1, d0c2
9ee6, dc51
bbe8, f8cb
836a, 0c0d
bee2, 02ed
0b9f, 5793
8e84, cf29
f396, 0792
192a, 04b3
d081, 725b
24bf, 420d
a0ca, 62f1
b580, 6965
227d, 07e9
df5c, 45bd
a172, 5583
5cc0, db11
6b90, 9cdd
27d5, 92b2
4dac, 13e2
f8d7, eb68
3cc7, 8fb0
0680, 12ee
f26f, 5a92
2f1d, fbe1
1665, 9c6d
b3c5, 73d7
cc1f, 4804
a5b8, d5a1
ba50, 312b
50ab, e158
582f, e5ef
5c62, 0c38
45e4, dadf
d118, f23c
40bc, 79d0
9565, f1a1
f04f, 1e72
957d, bb56
75f6, f77c
481b, 7c80
6c69, e955
4f9f, 741a
1640, 5b0f
37fd, c7fe
8a6d, 8b55
5007, 8590
f279, 5b22
1aa8, 1019
a031, 707f
8244, 8c7c
1793, e542
cc9a, 533c
993c, 6ed3
3dfb, f8ed
5c2e, 5d79
f431, afbf
b2f3, a08f
87fc, 45db
42d4, 40b7
9a4a, 9e7e
989d, d414
96b1, e5e8
ac68, e578
dc0f, 752e
d426, 88ae
0285, 2853
354e, ad09
c3ea, 7c35
dc0f, 752e
c2f2, 0b94
e3c4, d1ad
423c, e64e
5f96, 3595
b4cd, fb39
af43, 6d82
b099, 3970
e750, 0a48
52ce, ba63
4a7f, c3c4
3835, 021d
a5cd, 7424
dae4, 2ff9
bb5d, 6a4b
110d, 47ab
f57a, c66a
dba1, b5c3
b1d9, 3fbe
d605, 714c
28b3, df07
9738, 1e44
8f47, f4a2
68ea, 2691
d8bd, c63c
b001, ec95
73cd, 45e6
1c58, 4d8d
07ac, 0138
fc0a, b1b2
d763, 2189
8f8d, 3499
4efc, 8c70
cdd2, 237e
6d36, 2398
8bde, ad1b
8a9a, fad7
e4ed, 3498
8447, ce68
0809, 07e6
2055, 6832
3fab, 6625
5701, 742b
ed3e, ee7c
224a, 85aa
eec7, f033
7206, 1a65
5996, 8caa
189b, a101
0353, 8b4d
bdde, 8c5e
febd, fcdc
2d77, 3d61
0ca8, b5e4
5a83, e074
f858, 5cb8
e40e, 2db2
7f43, 8c11
e747, 608e
9ee2, 78c5
55c4, 7256
dfb5, 25bb
2145, b4eb
c7cb, ac72
be99, e8a9
7aad, 04b9
c067, 7f01
c63c, d8bd
cd8f, b558
bd4e, f9fb
9fad, e44a
7b35, 304b
718c, 2313
56bc, eda0
7531, 4082
1ff1, 26e1
2bb8, 00bc
5911, cb3a
7019, 5c83
cfdc, 155d
7c3a, d2b8
c639, 457f
5661, a578
9945, d8e5
0416, ca05
7a02, 356e
2a81, a92c
cc6e, ed36
2b52, 61b5
7ef7, 4ab4
f6fd, 9082
b382, d24d
2faf, 237c
592b, b5dc
4800, 6166
8266, 70a6
889a, 47fc
637c, b904
19f4, b880
6e62, f38d
940b, c2ae
63f4, 2d75
74cc, 15f5
4939, 0d36
b330, 7aa1
bfe7, 8179
7f20, 16d6
f903, 2501
0dc4, f433
a467, aa5a
d32e, e8d5
50b5, eaa9
20b6, c040
0d91, 7a81
78a1, 6599
a866, 0670
422e, 01f9
8c38, 6163
7a2a, b656
4053, a94e
32a9, ed94
c53e, 1266
7ecb, fb42
9ca5, c36c
0f20, 3541
52bf, 4227
90c7, 966a
ae93, 4270
02ca, 57e0
e962, 93cc
e96c, fa9e
790a, 5c16
88e6, 0ac8
c2f8, cb30
e487, 8446
d2f8, 7548
ee50, 812c
4262, 862f
5f82, b39b
5d7d, 8dce
630f, 63e9
8f2a, c70f
4f20, 01a5
9744, d105
c161, 3812
4099, 286b
acb9, a1ac
77c4, 8e38
715c, e161
f6bb, 284c
dd68, 62b4
400e, 34b5
8530, 2359
1678, 4052
1291, 04db
6df8, 8fad
7f85, d934
9fa7, 3098
4bf7, 8597
4a00, b31e
fb1a, d87e
5a9f, fa93
95f3, b01e
f7e5, caaf
bb53, be3d
deaf, f685
6aed, 710c
1bc0, 34ee
22f4, df69
8c0c, ed73
8a15, 64f0
e35e, cdf1
e70e, a90a
1134, e8e3
bed1, dd5d
fa63, 24b6
217a, 58c7
eb60, b091
7c84, 7335
08e3, c20b
c389, fd15
81d3, 7c91
6930, 8c8c
e399, 43fa
0179, e843
2913, 9221
b14f, a159
06ab, cd48
e529, 40f2
0ff6, d3c5
8faf, 4d7a
a069, 4e1d
682c, 0c79
74b8, 64a2
81a2, 8b16
43cc, a987
20af, 2116
c08e, cf42
acb6, 83e3
93e6, ea8a
e858, 4273
ac12, a808
3b2d, 28db
16b3, 4b9a
da4c, b7ac
4aed, 70f5
1574, 4062
52b9, 08ff
229e, fdeb
0ba3, 8fd7
cd05, 87fe
24b5, aad2
36fe, d0c4
0adf, 2379
372d, 887f
d37b, 92cf
dec3, dfb7
6ef6, 3120
5620, e8d1
ff00, 6ccb
52e5, b48c
048f, 7338
2178, e899
09e9, 3ec4
9595, 97b0
a5db, e564
0b38, 00f9
1807, 8b32
81d3, 7c91
e35b, 8f4f
e4ab, 2367
f80a, 0219
1171, 308c
a8ea, f979
7fce, 3a76
7274, f76e
9f76, 535a
1d6f, 1d70
0394, 776f
3f20, de1e
9871, 24b1
ceeb, 2ab8
b1a2, eec8
92c2, 0072
a1f5, 008f
ea41, e710
4123, 2780
61d6, 63f9
93f1, efc6
2a4b, 7e0c
1873, e160
1ada, 4712
c4c3, 3baf
8768, 8469
4ef9, 8a29
cd6b, 2961
baa4, 8e09
e0b7, fc3b
088b, 879b
ec13, 2760
22c5, 41bb
73cb, d537
8049, 8ac0
9029, 03d7
5093, 9811
063d, 40cc
028a, 87e5
1f6b, dd5e
fc06, fedf
f77e, 8f4a
843f, 7b36
0fbe, 1b4e
cdb6, d350
e466, ec60
4a9f, fb4b
0be8, b2ac
d2ea, 1938
2d42, 48d0
01cc, 8b12
1ef8, 89ae
5300, 5d1e
9ffa, e8cd
99d7, 8cd5
a946, 7bbe
04a5, 11fb
1c0d, f3e8
95f0, 173c
c1d1, 363f
e916, e59b
717b, bf97
6607, e24b
5e31, 1db4
aa91, 0069
7275, b2a0
d0cc, 7c44
9df0, 55c3
d90d, bf86
6948, 9080
1b09, c5e3
4636, b107
ef03, 1fac
d60a, 964a
ac20, f951
d094, 5b3a
e3fd, e145
ed09, 505e
0c41, b0be
56d5, 1dac
8d1e, 1a89
68ec, fd10
92a9, 2847
ae52, 8d67
ff18, 66ee
2825, 5b25
7813, 18b3
2c33, 9375
dcf5, 70bf
4147, cbaa
a062, 2e10
070f, 19d2
9084, 2519
3731, e29f
dbb9, 2246
e36d, 277a
02b5, 268a
0adf, 2379
3fe6, fcb0
5392, 940e
d626, 5a84
281e, 6e8e
e56f, e43e
4767, 596f
3f75, 9208
d919, 0eeb
5563, b5a4
3676, 9f50
8f8d, 3499
5110, 5c60
bfe4, add0
0cc5, 15cc
d838, 1860
b743, 4d47
e9d2, ba91
7681, 9684
c793, 8be9
310b, 3ba3
76f5, 8773
f849, 1936
5a80, 0956
ff58, 9977
1c0d, f3e8
a66b, f47e
8836, f428
5d91, 0289
6bd4, 1bc4
215a, 737d
8978, d698
8f56, 29de
9420, 6445
2035, 9cd5
96b1, e5e8
b683, f3cb
8b63, ba33
ba30, dac4
d311, 01cf
75bb, df94
9cbc, df30
b1bf, 82be
6b69, cd41
5074, c634
b447, f7ab
9f4e, c334
2051, b112
2fcc, b5ae
b48a, b7ab
bbd8, 491a
3ee7, f363
1526, 56ac
e26b, 46e8
377f, 9b8a
d0ad, 4946
5514, 9329
a159, b14f
2b77, 70a2
d09b, b0d0
973f, 024e
86ac, 7cb2
fe5c, 1f13
dc28, 5fd6
e4d7, 9766
6f6e, 67fb
bec0, 3fa6
7dbf, f604
fb81, 9861
d174, bd16
9403, be87
0612, 6603
871d, 93a1
ad8c, ae39
ae27, 9d72
1fe6, 3c05
18f1, 774a
60fa, 95ba
f15d, fb3d
8738, 70a1
efad, 71de
8637, d569
8272, 769d
99db, 9970
6a2e, 5824
10e7, d373
8af1, a024
c4e7, 0292
4f45, d5ba
de78, 84ae
ec75, 249e
ed44, b44b
5ddc, e2b3
3ab6, 3a80
2331, ce98
0894, 4dfd
c853, 9c05
533c, cc9a
902e, 54ae
b408, 4626
141b, 2bd5
21d9, fad8
edb2, 80bc
7128, 3c55
1cc0, a16c
37ac, d1e8
55a3, fe8f
b8f3, 2b1d
d441, b125
f056, 3f6a
43d8, 864e
8f4c, cf69
0294, 9c7e
645d, 7882
8aa5, 77a1
9775, c5b2
bdc4, 04dd
094d, 1d1b
737c, a710
ba1f, 9011
ba85, 5e42
4681, 6936
929b, 62a8
35a1, e33b
366f, 2fcf
9509, 995e
93ef, f2bf
7c17, 2626
37ad, 6a73
8f62, ddc2
54ec, 1c7b
988d, 8e7e
7d6d, 1492
9368, deff
2ad5, 7059
1871, 870e
2fc7, d08f
5ac3, 3da8
6a18, 5a2f
9df4, 8b3a
b75b, 742c
b7f0, b73b
9547, 3331
d45d, 0985
5bab, 2093
cfac, d097
af1b, a42f
a747, c6d7
4941, 0e92
2158, 9327
ae08, 64d2
2f07, dee6
79a9, e852
b3d3, a3cb
007f, 6ad5
7aae, 42ac
c284, ca40
15a9, b640
38a3, 1bd0
c6b3, 0888
db08, cae9
5b21, 4f67
19d3, fb3e
7de5, a828
11e0, d86d
4ebd, effc
f116, 6aba
2ef4, b884
0e9d, c15f
6afb, b22b
9dad, d1bb
7b68, 4e98
9d41, 93cd
e9ed, 9f45
edbe, cb7c
cc2b, 60e2
e96f, 8624
10a3, 8eea
7c61, 66d0
e7ba, 4bf6
e551, 25af
de79, 625f
04b4, c343
e017, 5be8
844d, 5f13
4ee6, dafa
905d, 0d00
ebf9, 98fc
8f23, 20ac
52b4, 2529
2521, 0fe0
0f04, 6552
897c, 73ee
5421, 9f17
a4a0, 1a58
a94e, 4053
fbca, 39f2
0aa2, 0044
015a, 7216
14ab, 1404
5ef8, 6ae9
7496, e6fc
9618, 22b4
677b, 6d00
c502, 66ab
6194, f4cd
be64, d1e1
fb4d, 96cb
04ca, 4c23
5337, 0c73
5dd4, 73f8
947f, 8c83
35ba, 6fba
a41c, 0f9d
87e7, b52e
bd65, 1895
53e0, e2d2
e8e7, 1dd7
8e64, 42eb
8661, 1e85
177d, 3a10
b19c, 3c7e
5a2b, 2dd4
66cb, 63d1
43d0, 2877
7134, 3672
d475, b15b
84e2, 2832
1382, 87d1
ecb7, 7ceb
a928, b550
9143, e252
e648, 221c
e269, 9837
efcc, f50b
569c, c5f8
79ab, 55f1
c6d8, 6450
df97, 8d25
f94d, 8021
c29a, 85d3
e141, fbe8
9006, 4f6b
e4cb, 477b
8045, a79c
d032, d8c7
36f9, fe9a
1225, fa47
43a2, 4594
56e0, acf7
7cd3, 2f84
ed4e, 9d31
47c1, 4f87
dd24, 721f
a1ba, f5dc
255f, c723
6d10, ca52
e9e2, 787f
9925, b2ee
65fc, 8c84
3fd8, 9777
7393, 0708
64ad, cfb4
cfaf, 12c2
0b61, 3808
a74b, b8b7
e792, 4809
e73c, e3bd
692c, 2669
c3d7, aed4
4a71, c694
3c8c, b5fb
a18d, 1cce
1b3e, 4758
cd0a, 408b
39f7, 949b
273a, e310
60eb, 5b4f
8b46, e400
1b63, a550
3674, 981c
53ca, 59db
a1c8, b522
f58b, 76a1
0f29, 2734
71f2, 6df9
0927, ef63
a337, 2c0a
7cec, f1cf
3ee7, f363
39ea, 4596
d6e8, e618
4d61, a456
33bc, 7c31
f225, de17
e7ad, bc3f
fa61, f7a0
18d3, 3e68
0818, 2ee8
d23a, 302c
71e1, d506
03f4, 5771
6c95, 03f8
3dae, 2bc8
c8ca, 9500
8239, 07ba
742d, ea65
ae16, 185e
c7dc, cbe3
33db, ec5d
b8bd, 0fdd
ec41, 49f5
ebfb, f560
c5fa, b8d6
99dc, 446e
cf4f, 7050
319f, 9389
5d59, 947b
895b, fc7c
0472, b35c
c37e, 03c3
a3c0, f02c
e4f9, 0ff3
1a34, ad34
9528, 1d2b
809a, a881
45a1, d9fb
ae1f, 0f52
e147, 461f
8b2b, 5e64
da46, 8ebc
e6aa, c0ee
d565, 7333
ccec, 7fee
8bfd, f7c0
eee0, e4d0
3b0a, 6170
39b5, f53d
b478, ce4b
11bc, 8612
e25a, 8480
3375, fbda
f8ee, 2985
6206, 735d
c4e8, ccb6
baf9, 5028
eec8, b1a2
5bf1, 5030
de3f, faf0
312c, abcf
e122, d658
2065, 35a4
765e, 6c91
bc5c, e3de
a52d, 817f
9eec, c596
2f25, 55d6
1558, c0f9
e069, 40b1
c680, bed9
3cee, 62f4
ef1a, 9a0d
71fc, 2539
bffc, d709
8a4d, 5d3d
fea8, e23c
c420, 560c
77e3, 8d85
e1d6, 7770
494e, a3ac
6440, 6631
7e59, c038
e64f, 7679
89c0, 9d91
673e, 649e
bf04, 80e0
7c71, 442a
8322, c156
0f10, 2427
e748, d8e4
27f4, 78ff
500d, ad6c
a248, f534
5880, 3e91
7067, fd83
b2bc, b156
16d8, 8794
0e32, 0396
2eac, d98c
c72a, 3236
8f9b, 653f
d0d5, 7df8
9d9b, beed
276e, 7f39
62f3, 986f
64a5, 5548
9c3b, 465c
7e7a, e5b9
6056, eaf4
80f8, aa31
6a30, 047d
815d, 7a0e
0072, 92c2
f1f9, 85be
b685, bfc4
4ce3, 3cb6
ea81, b942
636a, 2cc5
c78f, 29bd
967a, bc1f
3e1c, cd79
1fbd, 61f7
e691, 1f28
3710, 14f0
faad, cb99
cbdc, 240b
d4f0, 5266
c2ae, 940b
0fd2, a5cb
9ee2, 78c5
24e2, 607f
4ecc, a83f
7530, f359
0387, 0978
9485, c466
4529, 7a35
383f, 002b
3361, def7
d8ba, 3db4
2e7f, db18
0768, 62d9
ac3a, fe1a
c176, d4a3
5927, 61dc
99f8, aaf1
d5c0, 76a6
8abd, 57dc
1bcd, 8d9e
99d9, 0f05
0d9c, 8a87
5c91, a215
49a4, 909f
4128, 8299
700a, 7ebf
3461, 2636
80ef, f426
99b8, c0be
7757, ad1c
4b83, ef3f
18ad, 3fc3
19a9, 358e
83a5, a02e
1bb2, c141
721b, f92f
b26d, 1686
3dea, a3f1
a19e, f812
e045, 1a2e
daba, 3f78
f841, f0c8
d9a5, 16a5
b78f, b785
14aa, bb05
05e9, 1729
cac9, ffc6
9213, ddcb
e882, c7c9
24b0, 8a5d
cc06, 6846
4466, 49dd
1273, 54cd
3361, def7
0cce, 3379
baa1, 4fc9
6eab, 8d82
61c1, 589e
2d18, 630a
d076, 4cf7
ae77, 2dfb
ce4f, 36a1
5265, 63d9
daf8, fa2b
e871, 9378
f246, 2fbf
fa3a, fb3f
4bcf, bb7c
0c7e, ba55
6ed4, cd42
cc01, 232d
c610, b24c
7003, efe9
9cc2, 78ae
0043, a21d
486e, 47e5
b7cc, 91ef
532a, b461
d239, 8eeb
f3d4, 3491
ce82, dd8f
a36b, 9076
d740, 57d6
19ad, c195
f318, 3106
1879, 0f79
5f15, 10ed
2acf, 1db7
9df7, 5d89
1bcd, 8d9e
c4ee, 80d6
3413, 9c0d
d5f5, 3ec3
4af5, 0566
317d, 4bb4
1742, 69eb
ed75, 4359
2d71, 064d
ddae, 2d22
4b0e, 603d
f5fb, 785a
4d21, 7716
cdba, f74a
21e2, 58f7
e6c2, b5cb
6726, c270
021b, bbe4
4763, 49d7
02f7, 1c64
2a41, 3c66
a091, 4222
bf64, 1099
f27f, 21d3
f0bd, bd5b
eddd, 2212
f43b, 003f
45bc, c48a
658e, 11f7
559d, bec5
e902, afad
edf4, f89d
065e, a643
4ef0, 60f1
e02a, 4347
f44f, 1fd3
cded, 8752
bfb5, afcd
2564, f098
5743, bfb0
cb7d, c455
b2a0, 7275
23ab, bb01
77b6, b5f8
ead8, ab8d
76cf, 09f6
ce80, ca03
dde9, cdc5
de94, 0339
5e01, 46f5
4c1e, 19de
91a9, 45e1
d061, f60c
cee2, 3de9
f497, b8f8
c269, 8961
5279, 299b
edc3, 73b7
9170, 6a91
b817, ba48
0e9b, 88f8
80bf, 66ec
686d, 5a60
2e31, 0175
a33b, c7c3
2015, 6897
56ae, 6af4
be6d, 31fd
2316, 48b3
9a1a, 52c3
b5d3, 10f0
0d4c, 0b2b
1ddb, 8d8d
6586, d525
0fcc, 649a
4fa9, ef98
9484, 8e23
7c83, 2554
c366, c276
eac5, 7614
4cec, 1fe0
e34a, 5c11
914a, 2dbf
4ec2, 391f
25ee, e3df
aca5, e423
ba1c, 9d4c
0ff1, e15c
4885, 736a
b41e, f8c0
a86e, 6e2e
bbc8, 95da
dcf1, 61bc
4ab6, 028e
2ec1, 227c
ae06, edcc
691c, b2d8
82a5, b54d
9780, df6d
6c5c, a51c
47a9, f4ed
45cc, 866f
d9ee, d5fb
85ee, 82e7
178c, 1e63
2523, 7797
24fd, 7e8f
2ef3, cc18
33d1, 8f9c
f336, 46bf
2fd1, bbd7
0a80, 2bf5
a736, d9f1
38e3, cf70
99b8, c0be
6054, 3e18
f52a, e785
2640, 6cda
e73c, e3bd
1c64, 02f7
462b, 8740
0117, da51
58f6, c091
b98a, 1789
6b8c, e2ba
2e6d, 3bcb
20e7, ade6
9180, b175
4077, 08ef
b3e3, 85d0
d349, 4c75
b86b, 3007
03a6, a83a
c159, f16d
2dba, 1efa
b3d4, 185c
7c4e, 8242
2a89, 301c
5ed7, 8494
9f98, afd2
e264, 3efa
014b, 2602
a89e, 7438
dc2a, 8046
5f81, d948
7ae5, 1f31
5f70, e0a4
7900, a813
aa5f, 132c
6f65, 5b34
bc05, 8953
e0ce, a6e1
be68, e754
99e5, c9df
bfff, 09a1
46d4, 1591
4e67, ea83
9764, f703
1eba, e94e
fabd, c5a4
8ad9, 5ce4
508f, 9611
2939, 2e2d
32e1, 05e0
9aeb, eb9c
4b0b, 6fa8
bfb4, ffd5
4f82, f586
4efd, 9e54
3fc6, 1c4a
b305, 165c
89ef, a934
4338, 6ef9
200c, 5bd3
92ec, 11c8
391c, ef19
62a8, 929b
a48b, 7d63
b4c0, afaa
5c8d, 24f1
a6de, e693
14ec, 1fa0
ede9, 4d87
7080, 84c2
8952, 0aee
0e7a, 9161
b4b5, 43fe
804d, 91bc
1105, 1a38
d958, b4b3
36bf, 4918
e382, acf8
4def, 4e43
70ad, 547f
1762, 5f71
a76f, c3cb
4349, 8e6a
2fc2, bc76
bb36, efe0
b214, 1138
f3f0, 4a0b
37ec, 080f
498f, 0ce4
7fea, f322
c662, baa8
e9e1, e4bd
6c68, 1d69
66be, 39de
2b55, 22ed
d15d, a759
6070, 5556
7eb0, 5d00
2b81, d034
01ec, fdaf
32c5, 4354
6c3c, 6459
1e9e, 7d9e
0a94, c5f9
f22c, 5860
95fa, 7b10
9458, 06bc
4276, 884a
6287, 05dd
0e50, 9628
29a9, 7d9b
6336, c5d9
dfdb, 802d
6da5, 1fd0
f4b3, 17b7
67d9, 4591
8255, 7aff
1ff2, 5c46
4b53, 7e95
8e0f, f744
a0b9, bdf8
7ba9, 4454
158c, 2d33
e956, 88ff
7e6f, a7c0
7540, 33ac
04b1, 1398
e914, f523
bc6e, c5f4
0b59, 493e
7fcb, 52cf
c1fb, 8430
391d, 52ac
6cb0, 97f2
53d3, 3cff
2223, 5a42
649f, df21
4c3b, 603f
f6ff, 1b06
cfe8, 060c
6c1e, e9b5
a4b0, 17a6
33b9, a55b
2300, 553f
efc5, d8bf
417d, 953b
3588, 52fb
b84d, 0924
1ba6, b839
bc1e, 7396
bbec, 37f4
bdd9, 270b
a3af, 2197
30a7, 23c9
113c, 759c
acb3, e5f0
8464, a4ce
ae32, 502c
5adf, 78f9
bcf7, 55d5
a371, c31a
b54a, 13db
1177, f20b
45b0, 4256
63bc, ea57
f68a, 4944
0a01, c04e
c0d9, 2e20
a73e, ab3d
7b57, f254
9616, d1bf
a45a, afb1
f19e, ad27
24e6, ecd2
4073, 039d
8ca6, b94e
e9c5, e816
b124, c986
5566, 4069
0782, 23e6
edac, f00d
bcdb, d61d
0edb, 12c8
c7a8, a2ad
c537, 8070
371e, 9c30
03ce, 0592
4df9, c899
1b36, 8aec
1b3e, 4758
ec97, a9ce
adcc, e0ed
6ce4, ebee
f631, 7592
8754, 8bcc
fc29, bf85
74a5, 3cea
63e0, dcc6
1938, d2ea
f4a9, f0d8
83b3, 5aba
9d83, a252
f088, 6976
204c, 7aac
fb8c, d42d
ebcd, a0a3
525f, f41a
5cc1, bf32
7365, b533
0d95, 347f
604e, 2d97
0483, 701f
f1a0, f95a
dc38, 277c
a0f4, dd83
167d, 8068
90eb, 6413
ca7a, dbb2
076f, 2c49
2345, 15f2
86c3, cf80
714a, 4be5
92eb, eee2
6d4d, 43be
462b, 8740
9925, b2ee
96b3, da13
3dbb, d87a
3263, 9e25
334a, 166b
ec90, 1bcb
380d, 234e
4723, 3e47
990b, 877f
70b4, 452b
3b9e, d728
3330, 89bf
8fc9, 37e6
7d06, 4b6f
330b, 11a6
88cc, 42e7
76af, 95eb
04f6, 9d46
fcf2, 47f9
2548, bbf2
2f67, 1687
5dd2, 6f54
49b6, d00d
40e2, 35d0
3f8f, e42d
5e4c, 2860
90a0, 6bc8
a682, f4dc
9c9f, 6295
a60d, d0e9
85f2, e862
c77a, b7b9
1234, f73b
7f8d, 7897
ceca, 0b6a
a2c6, a3e4
a861, 216f
b599, 3b9d
21e2, 58f7
8fcd, 4c2c
5182, c6cd
ce89, c68c
9bbc, 912a
a0dc, f4c8
ac9c, 11c6
7e97, 642b
f586, 4f82
85c5, 4ca1
b3b2, 8812
