b6e5, f851
b026, 6d76
ff5c, fa59
3c32, b008
f30d, fc02
fa3e, f75b
ee65, e8ac
df06, bbf7
90b1, 7282
b40b, 72a9
d8bb, abd4
5986, cd5f
ebb5, 8f22
f095, f797
61b9, 054c
d380, e58a
e368, d354
36a5, b62a
e733, 0add
f504, c209
8cec, 6ec1
5907, 415e
c6cb, a0c0
fb4b, 7cde
db97, d941
1700, 1a95
10c1, af47
465d, a3ad
a998, a59b
be70, 898c
3fd9, 414e
5804, 5e79
bbf6, be4a
dda2, de39
557a, 5da4
1744, 2c1f
eea0, 8fbd
47a7, 4b3e
e826, ee4a
e01f, 7077
c35a, c656
c028, cd25
46a6, 6a55
66f8, 7550
7506, b20a
d991, 20e6
7360, 3e06
4c19, 4942
097b, d529
df9a, a49c
4fcf, 2372
7784, 7c08
0168, 2cf2
9091, 57c6
a90c, beef
a4bf, ad6d
dfd6, a4c8
6728, 0658
f2f2, fdf0
aa98, 89d6
328a, ce5b
b23c, bc55
77fd, ba48
b845, 8a74
bdb7, e4ba
49c7, 4b4e
6cea, c79c
2b60, dcba
8600, 93b2
ec25, e9e6
8fd3, 5f63
3e96, 8cb5
1904, de32
7210, 9850
a732, 14ef
21f8, 942d
51cb, c2d6
5ab5, 2e07
d158, 5cb4
5b06, ae3e
6319, 6024
2851, 474c
f932, bd36
2fee, 20b8
e09e, d96b
2d04, 2001
e02f, e9e3
a62a, efdb
6066, 31c7
275c, 2463
df2e, a32b
ba57, b732
5644, fbcd
2453, e623
5fc1, 0c28
a7a3, 4e99
f798, f09a
a853, a5e4
01e2, f3af
b812, 182b
2f75, 23cc
7530, 0604
1cf8, 1b0f
e50b, b0ad
7f61, e05a
f680, f0e5
336d, 83ac
f324, 9140
bcb4, 8b6b
a658, 0489
8964, 8148
a2d8, 4c88
8e6e, 76db
0a8a, 5df8
9055, 15c4
2c02, 743b
5b44, 07bd
4db7, 1bd2
c2ed, ccee
b4bd, c19f
6818, 4974
f037, 633e
290a, 82a7
e2b1, 5a95
e53d, c883
107a, f6c7
5eb3, 2eea
e77d, 8420
db82, 48b4
3b6d, f04d
9a6c, c644
fefa, f1f3
10e5, 1f8c
0628, 2ab0
7dad, 5485
9a2b, f118
8ce0, e1a9
2a17, cd1e
f195, ddd8
1803, 39cd
a296, c69b
f985, ff02
698a, 65e6
d69c, a3c0
a294, ad48
2f9e, d5c6
8924, 8cf9
80fd, b328
621a, 3d84
4a32, 6ff3
fe5b, a269
a97f, 15ca
ce86, 008b
653b, 00c2
8355, b2ec
66d1, 450c
9275, d24c
cdef, b962
1b5c, 1835
e4a9, 8434
c26b, c379
b102, b03d
d493, 61d3
d26f, d951
cc1b, c4bc
69e2, f7bd
2218, 02bb
f83f, c822
f28c, f7eb
124d, acf8
2cf8, 922d
13f6, 1cfc
415a, 1cd4
f362, 62ad
92a2, e50a
5d4b, c2bc
e626, 5bcf
74c3, 75b4
2ccc, afd3
9c47, fe2c
b35b, ec15
584b, 5b82
7146, 744a
b8b4, a968
ea6f, e248
a71e, aa1d
e4a0, 7137
7eb4, 79c4
1720, 41fc
15ff, b26b
654a, ab1e
98d7, 9997
f47b, e941
cc5e, 7095
273d, 5373
957f, 71f5
f387, 9179
51d2, 59f3
7ffa, 467e
fe40, 9d25
4f15, 9636
5511, 651f
f50b, 85b0
2be1, fa17
405a, 636d
95ee, 382c
4ff4, d4c8
1be9, cb3c
ffc6, 65df
2f76, 5271
b368, 1bb4
a6a7, 1fa2
c1fd, eba4
8116, 60de
525d, 596e
7ce4, 7190
b5d0, 687f
6e68, 3ff2
a0b9, 6986
3b4d, 495f
fb8e, f787
91f1, 0269
8411, 2ec8
1aaa, a5d7
d470, d105
48e1, 1d88
158c, 6d0c
baef, ba98
133b, 1058
eb54, 440d
ef17, 887a
aaa3, 64f9
7270, 2805
88e0, 0525
03b7, 0721
5864, 0d67
5767, 4712
4185, 47b0
4766, 42d9
f07d, f972
cccb, 1a03
6d05, 1585
1e5b, 98d8
aa0d, a802
893c, 3307
ec36, 42f2
e11f, 844f
a12d, a42e
b4ed, 35e4
9ad8, 547b
74d1, 5285
2f87, 588c
ffde, f4d6
4656, 43aa
e7a3, dd62
1957, a489
52a0, 5c35
70d3, 6d63
10e9, 55df
3e6b, 82f7
656f, 5caa
eb44, e697
6542, 09f4
0c2d, 5214
3bc8, 9953
b01f, 0ee5
10e4, 1389
70e3, 92fb
73d2, b6b4
5072, 86cf
c787, c28a
65ae, 3c6b
1e73, 1912
e893, ebc5
5f52, 5069
c16a, a5b1
775a, 7a56
fb2e, f615
9f54, 3f68
dbd8, d932
cda2, 7031
5001, 5d04
260a, c270
6c6a, 67c8
d812, d379
08af, 721f
0539, e158
c7e8, d764
05ae, 5843
d221, 5d5e
54e3, 6a83
283f, ef83
a6eb, a3e8
b639, b207
cd06, e35c
5c44, 5a41
77d8, babd
f292, 2c77
6af2, 6f8a
2f6f, 1a70
f3de, f7d6
f648, c3fd
1b1d, 819b
fa48, f844
1f7c, 409c
1be4, 1e89
c51d, 36f8
4081, 13ba
2088, bd28
718c, 7483
227d, 2c0e
e794, 9a09
c3af, 7559
2387, 59bd
42a9, 4f3b
54ae, 343d
3e8c, c2ab
5b61, f08d
3809, 29ed
4220, dcf3
4c21, 64ef
6e09, 639f
3e55, 00f2
05aa, 09a6
c8bf, 168f
8010, 9d16
f0ee, ff8b
8787, 20b7
adf0, b035
5b89, ad5b
41f8, 4002
e32b, e648
814b, cb7d
5276, 59c1
56b7, 00b2
126d, e511
99f5, 9ef9
cc37, 218e
040a, 79f1
99eb, 3e25
816b, baae
ffe4, c082
c1b7, cebe
6a5d, e1c4
7dd1, 78ba
bf26, 5f53
bf59, 71f9
adcd, ed50
3c7f, 333f
9498, 8c74
030c, c13e
df5f, ecdd
00eb, 1c88
a9e5, 704c
7b10, a7a8
1fce, 02c0
aaad, 7878
825a, b105
474b, c793
febd, 9b8b
9bb4, fbd9
27b5, 5e4c
a5b4, a9b9
3a6e, a441
5753, e34f
1281, 1685
0ab9, 1d67
7de0, 8f47
c823, 7f6d
16a2, 1556
b881, bbe6
7c30, b253
0f5f, 0a94
76da, 73d6
203e, 7d51
eb31, 7917
a185, 7e0b
d14d, cb33
7ffd, 36d6
0164, 0469
47ac, d838
0912, 0bda
48e9, a1ff
4cac, 1c63
1365, 16ac
6de4, a678
25f1, f21a
8b4a, be11
7906, ab16
d8fc, 5a94
4282, 4da3
2f88, a2ad
0e5b, 751d
42b9, a2d4
1f9b, 3665
8654, ef7e
87e0, 87d5
97a2, 9266
3be9, 38d7
5524, fa51
1454, 1d58
12c1, eabc
d49e, d1c8
3a20, dbb4
5793, 5ac5
2bd7, cdd2
d924, 18da
e1fc, 7410
c357, 54d2
40cf, 4306
7976, 17bc
86c1, 76ed
4117, 11f4
4de9, 4ed4
1a41, 17ff
fbc2, 6942
ee9f, e9e8
62e8, 0c8d
ea30, e739
40b7, 028f
7b52, 1738
e8ef, ebb6
81ea, b7cd
a5f3, affa
e21a, e68f
b4a2, 7aa7
df4d, ede3
9c4a, 74e6
ba18, 386e
078d, 3ae1
6de5, ffe7
bc1c, 035c
0488, c657
71dc, 7e79
5600, 037c
727c, 8500
0aae, 9914
b1c5, b51e
350d, e50c
eecf, e750
cb4e, cc46
80d2, 8fe9
d80b, 0e67
e6ac, b6a3
3601, cd10
f093, f794
3693, 9260
78f1, 237d
c86b, bdfd
2a08, 260f
d39c, dd44
b57f, e571
66c1, 6b74
589a, e2b3
4904, d157
62d8, 8ad5
77b8, 1424
3e4c, 3815
152d, a918
0c19, 6544
8a60, 2359
3d99, 326c
b45c, b05c
dbf0, 1820
b1e2, b787
38a3, 5868
1bf0, 1845
1f8d, 1a3f
c101, c40f
6c54, 31e8
4e5c, 48a5
ebe1, 9404
0fb5, cdb7
5eed, 23ea
b6db, ed5c
b6d1, 29cc
7bfe, 3da6
7b74, bd2a
959a, c97a
113d, edd1
f336, f05a
51fa, caae
757b, 099c
8447, 2a52
1401, 31df
97f6, 783d
c4f0, 5336
429a, 9f9d
4414, 4608
a27b, 81aa
590e, 5c8c
ce1c, 0425
31c7, 6066
0777, 5031
700c, 7f03
f53b, 5b2a
cd80, 72ad
4cd0, 92fe
f5eb, 6845
71ad, 7e1f
a576, 457a
d92a, 2656
7401, 8c38
2ac3, fae5
1808, b1c8
067d, 037e
3b2c, 6d15
0278, 72af
e4da, e186
1917, 1e7c
0aad, 07ae
dfc8, 58b0
bc66, 3ccb
c462, c660
eb92, 050e
0649, 3349
bc68, ed6f
1ce9, 1e5c
d888, 16f6
f699, 129c
7d98, 7e9b
576b, 9919
4b85, 4139
db10, ce82
5e9a, 58c6
a9ca, c3cd
96ff, 1d65
3465, d892
9408, 2a7e
ef7e, 8654
b4e3, 1aff
81ea, b7cd
265d, a26a
1249, 1d9c
3deb, 3080
ab4b, 19ed
5270, 553f
00a3, 6d68
a6a8, d0ab
450f, d271
817c, f3d8
f703, fa9c
71df, e17d
a028, 5e14
521b, 3410
7118, 8a2d
5437, 520c
8830, e85d
8295, a648
3c7a, 4448
6c36, d792
4c1a, 1013
8e89, 8909
acfd, 1248
245f, d6b3
4c46, d92f
ef17, 887a
dd12, d079
33af, 136b
363d, 8bcf
c234, c638
acc1, 20e1
b380, 108f
4245, 4c13
acc5, c3d5
b490, afa7
3c6f, 7317
964b, 6804
2477, 28a9
0446, 0942
9e56, 501d
c8f5, caf1
829a, e97f
9e38, 993f
41bc, bbce
fd7f, 2f22
6501, 6d37
79f9, 75f4
15c4, 9055
aaf8, a602
f0c2, ea1f
87fc, 8723
1c46, 578f
0bdf, 5c14
e702, ebdf
57e4, 7159
9af4, ff10
696e, 65ab
18b1, 4b8a
5a25, 5c28
da94, d4c9
13a4, 803d
4de4, aed4
22de, 9c65
69e4, 6143
0070, c7a8
9d64, 3660
9069, 70f2
13d7, beac
cd51, 994c
3330, ca89
4cff, 4310
0bbc, 7f8c
e258, ec6e
dc79, defe
05dc, 9cfa
fcc8, b14a
1330, 4dd4
02ab, 5fa8
4698, 27ed
621c, ab10
3b1b, 7796
53a0, 386d
8c9b, c070
41d6, 3e71
eb75, 927d
ecba, 7c23
5ac4, 066f
be11, 8b4a
9846, 952e
18fa, adf6
7dd5, bda8
f00e, 159a
cdbe, 5e3d
cb95, ec73
2f0b, d201
6131, dbb7
b686, fb80
5ff5, 5505
955e, 8fcc
88cb, 4ae5
886e, 6a18
f99f, 109f
24f3, 2d1f
e980, ff36
cb70, f8c3
bbd1, 7fc0
792c, 0761
3549, 9aad
7bf8, 96ee
0fca, fe23
08ce, 0bcd
1460, 83fb
942d, 21f8
cac7, 3c96
86e1, 64c1
dd60, ab65
193d, fed0
fc57, 1355
6b70, 2498
e9ab, 0cfb
98be, 92e1
4866, 8feb
6686, 6af9
3364, c66b
368a, 6414
35ca, 8f58
2563, ef76
321a, 55f6
b99b, e5ce
d411, d8d6
5bfc, c9db
aef9, adf4
28b6, 5feb
489a, 424d
e9fa, 5eaf
ce5f, 4ee7
3388, 36be
df8c, d2d6
85ff, 960f
85aa, 687d
5f80, 53d5
dea1, e08e
51c5, e523
d3cd, dc92
e4cf, de21
4086, 83dc
06d6, 36da
d110, 1a23
cf3f, c031
4745, 8f4b
7099, 71ee
0484, 0189
4309, 47fe
aa37, 0414
e592, e8b4
1cb9, 45d7
8ca3, 8255
3bc3, f81a
cd4e, c241
d782, d0a8
44a4, c285
4fc5, 4300
b2ac, f375
b8e4, 2708
a901, 9529
54d1, 3a8f
b564, 79a2
be64, 8b37
cf2e, ca21
bbb1, dd9f
cb6d, c86e
572c, 51e6
7aec, 77e3
45f2, f47d
6956, 619b
5edc, 5fdd
317c, 1561
bb87, bc07
9e03, 9dc5
1f80, fa3f
9385, ab96
8690, 7370
ff30, fa32
89c7, 8417
a794, 3ca3
984a, 924d
7124, 75c7
e345, dcb5
690d, 088b
68ca, 27a5
e6f6, 5a35
094b, 0440
a52f, 4256
006f, 3563
2450, ef23
afdb, a4a1
28e0, 2eb5
5980, 32b3
0f61, ccc0
0690, 38f0
0437, 6a32
adc2, a5d4
bd68, 4d64
08f6, 33a5
3c97, 8501
fd92, ce04
b9d5, b460
6115, 31d1
251f, 29f6
f323, f124
3a67, 61a2
8544, e10a
e8f0, d43d
b192, beea
ffe9, 6dec
a9bc, 0ecc
aabd, a7be
9d05, e944
15f2, 5c83
fc87, d18b
131d, 464b
888b, 0855
0d38, 05f4
1efd, eba8
ba71, 4d07
57bb, 5ae8
8b64, bba9
b27b, 329a
6888, 0f85
d01c, c176
c7d0, 50fd
ad3c, a436
7180, a12f
2aea, 2ce7
fb83, af07
1a1e, 5736
d007, ddf4
ce30, afc7
4b8b, 1ebd
f3e9, e01a
1420, 18c4
5037, 423a
cf10, ea25
2129, e1ac
8e64, 814f
94bb, 7519
8cf7, 819a
e963, b1ec
e8ff, eb16
91c0, f175
cdfd, c5fa
1fc5, f5c7
b440, 770d
601e, 302d
2d7c, f9d0
d3e1, a47c
6cd2, add9
09b0, 0e24
9560, b220
fd22, 9a2d
1812, 157d
2843, 2522
286f, 45fd
9adb, 361c
66cb, af52
c3b1, a9c6
a8a3, abc9
2363, 2f5c
1b24, 1e19
ac91, c09b
5a70, 425a
59ea, 8a7b
0b6e, 1cd7
b193, 62ce
17a8, be13
3f32, 56a9
3e6f, 894a
75c2, 7129
60d6, 538f
1df0, 8120
2da5, 9833
e7b4, de84
bc98, b7e4
ecc6, 55c2
7a01, 4035
fbc8, 9b7b
6c78, 0dde
100d, 6086
a6e3, a3ec
b945, 6405
c337, def5
3703, 1605
4eb9, 76ec
6a0d, 4b48
3f0f, 3aa8
74fd, 790b
1728, 111b
c65b, c358
74bc, 6582
089c, a5e5
7183, 6461
4ac3, d703
d677, f6e8
8e3c, 4387
405d, 17b4
c5d2, c1d6
14b3, a1d0
d2d5, effc
4872, e14a
44cb, 4d46
c36e, cc67
b9c6, f321
cb2b, 505b
3865, 3e30
fea4, 63a0
6f5a, 1908
68ba, c950
a0d9, ebac
ba8c, 0f79
6887, 6be9
abea, 7b5d
cce4, c2e9
815b, a375
95bb, cd9a
86ef, 822a
79f9, 75f4
4f91, 92ce
4c79, 4992
62d0, 558c
82af, 30e4
ca1b, f418
b826, ba6b
a84c, 884f
8839, 8a79
5b88, 23da
72e9, 7a9c
f417, 9dfb
a251, daec
018d, 64e8
6ac3, ef6b
bbed, 1352
52db, 93d9
e464, b667
2e88, 9db8
454a, a91a
fb35, f7df
ff6c, 9030
05cb, 90fb
936b, 4c56
d0ce, b3f1
025d, 769f
f9cc, e3b6
1eac, 898a
c99b, feb8
355d, 09ad
dbd6, ee3e
db99, e3e7
a142, a098
d0c1, 99bf
bf06, 06c9
f239, f63b
d6b0, a0b5
4a35, 86fe
b50a, 6f32
3f8d, 98df
b791, 2ca2
fbf7, fcfc
d3d0, 21ad
dc70, 15c3
dbd0, 1db3
e0c5, 35dd
381e, 3e4b
426d, e0ba
3de8, 96ef
35f3, 3fec
d855, db63
0924, 5547
9d20, 9524
a306, a60a
5aba, 01b6
33ac, 9036
25c3, f465
d6b4, 4ee8
a473, ad7a
717b, 7a10
cbef, 0ee0
0d43, 0e4c
1944, 1b93
0692, 7250
fa21, ff2e
8640, 8315
927e, a0bf
8b51, 82f4
a300, 1693
a35f, 0c8c
1b56, 8ca9
7f63, b688
6986, a0b9
ca5a, afe3
5314, 3642
94fb, a0ea
93c3, 582a
2a54, 93f0
5a13, e604
5c6a, 0cc3
6d42, 6710
834e, 861e
efee, fbb7
ec4e, e22d
753e, 7f07
2579, 9202
044d, 3a18
633b, 4b7e
f973, a237
e862, 419c
aba3, df67
27be, 5e4b
ba6a, 77a1
60da, a8b0
21b3, c273
e7e0, ee94
f856, b6ec
4425, 9ad4
6660, 799d
4c1a, 1013
2e33, 6f87
e093, d200
542d, 48ce
c5a5, 371a
1f38, 11e9
d3ea, 440b
b6f6, 6a35
ba10, 7415
b6df, e00d
230e, ae81
fdec, e6ba
b9e7, b195
1715, 0df1
7ae4, 77e9
b9bb, 858b
ed8c, d8cc
b368, 1bb4
bfff, 0806
5c5f, 0b4d
47dd, 7241
c061, ab6a
a566, d4bc
1547, 19f2
1a15, dfd8
2071, 2c19
4b61, 31d9
b29f, c618
7ec1, 79bb
0081, 0f8f
cbdd, c9df
186a, 8d50
6417, 6fd1
575a, e940
fd6e, 9561
d839, edae
a9b5, 0ec5
309b, 8e62
e54e, e461
0808, 0b0b
8eb8, 8e8b
7de4, 0800
d9af, acd9
f811, b8d9
2346, 156c
01dc, 0319
2429, 2f4c
6d76, b026
198d, 03ee
3d1b, fade
1b56, 8ca9
59cb, 5c59
1ab5, 4c82
c2cb, ee05
434e, 078b
c553, 089d
391f, 4a81
ed35, c7c5
e0b0, 9f07
d9bf, d3e0
3718, 3784
d839, edae
4916, 494a
e83b, 0271
905b, 1961
acc7, f367
c035, 0f36
6602, 5f92
08b9, 0bb4
cb6a, fda7
765c, 078e
5f9a, 5468
0da5, c6c4
11b1, 14d6
e490, e2b2
6fdf, 06d1
9ac3, 2703
f918, fe1f
fdf7, 384a
194d, 1b9f
a7c9, 88ac
27d2, 92bf
8adb, 8677
232e, 2d44
de5a, ae69
63fc, ca9a
0530, 0f0f
dc28, f51c
e87a, 8739
417a, 1b73
7ff0, 8359
5a1b, f778
443f, 46d8
64ba, 86cd
5311, 8905
65f7, 6949
bc6a, 69c8
af31, 163f
4ccd, 1c7e
40f3, 910f
1d04, 14f3
a7b2, 2167
4dc0, 4524
5a53, 576c
62a3, 05ac
99ce, a6b6
cbcb, 8b5c
b85a, 7b3f
c344, c841
f50e, 9e8b
832e, 475c
a3eb, a6e8
5991, f47c
8c1a, 3baa
b3b8, 1b6a
3094, 8001
f42c, 91f0
33bb, 32f1
9cec, f2dc
8205, 8cc5
69e5, 6b47
ebce, 6f78
a7ec, a45d
f486, fd8c
fd85, f481
b3da, 8cfa
f5f6, fdfe
823d, 4599
d915, 2e01
6345, f1eb
b03b, 1b87
151c, a22c
72b6, 7cba
b2fd, 75fe
eb6b, 19d6
4c8d, 3e76
8059, 8fa7
d673, 6e3b
9d0a, cec6
c5fd, cdfa
f9ec, f585
6e83, fb8a
9d2d, 8e38
14b8, a1dd
3a33, 54ac
e499, a139
0c82, da2b
c58d, c98e
c80e, 1754
8a36, 847c
e4eb, 4424
17f1, 114f
f8c5, 1521
1788, 125e
0cbb, 02b8
2e81, 53cd
bf61, 78fc
9c2a, 88e9
c151, c45f
8eb3, bf0f
278a, 0731
8807, 848c
6854, d7f8
a899, ae4f
613e, 6006
3af4, 55f1
f194, 190c
5a72, f019
4e50, a1ce
1968, b2ee
6fa6, dc45
94c5, 4f41
5bcf, e626
0c57, 099e
95d8, fe79
80b9, 91bd
63b9, da48
a13c, 2699
15bf, a364
2d48, 222a
20aa, f66f
e4d9, 0169
0a95, 72e1
3bcf, 368d
bfce, b07d
fce2, fee0
382f, 1637
4508, 46bc
707c, c9ae
8542, e914
a01f, fdcf
54ae, 343d
6a4c, d620
9c27, a08d
b18e, 2796
6be6, 46b3
e8ff, eb16
7eec, e218
ed2d, 7b2e
51a2, 5903
b25e, bd47
5973, 34c8
2d4e, 2221
8eac, 4b36
d13d, 4ae0
ea48, 989b
f82b, 6812
eeba, d723
e14f, 586e
831f, 0355
c822, f83f
ef50, 86dd
c5b6, de1f
573a, 54aa
1540, 1f4f
d23e, c8ab
24f1, 2815
a319, a17c
a788, 1aed
cd28, c025
ca4a, c746
870a, 8384
80c3, 9958
1d0f, a5c0
ed06, e58e
5bec, a0cb
9f75, 4686
b27e, b4d9
6c29, fa5a
ead3, e785
17fa, 90df
a945, 6840
747c, 72d7
cff3, cefe
8b3b, 1ea7
ec37, 771b
f254, ce44
7567, 9167
b9b1, 8581
4880, d8d5
7e54, bd9b
2ac4, c1c9
4870, 88ad
2340, 2f25
90f7, 9b4a
2aad, c1ae
4266, a582
8e56, 0bfe
8363, 8f7a
6cf7, ce07
f0c0, 5d4a
184d, c30f
7afc, 8144
9914, 0aae
7d3f, 740a
965c, f467
6a2c, b940
bd99, b4cc
af51, 065e
696f, 6ca1
5403, 1b29
5e55, b69f
1d8b, 1537
8a60, 2359
d5d5, eff5
445f, 5cc7
5196, 0ac1
c687, b18b
f6a9, 5787
472d, 4092
d229, 4b95
2b0a, f8ca
5fb8, 6da3
b985, 250b
ab71, a614
eb5e, 7926
1cff, 13f0
fd67, 02e1
8b6d, f09d
c5cd, 16f2
d614, a019
625d, d0b6
d9c3, d29c
460b, 1277
af46, 4819
237f, 774d
161d, d64d
b93d, 09a4
ac20, 29c5
3999, 8066
0501, cd38
b240, e05d
f30a, fc03
48de, 4eeb
8612, eff9
83ed, 4e6f
885e, fd4e
9c37, e836
5d6b, c666
a38a, 0b33
3e2e, 99ec
7292, 1cb3
ab8c, 54a0
0a6b, 0fc6
a18e, 7fef
db52, a471
5fec, 28b9
c69d, a29f
8e6c, ab2c
72cc, 5557
fd73, 8827
0351, 065f
cf31, f63f
4006, 43ca
f24a, de8f
8e44, 6d91
cd8e, 933a
88e2, 7502
b6e1, b38f
c263, 0dcd
9bf7, f71b
f4ff, f6fd
bd03, 780c
8df5, ef3a
78bd, cf28
df13, d2fa
65e6, 698a
79a3, d8e2
207a, c178
ae21, 7524
04de, 9a42
b30e, 2123
05cf, 01c9
5703, f04e
ce11, 2cfb
2c56, b2c2
9ec2, f288
b058, 1ee4
9704, e1e9
8a94, b864
4e3f, 8ba3
d34a, 6fa5
0db7, 0226
f5d0, 4bf8
9b5e, 88b2
52f4, 6877
c35a, c656
586d, 28c3
b223, d58f
d28f, d0c7
416b, bb25
9bd6, 9eef
ce87, 0085
8334, 9531
33f8, 9783
1538, b8fd
3bd4, 4498
f541, be87
9575, 7313
ade3, c6dc
7e23, a768
b973, e51d
bb03, cbe1
e967, bba4
9c14, 9b10
cfcf, 4fd2
266b, ed9e
1a07, 180e
88f4, 4d4e
04ca, b6da
3219, 8d8b
b587, ba0c
e33c, 353d
5876, 8f1f
128c, b6f5
9477, e8e1
83f6, 036d
7583, b637
1478, 2271
969e, 8d74
b55a, ab95
d814, d377
77e6, 7aea
146b, 8d4c
537c, 213e
4515, 0bf3
07a2, 6a64
ae78, 3ce1
3054, 34df
63ca, 315d
c376, 6ff8
168c, 1286
58a6, 5e61
acb0, 7323
3380, a4d7
cedf, fdba
820b, 8487
815f, 8451
1da9, e731
eb9d, 96ad
4599, 823d
441e, 2856
06ea, 70fe
4e7e, 53c7
b965, b5ac
eb7d, db33
f5a4, 931b
913a, f25c
f022, 6792
f406, e1db
6ace, 317d
ba09, bd86
977d, 9a9e
38a2, 69c1
ed82, 5993
72b3, 7cbc
c008, a90a
fd5e, fe3d
c5dc, 3a47
9c98, 997b
9e20, 3413
3a72, f139
e164, 71c8
7888, 733e
d740, ebef
6449, 6c16
cdfc, c5f7
e82b, d55e
1976, 77bc
4b01, 177c
bc14, bac1
7258, 7d44
33a2, 3f57
2a15, 678e
fae7, ffe5
8269, 844b
82fb, 892e
bb7e, 8bcd
7563, 56c4
0013, 51f3
7443, 714c
2501, a869
ef2f, 5ec6
1d04, 14f3
b170, 810c
40a7, b0ae
a8c7, 74c1
03e4, 06e9
ab05, a9f7
e76a, ea56
c74a, ca46
ce98, aadf
f504, c209
091e, 01d1
040d, 0792
eb00, 49ed
33a7, c06d
7a70, 1d39
f328, 08c4
ae17, dc0b
cd3c, a581
99d2, c43a
442b, 4699
b3fb, aa44
3fb7, 089b
cec5, 8bec
2945, 3efa
237e, 8811
afd1, bdac
d10b, ae11
39fc, cf44
dd5a, 47c9
a0bb, afb8
98e9, 1a99
a567, f437
6c65, 3bc7
cb8e, c88d
130f, ff99
d956, d56f
5777, 5a02
48d9, a54b
d2e3, 5dc3
6f93, 5661
d42d, 60b7
4c0e, 4377
d207, df7e
d154, 21b8
2bce, 26c3
d9bc, e045
cce9, c2e4
0c35, 0230
f92a, 7ae1
4bbb, aee8
d303, f74a
6848, 0bfd
1217, aec3
9c0c, f9c0
a7a3, 4e99
2fb3, 24e4
fc9d, f90e
6b8c, f087
abb6, 89d9
f647, f445
2507, f274
52e4, 59b9
fa76, 0c84
5b90, 08cc
67e2, cd9f
7258, 7d44
c3ad, 0bf8
dc86, 2ea3
1537, 1d8b
4d08, 883d
41f6, 4b0e
2ed1, 508e
5908, c49a
0bd3, 66b8
bd4f, 6770
a17b, 6f08
bf39, 7280
089c, a5e5
5830, 5ea5
c58e, 7091
3fd0, b52e
e985, c8b1
2665, 8364
3af3, 32d4
2a05, 279c
136b, 33af
ec3d, 5ac1
13f9, 1e9f
1e9e, 18f5
d0d4, 16b2
4468, 889d
1daf, cf22
c0fe, 23f8
58a8, 0846
eb8c, 78d0
8755, 8aa5
