f75a, 7f92
84df, 233e
7876, cdc3
4aa0, f08d
deb1, 6ebf
0d61, bd0f
cdf6, ef89
b5a0, feb2
b56d, c706
81ef, 3d07
f8a8, ab6d
e469, 7f91
1f38, da99
b09c, 009c
1bbd, bfe3
ba54, be6e
3937, def5
bf3a, 0f5d
8bf0, 82db
c1c7, 1ac6
a9d2, 19ce
50ef, 3146
4d75, 0dd3
9193, f1ab
33aa, 8917
e4ec, 3d68
da7f, eb56
c448, b9eb
da04, 124b
66c9, e8c4
593f, c175
e8be, efd3
685b, 6350
d8e2, 6e5d
1c89, ee7d
3799, 8459
889b, 998c
2d11, 3b93
3cdc, 7341
8ea1, 03c6
1699, 700e
aa8f, 2cec
06a8, f9e0
bb3c, 5e01
645b, c184
133e, 29d7
a09e, b4a4
033c, d7e3
b7e1, 69ea
c1bc, d0b6
1ba2, 5ea5
c905, 42d6
db8a, 3506
405e, 69f0
ee42, c972
7061, ce6f
ae97, f19d
5140, 2d2f
1b88, 5fad
3c70, cd9d
33f2, 5506
f4ff, 8486
fc2f, 43a4
1ca7, c517
efa8, 0ea3
e303, 612d
695e, 58ec
c143, 794b
92df, e770
8be8, c02b
8708, 5f58
ff52, 885a
d146, 693e
c62a, f534
7959, d749
2667, a1dc
5cd3, 0fcf
c89a, 78ff
7ecc, c682
9211, 47e0
b96b, 1d07
2f01, 5298
778f, f792
ebfd, 7b3c
5bca, 3a1d
8555, f420
8e3b, bceb
b662, d0d2
8cfa, 3c5a
b9ac, 1232
d520, ded9
b89c, 4495
55e2, 0ae9
0e97, b885
87c9, 8526
aea4, f1f5
e79c, 3340
a650, 4e5b
fb5c, 3a8b
3142, 7ffe
dbf1, 3bf9
704c, c691
1804, 48ba
1895, 56ec
e1c0, 3acb
80ab, a08b
47df, 37c1
8be2, f659
e1b0, 668e
1a66, 4768
434c, 340b
1a3e, e8a4
a797, 14f6
d365, 9d89
160e, 9b66
8798, 2e91
87a2, 21d2
8d2c, 7915
88f6, 1289
cf25, ae1d
2f75, 501c
eece, 60c5
4529, f06d
50fa, fc87
e075, 94ac
47a2, 45b0
ab9b, 4326
9866, 389d
98f6, e619
c70c, a4e1
2a5f, a19f
dd26, 20b0
ff9b, 8fe1
acc0, 6486
ebd2, 8e98
1f52, 10d4
4028, 1396
5a48, 36e5
4680, 3b0c
8f50, 2bef
b55d, 4b42
71ca, 9c9c
764d, 5cc7
b07f, 4c46
5155, 4820
6a6e, 7dd3
29a4, 3c14
10d4, 1f52
e4a9, 6aa4
e1cf, adff
fe7d, 4c61
1bd4, af52
4702, 3494
4810, 9a35
e76c, 2d4f
8a42, e4bf
2b33, 6b08
7599, 0812
05b5, 5ac4
a73b, caff
a025, 3925
2c18, 6443
1f77, eb52
83fb, 3f1c
1520, 71b5
be69, b757
6943, 2793
16ec, 8670
0b26, cb1f
d231, 29ea
6ca7, 2517
c8da, 8a54
2389, 3ba9
2c46, 69d7
b88a, 68c3
5ae6, 90e0
3ad4, 8a29
edbf, 66ef
aa82, 828c
6c6f, ec6a
80cd, 3258
ecc6, 511b
506a, 2b95
799c, 811f
635c, b7de
bab7, f199
dbda, 94da
c668, 25be
8de0, 35e0
7ba3, 9ea8
7c50, 920e
42f8, 025f
db03, 6490
0255, b815
3597, 5d0d
58bf, 2e0e
0431, c651
3b19, de84
696d, b96a
2d76, 4b4c
37a0, 8f2f
4874, 8ba1
7fb2, d8de
265d, 2d3a
05b0, 26f8
3dbd, 53cf
4566, f97d
8b45, f370
158d, f2fa
cd39, 7213
b4e4, 1292
e13c, 6037
9917, 4eef
f3ec, 9ad9
ec13, 3e04
e48c, 6f88
6161, 016c
0ea6, d1b7
995e, 7c8a
19ff, 499d
4eed, c78d
d729, 1246
2036, 6524
3ce9, 4dee
2208, afe8
a25d, 691a
2174, 21a2
3028, c9b8
e92f, f77f
5571, 7cea
a7f3, acfb
e4f2, 64fa
eb33, 3b08
678b, d973
f75e, 0835
5678, 1782
4271, 9594
4a99, 94c1
603e, 74c7
c657, c8fd
42c8, f27e
c137, 4c8a
d387, 4f99
fc29, e179
e340, 68f5
c85a, 76d6
d43e, e351
014a, 99d8
20ce, 3111
5474, 3272
b5ee, 4f5b
a9c0, 62a3
b30f, 59f3
a72c, 227b
0054, 7673
ec90, 08bb
a477, a33b
cc52, 2a88
b778, 70d7
8d94, afb3
8f98, ffe4
79f4, bfd2
7488, 322c
6bdd, 2aa5
f68d, aed2
c950, 0805
20b6, 20d7
70bc, 98d9
702c, ad2c
4b6c, fd61
0ed8, c5b1
a0e6, b0e9
2e4c, 6f18
c1ac, 05ec
aaca, 2840
1ae8, bfca
895d, 39fd
5f45, fefd
10fd, f6b6
4f47, e22f
ec7f, a68f
733a, cb32
f4ad, 9a26
5cd2, f3ac
b45e, e707
fad2, 4838
a80e, 4ee6
9e6f, 7352
1acb, 2c39
d471, d41f
2026, 38d5
b4b6, 0566
0cc0, 8060
a5fc, 8235
0599, cd10
cd06, cf08
a196, d049
2728, 6f4f
9ecb, 7e85
15c7, c57b
c25d, b175
6989, b71f
5ee2, d972
bc1a, 84b5
e621, d19d
e159, faf3
9541, ef48
250a, 8d9c
e3e7, 7a86
9f8d, b50f
a388, 8f17
8f8d, 9454
c1ff, 57f4
5bdf, db31
8278, 99ce
b3c9, 63cf
c39c, 32b2
48ec, 4572
721a, 09e5
b3a8, 2b4d
ef8c, e427
528e, ffd0
ab01, 59b6
5f92, 9f6b
0f78, 0d10
b5d6, 9184
f16e, 5377
ac5b, 8a8c
024a, 5f8b
b817, ba35
b280, 8177
2ed0, 21a0
4629, 91de
7b77, 89d6
4086, cb16
7f5e, 2927
91ba, fa6f
6315, 2864
a701, 19ec
ead5, 6815
27b4, 135c
1171, d616
8f5b, 323b
6d50, f120
eb74, 9948
b51e, 17e2
2445, 67fe
8397, de75
cfaf, a1e2
c1af, 814c
a003, 5176
1aa8, e49e
12e0, 12f1
2f10, d885
8541, 0c0a
626c, 76ed
f335, 8cf0
00f5, ffac
255e, bb51
bdc7, 4d9a
4a35, 66da
3533, a813
3364, dcc8
9f9e, 4400
e236, 0f3c
3c4f, 3b50
1d94, 70ee
e2ee, 9f38
71c1, 2501
1598, 22bf
2b8f, 5089
acd7, bc7f
d04a, b4a2
ce26, d5f5
c54c, 710b
146f, 07ce
c75b, f9e5
2a9f, aa01
cadd, 7cd9
2fc7, 1f9d
7d0e, cc54
da74, ac29
6f70, c6b5
4c6d, 463b
3dd2, eef1
fb30, 8985
77db, c933
b351, ce13
12eb, e3ee
23fe, 2130
d27e, 4718
859d, 526a
cc23, 3cf1
4ada, fcdc
4852, 1e80
cfab, 7f88
5797, 843c
b5c2, 7a24
be05, 900a
3c50, 8b50
9792, 178f
193b, ca14
9f3c, be15
e236, 0f3c
1cf8, fcf8
d0fd, 28c8
2789, 6e6c
50c1, 1645
1805, 93e6
8e90, 3b45
e58f, 6a1f
57e9, 9704
0405, f79f
8088, 8bfb
f3aa, 5cdd
4031, f04b
86e9, 3b38
121d, f5ad
6602, d426
d755, 34eb
04e2, 4242
dc3d, 4517
38f6, e207
88ca, 5d9e
2608, 42ce
3d6d, 3341
aeaf, ce71
8ac7, c368
878f, e042
f0f8, f0f6
ce0f, ae51
854f, 3aef
2f61, d7ac
33e1, e957
c0d9, f3c3
0c3e, be3a
3d8b, 908f
e888, 72eb
1f76, 9c08
046e, cdd8
70af, e666
0ea6, d1b7
31e0, ab40
cc70, 1a76
967b, 769b
bd81, 4e9e
05c0, 1a3d
b15a, ee08
6cf5, 35a7
139b, 2379
1c66, d5cc
df65, b868
3f06, e562
85be, 0668
7981, e484
dd29, ddb4
ca0b, 0388
0bc7, 06c6
4506, 0cff
a5d8, 2628
1714, 0bcc
2a6b, 6ec3
15c4, d5b4
44a3, 94ce
da7f, eb56
0481, 3e40
6890, 6991
88d2, 9edd
8469, 846d
26b0, acda
81e0, acb0
f4f2, 1c56
6904, c9c1
1e7b, 88c5
c6b2, 9f75
d852, 68e4
018d, f42a
e779, 37c4
d359, be39
13dd, cf2d
e79f, 9701
0cc3, f74b
50ee, 9ced
9d2b, 0a10
2e70, 0228
acab, 7c7b
2522, bd36
76ef, ad40
8f57, 506f
6bd4, eed9
b31c, 4ba0
dd14, 38e4
6af9, e85f
4d4c, aa00
215e, 6043
c7f9, 3e7d
bcb6, 40e6
83f4, 0432
91bf, f07c
caa2, 941d
c25f, 3c6f
4d16, 7584
f239, 3994
0756, 385a
1ac7, c5c6
71e6, 9c8a
2a83, a6f9
952d, 3f14
66fb, e61b
de69, 3943
8e7d, 41bf
b0f8, b652
7507, 7c8c
41e6, c1de
b80c, ed95
1428, df29
dbdd, c259
ae80, d45b
2a8c, 6bfb
a5fc, 8235
8a0e, 26bf
410d, de60
0647, 0803
456c, 81bf
1c6c, 1a21
4ea6, 0fbf
58a5, dc9c
1cc7, 1722
b638, 62d4
5012, 36ce
2200, 96b8
d6dc, 5d3a
c0f2, 1dfd
6b4a, 0b4c
259f, 71ea
987e, ad76
05b1, cdc1
5c37, f057
676d, b7bc
eb63, 7763
0cdd, c9ad
0eca, eb92
d7ea, d9ef
6041, 87ab
4701, b194
9741, 4c40
ca7c, 0a5f
4671, f314
7b7a, 16cf
5137, 5562
acc0, 6486
95fb, e64a
1066, a97b
f6dc, 41f5
2b7d, e85d
0abd, 38e6
8f30, 0c27
8a38, 52cb
ed13, 4257
eed9, 6bd4
8b21, 406f
d9fd, 2d69
05f8, e54e
b0c9, 1118
22ac, 248d
f9dc, 5fd6
a1d8, 8a50
b834, b85d
2c92, bd59
e17a, bc9c
4a95, 9af8
6aea, 4703
cce2, 13ca
3e90, e94c
3c86, 54a7
7969, 1724
dadb, fb07
0c4d, 7d10
5668, 62e2
71bb, 560b
74b0, fa08
9bfe, 7e76
10ae, 1433
343f, 8a64
5fb6, 6805
5efd, 3562
8bfb, 8088
3569, 2209
e3ca, 004d
7405, 16c8
a29a, 573d
7c68, fa06
38d2, dd2d
e4e3, 6463
6345, e8f0
80c8, 3e09
da98, b195
5abd, 21d7
ee69, 286a
4609, 0cf3
007d, 777d
8e51, 15ae
e3d2, 25a5
bb94, be9f
b562, 99e3
c5b8, 01f1
68e5, 38bb
c070, 7967
1fe4, 44b7
b3fb, 5395
01ed, 61e2
f660, 18b0
0046, 5898
34fe, f820
8596, a596
e0a6, ed16
494d, 17f1
92dd, 49d2
f443, aa78
2a3a, 6656
5370, 89e0
bbb1, eb32
0f2b, 8f78
25e3, 4e9f
9882, 6a01
4639, c36c
a26a, d4a6
df6c, b3dc
83c1, 5a58
6cbf, 01bc
2b44, 290b
5f51, 7f89
2c7b, 6cab
8e35, 2ea5
0af0, 347a
123d, 698d
a7f4, 17af
6644, b206
1d00, 6766
294c, 41d6
7591, ed96
1c75, e356
2f68, 4413
2b38, 6003
88f0, 3faa
fc20, d050
c546, fbd3
0498, d80a
0bb9, 3b74
31ea, f68a
c600, 25f6
7806, a8b5
96ae, 7f1e
35c9, f481
b5dd, ac1d
c775, c777
39cd, 2c7d
b9e5, 0430
e81c, 0682
8cc0, 6480
f27c, 54bc
7f96, 4848
b044, 0044
1e28, 4a98
e9ad, 11dd
a9d0, 0a4d
7dae, 0d3f
06cf, 2928
b7c2, b23b
dfa0, 28fe
a93a, 725a
6969, fa76
a219, f283
8f6b, 5508
11d8, 8a57
b1a9, dc19
bbbe, 2dd5
411f, a19c
2568, a6b8
fc29, e179
6f02, 2332
8518, 36a4
f265, 611a
d0e9, eb2a
c917, c117
26bd, 248e
cdf0, 0a36
34d7, 4018
ba90, ba92
53c9, 0578
057c, 5171
94b7, a4e3
863e, cfb9
8d68, a7f5
fb6c, 783b
c1fa, 4755
c086, cb88
785c, a35c
6344, e074
661e, efae
a54a, 3d97
c557, 45d7
98a7, 3192
32c8, 17dc
0367, 864b
ede4, 06e1
c06c, 4fd9
b422, 9b9d
5d3c, ddda
5502, eae4
b4ab, b417
c752, b982
d2aa, 228d
0c0c, a5cf
f0cf, 8a2f
a5b8, 5d37
abd9, af3d
705a, e31c
c980, 718e
9ccb, c7c6
eaf1, 65af
8188, 11f8
49bd, 4764
02cd, c56d
67d2, 4a77
f85d, ff5a
48f2, b5ef
7b5a, 63ad
6e4e, 0880
bcb0, 2e18
d953, e406
b1f5, 3a10
0b2c, 34f7
45c7, 2d03
e935, 9664
d40c, b45c
8fcb, a403
9ff9, 6f90
c212, e882
c259, dbdd
90fe, 7bb4
902d, 4987
35bd, 57d7
ff8d, 37ed
25f6, c600
05c0, 1a3d
4b14, 1147
009a, b07a
002f, b138
d6e0, 908c
08f7, be45
8173, 01c8
6b38, 8653
0062, 3e4a
e482, 628c
e5ea, 959a
bd3a, ba5b
4124, 1bea
57c1, f96f
bd57, 1c30
a8b9, d552
f47e, 94c3
af00, a4ce
6b47, 3016
c450, 4255
0f82, 7412
677a, 63e2
77aa, b73d
20b4, 6ca8
7c26, 75d7
ac0f, cb12
ef0c, 3236
3675, 5b1d
f5cf, 3c51
4d27, 4e6e
7add, cc29
94db, 77e5
d8dd, c3f6
5ab4, 2404
a0b1, 70d1
3825, db2b
e459, 253c
7e1e, 433d
8e5d, fd36
b508, 31d6
aae4, 1367
db92, 478f
5fb4, 79ed
eb8a, 6382
d1c9, dcad
a7c6, 4713
d504, 1496
4f5c, e931
0cff, 4506
e45f, 9288
9c45, 8a43
febb, 8662
1366, 4e25
2598, 6c4e
85f2, 0814
12a9, d9a2
5e80, d898
a74b, c32e
0a5b, cd87
586f, e47a
38c1, 47c0
db70, 5040
3ca5, 85a3
13c4, 1a88
54f0, 6b5c
39a1, ae77
0133, e156
6e51, c318
03dc, a84e
bcbe, 096e
cbb9, 9310
3967, 5cee
8c16, 4143
6de6, dcea
fdf9, 8be5
d723, bf41
2871, 7199
af5a, 7e2d
0a8d, 0f2c
4aac, 4474
6b1e, 259c
5821, d80e
d1fb, 0b61
7f3e, d95e
224f, 82e9
5f69, 3fd9
1661, dfb6
8282, aa30
c34c, 3262
03f6, bbf8
037b, 83a1
90f3, 5031
fe93, e0dd
a69a, 70c4
4ea1, 33c6
4e83, cea3
83b7, 5558
6cab, 2c7b
a389, be43
5695, 4fcf
8d16, 5ee0
17ce, b418
a07e, 83ce
8dd4, 4fb0
2490, 649b
561e, dfae
4d74, 7a87
792a, a2da
ab03, 40d7
df67, 5a98
5f8b, 024a
a382, 889f
289c, 5d4d
118d, 29de
2dc9, aac8
b4b7, 73fd
12b0, 8818
2284, d244
2c60, ee1b
9289, a48a
6712, fc90
cde6, cfe8
6671, e691
839c, 4856
b0ca, 004a
d538, ff3b
d39f, 99f3
5f25, dbd6
fe8e, e500
f61c, 4a6f
3dcb, ab8f
71e5, e819
9b6d, a8c8
d5da, 5dd0
725a, a93a
e055, 3d55
0014, e6b4
c550, 4a20
055a, ac1a
0751, 9858
5e8f, 3ea1
1096, 4bd3
8614, 3628
6bf9, bb8f
19a0, da0d
08cd, caa8
2028, 0be0
be76, 1e89
d5ab, 2c77
6b60, bbb6
8d4b, e366
f6ef, f5e3
09be, bc6e
a43a, bc21
f437, edf4
d400, 2fcd
f8a0, 1383
602b, 75b1
763b, f34c
6370, 6a37
d07d, b2ad
aedd, 78d2
89d6, 7b77
8ddd, 438e
99e3, b562
d2ae, c9ab
3bb5, 5c7e
e669, b3f9
7250, 9455
2bf7, d675
57b7, 4887
bd76, 4282
7911, c9f4
a0c3, 7bd4
8b22, f015
8f6d, 13bf
ca80, 9d79
7e1a, f8d3
1609, 692a
309f, 41fb
ac1d, b5dd
1cda, 58be
eace, 14f8
ccb3, 8aeb
c6cf, b20f
7557, 95d7
8d7e, 5091
f011, 4f74
a35e, 293e
743a, a93c
a1ff, 8c8f
6505, 2639
9725, c1bb
b006, 015a
9ff2, 0404
10a3, f6fe
486b, 3f4d
84b0, 98dc
f081, 9e42
a11f, cc4c
c55e, 337d
f846, 0d7d
ed2f, dc4d
1d69, 95e5
2d38, 10ed
a26d, 72b4
9a40, c60c
e52b, 653b
2d49, 07bc
fb98, 5de2
0358, f7ed
5303, f399
17db, 98a3
50ea, d06a
5e09, 8346
793c, 2856
4054, 3c88
0750, 3ee1
82e5, 82f4
b9c9, 8cd9
5bf1, d0af
1bc1, de07
af36, be28
a0cb, f001
3561, 0769
4c7c, 89a4
f044, 12a6
ee74, 7178
b70e, e457
554b, a253
5d2d, eba4
98e8, 9578
d7b1, cdb7
8866, 5a03
512d, 8eaa
b4f6, 5554
744e, fd69
b421, 6e65
ba0d, c6e2
2787, b9df
16f0, dfad
0488, 0e5b
f1bb, 63f0
b470, 6216
6b94, eb49
266d, 23e9
2bed, d582
3838, 5b9b
acb6, 85ef
b20b, bd44
35fc, cab8
7c1a, 91d7
beb7, ed38
b17b, e1f5
e460, 9867
7ddf, cd6a
d047, 51a1
e9fa, 383f
c4d0, 7885
b500, d03c
129e, 8d65
4936, 29e0
e4e7, 938a
5cf2, a426
e2e2, 724c
cd3f, 5d2e
bc5b, 0cdb
0af9, 000d
4456, 9aa4
97c5, 7940
0190, 6803
3cb1, 1fff
e824, 6299
b8e4, 283d
4a01, 5c8a
5617, 214a
60cc, 8781
7163, 8a0b
3ec7, f707
c4d8, 48f3
88b3, 93b5
c738, 77d6
0422, 5922
b4e2, 36b8
cf4e, 7f34
8a47, 2d7a
849a, 5408
7962, 31ed
1ae6, 60e0
fa23, 3fa6
8512, a412
862e, 348e
4395, 6d14
230f, 0c18
55f4, 1bd2
147e, afe0
257f, bcaa
682d, 49a1
5f12, dd12
4932, 3909
86cc, 8d7f
d056, 6ad9
a209, 1239
378f, 2c89
78b0, 1faf
a89b, 9e0d
435e, 093e
af65, cf0b
016a, 616f
d439, fa69
e4fb, e98a
9959, 3484
3d8b, 908f
c2b6, 0b02
9faf, e518
52cc, ea87
1e2f, fd3d
1055, c094
1713, a7ab
c69e, 74ca
8233, 93f4
11e3, feea
05aa, b58a
19ec, a701
fdc0, ad0c
0762, 34b4
425c, 8307
20fb, 66c8
d6c4, 1578
ce9f, 3c2c
9a94, 44cf
b568, 02b8
60bf, eb3d
f00a, 868b
b8f1, 8230
5bc0, db97
c7dc, a42a
b41f, bdd2
19c1, 1b8e
3410, 3c8b
aa82, 828c
1d60, cd6b
8485, 82f0
2a25, d4d0
27b5, 19c2
f18e, 1ea9
5bf5, 1cf7
9bfd, 8df2
c4f9, 41be
9941, 47c7
80fd, 9aa7
f89b, 4e0c
8a30, ac23
9e2e, a3bb
6ae6, d926
f6fa, 4434
aec7, 1e95
da8e, cb53
096f, 47c1
1507, 1a14
10c0, 9ae3
0eb1, a393
3a69, 22e9
786f, ecf8
e54d, 1720
13b8, 7e51
16ad, b6c5
17ee, e21c
7c53, 5372
41bf, 8e7d
f550, 11d3
7cb9, a169
3d0f, a405
12c0, fac7
21e7, bb0a
0c18, 230f
6777, d770
d832, bfe9
9821, c76b
8df8, 4961
6358, a9bb
dbc4, 71a3
8a58, 8bf5
a44b, d7d9
d4df, 1770
ab14, 3ba7
03e5, 84e3
0e1a, 4396
aa4a, 0096
5f7f, e7ef
4914, e4f4
7157, 92e5
ee08, b15a
28cf, 1493
3db8, b202
c02e, b75e
b0a1, 7878
126c, 3413
73b1, cbbf
f124, 6774
bde7, c9fa
4ea8, c0a3
a39f, 2307
3cd4, 4940
ffc9, 4ecd
85c4, f248
e2d8, d370
dba0, fbfc
3544, 8558
a83e, 306f
00fe, 93aa
cf8f, 3660
2a00, 24ee
89f3, 8786
ba2f, 61dc
14b0, c85d
9e91, 52e6
e65a, 05fd
64f2, b289
1083, 56aa
fb82, 75fe
65c8, 67f3
a24b, 2ae9
543d, c5e7
6a60, a7cf
40b4, 9987
9b5f, ab76
6d54, 328c
8da3, 821f
394d, b781
5cd3, 0fcf
bc70, ab6c
9fc4, 80a1
7709, 2fbf
7308, ff07
6cae, 03dd
5c49, 89bf
7276, 78b8
681b, 6253
e4aa, 87b7
1fb8, fd44
d022, d2f4
36a5, 28ae
d418, c929
d204, 5564
c272, 9245
31bf, 362b
d28e, 3f62
70b5, 3847
5172, f1cd
1aa7, cca0
dc60, 4c23
3eba, 9810
5136, d1db
e49d, 00f7
b270, 74bf
c9f9, 77a1
f8a8, ab6d
b743, d798
8334, 9348
a5b6, 47b8
e030, 6063
302a, 6587
2252, c782
4b00, 3a0b
c63d, 105d
d51c, b1ca
5185, 5035
61b6, fb56
ddbe, 9c3c
d596, 1636
39cd, 2c7d
1e20, cf20
1ce7, 41db
4274, 0e95
5751, 7c75
9a68, 7463
1dd4, 3a96
dfa9, bf62
ec9f, fc06
51da, c391
0ce8, 2f7d
8bfb, 8088
c77b, 4c7b
a240, 7eb8
cfc5, 687c
e777, 0fb6
0cc6, 51ab
4746, 97cb
f952, d98c
73f1, ed66
599d, b9ff
63f6, 890e
0993, ee04
caab, 7ac0
f686, 8d5f
97ca, 474c
b5b4, d84b
b220, b698
5304, 8e4b
3ba9, 2389
80f4, 9044
cb3e, 01a6
083e, a737
aba1, b4ef
bc77, df26
41f0, bbac
fd91, 5d96
5437, ee51
0556, 7a55
5a0f, 1acf
ea70, a554
2ed9, 2457
51a5, 2ed2
eb37, bbb8
4691, a18c
6402, 5db8
57ed, e803
57d5, 1bd5
abbc, 6a17
8f4c, 3463
09b9, 5a61
ab0b, 2106
e201, 7285
b941, 817f
afd7, b1f3
4bb1, 80df
91b6, c78a
2624, dcce
c054, ced8
7099, fb27
e0b2, 3bc2
a8db, 1e60
7582, b4d5
b122, 03e8
8504, a02c
7c96, 03c1
b276, d4a0
a200, b3f0
dc3f, 070d
5680, 4738
d079, 07d0
f936, 1138
9b68, 8470
beba, d984
db22, 6dbd
208d, 023c
f891, 1e82
fd8c, 9434
e50f, 043d
ed75, 8957
d373, 2814
0357, edcd
929d, e2ed
830e, 590a
483a, eb15
4250, 5b7e
1220, a455
e750, 380a
713b, 5df7
6e19, c38b
9ea0, cb64
fad7, c236
f9dd, f769
5293, fa8b
fac6, b7b4
8971, 09d1
4b70, c040
0d0c, e7c1
6a61, 784f
5cfd, 5cf7
478a, 1646
56b4, 0cce
dd1d, 13a8
4e65, f868
38e9, 3884
6e27, d8d0
0d1d, 07b0
b46f, d46a
a356, a2c0
c203, 48ae
22ff, 9954
8983, f9fb
fd35, cd09
4cd6, d94a
8250, 66af
ec13, 3e04
8a27, c256
c8b1, 35f5
1980, 18cd
d341, 05c3
3b7c, 7c33
47ec, 3228
0966, 384a
3faf, 0db2
3112, 82ff
0a9b, c8e9
1001, 29b3
359b, a226
9a79, 6ad0
a2b6, 16cb
7321, 5183
5115, 3022
54d5, dade
4100, a126
dab6, de8a
af16, af59
938f, e4f7
92d8, 7528
