b02b, dbd0
2cae, 53dd
dafc, e61b
d7c8, f773
803c, 8b87
ac35, 8740
1698, 9a92
3f87, e241
6815, 6f1a
9ac9, 5316
604a, e0ca
84f6, 55a8
5d4e, 8355
01e0, 92cf
9d84, 9d92
8bba, 86df
1264, d325
1fec, a3b3
68f3, bbe2
3a09, 24b1
9be6, f44e
36b9, a4f9
8dd5, 9ca8
22c7, 627b
d63a, b1d3
7b28, 2c63
9e8a, f4ec
8bdb, 48b8
e029, 61db
a2c3, 69b1
238f, 3311
644c, 9459
c2d0, ed59
2546, bb8e
1e78, 8bb4
96c0, c63f
414e, 6764
d2c4, ac3e
641a, 64f2
a88f, 7931
b4fc, e3f3
c740, e1e4
8e0d, 8f1c
26c9, 9771
8741, 590f
dd1b, 1930
9bf5, 7e17
d029, bbd9
980b, da0e
b393, d12e
4b31, 8870
26f4, 82fb
7281, f435
231b, 0700
63f2, 0bfa
ca9a, 44e5
35ce, d706
0086, 648a
50f6, 4a8c
ef5c, 39f1
e983, 376b
399d, 819c
2ebd, 71f9
ff3c, c0f5
4ff1, 65f7
8739, 0f08
8740, ac35
8e29, 93b9
8a03, 9f75
661d, 043e
4320, fc9b
3d01, e190
439a, c6de
d0ce, baff
be67, df66
3a81, fceb
2fe6, d25a
feed, fd12
fea7, 48dc
ec58, 0bf4
1e7d, d7ae
2b6e, 1ab5
9a30, e58f
2afa, ef18
8389, 0e43
175e, 2335
58bb, 4d95
032f, 666f
c9e6, 4c6b
a257, 95af
ce90, 4b77
73ef, a21e
62d0, 67b0
dfc9, 572f
c13b, 41d6
7dc2, 1bc4
e0ef, 0146
c90e, 79b7
6df0, 0d17
b9ed, 076a
785c, c9bd
9e87, f83c
6669, e864
4369, 8e24
1c96, 2b41
d10e, 6a84
173e, 0fbc
a07d, 3f18
24b3, 4bb5
ab66, b473
84be, 2dbe
36f4, 5dd8
719b, ebc1
0ced, 1496
7817, 7ff5
f2de, 1ad0
c5f3, d4dd
655e, e237
6da3, ba8a
9211, 7397
80a0, 22c2
203f, e8ef
0b20, 5620
d002, 5e0a
693a, e1dc
fd94, 5c5d
30e9, 8098
982b, 0aee
654e, 7689
f5e1, 5591
bae2, 6559
8f01, 9270
b97e, 1145
e464, 512c
358d, 96f5
0024, b956
ed58, fd04
d942, b6d4
e4d2, 7ffa
aca7, b422
3405, 8fb7
1386, 361d
84c6, 2404
a83a, 821e
5559, 8df4
7f0a, 64d4
0e67, 7d29
b24e, a459
29cf, 69cf
9f4e, b64a
c42d, f653
d1dc, b2e1
8a1c, a58c
98c5, 7d77
e71e, d7ab
e455, 0dfa
85d5, f2fc
5070, 351c
c3ce, 9a14
6155, d587
95f0, 9be0
cadd, 37ad
a812, 6e28
7533, 445b
43bc, df55
2f81, 68ce
9ffd, 3d47
79df, a9df
d0a5, 2696
b0cc, 0e7d
91e1, 019f
f14f, 568b
6a70, a6df
2ca1, 3c81
3254, 82f4
9fd9, 3d55
6f47, 9f84
d402, fd06
296f, b721
2198, 6cf3
867c, 9d7f
73f5, 4b80
9ae8, 8b97
9d93, 2ddc
ba6d, efe5
493d, b9fa
d766, ae03
0882, bf8c
aeda, 78dc
a735, 0f6a
ec79, 38f9
d408, d3f5
da74, da19
55f3, 1fdf
77ff, 63fb
3785, 5b78
936c, df5e
3b38, 2820
7db4, 16c5
a640, a748
0079, b079
d40b, 9e0e
447a, ff46
0421, 93ea
7144, e7e1
9496, f03b
f207, f48b
917d, 009d
5878, 7b9f
8fb8, c042
36fb, f909
ef35, 4b8f
af95, c029
68ee, 9fba
5a49, 47bc
81c0, 2997
941d, c591
9f34, 427a
9f42, 6f40
83fd, 21d2
8339, 008d
db6f, 32c7
6027, ee25
ba52, f9ae
50c4, fc78
884a, 2d4e
4fc0, 5ed6
994c, 7142
13d9, 7ca7
ab86, 388d
1503, 1873
718f, 4ad7
2c67, 051d
de7e, c8ae
dab8, 8ef1
5079, 5168
6e15, a7b8
a088, 1e13
eaee, 48b7
58a9, 24a9
655e, e237
6fb6, f53d
56d1, 25fb
bf5e, ea86
7384, 0486
688a, 3b83
4a8d, 0df5
262d, 6e59
73eb, a33b
4573, 3d72
08d0, e4a6
16a9, 2d18
c104, 7d58
92cd, 7950
8a82, 9bc5
179b, 7e29
64a5, 8b49
d284, bdb2
d03d, bd4e
ba40, ad3b
4b36, 3bb9
00cc, bb9a
a942, 4d10
b7c7, 772c
09f1, bc84
4ab1, 9cbc
e878, 3ea3
aad6, 3607
dc62, 8cbb
b720, d18b
4421, 3e60
88b3, c09d
689e, baf6
7d51, 7690
ade1, e063
f59e, 4b03
1cef, 5c7f
0203, e69f
52fd, d28a
9794, e1ea
8c17, 622c
1d7b, 77d7
c343, 7ee9
020d, bc5c
1759, 6f6c
9411, c375
5af4, 8553
9f3a, f481
a83c, 8510
90a7, c03a
3b67, 5dd6
1465, d4d3
a87b, ceed
1208, dfe8
83c6, 5bef
5d90, 1ac2
fa9d, 2875
6d93, 084b
a189, 898f
6607, 9567
c163, 6bb8
985c, 0a15
98ba, 996b
5dec, fb9b
45ba, 88ad
697a, 53bd
7d6a, 4fb2
9bdc, fd2a
4b81, b637
e5f1, 9537
b7b7, 64d0
ada8, 305a
c4c9, 06fc
d52e, bdef
42d2, 872d
e4a9, 2ca9
d2f6, 31e9
041d, 6aa2
cb52, 1652
e6ce, 967d
103c, 8562
a88d, 3db1
4cc2, eb92
60b6, efb5
b6e5, 6d53
ff7a, 19f5
a4ef, 27ef
120e, dfee
3a60, ad00
0268, 2158
a4fd, 852e
f5a8, 4672
d1ca, ea41
5205, dd72
47a8, f63e
7f03, ae58
58ea, 0e0f
cae7, 6d36
a6b4, 16c8
7403, c46b
f0c0, 36f5
78af, 0ac7
180f, 6224
db02, 3eea
cb00, 7f49
1f89, cf0e
dcb3, 1bb3
0869, 6db4
87aa, 5f76
3619, 30d5
acff, 81a1
b0f3, ee8b
3678, 40cd
cfb9, a17b
4d45, 7260
3b84, 23af
c05b, 3cbb
a511, 3cea
09c3, d210
7d3b, 10e0
795f, ada1
4cd4, 3a23
3766, 8f9e
8bcd, 5cb2
1f0f, fdb1
c820, 1311
24f4, b242
5671, 7c47
cfff, 3bb7
a0dc, 4c32
4344, 0398
96e2, 0005
3fbe, ef68
0d7e, 9da9
63b2, a7cc
e5e8, 0d94
c98a, 0ee5
dcdc, 62ef
894b, ab96
df7d, 9578
fc40, 8125
c9f8, ffd7
ae23, 73b3
0713, 3718
1ddc, 18da
dd38, 2b05
68f5, b90e
90f5, 8b5f
831a, 3955
dd4a, 0c06
dc8c, bb1e
6cdc, 0722
e5f2, aec7
718f, 4ad7
5e23, 03b3
e04b, aca2
9897, 483f
4fa5, 7d1e
970b, 4112
6ccc, e19a
85a1, 2531
0683, e816
b62f, 1bc7
3e30, df1f
338e, a1ad
c988, d371
0809, 46c8
faa3, a26e
1979, d83f
bfc5, 46a9
f756, fa1d
e729, 3bd0
23b7, f322
ebb5, 03e7
2451, 290c
0a3c, 824d
e6ed, 1e10
e67a, cf47
f5dd, ec1d
019b, eb0f
201b, 4274
291a, 725d
9225, ccd3
b889, 6f1f
139e, e8dc
92ab, 9565
db5b, 5333
6edf, 282a
4c5b, cad0
8b30, 2732
c1d6, 2a1a
7d03, ad0e
82f0, b0f2
cb0f, 4187
8e89, be46
79ea, 51bc
87a0, f025
0120, 2ce8
2959, 9795
6654, ef86
f3a5, 6e58
2c1a, a52b
66f5, e8f7
0437, ba35
5e6c, 19e5
b741, a400
ffad, 956c
7dea, 4d77
0e4e, 6e90
627a, 61ce
255b, 66ea
a5f9, 8eec
6f61, bfe4
cd6c, 48bd
2f0d, d24e
8158, 9d86
e3d2, 2ebf
6218, b2ce
4831, 9f90
4d0f, fd97
7cca, f789
6cbe, b885
e71f, 83c0
230e, 896a
27ba, 22df
baba, d35b
0bbd, 44e6
c8d0, 13a1
0d57, 1cbb
9972, 198f
617c, ec4c
869e, 8f6a
c310, 40fe
62be, 9628
9f3b, 044a
ed48, 0455
b763, 4b63
d7d7, 2ae3
14c6, d469
48d7, 4210
ac93, c3d5
bc50, 0987
24ee, 6703
3abd, 9e7f
0dfd, 681e
65a3, d175
d587, 6155
d6c8, cb41
725d, 291a
039d, b0cd
c832, f2da
e2e6, 6ae3
4227, a070
981c, 6452
db51, 0fe1
cfb8, 16b0
c801, 7e56
4502, 3d58
2c0d, d554
f94e, df81
acd7, 3b06
d982, 1752
7f29, 013d
a5ca, bbc6
58ed, f3bb
41a9, 0c19
a9af, b39c
280c, 8bb8
23d6, bebb
eb60, 625f
e47d, 7169
c256, f2f2
b8bb, 2f60
b45a, 293c
594a, dc9d
1c78, 93d0
cdd1, bf2b
d640, 1d4c
61fe, f363
f55f, 5beb
c7e6, 0254
4a64, 3458
83a3, 1b18
6a09, 8bf4
84e4, 3a3f
6c7e, 64ca
6bfb, 66f6
ac80, f60b
e259, 995e
7773, 9773
dc44, 9951
8ff0, 1d8e
3741, 973f
6b42, e34c
5112, f0e0
1eeb, 64c8
039c, bb9d
09b2, b70c
b517, a0ba
4695, 3edb
571b, e36f
c565, 8506
6412, ca55
ef98, 6d10
ede8, 5605
d22d, 2058
d3df, 0324
b229, cfbd
5a13, faa8
5aa9, 2da9
8262, 44b4
f39f, 493c
a5aa, 84a2
6f89, b81f
6b0e, 73ea
358a, f1e7
aceb, b03b
509e, 46a7
f65e, 403e
e842, ad9b
ea38, 2eca
d145, 2583
75e5, efe0
2db1, 5a4b
858d, 4da8
f449, aa74
b628, 5036
ce8a, a8fc
506d, 5e9c
5d17, 05aa
8f30, b54b
fe7f, aa13
66bc, a9d7
41bb, c706
c8c3, 2e24
97f3, 867e
5f27, fd48
d335, af83
f81b, 0f6b
d9b4, b9d4
d9c5, f094
dc50, 1b50
298a, a4e0
e9cd, da12
317a, d19c
da7d, ca69
7901, dfe0
37ed, 12e7
7ca5, bb1d
c96c, 6270
4584, c4a1
2e3b, b4ec
bf42, e8ca
c210, 9b92
256b, a9ad
09f4, d0c0
9ebf, 40f7
d06d, b06d
551b, 3cc7
5d90, 1ac2
e464, 512c
9c8c, 1aeb
c186, 0c18
5d33, f534
bbb4, 67fe
3c89, 571f
b14a, 654f
b638, 66ee
501a, 2ab6
e98c, cdb5
aca9, 919a
80c1, 9011
0654, 9535
61fd, 237b
5bc7, 55aa
f9de, db63
1b25, ad0b
b817, 6ec0
0a4a, acd5
bc25, 07f7
cab9, 3472
2b00, aa3b
af15, 561c
7de8, 1605
3838, 8433
8b3a, f103
d88d, d8ac
386b, 4697
d226, af53
8d14, 2ed2
0ac4, 9880
58c3, 7b41
153b, d65b
2773, a746
adaa, dc6c
41b9, 27e9
c06b, aa95
9344, e398
f07c, 8d1f
1889, df83
1a4e, 7593
5969, e724
2dc9, f579
7792, 009a
3e1a, 0564
7f79, b4b1
7838, 13e5
2369, 9e38
7177, 67b9
3ca9, 9781
8e58, e903
8125, fc40
c2bd, 72d4
58b2, ba73
a9f1, 477d
0b3a, 8d40
4200, e85b
2736, 3738
7282, e4d0
7d65, aff4
8f19, 9cda
68cb, 61ee
7435, c4d7
2ca9, e4a9
7660, 7d2b
8fee, f547
d769, cf3c
7596, 56cc
a310, 2838
f9b0, 7617
d78a, a2e7
8f38, 1b3c
d173, 6178
cbac, ad1a
bde8, 4b84
b5c3, 5f62
8619, 2fd4
ce6a, 186f
ae51, a054
d5c9, 25a9
a436, 3904
d498, 2483
f6fa, 6cd4
bb12, a515
1e78, 8bb4
0ebc, e0e2
724d, 0d9a
6809, 68b1
f941, e931
3115, 50c8
81b5, d39a
0bf8, 50b2
dc0b, ee5a
d771, 677f
5157, 2b1d
114c, e94d
d0a8, 0b77
2eb8, b3d3
1820, 01c6
2402, 86cd
abb2, 3140
9b3b, deb9
ee1a, c046
1b07, 7656
4b0a, 285e
92ab, 9565
596b, 1d47
0cce, 370c
37d4, 6c6c
cef7, e31d
a323, 7eb3
7b84, 1099
a949, fe5a
9777, 7995
c935, 4966
e3f0, 329c
b175, b27a
11d2, 57a2
c7cd, ee72
4a89, 9077
beb7, 2f66
bc20, a3c8
428b, e6d3
e785, 0352
f481, 9f3a
e805, 656d
21de, 25b3
7ca7, 13d9
59de, d698
320f, 8491
6086, eb16
ed16, 21f1
66dd, ef2d
eb78, 40c9
5234, 12f1
1308, 296b
0fa6, 234d
b446, 7f69
bdc6, 44c9
dc1e, 20dd
ccfa, 47f2
90fe, 7ea0
8981, acf4
d418, d764
023b, 5340
1226, 5589
6483, d995
3003, cddc
f834, 88f3
f008, 8193
2e4f, 6e01
91ca, 719c
45dd, ef37
e4b3, d153
f008, 8193
1a79, f494
ec8d, 14b0
5d44, d8cf
a429, a4ab
748e, 4827
ad17, f3ab
8bae, 56b9
56ac, 2d8a
f3db, c298
7942, 03ca
35e6, f9fa
ed8f, c047
ecd2, 0306
2a65, 0706
57bf, 9cb4
48b4, 8f62
cbaa, 2cb1
4f23, c152
a233, cf52
641f, d9cc
6712, fa22
d555, e6bf
68ee, 9fba
5c2c, 0a2c
b963, 80d3
468a, d847
6e9b, fef4
5730, fe37
7416, c270
d0dd, 2c1e
14f9, 58a6
2531, 85a1
13e0, 1969
a3b5, 78d2
41e5, 98a8
f502, d1c0
38de, 66d6
cf06, 75c6
66db, 5f25
304e, 9617
9906, 4ca2
7167, 8a50
dec2, 27a9
8162, 11c5
8095, 3bed
1704, 77e4
8f8d, bc51
0c26, b156
50b8, 9eaa
02c6, 9051
c7d2, a42d
b910, 27cb
cd5e, ab35
200b, 8c6b
6188, d193
ba0b, 0566
90da, 862a
7343, cee9
01d2, e3e6
fbc3, e735
9b53, 2796
899d, a94a
e970, 38bf
038b, b0f8
5841, 8296
ec04, c775
5a45, abbf
0124, a3f0
b37d, 97cc
5a06, fc12
1800, 4603
d686, 1d8f
fa82, 4f83
87f3, e3cf
4424, 9929
53c5, 2b7e
e98a, de98
6c16, 4b54
d644, 9947
b618, 6b13
7ebf, a32f
cb20, 13b4
9eb9, 8329
243d, 4f59
9ec6, 7ba5
c29c, 91aa
3e7b, 8565
1d44, a3d7
40cd, 3678
43f0, 885a
b63e, b2f7
6f49, 06cf
83d0, 5dc5
28b1, d9c1
cf67, c539
6df3, bd32
1c04, cc54
34d5, 5e5f
b215, a374
f46c, 53b6
36c8, 8674
8e2a, 8b8e
d074, 7ca8
98c6, 701b
0706, 2a65
3e30, df1f
4aa8, 4286
42f4, cc07
9cf8, a30f
6812, e612
9880, 0ac4
0665, 0fca
cf82, 739d
ba64, 8bf1
1d29, 44bc
a3b8, fdbc
5fc6, 5e1c
3411, 02a7
750a, a6f1
b99f, 1750
1bab, 8810
0e32, 078e
f931, 04e7
285f, d8f1
05f9, a960
f82b, 3572
fb3b, 9a78
5e4d, 239c
457f, ca4f
178b, 87a8
7a61, 1a2f
a35c, 51e2
3749, 8b9c
c0fb, 3537
c951, 1f8f
a38d, 1db3
1aaa, 8212
7700, 82f2
7d2e, cb65
2d97, a69c
5e1b, 4ac4
7c38, 995b
0621, e8f6
16ec, 8ee8
0b3e, 4bed
86bb, c37c
da15, 63b1
5481, 823f
691a, d821
02f9, b4f1
defe, 25b8
ed65, bdcc
b341, 0374
902b, 806b
82d1, 2bdc
9a06, 1cb7
8a6c, 9c61
fcb1, 4cd1
f9b0, 7617
e1de, 5e91
b503, e4eb
b190, 0f47
f5c0, c276
6ac0, f8d9
995f, 574f
856a, 9cbf
cfcd, d534
8b4e, 3b02
0beb, 9507
a80e, c063
a743, fb0b
f6e4, e653
571f, 3c89
73df, 6c1b
999e, 847f
8117, 45a0
c7e8, de33
ff32, e08d
e2ad, 651d
c570, beb5
ae5d, a908
bee8, 77bb
eb7c, 604c
dc42, 574c
6c1f, 7cdb
13b3, 1c43
98c2, 812f
1136, 470e
007a, b09a
2d7a, d26e
5f5a, 54de
731e, f5f0
ec4b, 0001
a37f, 7e1f
8854, 188b
a88e, f687
88be, c008
0c45, 5a43
6a4f, bc4a
da67, d87c
c02d, 40e1
5688, 594e
bff4, 6f11
d663, 1a68
88e8, 24eb
2f15, ae90
0fa8, d5fc
4b04, 43dd
f20f, 02e0
a099, e5c0
086d, 2211
34a0, ce39
fe72, 95df
569a, 5a6e
d6fd, 28a2
c755, 97bb
bc8d, decb
d03f, 0801
fe35, 5d9e
99a0, 93fe
6be5, 73bd
9b7a, 9812
af9b, 05b2
df09, a252
7f79, b4b1
0940, 684e
815c, 3d3b
1301, c351
face, 5dc2
48c7, 7f45
475c, fe91
7ca9, 4714
1407, b94f
c1dd, 2a74
a1e6, b056
4d31, 7629
5eb9, 0e64
7eb6, afb7
0d5a, e1f4
31c0, 3a1b
3646, 1a9a
8c8b, 6e74
7d20, 055d
2e04, b352
309b, 819f
2130, ab37
94de, 7ad5
6afb, 68c7
0a7e, 0d62
5349, 30b9
4cbe, 6f8f
418e, 90bf
acff, 81a1
9d91, 6a64
5795, 38ab
9cef, 6c7f
5c8d, 5140
ab13, 8313
26ce, 6073
b1a3, d7f3
2a9a, bc4f
84fb, ace3
e4ad, 65a2
0ef3, b28a
1779, 67c4
3723, 593b
f97f, fb2d
d742, bf54
946d, 8724
1794, a63f
7ae3, de92
81f0, f355
ac20, 5b0b
f190, 8124
e123, b801
1293, e7bf
7003, 8fbe
0e6f, 077b
5dd4, 87cf
1520, 84de
63c4, ee74
7a44, 429f
2977, 6977
c177, b764
3e12, 3d45
f12a, 931d
00be, eee0
a5fd, 7818
be39, 2ddd
a73b, 8c2b
17fb, 8718
276f, 2213
880f, 9575
0bf0, 9b8a
c7f2, 675d
185e, 6546
3156, 0844
6f4f, 0fcf
cb94, 7eb7
409a, e404
6279, 37b7
6509, fb84
e1e9, 77ce
e53b, 652b
9254, 624a
c34e, 73c7
23c7, d34e
7cd4, a522
7924, 0134
814a, 1ccc
8142, 63ea
c709, 19e9
a5a2, 9af1
4f98, 0c56
b1ca, 0c9c
53a3, 0878
6f2b, 7d2f
68d8, 7ac0
88ea, 529e
de1c, 3d9e
2a57, bd01
50cf, 7cf6
0ecc, 1914
9c43, 79cb
2815, 3615
1dba, 766f
bac1, 1c67
ccbf, 112f
7e6e, af63
309f, 07d7
9bfd, afd9
6260, 825a
4ee8, b7eb
fc64, 576f
a87d, 7dd7
e7ec, 1a49
7921, a921
e90e, 69e7
e0c3, 8b14
a81c, f365
9da5, 4189
e4de, e9b5
2ac3, d513
abfe, d228
e761, 1573
881d, f5b1
29b6, b7d7
6d5a, 59ff
06bd, e5a8
bb37, 41d7
61ba, 3924
9305, d206
0152, 7f5f
9dc0, cd0c
ceab, 0b34
6dc1, 64b8
8f01, 9270
8741, 590f
2f93, 4e00
352e, 22de
c3bf, 1e2f
f5a6, cf00
8dff, 2cb9
f49a, e40f
c718, af0a
7246, a440
69da, 7fb2
6613, b5fa
153b, d65b
c2f4, edff
c176, 19a8
4b26, f0b6
937a, e42c
3fb1, e9c7
9301, 43e9
716a, a56f
6514, 6114
54e9, da64
7691, d647
53d3, eeb8
c665, e7fa
cc5f, 214f
2613, 6cfa
7c28, 94d5
3cc2, 3c0e
95df, fe72
b624, d79d
cd69, 1348
7340, 4bc7
fd26, 9660
3565, 96e6
4e97, 81d3
d451, 6f0b
3e34, ee89
ed41, e408
5de8, cf6a
28d6, 8a39
69ba, 7170
ff86, 323f
6c4f, 259a
adf4, 764d
9c0d, 85e4
1d88, 8851
2aa6, 955d
a695, 7186
4c50, 71de
a34c, b830
d5e3, 1894
5278, c22f
59d0, 4dc9
42cf, 06c3
2e5e, 1727
e5e3, bf7f
d702, 0c75
1383, ae16
7fb2, 69da
4a60, bd00
c148, a1f3
1035, 7d5e
87d2, 94dd
3f6d, d5ce
adf8, fe0a
db12, 3870
ff53, 8e32
42cd, b56d
872c, 3631
2af4, 8431
91fa, ef53
42de, c52e
4b1b, 70f6
bbd4, 2b24
e03b, 9c5f
5322, 2c15
cb47, 8cd3
71c6, 19a3
7410, 9b4d
6f7d, 1648
8832, 0e1c
8195, d9ce
670f, 5469
ff7b, 7f4e
261b, a17f
7435, c4d7
6ebd, cd8e
df9c, bc66
378d, f2ee
365a, 464b
559b, 2661
dd6a, f378
cde9, 649b
7e5a, a4ae
41f2, 46b2
945b, ca33
3807, f074
64e3, 2c28
8c60, 11e7
3392, c7d3
5302, b313
11fa, 2ab2
0576, 8fde
dcab, bc7b
f159, 4ce9
fb7b, 6930
c546, df92
8f35, b930
f3ed, af8b
6461, cf74
24fc, 34fd
c58d, 42fa
a030, 2137
90e8, 8a45
7672, a0c4
3e5d, 9eaf
d279, ac55
9241, 7594
2b0f, d19b
9ef8, 7ef6
8cd5, 5b22
4880, 017d
f42a, c6d2
a579, 4949
a13a, 7d4c
ca1d, 5b86
3d70, cd4f
e628, caa8
84b1, 5a44
ddc7, 4ff2
b032, ad37
f1d2, 3553
5122, 30fa
49e2, 0959
9f42, 6f40
6010, 908c
23c5, cdfe
00a1, 9e8b
5654, fa53
537c, 03ab
df72, bcb6
04d4, bf5b
4d1b, 76f6
ccfd, 787e
9573, 8056
b18c, 7df1
dce8, 935b
c7cb, 4c48
913f, eb5b
3765, d1be
1f1e, 3812
5931, 9941
a090, 77a1
e7fd, 9932
a79a, 6781
bcac, 1a26
de4c, d900
9dd0, fb27
b17b, 2ca6
4c05, 7f1b
8fac, e0f5
6707, e705
a9cf, 6560
f706, a5f6
0f49, 5136
fb8c, da6d
3a00, 86be
2973, 87c3
ef53, 91fa
8b3c, 1ba0
a300, a769
7a7b, 780b
fb36, 929b
5062, bea3
b514, 6119
eed6, 04a0
b107, de1b
e6b7, 06db
acd1, 7cb1
5f16, 1289
655b, b65a
be85, 324a
dbd5, 4a0a
1bde, 7349
4c59, 83b2
baa2, 04ad
b64c, e89d
c114, 9520
05f5, fce9
d83f, 1979
8ede, 8fb3
12ed, d29d
82b9, f22d
9f32, 0745
b979, d8ff
ef46, 6d43
4b49, acf5
78fe, 7726
be44, 0ecf
9daa, 8bac
f0b8, 5fe2
3028, e692
f140, f000
afa7, 8df5
dd45, 984f
1724, 0139
3183, ec43
7550, 5e4e
f71e, adbb
8d65, 2ab7
7e12, af12
a621, 8c5d
73f1, a75c
01ea, 7941
6a58, 6a94
f8c1, 8c87
d176, e598
697d, 7425
144c, 053c
d492, a4ed
dd45, 984f
254e, 6198
01bf, 5c2f
2a11, 8a0c
21c3, 6c73
0e33, 48f9
1e01, 4c88
21db, 6649
e9ae, d716
155f, 551f
e76c, 690d
63e3, c9b6
04bd, 04d9
e16e, 6965
4635, 18c2
4259, 0442
419f, ccc4
a44e, d69a
9ddc, d7b1
8ad1, fc6c
d13f, c141
c044, 73b0
ee72, c7cd
3757, 9830
91fb, 0ca3
d219, 28ff
76a5, 481e
b095, b227
2cd2, fe82
0ad7, ba30
69b3, 90b3
da3d, 2825
47f2, ccfa
b4b8, e8c9
124c, 52e2
b3f1, 0384
ad7b, 3fd0
449c, 95cd
d839, b8ed
0d54, ae77
59d0, 4dc9
36f1, 5628
cf53, 3441
8985, 238c
95c6, ab2b
2fdc, 6e21
002a, 5cbb
b398, f8e6
e54f, dc7a
38ae, e318
71b9, bacd
85e1, 3591
09b9, bc61
53cc, 5b4d
3fb7, 8267
346e, e1b6
3edd, 6aae
a0a3, 8ea8
06f8, a9ca
7fd3, 78be
7af0, dbfa
c8d2, 51e9
6f39, d91f
3c61, c3fa
9cbe, b6a1
a93e, 06ec
738f, a251
36dd, 2f2d
d702, 0c75
b54f, 6c9a
95e2, df26
0685, 45fd
e430, 6a3e
8ab6, c57a
354e, feb9
4760, c61b
0a2e, 0698
906c, de23
4dea, 4ce3
f7dd, 44d2
be93, 8f06
e269, c61a
2ac8, 67ac
4746, 034f
9fa4, 4319
6673, bb7e
ceec, b72d
c898, 78c6
196e, fcbe
b6ad, e435
6ea5, 9ba2
59d8, 3756
bad1, 54d2
7342, 78fd
7598, a54e
d2ca, a20d
9ef8, 7ef6
744a, ee03
4964, 84d4
ed0d, 18ab
c53b, 452b
9738, 7736
6b71, 6371
c5b2, 11b4
f9ae, ba52
9880, 0ac4
386d, 6ac8
0b65, eee7
ea7e, b8bd
d957, 3ead
f141, 0f55
b6e2, d3cb
c0bc, 48d9
09ae, d71b
0fb3, 3fd3
2820, 3b38
95c0, c440
b4af, d9ca
ba03, 040b
6e5c, 3485
291a, 725d
e54f, dc7a
9795, 2959
c7eb, ea5f
4eef, 4309
cf4f, a0ac
3693, 231a
f3f5, 01d9
5af1, 8aec
6bf7, 7a51
a88b, 0cd9
142f, c2ba
0b24, 693b
0425, 0965
8c52, 1fd1
80fc, d5bd
3ad3, 8a65
4051, fd4e
ec15, b322
656e, 42ea
440e, ec5a
c451, c40c
4d50, 231e
85fd, 40c5
88f3, f834
9777, 7995
3f6b, c670
0730, 2d0c
c81f, ba95
b6d2, e82d
5d82, 80a6
c368, 1328
2967, d9ee
e902, c1c1
688b, 08f3
d775, 8b99
c4d4, 7462
062b, e667
0b75, b375
3227, 553e
f1e4, baa7
3019, d0af
48e0, 37f7
a442, 56c5
ab1d, ad4f
7d73, 565a
129a, 520d
ad08, 7e7a
2ebb, 2c10
043f, 944a
a58a, 85aa
f640, f36f
16d4, 51f0
2d59, 5740
d381, 531f
f353, e7e3
25f4, 8231
ee5d, e9f5
4dd2, fbc2
db2f, 505f
6180, a063
62b1, c8c4
3102, 1e22
1ae7, 544d
2f4b, 434d
a719, eb4a
0692, 562e
af54, 37a7
253b, a65b
be76, 29d0
507f, 2364
e3ce, db86
f2cc, 3ae6
3ac4, 838e
83e4, 9b37
fa3e, 4e77
a8fa, d90c
8730, 51a2
04e2, bc5a
6520, e61e
2967, d9ee
4cdc, 8611
