5747, 6862
f423, 86c0
280d, 5ef7
892d, a692
965d, af7b
4f68, 29c7
7474, 4757
ee12, e473
40a2, 9756
59bb, 35ce
e387, 3901
f3de, a094
54f3, 5889
aaa8, 3807
08fa, fd68
a03e, 32ce
6f1f, f313
d81e, a1e9
ec5c, 8fe9
6b4d, cded
3ab0, 0473
3382, 56ce
eca8, 4f94
047e, 081d
054d, 622a
43a9, 52c2
9595, 2fb8
0080, 03bf
a7a7, f1cb
8359, e0bf
de17, 67ba
8269, 43d5
3577, 262a
e757, 1f15
f12d, 39cc
932b, 95e1
18a6, e4a6
d486, de4a
576b, 44ca
9a6b, cbaa
f06f, 3a21
1950, 207f
2bce, bd01
d6c3, d6c2
d340, 32f4
d588, 655e
3018, 0f54
bfde, 7433
d779, 6724
5bd8, 5b98
6422, aa49
d9a1, 0c67
3023, 0285
1852, 2129
dd78, ddd3
7034, 56dd
2007, e4e1
b85d, 0195
1ec2, 4655
537a, 4f48
f527, d2ea
86ea, 37a7
ff11, 59a0
76f2, 25f9
3e28, 347d
3c24, 9f54
96af, f9a2
a0f0, 7d6e
3dcd, 4796
c7ab, adaa
6229, 78d4
7ba5, 7f9b
93cf, 4f4d
9807, cb68
c774, c724
39d0, 8dd8
7fa5, fd59
fd66, 3a6c
b88c, 6f78
dfac, d3c0
4db0, 7c5d
e685, b923
c641, c95c
d128, 611e
7571, 0a08
df87, 3b6b
95f4, 3cad
093b, 66c8
822a, 176f
1403, 5f4f
7d72, b172
91b2, 4642
533b, 4f3d
84fc, bbc2
a801, 013d
c503, c3ac
5b6a, 6d9c
894e, e2b1
5987, 10b8
fe2b, 9421
7ce4, 2f17
3bc1, deaa
6b1d, cb69
d2b9, c862
f811, 041a
3fbf, 0c50
4ccd, e7e7
2139, 4ac9
c487, 7f9f
5e89, 5743
fcd5, 8c22
b236, fd2f
2125, c6b2
5005, 8cf2
4c9b, 4f6a
4a27, e54c
d3ba, a327
5a9b, d150
94e4, 3c90
7bd1, 9893
3460, fdf5
4335, b0ff
2e38, c5dd
cce7, a455
96f8, 3fd1
ad58, 6d84
9c28, 35bd
0a18, 2a88
1d01, b1dd
5e2a, 5fab
b147, 1522
cd52, d76a
e095, 29dc
ac53, 9fa8
7ce8, 222a
44a6, 18c3
b43e, c99d
a67e, 4037
6c14, 4b4f
4f3a, 59f8
98c9, a1a9
ee1c, 5b46
2ed8, 65d1
543e, eb97
3d98, d10d
94ec, 9b22
a6c6, cf30
d461, a7cd
abbd, f863
ba64, 7b6e
29cf, fb84
4728, e81d
ffca, ff38
f67e, 8e6f
c532, c3d6
2352, b555
014d, 3a5e
1963, a98a
7367, e3ca
23ea, 122e
bd76, bb20
0f71, f3b1
345f, a445
d840, 620f
fb25, f7da
a0f9, a260
5041, 34db
8cd4, e1f2
1878, 4a05
fcc8, 5f7a
b6ca, bcce
e9bb, ddce
d89c, a436
4459, 85d1
91c3, 3bb4
6a18, f7a5
5502, d62b
ea85, 8d43
1573, 3889
3044, a5b7
90e3, cc2c
dfdf, cfdf
abe0, cd79
6768, 31f8
d2c2, 261b
df49, 6220
6f90, 6c66
0f73, 632f
f4ec, 3fa0
f20e, bba6
3b22, 38ab
e9c7, 13a7
a9bb, 331d
9ae4, 918d
0ba7, 676b
29d1, 42c1
f5dc, 0b17
fd55, d7bc
7f46, 504f
897d, dfa0
6684, fda7
aafb, 0107
126d, a35c
268b, df95
e831, cd33
ecc5, 94d1
545e, 411b
308f, 6c16
cc1d, c348
2b2f, f3b8
91f5, 3d03
22cd, 2ddf
40ba, 5228
9d1a, 011b
36c8, b4ac
44da, 2eae
7d8b, 7487
2386, ec4f
3134, c7ad
f0d4, 353a
56a7, 2d32
5dd5, 79ad
28d3, 76e2
02a1, 753d
b293, 1392
032d, ac1b
02d6, ec7d
3922, de66
780b, ed01
2d81, bf5f
77ca, 2dfd
2a3b, eecd
2591, 41b8
a1e8, 811c
4c3c, 50f6
b623, 1757
9d42, 6773
0bd1, bf24
f0f2, a363
f8e2, ab86
72c6, e032
e7c8, a036
ba9d, 6135
8291, 4847
ab08, 646b
b408, 5e97
e221, a9dd
c194, 6464
65fa, bef8
ada9, aab8
bf19, 5f7f
92af, f0a3
bf5e, a694
fee2, 4a77
511b, 4229
6b9c, 6d96
d146, bc36
0402, 4e3d
44cc, b2e5
a411, a877
8eab, 41cd
ef95, 2656
e72f, 4d5c
5045, bfb9
70ab, b0c4
1cf0, 2006
c3ee, 8598
edf1, 8738
a49a, fd9e
5113, 855a
55f7, 130d
209f, aa56
0289, 3ba3
99d1, 9c3e
3970, 3c55
51c7, 6dff
07f2, 3403
595a, b94d
b707, 21a1
ef3f, 4662
9bc9, 599f
bd1d, ba1b
dac2, dad3
18e6, 30ba
c2e0, f9e2
ad46, 8586
9e2e, f4b4
60a7, 7a0f
5f32, 4303
b992, 5f66
cac4, 9efd
3732, 52f9
3388, d0eb
6cdc, af0f
a47e, b3d9
87ca, b8de
314d, fb8d
c45f, 9b2f
0f81, f518
4a40, eeb6
a08e, fec8
f539, 641d
1ec9, 1bd0
efc0, 84b1
30be, 45a5
5972, edb1
fabf, 9e25
cf51, 35bb
8769, 8759
9851, aa93
a8a6, a91c
43d8, 305f
9435, e8e4
fbc0, 9acf
8d4b, e428
7a45, 7688
220a, 7c98
b77d, 5652
5efc, 1dc5
ae84, 7a29
19c1, 83ae
14fa, 5e98
be19, a3b8
e4b5, 4822
ba93, b733
7bc7, 573e
c43b, 62ea
25fb, 8f9a
998d, 713c
dcd7, 92f8
2c85, 0cc5
1c8c, bc7c
9e8b, 948a
19c8, f287
84a0, 7ec3
ec21, e378
e045, 2225
25be, 525b
55e0, 81fa
2a79, d025
9a79, 9a37
5c64, f168
8a54, fb09
b184, e6a7
4acc, 5702
03fd, 656b
35a0, 0127
ea53, 0928
a1ec, c89c
29bb, 557a
3b92, 9555
9764, a7f1
1baa, 71cb
8cb6, 5d11
f8f3, b457
c0e5, 3510
ef95, 2656
0d76, c39f
1ac6, 7ecf
f3cb, eb39
b5a2, bcd3
0417, fd33
518f, 5420
835c, 3db9
8fae, 569a
048a, 6339
3035, a2c5
56ae, bc34
039f, 249e
abcb, a31e
2a8f, 3847
acc5, 5acb
825e, 8e49
1d21, ee2e
9a8a, 9b8b
716f, 186c
396b, 6f64
fda8, 85a8
23ab, 49c1
0d4d, 8ae3
3d73, 595c
3608, 14c8
e5c3, 8b04
0ce1, d51d
44d6, 7c0d
80d6, b90c
73f4, 22ca
f94e, 0bd8
ade5, a72c
e862, bc94
6e4c, 3473
c82c, 910d
f109, 66b0
46ab, 1cf4
a066, a93c
90da, d5f8
4885, 3afb
3764, d7f1
c173, 315c
b496, 8b05
040a, 94aa
5479, 4819
d7f5, a848
a821, 272c
c67a, 4c09
e857, 5118
e9a7, 4091
2ccf, 2cd0
7956, 2e4a
ed45, c22a
6d41, a1e7
fb1b, 93d2
cf94, ccce
60d4, f02f
8ffc, ca31
de23, 6e10
9320, 9cef
2311, 7c8e
9c8e, 60bb
d63d, 3610
638c, cfce
c407, 79a2
5bc6, 2460
a47b, c81b
c5c8, f997
49ec, 1f55
51e5, 5185
242c, 77b6
50f0, 3d36
f8a5, 97c2
de89, f173
2bc6, 0f08
b716, 5825
3a7a, 3fd9
b878, f163
72c4, 1397
ce9d, b462
b1ab, 0809
23fc, 46df
9249, e568
ee41, 44e7
48a7, 74ae
6924, cc8d
4f8e, 4911
4b11, bc8f
cb4d, 6a4d
6482, 04e6
c139, 961c
8623, 36a9
3f4b, ef0c
c914, 6c5d
aaac, cbc0
fa8f, 6b12
65de, 03fb
6e13, 3502
cef2, a4ee
e484, ea2a
8cc8, fbc8
cf6e, c06b
66dc, acd6
6698, 9991
27d2, 6e0e
74c6, e1df
edfd, a9cd
ab4b, a18a
57e4, f7e3
1898, bb9d
da46, 0d8f
0917, 392b
ac02, a632
9422, dca6
3ec8, 1951
eeda, bde4
70ef, f845
2bdd, 2d97
4173, 8842
94c6, 5be4
1287, 25b7
be64, ed9e
2fff, a7e6
ebf1, 7801
70bf, f783
d00e, 0f86
6449, 90c9
fb2e, 3bbd
1d8c, 5287
ec57, 56b4
e068, 4d0c
bc61, a52d
1f25, 4042
c70a, f1d7
4aa5, 2d99
a8a4, fb55
293f, 7930
85e7, 386a
b7ec, c874
c42d, 35f9
df0a, 3538
70db, 9646
e6cc, 9120
0f12, c926
7914, aec4
9895, 6430
8505, a511
90d1, d550
ecc4, 5af2
8f46, 7492
2d18, 0130
d92f, a255
e459, af8f
f4a1, 6842
2d69, ee96
446b, eafc
76f5, 697d
2f0f, feb2
bdc5, 491c
efce, b771
a1b3, 10f0
9c7a, 72c9
6645, bd0d
476a, b243
7ef0, 1637
5e5a, 23bc
d24f, e1fd
3efa, adce
5341, 157d
3b81, fde7
88e7, 0b2d
633e, 47e6
f678, 486c
6e1e, b24a
9fe9, e5ae
8130, 74fc
02ab, 3983
9b83, 7009
1770, 8825
d74d, 64e8
524c, 5dfe
01f9, 97cf
6b60, aaa0
dfc4, 96de
f9c1, c268
7ab5, d5b9
42fb, 1d3c
6f96, 690f
d538, 92fb
5681, 3ecb
68ee, c74d
9406, ac6e
d3a4, 356e
6ffc, d110
3b9e, 6822
58f1, a9fd
38df, 0a35
58c2, 8835
780d, f84b
6112, 260f
ab83, f143
d241, 0182
5f8a, 7948
351e, 7368
fa52, 1505
039e, 57a1
9bd5, 4a6d
9eec, 1322
50cd, 75f8
d4d8, 197e
e725, 48b9
f65c, 9970
f638, e51e
d0f0, 2d68
bee5, c488
6312, 9023
7245, 5806
a438, 8564
01ee, ea89
f6fe, 3361
78cf, 8b60
c8b7, 14bf
892d, a692
414e, 481b
5bf5, 3c6d
541f, 9877
1a82, 1b49
7284, 895a
791d, 7314
3d76, 0eb9
9963, 36cf
1ae0, 1348
a860, a85d
e815, 6711
7d37, 88c8
6b6e, 375f
07b3, 0d70
379d, e0a3
1124, 7d28
e8e6, 10bd
1d2a, b1ba
2c12, eb01
d994, d05c
bbd3, b991
43e9, 0b8c
cbfc, 6cfc
1348, 1ae0
d754, bd23
3398, aca1
d030, 66a3
225d, 70ea
dfff, a5cc
0108, 6ef7
2432, 8190
2d58, 1a4e
d98d, 9f7c
1852, 2129
169a, e782
68ed, a803
ce09, 6402
c87a, 677b
1ca2, 4aea
cb39, 6a32
03bb, d984
e9e8, 2ac5
7c12, 568f
3f54, f985
4b9b, 51fa
d538, 92fb
dbd7, d4b2
8ec9, 903e
ac8d, c224
94c8, a19e
4ebf, e15c
7c09, fa55
11ec, 06b0
65c7, 6587
1923, 7aaf
4db0, 7c5d
742b, 2e11
976a, 2132
8053, e38f
69e2, d21f
7176, 4de2
2d3b, 6d47
089e, 2a3f
5151, ee78
ab01, f28b
88f1, 929c
42f6, 1418
60b5, 3912
fbd4, 41f5
7a2b, 2d78
5090, 3b57
be94, 2efe
eac7, 5b6b
050d, 1864
b396, bf0c
3684, a677
f749, bc5c
4d83, bb2f
5370, eea1
1126, 1b7f
7dc5, 7ff7
f01e, 88df
39ed, 2836
5ecd, 2d01
3944, 32e2
d5bc, 9c51
3c2d, 8296
7bb3, 7b13
d1cc, fa9f
fbad, 4227
c252, c27c
09ff, 075a
8937, 1f83
9788, 1e01
9e03, 9402
f649, a9ed
ea75, 4ee3
286f, e166
f58f, c520
21a0, 18c2
a295, 323f
3bbe, d7d2
4e64, acf6
f4cd, a8fa
4e35, 8866
6163, 08c9
bdc6, f994
37ac, 9105
80e4, 7873
f552, c0b0
7247, ece4
2098, 473f
065c, c516
c74b, 68e7
dbbc, ae5a
5547, 8fb1
396c, 9669
4db9, e05b
9546, 2061
42fb, 1d3c
4134, c25c
4cd3, 928d
145d, 70cd
2eec, 1446
8e95, 8430
6194, ded8
3dc9, 3015
ec37, 2ff4
5ef0, 0c9d
11b9, 18e5
9a42, ce73
5d52, 0914
c544, 69e7
a2f5, 2a9e
2400, 5b32
19b7, 1ae9
769b, 1e95
117d, 7d78
963e, c33b
5908, c3fb
18d5, 57d6
0889, f18f
d51b, bd1c
9b99, 7939
a32b, f22d
ba57, 3ef3
6462, 7edd
c837, 1017
01a1, 2f2d
3ca0, f3c9
1753, b752
405b, c301
3c32, a9c3
f21e, c3ba
8389, 857c
3cb1, ab04
bcaf, ab77
20de, 3541
dcd3, 66f6
1976, 2055
121a, b0e8
ce87, 678b
f3ae, c007
33ed, 0678
6beb, a5d5
ca94, 98ae
1cf8, 56d7
ce2c, 2603
49c5, 16a6
9c5d, a6bb
1bd4, ebc1
92b5, c7cf
a83b, fd9d
8ce6, 8225
fcc7, 6261
f45f, 5390
3d32, 24ee
6d16, 0e19
67fd, d6e1
f4e1, 62f9
6f52, 6c23
cae8, 89be
21ec, 967c
702e, 1288
eab6, 2be2
b5c2, bc63
fe30, f25f
9a5d, fae8
a810, 1f62
581e, eebd
d5e3, 002c
100e, 5e0c
2638, 907d
4c48, b95a
c9e3, 627f
0a2b, f6df
c9d3, d79a
efdf, 0377
2292, 9eac
98ad, 3dab
4499, 5ed3
4086, 8f22
be15, c084
4076, 4fe9
63c8, 489f
558a, 5b29
ec95, 13a0
b1dd, 1d01
3629, cf13
09bc, 3589
1d44, 7778
82c5, 2cd6
fef2, 94ee
63c4, 9668
73b8, 6a08
50db, 4136
dff9, bf4e
95d5, 32df
7d8e, 1760
9708, 7ba2
a565, d669
7995, 818e
a036, e7c8
4494, 7f4f
1600, b03f
932a, 3311
2358, 7c47
87e2, a38c
bd1a, 712b
3c4c, c61c
6ddb, 04cd
db72, 3443
f1d5, 810e
d000, 9dcc
2570, 2bd7
6290, 5c60
04cc, 2ee4
8ec1, 9c63
36c3, 036f
45d1, 4238
9fb8, bb2c
1a11, bbbe
25e6, 7070
0e35, 3744
7aab, e83d
2073, e57f
b705, 5bff
a35f, 0031
f521, 0617
c099, 82b4
3656, 346c
e34f, 4643
4139, 99db
87e9, 8789
5471, 7427
d284, 08ba
7ec8, 4a9d
2446, 3e6d
b5a8, 13f4
f0dd, 5f11
fc59, b294
c455, 084f
7687, 7984
6409, 67ac
df00, ccaf
d37d, c54e
144e, 2858
bc66, 25a0
f25d, f028
d26f, ccf5
d6f1, 096e
50e0, 8abb
ac9e, 023b
2e08, d050
6268, 3f6a
4ff5, cdb2
0f45, e1ad
2120, 5149
19dd, 5583
ce4d, c46c
32dd, 6591
5e87, 214d
9223, a7af
336a, 9634
9dff, 31f6
f482, 01ef
3ecf, 581b
4501, ac7f
4332, 263c
34d9, f862
9333, 1d67
d036, e7dd
806a, b504
86ad, 1c94
3ccd, 4da8
08c4, db9d
b024, e85c
c6ab, a923
9c57, 635d
7a16, 5b53
6f8b, 3521
fc8b, 9f21
774c, 6878
0c65, fe50
14a8, fbb5
2797, 08f9
fbce, 0384
6626, 3139
792e, b84c
912f, 50c6
bf11, 16e4
efa2, b5c0
2bb2, 1a73
2a95, 5c18
7da1, b58c
5704, f59c
715c, 7a4f
7a2f, 79df
1a27, bb7a
f280, dce3
2364, 9029
8277, e014
0b47, 3d5a
5a58, 5cfd
884d, 5488
bfc8, 230a
f421, 0817
de9a, f4c8
37de, 7f5b
5220, 1942
f4b2, fb20
12c1, 7877
45a3, 7fb2
207e, 029f
f768, a64e
6f2c, af43
ba5b, 7f5f
e32f, c869
f03e, 80be
70af, a177
6bf2, 7a0e
7109, 4865
3463, 07a2
1bf5, e1c5
9677, cc44
8284, 88f9
78ca, 990c
de54, 6888
eaa5, 4b36
9359, 2207
837b, 57c6
9f14, 5532
a5ef, 773d
c3bb, 3084
579c, edd4
2881, 19e6
a955, 6f16
8a01, db80
ad11, c1b7
0652, 3226
87f7, 3206
ae93, a7f2
f7d8, dbf4
cec4, 31f4
2431, 9d8c
28f1, 1aca
854a, 3467
6f87, c474
4822, e4b5
aaf3, d638
9575, 5a23
d653, 4e4c
08d9, dba2
c830, 98f3
e7e7, 4ccd
181d, 743f
1a96, be03
a443, 37da
7fc4, 2997
44df, 1c3e
6c52, 4e8f
b012, 858f
1c4c, 707c
5b5c, 9540
096d, 2a3d
c6cd, 4701
c550, 37ff
2ef9, 4a9f
11fb, 5a67
e154, 1758
2891, 716b
4234, 85db
5aa2, 1fad
73d9, b099
a397, 5238
88c6, bec2
ac26, 3682
e330, 45c9
9154, bd26
5233, 8834
3a5a, 9bea
6601, f2ae
d56d, b087
e395, 2636
5a7c, 5f2e
1ae3, 19ba
ef71, 4984
60cf, c29c
5ade, 7fb6
b33c, 1336
65b7, 9f2d
af29, 3c7e
be4d, 7238
eef0, 2a63
6dd4, 3981
1358, 168a
62f2, 0206
bfdf, 9558
aea8, 6198
dbdf, 2dbd
e5d4, ba92
8a46, 5bec
6bda, dfb4
24b7, 2411
72c7, 1ccb
430e, e201
969a, 4164
e23f, 2424
8e6a, 5659
d307, 67d9
07d9, 98d2
7f82, 2683
a29a, f69e
c9e1, 97d8
3a74, 5f0c
cc7e, df5e
b278, 7378
e0aa, 7d95
4e2d, 2d2b
1cc2, 850f
d43c, 0ef3
4ffe, 893b
ddf9, 9836
f123, 9af1
c554, a274
c2ba, 9c4d
0e4b, 118c
b30b, bc98
9ae3, 976e
81f4, 5bc8
5095, 0b84
0c6d, 3cfd
e678, 82ba
cd20, ce8f
2f9c, 1236
8d27, 588d
6524, 2333
a432, d0b5
212a, b6d3
e55d, 9d55
e53c, 403f
9b71, 0a77
c049, 845c
132b, bc5e
d33a, 3098
bc34, 56ae
f0d5, 00c2
19ba, 1ae3
7127, 2d71
563e, 7cc7
2137, 4ece
3851, 5e80
38f1, ddcd
eb8c, 8876
ac37, 1794
46a9, 72b2
3c9a, 66db
4b3a, 300f
5baa, 846e
3209, 05fc
