2a30, 905a
4ea5, 7f54
06ea, 0e7b
a830, 1f37
025d, 3f50
b2d5, 0160
c420, f46d
8846, 222b
c28f, 2110
ac08, 330e
769d, f689
05f0, 91c5
2ff4, f3b8
be35, a4b5
9f84, 14b7
377f, 0c39
6413, 0aee
b4dc, 93f2
f963, 3fdb
efa9, adc3
9928, b266
8d3f, fa6b
8739, 88d7
be3d, 6241
9533, 2b54
bf11, 9715
93b9, 15ae
c9c4, 7979
f779, e999
700a, 2fb5
6896, 7fa3
f768, dd0d
c4a3, 748b
a6d8, aa0b
082c, f8eb
f7f4, 8d15
066c, d884
9f3f, 8b5d
e9e9, 3564
77fc, 05d9
c8e5, ea12
ccec, 925d
c953, 0b33
6b50, 5c0d
8a37, b00c
c892, 0d5e
2fe3, 7348
2410, 3a0e
0bbf, d5af
94c6, 6023
48dd, e525
df44, aad9
0b01, 3f93
fd7b, 7c06
66c6, 5313
bfea, 6fbb
bbba, c1b1
c92a, 217c
0d04, 69c6
b2bd, 6dc6
a176, 704e
e59d, fa3c
b398, 60ca
a66f, 61e5
9d5d, 6602
7e3b, 5b8f
9655, 4e7d
0844, c006
afc0, 8e46
75bd, 6fb3
c14f, a93d
dc03, 5529
9c44, bf4a
5084, 0b39
5abf, a591
9230, f2dd
1647, f5ff
523c, 850e
0fd3, 0429
796a, 0a41
94c8, d10b
7617, c599
3a4d, 7904
56ba, cf0d
7972, bcf5
a605, a4ce
1ef9, 9fcf
0788, cb4c
907e, 336a
b8b5, b89b
5594, f151
8afe, 5e3f
fdd5, 8432
04ea, 64df
1568, 8823
4c03, 36e6
55a5, 64c2
7a0d, d37f
af2e, d9bb
a3d6, 3e98
0dcd, 964e
3922, 33ad
c2e4, ac47
8acf, 36c1
0a3b, 41b9
28fe, e832
cc38, f97f
50fb, 38dc
2a4d, 50d7
bc6f, 5ae9
25c5, 3852
df94, a4cb
7a61, e072
8d4f, c067
010f, 5261
a8cc, 2734
7fb6, d752
e73d, 684c
14d3, 7131
87a0, 7588
9c88, 20e4
47e6, f5bb
fbf4, e182
c88d, bbfd
54f8, 08ec
dea6, 2ce4
cbcd, 96fa
4972, da65
7993, 4a9f
d4ff, 4c7e
debb, 0648
35e4, 61b1
fb9e, c045
a710, 2675
5845, a9a3
a1fc, 87fd
86a1, 23cb
7bd3, b650
e18d, f22c
6454, e827
afb7, 12c0
9dec, 9e95
e4a3, 5c4a
15a3, bd2d
c125, 3b2a
a80b, 1f41
34a6, 4c9f
b1ec, 530e
e7b2, d564
275e, ece5
6244, d04a
aaee, 37c1
d12f, e101
9f61, 17d7
e49d, 5a41
ea6b, 17e7
6209, 4ba9
fe69, 053c
e97e, d947
be5a, 5485
cc37, 7c68
a938, ee65
2825, 3864
f828, db96
597d, beab
7e9d, 981c
40e8, 2484
9947, a1f6
23b8, ed16
6a65, 058d
8eb0, 8b51
0495, b9fc
1fd6, 2b4b
bec2, 0c17
99d9, 1de1
8d26, d251
d5a6, 5212
3ba2, 78a7
099c, 03d8
bbcc, 9920
faab, 5bc0
3e8d, c850
f6de, 3417
3812, 491e
2419, dae3
eb05, 813b
9dd3, 8616
a4a9, fc7f
0273, e88f
2263, cd55
5e3a, 7c0e
a92a, d8f0
1e1e, 2fe0
54b4, 5464
b42b, 5dd4
4790, 57ad
94bd, 30ed
9ca0, 5dac
9b05, 7bb7
c943, 7748
b93b, 8b52
bbb7, 4e70
776d, 173f
f476, 981b
fac9, 69e1
bd48, c544
2037, cda1
89ea, 18b1
f83a, c910
b7c9, b7c4
2a5d, d552
dfad, 1ca1
7ee6, 8ffb
796f, 72f1
851c, b5ed
6f31, 120e
3f2a, fe0b
03db, 71ec
f0c1, 206b
11c2, 8e65
9f8b, 0dd6
2650, c50e
a47e, 591c
8e47, 07ee
7fa7, 327e
1b65, efe6
ff76, 4fc2
aa3f, af18
d1bd, 1eeb
a0c2, 4322
3c8f, 3746
61e4, dcad
dc6f, 6002
dc27, b08e
2b7c, a405
48e0, f8d5
430f, a5de
3296, 9d1e
8334, e1c6
3d3d, ba8d
9566, fdf4
f7ef, 00ec
ab47, ae62
6974, ca04
8fe7, ac81
4d0b, 482f
193c, aff8
1725, a9c0
fa04, dcaf
310c, ffb2
5bdb, bb05
ed03, cc9a
f05f, 7ca7
1ff3, 2a18
9312, 1391
94aa, d488
345e, ec9c
9d7e, a6c6
1434, c093
267f, 472d
a6cc, 4982
5a3e, 565d
7a79, e014
f321, 5452
add1, 4160
3a3b, 099f
d93a, a98c
2ced, 5be5
d479, 13e9
971c, 8f48
b6df, eb45
b627, 83fd
add6, 790d
33b4, 0c06
07cb, 5123
c1db, b382
b11a, 785e
74b3, 9520
b081, 77fb
a82d, 9944
ff47, 2602
9b56, 01c6
abef, 20c5
60b4, a83a
57b4, 5428
549b, 5985
020f, 6c82
97ef, 8128
fe34, b86c
b412, 8898
c9e8, c155
6d66, 5905
ad03, 0410
266b, d616
3060, 6d27
86e6, e3d3
b3d0, b876
f040, c499
a81a, 305a
4828, 70fc
4443, 9280
6d4c, 99c5
9e99, 13ff
6444, b6d7
d97c, ef4c
557c, 1135
f822, 3fa3
9159, 0741
1fc7, b293
f092, 90b9
6b16, 7f7a
4a2c, 5dbe
6bb8, b121
df4d, 07a0
54f3, 1a8f
8f8c, eb5e
f33e, 1d9f
822f, afc5
84c6, 9c4e
b2ad, 8ef7
1914, c7bf
98e5, e107
a687, fddc
4355, b957
e2b9, 4c3c
80a6, bbaf
4fda, 7483
c454, ff37
15b0, 4797
94e1, bdd3
b4d4, 3d12
28e2, b3ac
fa03, 83df
671d, 4cdd
2252, c00a
6355, fc8a
50a0, 98b9
1b49, 2969
fc6e, db9c
1841, 1891
a860, 17f8
9cc4, ec67
23a9, e9e6
8142, aba5
6bb5, 31c6
db89, 8928
b1c3, 0399
3873, a11b
24a9, 613f
c030, 9b8b
911d, 989e
61f4, 3ddb
f4e1, b2c8
9679, e0e7
574e, 1bda
baa1, 235f
1980, e90a
7806, 8bdb
7693, e0b9
e981, 39b1
608e, 2b2c
ae4b, fcac
e2a2, 033d
3a17, a6c0
dea6, 2ce4
5fa2, 7ef6
ad6b, 369b
cacc, c275
e815, 9fbd
13c3, 3946
f7e2, f862
eba3, c299
4a4d, b4bd
85da, 317d
6022, fccc
9629, a05b
647f, 0daa
9c1f, 9643
13cf, 15a4
12cf, 5709
1231, aa92
a9f6, 56c6
f685, eecf
aa2e, 1afa
6ba8, ffea
b4d6, c37e
53ce, 3c84
f68e, 0dee
e483, fba4
80ba, 7d2c
42d8, 9a94
2a17, b23e
3ad5, 54f2
332b, 4483
f7c1, a6a4
37ba, c702
5660, e080
bd45, 5032
a067, bda3
0451, d86c
9e55, b0d9
855b, 1511
4766, a919
2f4c, 3567
39a5, 6b42
4971, 3144
4392, b1cb
d854, 8d51
c8f5, a090
647a, e957
b31c, 029b
af73, 1f64
5c85, 4e4c
9606, 717b
0638, 0299
a70e, 085c
e0d2, c8bf
01b5, ea19
0763, 2567
d660, 6c05
00b3, 107a
84a7, 5e33
e1a7, 4036
47dd, aea5
1a51, 22b8
e860, ccd0
44e0, 4cc0
f9f7, 573d
a9a3, 5845
ce2a, af17
b63d, dd2c
34b1, dcd1
59d2, a327
d14a, 0849
db2c, 5999
f08a, 4649
4753, ef41
ab42, 4e66
0584, 61b7
d944, 26d8
1fce, 2325
b5b0, 48db
80ac, 3f61
2615, f09d
9bfe, 79eb
47c6, a3c2
0c1e, 6804
f7ef, 00ec
05a6, 1755
9223, 4511
490b, 0fa4
60c1, 7d05
7fd1, ada5
633d, 00f4
3715, c810
3655, 453b
ac7c, e772
dcc7, 49ee
a7a1, 4158
5e0b, 3078
b0b3, af93
757b, 2041
e19a, 5733
f79a, b235
7954, 983d
0b4d, e2c5
8dab, 8bbe
77c4, 77c9
031d, ddbd
6c0d, 5c2f
8794, 93c9
0c00, 534c
4abc, b714
93f6, cf43
ab35, 08d7
068a, e38b
fdf6, d7e0
a77b, 571a
243c, 95a9
f9b5, 231b
4089, 920b
7082, 48c1
40b5, 5272
6619, b303
ea71, 0d59
4c20, 4831
2ba5, d46a
0576, 5987
3d4b, 005a
79a2, 1564
15a7, 0497
b263, 5dcd
51b3, e6b5
e870, 8060
25a5, 1d67
17f7, 485e
11c4, 1ae9
21ed, 40a1
8570, 9e4d
b292, fcef
1642, 93e5
ea60, 834d
276a, 03a1
6bf3, 58b3
6c57, 32f9
e785, ee4e
1be0, 0fbb
e772, ac7c
98f9, 54f5
059e, 8127
1a15, 72f8
9304, 43e9
2237, a32a
ea28, 4c2f
fa27, 87d8
16b5, cf27
6cd8, 4255
7aaf, cadb
2bf2, 5010
1f6d, 7358
7ca4, 2295
a5ce, ae6e
64b9, d641
1705, 2cf0
5f10, 030d
eab2, 02ba
163d, 0d79
40f2, 1a36
c8bb, 6399
7041, ff4d
2a2d, ca18
9484, 80f6
e605, eae3
33d3, ad9c
b209, b890
6405, 23b2
17f8, a860
06cb, 73a8
64e6, 8fbd
4338, 7a31
7499, 6843
b8a7, 9a82
deaa, d73e
1863, 2268
aa00, 2e25
04ad, d867
bd7c, a68d
628e, 872e
0c58, d4d0
9975, e96d
c962, 99e9
3bc5, 18d2
c22b, 0e7d
9562, 43a4
aaf5, 15fe
47f6, f3d6
aee0, d563
98ea, 9810
6390, dbd1
ee6b, 0e9b
788b, 6e57
e806, ebfe
c83f, 8235
797c, 2311
60a6, c8b0
5364, 7b24
6c83, 40a3
4c15, 2fc6
0bae, 3eae
042b, 0a75
816d, bb32
5c88, 634b
1a27, a48c
75d8, 9f29
afe7, 51d5
6524, d252
f4d8, 19e9
0513, c54b
c2d8, 28e4
b406, 1829
1733, 2edb
6598, 7fb9
a25a, 1c21
5862, 76b9
c9b8, 72b4
d978, dd32
3547, d525
d5c9, 340e
f745, 2a38
7bc4, 693f
53aa, aa70
5986, 90f1
080d, 0b1e
2b16, 5632
c4c9, 4a1c
5dc1, 2649
212c, 8715
be70, 206c
e1a7, 4036
e92c, 491a
2fc5, 1a56
8bcc, 978f
e638, fa30
49fb, bedd
4f34, 6769
2787, baa8
ef07, a44c
11c5, 42ef
d7d6, 1c48
5c28, 328d
b164, 3724
24c9, b791
b590, 0435
b128, e624
d045, 4d8e
ff0a, 8d6d
1b7b, c945
a563, 6b91
34b1, dcd1
264e, af8b
4559, 9846
38aa, 597b
63a0, 84e0
347c, 25eb
4855, 776f
4fba, 41ba
d48c, 62c5
48e8, 1b56
2e2c, 860a
c19f, ec6f
a714, 412e
3369, a750
b8c6, e3cb
a4fb, 49cd
3ca2, 47a0
888c, 0587
ba0d, 8c82
1f37, a830
614f, 026a
6695, 8e99
e7a4, ad2f
a72e, 6292
5b90, 9fd8
d275, a83e
f5e4, d1af
7bde, 801e
92cb, 6232
d6e7, aa0a
b6e7, f372
fa79, 32c7
95f4, bfe2
7c1d, 9e46
8c19, 9097
22ee, 3d42
89e3, 72c0
eab1, 91ef
6f87, 4a08
394c, 89f5
1d54, 49ba
a2be, 2058
2fe6, d806
cbd5, 7d53
a82e, d078
3c80, 744c
0dff, 860f
b3f5, 22d2
d039, 6bab
6731, 4729
1d5e, c323
1715, 30ad
5bcd, d0a3
a3b1, 29cc
4ec3, 7d0b
bc2c, e171
6c94, 2272
9c7c, a9e7
3adf, dadf
fa55, b385
08d2, 2660
b12b, bb3a
51b9, 2885
e2b9, 4c3c
417f, aed1
ccb0, a6b1
674e, f07d
f81b, db63
56e0, 3f9f
ac80, e52a
3a13, b883
792c, 9a69
77f4, 9ffe
8d42, 73cf
6777, afa3
b523, 05ad
efae, 7fe7
e537, d4f2
ca40, c99d
ac09, a58d
b337, 606b
3a36, 697a
8791, b61a
3710, ee40
7e0f, 2cfb
60fd, f480
f7f1, 7d86
f1dd, 84ef
f1a0, 30b5
34cb, 75fe
e6bd, 42e2
6051, 4b21
62c3, 47e3
c9b0, bd84
5b11, 7bc8
6999, 373e
d182, 9c3a
a546, 0cba
7e6d, 73ec
b4a3, b15b
c5be, c6b2
e03b, c803
c7ee, 1e21
a81b, 95f5
1e90, d343
34dd, 5f2e
700f, c5a9
a881, c6ee
289a, 36ca
54f9, 31e4
7cf7, c1f0
f894, 739a
178d, a470
46a6, dd9f
1951, a951
2500, 56e4
02b3, 754e
9bfb, e7a8
0571, eb64
cbc6, 4e53
ebad, a1a1
ea74, 3665
df3a, db21
820e, d59a
451f, 3ea9
8082, b76b
2890, 2d98
e95c, 457a
b120, 16c5
2503, 05f5
6173, 088e
eafc, 09ce
09eb, d4be
3b06, d4e8
1642, 93e5
b986, 0f31
6b08, 6003
1267, 7209
ec9f, 678c
2788, 7322
153c, d83f
7c38, ead0
b642, 45f0
27b4, 75a8
1f6b, e763
3023, 93af
7a61, e072
9966, 3894
2dee, 7959
9a0e, afc3
f3d0, bf39
2940, 3e9c
e7ca, 11df
2839, b996
b7ab, 9900
8113, 4b09
df58, f8f1
e1f4, c7da
aaa4, 1dd3
e36c, ed13
782d, 38e5
8d97, 0dcf
37ce, f7ce
aee0, d563
4779, 6bfd
054d, 9005
0b95, fbc1
f454, aab9
683a, dfa0
457b, dd4b
f7db, 81b9
98fe, b984
f675, 63a1
5e0f, b3a1
4376, 2632
bd0a, 7420
134a, e76f
f5f9, f2d6
e293, 4ede
9d74, 83f1
7540, 9cac
2404, 67ba
3509, 827f
9ac9, fd72
9533, 2b54
9625, 93e7
d629, 58f9
eac3, 2ec1
4dbc, 45db
d74b, d3f1
7e38, e803
f1a1, a3a6
7184, a5b1
0d0c, db9e
8842, cb91
b0a4, 935e
2231, 8c94
e1fc, 00f7
181d, af12
3f2f, ccc6
30d8, b310
f7be, bd7f
df46, 1f91
7402, dccf
560d, d788
424b, ee53
db56, 8a33
5728, 2e97
1b51, 91fb
f103, 6353
5334, ad0a
e409, b498
554c, a787
53e6, eb15
1bac, becb
05a9, b938
9464, 002b
c6ee, a881
565c, 0f5a
f303, 86f0
e0df, b8dc
4360, 4614
f5c2, 101e
c7f3, fd02
6ee9, 5f4e
84fd, 61b5
57b4, 5428
2c4e, cc15
f65f, 1a23
80f7, d631
5259, df71
3060, 6d27
2299, 6b52
4e95, 84aa
1571, 97c1
0322, e18b
89c3, 2238
cd24, 7dc4
c169, 20dc
884f, fbad
7c8b, 2e91
7244, 5eb6
66a2, 5cb5
5d9f, 364f
c4bd, 282d
1c0e, b555
d09c, 17ce
7a7a, 9545
c89a, 7471
9e9e, 8227
c39e, 8329
c6b6, 8e28
311b, d1b6
b52f, 0fa1
62e5, 1066
a0c1, 47d2
0441, 7ad3
5868, edb7
a78f, 3cf5
f312, 28c7
9fd0, 8a48
8545, c0f1
4d96, bdf7
fe21, 4098
bdda, 6e7d
3a88, 1caf
840c, 5fe0
1588, 63f1
c8bb, 6399
e03b, c803
e9b4, 1249
1df7, 7d39
ee8a, cc11
6239, b838
62cf, 68fa
10ad, 1cae
229e, 672e
bd6d, 621d
90df, aa11
01c7, b480
16d9, e253
7083, 72d0
ab9d, d3b7
f568, 8568
117e, 78e7
209c, 1121
57c5, e94d
3870, 0ae4
dc3f, 3ddf
f4a4, 3244
d0d1, d85a
d7d1, 4875
5c34, 3139
4987, 931b
7e62, be07
b0e0, a5ae
1f75, d60d
2d62, 6481
ea34, 58ac
f1d1, 74ef
0ec0, e3d8
3c0f, 74e1
d516, 4d60
8bee, cb1d
c7d6, 7c84
aa07, d7e3
abae, 3840
53e4, b690
d36e, 713b
bbf7, fcf5
0ebc, 52f6
fc4b, 6aa2
6453, 311e
ead9, 1acb
9006, e5ff
371a, 4592
2b29, ba7b
80a0, 0cfc
6c88, 0b04
ed44, c1fe
ba05, fc8b
9651, 0c04
6064, f1b7
1491, 28c9
8ef4, 17d0
c8ff, 7fd8
775b, 1a59
94b4, 7a7e
ba60, 96f1
c5fe, b43a
da41, 46b1
6bd5, 53ac
a90e, c665
2c5b, 9bdf
220c, c130
9ba4, 7bb5
8489, 993a
3409, 797e
fa0f, d558
9331, 1ec8
36ad, f817
51f6, 4e9d
96d2, 23ee
a3e4, 6dc8
b982, 6474
1eaa, 5642
8594, c1cf
1058, 2872
ff94, 8803
a5e3, ebbb
e3c2, 7426
18e0, 520b
262d, bc16
ef34, 9b74
8429, 9c58
0d6b, 95b1
1d0e, f7f6
3889, 9fd5
219b, fda8
ae33, 4c31
bc32, b152
19db, 061f
63c9, 3c73
8679, 9394
12ad, c070
7307, 8849
8d50, 7db4
4eed, 5576
bedc, 09a6
6a1a, 93fe
8c37, b72c
af47, ddea
6f6b, 9537
9fd2, e44c
6038, f90e
1da1, 42b2
b714, 4abc
1778, 25dd
df74, 5d29
a73f, 4909
d5dd, 835f
1031, 93dd
2641, c7e3
5eb9, 525b
db38, 5b2c
fc89, b8ff
0073, bb6c
83b1, 225e
ed97, e54c
2303, 5615
5220, 39f4
cd5c, bc1c
4ad5, 216e
fd00, 7068
db8b, fbc5
32e9, 69ea
ae18, 4310
4544, 92ad
a4b2, 7ce4
4ca8, 7a0e
a9fa, 30aa
5f9f, ab10
28e2, b3ac
3584, ac95
25a5, 1d67
7ad5, e4a5
ddcd, a02b
2fe1, 01fd
a670, f0be
2ad0, c68e
fd66, 8c6d
51f3, ef80
dd62, 4526
dad6, 4e1d
a62a, 6137
4be0, fdad
2add, bf7c
42a3, 14e3
9fb7, 9653
6713, f877
29a0, 6436
cbe8, 5b1e
50eb, 2cb4
a3a8, 1ad0
441e, 7827
2fa6, 03b1
71f2, e26f
8ae4, 281b
6d3f, 8335
4b2a, c5d2
a9e9, f55b
5f86, 9b08
d6e9, f634
fb24, 24f5
93a4, 49e0
5f55, 78ce
d647, a3d3
ce7b, 28e8
f9e1, 37a1
544d, 3a7b
f5d1, c7ac
c86a, ffae
f089, 8b84
ba17, 9784
fc40, d860
f16b, 5183
8fab, 9773
9956, c203
6d03, fa31
740f, 710d
8177, 1bee
855e, 8afd
2d5d, a424
d829, c82b
fd69, c0af
bd62, 353b
01a0, 960f
9e02, 76bc
6100, 52f3
88a9, 6979
0297, 3e44
7cf7, c1f0
e565, 1cef
08c4, ec0b
5c99, 38f8
c7b9, 79b4
8f8e, fbf6
201a, be26
a48a, ca0d
aafc, 13b2
f130, 1a3b
1b10, 1149
9ee6, 5b14
758e, d13c
1202, 20cd
5106, 701b
1a71, 3649
ef25, 0c6e
3065, 08d0
5a7f, 89bb
c179, 3fc9
d90c, 3ebe
36f9, 62a6
84a6, c096
5006, 7970
42b0, a72d
0425, 268f
62bf, 0a09
5ccb, ba5a
f45f, f655
6572, 22ba
4e71, 937f
17d7, 9f61
4721, c0b5
8713, 25be
d2e6, af91
5920, 621f
1809, c0c3
a61e, 268c
a5a3, 62f4
9e71, bad5
d74e, 8c85
29a6, 37bb
a739, 8b44
836f, 1afc
1221, 7c26
7ba1, 4075
2813, 2f6f
6057, b0b8
2176, 5fd2
80b9, 53e1
d404, 24e9
374c, bf04
24fe, 247e
43fb, 3128
c5bf, 9a14
0504, 764a
a99e, 1aa1
33ee, 362f
09dd, eed5
7776, 79c6
7b02, eb67
1439, 699f
f389, 16e5
9429, a0cc
1ade, a5a2
f4de, 537f
b125, 657b
df89, da21
f02f, 1f58
ec10, fb4a
8c3e, 253c
1b18, adf7
eef0, c616
25a1, a252
6f8f, 8c38
e16b, 2400
a682, 7e14
dd2c, b63d
1b32, 86c7
445f, 9d25
0b77, d69a
3596, 599a
e8d3, a235
a1ad, ecf2
0d1a, f8f3
a1bc, 9fa9
54a4, fe6a
1513, 3669
4f2b, ba4b
c56a, 80a7
94f6, 19e6
cb99, 599e
74b9, 6ea7
9de2, 7dab
ee61, 0c11
0551, 955c
3a54, faa9
a7da, 94b3
6641, 0629
3778, f04e
68c1, b2b6
e438, fde6
3503, e5f3
f6a0, cd0d
14de, 8153
0521, 75ce
172a, ec3e
9711, ac72
7617, c599
91de, 0f0e
f8a1, 72ed
229b, d29b
5fa2, 7ef6
2ad3, 1da3
a720, 56c3
5078, 2a1f
ec68, 3034
e4db, 7626
1923, 946d
67ea, 67ec
5e35, dcf7
be8c, 3a90
4995, 3739
178f, 5a6e
ee36, 2c49
9541, e95b
77e5, efff
f924, 7951
82c8, f2c8
b4d0, d450
21fa, 875e
4a0f, 8e3b
a5fb, 5873
e3c6, edec
d7da, eefe
5b3d, 5959
eca7, 9fe3
c316, 3fca
2e0d, 7090
444c, cd40
27b0, f6a7
9919, 5c68
7cde, ccfa
0b0e, b823
8def, 980d
1331, c80e
ce6c, 70c5
a78f, 3cf5
