8a23, 9665
be8a, cf8c
76cb, d226
4dd3, 7140
0306, 273e
a93f, fae1
ea72, 4a63
36d8, 663d
0eff, fb9b
0f2b, 51e3
1d14, fa6b
5191, 8657
93de, 3ea6
ce17, e385
228e, e565
5dcf, 8b92
294d, 920d
79da, 018f
8a0f, ea92
156e, 4f74
32d7, 9a81
69bb, 07ac
56e1, 8051
0ad0, 060f
ed5f, 5b52
ab51, 285f
cea7, 013e
518c, 95d5
e933, 8339
be2d, 08cd
ce21, fdd7
f9a2, 885d
ab2f, ccb3
9447, 1712
fa57, a732
05cb, f2d2
a7db, 99ee
7c17, aca1
3a6d, af6e
07af, 1f62
fc6c, 3e97
5ab8, 3c5d
ce41, c1cb
4834, 348d
e0a4, d65e
0f1d, 88fe
9372, c7e9
665e, e493
9e11, 99a5
e490, b6be
8bb0, b02a
21cd, 3884
9d34, fa74
96ec, 857c
9e76, bbce
73c9, 57be
b8a0, a8c3
c08d, f03d
2213, ad7f
6b2c, 3f19
1274, f2c1
0563, b0db
d9d4, acaf
6dd5, 98a9
ea0d, 9b3b
47c7, d4c1
6b88, 890d
2273, 4e07
a749, f709
1116, c67e
5fd1, 8eda
5e10, 0f52
283d, 8800
5448, 6f6e
fdb2, 4864
d594, 9afa
6e4e, ef20
22d9, 2f6e
8bc1, 0b8b
9496, 7a3b
a771, 6ea1
4887, fa05
f9f3, 4713
b9f8, 85b6
dec3, ee68
8a3b, 5a8d
f9f6, a746
9d21, a5ea
ba06, 12f1
815f, 5586
58f6, 023e
939f, ebd5
ba19, 0db2
1d74, fadd
2187, cb03
e06b, d3b6
f825, 4fc5
e903, 9ab6
1082, e956
58bb, 0b12
465b, b20c
a11e, 280a
b2de, 7f23
fa38, 657a
c4cf, 375f
e71c, 1764
660a, 462e
4617, 4606
f3b6, c72c
e083, 2b0a
626b, f101
795c, 1387
2760, 8870
5e11, 8321
4a6f, 3a6f
31b8, bef9
a24d, c326
a32a, b216
bfdd, af28
2fc7, 96f2
1fc2, 8240
93d9, 60ab
b945, 3725
cc47, 3ae5
7af7, 0fe6
15da, 1812
aa3d, 6305
9faf, a61b
767f, efa0
076c, 0cec
1f12, 59fc
942d, 1ac8
045a, 3a57
221c, 6013
a6e7, 0eb9
03e6, be86
8707, 27e0
44b1, f5b6
38a5, 1069
eca6, 725c
36a5, 4a15
490f, 5285
47fc, 290c
0f6c, 7a21
a7cf, ae62
7781, f139
af38, 8fa9
a5ed, 41e3
0ea2, 929a
8291, 571f
aba3, f5d6
c4ed, 9b44
e0b6, 3bd6
2c0d, 36ed
6cb5, a389
b622, b89c
d781, 42d3
6434, f79a
60b9, ecc1
ad71, 5418
a002, e90d
8b96, 24e8
b28f, 9dd2
2171, dcc4
eb33, 4647
a704, 7731
8d87, 2e20
b8c5, 82ed
5707, 24b5
578c, 5aad
b131, 4682
fee4, 43bf
41e6, 226a
a677, cdac
45ab, 1705
aeb3, 0266
5b13, e0a9
75e0, e1ee
1890, 5afd
2f82, 290e
b390, 17d5
de01, 40c4
35fe, 90eb
3fc5, 4fd3
77bf, ffa3
ea32, 1eb0
b6de, 8fac
61ae, 9ea7
a0c6, d327
f833, 882e
0c16, eac1
9eee, 1e6e
6271, 792a
91a9, 6177
ee62, d16d
0f6d, 08b8
0cd2, 3a7b
da38, 7345
7a60, 5ec6
1f79, f811
3505, 963c
a6b6, a0dc
b41b, 90ec
841f, 2696
4961, 2aef
37f1, 2c6d
7f09, 4c7f
a5f0, 91fe
e82a, 332a
cf71, a1c4
7aae, d8a7
e464, 519b
8d45, 36f3
dc7d, 2c03
b6e1, 7b40
5ae9, 2114
3211, eeaa
a293, f6f7
c39a, 7cc4
c051, d8ef
9143, 3b20
08ba, 6ea4
56c8, 876b
5363, 0b6a
710c, 187a
93d6, bba5
e5e7, 4bed
3b78, ed1e
5b6c, 50ee
8ba9, 5bb9
6120, 1020
814c, c26a
3117, 25a7
12b3, 82b3
c72b, 4351
5b9f, 5d9c
2cb3, 4ab3
e180, 3d69
b3ac, b006
0026, 33dc
41cf, 355b
a2d4, a7f4
7e05, f735
4887, fa05
9940, 3d1c
ff95, 3d99
2346, f3e6
8f11, b48e
5ad9, 8074
d625, e249
fff8, 9f08
f1e6, a9a4
29f3, a713
27f9, 4799
25cd, da93
ee3d, f269
e0d6, 5bf0
061a, f740
d5fe, e3e7
34e1, 9e34
dce2, 8524
6b27, a4b8
72d2, ca05
be87, 72f1
de32, ced2
b363, 3eb3
1ce5, d309
1991, 0c49
7d62, 6a79
be0f, d0ce
bdf6, 0683
a585, a873
cf13, 7413
5c8c, 8c65
32a7, c967
73a2, 4444
adfb, 951f
3485, b87b
3ea6, 93de
ba63, 1133
28f3, 8d90
123a, b2f4
c967, 32a7
cfdf, b535
b7f6, 0946
deb2, 3468
e703, 9a66
e8f3, 5935
dd7c, f119
578c, 5aad
d78b, 4cbd
cece, b71e
66cd, 682f
1f77, f816
3437, 2e8a
1724, 91f9
a51f, d0cd
ee4b, 3e4b
8415, 62f5
d0e3, db8e
8fae, 1ff1
7542, 1bc5
ad6c, 7b7d
4c11, caf9
95c4, 5ad4
1a2f, 0cbf
fb23, 9d7d
a9a1, 51fc
cebf, a2c5
9ca1, ada8
7203, df73
5d43, 8043
87ee, b2dc
714b, 579b
96f1, 18f1
1737, 7adf
9bb3, 739a
b7a3, 345c
dddb, d6dd
008f, cfbc
da0c, 4736
588e, 75fc
21f9, 63d1
24a2, e412
518a, f281
1ddb, 9dae
0223, 385c
961e, 2d73
3c72, b892
7c16, ea27
6d81, 50f8
21b5, 8d07
94e3, e202
0055, 535b
df7b, dc91
717d, 1827
ca77, e8ab
6db6, 1068
e85d, 0de3
ce40, c404
9bac, 3ba4
ec96, e8b7
d044, 1c21
613b, 8758
6772, a11a
21b5, 8d07
3cd6, cc21
6dfb, e045
f092, 5316
6a61, 9d69
a197, b55c
4f79, abc6
fe6b, 3536
8151, 2151
a773, 3439
f3d5, 1473
9ec5, 0705
b461, 6559
c4e5, 1530
9c3f, dcb1
35a4, 4a7a
42bb, 01f1
49ff, 5235
887f, 9340
6d2b, 7948
c030, 1b80
38a3, 899d
312d, b5f3
d189, 4582
3400, 6fd3
7891, f9b2
6407, fcc6
06e8, e8e0
144d, 9a9d
f952, 39c2
00a4, f62d
0da4, 2da8
a27e, f8a3
a20b, 6300
8e93, 758d
0c3d, 3386
0581, a8d7
7e6d, aec8
afa7, 0a87
d6ba, 2def
666b, 7a4d
93df, 1e8f
cc53, 2390
96bd, 906c
0829, b21f
24c5, 93b3
7b6a, 0363
b892, 3c72
341e, 1b7a
bbd5, 6016
37ba, 8c0c
bc65, 23d6
8bbc, afcf
7bd6, 66d2
11da, 149b
05b4, 1666
be12, e88e
44dd, 946b
e975, d31e
c0b2, ce4a
5984, 9f5a
43d7, 7cbe
b4e3, 09e3
f9dc, a7bc
e0d5, 7edb
5195, e5e4
1d79, 4275
e797, d801
a665, 8117
8fb0, 9a90
8e2c, 153c
b1fc, 4efc
ea04, 2a04
1887, 9d37
f87a, e9fe
392e, 6795
08e3, ef53
b387, 04f7
6c6e, 2ed9
ee2c, 331c
a6c6, 9d1a
5ab0, 40ba
0faf, 57e0
61b0, 905a
6b83, e945
d767, 98ab
521d, 2b8c
adbc, 07c8
e6e7, 8be1
57e5, b9ab
a835, 425d
7275, 32d2
b2a1, c8b0
374c, 00d8
6cf2, ca36
cca3, a6c9
b3ad, 6973
1ca7, ca7c
630a, 757b
e09f, 8600
9e33, e73f
1760, be46
841d, 1d2e
0302, 394f
da2a, cc96
b460, 2202
3997, fd7f
cce8, 0989
12a2, 0dee
7501, 0fe9
1173, fa81
7897, ed5b
37ff, 8892
0773, c31f
ff7a, ad2c
10bd, a6f9
8bad, 87a2
b5c3, 822d
4321, fb26
fd0c, c6fd
f907, 5505
a932, f5e1
f8aa, d791
fde6, 7ce7
98cf, 436e
2f7e, 0671
0f00, 2500
9c38, b101
5df5, e695
4a6f, 3a6f
e493, 665e
320b, f002
d940, 9e8b
1871, 1879
784f, 5692
889d, 9830
4feb, f590
b120, f020
9b21, 9ec9
90c4, 97ed
79c1, 8de1
0c7e, 1c5f
3f0a, 9f18
f054, 9389
2184, a734
edd5, 7d11
66d2, 7bd6
d2c0, 2223
8c91, afcb
ed71, 1315
c53a, 5f7e
a791, d02c
0595, 79f7
8595, 729d
69f1, b83a
02b8, 595b
7af6, a4d1
5be8, 2489
2749, bc80
050a, be03
eb94, 9d28
c84b, 749b
4f0d, 6df2
3bd0, 09ce
c897, a4eb
63d1, 21f9
82b0, 16fc
bdbe, 386b
fe51, b8de
7f5d, 5650
5540, e598
6397, 7e3c
86cd, f680
d478, 9301
812c, ecf8
95a0, e497
ae0d, 044b
f873, 68a8
ac20, 9f0c
3cd0, 8232
4c0d, f900
8190, 4d2b
0803, 1735
721b, 10f8
826e, e51e
bdf7, 376c
4c23, 2b87
0bd7, 75bc
2831, 69d6
c2f0, b8fc
8ca9, acc7
8b9b, 31b5
4e78, f174
76c8, 1943
c7c8, 0e6f
e7dc, b9ee
6058, 6e22
9209, 6e10
60b6, e127
67fd, 7c25
afd0, b652
cb8f, 62d9
5fb6, bd18
f734, 4184
e137, 9137
07da, 7c8f
a0f9, 7ede
20a1, ecab
9448, ff68
f50b, c54d
b599, ecfb
bef5, c233
4fa4, 74fe
8662, 509f
d7f9, 9799
da22, b2ee
38f9, 0f74
ce7b, e107
016a, 706d
567f, ed13
9a01, 469d
a903, f0f4
09ef, f78d
3b42, 5622
2630, 5503
c686, e487
2f64, 7bbb
f7e7, 091d
0cd6, ac7f
9b73, b438
60c1, 17b5
43d1, 7cb5
423b, 5e2e
f5ff, ba8f
a8fb, 040b
a822, b0ee
f7cd, 6b98
fe73, 4229
6dd4, 0abe
f15e, ce76
e682, 80ef
8ba1, ddab
bc25, e11d
9537, 3587
f903, 4978
36c2, 2d18
2777, 0474
3c1a, 2586
8243, 4d63
dd7f, f48b
3d8c, f51c
dddd, d6db
be39, 0ee9
2469, 4434
b7e2, 0d3c
2581, 69fa
9785, 55a8
283e, e459
a9e5, 99ac
7875, 24f4
bf58, f6bd
b0be, 836c
187e, 7e63
782e, c4ce
1dda, 1514
9413, d3cf
d9e0, 37f7
ca8d, b30e
f400, 7cd7
2c6a, bba6
b011, 633c
5d1e, 8b78
1b5e, 646a
d24c, d88d
5e60, 7986
9f53, 0134
f3d4, 9659
3975, 75db
a5e6, ec7b
e60f, 86f9
fd93, 07c0
adcc, f872
1a6a, 4dc2
b3da, 78b4
e117, 8514
ded8, f525
7481, c2f1
c083, aed0
62f3, 3d88
714b, 579b
ad42, a62a
808a, 5d81
6da6, 71c6
1d56, 0ce7
bbd9, cc62
006f, 2360
80f9, e096
936c, d7b1
9cdc, 4b11
b8f0, 7416
9857, 1de7
1719, e28b
89d7, 541b
1b30, cb30
e37e, bbc3
b45a, 3554
d516, ad0c
801b, e8fd
9fc4, 991d
8c16, 8550
4a17, b059
b203, 34f3
10be, 1dbe
58e7, 5020
cf5e, c289
2e18, 6226
c12f, 57ba
86fc, 5df0
573b, 5ad0
4b85, 2035
58a5, 8962
a44e, c15a
154e, ae65
21f5, 5b1c
20f3, 7224
f373, 4772
724a, 104e
d694, cf9a
22f8, cb81
3a65, 91c2
59b8, 2f73
c545, 7bf3
6fcc, bf7d
3268, f9a8
cff9, c29e
6d22, 0748
6c86, 1c0f
db71, 2316
46c0, ec2d
8b5d, be94
dec6, dec7
9cf5, ca00
1f42, 1245
cf49, f604
dfcc, d31d
789d, efd8
6e33, 4d66
9fcd, e197
42d2, 2930
4ffc, dc40
5cc1, bda9
c18f, 3ccc
fc94, aa9a
8dbe, 6d6b
7737, f737
62e4, 3a5a
1d3f, 2947
fe78, 4426
aaff, 796a
b774, 5057
80c4, 3ecf
e020, 8e31
8683, 8793
36db, 3d35
fb3c, dc48
c511, 06a5
390a, 8862
24ec, 8794
3cc8, f0cd
8294, 3ed2
c995, 1d07
2e13, 0912
d21b, 8216
2714, ed5a
e79b, 93a2
45e1, f4e1
27e9, 9f62
2258, 8b99
b83b, cb21
6bd2, 28db
ce68, 5251
9f82, c637
e06e, c3e6
4cea, 14d4
172c, fc45
9b3d, 1e8d
3ce3, eae3
02c7, 6727
2ad6, ec6f
75cf, 3121
56a5, cd1c
332c, 158b
b404, 4a34
08d9, 51bd
ed65, 7422
83ec, 1099
9577, 765f
3f5f, 73cd
c26d, dab3
2463, 475c
3a73, 3847
3796, 5b0f
82fa, 9f0a
9888, c21c
994e, fd81
ec25, 6e80
b491, 4a3a
b171, 7ffb
1655, 1fbb
d7d8, a849
2bdd, db38
0211, b71a
f15d, a73e
e09c, 80fb
b520, fd24
128e, 3e2b
1878, b8ad
b5be, 6b0f
9498, f863
5ecb, 8e1b
edf3, 7640
f79f, b37a
5eb6, 43d5
4681, f881
1729, e789
14e1, 95e1
3629, fb4d
ff05, 62e8
1d16, 9f11
5104, ea47
3a65, 91c2
da1b, 23e0
5f38, 9115
74a7, fc09
88b2, 3712
cb40, 5bbf
8ebb, 6b6e
05d8, 2fd4
7385, eb8e
54ae, c839
bfe9, b8f3
1c15, 0b25
58d7, 8ea4
7628, f943
ba71, db9a
92dc, d4d0
4857, fde7
b7d2, fea4
618d, 1547
b20a, 453a
c63d, 361d
2695, 3191
1873, b8a8
d569, eb14
7095, 2e87
17fd, 910d
1051, 299e
f65a, cea3
6c8d, d746
2bf5, 5cf7
0559, aa96
483e, 14c3
8da7, 5d64
d930, 94b5
eeb2, ac68
9ec1, f029
13e4, 4eb2
d19b, c74b
0db4, 73e8
6a84, 2686
8561, 85e9
cd84, 8aac
2dad, 4b6d
fc0b, ccfb
a1c5, 29cb
bc4b, e0a0
1b9d, 3dc6
09e0, aeea
1483, f2e5
1a43, 6462
33ef, e8ef
41af, b2e2
f743, af0f
3917, 53a7
0ca2, a85d
715d, 1a9a
3168, bbf1
53ea, ed1b
b6f6, 2a18
2eed, d57b
0739, c9b8
3cd3, ead5
33d3, be83
5a7e, b432
1fc2, 8240
d2b0, 97b0
bb22, 6b68
04d3, 7d08
3a95, 749d
ddb7, 51ad
23f1, 9bca
fc91, ac07
184d, e14d
f1be, 2e17
1184, c383
37ec, 6f1e
8e1b, 5ecb
86d1, e6b4
750e, 817c
a39a, c8e1
6e9e, efc0
76cd, 6611
17a7, e4a4
6ad0, 3c6f
e24a, 46ff
4f09, 1f39
2e7d, d82b
9cf5, ca00
764e, 04df
43ff, 4d6f
ac9a, 3f32
94cc, 4642
8e08, 8f56
54c2, 47b2
d025, 8e7a
d505, 2a45
b1f3, 6910
1295, f644
edb4, 3dd7
12e3, 0749
81da, 5564
447b, fa1e
5ceb, 313c
ea97, 51f4
e0f4, 374f
4193, edc0
9154, 777b
ae3c, 7e34
ba48, 64cd
09b7, 5552
8201, d284
46fa, 975f
cf5e, c289
d22d, d423
2e58, 0551
4684, a524
c5b0, 3e47
23e3, 6643
a493, f806
ec8d, dc76
8ef7, 6163
007f, 766e
5d2f, 304f
fa84, 9abb
d1dc, 29ae
6d93, ecd0
06a2, e1c4
433b, d790
163e, f8b0
b4aa, 1a96
6e52, 6895
e1d1, 1b3e
1a32, a01e
d3c8, a95d
32df, 1884
160f, 066e
39b3, 6750
a5c6, beea
3fdd, 6fad
bf6d, 1d6d
4cda, 9ad7
3fb4, 5e6a
9954, 4aa0
5817, 9172
dee4, e2e1
2f1c, 4e10
6ba9, 2964
d9c9, b939
4546, 9aff
6cb2, bc05
417f, 0601
016c, eec6
1565, 21d0
8f40, 8f4b
8761, dce7
9617, 9d06
2696, 841f
2a24, a149
9863, 4fc2
e86d, 0db8
6ab6, 01ce
6b13, 956d
fc12, 0aa6
1095, 044a
2ddc, 80a7
a1f8, c77d
3a34, f944
23f2, 0e83
3276, d21e
297a, 9f1b
5783, 9409
fd93, 07c0
3631, d043
b135, 893b
3136, 02d1
f508, d06a
bb81, b0fd
021f, a4df
2121, a59f
3cb0, 4bba
5728, bdc2
ea42, 35f2
18a6, 18a7
a4d3, 2087
f1e4, a641
d8c0, 9645
5976, c936
52e1, bb08
3267, 774b
534a, eee0
2b67, 28ea
80c2, 604a
f1f9, 0539
baad, 941f
00d5, bb26
357a, 5c77
7d67, da9b
18ea, 96ea
f7e2, 5422
ec13, d982
9bab, dbab
b6d5, 48d9
92fa, 5adb
33d9, f38e
77af, 9708
