1f47, 70d8
e905, 91bf
0ee5, e3b5
ff63, 2ba4
6048, 74a8
4f0d, 3200
d9aa, 9ae6
e7de, 2ea9
afc5, f5a0
e194, 2194
1420, c3aa
503d, b92e
32ad, 846c
2341, 48f7
ec1a, d5e6
7cb3, 7340
88d5, ab21
ae80, 12d7
a399, cc2e
459d, b252
1f69, 3982
fd59, 8932
8a7e, 2b6e
3906, e999
369a, e094
a85a, ebb5
4a26, 3b02
cc0d, c650
2c93, 50c0
dc39, 8cc7
f7ed, e3f7
c567, c2b5
547c, 31e4
aa7b, ee5d
7858, 5de0
dbce, e5de
feb1, 127c
4838, dd59
f2ea, 905b
4a38, 246b
367f, ff08
efcb, 5370
a9b6, 27e6
d3a9, 3965
54d8, 6b1b
41a5, 2c6e
1c5c, ac8b
994b, d290
f65f, 1f64
cc0a, 533f
cef8, 3a29
ad1d, 7dcc
871b, 3cfc
38c2, 0070
2f88, 0181
b8c1, c893
2d6e, c158
bbf1, 6317
b211, 42c4
b691, b6f4
3c5d, 3317
a30a, 038d
da35, 0359
df98, 3612
db5f, 43e8
69a8, 69bf
8adf, 7df6
fdb4, 3298
8305, e34e
794c, 6cdf
c4b7, b947
74b5, 5952
b715, 5f8b
6a3b, 7a8d
ed27, 5d6b
e864, 3224
7fcb, a597
8bdb, 10b4
6f71, 7f74
2787, 8797
6c55, bdf5
bcda, 87af
4ad3, 7d97
7e7c, e93e
446a, f562
217d, 4e3d
e0e8, af17
e709, 2b7e
2341, 48f7
3023, ed23
4000, 9144
e167, 51e9
2761, f665
9189, d3b0
decd, ed81
5173, 201f
3e1d, 7a07
ce2d, e637
74e5, d485
0a3e, 323f
14ad, f4bb
78b8, 7d63
e99a, 52f7
189c, a6c8
d63e, 5d6a
d34a, 94e0
73b6, 4385
f5ba, ba2d
50c3, c74f
cdf8, 7f81
62bc, d409
8ad4, b136
84c7, 8c42
a395, 3aec
5cf4, 7977
dd39, eaab
df04, 923c
6e47, a5b0
3d10, 56cb
5f39, 8e3f
eed7, 3e67
9277, 5057
15e9, 1261
cfac, 0636
5a50, 3e09
c489, d72d
06d3, 396e
707c, 0d02
d324, 2871
8699, 360f
bd5e, 3525
ab7a, 70d0
a3f0, 7cf2
a3af, f22e
cabd, bbc6
ae86, e67a
012d, a4fb
5956, 7aea
5a82, 1fdd
6feb, b665
edfa, 9cde
ac86, 7a2e
3c20, dd20
0c3e, d88f
7244, c013
5d55, 5b7a
ea20, 5543
d2ca, 4924
4dcc, 8a03
67be, afd4
50d6, d8f8
adf5, 8c5a
d51b, d38c
fd46, 1f21
9361, 1069
21ec, 4c8c
0e52, e81c
f5fe, 499e
6dfb, 7d0d
46b4, a863
5a03, c4aa
563e, 5677
2fc7, f7ef
da22, 5ff9
ebeb, 73ee
2f20, dd4d
1068, acb2
5bd0, e083
efa0, 4b16
60bb, 10c1
5948, de4f
0848, 94ac
7820, 653b
208a, 1e14
33cd, 22dd
87df, 61a4
12d0, f4bc
4116, 028e
f871, bd8b
1bac, eb60
7353, d779
b60a, b647
d8e2, cbe6
576e, 795c
4244, cde7
9922, 69e2
74ca, 69c4
6cae, 6376
e854, 5ef0
a1f4, ee82
3ab8, 2398
59cd, d63c
dd9b, 314a
7bce, 3815
06fe, c21b
bd23, fca3
868f, 5b89
698c, 60ab
e09d, a992
cfb6, f2c2
0282, 2adf
920a, 1472
79ad, 3fef
ae63, a8b9
a400, 14ae
1893, 3013
95fb, f839
642c, 82cc
419e, 219e
7293, 5443
4cde, 5f1a
b45a, b47b
a0dd, b8b8
df68, f3f2
a1ed, 6ff3
1cc7, eca9
f85a, 124d
d189, 8127
11ef, 6c4f
5b33, 50dd
0abb, 7cc0
b0cd, fcc0
327a, 5977
425e, 9233
bfa9, 4747
448e, bdf7
46bb, db5e
7287, ae9b
6eb6, 51d0
1da8, c162
fca6, 0da6
a609, fc33
a6fa, 428c
3513, b4f8
6562, 3afe
f122, b162
87da, 3c00
3567, 0159
4903, 1918
0178, f1e6
d57c, 8e5a
c651, 2798
d416, ca77
03e7, 144a
c519, 1e0b
f09d, ad90
e06c, cd64
c6fb, e8f6
7753, 1d0b
257e, 7432
f9ad, a4ac
965a, 18c4
2515, 7793
3887, cd8d
8a36, e1da
5545, 1bc5
3356, 5e93
112b, 3dac
fdd7, accb
b236, 4c00
5bce, 8ad5
b3a9, f3a5
55d4, 2a7a
1e19, 0fd3
4ad4, 0a2f
1ab3, 66c5
fdbc, 46b5
9425, 44d6
d639, 8cad
dc0c, 0fdd
f4c6, df39
272b, 12f5
9bac, 2dbb
dab4, a1af
6370, 7f7b
be9a, beb3
9d2d, 6e84
88d7, 53b1
46a0, 2bab
fe6d, 7261
576d, 2c50
5b40, 82f6
48ab, 9ed0
a5b9, 4c64
9d00, 9320
e0c6, 0349
9309, f9ae
37d6, 697e
c54b, 1be0
a39c, 6484
8f9c, 9e8b
72ce, c373
3bf0, 355d
4605, 79c1
800d, 9848
1023, 1e90
4235, 3ff9
b78a, e19c
8d60, ab6c
c42b, 6fbf
cdf2, 667b
20cf, ce52
9527, fc02
442e, fc84
f187, 8e73
386c, e528
2d6e, c158
043a, af8d
65c6, 6cc9
716d, 5998
e4f6, eb4f
02fd, a7ea
e16d, 7ae1
afb0, 07d4
65ed, 0150
7ce1, 57e1
4cc5, f6f6
60ba, 1bb0
9223, 49df
0087, 6037
9915, d418
43aa, 5cb9
8b1e, e58d
0504, ba01
4d50, 8537
333c, 8307
e2d4, 408b
9c0f, d509
7071, fcbd
649d, f35b
c4cf, 85bb
4ee2, f0ea
2d8d, e534
0e55, 50ec
b47b, b45a
1de8, febc
8eca, 6eca
33df, 2817
1743, 4cac
a2f5, a793
ef66, af55
08b8, 0d63
da1d, 3d7b
1cc6, 5c20
1623, e920
b551, 9859
224e, 0faf
d4d0, 33c0
53af, df6e
ec1e, 7b0f
0b8d, 9626
1042, a553
9536, 45a7
51fd, d5ea
227a, 5bea
2ab2, 6c4c
43c1, 2d4f
3693, e098
9e6c, f0be
6419, 1577
c73c, c376
9f82, f976
40e4, 0326
acc9, 170a
50d2, 6d94
ade2, 2ee6
d389, 9793
4201, 0f62
847d, 647d
db1f, 5c18
e84a, 33e0
4ff0, 34f0
b14d, d84d
a9a1, 7497
d382, b4a9
40c0, 8c93
2bd6, 01dc
6e67, 9199
c58d, 4185
3a8f, 72a1
b78f, 9b34
9f68, 9ed3
76ae, 607f
27ae, 47b3
948b, cdf4
af79, f9a3
190b, 78a3
1099, 9029
389c, 103b
603e, fbd6
25c3, a5cd
b6fc, 0df0
9655, 905e
7d62, a5d9
6b37, 7b37
0c2d, ab2a
412c, 274c
acdf, 25ba
33f1, be19
6580, e23e
416e, 30c6
2d7f, 0833
dea6, f3f1
ca7c, a0b4
15e0, c1e0
6e10, 7f1c
403f, 40d4
2f30, ef34
60ca, 8ec2
02fd, a7ea
8274, e771
ff60, 5132
9c2c, d94c
07e4, f60e
03a4, 0fda
3ea2, a679
faef, 463b
91a7, 6daf
de58, 7d45
eb07, 91b3
75f4, 6e5f
c897, 54ce
0aaa, ae9a
119a, 9706
de86, 0538
b76a, 8cef
5c10, 39cb
a98f, f849
7832, 6c01
3d4d, e792
11bc, ab06
135e, 9365
9fe0, 1de0
d135, 9c5e
3178, 1f57
8d23, e1cf
f44c, 454c
c06e, fdd5
e2fb, 0475
1206, eeca
824b, b59c
49c9, 7939
3bcf, 0fca
0c92, dd3d
7fa4, 03d4
f9a7, 6c09
e515, cf86
c12c, f6a7
7b01, 8e21
686d, d1f0
f69d, 8b78
8948, b891
e344, a2de
3e32, e889
53e3, ac14
ac12, bcf2
a9ac, 5bf1
9540, 8ab2
aace, 0d2e
f883, 24ae
2ead, abd8
ac1c, 7dd8
1872, f4d8
072e, 90a2
3cb1, c6e3
3e99, eef9
8eef, aa04
511b, 1284
41bb, dbf9
08cb, ca97
7599, c987
4840, c6b6
7ba2, cdbe
2fc0, dd9d
ba24, d59b
101a, 9b1f
3248, 484f
0066, d5d1
8915, 2e25
948e, 858c
d3a6, 561a
e97f, 946e
2424, 47c4
e8c5, 22ce
6a26, b1c9
9eb1, 10b6
1972, 18d4
8b4d, 5d9d
4421, 921a
dc24, e1a7
5d0d, 0288
4559, 29da
19cb, 10e1
79af, ffbe
868c, 688c
63e8, 8be0
76a0, 078b
cc93, 2d67
28bd, 1caf
da36, 0bb9
b727, d310
2ac0, cc9c
9ba6, 1389
af67, 23e3
7531, d201
efec, 5efa
de9c, b10c
65ac, 6f0b
37cb, 2c84
a9ed, 0e9a
c2d7, e551
72b7, faf9
eec7, 3e17
564c, 7e24
60e5, 306e
5439, 6533
d585, 0ee6
0f21, 453d
b4b7, e5e2
0657, 6600
e96f, 5e22
6269, 34e1
6b83, 5969
fcde, f993
b979, f9a6
1c47, 5c58
a8b3, 9f54
326d, 300d
e79e, 0956
28eb, 4f3d
122e, d384
8aa5, e025
83f5, 5e45
f209, eb9f
ed18, 9a8c
fda0, 66b7
bff8, 7141
cde4, afba
aeda, 985e
7314, e52f
1aae, cd12
61a3, ac27
c3bf, c972
e96a, 4b8c
f617, 3fde
da10, 5610
1007, d470
7219, d34d
77a3, 528f
c511, d419
ec28, 2aa6
c964, 51ea
4be0, beea
91a2, 8de0
b346, 4cb5
8525, 686e
f290, 4252
a2dc, f7d0
2aae, ea6e
3638, 3674
ad34, ecac
e18d, 5a5b
70c1, fee4
d4c8, f619
3973, b908
f033, 13ad
61e7, 4495
5dde, 1c14
7675, 0028
40d9, fe36
4cf4, 4b0b
b5d4, e88b
1629, cb7f
81e1, b548
f10a, c5f7
a82d, 48cc
2fc6, 48fa
14bf, 64c8
2256, c45b
3785, 74bd
3801, 1a8e
4e50, 8070
abb3, c5a6
fd0e, b59f
12bd, 68ca
e596, ecf2
e0c9, e9bb
cf5f, df62
89cb, dc8a
97fe, 0e2e
3f03, e7e3
9607, 9687
077c, fb95
1ce0, 246d
7b7d, 6dc4
95f6, b861
a224, 2a9f
a9ad, 5ac9
cdd6, 6ca7
86b8, b167
a034, 4448
c05f, 7c58
d931, e9f7
e53a, ae9d
1b95, 554c
2fa6, 78ae
a7a5, 7ef7
5024, cce8
f5e6, 14b1
90c5, d933
4e36, 4be2
f282, 9230
b882, 9138
cce4, adf1
8d83, 8d1a
0711, e1f4
2ac6, 2c12
34a6, 1f4a
aeac, 79d1
6f66, 7138
b1d2, 779c
6b00, 6be7
a648, 3afd
4863, 43d3
ceb3, 782e
a46d, f7bd
27ac, 4153
448d, 94df
84cc, 64cc
2630, 014f
392b, 2134
0d97, 7bf4
9989, eca6
f076, aa13
beef, 0a04
adec, 9a08
0fab, fc77
7bd7, c322
7443, 5293
1551, 9829
ac0d, fcf0
7072, a188
e07f, 95be
117f, 10f3
f38b, 77ea
fc9d, 8b1c
fcba, e85c
acc6, f704
6a0f, f582
22e7, 5491
511d, 89cc
de72, 92e7
3936, b1ea
9c49, 63b7
0c54, e4ec
3778, b110
fbf6, 1c85
d490, 494c
e105, 958a
f9c2, afa1
fcbb, a009
50f4, dc30
ca38, 2c1e
6c28, b4f0
dab1, 5521
65bf, 327b
0ddc, 1117
8682, eb89
9943, c081
5325, 4e71
d9ba, b52f
0995, e9ce
0eb9, 9e8e
e362, 58d9
01af, 59d4
9936, 6976
4f18, fd70
d077, 9c6c
74d0, 63c0
97f5, 6e15
953f, d4b1
1b14, 71aa
7e1b, 013c
4873, 1610
e5d6, 7436
187c, 8034
122c, 8756
d035, 9d38
4837, a593
1496, f202
eb9e, b04d
7746, b803
9af1, 3637
0252, e46f
e437, 24f7
9d87, dc25
be55, 8bbc
c5d3, 8323
2122, b8c4
fcd9, b6a2
f035, b039
54de, af15
11e7, 9757
161c, e513
791e, 0304
4d39, a420
065a, 0d0c
e1b7, 5159
0799, bff3
65b5, 9fda
1ba7, bb06
605c, 835b
58e8, 7f50
9b15, 1906
814c, 7103
d1da, 2c8f
565f, 8b59
e9ee, e558
8227, 8192
f284, 059e
53f3, 5352
a3d0, 8c59
9db2, 40d3
6b94, 7d44
8af3, 4d10
7194, 6a44
db1a, 20ff
0f61, 21f6
058a, e730
6c92, f964
8561, 0c56
d3d1, bcb5
94ac, 0848
5a59, c360
c7c8, 2f51
2707, 0e23
eebc, 265a
97d4, 48bd
29d6, 4ffa
b25c, b91e
d54d, a290
1420, c3aa
13c1, 3bec
41d7, 25da
5ada, d51a
0071, a1ab
06e1, 8df8
0c4f, a33c
a6dd, f25d
c4ba, a5ef
fd67, 3703
39c5, c312
48fb, bbb7
2129, 5f09
d17b, 917b
ee37, 5ffb
219c, 8d3c
d7b2, 22d6
c61f, 4923
0f82, 6909
0209, 63f3
b2d2, 343a
849c, 659b
051b, b5ad
70ac, 0bf9
fbef, 4e54
7644, b09a
cce9, b505
fe98, 4e98
fad8, 448a
4975, f1de
79a5, 6328
8893, 4749
d0f8, de7b
98a3, 234a
6f03, a7e3
6bd4, 6ab8
137f, 8f50
3b20, f10b
196a, bc9f
abe0, eeea
0b35, 6049
9d9a, fbbc
f60a, a846
9b8b, 54d4
af8f, d513
6ad4, 7dde
c85f, 2fb2
bb45, 69be
8f4c, 1b8b
a125, ae96
7dcd, f12d
b9f1, f781
d77a, d810
d0b3, 79ef
56d7, 9053
9fdb, 4ed0
d86b, 7d69
064b, bbea
f828, 2be4
339c, 56cd
baf7, bf4e
ae93, b4e3
fed8, 4e38
afad, 5a56
3150, 80f9
90b2, 6b09
76b8, 7f68
5e82, d902
9de2, f22c
5e42, e67e
4053, eda7
fb99, 4026
d3bd, 49a7
28d4, 8801
6098, e480
c1b1, dcb6
0b74, a7a8
742f, f9bf
9ddf, fb7b
26fb, 4e1c
c865, 5451
e891, 6c2a
1ad3, 1a34
6b39, feab
fcef, 7a4f
2b46, 927b
adc8, f84c
a98b, ae79
3c8f, 81da
f063, 0a76
67d8, 84eb
6f13, d79a
13b5, f22d
02c5, afce
885b, 6deb
c1da, 5713
aae3, f04f
9524, 516a
d9f4, cbe4
450e, 957c
58c1, 5176
02e2, 546f
e4f6, eb4f
c8f2, 94de
c633, 0d56
95bf, a70d
af92, 2624
11f5, 60f5
400b, 9cf4
91bd, 43cf
ac88, d1a6
c8dc, 0d86
414c, 68ab
a919, c052
6b95, 87eb
e282, 7133
17d9, a6b7
6be9, a3bd
ec38, 88e2
8933, c59a
23e3, af67
e633, 4ef6
1294, 6a42
2011, 41bc
f592, 66e9
b64c, 7b00
86f7, e1ae
5c6c, 40a7
4ad4, 0a2f
0371, b3c7
9a86, 45d1
e97c, ddcb
f41d, 0cea
376b, e7db
5a58, 595e
7538, c63f
c1ce, a346
03c5, 197e
9f87, fd31
2861, 01a3
7b55, db69
6501, 7504
10d7, 9ea6
fefc, aa16
5863, 76bd
abdc, 0478
5c59, e161
bb45, 69be
e820, 1c8b
d360, 24d1
be0b, 5f04
51b0, 2bef
f8a9, 4889
2629, 0976
94f5, 114e
020b, 05d9
70c8, 54f7
8667, 8b61
8bee, 3b6b
0fcb, 8f89
eeef, 0e1d
6c21, 0b7a
c07e, 6994
7f17, d5cf
056f, e264
b722, f762
8745, 256f
0cb3, e7c8
56c6, d4e5
e177, d139
9bc4, ab79
3f9a, e35d
37fd, b10d
119a, 9706
4d13, 6827
2a71, 55d7
a66a, 5b6b
4c0f, d5f9
ba73, b148
242c, 0d25
3d8f, eb39
33a4, 31f9
acf8, cb3f
a5db, e322
3e6a, 3102
1e0f, deb5
7104, 0a47
318c, b73e
30b7, 8db1
0ce3, 7469
bb2f, 6e2f
75ed, 5453
2a26, dc1f
16b4, f170
3a8c, 443e
781d, ec3e
1a86, 6a0e
fa7e, 23c9
bfba, 0ea7
bbde, 1b6a
7c1a, d849
87b9, 6759
ceb9, 2d6a
9b39, 31ab
7ceb, bc3c
a63e, 603f
05c3, 749d
b93a, 514b
002e, 8815
512d, f579
f4be, 98f2
e1a9, 91a9
3334, 92f0
d160, 20c4
4528, 1aa7
993e, d755
f550, ac5d
5145, ec2c
7d3d, 05a8
09db, 0f7d
fe64, 105a
decb, 9e1b
235c, fa9c
4383, fed3
f4c4, a724
010e, abfe
e9b9, b380
50cb, 302b
3749, d565
9bb4, fea6
f677, f837
2c2b, a59d
8358, 83bd
7da3, 84d5
50d5, 4b22
232e, c5c4
cde4, afba
7b47, 5346
0a9e, ad4e
cf28, 2fc8
ba9a, 0c94
5f55, 0fc6
f960, a26d
aaca, 2ec5
4002, 942d
3382, 5836
aca5, 9950
c717, 12ca
f528, 1c73
5fae, e876
ec80, 5aec
1387, 7bc7
466a, cf68
b626, adc0
882e, 92e0
e455, 44f6
2dc6, 0855
e72f, 5479
b47e, 4d6f
60d2, bdd6
dfd3, dd71
e27e, 9373
5c0c, 2557
81cf, a0fb
48b4, 4694
f490, fd6f
1642, 6d53
c800, 72f4
1bf9, a0d7
11c9, 7c28
32b9, 6456
b040, 5b9e
7519, 1b68
8114, 8517
1c25, 972c
66b7, fda0
72bf, f3d4
7f91, f28d
b04e, b7be
1358, 97a3
ccfb, 4143
2347, 4f01
0606, 55a6
0bfb, 8043
f6e8, 136b
109e, 797b
ea00, dd8b
88e8, 2c13
6b13, 4981
3f04, 663d
c7cf, 09b2
a8e9, e7d8
41d2, 36e0
d42d, 96f6
31db, 4ba7
c6ca, bb6b
a4b9, 766e
a989, 46ff
e8e5, 967f
27b2, 84c2
b527, 531f
b95f, 49cf
8754, 67a9
6b83, 5969
4bd6, 6307
6c64, 391e
8842, e0d2
a473, ab89
07f7, a30b
21a6, ac83
a7e9, 1f42
5fc7, 104b
0ff7, 7676
a6a7, fe13
a0e8, bb59
c831, a6d9
a20f, e60c
3513, b4f8
6c46, da51
152e, 9431
3714, 83a1
f283, 0496
469c, fe2d
24fa, 0a8a
4ab4, a6b8
d279, ca17
241e, 3904
9a28, 85bf
3aae, 8d15
8d7b, 2a1d
4d9d, d5f4
d1e9, f6be
10cf, 2e79
c7b5, 1316
e2c5, 5847
1cfe, 7095
9dae, ffe2
451e, 1807
853e, 5533
f8a0, 04d4
1775, 03ce
b278, 66d3
2475, d928
bbb9, dedb
fba6, 6bdb
009e, 1105
ce60, b059
24db, ee2d
6ab9, 8467
6c21, 0b7a
e810, 99ac
5328, ef75
44d2, 22b6
1241, 1018
bfee, ea28
8281, 6a81
cb66, 0bbb
f896, 225a
cd28, 1f4c
2e0f, fc61
c0c2, a163
5aa7, da17
398e, 726d
a0af, a966
4dd5, 96b2
5109, 8149
98f1, 16f1
b1f5, 12f4
6d19, 034c
4c18, 6286
0fe2, 2a35
838e, 6b3c
1c05, b0fe
606d, 604f
035b, 20b6
c15a, a587
4b93, 2698
71f9, a625
24b6, 4872
4353, 0534
466f, 6a1b
ff83, db42
1b74, 9b12
e57c, 6284
d024, 2d71
ba86, fde5
872b, 213a
b2ca, 5081
a1fd, f1fd
d355, a3be
ed06, 3002
a06b, b863
ed3b, 28a7
d1db, 2b77
f255, 6a0a
409b, 3147
3ce3, b9ab
f6e9, 4661
4ca5, e81a
e728, a1b4
9148, e34b
2fdb, d8d0
0b3f, 4127
b43d, ea15
87a6, 7685
8074, e63e
8c3c, 673e
599e, 07e6
50d1, 8bb4
ce8d, 4531
1457, 8ccc
8cef, b76a
9e1a, 2e65
1065, 43bb
7ef3, 0f45
2804, 4071
990e, 637e
6c7a, a5a7
1c89, e51d
8477, 5414
dfc6, 9762
6d4d, 7b9d
6899, 9f9e
5de4, 8b54
792b, b4e1
23b2, cdad
5b3f, 5be9
3270, b410
f87d, 487d
e7fd, 010d
1163, 4e4a
6840, a2df
6fe0, e1a2
954e, d3ec
db1c, 6204
5e8b, 1344
47b6, 9841
f418, e9e4
0ebb, d367
6d0c, 06fd
7e6e, cbb6
07bf, a92f
3fa3, b8d3
5c3f, f86d
f9d0, c9ff
368f, 5b36
fbfa, d36e
ce15, 57f5
543d, cd34
9d8e, 4dab
730b, c614
2f32, 7185
b627, 3748
dd6d, 906c
fe09, 6b23
e96e, 775c
ed16, cffe
be68, b344
d96f, 2879
2c79, 3c19
bec9, 738b
5d18, f2ab
07f2, b299
db7a, 2002
d8bc, 7db6
4a9a, a87d
4f35, 37e6
fe08, 4b13
9985, e6f2
030b, dd1f
8e3e, 693b
059a, f433
6899, 9f9e
f80b, b29a
d22f, b9ef
afc7, 7114
6c00, 890d
06b3, 7fb3
69a2, 9857
64a7, ba89
4e55, a3da
3724, 8596
f8b9, 893f
db7e, 9ad3
c8d0, 0d59
3fd1, eeb7
f324, fce8
0163, 0e90
0917, ec04
3df5, e6f3
fa52, 9b5c
ef08, 632b
38d4, e724
48a7, 2cce
809f, e642
c507, 110a
9eeb, 9700
a319, 733b
46d2, b1fb
fb76, 5fc3
958f, 7acf
1def, 5782
3ac7, 7172
64d2, 8234
875e, 5f93
e9c8, 9fc3
4640, 2b40
3087, d14a
8b8c, 638e
2f07, 3ed9
c87e, d8fc
9f3d, 5ffc
5ae9, 4517
bbc1, 03dc
1afa, 64ad
7756, e945
1cc9, e9a7
3f0f, b8ff
bcc3, 640d
51f3, ec10
9cb0, 93c2
dd33, 8da1
ff15, f7a3
d12c, aa90
1525, 42d9
00e0, d912
9e5b, 990d
81ad, 2dd7
312b, 12e7
6678, 5212
a3e7, eb6e
e4f2, 0b9a
9805, e0fd
45af, 78e5
22a6, 7d1e
633c, 1bd6
ffd0, ea3f
632f, b02f
7d84, 6d37
5afa, 8de4
fc89, 7143
1923, aea6
f212, 420a
d7c5, 4215
783d, f70b
2633, 56aa
30d5, be8e
9655, 905e
80d6, d803
3c39, 9c77
fd30, a6eb
9633, 203e
7eca, 9579
6023, 4301
48cc, a82d
91e0, 7371
e130, 51c6
bfee, ea28
89eb, 2d82
b790, bc23
eedd, a374
f914, 19c4
b40b, f38d
0abb, 7cc0
f6c9, cb1f
5916, 4280
8536, 51d4
f78b, 1e07
62a0, 1a04
9fd0, ec27
410e, 210e
a37a, 1161
2d82, 89eb
e037, 3544
4dc8, 3b0d
79c2, 7c68
436c, 10be
a359, db51
f8ca, f0bb
6e13, a215
12af, b212
f299, 140f
3c43, 2620
6fa9, f929
42c9, b232
dfa5, 24de
aef9, f34f
9cc8, 60cd
cf72, 08fd
7a2c, 0d49
aa38, 2578
04b7, 15f9
56be, d1d6
7284, fe3c
bf28, 2e8e
e7d5, 1c35
9e15, 67f5
dd7f, dd84
fe76, 7fd8
1021, 83b5
c048, 7e81
0c39, cc4f
6258, 3078
92db, 7898
04e3, b9e3
38d7, e367
ba09, ae50
553e, 8133
39cd, 3500
8faa, 5c42
6f0c, 34d5
7bd6, dedc
9197, d1f7
f4ee, b50a
96e6, 13a4
c0e7, 2e51
aedd, 3156
ee1e, 277e
331b, 78f3
519e, b970
9b67, f415
9f14, 374a
9015, 0806
7a1b, 5215
571b, 91e4
c698, 62f0
6fb5, 35ce
0794, 2b8c
6995, 9759
d57a, bd32
69b0, 6150
192f, c689
8d30, 8fd0
4daa, 168f
5641, 8a12
1bbc, 4f42
2769, 1245
4bb9, fb67
d532, 8577
e288, b76b
51d8, d0c3
cd5a, cfba
b7a3, 39ef
17ea, 75c5
9b55, 96e5
b0a1, 00c2
9597, 90fc
3fec, bdec
8ac8, ffea
a354, c7b2
6896, 8629
a3ae, 6f28
d166, cc67
5278, 10ac
028c, 7a7b
68d2, 2447
8a89, 3aa7
b36c, 2d4a
be0f, 0f09
e4dd, d53d
dd37, 0236
3b5d, b353
9f7b, 8b8a
887c, ac5b
202c, fb03
66eb, 385c
93f2, 84f5
c79e, a026
dc00, 12d9
e42d, 854b
5a04, e08a
b9ee, c9bc
e47f, 22a2
62fc, a7e7
d904, 7008
6a8f, 8164
3c06, 83da
4b4d, f82c
191a, f7c4
a9c3, 0ed9
23ae, eea6
81be, 51ae
dce0, 36d9
01f9, c89c
7122, bb6f
8229, fdf4
1297, f013
b6d3, b830
ce2d, e637
6368, 634a
b1f5, 12f4
c6b9, 0a65
1b56, 4886
9c81, 5210
7782, 57a2
715e, 5a6d
8251, 62b9
c845, 2565
68c6, 8cc8
7c9e, b1af
8d4a, 2a29
9cb4, b572
be8e, 30d5
cfc4, ad9f
f70a, cc26
1a70, 66cb
f7b1, a784
c0d2, 2eaa
1ed3, 9383
1613, f043
e318, a24e
0f0c, aec8
bfd8, 89c8
07f7, a30b
b673, 52f4
009d, bd90
3bcb, ebcb
d366, c0b7
40f4, b2fe
afbe, 0466
64aa, ac99
8169, 2169
e6bb, 116a
75fd, 7cd8
aae9, 6741
641a, b221
dc72, 25c6
c069, 0365
cae6, 052e
ab22, 98d8
4911, 2af7
07da, 1f60
91a5, 56fa
36f4, df43
af78, 0273
d587, 57d7
2c9f, 4592
0622, 0692
1890, 6e3a
f486, 42d6
28c5, 0ac1
