e568, daf3
801b, 727f
add9, 3cd4
b742, 0308
8e7a, f05f
cd9e, 76b8
eca9, c738
ff4a, b70d
cd87, fd84
b339, f258
63e4, 19cc
38a5, 28cb
e1b6, 8361
1bbb, de7d
3943, 8d26
3efe, 9208
5bf8, 4b21
9fa2, ed95
3c4a, 01d0
91d1, 991d
3bff, 61a7
ffc5, e59d
c085, b65f
d2a2, 3034
1f8c, 955a
852d, 074d
790c, 6f6d
ebe0, 440b
f5d8, cf04
c7fc, 0f97
ee1a, d868
afc8, 5c72
9519, 49c2
a846, 1be4
25e5, 922e
404c, 586d
bd11, c9a1
9a6f, c313
5fcd, 872f
980d, e6ed
58b1, 4e9a
a919, a212
5514, 368b
26b1, 6c08
7494, 78ea
9d11, ca6e
cdc6, ccb2
d3c1, 5111
9de9, 84e1
96ff, de8a
817a, 42d2
b4cd, b287
1be3, 5b1a
23d8, 3d2b
a226, fbcc
202a, 5c1d
b8ac, ad2c
3b68, 906f
497d, 4462
bcbc, c2f9
dd1e, 13ff
1ea4, c5b2
c790, 7566
b50b, 35cf
32bc, f0c6
9a2e, 5128
ec6b, 49f2
c172, 01e9
8348, ef05
029e, bb2b
6faf, cec1
cf82, 8b23
e703, 622f
c1d8, 233d
a915, 5de1
845e, 1939
6337, 4c95
a2f2, a4a5
f9ec, 4f43
2007, 01ab
e596, 43f1
24ad, f755
2457, 9d9f
0bb2, 44a6
6ec3, 3eef
f1c6, 125f
1f92, 54fe
f419, 3662
e284, 0d56
cb53, cd55
e7b0, 93b9
4f9d, b9f8
538c, 2be3
cf17, cba7
43d9, c32d
5a96, a8a6
c045, fb10
1cdd, f40f
3476, 940a
fcb6, c300
b27c, b9cc
5d24, 43f3
f6ac, 9550
f3b2, 03c4
f385, e1d3
9c4f, 57d3
2344, 12d0
6a31, 7667
dfbf, db43
f610, a0ec
8afa, a027
05bc, e736
140a, e2fd
f31f, f2da
86da, 975a
f251, 866d
48c8, 34d7
519f, d24c
0b1d, d5b9
e37a, 4e68
629f, 62f5
3ca0, 8ad1
b2f6, 7678
32ea, 4658
0cb4, 31a0
73ec, 7d59
4b92, 0e4e
0700, 3a1d
6a76, 5cd2
5549, 4928
66ef, 16bd
4643, 70ae
3a91, ac7e
a752, f14b
65ae, b707
197d, b4bf
6889, 3b99
f2e7, fdd2
7a71, b517
4844, dae9
7e0c, df00
2dd5, a4b8
24b0, 399a
178e, 252e
7ed2, 8703
4fda, e8b5
1fb1, 65aa
43a9, 52d7
01ac, b906
c9c0, 29c5
2942, 6876
e211, 42f0
f719, 2c29
3268, f717
b077, 6c87
28ae, bea0
7514, 7776
add2, 86e7
b29d, b254
c6f1, f6fa
39c0, 5468
592d, eede
d590, 04fa
f873, 8791
9afe, c9ff
5b86, f94e
7a05, 7287
3d91, 6b58
937c, 423c
0e60, 229c
15da, 152f
8f3a, e02b
f48c, a8f0
8384, 8fe7
b53b, 4ec4
740e, fe49
c378, 5c21
26ba, d974
a34e, 1c58
5a64, be0d
11ed, fff2
2cf9, cf52
c93b, 730c
1f48, c1be
b32b, 9c60
b80f, b288
e8f7, 4b63
914b, 9f43
4540, c469
7bbd, da56
c562, 210d
8a8f, 4e29
75c4, 3bdf
1a42, 1a6a
2121, 9961
1a4f, 6487
34bf, 7072
50b5, ad3b
b922, b919
f293, 28a0
c463, c547
998d, 7717
248d, 25d2
4c8e, 22eb
d55e, 9304
519d, ad24
ccca, 9ec1
0236, 1f09
9ca4, c515
f22a, 6685
104e, 8293
6d4f, fe3b
5965, 397c
1b84, a239
7586, b58f
7e89, 155c
c8db, 43a2
258d, f9b8
815d, e622
3777, 534b
bb49, 470f
93b3, 3654
84f5, 3c49
a2b7, ffdf
a38b, 96e8
fdbf, 0665
ec53, d331
b09a, b001
3a12, 452e
1b8b, f255
ae52, 7f38
1b06, 7f31
3143, 0f53
c676, f334
65a0, 13ba
b3e6, 7df2
b3be, eb52
4ce8, a963
02b9, 1133
52a2, a43c
8377, 8988
e1c7, 7bb6
8df0, 274c
ce05, 589c
cd2f, 0f01
b807, 5c46
14b0, 18d5
973f, e904
c5e2, 9590
14ec, a7e1
6e43, f9e8
cde2, 3a44
7ccc, 45ad
2c47, 4bb5
41ce, 4c36
ad3a, e8f5
47fb, 2058
214c, 674a
c55e, c682
191e, 0fb7
bb62, c95b
cd07, b33e
b858, 8131
6fb4, b7b2
eb70, 527e
ed8f, 42a5
8d50, d481
9555, 01cb
ce1c, 9ee6
2f9f, 55fd
e62e, da65
4cb3, 0f9e
ecbd, f3ae
74ed, 4246
ab77, 6fad
3b1c, 3b20
00b5, 4592
8962, 3fb4
3554, fb35
43a8, b42b
7156, 3132
a381, f618
b231, deda
8dc7, 0a98
8838, 30d5
6375, c3a7
9069, 5684
b660, a26b
39d1, 3e72
e8c2, dedc
92b2, 7b12
28a5, bd5f
bf06, 5906
773d, 019e
e605, 4990
f401, 32e2
c1a3, 27ea
a041, 51c2
5090, 99ce
36db, 5dc7
c268, 81f1
bc0a, 524a
3794, 22bd
7fab, aea2
18e2, e4e9
af2d, 363c
0ec9, 67a7
ecda, 6ad2
a69b, 9b7f
bb02, bad6
d74b, dae6
70fd, d9ab
03cd, 999d
4688, a0c4
a08d, 8f54
fad9, 1a99
1a3a, e378
4346, 44ff
902d, 2f24
9ea8, 4002
bad9, fc7f
3e0c, 0202
d212, d800
402e, 078b
2c43, 886e
418b, 73ff
5625, aff9
49e1, 7062
883b, dd07
effe, 8ff8
5fe2, 6117
2ef9, ad37
c25f, 3509
522c, 2ed2
bc37, 0e02
7735, 25be
04b9, b46a
6da9, 3571
716b, 810b
351c, 189d
25a5, dfff
71b3, 36ab
15dd, c101
a9f6, 0ec3
e78d, 75e1
dc0c, a1ab
ba87, 3f5f
5e0b, 21f5
c5ab, e4a0
202b, a4ba
19d2, 6447
e925, a579
fd3a, 7849
603b, b15d
faaa, 3aca
33bb, f01e
1ec0, 80a3
91fe, 0ef2
db9c, 6e6b
c9f6, 0302
00bb, 7ec4
8b14, f0dd
1bf8, f466
e8ff, 1c0c
55aa, 669e
a447, b9b6
a8e3, 4501
1136, 96ee
f5bf, 21d4
3830, e0e4
dee7, ea81
d0d6, ead5
d882, d445
9dcf, 2b28
20ba, ecaa
2ac8, 27d1
f14f, 0fbd
e234, 4370
019e, 773d
bcb0, 30b2
36cd, 17ea
aa45, 366b
6ad9, b172
bc19, 6c9b
77d2, 9fb0
fa8f, a49c
0278, 79ed
cf1e, 143c
b522, d85c
6445, d620
2bdc, 291d
d9ce, 265c
22e2, 768f
926e, 2911
53da, b06e
c7b3, ed03
eec5, 6504
a660, f48d
60d2, 2ad4
93c9, ed9e
55eb, 2e16
6127, 2ef3
09e7, 4de1
f2f5, baf0
f9dc, a983
1f19, ea09
52b9, 701f
8b00, 9b64
afa0, 2b69
05a3, c460
e0a3, 8e6a
1f9b, 849c
d07e, 3f42
dea8, 4827
202e, 8744
ac92, e2ea
4a89, 5704
4f8e, 1412
37c3, 9d70
5aa1, 3aaa
664a, 5085
6fe9, 0eb9
21a2, d860
1299, 33bc
0fe4, 647b
0380, 41a4
aecc, db97
49ef, 767b
bac4, febb
f15d, 30de
ef88, e7e3
e76d, 2ee1
0615, bc61
1acd, 26e1
09e5, 93a1
c1e0, 580f
e3bb, 2e9d
086d, 5e61
e57d, 6fe4
924a, 16eb
0a04, 7091
bfe9, 8d1b
99de, 30fe
3143, 0f53
bfd9, 7527
eb33, e723
d664, 469d
a49b, a30a
3a14, de65
887f, 783f
4d31, 627f
745a, 3595
7078, 69a2
8ff7, b50a
b28c, cc24
46f1, cd7b
f98b, f1e3
ce1d, f887
3360, f58c
b8f2, bf83
6a82, 1cdf
d845, 4da6
a52b, 5b5f
c381, 83d4
ccd8, c0a5
aefb, d9c6
3c45, 1e13
793c, 0307
8478, 8b33
d96b, e3cb
1a60, 9d73
06ff, 434e
b41e, 4e7d
2549, 17c3
b0b8, 267b
59e6, 4446
883c, 59ca
f4f7, 12cf
0813, f96d
96f0, 4fb6
b8b0, 96db
5863, 269c
b049, ccc4
0b3b, 0d3d
788f, 3b26
15d5, a5c1
3ce3, 8f4e
4825, 5543
718e, b5f1
8dcd, fd3e
bb58, 8d91
d6a2, 2b62
b222, 7912
2ce9, 25e2
077c, db1f
cea1, 8804
4b6b, bd23
5c5a, a12b
6ea8, 9210
04ca, f877
9296, eab2
5880, 59bd
0078, 5ca1
4a41, 0a2d
0a16, 1c15
7407, a79c
60b3, 122a
21fb, 3cd3
b3d9, b3b2
7a7c, a9fa
c47f, c776
ad20, 2d98
8262, 4557
8bc1, 0fb9
c960, 2329
0b59, 0d52
5dfa, 3328
7f0f, 0007
8ed5, 5be3
5fa0, 69e5
eb5e, 4c47
fa94, 39e6
923e, 3b62
cd30, d7ed
e89a, c209
fc7c, c21b
36b9, 53b6
0335, ce39
726b, 6fb8
f195, d12a
f91b, 74a8
d71b, 700d
0228, 723b
c5c0, 2d97
a40a, 399e
2b47, 9ef8
16bd, 66ef
8db1, eccb
1fe3, b2c9
5a6c, 5781
2ce3, 3f6e
d2ec, dff8
ef9b, 51a6
4465, bf82
0ca4, 8abd
4065, 7b36
fe00, d2e7
c7ae, 23d7
f52b, 04bb
d9c2, b945
82e1, 1112
79c1, da62
8090, cad0
1937, f294
d10d, 7951
20d2, 4917
f097, 93cd
f992, 7e76
37c2, 25e8
1fca, a633
7755, 87dc
9492, 9286
8519, 91bd
12f9, 5d14
7cb7, cdfe
f8d2, d685
f9f7, f3c7
b2bf, 6bd2
afa9, 85fd
c4f9, bd5c
21b4, 7c13
5869, 4a0c
1164, 50f8
413b, bd01
9430, 179f
e4c0, 1a54
c6fb, 589a
94e3, af08
8871, 7185
4c38, f391
e791, 7922
bcb9, 14b1
07b6, c2ec
22a4, 0858
3de6, bc7b
96f3, b3d3
2325, 38e6
218b, 1453
31ea, 4e59
f5cf, f5d6
1a79, 1d7e
dc53, 538b
360d, 338b
155e, 9934
c46b, fa1c
2b6d, 152e
66a2, a6d2
1841, 149b
4230, 5e7c
e23f, 0add
2a22, ee2c
e551, ced9
c14f, b0b3
04f1, 0da3
6156, 09aa
8efc, 2af3
3343, d205
8451, fc1f
bb2d, f05d
8fff, 5d76
5ac7, cb96
cf41, ac3f
b21b, 1a57
7028, 2fa8
1aea, 67cc
454e, d88c
4ff9, b832
7672, b836
f81c, 5169
d6b1, 0c28
8330, 3a88
7130, 5a88
dd21, 9b1a
f49a, dfeb
6444, aea3
ebdc, b314
e9c0, fe22
0b45, 0d32
4448, a489
ef5c, 86f8
5dd1, 4c20
bb0e, 78c0
c9c0, 29c5
95e5, db21
0535, fe41
6a10, 45bc
1bdc, 6f2b
5c5b, d404
a400, 0599
b66e, 6a69
51e5, bba7
5948, be29
07b7, 44c2
baff, 3dac
775d, cfe4
49ba, f691
e6f9, 08b5
79fd, c1e2
b930, b186
eb82, e06b
e0cf, 1c8c
81a1, e970
86e3, 52c5
48cd, 34d9
33f5, f684
6357, 9157
4aaf, f9d3
c363, db3f
709e, 570f
321a, d913
05be, ac05
f70d, f00f
e57f, d98c
e3ac, bbcd
5ab7, 16e3
6847, 344c
215f, 1f72
c78b, 8796
4086, d4b5
be09, fe86
1372, dd8b
3462, 4f64
0800, 00a7
ea3f, 6030
8eba, b5ac
510e, 3807
7242, 6b28
ece2, 92f0
8f04, b943
7796, 6b1e
575b, 3152
cc86, c9f4
5bf0, 5434
42c7, 1a1e
484c, 5220
25a0, 2a50
f280, 3481
1f0f, 6e48
fbde, 6c72
7083, ae5d
4444, 91af
155c, 7e89
79e9, ae28
9c47, 4169
3175, ac6d
f755, 24ad
1f8a, c68e
4f43, f9ec
cbdf, c595
7f30, 5cbd
be1e, 31d6
d4ed, c885
7ec4, 00bb
ece1, 3732
df99, db22
1aa4, 454b
58cf, 2a26
19c7, 615e
25eb, c11c
4f0c, 1cc2
a52d, 8474
2473, 5eba
c6a6, f0d2
f94b, c25c
8fde, dd9e
76aa, b042
3f65, 58db
753d, cde1
3514, 9b71
7076, 0cae
a561, b648
8e2e, 26de
e8b4, 5dc4
f6dd, b645
4f5e, 4338
4854, 9814
3382, ab2b
320e, a3fb
068a, 6bf0
0ef8, 93d1
20b6, d4e6
693e, 6309
0423, 0645
280f, e846
e3e0, 3d3f
e7e9, 9e08
02da, f9a3
c113, 78ec
55d4, 2082
3c84, 31c0
f43f, 8fce
9a5d, f966
cb44, c943
ee99, 4e3e
bbbf, 361b
24fa, 3b71
d5b4, 2ead
f689, 0897
b82d, f807
492e, db40
ed55, 22c5
78fc, c099
11ea, a1ec
a933, 02ff
0e83, d6f3
b41b, 53af
99da, e90d
efd3, d093
ef4c, 0a0a
568f, 89a3
5f2e, d58d
f982, 6e51
e7f1, 496c
d9d9, a615
a548, 26cc
9667, 7dd5
d112, 9681
a897, c384
ec5c, 1716
e054, 5e30
9664, aaf5
f4e3, 6e89
3ddf, 3ec6
fe52, 6353
b17e, 0183
32f5, 3e32
71fd, ba4d
80c3, 9c68
812d, 1003
e526, 4980
0967, 0264
d8ee, 3e88
7297, b4a6
8128, d783
03ab, 7d1a
4cc3, c935
a0c0, b58e
1f82, f488
c5ee, 5dd0
674e, 665a
1881, 50f0
64bf, 6ab8
37da, 2bac
6077, 3bf6
0190, e372
a6ce, a3b5
2ec8, 46f9
6f55, 37c0
6da8, dc70
e81a, d453
a0ab, f227
68d9, d073
637b, 0674
8c2f, 5ecf
20d5, 8ab3
8b0c, 767c
7c4a, 6b70
4ba6, d168
3ff5, 2b37
cfca, a32c
1b5b, 8271
7df2, b3e6
6579, 3a37
53fb, 9c5d
ed20, 8d89
d4d5, 7eac
7cf2, b2d2
1b56, f20a
467d, 57c5
34da, 6eb8
4710, 3ad1
087a, 29b8
d23e, efee
c5ce, a6c6
bc3f, cf81
a0f5, 96ae
563b, 1e62
837e, 2bd5
58b4, 9c6c
2bc0, 19b2
31aa, 77e4
1468, 814d
9359, 9c44
2fae, 4a6c
6a46, 0787
712e, b1ff
a17f, e22e
e2b4, 5178
56b4, d767
152c, c427
4609, 9d28
6f2a, 179b
01d1, aa55
d13e, 7f43
a42f, 3199
4418, e587
d969, 4104
33ce, eb39
70f1, 52ee
b8f0, 6f8b
5f8f, e303
6a97, f3e5
5e2c, 0faf
9986, bd9d
cb19, 8a9f
c577, acb5
2625, 8853
4abc, d1b1
94b9, 3ae2
bb33, 0990
1dcd, 3a87
5644, fec8
2756, eeb2
4e39, 4e52
60ff, f1da
e86e, a3ba
31a9, 71ec
0ccf, 1515
ee84, 1d50
899a, 0b05
8c0c, 9396
62c3, 9540
bafa, a047
2b84, 7110
a517, b929
6eca, 6614
a7dc, 428e
e096, 606a
352a, e913
6a84, fde7
5549, 4928
dcc9, b4dc
c999, 99f1
2ae2, ba2a
403d, 1f6e
741d, 8826
fcba, 3657
1a8e, 3496
35a9, bc4f
5137, 6965
d8e6, a007
c11f, ac39
ab72, a113
728c, 611c
18de, 3a94
b151, d994
8f99, 4037
4bb8, 3dc2
32cb, a1a6
4f82, d25e
2dfb, 1baa
ffbe, f2ec
e474, 57b5
260e, 6e63
d735, 5f9e
16e7, 00ea
3e68, 23c4
0735, 0348
88cf, 579f
096d, fbd1
d993, 5613
c3f7, 6ad3
1a1b, 747b
249d, dd57
15d4, b9f4
589d, 67cd
6869, 514e
ef12, c00b
ca0b, 1ef9
d61c, 13b8
850f, 43f7
e80a, 3c79
1da1, a8cb
1646, 7754
febc, f8dc
2ec6, 5d57
c631, 9386
f844, 9d6b
6aa4, db0a
ab58, 1d56
9d91, 2350
5127, 82c6
ea5f, b10d
a86f, e194
78e8, 6a0d
4427, c844
1c32, 1e8d
db89, baed
41ff, 5925
8fac, 6c92
a646, c63e
9568, df08
f19f, c0eb
0197, 0a94
85bd, 4f30
6fa2, 316c
d4f3, d7f5
7a86, 16e9
3182, 642e
a2e2, ef69
55b2, 1c4f
8286, 03bf
4726, db4c
c8e0, c970
a10f, a2d6
a6da, d271
b5d7, 7f57
e5ce, 1e82
2611, c33d
0615, bc61
6b46, 7a02
a880, 6d46
28eb, 4fbd
21ec, 4779
4bd6, 8e3e
9b0a, c8ae
e7db, 1733
a784, a33d
8a8c, 2749
6ad3, c3f7
5f0c, 80ed
97fa, 139b
1898, 27e9
b614, b081
0e74, 5454
d1a9, 3396
cc17, e01c
87f8, 844e
bc62, 1f9c
499a, 173c
e079, 58e5
a144, 9495
6ac3, e1b4
8978, 4182
bad8, 4fa5
6036, f7ec
80c9, 3b3e
beaf, b866
4c5c, 7716
3219, 901c
2263, 69a1
5bf1, 33f7
daee, 9f54
116c, 2209
1fa4, fea2
d5ff, 46c6
1a9e, 1108
827b, 8862
ad88, 9a2a
5bfc, 0077
39d4, acd9
64b0, b1cd
4950, 5a83
7154, 2bb9
869b, ab69
ad48, 3912
606b, 0f71
df27, 88a8
3395, f03c
194c, 0656
b2a5, ddf0
3eb3, 3dff
e3f3, e00b
514c, 51e1
85b9, 9f23
ed51, dfe7
9ab4, f6b3
976d, be95
a24d, c1c2
c157, 2648
6027, 2c01
8bb7, 9823
3a1e, 366f
768a, ef47
6d16, a707
3bb6, 73a9
6419, b33f
1c57, b104
86df, bf25
e0a9, 2cd8
10c1, a4bc
e3dc, 539a
aabb, 13e3
ac65, b192
b374, be5b
9ab8, 9b87
b5ca, e5c4
b4ff, 4836
474b, 9a34
355d, 74df
9eaa, 520c
5db3, 3711
ae5f, 548e
9b4f, 97ae
57dc, 7376
a076, 6d1f
2c7b, c56e
354c, 8269
5a70, 35e9
2f12, 2ae5
c8d8, 2c02
03e1, 2912
8da0, a350
6050, 6e3e
44c5, e599
ba6b, 8187
bfc0, 87bf
006c, d143
f06d, edc1
4546, 40a7
85d6, 2216
33ba, 3f9b
5e5f, 97a3
3ded, ba64
ef4b, d015
c62d, af0d
e799, ebb6
c295, 5e8e
754c, 1abd
c9bc, c2b0
47e3, ccfb
4f9d, b9f8
cbee, 0704
c12c, 9530
3113, a54f
cab7, a7aa
20e6, 484e
e55d, ed44
f78a, cdd9
a98c, f12a
1a53, 42af
3ffb, 6e64
7ac1, a8c3
88ed, ea4e
4fbb, 94d2
25b7, a24b
bc70, 6ae8
80c1, 8bba
5240, 4774
7151, 0429
84cb, ec2b
747f, 76d4
9a30, 222e
b701, a956
646d, 647e
8e7d, d454
230f, 97a1
b1a1, 794a
d423, 2198
92a3, 40f6
21d3, ebd9
22a5, b3db
2e05, effc
aee1, 69d0
c2cc, c9c5
4596, e9a9
675b, 6921
c567, bd96
972b, 8292
3bf3, 3990
1d85, 6f9a
e504, 3e13
db0f, 3434
f37a, b536
2c17, 50ee
31a7, 6cd8
5eaa, 17fb
6c0a, 074e
5add, 1191
4ad0, 4061
1309, 063c
75c8, fdce
f3f1, d0f3
cc01, 6ff9
8cfa, a578
7fb1, d831
87fe, 1aec
2d4a, fc79
8f3d, 547c
c20a, 6347
9714, a692
60b1, 45cf
696f, 3002
5b4e, 5d48
0263, 3154
ec74, 4865
2e75, d916
a590, d005
5127, 82c6
c973, 427d
a050, 92d5
32fa, fe55
a304, f55f
ea4f, 2991
cf2c, 1d6a
dfe9, 27e8
495c, e8a4
5cf3, 09df
da1f, 295e
5107, 396e
b049, ccc4
60c9, 56aa
cd34, cb37
47a7, 8816
9d4b, f8f7
2db5, b3ce
b6b5, 5a7b
6e8b, 410a
ce08, d1b9
e2af, aa35
c4b3, 5b39
83e2, b873
66ba, 198f
e07f, 2119
d4b5, 4086
baa2, 4621
f8ed, f4e4
a94d, a053
a610, a51a
1707, f23b
f6c8, 0ad2
3d68, 2a3f
e6b0, 7bbf
2bc6, 5839
e63b, bd6b
0472, 5820
1896, c246
fada, 7018
b37a, a7d6
7882, 6843
c298, d27a
adb9, 156f
4cee, bb16
c480, 08f0
560a, 4435
bc95, 3653
fbbc, 769e
ca56, c15f
ceac, f00a
ba05, 9c3a
fe5a, faff
654b, cdc3
ed09, b365
996b, e707
b98e, 08f6
741c, cf2f
b576, c464
b2f2, 7b70
f6b1, 5920
650b, b0d9
63e4, 19cc
af45, 4450
f07d, 62f1
41b0, 6ecc
0847, 627e
6900, 6083
ed3c, 2837
f202, 49be
29d8, e502
fda3, 15df
e849, 8f83
58a0, 575d
458b, bb92
654e, b88d
fede, 964d
3b8f, a6ad
ca66, a6b5
42bf, 68e4
d8c5, b8a6
dea4, bcc5
9581, 88b6
21be, aed1
c00f, f894
c287, 15f3
670f, 7397
e1f9, 32eb
1212, e86f
6a74, dc4c
a3c7, 23f3
98d9, e7cd
dc1e, 5758
aa6a, 6f8a
c372, 73c4
92b7, 0105
130c, fe21
02a3, c97b
95c4, 51d7
6ada, fa53
e001, 2480
290e, 3168
ab01, 5d79
35d1, f59f
2704, 9a89
0894, 1277
2f98, 051a
39e8, 398e
f619, 1a38
2e76, 5924
6e4f, 69e8
f239, 8c11
b1d5, ece5
c190, 66f0
1089, 150f
8664, 146f
d0fc, 1f56
9b1f, efda
097f, 4a87
a1b8, 97e1
c318, 3511
7a28, 111f
c02d, 7622
091e, 7f4b
9d62, 79d1
d1a3, 6e24
fadb, 52fe
ef35, 00f1
1527, 1dcc
7b9a, 79e8
f220, aed3
7a52, be04
3b3f, 1b19
3c94, fafc
70fb, 8673
0353, c386
51ad, 1dae
13aa, a035
29aa, 9aa1
ebdb, 422a
c066, 8558
92ff, 4382
8c1e, 5847
18ef, 8cf5
3c0e, 26cf
7785, 2518
204e, 0293
46c7, 14ea
8ab2, 8298
bdbb, b41d
0c7a, 4beb
6980, 2934
eb7f, a2ad
22f5, 92f3
9666, 721d
e839, 16f7
6f38, 6b44
17d8, 45df
5f4a, 0239
a9e3, 7343
dcc4, a5ba
dd1b, 5490
0eb5, 3600
ca5f, b420
d67a, a23c
3238, 8b76
c687, b78e
476f, a247
3705, 09b3
f74d, 2e70
cfcd, 025f
610b, da68
b387, f289
030c, b32c
0ff3, ac90
0341, 164c
e135, 548c
2d5c, 9812
c6cf, 8bf8
77b6, b4bc
dfdf, 282c
d9fa, 424a
8901, aa33
ff3f, 1094
0809, 2daf
2474, c96e
86ef, 1e44
dc8f, cdbb
03d1, 59a8
f13b, 8353
15b1, 9010
a205, f18b
f87c, 9c95
3fb8, edfb
37d0, 87d6
a78a, fd42
330e, 3398
3ed8, 3a82
2347, e158
9d76, 5e52
0840, 0c06
7f83, 50c3
5b52, d228
37a8, eafd
2099, b0a6
44fc, 247b
7d2f, 1727
5d73, 85a3
4bc3, ef2e
4037, 8f99
1638, 1c8f
aff9, 5625
ac26, 9ca2
69c0, 0c6c
fbd7, 550b
169f, ad46
efcf, c27a
a0d6, 0f87
bea5, 59c4
b09d, c8f6
39bd, 97d5
45ce, dee8
eddd, 810a
37f7, 729f
1604, a8f9
d2fc, 647a
bc85, 2272
6959, a01e
6806, 5e77
d566, 6b2b
3640, 0653
9a4e, 9f50
d3d0, 9484
55f6, 2e0a
6296, a8e8
860d, fd2a
eb0c, d23c
aa7c, 9a0f
bf39, 315b
5a9b, b06b
e62c, 238b
05d8, 5d1a
c4f7, 71cc
65e6, 6c8f
700c, 7600
9c03, 0552
61c7, 99c1
e888, a886
f1e7, 6f56
3e8e, 0f35
87b9, 8a97
db2f, 6bed
8f9b, ab50
4caa, 961a
413c, 0f79
0577, baa5
8ffd, e9f6
a982, 4378
efa4, 2780
d8ee, 3e88
8a4e, b9a2
be6d, 95d5
7ceb, 676d
c46c, c120
7064, 9756
6be3, 069e
2567, b688
f315, 0746
ce6a, ad21
28b7, bed3
0c78, ff8a
fcba, 3657
76d3, 02f7
8bec, db95
56ab, a6a6
863e, e7f2
1506, 8a37
f5e7, 0acf
14b4, f1d4
5e30, e054
fc55, 9c46
369b, c1a7
8736, 54eb
6078, 6c36
99fe, 3075
c488, c59b
26bb, f80a
ec91, 679e
66ce, 610e
f5a8, caf3
7663, eadc
f8fe, b7bc
feae, 6fc4
a0f7, ca3b
3711, 5db3
3fbb, 0781
c93f, ae6c
7356, 2719
ef27, 9278
7458, e4f3
954c, e7f0
e789, 9255
89e1, 7639
43df, d417
bd89, 16c0
d24a, c1ca
a379, 54b1
0d60, c477
1b64, 4503
cc76, f9eb
c9bb, 67c2
eb1b, 6d31
6ed5, 726c
70fd, d9ab
91a6, 5e4d
270a, 949a
5e52, 9d76
32f4, 4aac
ff6c, cd53
89cd, 3e04
79e2, 3844
adb7, 72b1
cd28, 53a2
2fe0, ae7d
4647, 1dad
5776, e3d6
2fb4, 0d8f
738f, 6026
c63d, 5ef7
275a, e0da
8253, 8339
62df, 85e2
dbbc, 6553
8e5d, c8b1
747b, 1a1b
36c7, 0434
025f, cfcd
e405, 8372
54b5, 9135
7880, 12bc
f7fb, 4f20
90bb, 14cb
f920, 33f3
e161, 6261
d36c, 2c59
90f7, f16d
8b77, ea53
784d, 4242
0eda, b9a9
8eef, 7550
5efe, 20c2
12f7, 3298
ecaa, 20ba
365f, 435b
a180, cb8b
30a7, 68dc
fc6f, 301d
186a, 44df
1853, d972
b24b, 720b
810a, eddd
3846, f742
64ea, dccd
503f, a36e
2c08, 3ca7
d748, d44e
98ef, 432d
573a, dc74
1b33, 7a2e
d73d, 67d7
5afd, bdcb
b769, e180
1bf4, 288e
4559, 62b6
b469, fed4
2394, d46c
6b87, 669b
