95d2, 2e96
6248, 7f23
f5d4, 9d7c
ac40, 7572
ea59, 8e78
5b2b, e477
1b15, 83a3
d911, bc8b
2270, 4a34
5951, f512
d92a, 6b26
f5bb, 0d3d
ee57, e471
9d0c, 6dac
7c9c, 53f0
f9b4, 0d20
160b, 2dcc
195d, da87
180b, 5488
b260, 3c24
c938, 41c4
a640, a161
81b3, 74a9
5093, 9811
06f3, 91d4
d405, 4c67
de70, 7aa3
f2b8, 4d8b
0ef4, e60a
21ca, df67
aed7, aa49
2b95, 3750
f5ae, 2aee
b40c, 80fa
e75f, 8d9a
4819, 89c7
de8b, 3fb4
40a6, 86eb
d239, 8eeb
0ca7, 385e
cf09, eb67
177e, 0a42
529c, 3422
a735, 4fba
4b2b, 5570
fbd4, 3de4
2a61, 3e2c
05fb, 647c
cc0a, d8c6
300d, 3425
f399, cbbf
e94a, df8e
c1e1, 6f03
874a, 1da3
cf14, 1b2c
defb, 2c43
edd1, 9b17
56ca, 13f5
f43b, 003f
52a5, 625a
a640, a161
62d1, 5358
0f1d, c8ec
b373, 7854
2ad5, 7059
acab, d068
2125, d313
5f87, 0ce9
d962, 5f00
069a, 2918
bc85, afa7
9552, 7e39
8ac9, 8234
688f, 9bff
820f, 2399
7420, e79d
37e2, 3ee4
1c54, ce1e
32fd, f374
a490, 2b53
7375, 1055
5f54, a40e
ce71, ba93
dea6, e5d4
789f, 7ac3
b30f, 6c15
e8fa, 4f12
e424, 4ed8
06cb, 1e5b
1953, 1c3a
5608, d710
d9ce, 8cd3
f3fc, 81a3
fc51, 0fc1
369e, f39d
24ad, 7c72
bd9f, 2982
1eb8, 3084
76b5, e9bf
e975, ac27
656c, 4c2f
4637, 5c5a
20a0, 957a
b54f, 5709
b493, df61
50dc, 885d
5bb7, c23e
2192, 59ac
bd8e, 8a82
7d9e, 1e9e
0eac, 7d49
b9fe, 5f16
5772, cd04
c240, 91d8
3bd0, 37b3
5787, 7c28
0f32, 4811
992e, 5441
daa5, 5295
4b09, ea45
3ae2, 6e24
e3c5, b684
9341, 19a2
84ad, 2f64
1081, 6aa3
b469, 1e9d
281c, 3990
b18a, 99ec
ed4e, 9d31
86c2, b51c
c0bd, fa53
e1b3, 1eb1
3ea6, 14ee
d12e, 9838
72ae, 8986
192e, b3b7
7b5b, ad0b
14c3, 68d7
be11, e25f
de95, c8e4
fab4, 9ade
5c3c, 5c3a
7c3c, d37c
66a8, 48c5
b076, bbd3
14a4, 5e78
c1da, 0e40
9045, 58f4
f5b6, 8c29
a878, b55f
5c06, f79e
483b, 7666
bb09, b457
171a, c923
272d, a5d8
193b, afab
865f, 3966
2bc3, 6f44
8969, 8cd4
31b0, 6966
d120, ec14
c8b8, 4999
34f9, 7b55
aba4, 7bf6
03ec, d1c6
2c85, b5fc
da0c, ba7a
9cbb, efb1
7011, faa6
3251, f0c3
0359, 8dc9
ebe6, 526e
44b7, 0bce
db65, 83c4
e69e, 6993
359f, fd39
27d6, a30d
cbe2, 3607
3668, 2675
a369, 4902
342c, a40b
58ae, d926
763c, 5c45
8b15, a7b1
5ea5, 6ceb
fe19, f2df
b87b, cbe8
b382, d24d
8a67, e89b
9007, 5861
b007, 682f
31f8, ab94
e29f, 3731
368d, 5d3a
02f8, 4059
59b4, 3a93
f8ce, ef49
c82c, 3995
a416, e330
4505, f9a6
ee28, cb3c
1434, d24a
596e, 4771
b918, b217
d854, 64e3
5fa2, 482f
1fd0, 6da5
b7af, d54b
e622, 1384
d810, 055b
3bba, 6c59
1f87, 09d0
5163, f407
b7dc, e293
73d9, 2245
1341, 2be4
fc30, 750e
29b8, fc66
5527, f125
3052, 44cf
bf29, 1b80
0b2a, 926f
9f6a, c079
1678, 4052
2240, 53b1
dbc7, e8fc
b465, 920d
f41e, 38e2
5231, 6758
1096, 88cb
34c9, ebb2
19b1, f1d3
ca57, 33c5
1317, b749
9824, 9c6b
e24f, 4a18
6edf, 2df1
43c3, 94c4
8178, 1ecd
d429, fad9
0270, b283
85be, f1f9
cc81, 11f8
ab4b, 9a7a
9a4f, e52c
bf0d, e6bd
b8f7, 079d
fb8f, c416
ca7d, b422
f348, d065
ed5d, 52a2
485f, 400b
5791, 940d
9d4e, ec7d
1ea3, a0f1
f0c5, 1f39
5a73, 7b24
5352, f2cd
2909, 6abd
62b0, 78a0
6055, 5ea4
fbaf, 089f
f0ee, c2e8
b3a6, fa1d
bf17, d1d9
cd6f, 4129
4abe, 88ed
b151, 3cc8
3e54, f31d
2b6f, eeb2
f421, 3a79
2859, 3756
38c9, 0756
4480, aac8
0f45, 1a26
1011, 3e8f
331a, 70be
ab5a, 2ab4
b515, 8d33
4026, 6881
99e4, 0d0b
8f2e, 4164
1323, 8f38
6206, 735d
dc39, c72e
900a, 1e0e
1a1a, ae69
cbea, b9c4
35a9, ff96
025d, 0817
0452, 5c8b
cf58, a826
49a2, e592
e6e7, 8739
70b7, 17dc
c606, d056
9419, 9ccd
31cf, deb0
4393, e1ba
eb22, f61b
7535, 8ccc
b910, 3905
dc35, 4a43
dea4, 7536
78cc, 3578
78b9, 47b8
e699, 8479
1387, 8d41
eacf, 3b18
2e1c, 82d5
779c, de06
9aad, fa98
5ab3, b9ea
30a1, 986e
c530, b318
98e3, bec6
18d6, c7b3
4704, 618b
3c27, c7f5
b98d, 7665
da7b, 9607
4579, a0b6
d86a, 48a4
d892, 0f4e
6611, ddce
d379, 3477
6ad1, 0c60
8930, 0150
e98b, a3f8
2411, 3ead
1d56, 4dc5
06fb, c469
4671, 252c
0374, 6116
0b6f, ab8b
d556, 9543
9c44, ffee
b992, 64da
af22, 17a0
ee08, 236e
ab72, d17c
f0ad, 1bca
1b09, c5e3
9dc6, af96
daac, 1fb8
5be8, e017
190d, 1bc6
59c5, 9d10
2a06, 2db8
57d5, 2b6a
2b9f, 10dd
30fc, 79c6
292f, 8629
fbb5, 3349
d409, 1bba
48c2, f949
b4fa, de44
4735, b2c6
6858, 7698
46d1, 12da
4ffe, 00d0
f4e8, 4751
72f2, bd7e
607b, 175a
918a, 3336
3e68, 18d3
dae9, 83cb
ed84, 64c2
567b, 99a2
52d6, 3018
d919, 0eeb
bbca, aa7f
297b, 5df9
32e3, 1fc2
f5c4, cedc
dabe, 1d43
d029, 6f69
aedd, 47bd
b45d, 77ac
1563, 1853
c204, f369
dbe1, e200
6b44, 4dbe
119b, ca1c
87d7, 4818
9f9f, e7e3
f174, ecb8
e926, c7d6
581f, 93b9
c12f, e97e
b02d, 4b76
c3d3, 3345
4fa3, de00
c70b, 123b
e441, 3454
a126, 728e
e67e, 0693
20e0, 83d9
d460, 1cd2
e680, 7394
8b90, 20e8
4131, c705
47d9, 3eda
95ec, 1fdd
e95b, 51a2
0c11, 80ed
2a0b, 0648
2cdf, db16
cb37, 9aa2
cb1c, ccaf
e1b6, 79f4
71fe, 53f2
2ce2, 4bd5
c2c6, 956e
d9f1, a736
bf0c, 5040
470b, 0129
eb23, 46a5
8a12, a993
9638, ef14
e656, d48a
8961, c269
3162, 3a51
a2b3, 6aea
368b, 5b94
7594, a95d
0bd7, dd5c
1294, cf3a
ff7b, c3b9
2621, 3437
90bf, 762b
c738, 243a
b722, 3683
4ee3, 54c1
19f5, 6176
1dcf, 115c
7a04, c66e
7ab8, 55a1
d002, 5905
92f4, 6f24
b555, 89f8
914f, ff04
5441, 992e
c62e, 90b7
77df, 516e
ab17, fb5e
829b, 7399
3dae, 2bc8
fd67, 6da2
aed0, 7e1c
3b2a, 69c5
4f69, e2f3
c076, ba22
2b5e, ca2c
2474, 583d
89f6, c5ec
0ee5, 1200
2ec8, 3c61
efc3, 9c52
c0c5, b6ec
105d, c719
efc3, 9c52
896f, 32b5
b0e1, a998
a051, 37b1
6622, 7c8a
1a28, 4a19
c7ee, 2bbb
cd06, 3529
2260, fddc
9846, 1d0d
5424, 2326
715b, 5487
bfa2, 1d3a
351b, 4275
eaf8, 6453
0bfb, 4c13
7a84, a9bc
4450, 8e3b
6690, a672
38ee, ba31
ba59, 6eed
bb8d, 2244
2c73, 6585
0bbe, 7639
13eb, 802e
3381, 3986
76f7, db2c
f7f4, a1cd
19e2, c6e1
fe3f, 37cd
b7de, 1f2f
972a, 0bec
c2a0, 67c6
757b, 36c2
bc25, 4d3f
4d45, 30b0
c175, b7c2
2e61, c2dc
8902, a72e
a20b, 0820
ed63, 84a1
2e31, 0175
2454, 56d7
a39f, 9717
b352, 041c
f2d0, 31ad
3e40, cabf
8047, fd06
528e, 9248
4ef8, 7ebe
c0d0, 9e89
d210, e008
29c8, e41a
ad5a, 8081
247c, c45c
7eac, a247
b02b, 0967
f9a7, fd50
49da, 4bbe
9c67, d87f
59d8, 827b
d0bc, 9b6f
0867, 9b97
b639, 5296
a7c1, a6b4
1aed, 958a
d2b4, 8c90
da42, 5801
052a, 2588
9c43, 33da
4b44, de84
d1f6, 7f96
5b3d, 0165
1619, 28d7
0ab6, 5588
f4d1, 02d9
0e0d, ec4a
cfe9, df92
21c4, af79
a050, ece9
5f74, e9aa
6fe1, 2f91
ca56, fdf6
a3c0, f02c
94c1, 40a4
9afc, 09ab
2e6e, 6512
855d, 1f81
4976, fe3d
6ba6, fe9f
8465, b162
c0ee, e6aa
d7f6, 855a
5a0a, 89e3
7d89, 20e3
6991, 457e
ceb1, 02ac
e444, 18ba
9d93, deb4
f55e, 990e
e136, be3f
d937, b390
535d, b143
b20a, a593
9cd8, 7ac8
f5a1, 95a0
bbdc, f114
e805, a37b
2fec, 48f1
2def, 2fa3
34e6, c354
9e38, d98d
6991, 457e
bb93, 9c80
9d3f, 3e01
607b, 175a
ff82, 4bb9
d2b7, 5fdf
b909, 6410
2d0d, 36b8
ad3f, 7e94
12dc, a7dd
10c6, 2ba4
5ab8, 6718
7e1b, f75b
36bf, 4918
4fdf, 2095
186c, ddf1
9857, 93fb
bdc0, a83d
c33c, 5808
0bdc, 92d7
3a58, 2981
2ddb, d76b
2ac9, 9b69
d59b, 0b5f
6c59, 3bba
973c, 9a03
bfcb, 4cfc
2c57, 70ff
f6cd, e433
9d2a, 9242
7e9d, e091
3eda, 47d9
7c9c, 53f0
b2d2, b37a
9b26, 5b40
3f39, c728
b1c1, 1aa2
aa98, bc71
4130, 86b9
0625, db53
02f9, 9710
b89c, 1975
d286, 6e70
6802, 39d9
3362, 4841
d6ae, 836e
e647, 93db
cc7d, 7e37
401b, ace4
6787, 4b13
ba9e, 6e8b
7ab1, 5f53
6bbe, 1406
7aaa, e738
b33c, 678d
52d8, 3f8b
6cec, 0245
c275, a95b
2427, 0f10
4de1, 69ab
f3e2, ece6
11dc, 5f51
6639, e803
35d1, 7733
3548, 52dd
3ed2, be5e
4038, 97cd
999b, 3f24
6048, a4fb
3294, d770
26e1, 1ff1
e86c, b435
32e9, 62dd
21de, f98f
ef42, 1cf9
5d2f, b20c
0f58, f987
28bd, 1b4a
3702, b8f5
df53, 6b68
d6ae, 836e
3ab5, b954
c087, 0012
47a0, ad3c
6004, 311b
593c, cccc
12cb, b154
4221, 430b
7433, 2378
e02f, ff0c
0140, 00e9
5cda, f341
9d0d, 2134
9a9d, 94ad
cda3, 53fb
cb2e, 5fae
975e, aec8
e7de, 4f7b
2c9a, f33f
6950, 6251
58a9, c1a4
9e5c, 71bd
db15, fa35
c0a0, 279b
107f, 5c72
fe71, 4aeb
5512, c2c5
bfaf, c5be
a58a, ff26
91cc, 386a
99db, 9970
63eb, e746
52e6, 05d0
1b74, b06a
16b3, 4b9a
ac87, 240a
a08e, 8395
7ed1, d903
e7d0, 035b
8854, f945
eb48, 619d
af6a, f5e3
2e3b, 35e4
e61c, 6856
3632, 29cb
3fcd, d9b2
ce5c, 89dd
e6a6, d396
3ce2, 580f
f22d, 3c42
0ec8, b868
7c9f, d44f
a19e, f812
3bab, 249a
b68e, d0fd
cbe2, 3607
de8d, 7add
39c1, 2ecf
51f8, c0cb
a342, 01b9
69e1, d672
7c79, ce9f
b604, dedd
cca4, 49a0
9585, 43eb
0a0a, 748e
8cb1, da9f
e1ae, c313
8307, 1299
53fe, 5cf7
9d95, 47f7
a28c, 877c
a88e, 7a27
555e, 8f19
21b5, 1085
af9c, 632b
419d, 7366
5232, 3db8
779e, 2f7b
574f, c2bb
7574, 4602
f16a, c4ae
480f, be4e
66a2, 99ea
3016, db68
5e2e, bd34
d155, 058a
0fce, 485b
9bac, c0f2
701c, 385f
2b56, 9a4b
d0f4, d566
5277, 2c9e
74ec, 9a8c
8fb7, f1e4
e383, 6050
95ab, 271d
79d1, e62c
d0f8, ed7a
f90f, 8ede
3461, 2636
ef1a, 9a0d
021b, bbe4
7769, 120a
94cf, 2349
cc59, 5fed
fecc, 2b7a
9657, 3309
ef6d, 9b8d
9971, 6708
2f2d, 0acc
20ad, 38c4
94df, 9a40
f3a8, f968
5a09, 91cd
894a, 4377
2817, eb95
9733, 8ebe
8fef, af21
5977, 2b8f
4d02, 2632
fe20, f7b1
4449, a8b2
7060, 5590
7bd9, a007
61b0, 04ea
ffa7, 209d
ed7a, d0f8
96a9, 7c1a
6d11, d6f0
509b, dc1c
4ee1, ab15
5df5, 9fd8
de7a, 5334
b76d, 55c8
8407, dea0
0cf4, a525
be25, 5fe6
44c8, d2d2
9b34, 3c8b
ebf5, d1ba
cc57, 88e5
b065, 26b1
fc9f, f4e5
0049, b1f7
841a, 3f4a
0ec8, b868
9985, 976e
b388, 871c
6afd, 8fb3
c6cb, b6ac
285f, 69b4
40d1, 346b
c80a, 0695
68f6, cd66
ed79, 5298
e3dd, d631
086e, fee5
e1c3, 74a3
a521, d6e1
085b, 6e91
dbd1, 7846
b2ca, 172f
59a0, 4660
8ec0, 85c1
04e9, 251a
3954, 34eb
04a2, 516c
15fd, 60d6
ce04, 0d7e
61f1, 22c0
b2e4, 9946
dfe1, 7a18
72da, 72d3
156b, fe07
1204, 4054
71a1, eeff
4fb1, 9ef0
789a, a77d
51fc, d31a
c9f6, 1ec1
4af1, afb9
d423, ee07
9419, 9ccd
cd5a, 202b
8ece, 0144
b467, e89e
a27b, 198c
fcf0, e198
e387, f5e0
1167, 0297
6d4f, d343
831f, cc3a
4d6e, 31a7
060d, a0a5
da15, da88
aea2, 035a
6d65, f70f
baa3, b43f
401c, 72e3
72e1, 9cc6
9be1, 555c
9e6d, 1cf0
98e6, f9ca
2c4f, bdef
693b, 1dab
93ec, e5fe
c025, efa5
4397, 7e82
e0a3, 9d78
9fa2, ca22
eb7d, efc7
d38c, 53c3
71de, efad
2ec8, 3c61
53f8, 2d9d
1c3f, 7f31
396d, 4867
5641, fe3e
848e, 9e3a
2a36, 8ee4
5e76, 2d56
8f97, 0595
8dfa, 48ba
5d8c, 8a0c
eac2, 0555
09f7, 7928
dbea, bc55
bc88, ec7c
185e, ae16
dca5, 4c51
d135, ddb8
af1e, b2bb
c85f, 2d86
a539, 6a5d
dd65, 789c
525a, b513
06ab, cd48
9f7d, 7498
3af5, e231
d319, 8fc0
97ec, 0856
5c8c, 20cf
575b, ba4b
2335, 623b
b806, d229
2255, c503
78c2, 3118
07ed, a6ef
05e2, 69b8
aaa2, 2fb9
b9a5, 7593
b7a9, 1247
1f3a, 7765
c97b, c71d
055b, d810
dbf0, 61c0
74c9, 6f92
2e09, c81d
8b00, adca
d706, 92aa
42b3, 563f
0f3b, 9f08
4460, d01c
1942, a19d
13d0, 9bf1
4967, c342
7ef1, 5e08
e9c1, f0c7
cd69, 9264
3592, 2ede
f56d, 04f9
7d2f, 9f10
8d6e, c35e
5d0c, acc6
60d4, 3e93
3549, f69f
2e60, 5b7c
b7c3, ff0e
a7a0, da6a
a3c7, 240e
2805, 60f2
c9db, f4ba
bcb3, e63e
a8e1, 08b0
983a, 2b9e
206f, 85d6
03ca, 68dc
3a02, 9f8e
361f, 9c8f
ef7a, 51dd
b4d5, d238
ca41, 5fd8
35be, b7e4
65e5, 7505
e8c0, 96ff
0ed7, 7342
3cb3, 7070
c1d9, 290d
da83, 105c
dd8b, 782d
9471, 0d30
f7ea, bdc6
1466, 3e61
25d6, 6be2
dfcf, 8c71
ff97, 8cba
04fa, 7cac
3b3c, 78f7
2cf9, 63ee
31c2, 3d71
ba5f, 8d01
8510, 337a
5fde, acc9
ce75, e8ee
35bc, 406a
0c08, a111
7517, 4793
43c4, 83ea
55d2, 48bd
c653, 0d1c
092b, 33f9
5447, 24d4
8a6a, db03
2e74, d729
4f7e, 6851
7639, 0bbe
d7b4, acae
1e7f, 74d8
bc19, 1bc1
d6f0, 6d11
5876, 89a7
bf63, c458
68f3, 2c56
b1de, 05f6
526b, e95a
b97d, c601
8b71, ca84
a034, 9f1e
b055, 745b
ae7a, 2259
69e4, 3866
ccb3, 887c
138c, c1fa
a829, f2ac
6f25, 37c6
4bfc, c6a7
b5c4, 5b37
254a, 67d2
f43f, fe90
b2e3, a07e
6c2a, 87dd
4098, 4703
a095, dfe2
81f7, c560
73f6, 6ab3
7198, f10d
c275, a95b
08e6, 21a0
52b8, e585
f61f, 4cac
5052, ded5
321d, 77e9
448e, 8db2
5816, 0c0a
6905, d55e
2e59, 77c8
9e91, 83b1
6ba3, 79e5
b208, 68d2
db3b, d173
92fb, 5a1a
3c16, a221
f436, e6c9
584e, ae55
8831, a115
e89b, 8a67
78f4, e14d
e6f8, d959
1282, 498b
bb49, 0a9e
05bd, 919a
adcd, 5aee
4f38, 7888
ee41, aced
50b2, 9ff9
2207, 90a4
69cc, 9908
21bf, ecde
507b, e454
efe7, d042
1c21, c661
5978, 0c68
5c60, 5110
1c7d, 7fcd
b728, 7e1a
93c8, f251
9913, 76e4
76e8, 9b14
2576, 2066
4fd3, 9183
4eba, 5be2
1ce9, 49ee
f2e2, c785
8e2d, 30aa
ca11, fe8a
89c3, 3f26
60e8, db34
150a, 4656
f648, d8f8
f772, e9e8
ecd1, 58a3
a2ae, abe4
4e9f, 78a6
32db, ca3e
e80a, 708b
2493, 26de
7985, 328b
b7a5, d544
feb7, e154
000b, 2374
7387, 85d2
77d7, 0465
bc6c, 097b
bc6e, c5f4
0d32, fccc
a0b3, 5331
7844, 9ead
6c49, 28ff
65cf, 2503
28f5, 21e6
e5b5, f991
ba0b, a503
c072, d85c
0ab7, 8e46
63a2, ff74
1bec, 401d
8133, 873a
6275, 3b11
17ea, 6fb6
2b94, a3d0
d41f, e571
b7c3, ff0e
707a, 2802
54ed, 8434
4d45, 30b0
c149, bada
8520, 3b96
fe29, 3fdf
bf91, e9bd
4dd3, 2b29
6b2d, f3dc
dd81, 53d0
834f, 7fda
9918, 61c2
bfa9, 097d
b1bd, f403
1386, fb75
fbb7, f32c
4808, b498
552c, ed74
4202, f39f
dbba, 6646
0321, 72b2
3ede, 1e08
bb57, 4b6a
90ad, fcae
b5ca, dced
f34f, 3c11
9669, 6af9
8e9b, c782
ef9c, db45
ee96, 1851
3f51, e5c9
09e0, 81d9
0e4b, 8a04
ba07, 8bac
c599, 958b
fadd, 4ba5
afea, 855b
412e, 6201
7bb5, ad15
3641, f6bf
9650, ffaf
bb90, e270
8bcb, 7706
2644, c4ab
fb56, 77dd
3726, ce92
71d0, c261
96a4, 4491
c042, c94e
bc29, f9e4
c605, 0055
4896, 9373
61fa, bcf5
af6f, bcfe
02e4, 3fd2
8c60, 4db1
4734, 88f5
f968, f3a8
7786, dd9f
508a, f6b1
a5f7, 131a
56d7, 2454
69c8, 0e47
43ae, fcd2
97ca, cc14
c1b1, ad7e
3e3c, 35ee
9376, 2ba8
7fe3, db5c
224b, 3a37
e6b7, 65f1
2753, edb8
8db3, eb07
5dfe, 4d01
5929, 1908
9395, 7545
9c33, 1c23
f14c, 7947
5370, 60ee
75d1, 5eb1
761a, 46dc
14dd, d840
1336, e9b7
3ee0, f97d
4857, 92ca
41f8, 9582
3416, cc90
0d13, d5cb
1f3b, 4c6e
3487, a13f
f877, 5bc8
5129, 468d
980a, 3852
648f, 732a
0387, 0978
5bfc, bd48
7cf9, d3f9
d4aa, 1646
0a7a, 8f0d
bc28, 932b
b31e, 4a00
6b6c, a6e8
804d, 91bc
9796, aed2
c0eb, fa3d
6964, dd53
a474, bdca
73aa, c3d5
6f7a, 879e
4f1c, ce36
f872, 76ba
ba24, c035
6d3c, cf82
3cf6, a88f
4616, 63e7
1c17, 3626
fec5, 2a67
39bb, 104f
000c, d1ce
fdbd, 30d5
b557, 39c0
3b53, 1de2
220b, 4a37
4a40, e600
eb11, 8dab
b0f9, 62bc
d731, f8f5
0e91, 083b
3823, 3e48
af41, a0b0
b0eb, 967b
9a13, a4b4
3233, 9655
559d, bec5
cb5f, 3689
51be, c61c
6a75, d85a
5fd3, d497
f8bb, 2823
e1bb, 3a7d
3418, 9ab5
787c, 76e0
bcc9, 2872
90af, 9116
a46d, cd8e
e2f6, 032e
f0ea, 92fa
dac5, 0e87
bb2d, 703b
89d3, c6aa
f13f, 28aa
338e, 3b5f
1a44, e9a7
0483, 701f
901f, 17cd
6f56, 4ca7
876e, 71ea
28eb, c303
a513, be62
b514, bf2b
b2e6, 5d85
c162, 305c
a029, 84c1
6e82, 244d
566a, b202
f71e, b472
17b5, 5246
aac4, a87c
3ac7, 583f
f1e0, 9e1a
67ee, 0cea
2943, 7fd2
a3f0, 0c7c
8b7a, c338
8f63, a4c4
dfbb, 5884
6c64, e809
5550, b234
ac91, d4ec
f7d2, 8e44
16ac, 7b20
cd92, 6f3a
1464, a4ad
be9c, a49b
51ec, af37
a1de, d1e2
e2c1, 4420
e6f4, c30d
6fa1, ac39
802d, dfdb
4e48, f64e
d0cc, 7c44
f726, e659
15ae, 2990
1ff1, 26e1
2ae3, b1b1
ee83, 2c79
ae71, caee
0a6e, 6dd5
8dd8, fbc0
c0d9, 2e20
e60b, d7ac
589c, b487
7477, 1b4f
348e, 5128
4ce9, a500
f053, b010
9c1a, f3de
1cb7, 26d6
2038, 5478
7263, 792b
8e61, 4801
f4d8, ee56
df75, b0a3
59dc, 88c2
aabb, 3e56
4aab, 7e36
4e83, 66f4
f979, a8ea
f5cf, 836b
eff6, c095
82d3, 8c0e
d321, ed4b
43ee, d445
178c, 1e63
7a58, 4bc3
b2ec, 6ada
9279, 5e17
8451, 7ffc
ab85, 7318
1a2e, e045
0c71, c994
6a1a, c027
ce4f, 36a1
0221, 11e5
d5d2, ccb0
d545, d5d9
3e2e, b10d
b15f, 00a8
b0d3, 764a
05c1, af3d
3899, 6c67
5e20, cb80
397a, 609f
69d7, 1fb4
3fe9, f17c
ce7e, 2b74
8a0a, be0d
9f5d, 76c5
2064, 6278
bae7, 5e97
17ad, 56bd
f681, d772
5b47, fdf8
d037, a297
f99a, fdb1
5a3f, 89ff
db1f, 4931
0669, 4dc4
9e5b, 9544
d5f5, 3ec3
415a, a2f3
6a60, 2e68
2680, 702d
db1f, 4931
bc03, ba83
a21c, 7511
c547, 0b7f
4b0b, 6fa8
c505, 536b
3481, de04
d3de, 8d0e
06e3, d800
768c, 7f72
8a70, ad9d
e16e, a1c0
d4fa, 4b71
004b, feec
61ce, 2497
5d74, 71b2
8b5b, db40
7081, 3270
e361, a94d
92c1, 060f
0bbe, 7639
7731, 8396
acd3, 0942
dd9a, da0b
ef68, 4f68
a0af, 50c9
af5f, 8da1
451b, b979
7b93, de53
4c8f, 9270
70fb, 4560
6775, 3e02
67d5, 01e6
0d91, 7a81
3f6a, f056
11ae, 470d
8a91, be0c
1d14, 6d94
51e6, 616c
e5f7, 6659
09b5, a9c3
e0d1, 8cef
4c5f, 5fc8
6502, cc9e
c4cc, c1ac
f465, 305a
1fa8, 607c
acf9, cb61
e3ad, 8e57
5a84, d626
987c, 43e1
f0e7, 03f9
7112, 2a38
77c3, 0682
19ee, 1528
ceec, 0034
30ad, 2f0b
7e3b, ff40
466c, b075
5a65, f797
e9fd, dd06
6bcd, 12a2
2812, 7104
aaec, 163c
7e6a, b8a9
9d48, 5011
2425, 67cb
bace, bbc2
a1a5, 1662
78fd, b424
ae44, f145
3d4c, 829c
74d3, ba0e
cca4, 49a0
019e, 0f19
a655, 63b6
80bb, 2df9
c66d, 9e34
8516, eb18
1740, c7eb
e378, 0cf7
2ea0, 2bf6
cf93, ca46
6244, 6366
e105, bfe9
a962, 67c7
f3cf, 57a3
6031, 9fbb
7598, 1223
aa68, c285
1103, 834a
c0b6, bd82
f5e0, e387
dfab, 75ab
9fe7, 9b7b
534a, 32dc
8b04, ba03
c24b, ce46
dfe2, a095
d8f2, e012
62ec, f039
eb12, ba2e
6fae, a9cf
53fb, cda3
715b, 5487
1bc0, 34ee
8473, 3fc7
57bb, 61d2
5a89, 31db
0d21, 29af
ef90, 43ac
74b5, 75d4
e3fc, dfd0
7d51, d0ec
c4d3, c136
611a, 83f5
0b98, a9fc
a0d1, 9141
a768, f2a9
545c, fcb6
abb6, 6867
dc98, a5d3
e1fb, 9eaf
da9d, be1c
674a, fb71
8dc5, c0e5
bd48, 5bfc
98a9, 2e9d
e86b, f5c2
c872, 5d34
9efb, dd0f
0a14, d15a
fa84, cd84
a89d, 4856
9214, 903f
5d9a, d4b2
e39c, 7a01
e941, 9273
84ad, 2f64
059e, fc21
1c7d, 7fcd
