48ac, e214
eb46, 412c
1b9d, da5e
704f, a9f1
e895, 5a29
de0a, 94b2
953f, f786
13fc, b6ff
20aa, cf63
e71b, ebe7
da20, 8df6
2a7a, 31cc
34c0, e681
a339, b607
0081, f581
751b, 7cca
7e15, f3bf
f1c0, afd5
ee45, 742a
9e1e, 3d14
97c2, 55ac
a87c, db30
536b, c672
d091, f90b
881c, a783
dd5c, a87a
1937, 207c
7d7f, abc6
e83d, 1e59
8428, 4fbf
82b2, df2e
cd45, 7515
db12, eb28
eacb, 84cd
11f3, 983b
011b, cde9
1d6f, a5de
876e, 1798
5c31, 5f33
205e, 55a4
9c58, 269e
6aa1, 77fd
9500, 9936
f398, 8e51
f96f, 566c
6dab, 6231
eb47, 497b
e3e7, a00c
cd70, e9b6
ab0b, 981e
9faf, 20af
8f0e, 2882
e258, e652
62d5, f045
4da4, 87c8
84a5, 1935
4aac, 7baf
1ed0, d25f
dd28, 44bb
a95e, 80ae
986b, cbec
3a2f, c7df
03fb, 0bef
da4a, 1d3e
63e1, 1777
ca9d, 9e07
a26e, 16c4
5173, 0853
3f81, 2cd0
b4e2, 8a12
7978, df7e
37c3, 744b
ce89, 6df7
5856, 945f
7d88, a8b9
bc2c, 7c32
ba3a, be53
f470, f7a1
e15f, d3d7
8750, 4873
9d8b, 9616
db06, d76a
62a4, 0904
9188, 08e2
da5e, 1b9d
6bf2, ed9b
562f, 90d6
2607, f964
6988, 3fbe
eff3, 5d66
9df8, 1e05
831d, efbb
7465, 7f69
0212, 79d9
4e3a, ee90
31d1, 64d1
7d82, 02d3
0092, a24c
ca31, f190
2c96, 0458
91e7, f724
1137, 447d
f91e, f2d2
d448, a7b7
989d, f9d8
df86, b0f0
9ad5, 57ff
f776, 1df8
4325, dc74
2c6f, 2846
c763, c773
0d68, 0bad
08ef, 3c0f
1b2c, c73d
b417, 3ff6
920c, fb6e
6a73, 0e3c
0a04, a4dc
78b6, a963
1ad0, befc
00f1, f681
60f1, 9c4f
d5e9, d5f8
c688, f9b7
fc44, f875
8e0b, 2884
0dfa, 54f6
380f, fd91
8e67, 1a3b
ab0a, a753
5abd, d7ab
c3b1, 9243
24f2, 4f3e
553d, 5bea
4252, 8853
2e4d, d43c
5779, 0bc8
6d83, 67fc
b55d, d20e
538e, 59e2
3cf4, 5b4c
b232, 768c
7cdd, f422
c379, cc64
8f73, e837
3d47, c42b
e342, 2246
a485, 8e7b
cf55, cb4a
2c56, 695a
d2c0, 9038
5d11, afe1
177c, e64d
5d02, 243e
ba19, 8f7e
0c3e, cf9b
3ba8, 2879
bc13, e6b0
65f1, c08c
85b5, 4308
1ae6, 5102
2081, bf7b
a967, d5c8
8ab5, 776b
55ce, 011a
40a8, 9b7f
66bd, 656a
687d, 8d24
df94, ac69
96d2, 5236
66ff, f543
6847, c422
d79f, 4fe3
30e7, 6820
cb81, cab0
e14c, db69
0a11, e923
1bf7, 4be8
e5fe, e082
5081, 07b7
0a5b, b82e
9026, 5540
1a2a, 2a69
a4b0, 8ef3
a6e0, b267
4ce4, d5fb
baef, ffde
1664, b88b
b982, 7fe8
bda2, 0ab9
fb77, f33c
4c13, b252
d26e, e07b
a6ac, ffe8
04ec, cdf3
be11, d7e3
2640, 9cb5
a929, e906
f997, 6692
a16e, eb3e
34d8, 3b17
b5f1, e3a4
c7ea, 097d
2949, 22e4
d0d8, d6b2
0856, 76f0
77f9, ee2d
abac, f37e
22f3, c9d1
73dd, 0ec0
4c7a, e6ca
11c8, 8d3e
6ae2, 7052
2ee8, d52e
35ef, 2645
edee, 7a84
4ddc, dee1
5f16, 61de
7af5, b4b1
372c, 51d1
d3ce, f090
660a, 8372
efac, 39a7
99e0, 30d1
8632, b94f
5066, 913d
0e5b, 53cc
09b6, 66e5
a1f2, 9a02
fd78, 9919
6f8a, fb88
39fe, 5fe4
4d9d, f25a
e565, 5d69
8e1b, 1488
67bd, 9b47
94c9, 0cdd
147f, bacc
2a27, 0118
de82, b8db
45ce, a3c7
fcf0, 9686
53af, d439
6c54, 39c9
98a5, a1d2
429a, 759c
f00f, c660
c000, fcaa
0f78, 7661
9aa4, 64cb
0640, 5c46
a600, eaf6
01a8, 0d64
4ddf, 1ea7
d9ca, b529
a589, 2d7a
ad1e, b44d
8b60, da61
e734, 929b
e1e7, 8724
baa6, b6b8
dc7c, d65f
376a, d686
9b63, 15f1
128f, b6e1
c965, 967c
0415, 9ef1
0427, ea7f
e029, da73
f8de, f719
7135, 76e6
a8fc, 0487
7d4e, 66e3
1bef, 1811
f5fe, f9bb
11fb, 41e2
af95, 4222
cad2, 4bcd
5fc3, 906f
d578, da84
2714, 98dd
23a5, 20ca
55d2, 5a9b
c196, 6d96
11b1, b8ec
3018, 9fb2
beab, be9b
9047, 96ed
659d, f359
660f, a679
62a3, 639a
7752, 871f
6db9, d4c7
e887, 04a5
8b59, 7ac8
3d2c, ca4f
e01f, d902
120f, 7305
73be, 731e
4668, 4d6f
8879, 1e09
e705, 8516
9a44, 86d6
5211, 3220
7f3a, b987
79f1, b79c
d9d2, 421e
c0c2, 365e
2d02, 7d43
36fd, 6ed1
ddc2, 17c8
7c98, 89fc
d66b, 1e63
5988, 9fe7
e37e, e574
78c5, f412
ee95, c705
a87e, cdbb
6cda, b6bb
792f, a0d0
7523, 4c2a
9dea, 06de
f4dc, 5b8a
34c2, ddae
df16, 0d11
321d, f244
7eab, f23c
7eb3, cd02
97f6, 586f
f4c2, 0312
b343, 75f1
a34e, a833
1594, 4dd8
970a, 589a
3886, 5b34
c457, 9d5d
4475, 8319
25f4, 5647
5081, 07b7
e6dd, ecac
084e, fd44
6fa1, 3bce
1150, b835
8865, d465
4ea1, e21b
a2eb, 7f84
9c57, 699d
3033, cf51
0daa, bc2b
ab3d, 8478
9ba2, 247e
4c11, b586
de52, 6fc3
953e, 53a4
23f9, 23e8
60b3, 2fd6
908b, f519
37fd, 58b9
73be, 731e
6bf1, 2e43
67e8, f74e
f048, 916a
5ef9, 2dfd
1460, 8b51
3026, 8147
c3d7, 55bd
9340, 55dc
8926, e0a4
1dd0, 222e
421b, 89db
a881, dbfa
f3cc, 0cc5
1ced, 7687
12b2, 192e
fe71, f8a0
cf2e, 3400
030e, ee91
f8e6, 588c
9738, 08cd
0adb, 60d0
98ef, 2881
5574, 06ce
87dd, edeb
1223, 0dcc
24a4, c203
5e59, f46b
ff02, 5372
3b54, 3305
1417, 8e49
dad6, 257e
f90a, 5eb6
2c53, 0336
0bd6, 1e50
3c72, f269
82ac, b065
7d09, c44b
a086, 85da
7693, 2cfe
e673, 7624
b0e2, 9b6c
a2b3, 08ff
2069, a67a
9960, 7558
cc22, 0019
652c, 00ba
1c8c, d6bf
4983, 169d
1942, 1d3c
3032, efc0
d87a, 4155
d5c2, b374
eb67, e7d1
d39a, ac00
858d, 14c0
57ce, 9d7e
25c7, 1aaf
55ff, 55ef
3765, 3ef5
aa26, 2204
4301, 4f30
3692, f5ce
9078, 62ce
0270, c5cf
05ba, fb82
975f, a8db
eca5, 2992
532d, 12eb
f63d, f392
1ba6, ab63
3578, f2c9
7333, b4ef
ad08, a33b
e6ad, af79
ce73, f6fd
60f4, fa97
11c2, 8e07
ab45, 14d5
6426, 3e41
ed34, dad3
62b7, 03bb
f44d, 0ff1
1df7, c9b1
c8d6, 6aa4
085e, 28a4
cb3d, f644
57e9, 5882
39dd, 2f2d
f1fe, 0b7e
9eb3, 5745
84d4, bc81
a789, d72d
cdd2, 241e
caf9, fde8
4f92, e6ce
ad35, 06b9
f395, 3951
3483, 663a
df0e, 1f5e
0326, c54f
de9f, 2dbe
a0cc, 26a8
bfcd, 26e1
e130, a32a
6a11, 590e
7cc2, e9f1
709d, 97f8
5d89, 3ae2
9cae, 49ec
3ab0, 95fd
cb5e, c8c2
b26a, c5e9
088d, cc35
07a4, 3aa4
2580, 5b28
7b2e, 44be
bb3f, 7f4d
6f0e, e365
cd3b, f8ce
cf77, 0b13
7c6b, ae4b
1d55, 7526
0311, 59e3
0c40, 66e1
1722, 7df9
0e49, 2d48
10a0, 6fe2
a0b5, fb7f
9dad, 6467
f1c2, 7532
c8ff, cae1
6279, 7e34
2431, 3f84
ebe6, 812c
a0d2, ed7c
2295, 2001
e473, 3994
f588, 6089
fbf5, 6480
5abc, 1ffa
0133, fd05
e13e, bd0d
1545, 7626
b568, 2a3b
4ca5, 8f15
2695, 16c8
e3b0, ecf5
ecf5, e3b0
96e8, 153f
96fd, 3c8b
ffc5, 6b1a
ef53, 893f
9746, 5423
ad05, aa33
7868, ebc9
4bab, 87b1
85f7, 8d90
d698, 8399
df30, ead1
a0f7, a0ed
6b5f, ca35
abf7, 22e3
34f1, 00af
def8, 7a87
c598, 255d
0a17, d934
9505, c708
e13a, 792a
5184, 8405
05c9, 507b
4e0a, 98be
6418, a8c6
ea03, d861
42bf, 7a71
3807, cb37
7154, af56
877a, ea95
f47f, 6e76
388b, 61b9
279f, 5e06
a223, e316
e7ee, ebe9
feef, 0afc
a6e6, 79fc
60c0, d3a9
2c07, 03c4
7746, 8415
f799, 3553
0376, cf00
6de0, 093f
a8e6, dd32
03e7, f2eb
f205, 94a7
95c6, 3eff
8443, c86e
79b7, 132d
fa6d, ebb3
b125, d82f
da3d, 0d42
bbdf, e2cf
8c60, dc1b
2524, 09d7
809d, d23e
82f4, 83fb
4cc2, af58
13b9, b228
166f, 426c
0f85, f2e3
add6, de1a
f8a5, a31e
1389, b2f8
a243, 83f6
53d3, f6d6
c110, 5ca8
8031, 6da6
a9ee, a83f
435b, a072
fcae, 7da3
87db, b8f2
4a07, f437
4ba7, 472c
97b3, 388a
7f17, a91d
92fb, 2984
08a8, 317b
066e, 959e
e3d3, e2ec
b519, 5fa4
c094, a85e
b11a, c353
b248, 72f9
9b7e, 553c
6808, 830d
7973, 1fa6
8e57, a739
38a4, 80a4
25eb, d00c
b36f, 7af6
2766, 10a8
8b61, a1a3
9096, 1e07
a419, 687f
0d3e, 6762
a744, cb7c
dc84, 45fb
7905, e366
da8b, 80a9
1424, c191
557e, ffce
dad4, d7fb
f7ca, 2d53
a145, 949d
d297, bf13
0336, 2c53
55ab, 1ccf
8c5d, ef09
0357, 4c31
d35f, e445
a8e7, 72a2
ba44, 0b00
f960, 25a5
bab5, d797
b669, 5506
2e8d, 9818
c1bf, f267
a8ad, d115
7595, ffbd
0c9e, 2594
8e11, 6d1e
8f96, 13af
6858, 236f
5acd, f477
a87a, dd5c
c1e1, 61ba
397f, 3203
c5d9, 318a
1234, 13b3
c9e3, f448
3311, 048e
6187, 6d87
e346, 4526
ae92, d73d
ca35, 6b5f
357e, 777d
f3e6, 0a8d
9665, 9eff
4028, 46de
8b41, f40b
9a3f, 9105
9e74, c355
e721, 7e9e
d639, b7e2
0963, df37
a84c, a57a
1f92, 4099
b247, 53b4
7b8c, 848c
5b87, 2488
e947, ac01
8f0f, a9d8
6ba2, 5a37
d991, 4d2c
c454, c1cb
8734, 7e8f
c136, a005
4193, 44aa
d4b8, 7bb9
d7a4, dd6b
d1c0, b5a3
a1ed, ebfe
488e, e7f9
8e48, 1be7
974e, 04b4
e6fa, e3bc
3e7c, 28ca
4398, e607
1d3f, ab35
36c1, f3c5
e9dc, 8685
ddd0, 4e81
f945, 0dfd
daae, 4268
9778, 31a8
a148, 02df
241a, fd75
735c, 453c
70a7, 61b7
f1f9, f3ec
9507, 869a
04e3, fbf0
4527, e027
be79, 1794
c21d, c2b7
e367, ec6e
499c, 7091
a3d7, 6ecc
8e07, 11c2
aead, 9c69
4d43, 1c91
25d0, 5ff1
d90d, 10c9
1d99, 9951
106a, a66c
0060, 0035
a76c, 4190
7493, 7b31
08ac, 3d95
35cc, 9370
f4ea, c37d
b426, cb5d
9435, 4f48
ee95, c705
f4a9, 3e59
105b, f42b
d03b, df02
c8ae, ff12
f240, fcb1
13fc, b6ff
6d34, 1e18
4191, b8ca
256c, c8f7
b021, a91f
04a4, 2dcd
f726, c300
4dc2, 7dab
b987, 7f3a
47db, 7f0e
9bfd, 21e4
4941, 312f
3cb8, 24f6
447c, d2dd
5a36, ce70
23e8, 23f9
c8cf, fea3
8ad4, ca99
9d2c, 6b46
cb26, 5b41
873a, ee5a
8497, 99a8
d65a, 69a4
33dc, c889
3284, 5982
9763, fd70
9d18, 8433
461a, bc43
17de, dd1d
df5c, b551
15e7, ac4b
0eb0, 6ab5
11c2, 8e07
b9c7, 3e49
66f7, c228
8b72, b86e
91b9, c71d
4d29, 8ebb
639c, 78ad
5ecb, f45e
efe0, 761a
c1cf, f451
2e21, 9b2a
06ac, 6053
8419, 8116
1cde, 7da6
e2e0, 5b16
b4c5, 7b6c
8294, 8da2
5b17, 948d
c7d1, 2b4a
ef1e, 321f
07a0, 5d35
b00f, b506
9c95, 1e94
94cb, c636
2d59, 0a0d
6790, fd7f
3078, 811f
4b2f, 4b8c
6aae, 9b94
a06b, 1ef4
d4e7, 78d6
8746, 7423
7dfc, ea83
1793, aa31
bf14, 1917
3bdd, 0d2e
1ae9, dd2b
cb75, 6aa6
0136, 0b53
ad85, 14b1
c0e4, 0a9b
4415, 77e5
18d1, cb09
36b3, 9d87
1a66, dac0
1542, 0227
20fc, 4d8b
6daa, 57a5
9e53, a4d7
b605, 1c0f
36a8, 626e
0aee, cb1b
7096, 136a
4492, eca3
e94d, d291
96ed, 9047
aa4d, 87e8
9d2e, 28ee
790c, cf47
4361, 3552
f65c, 6570
d69a, 4030
c382, 655a
e835, 3ad2
aac1, 787f
3c4d, 2687
163d, 46ce
b081, 88d4
3f3c, 6955
3fda, bb31
ff81, 00d0
fc05, 9e67
67bd, 9b47
5689, 69db
e2d5, 3ea3
bf8b, c430
cc0b, 5fc2
fe4f, fd80
9ad6, c9aa
8939, 7057
41a3, a34f
ad2f, 4713
bf2e, d235
e870, e924
2bca, 2bac
f7ab, 3808
faa8, a887
5503, 0f5a
28dc, f3fd
4408, 4b94
c94a, a01b
0658, 5097
6949, a06c
0cf3, 7a49
5a03, 2d56
679d, fba7
d3b4, e91b
cd6d, cba2
c3b2, 5437
547f, ab6c
c923, f086
1bcd, 67b2
025d, 2c0b
d6b0, 1626
f365, 3cc6
5cf1, 5ce1
f6ea, 0641
c5d3, cbb9
f8d4, 218d
812e, 88bb
7be1, 4ae5
58d3, 284f
50c4, 1a73
a8e7, 72a2
2b15, d24a
a617, 29b8
11f2, c8c3
b1a2, 9fae
7daa, 094a
4685, 2770
051e, 3aea
a988, a948
ddd0, 4e81
c085, 1bf5
ce1d, 8946
49d1, e54f
d00f, 4635
0943, ae5f
079e, 39a6
8f78, 1667
dbec, dd2f
c7d7, 2b4b
0989, 0eb6
4535, e03f
36a9, 7ccc
158c, 738f
8f17, 4317
14a1, bea0
b7c9, bd99
2cd8, 3d62
9c30, 529f
53e9, 394b
3c54, c09e
95a4, f079
5db4, de7b
3a07, 3675
f427, 3afd
b0d3, e520
e79f, eb75
5d08, ca5b
1d3d, de78
4ac4, dd3e
5c45, c6ea
e891, 8863
727a, 7f71
b65e, a5ae
d78c, 22f0
1ba0, a027
ca74, 87d9
349f, 2855
cf42, f0d7
2dcb, e1b4
7863, aaa0
a878, 745b
b140, 8741
6b3e, f8a2
0fcd, 3597
99e0, 30d1
b152, a77e
907c, 7937
5624, 03db
4f52, 4be7
6173, a0b6
663b, 99c8
8331, e9fb
6faa, c1f1
4ff9, d388
fbe1, fb2a
13d7, b21d
cc77, ab98
6a61, a3b6
8a8b, 8ebd
a725, d4e3
8a9a, b470
cb9b, 3a5e
235a, 9903
8b88, 84fe
cda2, 2d94
dc0a, fde3
8ed3, ab69
fdaa, 48d8
f86f, 7718
f4a8, e8eb
e525, 1f45
8f4e, ca9c
8f4f, 100d
9ffc, 5cd0
a88a, 9b97
b416, bbff
133b, 1b17
5baa, 9aac
a3a3, 1f76
f557, c399
880c, e3d2
e345, ce36
0cbe, 2684
8097, 4052
3a62, 50d8
1544, 754b
d2c3, 933d
e52a, 1cd3
bd85, aedf
b9d5, 24c3
5499, f22f
7dbd, 77e7
d12c, 4841
6b47, 0888
da60, b17f
b682, 9a6a
853b, 8d22
726a, bc05
8a6e, bea8
612d, 7177
8dc4, e797
2664, 20ad
e467, 4dcd
4b78, 3f99
6027, f524
a3f3, 45df
749b, 09a9
3f56, 5973
f565, ffaa
8cb4, e6db
85fc, 73d0
7782, 9ac5
c55c, 176d
1c8f, a526
e760, 4314
ad18, a35b
a5b3, 3b43
9745, 00ab
102c, ac02
d53f, d595
69a4, d65a
0bcb, 0494
6f47, c947
3131, 5e61
6ed8, c8e4
ff75, 307a
b811, f19e
1b1b, 723b
560b, 58da
702b, b527
305e, 32cd
5df9, 271d
31ce, 9d54
0614, c12a
7c9f, b582
47a1, 487c
9888, 7902
d45f, dc32
529e, 56a8
ab31, a453
5c66, 3b3d
59a1, 0630
4494, 1883
31d7, 7bd6
6eb4, 4967
d744, 0875
f008, f53e
c19d, 2b09
96dd, 691d
a9bb, 192d
7ba8, 8d9e
b0e4, 55f6
05e4, 3108
4d58, adb5
a16d, 0ddb
827b, b9c4
1148, 5d74
6102, 9ffb
e1e9, 4889
b927, bf2d
9db1, 61e6
672d, 3af7
20de, f279
23b9, 3029
1b86, a723
c3e9, 624e
5ce7, f0de
4634, 890e
353b, 4690
48ca, 8d0f
167a, 4c73
9075, 6f7a
0dfc, b9d3
9c14, 658e
4c5a, d50c
9ab1, 0de3
161a, 1fa8
c74f, 98c3
4354, 33cf
c0df, 5d1b
056a, 6033
50c0, 5ea9
800f, dc70
1ce2, 5c17
034b, 6247
966e, c2a9
3e44, 5117
01d6, 2de0
888a, d23c
8bc8, 83ce
27ef, 2115
d405, 862e
1499, 6004
b7c3, cae9
f374, ca25
165c, e251
7ec3, 06b1
5018, 3f5f
36ee, 5ce9
7569, 6f3a
2e75, b4f4
9c79, eb54
86c5, 8e32
40ca, d6ac
b95a, 0967
7fc7, 83ad
cfad, cc99
b94c, 1023
6efa, 9dff
3501, 9955
32ca, 1734
8deb, e1b9
24f6, 3cb8
6197, a4bf
0da8, 2c9c
c8a5, 283a
6ea6, baf2
c89c, 0430
ebf1, e1b3
e579, 4283
0c59, 6fa7
4c79, edf7
f335, 2877
2837, 6d5b
79dd, ceca
285e, 2342
7a52, 17ce
8e16, 2f1f
e9bb, 4f2b
d89d, d1ad
f214, 317a
c8a2, 31a7
064b, 0194
e9e3, 108a
ee51, 66b6
2f26, ee23
1136, 6354
f90e, 8f76
10ed, 2586
d47e, ada2
d59e, 9aeb
951f, 98e8
eceb, d5fd
f3a8, 6dea
ecb5, 9b73
ac08, 0847
62f0, a4f1
5a9e, 9ac4
158a, 13f6
782c, 60ff
7e01, aa96
914e, fde7
7b20, c6d1
4b68, 77c9
b3ce, b997
fcea, f04c
2271, 1b18
4009, e55d
0975, 36a0
2a05, 68c1
f341, 698c
91e6, 982a
c8b1, 6d26
074d, 7775
e108, 620e
18a8, 244c
6b8f, 52b7
af54, b3a8
dde9, 7afd
fe82, 941b
96f6, 6080
0d8d, 57d7
095a, 37d6
b703, 7d50
8a43, bc51
370a, 5890
5dae, 97a8
f85b, 39b9
4795, d1af
cf4a, 7d18
4c45, 186c
a20a, c830
79fa, b045
cfaa, 2d69
3860, e6fc
77a2, 00ad
5849, 5df4
96d4, 6fbd
cb3a, 3803
14ff, 053b
b481, 3197
2214, 0e51
4711, 6c26
8efe, b724
fd98, 234b
088d, cc35
305e, 32cd
c5d3, cbb9
171c, 916b
cf85, 1ff2
8af0, 8ca6
30e9, a653
fab5, f8da
2258, 9816
2847, d768
5c9c, 5f53
e6c8, 79c7
c32a, 62bc
62b9, 03be
4f0f, b373
01bb, c34c
3ac8, 9dbf
3364, 253e
eeaa, ea05
4f4a, d3a8
18b8, cf25
9ae1, c420
6bec, fb11
5a4a, 6125
c84e, 7a5c
e9a7, 763d
b2b9, af1e
5627, 2514
a7e7, accb
a222, f0f3
9bb8, 5749
6f74, 0977
2c3f, f486
57f8, 8d63
5adb, cc13
5570, f376
88d5, a7e5
d1df, 7ad1
5728, 8404
1521, 688f
04ad, 5899
03bd, 35bb
7b99, 1468
071b, 8507
137b, df6d
9903, 235a
3844, 61be
9c03, c858
db33, dd5f
21fe, 5824
67f7, 4c67
776c, a470
8e56, 51f4
e32d, e917
a974, a54a
7a41, 99fa
0492, 3e7d
939a, c396
bf07, 7372
bd69, 5997
1616, 173c
1648, 0fb7
4548, ece9
a099, 7cae
5278, c554
811a, 4f0c
bc2c, 7c32
c651, 53ac
13c5, 2f88
526b, 41a0
0ef7, 1c9e
81d0, d840
dcb1, 1525
0650, 59cc
fe8b, d278
0279, 60cd
e192, 0bd2
7879, b75d
fcd8, 2d81
d6a3, dae1
7cca, 751b
26e5, 354f
4095, 85a1
98a9, 5bce
1022, 752e
9336, 539c
7370, b271
1191, 3de9
099c, 559f
21c6, f75f
912b, 6b22
84be, ec6b
a071, a060
49a8, f530
3d52, 6c47
aca2, 64f4
bd81, d183
6487, 74f4
3a9b, 5cb9
1e1d, 0191
da63, acfc
3469, c0d4
a169, 4b9e
b0a1, b4fa
16ef, 6751
3ac6, 6e96
94f8, 9b44
2b27, 01de
a44d, e5ad
8418, 0d6c
bc42, 9161
2b09, c19d
adde, c407
76c3, ac7f
3e61, 864b
8b4d, 4639
3b4e, 6aeb
e0c5, 85c6
357d, 60ae
d120, 8781
a6bd, ef8a
c5c2, 3074
8323, 73b5
fcb6, fc16
3633, 6f9a
7489, 6833
0802, a1bb
a564, d37e
4542, e04e
4753, 1ff6
2218, d6cf
aeb9, 7a48
46fc, 731a
7516, b545
53ef, 3245
f0a0, f014
08eb, 0695
fa05, c13f
4cbe, 86b2
946a, ed31
046c, c870
eae9, 4d48
1de6, 14b0
ba16, 87a7
5edd, 3df8
a3a6, 9ff9
ee22, 1b14
1804, 2c03
bbca, 17c5
5664, 5cad
0155, fd95
84e9, 7af7
4d5a, 85fb
1857, 146d
6e47, 07d8
9674, fca9
dd59, 1a6e
afff, a5e1
527b, 3058
d048, 46ee
d0b7, 852b
85b7, e0bb
1155, b49a
39c9, 6c54
0217, 632d
a6aa, 9029
62c1, 5126
7422, cb0b
c02e, 55fd
486e, 1d9d
0afc, feef
9dea, 06de
de8a, bd4c
bef3, 48bf
d4e1, b18a
cc30, 92ac
d592, 895e
b15d, eb39
cc75, aec7
eda1, 7cd2
7a72, d73b
bd0d, e13e
2245, 32e5
cffc, f2ea
a2ad, 9be7
5622, 292e
0237, c20d
995b, 9f9b
ab5f, 0f4b
ca7c, 1ad4
b36c, c0f9
135a, c367
e54e, d682
daf3, ed2a
62b2, 23e7
22f3, c9d1
064f, 69d3
0b0f, fa06
e5c0, 40aa
1870, 4a5a
4064, af69
cd93, 3c42
f903, 2ec7
410a, 8d0c
cd37, 3b58
3665, 9f7f
26b0, 2341
b705, 3af8
4335, 3947
9a38, b188
8207, 7078
53d0, c2ef
cce8, a6e9
4620, 3d8a
5a08, 0d52
0858, 5767
1040, 8515
d313, ca41
8147, 3026
de17, 504c
6492, 6843
f996, 320c
5bbe, 2ad8
1159, 1d77
a0ef, 65d8
78d7, 379f
5267, 5638
f897, cb6b
67ca, 3195
0789, fdfb
23ff, f21c
1a80, 8bf5
5b91, 4cfa
ff84, 6186
d71f, 8fc5
e167, 8eb1
1beb, 4d42
2636, 6752
db82, a4db
b737, aa7d
05ef, 03b5
5bb7, 5f23
ad5e, 6962
1eac, e6e4
3560, 9a0d
097b, 505d
8bc2, f1bb
1822, 114e
d423, b1b6
40ed, a47c
94e9, a0fa
35d3, 67db
ddea, aa08
20ee, 9649
4fcb, e59b
4cfc, 2a31
01ab, c50f
f547, 39fd
156b, 0f96
e064, 5ea6
4a23, add1
cdcd, fa6e
b2cb, a5ea
bdb6, 49c6
a816, 4445
20af, 9faf
2ccf, 5022
31ca, 0a93
4ce6, 18c1
5d91, 9eaa
b932, 46bf
b96b, e072
71de, bd1d
297d, 9539
af53, 5234
49b7, efd4
