9c21, f516
4ef7, 4e22
7ffd, 36d6
0ac0, 07c5
95d0, 6d18
22c4, d693
add0, aed5
6674, edc2
318c, 67b0
1382, 16e7
4262, 4f5d
5046, 5f2a
9e21, 1d1b
7a68, ed2a
fc66, 712d
e003, 8fc0
01cc, 7520
10a1, e53c
dcc7, a0ce
0aac, 64a3
4c76, 1e81
3737, 390c
cc99, b493
689e, 0857
cb62, 2d67
3967, 8c95
2043, 2f2c
b7e7, a8ee
0b00, 77de
e21d, bc1d
3d83, b04a
f8ae, f2a6
58d5, 2881
1cbe, 45db
f0bf, 3bbd
6605, f23c
3dae, 9463
69c0, 3154
8487, 820b
723f, 5c85
6100, 7c96
8761, 8c4e
df10, d5ff
7751, 7a5f
7124, 75c7
34ec, a654
fe08, ff95
f658, 2a1b
6569, 120d
bbc7, bd11
1531, 1956
0940, 6bad
0616, 6d12
b945, 6405
a4b3, 7dcd
c64d, c44f
1dc2, 4acd
03a1, 563a
51b5, 095d
1bf0, 1845
a9f8, ab0a
a87f, a218
c3a7, 2634
9abf, e0b1
d89e, 7781
5072, 86cf
a015, cd73
902e, 9ffe
d5f1, db54
d47e, 8d32
f2ab, 8707
7791, 9338
5ef4, 59d3
d187, a4d4
4f34, dfa9
f691, 85c7
28c0, 9873
48a3, 4284
fa44, f1f9
9062, 8353
4b11, b99f
19cf, 84dc
b466, b76a
c8c1, 1c2c
e8bc, d048
8fc5, 9c25
7265, 5458
a74d, c088
ec2e, eac3
035e, bb7f
abaf, e0dd
39ef, 16d9
1ff7, f986
e53a, d249
72cb, 73a8
365a, 03aa
e05b, cb2c
55b6, 74e4
84fe, 812e
86d5, 684a
e596, 5f67
685a, 0b3f
9ae6, 456b
7fbb, 1b61
162b, 1318
c430, 8cc9
470d, cad9
ff92, f59d
e56d, 7c6e
5186, a94f
e8fa, ee16
3976, 27bc
dcc8, d29e
c9d1, 2b8b
59d6, af5a
4a3b, 0574
d8f0, 73c1
ce90, 44bd
0683, 038c
1b39, c504
2fb6, 58eb
b5c7, 2157
d892, 3465
f95e, c56e
79a2, b564
901c, 87f2
1888, 1c59
6bb7, d69f
2f50, 2365
4c15, 4943
8b19, e063
6c30, 7d39
71da, 7778
a5b2, dcb7
bdda, 24c4
0c6a, 0266
187f, aa20
6621, 631f
3a06, cec3
5cea, c3df
310a, 8541
d16e, 548c
9657, bf6c
2f9a, 4ffa
b85c, b38d
5352, 5cc2
6de1, 3bba
1f94, 1598
d883, 7f1d
7ec8, a16d
c6b1, 08be
6aad, 6f7f
88a9, 40e6
aa4f, a741
3e4f, 3cb8
196a, 8daf
78ec, 7be3
c5c9, d6cc
0130, 53fc
e266, 200e
18b8, 1262
9168, 973e
26b4, f3b3
2afb, bcdf
3c3d, 626b
62b9, 7c89
1ff3, 3720
7c45, 0156
2a0c, c4c3
8351, 48d7
00b4, 0fb9
bbc9, bd16
e868, 88a3
8578, 729d
cb0a, a9f3
68bb, 96e1
d5aa, aca6
6f86, 7618
d975, 52bb
185d, ab38
319c, 647c
985b, 9ea8
fbaf, 9d61
c685, 1e72
df18, de75
aa84, 6d35
7393, d413
bc29, a93f
a8ae, aaa7
d0ba, 920b
287d, 237c
35d3, e4b1
8fad, b525
94e7, 9fb5
3828, 5efd
01bb, 04b8
c976, 67bc
07aa, 5b7d
a2f3, acfc
6df4, 8a08
28b9, 5fec
0280, 249f
11b9, e748
a280, 7057
d581, afdc
768b, ad24
5a96, 2651
e932, 8562
bf5a, 703f
fcb1, f2d6
e9d6, 11ce
81d7, 8c7b
836c, c325
979d, 5f4e
d734, ded3
f3d3, f7d2
4602, 45b1
3caa, 6c73
a7d9, f74c
b711, 814a
fe46, 689a
a439, 3b89
c83b, fd38
aeda, 4dea
dacd, ada0
43c2, 4e19
a5c8, d0d5
5b77, 0ca5
5510, 0c15
4af2, d417
3937, 397e
ec43, 515f
9b73, 4625
43f1, 970c
56d6, 3f8f
e898, 54d5
5251, 596f
f5f8, c2fb
ddf5, fd74
a1ae, aad3
9291, e552
5168, 545e
a03b, 1515
92df, d1b1
0e5f, 09d7
a956, c252
eec6, e75c
b49e, b7f3
898c, be70
cced, 08a8
7a6d, 782f
ab5f, ceb6
4ac2, d702
1ee3, e0fb
a92d, 121e
16df, afcf
f8d6, dc20
ac9d, a392
1194, 9064
4c1a, 1013
43c6, a629
3140, 4613
f510, f812
7732, 71f0
1b2e, 4d1b
5df7, 04db
c43e, f233
eb75, 927d
97ee, 3025
3980, 3ef4
cd1a, 5df5
d31c, 2870
4c04, 04be
298c, ac8d
263c, 048e
ae0c, affd
3b29, 3616
2fa7, 8343
7958, 5556
d76c, eb95
32ad, f322
7087, 7f82
47fe, 4309
b022, cf43
3c8c, 8ca6
e8a4, eb39
0f50, bc20
c497, cc30
f36e, f6ab
00ef, 0142
5e1a, 3f24
8e5d, 6604
5dda, 944f
5fd5, 38d8
d6e9, afb2
a570, e090
3cc4, bf56
e3d7, e106
07d3, 4359
a644, 030d
806c, 61b4
94f8, 2a1e
3e6f, 894a
39bb, 230c
a06d, c065
f990, 3942
14fc, a6dd
8a71, 65e4
7276, b57a
03d0, 2b84
fd82, 6559
0729, 5be5
1265, 2a28
4176, 479f
6652, 6294
4c27, 8256
dcd8, ccdc
1c93, 8bd6
13b8, 2d64
2d39, 2a06
c294, 7cfd
6fc4, b260
4dea, aeda
4669, a704
826e, 8847
0de6, 0eea
3471, cbc0
4090, b570
af62, 4f8f
df3c, 0274
4ee7, ce5f
062e, 3cbe
90b9, 0b73
ddad, cc9a
585b, e867
1ff6, 6ae3
64f9, aaa3
67f0, 7f3b
c2fd, 6b54
0f86, 668a
1c96, 3456
33e7, 1eb7
196b, 8b4b
1a63, ff09
e8e7, eeb2
5671, b3aa
363f, 9200
0999, 0057
9209, 967e
169e, 3f55
c13a, f741
4129, dcdc
335b, 1f84
9c7e, 9998
1692, 1a48
bd6c, b0dd
fcdd, 03e5
fa9b, 7b82
5307, e9a5
da7c, f27e
4a23, 6fea
1ab5, 4c82
f2d0, 3dfd
51d6, d18e
8652, 7968
bb80, b1f2
4e01, 49fb
8522, e17f
ae25, 83bb
e90f, 7c06
d81b, 4f7d
7f6e, adb7
c139, 6f3f
0c71, 958b
1cbe, 45db
988b, 94d9
f904, f599
7997, 7059
e86e, ddfc
1602, ffeb
d421, 1dda
06a7, 6fa2
9442, 1c09
35ad, 055d
2a24, c129
cdd2, 2bd7
f1cd, 9483
f152, 1402
cbb5, 2db0
7b25, ed20
c3a1, 263a
e749, 8017
8f46, b3c2
796b, e097
ee75, e9d0
7802, 7a3d
bb75, 0de4
989f, 2b7f
e48c, e807
9a7f, ec31
595d, e75e
acb8, aa65
c17f, d010
6d95, a65a
f7ee, f285
63db, 30ed
7269, 6c56
9158, 33c0
738f, 010a
66cd, ca4d
d4a7, 0dfb
bed8, 0920
eaa8, e73e
e56b, 7c68
b565, df4f
203c, c7a7
565b, e612
25b5, dae1
4507, 19c7
14ba, d18a
aeee, aded
a150, 704d
5ee6, 5126
6e14, dc24
8546, 3861
0df6, 8235
cb66, b789
912d, f11e
a4cc, 17c5
8374, a615
3573, 409d
6338, f034
56ad, aafa
8ac0, 20ef
ce27, 7366
1413, ed81
e831, e7c1
c82d, 254a
cb83, a57e
d783, 7a46
2e66, 28a1
736f, 09c2
8763, 864c
a356, bcd8
0f2c, 5040
79ee, 75ed
bd50, 16e4
4a2b, 1118
5f08, 25a8
4616, 3b10
75e1, 79ef
d4ba, 622f
d190, d490
f5cb, 1fc6
436d, 41e2
291a, 65d0
82f2, 37ba
8838, 4ddf
12ef, faf6
c245, cd47
675e, 5841
b1ac, 8460
f785, 6bfc
7274, 2e58
21cf, 5584
7549, c9d0
b172, f1fd
9baa, 80d0
e22c, 57c0
d5e6, 286c
2110, fa23
88ae, a8a6
1e18, 814c
596b, 60a1
2959, d355
9abf, e0b1
c65c, efa4
82e7, fe60
f3e6, 5304
e8d2, ee87
5e69, 27cc
2bf7, 26fa
ec39, e2a4
a83b, 1d38
6dcb, f265
8012, 5e19
d1bd, aabe
2688, 7c4a
ece7, 72b4
432c, 2ec3
07e4, f0aa
d87f, d400
f7e4, f981
d7fb, d418
5446, 56b9
f0d1, f3bf
bada, b478
b049, b75c
4eff, 6241
7b6a, ee61
5e21, 9375
1e99, d7a3
2e44, 2940
4b4a, 1e11
352f, 6122
cf2b, 2a41
be4a, bbf6
befd, ffbb
cc1e, 0c01
5886, 5a16
c3f4, f642
7ac3, 7c2e
f8e3, 80b1
071f, 00d4
a3a1, d63a
93df, 52d1
2175, d3f6
f04e, 5703
9c5b, 7177
9325, 8635
8591, 5d77
bb25, 416b
8811, 237e
4bad, 11a2
312e, 3515
6dd2, 351a
daa9, 6ed7
23be, 2fed
db88, 48bd
35a8, ee8c
31b2, 80bb
8be3, 4e64
091b, 2895
cff5, f8f8
db6d, a162
ea4e, d3a2
a827, a380
d957, deeb
7388, b6ed
2ba2, 7bd2
a46e, 7d2c
a24e, 835b
9488, 34a4
560b, 9ed6
7f2d, e04b
7c0c, 57db
9fb3, 2380
3048, 331b
b08d, bfee
505a, 2275
4c41, 5491
b79f, b9f9
e4bc, b23a
b0c8, 80b6
2520, 138e
dc99, d3cb
621c, ab10
3fac, 8831
d901, 74b0
f4ee, f983
c761, 2a5a
a705, a0f7
0c5b, 0df5
54b8, 5f4a
a021, dd36
3dc5, 39b3
54de, 8034
4fd2, cfcf
7379, e3ff
7ed5, 3ad3
63d5, 60b0
86df, f9b4
b354, 8449
29e0, 4d48
4437, 488c
7e8c, 93fe
a4b8, 76cd
b639, b207
3b58, 936a
d531, 9534
af2c, 0f6c
c6ad, c3ae
8545, 36c1
f45f, 6126
6d43, ac4c
03af, 463b
92cd, 2c08
58c5, d2ec
d6f5, a877
4a9f, 48c0
af6f, d6b7
d960, 5ed5
48d5, 4eec
ea32, e47d
280a, 2e76
fe4a, 1ef5
6976, 5099
2a47, cf2c
0bd2, 0b3d
f212, c517
c3da, 96ea
eaea, 291f
148d, aa8e
0cfa, 5c11
56f2, 5317
bcb4, 8b6b
1d70, dd90
98b4, 2b82
48c7, 4e1a
07b3, f235
6882, 65fa
05ae, 5843
a9d8, 4e46
d2ce, d847
3e4b, 381e
bb63, b0de
83a7, 2063
0b53, 9329
8e20, 4158
7f69, 7064
15e6, 9fda
be99, 7671
7651, 735f
9cd1, fcbf
eac6, 2c37
42d4, d589
c278, 560e
fa72, 445e
558a, 09d1
ae61, 4407
1acd, cdde
047d, 510b
7a41, d1d1
aae9, cc70
c60a, ca0d
d643, 4ff0
4bf1, 4b94
fced, 6e43
efd1, 2c90
af84, a089
e9b6, e2ea
ccf3, f240
1274, d507
91f9, 2f35
1c0b, 1309
c798, ca9b
304b, 0976
1d68, dbad
79c7, 7eb7
653d, 4e54
6459, 659c
d593, 53b6
5374, 8fca
3733, b7de
a30d, 50a3
81c6, c78b
4825, 5220
440f, 6964
2477, 28a9
ba05, b589
2488, c607
ec50, a3a6
3ad4, 4857
2579, 9202
2a7a, d610
c8d2, 0ddd
a3d1, d68a
d7db, 52f8
783a, 7b36
144d, a1f8
6ca2, a20b
9240, 20e3
d602, daf8
9992, 1b52
1b5d, 8e7c
0295, d81d
3776, 892f
6b35, 6e50
a4fb, f6ee
aefd, 5ba8
c837, fd32
cfd7, 3735
e55e, e96d
a246, 5cfe
96b2, 2382
5e0a, f356
320d, 9098
792e, 752d
a12a, 1721
c79d, ca9e
72b5, 7cb0
3d04, 62fd
e407, b477
9302, 4903
5366, 192c
7316, 731a
1f38, 11e9
abfa, 5c1a
d241, 88a1
b521, 617a
72bc, ece0
440b, d3ea
95dd, c5ed
3721, 3217
22d5, 3427
3a52, 3593
8fe1, 83df
5413, 548a
2f06, 240e
0baf, ec1a
fb2c, 805b
6afd, 5a2d
7e7b, ed0d
a660, c262
0b3f, 685a
d091, 0a24
501c, f191
3c32, b008
2df0, 0120
fadb, 681e
6b97, 5fce
db30, bdce
f644, c3f2
9414, 96f3
d969, d35b
f8ff, 1958
84ad, f582
f049, 4368
12ba, 6d98
d3cb, dc99
c675, 630f
e814, 07f5
a91a, 454a
d3df, 5e30
21c8, 249e
e163, e455
40f0, 191a
d0b1, 9e8e
01aa, 2eac
6e22, 8896
7ca2, e11d
0f99, e8d3
cfd6, 08de
43ee, 46de
4ddc, 23e0
3406, 41db
0910, 5184
b9e6, 619c
7ae1, f92a
b16c, b329
1a8f, 183d
cee2, cde7
3fe8, 50d8
6cb0, 7988
45f4, d8b1
347a, 9874
e5d9, 8282
90f4, 9d41
2e00, d91f
90df, 17fa
0e5f, 09d7
3032, aaae
16b7, b865
3006, 313e
1fd4, 4fd9
b400, 72fb
534f, ea4c
42c4, 5e28
9f4e, f048
236e, 2f5d
db2f, ddc9
4d5e, 4ead
00ff, 5c34
c05c, c956
c402, 20d7
8fbd, eea0
5838, 5bae
11ef, f20f
3d5c, 6ea0
92be, a842
66f2, 5f42
f27f, c2ca
1605, 3703
32c9, 897f
94a5, 49b5
77e0, a97a
11c3, 4024
1d57, 9a27
a9b7, d5e4
4307, 47fb
1326, 9470
32b5, 3847
3c8c, 8ca6
4792, f052
56ae, 3b19
0607, f77e
25e3, 582d
5515, 612e
5eaa, ecff
996b, e779
d8b7, a0d8
26c6, 2bc2
639c, f15e
28ea, 46da
a98c, 7749
66d2, 3a1a
3a2f, 3bd1
a5b1, c16a
0f6d, c828
aca5, d5a0
d6f3, 2a0f
3297, 8f66
7725, 7a20
d259, 1eeb
0f70, 2530
775a, 7a56
5724, 5be2
c361, 1476
40aa, 30ad
4072, 4174
333e, 4336
c456, c15a
fa36, f751
6f1c, f4db
2ffa, 2316
4133, a4a3
a372, 48dd
25ea, 9e0d
5e1d, 2dcc
4507, 19c7
34c2, 8afb
6a5b, bd8f
784f, 8f7f
7022, 7dc6
5e29, 57eb
de0c, d919
bec7, fc24
d1c6, 51db
3d25, 92ee
fb95, 59f8
1277, 460b
8fa9, 9d81
531d, 2183
54e2, 51b9
c1e1, c0eb
0e54, 5e08
4d7a, d2c3
c9fa, 9d69
25fe, 6b0c
eceb, 72bd
7913, 791c
781a, ebf1
5cd4, abb2
f518, 9d1a
5189, 54d4
5423, 592e
f160, 80f2
d6e1, 9e91
96b3, 2383
5eaf, e9fa
88ad, 4870
4214, 9a0d
fe7a, 9d91
55b8, 725c
fe8e, 140c
d8fc, 5a94
b837, bb59
c2e7, 2a3e
aa83, a78c
55ab, 21b5
b4d6, b47e
7941, 9e83
66f8, 7550
d0ba, 920b
a02c, 505c
f6a3, 9aa4
6b9c, 6805
f265, 6dcb
574f, 53e2
b85f, 7b3a
ec06, d251
4082, 8b33
3958, 3cae
7b67, d3b1
7aa1, b4af
0717, d459
4504, 181d
afb5, a0b0
9d19, f56d
7de5, a857
2ce7, 2aea
ce61, c7c9
2c4d, 5e05
0eb8, c3bf
121b, b8d6
b0c6, 8671
37d8, 34eb
a09d, a144
1910, 40fa
b303, b69c
b35d, be8b
31a5, 2687
9963, 97ae
e6c4, 7ab8
957e, bb73
bcc3, 8c7c
18e4, ab82
800c, b3c0
6e2f, 6cbd
b450, 2bb6
b395, 05be
b1d4, b4b9
e228, e94b
3e3e, 3b68
797e, 6be5
a722, a3c8
b1de, c796
d774, dbf3
2809, 9d72
b79b, 7a1b
ae74, d1f0
1083, d607
bb97, b5a0
f9ce, aa95
7d8b, b888
fabd, 6828
ff8f, 6d8d
79be, 7ec6
89d3, d498
7e6b, 480c
ce3c, 9fbe
3f6e, 83a3
8d19, 80c9
aa6c, acbd
67b0, 318c
54ee, 5531
bf98, 700d
76c0, c268
9a21, f11f
5073, 0a99
9971, 9c9f
12c7, b2a8
7294, 7747
0de9, 0ee4
14cc, 4100
e0aa, b66f
ce7f, ac10
edbd, 6190
3dcd, 45ef
03ff, 664a
6bb0, 3dfa
95fa, f81d
7529, 29d0
9193, 977c
4f7f, df01
1878, a8cd
5974, aa6e
5453, 5165
f15a, dd24
c0ad, 1b63
85e7, 71d3
3792, f740
4fbf, d38a
0219, 6514
2175, d3f6
4208, d57e
1fe9, bd5c
1c8a, 6af6
5f12, 5e16
a41b, 1c8f
e1f4, a7b8
0b67, c4c0
de8c, d8d3
baa1, b766
7597, 78e9
2dd4, 0dd8
3541, c2d5
a130, 278b
49b5, 94a5
7884, bde7
19ac, 4c50
2a0a, c771
8424, 7b24
11bb, 14de
d26e, 4d4d
8ed6, e693
eba3, 86b8
b642, 53ee
78e7, 7599
3040, 9952
f672, a676
a1a8, d7aa
53d7, 05b7
749c, 794d
2303, 2172
43b0, c7af
473c, 80f8
d1c5, 669e
ab5c, a756
2db2, 59a8
3705, 63ec
dba7, 9c79
32e1, 39df
5ddb, f088
6549, 68e1
3c56, 38b2
99dc, f952
c1b6, 2bbc
7ed1, ed8a
0dbc, 00bd
d780, ee78
979c, 27c0
02d9, f917
19d6, eb6b
914d, f32a
7a92, 78ea
85dd, 75de
0bc3, 5dcc
8c05, 3a7f
ba55, 2f52
bffc, b045
33a4, 8d7d
d979, defb
cbc5, 9569
241a, 2368
8231, 320b
df27, 4329
a280, 7057
f4e0, 42f5
e68a, 73d1
95ef, 29da
c09a, c19d
7152, 779d
13e7, 57fe
1dec, 1e83
a63a, 063d
65ee, 46d9
8592, 73c2
0306, 0802
0943, 094c
94f8, 2a1e
532f, 2e1d
93cf, f483
f8dd, f11d
6a6e, 1461
5305, 5673
1a1a, 4b9e
6843, 0bf0
dd25, 7af3
86f4, 7f17
c11f, 201d
8b37, be64
e98b, 82bd
1562, 466d
c1c8, 2acb
0fd5, 66d0
ddc2, 3e7f
60f5, a04c
4948, 4c1e
ae72, cae9
d80f, d2f8
38b4, e25b
7643, 734c
d931, 23ae
04b7, fdb4
38e2, 6119
1b32, be3d
291d, 2bff
8575, 3cce
b027, bf19
72af, 0278
f388, 0b66
80ff, b31e
0491, 4188
9e15, 53c1
dcee, d2bd
0980, 35e7
8cf6, 3b36
7511, d196
28d9, 9884
44ff, 7adf
bdea, ba94
6a13, 3f7a
6c95, 72ce
ac95, 890b
6265, 6ca0
94e9, 96b5
464d, db00
187f, aa20
4085, 15ba
0c3e, 023d
344c, 8c20
8862, 8c59
0ed4, 082e
679a, 6106
6cf4, 05f2
271f, 23fd
6b14, 67d8
38c7, 3b02
59f1, 5ed9
1de1, bde9
8eae, 0f09
6304, eb65
ca7e, 9a7d
a2a1, 453a
0b35, a381
80b1, f8e3
5a94, d8fc
15cb, 14d4
3982, c196
c29f, cd9d
68b2, d767
3856, 3baf
b94e, b5fb
3cea, 672d
6943, 76b8
3938, 3072
3816, 348c
6a82, 1869
1dae, e962
ffba, 68bd
9716, 78cd
93e3, 2d6a
8e73, 4a7e
3eec, a52e
c82b, 2541
12d1, f8ac
aa67, a1ba
2245, 2c23
25e4, c9b7
5629, 0bab
0600, c233
a5ec, 0895
9446, f14f
324f, 6c2f
d4b2, d7e7
efed, 8688
7bf8, 96ee
a5b5, c163
5991, f47c
dedf, 5a2b
1639, a680
0d0b, c53c
6670, f4a8
8b99, 1cca
5980, 32b3
1531, 1956
60c5, 916b
1a6b, 11d0
faaf, 2aa1
93d0, 96e5
6b01, af71
25d9, 9adf
7fa1, 0277
6f19, 6027
f19e, cda0
8396, 6480
a65e, f5c0
2c4b, 224a
0f92, 6672
4a43, 4d92
d561, dae5
b4f6, b799
66bb, 63d8
1bc9, d7a6
b782, bae7
3f7b, 227f
5ee2, 5122
a620, 5650
f248, ccfd
9189, 9085
11e3, be9d
1a04, 8164
b2bb, e2d8
92fd, 221e
b8fb, bb4e
cbcc, 8b5b
616b, 63c6
5ef1, 59de
b03e, 1b89
7bd6, e177
2085, 2fd0
04f4, 3a22
12fc, d33e
0406, 2584
f561, f1a4
0aa7, 64a2
0877, 729c
5c2e, 5a23
ef17, 887a
1b07, 11fc
b337, 8f59
ddbf, e9d8
28e2, 626e
2f97, d2c5
7694, 74e8
1fe9, bd5c
cdae, 9dad
81e3, 87dc
9102, 9003
2713, 23f4
7b55, 0afd
fac7, 672b
ebe9, ec99
8402, 1ee0
2054, 8cd5
1439, 1d3b
bbf6, be4a
9faa, b214
9852, 1a42
a453, a9ee
6b42, d893
e6f7, 8d0a
2357, a5f5
6ebd, 90ea
0414, aa37
e7ae, eef1
5994, e35a
bd2d, 7e18
2825, 2328
51a7, c792
c7be, 0325
cde0, cee5
3b61, 5982
db90, cfa1
3e5a, 3ea6
dd00, a47a
b664, 236c
62f9, 6746
a638, a234
a009, a7fb
bcb3, 5db2
aba8, d1da
af77, 8170
00d1, 0719
0284, 0c89
8e71, b70e
2bed, 944b
5a20, 05b2
1433, a28e
dad4, a1d9
26cc, 0738
3b3f, 8cff
02d7, 041c
871e, cf94
d679, d20e
ee51, 147b
3ea3, 8fb5
e668, 6d21
9075, 6e8c
41cd, 56a2
3d5a, 0eaa
41be, 448e
5ec2, 5fc6
b14f, be54
87d3, 84ec
ff27, 9a4c
c983, f5e0
5faf, 3a8c
8ab5, aa26
9332, 30a8
17d7, 41e4
b44b, b1f8
9f65, 9457
334a, b647
159a, f00e
5475, 8213
3e73, c79e
9819, ae9f
8128, 0850
b57c, 6ccb
5344, 1a8c
a53e, 7dfe
f72c, e369
2b39, 28a4
6deb, 4dcb
95ef, 29da
dccc, c4d2
eb45, 0272
fcb5, 95dc
abc3, 67dd
3787, ce41
f4f4, f6f3
4fd9, 1fd4
1ff9, 6622
3459, 31a2
824c, 8c43
ff6e, bcd6
2bf1, 26f4
adf4, aef9
adf7, 18f2
93ee, 96de
e6ff, 0a34
9291, e552
cf31, f63f
e299, edb9
72c8, 7ab4
d0f2, d770
1ec6, a8c1
0439, 4717
1dc9, 1b1f
d5d5, eff5
2508, 2f74
8ba5, 4e36
e00d, b6df
f784, fb88
87c9, 4ec1
63d1, 050c
2f39, 08f2
465c, faee
d40c, 147e
166a, a3af
a804, 5572
dd99, ea96
a4af, d12c
bfef, 708a
89ca, d231
014e, 014d
6463, 9839
bc95, 6957
50f0, 8a7a
758e, 7d06
6178, 65c5
8515, 8286
5ded, c6cd
f4bc, 364b
fbea, fe86
8f9f, e07f
c452, c157
0ca2, 56bc
8615, 8345
3c19, bbd5
40bd, a3a3
b08c, fb31
9984, ca3f
44dd, da8e
e2f0, 4d77
8e5b, 16d4
83b9, 3055
e3e3, 44fb
4549, 4914
f505, a5da
3c8a, 62b1
3cb5, 3e49
9463, 3dae
9647, f314
bb66, 0cfd
21af, 5c27
e9b8, e2eb
f498, a1f2
ae50, ad55
fd70, 2d90
fe52, 6050
1834, bd83
c683, ca82
52a2, 5937
acf5, a2f0
3297, 8f66
b208, 75c8
2377, df7a
cc22, 2527
cdd5, 5090
6f92, 655d
98d1, 4997
a185, 7e0b
d210, dcf5
2aa5, 45d3
d903, 45c3
2d2a, 4954
4df7, 6121
4cba, 94e1
29a3, 9468
1b3d, 1732
7a57, 2414
68d6, dc9e
d04c, a61c
15a6, fc69
1366, a3e4
37d3, 2448
2319, 0324
eacd, 34fd
658a, aeeb
f4e2, fded
0808, 0b0b
8824, 7c22
1dcd, 64d7
7044, 7f49
4a72, e11c
cb19, c61f
24ff, c67f
c357, 54d2
dccb, df83
d00b, 55c5
c98c, 8c29
3aec, 6f27
9b5c, 19b1
ed44, 7e27
00fb, 0ff8
b79b, 7a1b
9d49, 922c
3971, 3036
0a9f, 9db5
363b, a9c9
77e3, 7aec
5379, ef7f
2872, c4e5
d1cf, 09a7
a1fc, a4f3
c87b, 7dbc
5542, 58ba
6702, 6296
4619, 1ca3
4ccd, 1c7e
3568, 5938
24c3, 2a9c
4b2d, 1d4b
5f50, 8f80
6c62, 8cc0
a7e4, 9e72
f7ba, 3daf
443a, 4fd8
f5a5, 367c
0699, 8c65
4d89, 3207
e744, e429
7dfc, aa3b
41e9, cc7a
02c0, 1fce
c2ba, 92c6
1b65, 4cb7
a6c4, 7f8e
448b, 47be
c2cd, d9c9
c355, c650
1dce, 68ee
4a97, 182c
88b2, 9b5e
ea72, cf04
a7c3, dec9
15e0, 7f72
1815, 0e6c
